$ tỉ	$ miljard	$ billion
hứa	belofte	promise
hử	he	hu
hửu	he	"(term should be ""sở hửu"") to own (v.)"
hữu	eigendom	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	ijsland	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illusie	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	onbalans	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	gevolg	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indisch	indian
indiana	indiana	indiana
indochina	indo-china	indochina
indonesia	indonesië	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insuline	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	ierland	ireland
irgun	irgun	irgun
irony	ironie	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israëlisch	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jakob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasper	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jean paul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jersey	jersey
jerusalem	jeruzalem	jerusalem
jesse	jesse	a name
jesus	jezus	chua jesus
jetstar	jetstar	jetstar
jewish	joods	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	onderbroek	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	gewricht	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	jules verne	jules verne
julliard	julliard	(proper noun) julliard
jump	springen	jump
june	juni	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	kalium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karate doen	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kasjmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukasus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	room	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	verklaring	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	watervrij	rare
khang	khang	khang
khanh	khanh	khanh
khao	verlangen	desire
khay	dienblad	tray
khe	sleuf	chink
khem	khem	abstinence
khen	lof	praise
kheo	op stelten	kheo
khi	wanneer de	when
khieu	begrijp het niet	(proper noun) khieu, as in khieu samphan
khiêm	bescheiden	khiem
khiên	schild	a shield
khiêu	erotisch	"('khiêu dâm"") pornographic"
khiếm	verminderd	lack
khiến	oorzaak	control
khiếp	doodsbang	horrible
khiếu	lodge	talent (n.)
khiển	controle	control
khleang	khleang	kh'leang
kho	magazijn	warehouse
khoa	faculteit	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	boren	drill
khoang	holte	brag
khoanh	rinkelen	a slice (n.)
khoe	pronken	to boast
khoá	slot	lock
khoác	overjas	coat
khoán	voorraad	stock
khoáng	mineraal	mineral
khoát	definitief	decisive
khoét	besnoeiing	carve
khoăn	tobben	disturbed
khoả	naakt	naked
khoản	item	an item (n.)
khoảng	ca.	about
khoảnh	momenten	moment
khoẻ	prima	health
khrushchev	chroesjtsjov	khrushchev
khrushchyov	chroesjtsjov	khrushchyov
khu	kwartalen	section
khung	kaders	frame
khural	khural	khural
khuynh	links	trend
khuyên	advies	advise
khuyết	defecte	lack
khuyển	hond	khuyen
khuất	verborgen	hidden
khuấy	geroerd	stir
khuẩn	bacteriën	bacteria
khuếch	versterken	amplification
khuỷu	elleboog	elbow
khá	liever	quite
khác	andere	different
khách	gast	customer
khái	conceptueel	concept
khám	examen	discover
khán	het publiek	audience
kháng	weerstand	appeal
khánh	onafhankelijkheid	a type of chime made of stone (n.)
khát	dorstig	to be thirsty for (adj.)
khâm	khâm	admire
khèn	helaas	a pan-pipe (n.)
khéo	ingenieus	cleverly or skillfully (adv.)
khép	dichtbij	close
khía	inkeping	"(term should be ""khía cạnh"") angle (n.)"
khích	aanmoedigen	encourage
khít	dichtbij	close
khó	moeilijk	difficulty
khóa	opsluiten	a session
khóc	huilen	cry
khói	rook	smoke
khóm	ananas	a cluster
khô	droog	dry
khôn	wijs	clever, intelligent
không	is niet	not
khúc	segment	song
khăm	slecht ruikend	nasty (adj.)
khăn	handdoek	difficult
khơi	offshore	sea
khư	khư	grip
khưu	khưu	khuu
khước	ontkennen	waive
khả	mogelijkheid	"(term should be ""khả năng"") ability (n.)"
khải	openbaring	triumph
khảm	mozaïek-	to encrust
khảo	examen	"(term should be ""tham khảo"") to consult (v.)"
khấm	doorboord	endure
khấn	bidden	pray
khấu	korting	"(term should be ""sân khấu"") a stage (n.)"
khẩn	dringend	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	inkeping	moment
khắp	voorbij	all over
khẳng	bevestigend	"(term should be ""khẳng định"") to assert (v.)"
khế	stervrucht	bond
khỉ	aap	monkey or ape (n.)
khỏa	naakt	nude
khỏe	sterk	health
khỏi	uit	leave
khố	lendendoek	loincloths
khốc	verschrikkelijk	devastating
khối	niveau	a block or mass of (n.)
khốn	bastaard-	miserable
khống	khong	control
khổ	lijden	miserable (adj.)
khổng	reusachtig	huge
khởi	initieert	start
khủng	vreselijk	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastaard-	elbow
khứu	pastel	olfactory
khử	elimineren	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	dat	other
kid	kind	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometers	kilometer
kim	kim	kim
kingdom	koninkrijk	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	kus	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	christian	christian
kiêm	cum	cum
kiên	geduldig	consistent
kiêng	zich onthouden	abstinence, as in abstaining from eating
kiêu	arrogant	showy
kiếp	levenslang	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	alkalisch	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	controleren	control
kiểu	type	type
kiệm	zuinig	save
kiện	aanklagen	event (su kien)
kiệt	meesterwerk	exhausted (adv.)
kiệu	draagstoel	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilometer	kilometer
knesset	gebreid	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	koelak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	koerd	kurd
kurt	kurt	(proper noun) kurt
kuwait	koeweit	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyushu	kyushu, a japanese island
kèm	ingesloten	included
kèn	trompet	horn
kém	minst	less
kén	cocon	selective
kéo	slepen	scissors
kép	dubbel	dual
két	kluizen	"(term should be ""rốc két"") rocket (n.)"
kê	gierst	statistics
kênh	kanalen	channel
kêu	klinkend	appeal
kìa	zie	that
kìm	tang	bar
kình	bril	rivalry
kí	teken	sign
kích	klik	excite
kíchbom	klikknop	bombers
kín	privaat	secretive or closed tight (adj.)
kính	bril	respect
kíp	bemanning	esoterica
kít	krijste	wheelbarrow
ký	teken	"(""nhật ký"") a diary"
kĩ	voorzichtig	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	snoep	candy
kẹp	klem	to clamp down (v.)
kẹt	zit vast	jam
kẻ	jongens	guy
kẻo	niet	lest
kẽ	interstitial	crevice
kẽm	zink	zinc
kế	de volgende	a scheme (n.)
kết	einde	combine
kề	aangrenzend	adjacent
kềnh	omvangrijk	bulky
kệ	planken	ignore
kỉ	eeuw	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	cavalerie	ki
kịp	houden	kip
kỵ	cavalerie	taboo
kỷ	eeuw	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	label	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hybride	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	land-	land
landon	land op	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	linnen	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	ronde	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateraan	lateran
latinh	latijns	latin
latvia	letland	(proper noun) latvia
lau	veeg	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	leggen	lay
lazarus	lazarus	(proper noun) lazarus
leach	uitlogen	(proper noun) leach
leaf	blad	leaf
leave	vertrekken	leave
lebanon	libanon	(proper noun) lebanon
lee	lee	lee
legacy	erfenis	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenins	lenin's
leo	beklimmen	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libië	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	bliksem	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	koppelingen	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lissabon	a name
litva	litouwen	(proper noun) lithuania
liu	liu	liu
liêm	integriteit	good example
liên	onderneming	relate
liêng	heilig	sacred
liêu	bureaucratie	bureaucracy
liềm	sikkel	sickle
liều	dosis	daring
liễu	wilg	a willow tree (n.)
liệng	werpen	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	verlamming	impotent
liệu	of	document
lleyton	lleyton	lleyton
lo	zich zorgen maken	to worry (v.)
loa	spreken	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	glad	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	logboek	log
logan	logan	a name
lon	kan	lon
london	londen	london
long	lang	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	rooster	(proper noun) louvre
love	liefde	yeu
loài	soorten	species
loát	opzichtig	overturn
loãng	wasachtig	wishy-washy
loét	zweer	gaping, as in a wound
loại	soorten	type
loạianh	type	not a word
loạianime	type anime	type anime
loạibệnh	type ziekte	disease
loạichiến	type	loaichien
loạicác	type	item
loạicâu	type	type: club
loạicông	type	type: industry
loạicựu	type	kind former
loạigia	type	loaigia
loạihuân	kindhuan	not a word
loạiluật	soort wet	type: law
loạimáy	type machine	kind plane
loạimôn	type	type
loạingày	typ dit	loaingay
loạiphim	filmtype	type movie
loạiphong	type	kind of movement
loạiscandal	type	scandal type
loạithuật	soort wet	type: lexicon
loạithành	type	kinds of payment
loạithần	type	kind myth
loạitrường	soort school	type of school
loạitín	soort	type: belief
loạitổ	type	kind organization
loạivõ	type type	type: martial art
loạixã	type	kind of society
loạn	wanorde	disorderly
loạt	serie	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	terug	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	long	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburg	a name
luy	luy	luy
luyến	hechting	love
luyện	opleiding	training
luận	commentaar	"(term should be ""xã luận"") an editorial"
luật	de wet	law
luồn	schroefdraad	wriggle
luồng	stroom	lane
luộc	gekookt	boiled
luỹ	cumulatief	rampart (n.)
ly	glas	divorce
lydia	lydia	lydia
lympho	lymfoom	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	was	the verb to be
làm	doen	make
làn	rijbaan	wave
làng	dorp	village
lành	genezen	protestant
lào	laos	laos
lá	bladeren	"(term should be ""lá thư"") a letter (n.)"
lác	scheel	brag
lách	milt	to swerve (v.)
lái	rijden	to drive (v.)
lán	keet	shack
láng	glanzend	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	eenhoorn	nearby
lâu	lang	long time
lây	besmettelijk	to infect
lãi	interesseren	a profit
lãm	shows	exhibition
lãnh	ontvangen	to receive
lão	oud	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	uitglijden	sneak
lê	peer	le
lêmạc	licht	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	omhoog	on
lênh	opdracht	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	vertrekken	to leave (v.)
lình	plotseling	suddenly
lí	opslag	reason
lính	soldaat	soldier
lít	liter	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	oven	release
lòng	verpletteren	heart
lóc	snakehead	cry
lóe	flitste	flash
lóng	jargon	"entire term should be ""tieng long""; means ""slang"""
lót	voering	undies
lô	veel	batch
lôi	fout	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	haar-	hair
lõi	kern	core
lõm	concaaf	concave
lùi	achteruit	back
lùn	kort	dwarf
lùng	jacht	hunt
lúa	rijstveld	rice
lúc	bij	at the moment
lún	verzakking	subside
lúng	gloed	confused
lúp	vergroten	uneven
lút	stiekem	surreptitiously
lăm	vijf	tens
lăn	rollen	attack
lăng	mausoleum	tomb
lĩnh	domeinen	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	overstroming	a band or gang (n.)
lũng	vallei	valley
lũy	cumulatief	rampart
lơ	verwaarlozing	to ignore
lơi	maak los	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	wierookvat	an urn
lưng	terug	back
lươn	paling	eel
lương	salaris	conscience
lưới	raster	a net (n.)
lướt	surfen	ski
lười	lui	lazy
lưỡi	tong	tongue
lưỡng	biseksueel	"(term should be ""lưỡng tính"") bisexual"
lược	kam	invasion
lượm	verzamelen	pick up
lượn	glijden	to glide over (v.)
lǐ	ik	(proper noun) li, as in jet li
lạ	vreemd	strange or unusual (adj.)
lạc	verloren	camel
lạch	kreek	"(term should be ""luồng lạch"") a narrow water passageway"
lại	opnieuw	reversed
lạn	verrot	bright
lạng	lang	lang
lạp	worst	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	knielen	kowtow
lấn	aantasting	to encroach on (v.)
lấp	vullen	sparkle
lấy	kiezen	taken
lầm	mis	wrong
lần	keer	time
lầu	verdieping	a story or level of a building (n.)
lầy	moerassig	swamp
lẩu	hot pot	hotpot
lẩy	springen	get
lẫn	verward	each other
lẫy	snuifje	illustrious
lận	bedriegen	fraudulent
lật	omdraaien	turn
lậy	o ja	"(term should be ""cai lậy"") the name of a rural district"
lắc	schudden	to shake (v.)
lắm	heel	do
lắng	af te wikkelen	"(should be ""lo lắ́́ng"") to worry"
lắp	passend	lap
lặng	rustig	quiet
lặp	herhaling	repeat
lặt	diversen	means miscellaneous, part of the word lat vat
lẹ	snel	quickly (adv.)
lẻ	vreemd	"(the term should be ""bán lẻ"") retail"
lẻn	sluipen	sneak
lẻo	laks	climb
lề	marge	alignment
lều	tent	tent
lễ	ceremonie	ceremony
lệ	tarief	"(term should be ""tỷ lệ"") probability (n.)"
lệch	scheef	difference
lệnh	comeinand	command
lị	dysenterie	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalender	history
lọc	filter	tricked
lọi	scheel	brilliant
lọng	parasol	rope
lọt	vallen	enter
lỏi	pluisjes	to enter
lỏng	los	loose
lố	over-	ridiculous
lốc	wervelwind	tornado
lối	ingang	way or path
lốp	band	tyre
lốt	gedaante	lolot
lồ	reusachtig	giant
lồi	convex	convex
lồng	kooi	cage
lỗ	gat	hole
lộc	fortuin	loc
lội	zwemmen	wade
lộn	omgedraaid	wrong/mistake
lộng	prachtig	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	strippen	exploit
lớn	groot	large
lớp	klasse	grade (n.)
lờ	negeren	turbid
lời	woord	advice
lở	mevrouw	to crack
lỡ	mevrouw	miss
lợi	winst	benefit
lợn	varken	pig
lợp	dakbedekking	roof
lụa	zijde	silk
lục	groen	record
lụi	platgebrand	ruin
lụt	overweldigen	flood
lụy	implicaties	consequence
lứa	afval	peer
lừa	truc	mislead
lừng	illuster	well-known
lửng	das	lơ lửng= not clear/ something in between
lự	aarzelend	reluctant
lựa	geselecteerd	chosen
lựu	granaatappel	grenade
ma	geest	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macklesfield	macclesfield
macedonia	macedonië	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	gekkenhuis	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	maffia	mafia
magiê	magnesium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	dak	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	majoor	major
makemake	maken	makemake
malacca	malakka	malacca
malay	maleis	malaysia
malaysia	maleisië	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	carry	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manilla	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	kaarten	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	jachthaven	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	maarschalk	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	maria	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	matten	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	snel	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maxim	a name
may	naaien	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendelejev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	boodschapper	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messias	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	micro	micro
microbiology	microbiologie	microbiology
microeconomics	micro-economie	microeconomics
micronesia	micronesië	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milaan	milan
milano	milano	milano
miley	miley	miley
mill	molen	mill
miller	molenaar	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	luchtspiegeling	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	buitenbeentjes	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hypnose	mien
miêu	kat	"(term should be ""miêu tả"") to describe (v.)"
miến	rijstnoedel	burma
miếng	stukken	a piece (n.)
miếu	tempel	temple
miền	domein	area
miễn	vrijgesteld	to exempt (v.)
miện	kroon	crown
miệng	mond	mouth
mm	mm	millimeter
mobile	mobiel	mobile
mode	modus	mode
modul	module	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	nieuw	winkle
molecular	moleculair	molecular
molotov	molotov	molotov
molypden	molybdeen	the element molybdenum (n.)
mongolia	mongolië	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	loeien	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravië	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marokko	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
