$ tỉ	miljarder dollar	$ billion
incoterms	incoterms	(proper noun) incoterms
indian	indisk	indian
indiana	indiana	indiana
indochina	indokina	indochina
indonesia	indonesien	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	jon	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irland	ireland
irgun	irgun	irgun
irony	ironi	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	domkraft	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	januari	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jaspis	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jersey	jersey
jerusalem	jerusalem	jerusalem
jesse	jesse	a name
jesus	jesus	chua jesus
jetstar	jetstar	jetstar
jewish	jewish	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	gemensam	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	jules verne	jules verne
julliard	julliard	(proper noun) julliard
jump	hoppa	jump
june	juni	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaka	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	kalium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukasus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	kräm	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	deklaration	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	vattenfritt	rare
khang	khang	khang
khanh	khanh	khanh
khao	längtar	desire
khay	bricka	tray
khe	spår	chink
khem	khem	abstinence
khen	beröm	praise
kheo	på stylter	kheo
khi	när	when
khieu	förstår inte	(proper noun) khieu, as in khieu samphan
khiêm	blygsam	khiem
khiên	skydda	a shield
khiêu	erotisk	"('khiêu dâm"") pornographic"
khiếm	försämrad	lack
khiến	orsak	control
khiếp	livrädd	horrible
khiếu	stuga	talent (n.)
khiển	kontrollera	control
khleang	khleang	kh'leang
kho	lager	warehouse
khoa	fakultet	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	borra	drill
khoang	hålighet	brag
khoanh	ringa ut	a slice (n.)
khoe	skryta	to boast
khoá	låsa	lock
khoác	överrock	coat
khoán	stock	stock
khoáng	mineral	mineral
khoát	slutgiltig	decisive
khoét	skära	carve
khoăn	band	disturbed
khoả	naken	naked
khoản	artikel	an item (n.)
khoảng	ungefär	about
khoảnh	stunder	moment
khoẻ	bra	health
khrushchev	chrusjtjov	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	kvartal	section
khung	ramar	frame
khural	khural	khural
khuynh	vänster	trend
khuyên	råd	advise
khuyết	defekt	lack
khuyển	hund	khuyen
khuất	dold	hidden
khuấy	omrörd	stir
khuẩn	bakterie	bacteria
khuếch	förstärka	amplification
khuỷu	armbåge	elbow
khá	snarare	quite
khác	övrig	different
khách	gäst	customer
khái	konceptuell	concept
khám	undersökning	discover
khán	publiken	audience
kháng	motstånd	appeal
khánh	oberoende	a type of chime made of stone (n.)
khát	törstig	to be thirsty for (adj.)
khâm	kham	admire
khèn	ack	a pan-pipe (n.)
khéo	genial	cleverly or skillfully (adv.)
khép	stänga	close
khía	hack	"(term should be ""khía cạnh"") angle (n.)"
khích	uppmuntra	encourage
khít	stänga	close
khó	svår	difficulty
khóa	låsa in	a session
khóc	gråta	cry
khói	rök	smoke
khóm	ananas	a cluster
khô	torkades	dry
khôn	klok	clever, intelligent
không	är inte	not
khúc	segmentet	song
khăm	illaluktande	nasty (adj.)
khăn	handduk	difficult
khơi	offshore	sea
khư	khu	grip
khưu	khuu	khuu
khước	förneka	waive
khả	möjlighet	"(term should be ""khả năng"") ability (n.)"
khải	uppenbarelse	triumph
khảm	mosaik-	to encrust
khảo	undersökning	"(term should be ""tham khảo"") to consult (v.)"
khấm	pierced	endure
khấn	be	pray
khấu	rabatt	"(term should be ""sân khấu"") a stage (n.)"
khẩn	brådskande	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	hack	moment
khắp	överallt	all over
khẳng	korrekt	"(term should be ""khẳng định"") to assert (v.)"
khế	stjärnfrukt	bond
khỉ	apa	monkey or ape (n.)
khỏa	naken	nude
khỏe	stark	health
khỏi	ut ur	leave
khố	höftskynske	loincloths
khốc	dire	devastating
khối	betygsnivå	a block or mass of (n.)
khốn	bastard	miserable
khống	khong	control
khổ	lidande	miserable (adj.)
khổng	jätte	huge
khởi	initierar	start
khủng	fruktansvärd	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastard	elbow
khứu	pastell	olfactory
khử	eliminera	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	det där	other
kid	unge	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometer	kilometer
kim	kim	kim
kingdom	rike	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	kyss	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	christian	christian
kiêm	sperma	cum
kiên	patient	consistent
kiêng	avstå	abstinence, as in abstaining from eating
kiêu	arrogant	showy
kiếp	livstid	a lifetime (n.)
kiết	kiet	cheap (adj.)
kiềm	alkalisk	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	kontrollera	control
kiểu	typ	type
kiệm	ekonomisk	save
kiện	att stämma	event (su kien)
kiệt	mästerverk	exhausted (adv.)
kiệu	bärstol	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilometer	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koranen	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	korunan	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kung fu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	sluten	included
kèn	trumpet	horn
kém	minst	less
kén	kokong	selective
kéo	drag	scissors
kép	dubbel	dual
két	kassaskåp	"(term should be ""rốc két"") rocket (n.)"
kê	hirs	statistics
kênh	kanaler	channel
kêu	lodning	appeal
kìa	skåda	that
kìm	tång	bar
kình	glasögon	rivalry
kí	tecken	sign
kích	klick	excite
kíchbom	clickbutton	bombers
kín	privat	secretive or closed tight (adj.)
kính	glasögon	respect
kíp	besättning	esoterica
kít	screeched	wheelbarrow
ký	tecken	"(""nhật ký"") a diary"
kĩ	försiktigt	technique
kơnia	kaia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	godis	candy
kẹp	klämma	to clamp down (v.)
kẹt	fastnat	jam
kẻ	grabbar	guy
kẻo	för att inte	lest
kẽ	interstitial	crevice
kẽm	zink	zinc
kế	nästa	a scheme (n.)
kết	slutet	combine
kề	intilliggande	adjacent
kềnh	stor och tung	bulky
kệ	hyllor	ignore
kỉ	århundrade	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	kavalleri	ki
kịp	ha kvar	kip
kỵ	kavalleri	taboo
kỷ	århundrade	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	märka	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hybrid	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	landa	land
landon	landa på	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	linné	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	knä	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	latin	latin
latvia	lettland	(proper noun) latvia
lau	torka	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	lägga	lay
lazarus	lazarus	(proper noun) lazarus
leach	urlaknings	(proper noun) leach
leaf	blad	leaf
leave	lämna	leave
lebanon	libanon	(proper noun) lebanon
lee	lä	lee
legacy	arv	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenins	lenin's
leo	klättra	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libyen	libya
lido	friluftsbad	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	blixt-	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	länkar	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lissabon	a name
litva	litauen	(proper noun) lithuania
liu	liu	liu
liêm	integritet	good example
liên	våga	relate
liêng	helig	sacred
liêu	byråkrati	bureaucracy
liềm	skära	sickle
liều	dos	daring
liễu	vide	a willow tree (n.)
liệng	kasta	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	förlamning	impotent
liệu	huruvida	document
lleyton	lleyton	lleyton
lo	oroa	to worry (v.)
loa	tala	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	smart	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	logga	log
logan	logan	a name
lon	burk	lon
london	london	london
long	lång	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	kärlek	yeu
loài	arter	species
loát	prålig	overturn
loãng	washy	wishy-washy
loét	ulcus	gaping, as in a wound
loại	arter	type
loạianh	typ	not a word
loạianime	typ anime	type anime
loạibệnh	typ av sjukdom	disease
loạichiến	typ	loaichien
loạicác	typ	item
loạicâu	typ	type: club
loạicông	typ	type: industry
loạicựu	typ	kind former
loạigia	typ	loaigia
loạihuân	kindhuan	not a word
loạiluật	typ av lag	type: law
loạimáy	typ av maskin	kind plane
loạimôn	typ	type
loạingày	skriv detta	loaingay
loạiphim	filmtyp	type movie
loạiphong	typ	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	typ av lag	type: lexicon
loạithành	typ	kinds of payment
loạithần	typ	kind myth
loạitrường	typ av skola	type of school
loạitín	snäll	type: belief
loạitổ	typ	kind organization
loạivõ	typ typ	type: martial art
loạixã	typ	kind of society
loạn	oordning	disorderly
loạt	serier	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	tillbaka	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	lunga	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburg	a name
luy	luy	luy
luyến	anknytning	love
luyện	träning	training
luận	kommentar	"(term should be ""xã luận"") an editorial"
luật	lagen	law
luồn	gängad	wriggle
luồng	ström	lane
luộc	kokt	boiled
luỹ	kumulativ	rampart (n.)
ly	glas	divorce
lydia	lydia	lydia
lympho	lymfom	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	var	the verb to be
làm	do	make
làn	körfält	wave
làng	by	village
lành	läkt	protestant
lào	laos	laos
lá	löv	"(term should be ""lá thư"") a letter (n.)"
lác	skelning	brag
lách	mjälte	to swerve (v.)
lái	kör	to drive (v.)
lán	hydda	shack
láng	glansig	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	enhörning	nearby
lâu	lång	long time
lây	smittsam	to infect
lãi	intressera	a profit
lãm	visar	exhibition
lãnh	mottagen	to receive
lão	gammal	old
lèo	lejonet	"(term should be ""nước lèo"") broth (n.)"
lén	glida	sneak
lê	päron	le
lêmạc	ljus	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	upp	on
lênh	kommando	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	lämna	to leave (v.)
lình	plötsligt	suddenly
lí	lagring	reason
lính	soldat	soldier
lít	liter	litre
líu	kuttra	"(term should be ""dính líu"") to have a connection with"
lò	ugn	release
lòng	krossa	heart
lóc	ormhuvudsfisken	cry
lóe	fångs	flash
lóng	slang	"entire term should be ""tieng long""; means ""slang"""
lót	foder	undies
lô	massa	batch
lôi	fel	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	hår	hair
lõi	kärna	core
lõm	konkav	concave
lùi	bakåt	back
lùn	kort	dwarf
lùng	jaga	hunt
lúa	irländare	rice
lúc	på	at the moment
lún	sättningar	subside
lúng	blossa	confused
lúp	förstorande	uneven
lút	lömsk	surreptitiously
lăm	fem	tens
lăn	rullande	attack
lăng	mausoleum	tomb
lĩnh	domäner	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	översvämning	a band or gang (n.)
lũng	dal	valley
lũy	kumulativ	rampart
lơ	försummelse	to ignore
lơi	slappna av	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	rökelsekar	an urn
lưng	tillbaka	back
lươn	ål	eel
lương	lön	conscience
lưới	rutnät	a net (n.)
lướt	surfing	ski
lười	lat	lazy
lưỡi	tunga	tongue
lưỡng	bisexuell	"(term should be ""lưỡng tính"") bisexual"
lược	hårkam	invasion
lượm	samla	pick up
lượn	glida	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	konstig	strange or unusual (adj.)
lạc	förlorat	camel
lạch	bäck	"(term should be ""luồng lạch"") a narrow water passageway"
lại	om igen	reversed
lạn	rutten	bright
lạng	lang	lang
lạp	korv	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	hjälplös	kowtow
lấn	intrång	to encroach on (v.)
lấp	fylla	sparkle
lấy	plocka	taken
lầm	fel	wrong
lần	gånger	time
lầu	golv	a story or level of a building (n.)
lầy	sumpig	swamp
lẩu	hot pot	hotpot
lẩy	hoppa	get
lẫn	förvirrad	each other
lẫy	nypa	illustrious
lận	fuska	fraudulent
lật	flip	turn
lậy	åh ja	"(term should be ""cai lậy"") the name of a rural district"
lắc	skaka	to shake (v.)
lắm	mycket	do
lắng	att lösa	"(should be ""lo lắ́́ng"") to worry"
lắp	passande	lap
lặng	tyst	quiet
lặp	upprepa	repeat
lặt	diverse	means miscellaneous, part of the word lat vat
lẹ	snabbt	quickly (adv.)
lẻ	udda	"(the term should be ""bán lẻ"") retail"
lẻn	smyg	sneak
lẻo	slapp	climb
lề	marginal	alignment
lều	tält	tent
lễ	ceremoni	ceremony
lệ	betygsätta	"(term should be ""tỷ lệ"") probability (n.)"
lệch	skev	difference
lệnh	comeinand	command
lị	dysenteri	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalender	history
lọc	filtrera	tricked
lọi	skelning	brilliant
lọng	parasoll	rope
lọt	falla	enter
lỏi	ludd	to enter
lỏng	lösa	loose
lố	över	ridiculous
lốc	virvelvind	tornado
lối	ingång	way or path
lốp	däck	tyre
lốt	sken	lolot
lồ	jätte	giant
lồi	konvex	convex
lồng	bur	cage
lỗ	hål	hole
lộc	förmögenhet	loc
lội	simma	wade
lộn	vänt	wrong/mistake
lộng	underbar	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	strippa	exploit
lớn	stor	large
lớp	klass	grade (n.)
lờ	ignorera	turbid
lời	ord	advice
lở	fröken	to crack
lỡ	fröken	miss
lợi	vinst	benefit
lợn	gris	pig
lợp	takläggning	roof
lụa	silke	silk
lục	grön	record
lụi	brann ner	ruin
lụt	överösa	flood
lụy	implikationer	consequence
lứa	skräp	peer
lừa	lura	mislead
lừng	lysande	well-known
lửng	grävling	lơ lửng= not clear/ something in between
lự	tveksam	reluctant
lựa	vald	chosen
lựu	granatäpple	grenade
ma	spöke	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	dårhus	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	maffia	mafia
magiê	magnesium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	tak	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	stordator	mainframe
major	större	major
makemake	makemake	makemake
malacca	malacka	malacca
malay	malajiska	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	bära	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	kartor	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	fördärvar	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	matta	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	mattor	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	snabbt	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maxim	a name
may	sy	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	budbärare	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messiah	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	mikro	micro
microbiology	mikrobiologi	microbiology
microeconomics	mikroekonomi	microeconomics
micronesia	micronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mikrofon	mike
mikoyan	mikojan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	kvarn	mill
miller	mjölnare	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	hägring	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	missanpassade	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hypnos	mien
miêu	katt	"(term should be ""miêu tả"") to describe (v.)"
miến	ris nudlar	burma
miếng	bitar	a piece (n.)
miếu	tempel	temple
miền	domän	area
miễn	befria	to exempt (v.)
miện	krona	crown
miệng	mun	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	läge	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	ny	winkle
molecular	molekyl-	molecular
molotov	molotov	molotov
molypden	molybden	the element molybdenum (n.)
mongolia	mongoliet	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	monte	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	mu	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marocko	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moskva	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	moçambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	smp	mp
ms	fröken	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	köpa	buy
much	mycket	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ebenholts	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	vilja	a large number; thousands (adj.)
muối	salt	salt
muốn	vilja	want
muống	sked	"(term should be ""rau muống"") water spinach (n.)"
muồi	sent	ripe
muỗi	mygga	mosquito
