$ tỉ	miliarde de dolari	$ billion
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	amăgire	illusion
ilyich	ilyich	ilyich
im	sunt	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	efect	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indian	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonezia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insulină	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irlanda	ireland
irgun	irgun	irgun
irony	ironie	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istambul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	iacov	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	ianuarie	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japonia	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasp	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	blugi	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	ierihonul	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jerseu	jersey
jerusalem	ierusalim	jerusalem
jesse	jesse	a name
jesus	iisus	chua jesus
jetstar	jetstar	jetstar
jewish	evreiesc	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	comun	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	jiu-jitsu	judo, the martial art
julesverne	jules verne	jules verne
julliard	julliard	(proper noun) julliard
jump	a sari	jump
june	iunie	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potasiu	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampucia	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karate-do	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	cașmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	katmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	caucaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	cremă	ice cream (n.)
ken	orizont	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	declaraţie	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	anhidru	rare
khang	khang	khang
khanh	khanh	khanh
khao	dor	desire
khay	tavă	tray
khe	slot	chink
khem	khem	abstinence
khen	laudă	praise
kheo	pe stâlpi	kheo
khi	cand	when
khieu	nu inteleg	(proper noun) khieu, as in khieu samphan
khiêm	modest	khiem
khiên	scut	a shield
khiêu	erotic	"('khiêu dâm"") pornographic"
khiếm	afectarea	lack
khiến	cauză	control
khiếp	îngrozit	horrible
khiếu	depune	talent (n.)
khiển	control	control
khleang	khleang	kh'leang
kho	depozit	warehouse
khoa	facultate	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	burghiu	drill
khoang	cavitate	brag
khoanh	sună	a slice (n.)
khoe	a se da mare	to boast
khoá	lacăt	lock
khoác	pardesiu	coat
khoán	stoc	stock
khoáng	mineral	mineral
khoát	definitiv	decisive
khoét	a tăia	carve
khoăn	toci	disturbed
khoả	gol	naked
khoản	articol	an item (n.)
khoảng	aproximativ	about
khoảnh	momente	moment
khoẻ	amenda	health
khrushchev	hrusciov	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	sferturi	section
khung	rame	frame
khural	khural	khural
khuynh	stânga	trend
khuyên	sfat	advise
khuyết	defect	lack
khuyển	câine	khuyen
khuất	ascuns	hidden
khuấy	agitat	stir
khuẩn	bacterii	bacteria
khuếch	amplifica	amplification
khuỷu	cot	elbow
khá	mai degraba	quite
khác	alte	different
khách	oaspete	customer
khái	conceptual	concept
khám	examinare	discover
khán	audienta	audience
kháng	rezistenţă	appeal
khánh	independenţă	a type of chime made of stone (n.)
khát	însetat	to be thirsty for (adj.)
khâm	kham	admire
khèn	vai	a pan-pipe (n.)
khéo	ingenios	cleverly or skillfully (adv.)
khép	închide	close
khía	crestătură	"(term should be ""khía cạnh"") angle (n.)"
khích	a incuraja	encourage
khít	închide	close
khó	dificil	difficulty
khóa	incuia	a session
khóc	strigăt	cry
khói	fum	smoke
khóm	ananas	a cluster
khô	uscat	dry
khôn	înţelept	clever, intelligent
không	nu este	not
khúc	segment	song
khăm	urât mirositor	nasty (adj.)
khăn	prosop	difficult
khơi	off-shore	sea
khư	khu	grip
khưu	khưu	khuu
khước	nega	waive
khả	posibilitate	"(term should be ""khả năng"") ability (n.)"
khải	revelatie	triumph
khảm	mozaic	to encrust
khảo	examinare	"(term should be ""tham khảo"") to consult (v.)"
khấm	străpunsă	endure
khấn	ruga	pray
khấu	reducere	"(term should be ""sân khấu"") a stage (n.)"
khẩn	urgent	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	crestătură	moment
khắp	peste tot	all over
khẳng	afirmativ	"(term should be ""khẳng định"") to assert (v.)"
khế	fructe stelare	bond
khỉ	maimuţă	monkey or ape (n.)
khỏa	nud	nude
khỏe	puternic	health
khỏi	din	leave
khố	loincloth	loincloths
khốc	groaznic	devastating
khối	nivel de grad	a block or mass of (n.)
khốn	bastard	miserable
khống	khong	control
khổ	suferinţă	miserable (adj.)
khổng	gigant	huge
khởi	initiati	start
khủng	teribil	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastard	elbow
khứu	pastel	olfactory
khử	înlătura	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	acea	other
kid	copil	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometri	kilometer
kim	kim	kim
kingdom	regat	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	pup	kiss
kissinger	kissinger	kissinger
kitts	cristofor	kitts
kitô	creştin	christian
kiêm	spermă	cum
kiên	rabdator	consistent
kiêng	abtinere	abstinence, as in abstaining from eating
kiêu	arogant	showy
kiếp	durata de viață	a lifetime (n.)
kiết	kiet	cheap (adj.)
kiềm	alcalin	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	verifica	control
kiểu	tip	type
kiệm	economic	save
kiện	a da in judecata	event (su kien)
kiệt	capodopera	exhausted (adv.)
kiệu	palanchin	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilometru	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	coran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	chiabur	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	curd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuweit	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	anexat	included
kèn	trompeta	horn
kém	cel mai puţin	less
kén	cocon	selective
kéo	trage	scissors
kép	dual	dual
két	seifuri	"(term should be ""rốc két"") rocket (n.)"
kê	mei	statistics
kênh	canale	channel
kêu	sondare	appeal
kìa	iată	that
kìm	cleşte	bar
kình	ochelari	rivalry
kí	semn	sign
kích	clic	excite
kíchbom	clickbutton	bombers
kín	privat	secretive or closed tight (adj.)
kính	ochelari	respect
kíp	echipaj	esoterica
kít	screeched	wheelbarrow
ký	semn	"(""nhật ký"") a diary"
kĩ	cu grija	technique
kơnia	kaia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	bomboane	candy
kẹp	clamă	to clamp down (v.)
kẹt	blocat	jam
kẻ	baieti	guy
kẻo	ca nu cumva	lest
kẽ	interstițial	crevice
kẽm	zinc	zinc
kế	următor →	a scheme (n.)
kết	sfârșit	combine
kề	adiacent	adjacent
kềnh	voluminos	bulky
kệ	rafturi	ignore
kỉ	secol	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	cavalerie	ki
kịp	a pastra	kip
kỵ	cavalerie	taboo
kỷ	secol	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	eticheta	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hibrid	"(term should be ""tương lai"") the future (n.)"
lam	cotonogi	lam
lama	lama	a name
lan	lan	a name
land	teren	land
landon	a ateriza pe	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	lenjerie	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	poală	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	cu laser	laser
lateran	lateran	lateran
latinh	latin	latin
latvia	letonia	(proper noun) latvia
lau	sterge	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	lay	lay
lazarus	lazarus	(proper noun) lazarus
leach	filtra	(proper noun) leach
leaf	frunze	leaf
leave	părăsi	leave
lebanon	liban	(proper noun) lebanon
lee	sub vânt	lee
legacy	moştenire	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenin	lenin's
leo	a urca	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libia	libya
lido	lido	lido
liechtenstein	lichtenstein	liechtenstein
liga	liga	a name
lightning	fulger	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	link-uri	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisabona	a name
litva	lituania	(proper noun) lithuania
liu	liu	liu
liêm	integritate	good example
liên	aventura	relate
liêng	sacru	sacred
liêu	birocraţie	bureaucracy
liềm	seceră	sickle
liều	doza	daring
liễu	salcie	a willow tree (n.)
liệng	arunca	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	paralizie	impotent
liệu	dacă	document
lleyton	lleyton	lleyton
lo	vă faceți griji	to worry (v.)
loa	vorbi	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	șmecher	patchy
loch	lac	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	buturuga	log
logan	logan	a name
lon	poate sa	lon
london	londra	london
long	lung	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	dragoste	yeu
loài	specie	species
loát	bătător la ochi	overturn
loãng	spălăcit	wishy-washy
loét	ulcer	gaping, as in a wound
loại	specie	type
loạianh	tip	not a word
loạianime	anime tip	type anime
loạibệnh	tip de boala	disease
loạichiến	tip	loaichien
loạicác	tip	item
loạicâu	tip	type: club
loạicông	tip	type: industry
loạicựu	tip	kind former
loạigia	tip	loaigia
loạihuân	kindhuan	not a word
loạiluật	tipul legii	type: law
loạimáy	tipul de mașină	kind plane
loạimôn	tip	type
loạingày	tastați asta	loaingay
loạiphim	tip de film	type movie
loạiphong	tip	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	tipul legii	type: lexicon
loạithành	tip	kinds of payment
loạithần	tip	kind myth
loạitrường	tip de scoala	type of school
loạitín	drăguț	type: belief
loạitổ	tip	kind organization
loạivõ	tip de tip	type: martial art
loạixã	tip	kind of society
loạn	tulburare	disorderly
loạt	serie	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	înapoi	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	plămân	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburg	a name
luy	luy	luy
luyến	atașament	love
luyện	instruire	training
luận	cometariu	"(term should be ""xã luận"") an editorial"
luật	legea	law
luồn	filetat	wriggle
luồng	curent	lane
luộc	fiert	boiled
luỹ	cumulativ	rampart (n.)
ly	sticlă	divorce
lydia	lydia	lydia
lympho	limfom	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	a fost	the verb to be
làm	do	make
làn	bandă	wave
làng	sat	village
lành	vindecat	protestant
lào	laos	laos
lá	frunze	"(term should be ""lá thư"") a letter (n.)"
lác	strabism	brag
lách	splină	to swerve (v.)
lái	conduce	to drive (v.)
lán	colibă	shack
láng	lucios	neighbours
lâm	cotonogi	lâm, a common vietnamese first name
lân	inorog	nearby
lâu	lung	long time
lây	contagios	to infect
lãi	interes	a profit
lãm	spectacole	exhibition
lãnh	primit	to receive
lão	vechi	old
lèo	leu	"(term should be ""nước lèo"") broth (n.)"
lén	alunecare	sneak
lê	pară	le
lêmạc	ușoară	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	sus	on
lênh	comanda	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	părăsi	to leave (v.)
lình	brusc	suddenly
lí	depozitare	reason
lính	soldat	soldier
lít	litru	litre
líu	gânguri	"(term should be ""dính líu"") to have a connection with"
lò	cuptor	release
lòng	zdrobi	heart
lóc	cap de șarpe	cry
lóe	fulgeră	flash
lóng	argou	"entire term should be ""tieng long""; means ""slang"""
lót	căptuşeală	undies
lô	lot	batch
lôi	eroare	encourage
lôn	laugh out loud	"(term should be ""côn lôn"") a village in vietnam"
lông	păr	hair
lõi	miez	core
lõm	concav	concave
lùi	înapoi	back
lùn	mic de statura	dwarf
lùng	vânătoare	hunt
lúa	orez	rice
lúc	la	at the moment
lún	surpare	subside
lúng	semnal luminos	confused
lúp	mărire	uneven
lút	meschin	surreptitiously
lăm	cinci	tens
lăn	rulare	attack
lăng	mausoleu	tomb
lĩnh	domenii	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	potop	a band or gang (n.)
lũng	vale	valley
lũy	cumulativ	rampart
lơ	neglijare	to ignore
lơi	relaxeaza-te	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	cădelniţă	an urn
lưng	înapoi	back
lươn	țipar	eel
lương	salariu	conscience
lưới	grilă	a net (n.)
lướt	surfing	ski
lười	leneş	lazy
lưỡi	limbă	tongue
lưỡng	bisexuat	"(term should be ""lưỡng tính"") bisexual"
lược	pieptene	invasion
lượm	aduna	pick up
lượn	alunecare	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	ciudat	strange or unusual (adj.)
lạc	pierdut	camel
lạch	pârâu	"(term should be ""luồng lạch"") a narrow water passageway"
lại	din nou	reversed
lạn	putred	bright
lạng	lang	lang
lạp	cârnat	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	culcat la pământ	kowtow
lấn	uzurpare	to encroach on (v.)
lấp	completati	sparkle
lấy	alege	taken
lầm	gresit	wrong
lần	ori	time
lầu	podea	a story or level of a building (n.)
lầy	mlăştinos	swamp
lẩu	hot pot	hotpot
lẩy	a sari	get
lẫn	confuz	each other
lẫy	ciupi	illustrious
lận	trișa	fraudulent
lật	flip	turn
lậy	oh da	"(term should be ""cai lậy"") the name of a rural district"
lắc	scutura	to shake (v.)
lắm	foarte	do
lắng	a stabili	"(should be ""lo lắ́́ng"") to worry"
lắp	montaj	lap
lặng	liniște	quiet
lặp	repeta	repeat
lặt	diverse	means miscellaneous, part of the word lat vat
lẹ	rapid	quickly (adv.)
lẻ	ciudat	"(the term should be ""bán lẻ"") retail"
lẻn	a strecura	sneak
lẻo	lax	climb
lề	margine	alignment
lều	cort	tent
lễ	ceremonie	ceremony
lệ	rată	"(term should be ""tỷ lệ"") probability (n.)"
lệch	oblic	difference
lệnh	comeinand	command
lị	dizenterie	"(term should be ""tỉnh lị"") a township (n.)"
lịch	calendar	history
lọc	filtru	tricked
lọi	strabism	brilliant
lọng	umbrelă de soare	rope
lọt	toamna	enter
lỏi	puf	to enter
lỏng	pierde	loose
lố	peste	ridiculous
lốc	vârtej de vânt	tornado
lối	intrare	way or path
lốp	obosi	tyre
lốt	înfățișare	lolot
lồ	gigant	giant
lồi	convex	convex
lồng	cuşcă	cage
lỗ	gaură	hole
lộc	avere	loc
lội	înot	wade
lộn	oglindită	wrong/mistake
lộng	splendid	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	dezbracă-te	exploit
lớn	mare	large
lớp	clasă	grade (n.)
lờ	ignora	turbid
lời	cuvânt	advice
lở	domnișoară	to crack
lỡ	domnișoară	miss
lợi	profit	benefit
lợn	porc	pig
lợp	acoperire	roof
lụa	mătase	silk
lục	verde	record
lụi	ars	ruin
lụt	overwhelm	flood
lụy	implicații	consequence
lứa	gunoi	peer
lừa	truc	mislead
lừng	ilustru	well-known
lửng	bursuc	lơ lửng= not clear/ something in between
lự	șovăitor	reluctant
lựa	selectat	chosen
lựu	rodie	grenade
ma	fantomă	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magmă	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	balamuc	madhouse
madison	madison	madison
madonna	madonă	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafie	mafia
magiê	magneziu	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	acoperiş	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	major	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	malaezian	malaysia
malaysia	malaezia	(proper noun) the country of malaysia
malcolm	malcom	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	transporta	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	hărţi	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	tescovină	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	marte	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	rogojini	mats, as in mats sundin
matthias	matia	matthias, as in matthias erzberger
mau	repede	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maximă	a name
may	a coase	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	paul mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	chem	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	vem	mean corpuscular volume
media	mass-media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	mesager	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesia	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	micro	micro
microbiology	microbiologie	microbiology
microeconomics	microeconomie	microeconomics
micronesia	micronezia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoian	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milano	milan
milano	milano	milano
miley	miley	miley
mill	moară	mill
miller	morar	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	miraj	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	misfits	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnoză	mien
miêu	pisică	"(term should be ""miêu tả"") to describe (v.)"
miến	tăiței de orez	burma
miếng	bucăți	a piece (n.)
miếu	templu	temple
miền	domeniu	area
miễn	scuti	to exempt (v.)
miện	coroană	crown
miệng	gură	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	mod	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mahomed	mohammed
moi	nou	winkle
molecular	molecular	molecular
molotov	molotov	molotov
molypden	molibden	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	muntenegru	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	muget	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moraviei	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	maroc	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	emite semnale morse	(proper noun) morse, as in morse code
moscow	moscova	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	domnișoară	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	cumpără	buy
much	mult	much
