$	ps	a sign of doller
નેટવર્કિંગ	redes	networking
નેતા	líder	leader
નેતાઓ	líderes	leaders
નેતાઓને	líderes	leaders
નેતાજી	netaji	netaji / leader
નેતૃત્વ	liderazgo	leadership
નેતૃત્વમાં	led	in thr leadership of
નેધરલેન્ડ્સ	los países bajos	netherlands
નેપાલ	nepal	nepal, name of country
નેપાળ	nepal	nepal
નેપાળમાં	en nepal	in nepal
નેપાળી	nepalí	nepali's/of nepali
નેપ્ચ્યુન	neptuno	neptune
નેપ્ચ્યુનની	de neptuno	neptune's
નેબ્યુલા	nebulosa	nebula
નેમ	nombre	name
નેમીનાથજી	neminathji	neminathji
નેમીનાથજીના	neminathji&#39;s	of neminathji
નેવી	armada	navy
નેશનલ	nacional	national
નેશન્સ	naciones	nations
નેહરુ	nehru	surname
નેહરુએ	nehru	by nehru
નેહરુની	nehru&#39;s	surname
નેહરુને	nehru	to nehru
નેહરૂ	nehru	javaharlala neharu
નૈતિક	ético	ethical
નો	no.	of
નોંધ	nota	note
નોંધણી	registro	recorded
નોંધનીય	incapaz	notable
નોંધપાત્ર	significativo	notable
નોંધવા	notar	noticeable
નોંધવામાં	célebre	by registering
નોંધાઈ	registrado	registered
નોંધાય	reportado	registered
નોંધાયું	reportado	reported
નોંધાયેલ	reportado	registered
નોંધાયેલા	reportado	registered
નોંધાયો	guardián	registered
નોંધાવી	archivado	to register
નોંધો	notas	records
નોંધ્યા	célebre	noted
નોંધ્યુ	célebre	reported
નોંધ્યું	notado	note
નોકરી	trabajo	job
નોટ	nota	note
નોન	no	non
નોબલ	noble	noble
નોબેલ	nobel	nobel
નોર્થ	norte	north
નોર્માન	normando	norman (the normans people)
નોર્વે	noruega	norve
નોર્વેની	noruego	norway's
નોર્સ	nórdico	nors
નોવા	estrella nueva	nova
નૌકા	el barco	navy
નૌકાદળ	armada	navy
નૌકાદળના	armada	of navy
ન્યાય	justicia	justice
ન્યાયિક	judicial	judicial
ન્યુ	nuevo	new
ન્યુઝ	noticias	news
ન્યુઝીલેન્ડ	nueva zelanda	new zealand
ન્યુટન	newton	newton
ન્યૂ	nuevo	new
ન્યૂઝ	noticias	news
ન્યૂઝીલેન્ડ	nueva zelanda	new zealand
ન્યૂટન	newton	newton
ન્યૂટનના	de newton	of newton
ન્યૂટનની	de newton	newton's
ન્યૂટનનું	de newton	newton
ન્યૂટનને	a newton	to newton
ન્યૂટનનો	de newton	of newton
ન્યૂટને	newton	newton
ન્યૂનતમ	mínimo	minimum
ન્યૂયોર્ક	nueva york	newyork
પંચ	puñetazo	punch
પંચમહાલ	panchmahal	panchmahal
પંચાંગ	almanaque	calendar
પંચાંગની	almanaque	of the calendar
પંચાયત	panchayat	committee of a village
પંચાયતની	panchayat	of panchayat (village administration)
પંચાયતનું	del panchayat	panchayat's
પંજાબ	punjab	punjab
પંજાબી	punjabi	punjabi
પંજીકરણ	registro	registration
પંડિત	pt	pandit
પંથ	culto	clan
પંદર	quince	fifteen
પકડવા	atrapar	catch
પકડી	captura	catch
પક્ષ	partido	party
પક્ષના	de la fiesta	party
પક્ષની	de la fiesta	side
પક્ષપાત	parcialidad	bias
પક્ષી	el pájaro	bird
પક્ષીઓ	aves	birds
પક્ષે	en el lado	(at) side
પક્ષો	fiestas	parties
પગ	pies	leg
પગથિયા	pasos	steps
પગથિયાં	pasos	steps
પગપાળા	a pie	by walking
પગમાં	en las piernas	in feet
પગલા	pasos	steps
પગલાં	pasos	foot print
પગલું	paso	step
પગલે	siguiendo	followed by
પગે	pies	foot
પચાસ	cincuenta	fifty
પછી	luego	later
પછીથી	después	after
પછીના	el siguiente	following
પછીનાં	próximo	later on
પછીની	el siguiente	after
પછીનું	próximo	of later period
પછીનો	el siguiente	after
પટ	golpe corto	bed
પટના	patna	patna
પટનાના	patna	patna's
પટનામાં	en patna	city name patana
પટેલ	patel	patel
પટેલને	patel	to patel
પટેલે	patel	patel, surname, (here as an means of by patel)
પટ્ટા	cinturón	bands
પટ્ટામાં	en el cinturón	line
પટ્ટી	bar	tape
પટ્ટો	cinturón	belt,
પડકાર	desafío	challenge
પડખે	en el lado	beside
પડતા	que cae	falling
પડતાં	exceso	falling
પડતી	que cae	downfall
પડતું	que cae	falling
પડતો	que cae	excessive
પડયા	cayó	fell
પડયું	cayó	read
પડવા	caer	be marked
પડવાની	caer	secession
પડશે	caerá	fall,
પડાવ	cámping	camp
પડી	cayó	to fall to
પડીને	que cae	fell
પડે	caídas	falls
પડેલ	acostado	kept
પડેલા	atrapado	lying
પડેલી	acostado	laying
પડેલું	acostado	existed
પડોશી	barrio	neighbor
પડ્યા	cayó	fall,
પડ્યાં	cayó	fell
પડ્યુ	cayó	was forced to
પડ્યું	cayó	put
પડ્યો	cayó	fell
પણ	también	but
પણે	también	also
પતન	caída	fall / ruin
પતિ	marido	husband
પત્થર	roca	stone
પત્થરની	de piedra	stone
પત્થરો	piedras	stones
પત્ની	esposa	wife
પત્નીને	a la esposa	to wife
પત્ર	letra	letter
પત્રકાર	periodista	writer
પત્રમાં	en la carta	in letter
પત્રો	letras	mail
પથ	el camino	path
પથરાયેલી	dispersado	spread
પથ્થર	roca	stone
પથ્થરો	piedras	stones
પદ	posición	position
પદભ્રષ્ટ	depuesto	dethroned
પદવી	la licenciatura	degree, honored status
પદાર્થ	sustancia	goods
પદાર્થો	objetos	solid
પદાર્થોના	de objetos	of substances
પદાર્થોની	de sustancias	of the substances
પદાર્થોનું	de sustancias	of things
પદાર્થોને	objetos	matter
પદાર્થોનો	de sustancias	things
પદે	posición	foot
પદો	condiciones	poem stanzas
પદ્ધતિ	método	system
પદ્ધતિઓ	métodos	method
પદ્ધતિની	metódico	method's
પદ્ધતિને	método	to process
પદ્ધતિનો	metodologico	technique's
પદ્ધતિમાં	en el metodo	process
પદ્મ	padma	lotus
પદ્ય	verso	prose
પધરાવવામાં	dispersado	offered
પધ્ધતિ	método	system
પન	retruécano	decision
પબ્લિક	público	public
પયગંબર	profeta	prophets
પર	en	on
પરંતુ	pero	but
પરંપરા	tradicion	tradition
પરંપરાઓ	tradiciones	tradition
પરંપરાગત	tradicional	traditional
પરંપરાના	de tradición	heritage
પરંપરામાં	en la tradicion	traditional
પરત	regreso	return back
પરત્વે	en cambio	to / for
પરથી	de	on
પરદેશી	extranjero	foreigner
પરના	en	of above
પરની	en	on
પરનું	en	upon
પરનો	en	on
પરન્તુ	pero	but
પરબ્રહ્મ	parabrahm	the almighty
પરમ	último	prime
પરમહંસ	paramahansa	paramhans
પરમાણુ	átomo	nuclear
પરમાર	parmar	parmar
પરમેશ્વરની	de dios	of god
પરવાનગી	permiso	premission
પરવાનો	licencia	permit
પરશુરામ	parashuram	parshuram
પરશુરામજી	parashuramji	parsuramji
પરસ્પર	mutuo	mutual
પરાક્રમી	poderoso	brave
પરાગ	polen	pollen
પરાગરજ	heno	pollinators
પરાગાધાન	polinización	paragadhan
પરાજય	derrota	lost
પરાજિત	derrotado	defeated
પરાસ્ત	derrotado	defeated
પરિક્રમા	orbita	rotation
પરિક્રમામાં	en el ciclo	in circulation
પરિક્ષિત	probado	the parikshit
પરિઘ	circunferencia	round
પરિચય	introducción	introduction
પરિચયની	introducción	of introduction
પરિણમી	resultante	resulted
પરિણમે	resultante	as a result
પરિણમ્યો	resultante	resulted
પરિણામ	el resultado	result / outcome
પરિણામે	como resultado	result of
પરિણામો	resultados	results
પરિબળ	factor	component
પરિબળો	factores	reason
પરિભાષા	terminología	meaning
પરિભ્રમણ	rotación	rotation
પરિમાણ	dimensión	dimension
પરિમાણો	dimensiones	measurements
પરિયોજના	proyecto	project
પરિવર્તન	cambio	change
પરિવર્તનની	de transformación	change of
પરિવર્તિત	transformado	processed / altered
પરિવહન	transporte	transportation
પરિવહનની	de transporte	of transport
પરિવાર	familia	family
પરિવારના	de la familia	of family
પરિવારની	de la familia	of family
પરિવારમાં	en la familia	in the family
પરિષદ	conferencia	conference
પરિષદના	de la conferencia	conference
પરિષદમાં	en la conferencia	conference
પરિસરમાં	en el campus	in the premises
પરિસ્થિતિ	situación	situation
પરિસ્થિતિઓ	condiciones	situations
પરિસ્થિતિમાં	en la situacion	in situation
પરિસ્થિતી	situación	situation
પરીક્ષણ	pruebas	test
પરીક્ષા	examen	examination
પરીણામે	como resultado	consequently
પરીણામો	resultados	results
પરોક્ષ	indirecto	indirect
પર્યંત	hasta	till
પર્યટક	turista	traveller
પર્યટન	turismo	tourism
પર્યટનની	excursiones	tourism's
પર્યટનને	excursiones	to tourism
પર્યટનમાં	en turismo	in tourism
પર્યાપ્ત	suficiente	enough
પર્યાય	sinónimo	synonym
પર્યાવરણ	el entorno	environment
પર્યાવરણને	para el medio ambiente	environment
પર્યાવરણીય	ambiental	environmental
પર્લ	perla	pearl
પર્વ	banquete	festival
પર્વત	montaña	mountain
પર્વતની	de la montaña	mountain
પર્વતમાળા	cordillera	mountains
પર્વતમાળામાં	en las montañas	in the mountain range
પર્વતીય	montañoso	mountain
પર્વતો	montañas	mountains
પર્વતોમાં	en las montañas	on mountains , on hills
પર્શિયન	persa	persian
પર્સનલ	personal	personal
પવન	el viento	wind
પવનો	el viento	winds
પવાઈ	powai	powai
પવિત્ર	santo	holy
પવિત્રતા	santidad	sanctitiy
પશુ	animal	animal
પશુઓ	vacas	animals
પશુઓને	vacas	to the animals
પશુપાલન	la cría de animales	farm
પશ્ચાત	después	after
પશ્ચિમ	oeste	west
પશ્ચિમના	del oeste	of west
પશ્ચિમની	del oeste	western
પશ્ચિમમાં	en el oeste	west
પશ્ચિમિ	occidental	western
પશ્ચિમી	occidental	western
પશ્ચિમે	hacia el oeste	(at) west
પસંદ	me gusta	liking
પસંદગી	elección	approval
પસન્દ	elección	liked [hindi word]
પસાર	pasar	to pass
પહલા	primero	prime
પહલાં	antes de	previously
પહલી	el primero	first
પહલે	primero	initially
પહાડ઼ી	montaña	mountainous
પહેરે	usar	wear
પહેલ	iniciativa	initiative
પહેલા	antes de	before
પહેલાં	antes de	previously
પહેલાંના	anterior	earlier
પહેલાંનો	anterior	before
પહેલાના	anterior	previoulsy
પહેલાની	anterior	earlier
પહેલી	el primero	first
પહેલુ	primero	first
પહેલું	primero	first
પહેલેથી	ya	from the beginning,
પહેલો	el primero	first
પહોંચતા	llegando	reaching
પહોંચવા	alcanzar	reach
પહોંચાડવા	para entregar	giving
પહોંચાડવામાં	entregado	to make reaching
પહોંચાડી	entregado	deliver
પહોંચાડે	entrega	one kind of effects
પહોંચાડ્યો	entregado	sent at a destination
પહોંચી	alcanzado	reached
પહોંચે	llega	reached
પહોંચ્યા	llegado	reached
પહોંચ્યું	llegado	reached
પહોંચ્યો	llegado	reached
પહોળા	amplio	wide
પા	pensilvania	quarter
પાંચ	cinco	five
પાંચમા	quinto	fifth
પાંચમી	quinto	fifth
પાંચમો	quinto	fifth
પાંચાલી	panchali	name of pandava's wife, draupadi, hiroin of the mahabharta
પાંડવ	pandava	pandav
પાંડવો	pandavas	pandavas
પાંડવોના	de los pandavas	pandavas
પાંડવોની	de los pandavas	pandava's
પાંડવોને	a los pandavas	to pandavas
પાંડવોનો	de los pandavas	pandava's
પાંડુ	pandu	pandu
પાંડુરંગ	pandurang	pandurang
પાંડે	pandey	pandey
પાંદડા	hojas	leaves
પાક	cosecha	crop
પાકિસ્તાન	pakistán	pakistan
પાકિસ્તાનના	de pakistán	pakistan
પાકિસ્તાનની	de pakistán	pakistan's
પાકિસ્તાનમાં	en pakistán	in pakistan
પાકિસ્તાની	pakistaní	pakistani
પાકિસ્તાને	a pakistán	pakistan
પાકે	maduro	strong
પાકો	cultivos	firm
પાછલા	anterior	end of
પાછલી	anterior	last
પાછળ	espalda	on
પાછળથી	luego	behind
પાછળના	posterior	on the back(side)/reverse
પાછળની	posterior	terminal
પાછા	espalda	again
પાછી	espalda	re
પાછુ	espalda	again
પાછું	espalda	again
પાછો	espalda	return
પાટણ	patan	patan
પાટણના	patan	of patan
પાટણની	patan	of patan
પાટનગર	capital	patnagarh
પાટલિપુત્ર	pataliputra	patliputra
પાટિલ	patil	patil
પાટિલના	de patil	of patil
પાટિલે	patil	by patil,
પાઠ	lecciones	lesson
પાઠક	lector	surname
પાડતા	proporcionar	providing
પાડતી	leyendo	supplies
પાડતું	proporcionar	does
પાડવા	para proveer	to provide
પાડવાની	para proveer	provide
પાડવાનો	para proveer	to publish
પાડવામાં	previsto	in falling
પાડી	previsto	to fall from
પાડીને	gritando	by
પાડે	proporciona	makes parts
પાડ્યું	previsto	to fall
પાડ્યો	previsto	keep
પાણી	agua	water
પાણીથી	con agua	from water
પાણીના	de agua	water
પાણીનાં	de agua	water's
પાણીની	de agua	water's
પાણીનું	de agua	watery
પાણીને	agua	water
પાણીનો	de agua	of water, water's
પાણીમાં	en el agua	in water
પાતળી	delgado	thin
પાત્ર	personaje	to be worthy of
પાત્રમાં	en personaje	thing
પાત્રો	caracteres	character,
પાન	pan	leaves
પાનખર	otoño	the season at the end of summer and beginning of the winter
પાના	páginas	of [that] side
પાની	agua	water
પાનું	página	page
પાપ	pecado	sin
પામશે	obtendrá	will
પામી	pami	receive
પામે	morir	gets
પામેલ	pamel	got
પામેલા	pamela	received
પામેલાં	pamela	recieved
પામેલી	pameli	occuring
પામ્યા	encontró	got
પામ્યાં	encontró	received
પામ્યું	encontró	got
પામ્યો	encontró	he got
પાયા	bases	bases
પાયાના	fundación	grassroots
પાયાનાં	básico	base
પાયાની	básico	completely
પાયાનું	básico	basic
પાયે	escala	base
પાયો	fundación	foundation
પાર	par	crossing
પારંપરિક	tradicional	traditional
પારંપરીક	tradicional	traditional
પારડી	pardi	pardi
પારસી	parsi	parsee
પારિતોષિક	recompensas	reward
પારિભાષિક	técnico	relating to terminology
પારેખ	parekh	surname
પાર્ક	parque	park
પાર્કમાં	en el parque	in park
પાર્ટી	partido	party
પાર્ટીના	de la fiesta	party's
પાર્થિવ	terrestre	parthiv
પાર્વતી	parvati	"name 'parvati"""
પાર્શ્વ	lateral	playback
પાલન	conformidad	follow
પાલનપુર	palanpur	palanpur
પાલિકા	municipio	municipality
પાલીતાણા	palitana	palitana
પાળતા	mascota	pet
પાળવા	mascota	to obey
પાળે	obedecer	follows
પાવન	santo	auspicious
પાવર	poder	power
પાવાગઢ	pavagadh	pavagadh
પાશ્ચાત્ય	occidental	western
પાસ	pasar	to pass
પાસા	aspecto	aspect
પાસાઓ	aspectos	one kind of characters
પાસુ	lado	facet
પાસે	tener	near
પાસેથી	de	from / near
પાસેના	cerca de	nearer
પાસેની	cerca de	nearest
પિતા	padre	father
પિતાએ	padre	father
પિતાના	padre	father's
પિતાની	padre	father's
પિતાનું	padre	father's
પિતાને	al padre	his father
પિત્ત	bilis	gall / bile
પિરામિડ	pirámide	pyramid
પિરામિડના	de la pirámide	pyramid
પિરામિડની	de la pirámide	pyramid's
પિરામિડનો	de las piramides	pyramid's
પિશ્તાક	pishtak	pishtak
પી	pags	p
પીચ	melocotón	peach
પીછેહઠ	retirada	regression
પીછો	persecución	to follow
પીઝાના	pizza	pisa's
પીઝાનો	pizza	pisa's , of pisa
પીટર	peter	peter
પીડાતા	sufrimiento	suffering
પીપલ્સ	pueblos	peoples,
પીળા	amarillo	yellow
પુંકેસર	estambres	stamen
પુખ્ત	adultos	adult
પુજા	adoración	worship
પુત્ર	hijo	son
પુત્રના	del hijo	son's
પુત્રની	del hijo	son's
પુત્રને	hijo	to the son
પુત્રનો	del hijo	son's
પુત્રી	hija	daughter
પુત્રો	hijos	sons
પુનઃ	re	again
પુનરાગમન	vuelve	comeback
પુર	inundar	flood
પુરતા	suficiente	enough
પુરતો	suficiente	enough
પુરવઠા	suministros	supply
પુરવઠાની	suministros	supplies
પુરવઠો	suministros	supply
પુરવાર	probar	proved
પુરસ્કાર	premios	prize
પુરસ્કારો	premios	awards
પુરા	pura	completes
પુરાણ	purana	puran
પુરાણા	purana	ancient
પુરાણી	antiguo	old
પુરાણો	puranas	old books
પુરાણોમાં	en los puranas	puran
પુરાતન	arcaico	ancient
પુરાવા	evidencia	proof
પુરાવાઓ	evidencia	proofs / evidences
પુરાવો	prueba	evidance
પુરી	puri	provided
પુરુ	puru	provide
પુરું	hecho	ended
પુરુષ	masculino	male
પુરુષો	hombres	men
પુરુષોત્તમ	purushottam	purushottam
પુરૂ	puru	provide
પુરૂં	terminado	provide
પુરૂષ	masculino	male
પુરૂષો	hombres	males
પુરૂષોત્તમ	purushottam	purushottam
પુરો	terminar	sufficient
પુર્ણ	completar	complete
પુર્વ	este	east
પુર્વક	purvak	by or with
પુર્વીય	oriental	eastern
પુર્વે	antes de cristo	in east
પુલ	puente	bridge
પુષ્કળ	mucho	lots of
પુષ્ટિ	confirmación	grace
પુસ્તક	el libro	book
પુસ્તકના	del libro	book's
પુસ્તકની	del libro	in the book
પુસ્તકનું	del libro	of book
પુસ્તકમાં	en el libro	in book
પુસ્તકાલય	biblioteca	library
પુસ્તકો	libros	books
પુસ્તકોના	de libros	of the books
પુસ્તકોની	de libros	book's
પુસ્તકોમાં	en los libros	in books
પૂ	poo	east
પૂંછ	cola	tail
પૂછ્યું	preguntó	ask
પૂજન	adoración	worship
પૂજા	adoración	pray
પૂર	inundar	tide
પૂરતા	suficiente	sufficient
પૂરતી	suficiente	enough
પૂરતો	suficiente	sufficient
પૂરસ્કાર	premios	trophy
પૂરા	completar	complete
પૂરી	reunirse	fulfills
પૂરુ	terminado	sufficient
પૂરું	terminado	provide
પૂરે	completar	fills up
પૂરો	terminar	fulfilled
પૂર્ણ	hecho	complete, finish,
પૂર્વ	este	east
પૂર્વક	absolutamente	alongwith
પૂર્વજો	antepasados	forbear / ancestor
પૂર્વધારણા	hipótesis	old thinking
પૂર્વના	del este	of the east
પૂર્વમાં	en el este	in east
પૂર્વાધમાં	en primer plano	in the first half
પૂર્વી	oriental	eastern
પૂર્વીય	oriental	eastern
પૂર્વે	antes de cristo	north
પૃથ્વી	tierra	earth
પૃથ્વીના	de la tierra	earth's, of the earth
પૃથ્વીની	de la tierra	earth's
પૃથ્વીનું	de la tierra	earth's
પૃથ્વીને	a la tierra	earth
પૃથ્વીનો	de la tierra	of the earth
પૃષ્ઠ	pags	cover
પૃષ્ઠભૂમિ	antecedentes	background
પૅરીસ	parís	paris
પેકેટ	paquete	packet
પેજ	página	page
પેજીસ	páginas	pages
પેટ	estómago	stomach
પેટન્ટ	patentar	patent
પેટલાદ	petlad	petlad
પેટા	sub	sub [prefix]
પેટ્રોલિયમ	petróleo	petroleum
પેઢી	firma	generation
પેદા	generado	produce
પેદાશ	producto	origin
પેદાશો	productos	produce
પેન્થેરા	panthera	panthera
પેપર	papel	paper
પેપરમાં	en el papel	paper
પેરિસ	parís	paris
પેલે	pelé	other
પેલેસ	palacio	palace
પેસિફિક	pacífico	pacific
પેસિફિકમાં	en el pacifico	in pacific
પેસેન્જર	pasajero	passenger
પૈકી	de	among
પૈકીના	de	among
પૈકીની	de	out of
પૈકીનું	de	out of
પૈકીનો	de	of the
પૈસા	dinero	money
પોઇન્ટ	puntos	point
પોઈન્ટ	puntos	point
પોટર	alfarero	potter
પોટરના	potter&#39;s	potter's
પોતના	propio	ofmyself
પોતની	propio	ownself
પોતપોતાના	el uno al otro	own
પોતપોતાની	el uno al otro	respectively
પોતાના	propio	on self
પોતાનાં	propio	their
પોતાનામાં	en sí mismos	in ownself
પોતાની	propio	self
પોતાનુ	propio	own
પોતાનું	propio	own
પોતાને	sí mismos	to one's own self
પોતાનો	propio	myself
પોતે	él mismo	himself
પોપ	papa	pop
પોપડો	corteza	layer
પોરબંદર	porbandar	porbandar city name
પોર્ટ	puerto	port
પોર્ટલ	portal	portal
પોર્ટુગલ	portugal	portugal
પોર્ટુગીઝ	portugués	portuguese
પોર્ટુગીઝોએ	portugués	portuguese
પોર્નોગ્રાફી	pornografía	pornography
પોલ	pablo	paul
પોલિસ	policía	police
પોલિસી	política	policy
પોલીમોર્ફિક	polimórfico	polymorphic
પોલીસ	policía	police
પોલીસના	de la policia	of police
પોલેંડ	polonia	poland
પોલેન્ડ	polonia	poland
પોલેન્ડમાં	en polonia	in poland
પોષણ	nutrición	nutrition
પોસ્ટ	enviar	post
પોસ્ટર	póster	poster
પૌત્ર	nieto	son's son
પૌરાણિક	mito	ancient
પૌરાણીક	mítico	mythological
પ્યાર	amor	love [hindi, urdu word]
પ્રકરણ	capítulo	chapter
પ્રકરણો	capítulos	chapter/lesson
પ્રકલ્પ	proyecto	project
પ્રકાર	tipo	type
પ્રકારના	mas o menos	of types
પ્રકારનાં	mas o menos	of types
પ્રકારની	mas o menos	of types
પ્રકારનું	mas o menos	sort
પ્રકારનો	mas o menos	of types
પ્રકારમાં	en tipo	in the types of
પ્રકારે	de moda	by type
પ્રકારો	tipos	types
પ્રકાશ	ligero	light
પ્રકાશક	editor	light
પ્રકાશન	lanzamiento	light
પ્રકાશના	de luz	of the light/light's
પ્રકાશની	de luz	light
પ્રકાશનું	de luz	light's
પ્રકાશનો	publicaciones	light
પ્રકાશિત	publicado	published / displayed
પ્રકાશીત	publicado	lighted
પ્રકીર્ણ	diverso	miscellaneous
પ્રકૃતિ	naturaleza	disposition / nature
પ્રક્રિયા	proceso	process
પ્રક્રિયાઓ	procesos	process
પ્રક્રિયાની	del proceso	process
પ્રક્રિયાને	al proceso	process
પ્રક્રિયામાં	en el proceso	in process
પ્રખર	apasionado	fierce
પ્રખ્યાત	famoso	famous
પ્રગટ	revelado	appeared
પ્રગતિ	progreso	progress
પ્રચંડ	enorme	limitless
પ્રચલિત	predominante	famous
પ્રચલીત	predominante	in vogue/prevailing
પ્રચાર	propaganda	publicity / promotion
પ્રજા	la gente	subjects
પ્રજાકીય	público	civil
પ્રજાતિ	especies	species
પ્રજાતિઓ	especies	species
પ્રજાતિના	especies	of the sub species
પ્રજાના	de la gente	of civilians / people
પ્રજાની	de la gente	of the people
પ્રજાને	a la gente	public / people
પ્રજાસત્તાક	república	republican
પ્રણય	romance	love
પ્રણાલી	sistema	methodology
પ્રણેતા	pionero	inspiring
પ્રતાપ	pratap	pratap
પ્રતાપી	agosto	great adventurous
પ્રતિ	a	towards
પ્રતિક	símbolo	symbol
પ્રતિકાત્મક	simbólico	resistant
પ્રતિકાર	resistencia	oppose
પ્રતિકૃતિ	réplica	clupture
પ્રતિક્રિયા	reacción	reaction
પ્રતિજ્ઞા	promesa	vow/assumption
પ્રતિદિન	diario	everyday
પ્રતિનિધિ	representante	representative
પ્રતિનિધિત્વ	representación	representation
પ્રતિબંધ	prohibición	restriction
પ્રતિબિંબ	reflexión	image
પ્રતિબિંબિત	reflexivo	reflecting
પ્રતિભા	talento	efficiency / talent
પ્રતિભાવ	respuesta	reaction
પ્રતિભાશાળી	talentoso	genius
પ્રતિભાસંપન્ન	talentoso	gifted
પ્રતિમા	estatua	statue
પ્રતિષ્ઠા	reputación	stability
પ્રતિષ્ઠિત	acreditado	famous
પ્રતિસાદ	realimentación	reaction
પ્રતીક	símbolo	symbol
પ્રતીકો	los símbolos	symbols
પ્રત્યક્ષ	real	in front of
પ્રત્યાયન	comunicación	communication
પ્રત્યાયનનો	comunicación	try
પ્રત્યે	por	towards
પ્રત્યેક	cada	every one
પ્રત્યેના	por	towards
પ્રત્યેની	a	towards
પ્રત્યેનો	a	towards
પ્રથમ	primero	first
પ્રથમવાર	por primera vez	firstly
પ્રથા	práctica	system
પ્રથાને	en la práctica	tradition
પ્રદક્ષિણા	circunnavegación	round movement
પ્રદર્શન	actuación	exhibition
પ્રદર્શિત	desplegado	on view / screen
પ્રદર્શીત	desplegado	express
પ્રદાન	previsto	to contribute
પ્રદુષકો	contaminantes	pollutants
પ્રદુષણ	contaminación	pollution
પ્રદુષણના	de contaminación	of pollution, pollution's
પ્રદુષણને	contaminación	to pollution
પ્રદુષિત	contaminado	pollutted
પ્રદૂષણ	contaminación	pollution
પ્રદેશ	región	states
પ્રદેશના	de la región	regional
પ્રદેશનાં	de la región	of region
પ્રદેશની	de la región	of region / area
પ્રદેશને	a la region	to region
પ્રદેશનો	de la región	of region
પ્રદેશમાં	en la región	in the foreign
પ્રદેશમાંથી	de la region	from region / area
પ્રદેશો	regiones	regions
પ્રદેશોથી	de regiones	from regions
પ્રદેશોના	de regiones	of regions
પ્રદેશોમાં	regiones	in abroad
પ્રધાન	ministro	minister
પ્રધાનમંત્રી	primer ministro	prime minister
પ્રબંધ	administración	arrangement
પ્રબળ	dominante	intensive
પ્રભાવ	actuación	impression
પ્રભાવક	influyente	influencial
પ્રભાવને	influenciar	influence
પ્રભાવશાળી	impresionante	awe-inspring
પ્રભાવિત	impresionado	impressed
પ્રભાવી	eficaz	dominating
પ્રભુ	señor	god
પ્રભુત્વ	dominio	command
પ્રભુત્વને	dominación	dominance
પ્રભુપાદે	prabhup દે da	prabhupaad ( surname)
પ્રમાણ	proporción	ratio
પ્રમાણભૂત	estándar	authentic
પ્રમાણમાં	en proporción	sizewise
પ્રમાણે	como	authoritative
પ્રમુખ	presidente	president
પ્રમુખપદની	de la presidencia	chief
પ્રમેય	teorema	theprem
પ્રમોશન	promoción	promotion
પ્રયત્ન	intentar	try
પ્રયત્નો	esfuerzos	try
પ્રયાગ	prayag	try
પ્રયાણ	salida	episode
પ્રયાસ	tratar	try
પ્રયાસો	esfuerzos	tries
પ્રયુક્ત	usado	sponsored
પ્રયોગ	experimentar	trail
પ્રયોગો	los experimentos	experiments
પ્રવચન	discurso	lecture
પ્રવચનો	conferencias	speeches
પ્રવર્તમાન	predominante	current
પ્રવર્તે	prevalece	develop
પ્રવાસ	viaje	travel
પ્રવાસન	turismo	tour
પ્રવાસના	viaje	tour
પ્રવાસમાં	en el viaje	travels
પ્રવાસી	turista	traveller
પ્રવાસીઓ	turistas	tourists
પ્રવાસીઓને	turistas	tourists
પ્રવાસે	en el viaje	tour
પ્રવાહ	fluir	flow
પ્રવાહની	de la corriente	of stream
પ્રવાહને	fluir	stream,
પ્રવાહી	líquido	liquid
પ્રવાહો	tendencias	flows of
પ્રવૃતિ	actividad	activiti
પ્રવૃતિઓ	ocupaciones	competitions
પ્રવૃત્તિ	actividad	activity
પ્રવૃત્તિઓ	ocupaciones	activities
પ્રવૃત્તિઓમાં	en actividades	in activities
પ્રવૃત્તિમાં	en actividad	activity
પ્રવેશ	admisión	act of entering
પ્રવેશતા	entrando	on entering
પ્રવેશદ્વાર	entrada	entrance
પ્રવેશવાની	entrar	entry
પ્રવેશી	ingresó	entering
પ્રવેશે	entra	entrance
પ્રવેશ્યા	ingresó	entry
પ્રશંસા	apreciación	praised
પ્રશાંત	pacífico	pacific
પ્રશાસન	administración	administration
પ્રશાસનિક	administrativo	administrative [hindi]
પ્રશિષ્ટ	prashit	famous
પ્રશ્ન	pregunta	question
પ્રશ્નો	preguntas	questions
પ્રસંગ	evento	occasion
પ્રસંગે	en ocasiones	on the occasion
પ્રસંગો	ocasiones	occasions
પ્રસંગોએ	en ocasiones	function
પ્રસંગોપાત	de vez en cuando	on different occasions
પ્રસન્ન	alegre	to be pleased
પ્રસરી	penetrante	extended / spread
પ્રસાદ	prasad	prasad
પ્રસાદે	prasad	prasad, surname of indian, holy feast of temple
પ્રસાર	proliferación	spread
પ્રસારણ	transmitir	broadcast
પ્રસારિત	transmitir	broadcasted
પ્રસારીત	transmitir	broadcasting
પ્રસિદ્ધ	famoso	famous
પ્રસિદ્ધિ	fama	famous
પ્રસિધ્ધ	famoso	famous
પ્રસ્તાવ	propuesta	proposal
પ્રસ્તાવના	introducción	preface
પ્રસ્તાવિત	propuesto	propose
પ્રસ્તુત	presentado	present
પ્રસ્થાપિત	establecido	established
પ્રહાર	huelga	attack
પ્રહારો	huelgas	hits
પ્રાંત	provincia	province
પ્રાંતના	de la provincia	region
