$ tỉ	十亿美元	$ billion
hỉ	i	happy
hịch	ud	a proclamation
họ	他们	they (n.)
họa	艺术	picture
họach	计划	"(term should be ""quy hoạch"") a project (n.)"
học	学习	study (v.)
họng	喉咙	throat
họp	会面	meet
hỏa	火	fire
hỏng	坏了	corruption
hố	坑	hole
hốc	壁	cavity
hồ	湖	ho
hồi	茴香	muslim
hồn	灵魂	soul
hổ	虎	tiger
hổi	海	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	张开	hole
hỗ	支持	"(should be ""hỗ trợ"") to support or assist"
hỗn	混合的	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	组装方式	society
hộp	盒子	box
hới	开	hoi
hớn	大喊	"(term should be ""hớn hở"") radiant (adj.)"
hờn	闷闷不乐	hatred
hở	开	reveal
hỡi	大井	dear
hợi	猪	pig (n.)
hợp	适合的	appropriate
hợpquận	同意书	general district
hụt	错过了	loss
hủi	麻风病人	reject
hủy	取消	to erase or destroy
hứa	答应	promise
hử	余量	hu
hửu	占有	"(term should be ""sở hửu"") to own (v.)"
hữu	财产	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	u	again
hỷ	海兰	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	au	iau
iberia	伊比利亚	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	集成电路	ic
icc	集成电路	icc
iceland	冰岛	(proper noun) the country of iceland
ide	ide	ide
ieng	eng	(proper noun) ieng
igor	伊戈尔	igor
iii	iii	third
ilene	伊莱恩	ilence
illusion	幻觉	illusion
ilyich	伊里奇	ilyich
im	即时通讯	still
imam	阿am	(proper noun) imam
imbrium	br	imbriun
immanuel	伊曼纽尔	(proper noun) immanuel, as in immanuel kant
impact	影响	impact
incoterm	贸易术语	incoterm
incoterms	国际贸易术语	(proper noun) incoterms
indian	印度人	indian
indiana	印第安纳州	indiana
indochina	印度支那	indochina
indonesia	印尼	indonesia
indrapura	indrapura	(proper noun) indrapura
info	资讯	info
innsbruck	因斯布鲁克	innsbruck
insulin	胰岛素	insulin
int	整型	int
intel	英特尔	(proper noun) intel, as in the name of the company
interpol	刑警	interpol
inu	犬	(proper noun) inu
inuyasha	犬夜叉	inuyasha
inư	犬	(proper noun) inư
io	io	io
ioc	国际奥委会	ioc
ion	离子	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	伊朗	the nation of iran
iraq	伊拉克	iraq
ireland	爱尔兰	ireland
irgun	伊尔贡	irgun
irony	讽刺的	irony
irving	生气	(proper noun) irving
isaac	艾萨克	isaac
isla	岛	isla
islam	伊斯兰教	islam
islamabad	伊斯兰堡	(proper noun) islamabad
israeli	以色列	israeli
istanbul	伊斯坦布尔	istabbul
italia	意大利	italy
italiano	italiano	(proper noun) italiano
itanium	钛	itanium, as in windows xp itanium
ito	伊藤	ito
itsukushima	严岛	itsukushima
itu	itu	itu
itzá	伊扎	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	岩见	iwami
j	ĵ	j
jack	杰克	jack
jackie	杰基	(proper noun) jackie chan
jackson	杰克逊	(proper noun) jackson, as in michael jackson
jacob	雅各布	jacob
jae	宰	jae
jakarta	雅加达	(proper noun) jakarta
jan	简	(proper noun) jan
janeiro	耶内罗	janeiro
janet	珍妮特	janet
japan	日本	japan
jared	震撼	jared
jarvis	贾维斯	(proper noun) jarvis, as in jarvis cocker
jasper	碧玉	(proper noun) jasper
jean	吉恩	jean
jeane	简	jeane
jeanjacques	让雅克	jean-jacques
jeanpaul	让保	jeanpaul
jeans	牛仔裤	jeans
jeet	je	(proper noun) jeet, as in jeet kune do
jeff	杰夫	jeff, as in jeff drake
jefferson	杰斐逊	jefferson
jeffrey	杰弗里	jeffrey
jeju	济州	jeju
jenda	珍达	jenda
jenny	珍妮	jenny
jericho	耶利哥	jericho, as in wrestler chris jericho
jerome	杰罗姆	jerome, as in fred jerome
jerry	杰瑞	(proper noun) jerry
jersey	球衣	jersey
jerusalem	耶路撒冷	jerusalem
jesse	杰西	a name
jesus	耶稣	chua jesus
jetstar	捷星	jetstar
jewish	犹太人的	jewish
jiao	iao	jiao
jimmy	吉米	jimmy
jin	金	jin
jing	jing	jing
jiraiya	吉来耶	(proper noun) jiraiya
joachim	约阿希姆	joachin
joan	琼	a name
joe	乔	(proper noun) joe
johan	约翰	johan
johann	约翰	johann
johannes	约翰尼斯	johannes
johannesburg	约翰内斯堡	(proper noun) johannesburg, south africa
johnny	强尼	johnny
johns	约翰斯	johns
johnston	约翰斯顿	johnston, as in harry johnston
johor	柔佛州	johor
joint	联合	joint
jonathan	乔纳森	(proper noun) jonathan
jones	琼斯	jones
jose	乔瑟	(proper noun) jose, a spanish first name
joseon	朝鲜	(proper noun) joseon
joseph	约瑟夫	joseph
jscript	脚本	(proper noun) jscript
juche	主体	(proper noun) juche
judith	朱迪思	judith
judo	柔道	judo, the martial art
julesverne	朱尔斯韦恩	jules verne
julliard	蜥蜴	(proper noun) julliard
jump	跳	jump
june	六月	june, as in the month
jung	荣	jung
junsu	俊素	junsu
jupiter	木星	(proper noun) jupiter, as in the planet
jura	朱拉	(proper noun) jura
juventus	尤文图斯	juventus
k	ķ	k
kaede	枫	a japanese name
kaffee	卡菲	(proper noun) kaffee, as in kaffee hag
kagome	鹿儿	kagome, as in higurashi kagome
kahn	卡恩	kahn
kai	kai	kai
kakashi	卡卡西	kakashi
kaká	卡卡	(proper noun) kaka, a brazilian soccer player
kalashnikov	卡拉什尼科夫	(proper noun) kalashnikov
kali	钾盐	potassium
kama	卡马	(proper noun) kama, as in the kama sutra
kamakura	镰仓	kamakura
kamov	卡莫夫	kamov
kampf	坎普夫	kampf
kampong	甘榜	kampong
kampuchea	甘榜	cambodian
kana	假名	kana, the japanese phonetic alphabet
kangin	坎金	(proper noun) kangin
kanji	汉字	kanji
kant	康德	a name
kar	kar	(proper noun) kar
kara	卡拉	kara
karaoke	卡拉ok	karaoke
karate	空手道	karate
karatedo	空手道	karatedo
karen	卡伦	(proper noun) karen
karim	卡里姆	(proper noun) karim
kashmir	克什米尔	kashmir
kaspersky	卡巴斯基	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	片假名	katakana, a type of japanese script
kate	凯特	(proper noun) kate, as in actress kate winslet
katherine	凯瑟琳	katherine
kathmandu	加德满都	kathmandu
katrina	卡特里娜	(proper noun) katrina, as in hurricane katrina
katz	卡兹	katz
kauthara	卡托拉	kauthara, a part of the ancient kingdom of champa
kavkaz	高加索	kavkaz
kawasaki	川崎	(proper noun) kawasaki
kay	y	kay
kazan	喀山	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	凯莉	kelly
kelsi	凯尔西	kelsi
kelvin	开尔文	kelvin
kem	冰淇淋	ice cream (n.)
ken	ken	ken
kennedy	肯尼迪	(proper noun) kennedy, as in john f. kennedy
kenneth	肯尼斯	(proper noun) kenneth, a name
kenny	肯尼	kenny, an english first name
kentucky	肯塔基州	(proper noun) kentucky
kepler	开普勒	kepler
kerala	喀拉拉邦	(proper noun) kerala
kevin	凯文	kenvin
keynes	凯恩斯	keynes, as in economist john maynard keynes
kg	公斤	kilogram
kha	卡	(proper noun) a vietnamese first name
khai	声明书	announce
khali	哈利	(proper noun) khali
khalip	哈立普	(proper noun) khalip
kham	康	endure
khan	无水的	rare
khang	hang	khang
khanh	han	khanh
khao	向往	desire
khay	托盘	tray
khe	插槽	chink
khem	khem	abstinence
khen	称赞	praise
kheo	高跷	kheo
khi	什么时候	when
khieu	hi	(proper noun) khieu, as in khieu samphan
khiêm	谦虚	khiem
khiên	盾牌	a shield
khiêu	好色之徒	"('khiêu dâm"") pornographic"
khiếm	受损的	lack
khiến	原因	control
khiếp	吓坏了	horrible
khiếu	寄宿	talent (n.)
khiển	控制	control
khleang	le	kh'leang
kho	仓库	warehouse
khoa	师资	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	钻	drill
khoang	腔	brag
khoanh	响了	a slice (n.)
khoe	炫耀	to boast
khoá	锁	lock
khoác	大衣	coat
khoán	存货	stock
khoáng	矿物质	mineral
khoát	确定的	decisive
khoét	切	carve
khoăn	苦恼	disturbed
khoả	裸体的	naked
khoản	项	an item (n.)
khoảng	大约	about
khoảnh	片刻	moment
khoẻ	很好	health
khrushchev	赫鲁晓夫	khrushchev
khrushchyov	赫鲁乔夫	khrushchyov
khu	宿舍	section
khung	框架	frame
khural	胡拉尔	khural
khuynh	向左	trend
khuyên	忠告	advise
khuyết	有缺陷的	lack
khuyển	狗	khuyen
khuất	隐藏的	hidden
khuấy	搅动	stir
khuẩn	细菌	bacteria
khuếch	放大	amplification
khuỷu	肘部	elbow
khá	漂亮的	quite
khác	其他	different
khách	来宾	customer
khái	概念的	concept
khám	考试	discover
khán	听众	audience
kháng	抵抗	appeal
khánh	独立性	a type of chime made of stone (n.)
khát	口渴	to be thirsty for (adj.)
khâm	卡姆	admire
khèn	las	a pan-pipe (n.)
khéo	巧妙的	cleverly or skillfully (adv.)
khép	封闭的	close
khía	缺口	"(term should be ""khía cạnh"") angle (n.)"
khích	鼓励	encourage
khít	紧	close
khó	辛苦	difficulty
khóa	锁	a session
khóc	哭	cry
khói	烟	smoke
khóm	凤梨	a cluster
khô	干	dry
khôn	明智的	clever, intelligent
không	没有啦	not
khúc	歌	song
khăm	恶作剧	nasty (adj.)
khăn	毛巾	difficult
khơi	离岸	sea
khư	ư	grip
khưu	ư	khuu
khước	否认	waive
khả	可能性	"(term should be ""khả năng"") ability (n.)"
khải	启示录	triumph
khảm	马赛克	to encrust
khảo	考试	"(term should be ""tham khảo"") to consult (v.)"
khấm	刺穿	endure
khấn	祈祷	pray
khấu	打折	"(term should be ""sân khấu"") a stage (n.)"
khẩn	紧急的	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	雕刻	moment
khắp	到处	all over
khẳng	肯定的	"(term should be ""khẳng định"") to assert (v.)"
khế	杨桃	bond
khỉ	猴子	monkey or ape (n.)
khỏa	裸体的	nude
khỏe	很好	health
khỏi	出于	leave
khố	缠腰布	loincloths
khốc	可怕的	devastating
khối	挡	a block or mass of (n.)
khốn	混蛋	miserable
khống	孔	control
khổ	受苦	miserable (adj.)
khổng	巨人	huge
khởi	发起人	start
khủng	糟透了	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	混蛋	elbow
khứu	粉彩	olfactory
khử	消除	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	在那里	other
kid	小子	kid
kiel	基尔	(proper noun) kiel
kierkegaard	基尔凯郭尔	kierkegaard, as in soren kierkegaard
kiernan	基尔南	kiernan
kii	ii	kii
kikyo	奇京	kikyo
kilômét	公里	kilometer
kim	针	kim
kingdom	王国	kingdom
kinsey	金西	kisney
kiribati	基里巴斯	kiribati
kishimoto	岸本	(proper noun) kishimoto
kiss	接吻	kiss
kissinger	接吻者	kissinger
kitts	小猫	kitts
kitô	基督	christian
kiêm	兼	cum
kiên	耐心的	consistent
kiêng	弃权	abstinence, as in abstaining from eating
kiêu	傲慢自大	showy
kiếp	一生	a lifetime (n.)
kiết	ế	cheap (adj.)
kiềm	碱性的	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	检查	control
kiểu	类型	type
kiệm	经济的	save
kiện	苏	event (su kien)
kiệt	杰作	exhausted (adv.)
kiệu	轿子	scallion
klaus	克劳斯	klaus
klein	克莱因	klein
km	公里	kilometer
knesset	以色列议会	knesset
knuth	克努斯	knuth, as in donald knuth
koch	科赫	koch
kodansha	讲谈社	kodansha
kofun	科芬	kofun, as in the kofun period of japanese history
kogoro	小五郎	kogoro
komodo	科莫多	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	孔	(proper noun) kong, as in hong kong
konstantin	康斯坦丁	(proper noun) konstantin
konversationslexikon	知识分子	konversation-lexikon
kop	op	kop
koran	古兰经	koran
kornai	科尔奈	(proper noun) kornai, as in janos kornai
koruna	科鲁纳	koruna
kosovo	科索沃	(proper noun) kosovo
kremli	克里姆利	kremil
kremlin	克里姆林宫	kremlin
kristen	克里斯汀	kristen
krông	rong	krong
ku	ku	is a name
kuala	瓜拉	(proper noun) kuala, as in kuala lumpur
kubrick	库布里克	kubrick
kuen	en	kuen
kuiper	库珀	(proper noun) kuiper, as in the kuiper belt
kulak	库拉克	kulak
kune	坤	(proper noun) kune, as in the martial art jeet kune do
kung	功	danh vo
kungfu	功夫	kung fu
kunst	昆斯特	kunst, as in richard kunst
kurd	库德	kurd
kurt	库尔特	(proper noun) kurt
kuwait	科威特	kuwait, the country (n.)
kwan	关	kwan
kwen	wen	kwen
kwon	权	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	九州	kyushu
kyūshū	九州	kyushu, a japanese island
kèm	封闭的	included
kèn	小号	horn
kém	可怜的	less
kén	茧	selective
kéo	拉	scissors
kép	双重的	dual
két	安全的	"(term should be ""rốc két"") rocket (n.)"
kê	小米	statistics
kênh	频道	channel
kêu	哭了	appeal
kìa	看哪	that
kìm	钳子	bar
kình	眼镜	rivalry
kí	标志	sign
kích	点击	excite
kíchbom	点击按钮	bombers
kín	私人的	secretive or closed tight (adj.)
kính	玻璃杯	respect
kíp	船员	esoterica
kít	套件	wheelbarrow
ký	签名的	"(""nhật ký"") a diary"
kĩ	小心地	technique
kơnia	卡亚	a tree found in southeast asia; sometimes called wild mango
kạn	菅直人	kan
kẹo	糖果	candy
kẹp	夹钳	to clamp down (v.)
kẹt	卡住	jam
kẻ	伙计们	guy
kẻo	唯恐	lest
kẽ	插页式	crevice
kẽm	锌	zinc
kế	下一个	a scheme (n.)
kết	结束	combine
kề	邻近的	adjacent
kềnh	笨重的	bulky
kệ	货架	ignore
kỉ	世纪	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	骑兵	ki
kịp	及时地	kip
kỵ	骑兵	taboo
kỷ	世纪	"(term should be ""thế kỷ"") century (n.)"
l	升	l.
label	标签	label
laboulaye	拉布拉耶	a name
ladakh	拉达克	(proper noun) ladakh
lai	杂种	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	喇嘛	a name
lan	lan	a name
land	土地	land
landon	兰登	a name
lang	郎	lang
langdon	兰登	langdon
lange	兰格	lange, as in oscar lange
langue	朗格	langue
lanh	亚麻布	ringing
lanka	兰卡	(proper noun) lanka, as in the island of sri lanka
lao	结核病	labor
laos	老挝	(proper noun) laos
lap	圈数	greek
larry	拉里	larry
lars	拉尔斯	lars
las	拉斯	(proper noun) las, as in las vegas
laser	雷射	laser
lateran	拉特兰	lateran
latinh	拉丁文	latin
latvia	拉脱维亚	(proper noun) latvia
lau	擦	lau
laura	劳拉	(proper noun) laura, as in laura bush
laurence	劳伦斯	(proper noun) laurence
lawrence	劳伦斯	(proper noun) lawrence
lay	躺下	lay
lazarus	拉扎鲁斯	(proper noun) lazarus
leach	浸出	(proper noun) leach
leaf	叶	leaf
leave	离开	leave
lebanon	黎巴嫩	(proper noun) lebanon
lee	李	lee
legacy	遗留物	legacy
leiden	莱顿	leiden
lem	莱姆	cinderella
lenin	列宁	lenin
lenins	列宁	lenin's
leo	爬上	climb
leon	里昂	leon
leonard	伦纳德	leonard
leonardo	莱昂纳多	(proper noun) leonardo, as in leonardo da vinci
leonid	狮子座	leonid
les	莱斯	les
leslie	莱斯利	a name
lesotho	莱索托	lesotho
lg	lg	lg
lhp	升力	film festival
lhq	h	un
libby	利比	(proper noun) libby
libero	利比罗	libero
libya	利比亚	libya
lido	丽都	lido
liechtenstein	列支敦士登	liechtenstein
liga	西甲	a name
lightning	雷电	lightning
lilly	礼来公司	(proper noun) lilly
linga	林加	linga
linh	林氏	efficacious (adj.)
links	连结	links
linux	linux	linux server
lionel	里奥内尔	lionel
lisboa	里斯本	lisboa
lisbon	里斯本	a name
litva	立陶宛	(proper noun) lithuania
liu	u	liu
liêm	廉正	good example
liên	冒险	relate
liêng	神圣的	sacred
liêu	官僚主义	bureaucracy
liềm	镰刀	sickle
liều	剂量	daring
liễu	柳树	a willow tree (n.)
liệng	折腾	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	麻痹	impotent
liệu	生的	document
lleyton	莱顿	lleyton
lo	忧	to worry (v.)
loa	讲者	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	洛阿塔	loaita
loang	圆滑的	patchy
loch	尼斯湖	loch
locke	洛克	(proper noun) locke, as in philosopher john locke
lockheed	洛克希德	(proper noun) lockheed, as in lockheed martin
log	日志	log
logan	洛根	a name
lon	罐头	lon
london	伦敦	london
long	长	dragon
lorenzo	劳伦佐	lorenzo
los	洛斯	los, as in los angeles
louis	路易斯	louis
louisiana	路易斯安那州	(proper noun) the state of louisiana
louvre	百叶窗	(proper noun) louvre
love	爱	yeu
loài	种类	species
loát	浮华的	overturn
loãng	薄	wishy-washy
loét	溃疡	gaping, as in a wound
loại	类型	type
loạianh	类型	not a word
loạianime	动漫类型	type anime
loạibệnh	疾病类型	disease
loạichiến	类型	loaichien
loạicác	类型	item
loạicâu	类型	type: club
loạicông	类型	type: industry
loạicựu	类型	kind former
loạigia	类型	loaigia
loạihuân	善欢	not a word
loạiluật	法律类型	type: law
loạimáy	机器类型	kind plane
loạimôn	类型	type
loạingày	输入这个	loaingay
loạiphim	电影类型	type movie
loạiphong	类型	kind of movement
loạiscandal	类型	scandal type
loạithuật	法律类型	type: lexicon
loạithành	类型	kinds of payment
loạithần	类型	kind myth
loạitrường	学校类型	type of school
loạitín	亲切的	type: belief
loạitổ	类型	kind organization
loạivõ	类型类型	type: martial art
loạixã	类型	kind of society
loạn	无序	disorderly
loạt	系列	series
lp	lp	lp
lu	鲁	dim
luang	ang	a name
lucas	卢卡斯	(proper noun) lucas
lucia	露西亚	lucia, as in the island of saint lucia
luciano	卢西亚诺	luciano
ludendorff	吕登道夫	luđenorff
ludovico	卢多维科	ludovico
ludwig	路德维希	ludwig
lui	回去	withdrawal
luis	路易斯	(proper noun) luis, a first name
luiz	路易斯	luiz
lula	露拉	lula
lung	肺	shake
lustig	卢斯蒂格	lusig
luther	路德	luther
luxembourg	卢森堡	a name
luy	y	luy
luyến	依恋	love
luyện	练习	training
luận	留言	"(term should be ""xã luận"") an editorial"
luật	法律	law
luồn	螺纹的	wriggle
luồng	流	lane
luộc	煮的	boiled
luỹ	累积的	rampart (n.)
ly	ly	divorce
lydia	莉迪亚	lydia
lympho	淋巴瘤	lymphocyte
lyndon	林登	lyndon
lyon	里昂	lyon
là	是	the verb to be
làm	做	make
làn	车道	wave
làng	村落	village
lành	ed愈	protestant
lào	老挝	laos
lá	叶	"(term should be ""lá thư"") a letter (n.)"
lác	斜视	brag
lách	脾脏	to swerve (v.)
lái	开车	to drive (v.)
lán	棚屋	shack
láng	顺利	neighbours
lâm	林	lâm, a common vietnamese first name
lân	独角兽	nearby
lâu	长	long time
lây	传染性的	to infect
lãi	利息	a profit
lãm	表演	exhibition
lãnh	已收到	to receive
lão	旧的	old
lèo	è	"(term should be ""nước lèo"") broth (n.)"
lén	偷偷摸摸	sneak
lê	梨子	le
lêmạc	轻的	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	上	on
lênh	命令	"(should be ""lênh đênh"") adrift"
lênin	列宁	lenin
lìa	离开	to leave (v.)
lình	突然间	suddenly
lí	贮藏	reason
lính	军人	soldier
lít	升	litre
líu	咕	"(term should be ""dính líu"") to have a connection with"
lò	炉子	release
lòng	暗恋	heart
lóc	蛇头	cry
lóe	闪现	flash
lóng	语	"entire term should be ""tieng long""; means ""slang"""
lót	衬里	undies
lô	很多	batch
lôi	错误	encourage
lôn	哈哈	"(term should be ""côn lôn"") a village in vietnam"
lông	皮毛	hair
lõi	核心	core
lõm	凹的	concave
lùi	后退	back
lùn	矮人	dwarf
lùng	狩猎	hunt
lúa	饭	rice
lúc	在	at the moment
lún	沉陷	subside
lúng	耀斑	confused
lúp	放大	uneven
lút	偷偷摸摸的	surreptitiously
lăm	五	tens
lăn	滚动	attack
lăng	陵墓	tomb
lĩnh	域	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	洪水	a band or gang (n.)
lũng	山谷	valley
lũy	累积的	rampart
lơ	忽视	to ignore
lơi	放松	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	香炉	an urn
lưng	回去	back
lươn	鳗鱼	eel
lương	薪水	conscience
lưới	格线	a net (n.)
lướt	冲浪	ski
lười	懒惰的	lazy
lưỡi	舌头	tongue
lưỡng	双性恋	"(term should be ""lưỡng tính"") bisexual"
lược	梳子	invasion
lượm	拿起	pick up
lượn	滑行	to glide over (v.)
lǐ	ǐ	(proper noun) li, as in jet li
lạ	奇怪的	strange or unusual (adj.)
lạc	迷路了	camel
lạch	小河	"(term should be ""luồng lạch"") a narrow water passageway"
lại	再来一次	reversed
lạn	烂	bright
lạng	郎郎	lang
lạp	香肠	"(term should be ""hy lạp"") greek"
lạtma	南丫岛	lama
lạy	strate	kowtow
lấn	侵占	to encroach on (v.)
lấp	填满	sparkle
lấy	已采取	taken
lầm	错的	wrong
lần	次	time
lầu	地板	a story or level of a building (n.)
lầy	沼泽的	swamp
lẩu	火锅	hotpot
lẩy	跳	get
lẫn	困惑的	each other
lẫy	捏	illustrious
lận	作弊	fraudulent
lật	翻转	turn
lậy	哦耶	"(term should be ""cai lậy"") the name of a rural district"
lắc	摇	to shake (v.)
lắm	非常	do
lắng	安顿下来	"(should be ""lo lắ́́ng"") to worry"
lắp	合身	lap
lặng	无声的	quiet
lặp	重复	repeat
lặt	杂项	means miscellaneous, part of the word lat vat
lẹ	快	quickly (adv.)
lẻ	奇怪的	"(the term should be ""bán lẻ"") retail"
lẻn	偷偷摸摸	sneak
lẻo	松懈	climb
lề	保证金	alignment
lều	帐篷	tent
lễ	典礼	ceremony
lệ	率	"(term should be ""tỷ lệ"") probability (n.)"
lệch	歪斜	difference
lệnh	命令	command
lị	痢疾	"(term should be ""tỉnh lị"") a township (n.)"
lịch	日历	history
lọc	过滤器	tricked
lọi	斜视	brilliant
lọng	阳伞	rope
lọt	跌倒	enter
lỏi	皮棉	to enter
lỏng	松散的	loose
lố	超过	ridiculous
lốc	旋风	tornado
lối	入口	way or path
lốp	轮胎	tyre
lốt	伪装	lolot
lồ	巨人	giant
lồi	凸的	convex
lồng	笼子	cage
lỗ	洞	hole
lộc	财富	loc
lội	涉水	wade
lộn	翻转	wrong/mistake
lộng	华丽的	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	剥皮	exploit
lớn	大的	large
lớp	类	grade (n.)
lờ	忽略	turbid
lời	字	advice
lở	疮	to crack
lỡ	想念	miss
lợi	好处	benefit
lợn	猪	pig
lợp	屋面	roof
lụa	真丝	silk
lục	绿色的	record
lụi	被烧毁	ruin
lụt	洪水	flood
lụy	含意	consequence
lứa	垃圾	peer
lừa	把戏	mislead
lừng	杰出的	well-known
lửng	夹层	lơ lửng= not clear/ something in between
lự	犹豫不决	reluctant
lựa	已选	chosen
lựu	石榴	grenade
ma	幽灵	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	马斯特里赫特	maastricht
macarthur	麦克阿瑟	macarthur
macclesfield	麦克尔斯菲尔德	macclesfield
macedonia	马其顿	(proper noun) macedonia
mach	马赫	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	马丘	machu
macintosh	麦金托什	macintosh
macma	岩浆	magma
macromedia	宏媒体	macromedia
madeira	马德拉	madeira
madhouse	疯人院	madhouse
madison	麦迪逊	madison
madonna	麦当娜	(proper noun) madonna
madrid	马德里	madrid, as in the capital of spain
mafia	黑手党	mafia
magiê	镁	magnesium
mahal	玛哈尔	(proper noun) mahal, as in the taj mahal
mai	明天	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	大型机	mainframe
major	专业	major
makemake	制作	makemake
malacca	马六甲	malacca
malay	马来语	malaysia
malaysia	马来西亚	(proper noun) the country of malaysia
malcolm	马尔科姆	malcolm
maldini	马尔蒂尼	maldini
mali	马里	mai
malta	马耳他	malta
maluku	马鲁古	maluku
manche	满族	manche
manchester	曼彻斯特	manchester
mandela	曼德拉	mandela, as in nelson mandela
mandy	曼迪	mandy
mang	轴承	to bring (v.)
manga	漫画	manga
mangnall	曼格纳尔	(proper noun) mangnall, as in ernest mangnall
manh	h	fragile
manila	马尼拉	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	曼蒂	mantle
manuel	曼努埃尔	manuel
mao	毛	capillary
maps	地图	maps
maradona	马拉多纳	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	马拉	(proper noun) marat, as in marat safin, a tennis player
marc	马克	marc, as in marc chagall
marcel	马塞尔	(proper noun) marcel, a french name
marcos	马科斯	(proper noun) marcos, as in ferdinand marcos
marcus	马库斯	marcus, as in marcus aurelius (n.)
margaret	玛格丽特	(proper noun) margaret
maria	玛丽亚	(proper noun) maria
marianne	玛丽安	(proper noun) marianne
marie	玛丽	marie
marina	码头	marina
marino	马里诺	marino
marić	马里奇	maric
marmara	马尔马拉	(proper noun) marmara, as in the sea of marmara
marne	马恩河	marne, as in the marne river (n.)
mars	火星	mars
marseille	马赛	marseille
marshall	马歇尔	marshall
marsu	马苏	(proper noun) marsu
marta	玛尔塔	(proper noun) marta, as in the female brazilian soccer player
martin	马丁	martin
marx	马克思	this is a name
mary	玛丽	(proper noun) mary
maryland	马里兰	a name
maría	玛丽亚	maria
mas	马斯	mas
massachusetts	马萨诸塞州	massachusetts
mat	垫子	mat
mathematica	数学	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	垫子	mats, as in mats sundin
matthias	马蒂亚斯	matthias, as in matthias erzberger
mau	迅速地	fast
maurice	莫里斯	(proper noun) maurice
mausolus	us	mausolus
maxim	格言	a name
may	缝	lucky
maya	玛雅人	(proper noun) maya
mcafee	麦菲	(proper noun) mcafee
mccain	麦凯恩	mccain
mccartney	麦卡尼	a name
mccullough	麦卡洛	mccullough
mcdonald	麦当劳	(proper noun) mcdonald
mchc	电脑	mchc
mclaren	迈凯轮	mclaren
mcmahon	麦克马洪	(proper noun) mcmahon
mcnamara	麦克纳马拉	(proper noun) mcnamara, as in robert mcnamara
mcv	mv	mean corpuscular volume
media	媒体	media
medici	梅迪奇	(proper noun) medici, as in the medici family of italy
medina	麦地那	(proper noun) medina, as in ernest medina
medvedev	梅德韦杰夫	medvedev
mekong	湄公河	mekong
melbourne	墨尔本	melbourne
mendeleev	门捷列夫	mendeleev
menes	膜	(proper noun) menes
mercedes	奔驰	a name
messenger	信使	messanger
messerschmitt	梅施施密特	messerschmitt, as in the messerschmitt me-109, a german plane
messi	梅西	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	弥赛亚	messiah
meteora	流星	meteora
mext	下一个	mext
meyer	迈耶	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	迈耶斯	meyers
miami	迈阿密	a name
michael	迈克尔	michael
michaels	迈克尔斯	michaels
michelangelo	米开朗基罗	michelangelo
michigan	密歇根州	a name
micro	麦克风	micro
microbiology	微生物学	microbiology
microeconomics	微观经济学	microeconomics
micronesia	密克罗尼西亚	micronesia
microsoft	微软	(proper noun) the microsoft company
miguel	米格尔	miguel
mike	迈克	mike
mikoyan	米科扬	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	米兰	milan
milano	米兰	milano
miley	麦莉	miley
mill	磨	mill
miller	米勒	miller
milton	米尔顿	milton
min	分	min
minas	米纳斯	minas
mindanao	心脑	(proper noun) mindanao
ming	ming	ming
minnesota	明尼苏达州	minnesota
