$ tỉ	$ biliwn	$ billion
họach	cynllun	"(term should be ""quy hoạch"") a project (n.)"
học	dysgu	study (v.)
họng	gwddf	throat
họp	cyfarfod	meet
hỏa	tân	fire
hỏng	wedi torri	corruption
hố	pwll	hole
hốc	cilfachau	cavity
hồ	llyn	ho
hồi	anis	muslim
hồn	enaid	soul
hổ	teigr	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	gaping	hole
hỗ	cefnogaeth	"(should be ""hỗ trợ"") to support or assist"
hỗn	cymysg	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	cynulliad	society
hộp	blwch	box
hới	agored	hoi
hớn	gwaeddodd	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sulky	hatred
hở	agored	reveal
hỡi	oi	dear
hợi	moch	pig (n.)
hợp	addas	appropriate
hợpquận	cydsyniad	general district
hụt	wedi ei golli	loss
hủi	gwahanglwyfus	reject
hủy	canslo	to erase or destroy
hứa	addewid	promise
hử	huh	hu
hửu	huh	"(term should be ""sở hửu"") to own (v.)"
hữu	eiddo	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	gwlad yr iâ	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	rhith	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	effaith	impact
incoterm	incoterm	incoterm
incoterms	incotermau	(proper noun) incoterms
indian	indiaidd	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonesia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	gwybodaeth	info
innsbruck	innsbruck	innsbruck
insulin	inswlin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ïon	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irac	iraq
ireland	iwerddon	ireland
irgun	irgun	irgun
irony	eironi	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itaniwm	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jac	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	iasbis	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jîns	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	crys	jersey
jerusalem	jerwsalem	jerusalem
jesse	jesse	a name
jesus	jesus	chua jesus
jetstar	jetstar	jetstar
jewish	gem	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	ar y cyd	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	jiwdo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	neidio	jump
june	mehefin	june, as in the month
jung	jyn	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potasiwm	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	cangarin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	carioci	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	cath	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	cawcasws	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	caia	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	hufen iâ	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	datganiad	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	anhydrus	rare
khang	khang	khang
khanh	khanh	khanh
khao	hiraeth	desire
khay	hambwrdd	tray
khe	slot	chink
khem	khem	abstinence
khen	canmoliaeth	praise
kheo	ar stiltiau	kheo
khi	pryd	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	cymedrol	khiem
khiên	tarian	a shield
khiêu	erotig	"('khiêu dâm"") pornographic"
khiếm	amhariad	lack
khiến	achos	control
khiếp	dychryn	horrible
khiếu	porthdy	talent (n.)
khiển	rheolaeth	control
khleang	khleang	kh'leang
kho	warws	warehouse
khoa	gyfadran	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	drilio	drill
khoang	ceudod	brag
khoanh	ffoniwch allan	a slice (n.)
khoe	dangos i ffwrdd	to boast
khoá	clo	lock
khoác	cot fawr	coat
khoán	stoc	stock
khoáng	mwyn	mineral
khoát	diffiniol	decisive
khoét	torri	carve
khoăn	fret	disturbed
khoả	noeth	naked
khoản	eitem	an item (n.)
khoảng	tua	about
khoảnh	eiliadau	moment
khoẻ	iawn	health
khrushchev	khrushchev	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	chwarteri	section
khung	ffrâm	frame
khural	khural	khural
khuynh	chwith	trend
khuyên	cyngor	advise
khuyết	yn ddiffygiol	lack
khuyển	ci	khuyen
khuất	cudd	hidden
khuấy	troi	stir
khuẩn	bacteria	bacteria
khuếch	ymhelaethu	amplification
khuỷu	penelin	elbow
khá	&#39;n bert	quite
khác	arall	different
khách	gwesteion	customer
khái	cysyniadol	concept
khám	arholiad	discover
khán	y gynulleidfa	audience
kháng	gwrthiant	appeal
khánh	annibyniaeth	a type of chime made of stone (n.)
khát	sychedig	to be thirsty for (adj.)
khâm	khâm	admire
khèn	ysywaeth	a pan-pipe (n.)
khéo	dyfeisgar	cleverly or skillfully (adv.)
khép	ar gau	close
khía	rhicyn	"(term should be ""khía cạnh"") angle (n.)"
khích	anogaeth	encourage
khít	yn dynn	close
khó	caled	difficulty
khóa	clo	a session
khóc	i wylo	cry
khói	mwg	smoke
khóm	pîn-afal	a cluster
khô	sych	dry
khôn	doeth	clever, intelligent
không	na	not
khúc	cân	song
khăm	prank	nasty (adj.)
khăn	tywel	difficult
khơi	ar y môr	sea
khư	khư	grip
khưu	khưu	khuu
khước	gwadu	waive
khả	posibilrwydd	"(term should be ""khả năng"") ability (n.)"
khải	datguddiad	triumph
khảm	brithwaith	to encrust
khảo	arholiad	"(term should be ""tham khảo"") to consult (v.)"
khấm	tyllu	endure
khấn	gweddïwch	pray
khấu	gostyngiad	"(term should be ""sân khấu"") a stage (n.)"
khẩn	brys	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	engrafiad	moment
khắp	ar hyd a lled	all over
khẳng	cadarnhaol	"(term should be ""khẳng định"") to assert (v.)"
khế	ffrwythau seren	bond
khỉ	mwnci	monkey or ape (n.)
khỏa	noethlymun	nude
khỏe	iawn	health
khỏi	allan o	leave
khố	loincloth	loincloths
khốc	enbyd	devastating
khối	bloc	a block or mass of (n.)
khốn	bastard	miserable
khống	khong	control
khổ	dioddefaint	miserable (adj.)
khổng	cawr	huge
khởi	yn cychwyn	start
khủng	ofnadwy	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastard	elbow
khứu	pastel	olfactory
khử	dileu	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	yno	other
kid	plentyn	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	cilomedr	kilometer
kim	nodwydd	kim
kingdom	deyrnas	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	cusan	kiss
kissinger	kissinger	kissinger
kitts	cathod bach	kitts
kitô	nadolig	christian
kiêm	cum	cum
kiên	claf	consistent
kiêng	ymatal	abstinence, as in abstaining from eating
kiêu	trahaus	showy
kiếp	oes	a lifetime (n.)
kiết	llyffetheiriau	cheap (adj.)
kiềm	alcalïaidd	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	gwirio	control
kiểu	math	type
kiệm	darbodus	save
kiện	sue	event (su kien)
kiệt	campwaith	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	yn gaeedig	included
kèn	trwmped	horn
kém	druan	less
kén	cocŵn	selective
kéo	tynnu	scissors
kép	deuol	dual
két	yn ddiogel	"(term should be ""rốc két"") rocket (n.)"
kê	miled	statistics
kênh	sianel	channel
kêu	gwaeddodd	appeal
kìa	wele	that
kìm	gefail	bar
kình	sbectol	rivalry
kí	arwydd	sign
kích	cliciwch	excite
kíchbom	clickbutton	bombers
kín	preifat	secretive or closed tight (adj.)
kính	gwydr	respect
kíp	criw	esoterica
kít	kit	wheelbarrow
ký	wedi&#39;i arwyddo	"(""nhật ký"") a diary"
kĩ	yn ofalus	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	candy	candy
kẹp	clamp	to clamp down (v.)
kẹt	yn sownd	jam
kẻ	bois	guy
kẻo	rhag	lest
kẽ	interstitial	crevice
kẽm	sinc	zinc
kế	nesaf	a scheme (n.)
kết	diwedd	combine
kề	gerllaw	adjacent
kềnh	swmpus	bulky
kệ	silffoedd	ignore
kỉ	ganrif	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	marchfilwyr	ki
kịp	mewn pryd	kip
kỵ	marchfilwyr	taboo
kỷ	ganrif	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	label	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hybrid	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	tir	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	lliain	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	lap	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	lladin	latin
latvia	latvia	(proper noun) latvia
lau	sychwch	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	cyfreithlondeb	(proper noun) lawrence
lay	lleyg	lay
lazarus	lazarus	(proper noun) lazarus
leach	leach	(proper noun) leach
leaf	deilen	leaf
leave	gadael	leave
lebanon	libanus	(proper noun) lebanon
lee	lee	lee
legacy	etifeddiaeth	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenins	lenin's
leo	dringo	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libya	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	mellt	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	dolenni	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisbon	a name
litva	lithwania	(proper noun) lithuania
liu	liu	liu
liêm	uniondeb	good example
liên	menter	relate
liêng	sanctaidd	sacred
liêu	biwrocratiaeth	bureaucracy
liềm	cryman	sickle
liều	dos	daring
liễu	helyg	a willow tree (n.)
liệng	taflu	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	parlys	impotent
liệu	amrwd	document
lleyton	lleyton	lleyton
lo	lo	to worry (v.)
loa	siaradwr	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	slic	patchy
loch	llyn	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	cloeon	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	caniau	lon
london	llundain	london
long	hir	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	cariad	yeu
loài	rhywogaethau	species
loát	fflachlyd	overturn
loãng	tenau	wishy-washy
loét	wlser	gaping, as in a wound
loại	math	type
loạianh	math	not a word
loạianime	anime math	type anime
loạibệnh	math o afiechyd	disease
loạichiến	math	loaichien
loạicác	math	item
loạicâu	math	type: club
loạicông	math	type: industry
loạicựu	math	kind former
loạigia	math	loaigia
loạihuân	kindhuan	not a word
loạiluật	math o gyfraith	type: law
loạimáy	math o beiriant	kind plane
loạimôn	math	type
loạingày	teipiwch hwn	loaingay
loạiphim	math o ffilm	type movie
loạiphong	math	kind of movement
loạiscandal	math	scandal type
loạithuật	math o gyfraith	type: lexicon
loạithành	math	kinds of payment
loạithần	math	kind myth
loạitrường	math o ysgol	type of school
loạitín	caredig	type: belief
loạitổ	math	kind organization
loạivõ	math math	type: martial art
loạixã	math	kind of society
loạn	anhwylder	disorderly
loạt	cyfres	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	yn ôl	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	ysgyfaint	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	moethus	a name
luy	luy	luy
luyến	ymlyniad	love
luyện	ymarfer	training
luận	sylw	"(term should be ""xã luận"") an editorial"
luật	y gyfraith	law
luồn	threaded	wriggle
luồng	nant	lane
luộc	wedi&#39;i ferwi	boiled
luỹ	cronnus	rampart (n.)
ly	ly	divorce
lydia	lydia	lydia
lympho	lymffoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	yn	the verb to be
làm	wneud	make
làn	lôn	wave
làng	pentref	village
lành	iachâd	protestant
lào	laos	laos
lá	dail	"(term should be ""lá thư"") a letter (n.)"
lác	squint	brag
lách	dueg	to swerve (v.)
lái	gyrru	to drive (v.)
lán	shack	shack
láng	llyfn	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	unicorn	nearby
lâu	hir	long time
lây	heintus	to infect
lãi	diddordeb	a profit
lãm	sioeau	exhibition
lãnh	a dderbyniwyd	to receive
lão	hen	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	sleifio	sneak
lê	gellyg	le
lêmạc	ysgafn	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	i fyny	on
lênh	gorchymyn	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	gadael	to leave (v.)
lình	yn sydyn	suddenly
lí	storio	reason
lính	milwr	soldier
lít	litr	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	ffwrnais	release
lòng	mathru	heart
lóc	pen neidr	cry
lóe	fflachio	flash
lóng	slang	"entire term should be ""tieng long""; means ""slang"""
lót	leinin	undies
lô	lot	batch
lôi	gwall	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	ffwr	hair
lõi	craidd	core
lõm	ceugrwm	concave
lùi	yn ôl	back
lùn	corrach	dwarf
lùng	hela	hunt
lúa	reis	rice
lúc	yn	at the moment
lún	ymsuddiant	subside
lúng	fflêr	confused
lúp	chwyddo	uneven
lút	slei	surreptitiously
lăm	pump	tens
lăn	rholio	attack
lăng	mawsolewm	tomb
lĩnh	parthau	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	llifogydd	a band or gang (n.)
lũng	cwm	valley
lũy	cronnus	rampart
lơ	esgeulustod	to ignore
lơi	llacio i fyny	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	sensro	an urn
lưng	yn ôl	back
lươn	llysywen	eel
lương	cyflog	conscience
lưới	grid	a net (n.)
lướt	syrffio	ski
lười	diog	lazy
lưỡi	tafod	tongue
lưỡng	deurywiol	"(term should be ""lưỡng tính"") bisexual"
lược	crib	invasion
lượm	codi	pick up
lượn	gleidio	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	rhyfedd	strange or unusual (adj.)
lạc	ar goll	camel
lạch	cilfach	"(term should be ""luồng lạch"") a narrow water passageway"
lại	eto	reversed
lạn	wedi pydru	bright
lạng	lang	lang
lạp	selsig	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	puteinio	kowtow
lấn	tresmasu	to encroach on (v.)
lấp	llenwi	sparkle
lấy	a gymerwyd	taken
lầm	anghywir	wrong
lần	amseroedd	time
lầu	llawr	a story or level of a building (n.)
lầy	corsiog	swamp
lẩu	hotpot	hotpot
lẩy	neidio	get
lẫn	wedi drysu	each other
lẫy	pinsiad	illustrious
lận	twyllo	fraudulent
lật	fflipio	turn
lậy	o ie	"(term should be ""cai lậy"") the name of a rural district"
lắc	ysgwyd	to shake (v.)
lắm	iawn	do
lắng	i setlo	"(should be ""lo lắ́́ng"") to worry"
lắp	ffitio	lap
lặng	distaw	quiet
lặp	ailadrodd	repeat
lặt	amrywiol	means miscellaneous, part of the word lat vat
lẹ	cyflym	quickly (adv.)
lẻ	od	"(the term should be ""bán lẻ"") retail"
lẻn	sleifio	sneak
lẻo	lax	climb
lề	ymyl	alignment
lều	pabell	tent
lễ	seremoni	ceremony
lệ	cyfradd	"(term should be ""tỷ lệ"") probability (n.)"
lệch	gogwydd	difference
lệnh	y gorchymyn	command
lị	dysentri	"(term should be ""tỉnh lị"") a township (n.)"
lịch	calendr	history
lọc	hidlydd	tricked
lọi	squint	brilliant
lọng	parasolau	rope
lọt	cwympo	enter
lỏi	lint	to enter
lỏng	rhydd	loose
lố	drosodd	ridiculous
lốc	corwynt	tornado
lối	mynediad	way or path
lốp	teiar	tyre
lốt	guise	lolot
lồ	cawr	giant
lồi	convex	convex
lồng	cawell	cage
lỗ	twll	hole
lộc	ffortiwn	loc
lội	rhydio	wade
lộn	fflipio	wrong/mistake
lộng	hyfryd	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	plicio	exploit
lớn	mawr	large
lớp	dosbarth	grade (n.)
lờ	anwybyddu	turbid
lời	gair	advice
lở	doluriau	to crack
lỡ	colli	miss
lợi	budd	benefit
lợn	moch	pig
lợp	toi	roof
lụa	sidan	silk
lục	gwyrdd	record
lụi	llosgi i lawr	ruin
lụt	llifogydd	flood
lụy	goblygiadau	consequence
lứa	sbwriel	peer
lừa	tric	mislead
lừng	darluniadol	well-known
lửng	moch daear	lơ lửng= not clear/ something in between
lự	betrusgar	reluctant
lựa	wedi&#39;i ddewis	chosen
lựu	pomgranad	grenade
ma	ysbryd	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	gwallgofdy	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	maffia	mafia
magiê	magnesiwm	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	yfory	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	prif ffrâm	mainframe
major	mawr	major
makemake	gwneud	makemake
malacca	malacca	malacca
malay	maleieg	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	dwyn	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	mapiau	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	matiau	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	yn gyflym	fast
maurice	maurice	(proper noun) maurice
mausolus	mawsous	mausolus
maxim	maxim	a name
may	gwnïo	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	cyfryngau	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	negesydd	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	llanast	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	llanast	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	meicroffon	micro
microbiology	microbioleg	microbiology
microeconomics	micro-economeg	microeconomics
micronesia	micronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	melin	mill
miller	melinydd	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	mirage	mirage
