aajo	ไร้สาระ	hospitality
ìròrùn	ภาพมายา	peaceful
ìró	เสียง	sound
ìrúbo	ล่มสลาย	sacrifice
ìsawo	ดวงชะตา	divinity-practice
ìse	หนังบู๊	behaviour
ìsinsìnyí	ตอนนี้	modern
ìsirò	การคำนวณ	adding
ìsomó	ที่จะเข้าร่วม	attachment
ìsàlè	พระอาทิตย์ตกดิน	down town
ìsèlè	การผลิต	happening
ìsìn	ศาสนา	worship
ìsòrò	การทำสมาธิ	speech
ìsòrí	แผนก	chapter
ìsú	ความหนา	lump
ìsọ	ร้านค้า	stall
ìse	หนังบู๊	work
ìsègbèfábo	ความขยัน	female support
ìsèdá	การสร้าง	creation
ìsèjoba	รัฐบาล	government
ìsílé	บ้าน	house opening
ìsòro	ความยาก	problem
ìse	หนังบู๊	action
ìta	ด้านนอก	outside
ìtaeko	โรงงาน	outskirts of eko
ìtan	ประวัติศาสตร์	story
ìtokò	หม้อ	story
ìtàn	ประวัติศาสตร์	history
ìtànkálé	น้ำท่วม	spread
ìtèsíwájú	ความคืบหน้า	progress
ìtójú	การดูแล	treatment
ìtóju	ความสับสน	treatment
ìtójú	การแสดงออกทางสีหน้า	treatment
ìtóka	ที่จะถูกตี	dictionary
ìtúmò	การแปล	meaning
ìtúpalè	การแปล	exposition
ìwe	การเปรียบเทียบ	book
ìwo	แตร	horn
ìwàásù	พระธรรมเทศนา	sermon
ìwéré	หนังสือเล่มเล็ก ๆ	iwere (town)
ìwò	ทั้งหมด	set
ìwòran	วิสัยทัศน์	viewing
ìwúlò	มีประโยชน์	usefulness
ìya	ความทุกข์ทรมาน	mother
ìyapa	การแยก	divorce
ìyàwó	เจ้าสาว	wife
ìyípadà	การแปลง	transformation
ìṣèlú	การเมือง	politics
ìṣẹ́kù	ส่วนที่เหลือ	broken
ìṣọ̣̀tẹ̣̀	โรคปอดอักเสบ	rebellion
òde	ด้านนอก	society
òdeojú	faceless	surface
òdo	หนุ่ม	zero
òdìkejì	อื่น ๆ	opposite
òféàrán	รูปภาพ	a town name
ògbójú	สามารถ	brave
ògiri	ผนัง	wall
ògo	ความรุ่งโรจน์	glory
ògun	ยา	medicine
ògúndìpẹ̀	เป็นผง	ogundipe
òjo	ดูเหมือน	ojo
òjísé	แพทย์	servant
òkèògbún	พัน	oke-ogbun
òkòòkan	ทีละคน	each
òkú	ศพ	corpse
òkúta	หิน	stone
òle	แม่บ้าน	lazy
òmiràn	หมอผี	other
òmùàrán	รูปภาพ	omu-aran (town)
òní	ในวันนี้	today
òotó	ความจริง	true
òpópóònà	ถนน	highway
òranyàn	ภาคบังคับ	a must
òrìsà	ไอดอล	god
òrí	บท	top
òrò	สมอง	word
òsán	เที่ยง	afternoon
òsèlú	นักการเมือง	politics
òsèré	นักกีฬา	player
òwù	ผ้า	owu
òṣèlú	การเมือง	politician
òjògbón	สภาพอากาศที่ฝนตก	learned person
òkan	หนึ่ง	heart
òkòòkan	ทีละคน	each
òpòlopò	จำนวนมาก	many
òré	เกม	friend
òfò	ต่อไป	sorrowful
òpòlopo	จำนวนมาก	lot of
òré	เกม	friend
òrò	ความคิด	word
òsà	ปลาทอง	lagoon
òwó	เงิน	hand
òrò	ความคิด	word
òròàjòmó	ตอนเช้า	part of speech
ó	มัน	that
óníse	เขาเป็นนักออกแบบ	stricken
ósírísì	น้ำลาย	diverse
ósékú	เขาตายไปแล้ว	die suddenly
ó	ใช่	word
ôdún	ปี	year
únṣẹlẹ̀	แผ่นดินไหว	formed
şe	ทำ	do
ʔaːnaːtɕɑ̀k	ค้นหา	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	การเจ็บป่วย	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	การเปิด	work
ṣàkóbá	เป็นอันตราย	incriminate
ẹdo	เรื่องตลก	edo
ẹlẹ́bùn	ของที่ระลึก	award winner
ẹlẹ́sìn	เคร่งศาสนา	religionist
ẹnìkan	คนคนหนึ่ง	someone
ẹsẹ	ฟุต	verse
ẹtì	ตับ	friday
ẹ̀kaawon	ส่ง	branch of
ẹ̀kabrítánì	ลุง	part of britain
ẹ̀kajuly	อาจ	chapter july
ẹ̀kaoṣù	มีหนาม	month
ẹ̀kasístẹ̀mù	อัตนัย	sistemu=system
ẹ̀kẹ́ta	ที่สาม	third, the third
ẹ̀kọ́	การศึกษา	teachings
ẹ̀ni	who	person
ẹ̀rọ	เครื่องจักรกล	machine
ẹ̀wẹ̀	ในทางกลับกัน	leaf
ọbàkàn	พี่ชายครึ่งหนึ่ง	step-sister
ọdún	ปี	year
ọlọ́mọ	เด็ก ๆ	members
ọlọ́run	พระเจ้า	god
ọmú	คุณดูด	breast
ọmọ	เด็ก	c
ọn	มัน	him
ọpọ́lọpọ́	มะเดื่อ	many
ọ̀dọ́	หนุ่ม	youth
ọ̀gbìn	ปลูก	seedlings
ọ̀nà	ทาง	ways
ọ̀pòlòpò	หนังบู๊	various
ọ̀rọ̀	การพูดคุย	word
ọ̀sẹ	สัปดาห์	week
