$	usd	(dollar sign)
lennemi	ienaidnieks	the ennemy
lennon	lidoon	lennon
lenquête	izmeklēšana	investigation
lenregistrement	ieraksts	recording
lenseignement	mācīt	teaching
lensemble	visiem	lensemble
lent	lēns	slow
lente	lēns	slow
lentement	lēnām	slowly
lentourage	lentourage	entourage
lentraîneur	treneris	coach
lentreprise	kompānija	company
lentretien	intervija	the interview
lentrée	ieeja	entrance
lenvironnement	vide	environment
lenvoi	nosūtīšana	sending
leo	leo	leo
leonard	leonards	leonard
leonardo	leonardo	leonardo
lequel	kas	which
les		the
lesclavage	verdzība	the slavery
lespace	telpa	the space
lespagne	spānija	lespagne
lespagnol	spāņu	spanish language
lespoir	ceru	the hope
lesprit	prāts	spirit
lespèce	sugas	case
lespérance	ceru	lesperance
lesquelles	kas	including
lesquels	kas	which
lessence	benzīns	essence
lessentiel	būtiskais	essential
lessor	iznomātājs	lessor
lest	balasts	the east
lesthétique	estētika	the aesthetic
let	ļaujiet	let
lettre	vēstule	lettre
lettres	vēstules	letters
leucémie	leikēmija	leukemia
leur	viņu	their
leuro	eiro	the euro
leurope	eiropā	europe
leurs	viņu	their
lever	piecelties	lift
levée	pacelts	lifted
lewis	luiss	lewis
lexamen	eksāmens	the exam
lexception	izņēmums	exception
lexemple	piemērs	the exemple
lexercice	vingrinājums	the exercise
lexil	lexil	exile
lexistence	esamība	the existence
lexpansion	paplašināšana	expansion
lexplication	skaidrojums	explanation
lexploitation	ekspluatācija	operation
lexplosion	sprādziens	the explosion
lexportation	eksportēt	exports
lexposition	izstāde	fair
lexpression	izteiksme	the expression
lexpédition	sūtījums	the expedition
lexpérience	pieredze	experience
lextension	pagarinājums	extension
lextermination	iznīcināšana	extermination
lextrémité	beigas	extremity
lextrême	ekstrēms	extreme
lextérieur	ārpuse	the exterior
lexécutif	izpildvaras	the executive
lexécution	izpildīšana	performance
leçons	nodarbības	lessons
lhabitat	biotops	housing
lhabitude	ieradums	the habit
lharmattan	farmaceits	l'harmattan
lheure	laiks	time
lhindouisme	hinduisms	hinduism
lhistoire	stāsts	the history
lhistorien	vēsturnieks	ihistorien
lhiver	ziema	the winter
lhomme	cilvēks	lhomme
lhomosexualité	homoseksualitāte	homosexuality
lhonneur	gods	ohim
lhorizon	horizonts	lhorizon
lhuile	eļļa	oil
lhumanité	cilvēce	humanity
lhumeur	garastāvoklis	humor
lhumour	humors	humor
lhydrogène	ūdeņradis	hydrogen
lhymne	himna	hymn
lhypothèse	hipotēze	underlying hypothesis
lhémisphère	puslode	hemisphere
lhéritage	mantojums	lheritage
lhéroïne	heroīns	heroin
lhôpital	slimnīca	the hospital
lhôtel	viesnīca	the hotel
liaison	saite	linked
liaisons	savienojumi	connections
liban	libāna	lebanon
liberty	brīvība	liberty
liberté	brīvība	freedom
libertés	brīvības	freedoms
librairie	grāmatnīca	book shop
libre	bez maksas	free
librement	brīvi	freely
libres	bez maksas	free
libreéchange	bezmaksas apmaiņa	free trade
libye	lībija	libya
libéral	liberāls	liberal
libérale	liberāls	liberal
libéralisme	liberālisms	liberalism
libération	atbrīvot	release
libéraux	liberāļi	liberals
libérer	atbrīvot	liberate
libéré	atbrīvots	frees
libérés	atbrīvots	freed
licence	licence	license
lidentification	identifikācija	identification
lidentité	identitāte	caller id
lidéal	ideāls	ultimately
lidée	ideja	the idea
lidéologie	ideoloģija	ideology
lie	melot	dregs
lien	saite	link
liens	savienojumi	links
lieu	atrašanās vieta	place
lieutenant	leitnants	lieutenant
lieux	vietas	spaces
liga	liga	liga
light	viegls	light
ligne	līnija	line
lignes	līnijas	lines
lignée	līnija	lineage
ligue	līga	league
like	piemēram	like
liliade	liliad	iliad
lille	lille	lille
lillinois	lillinois	illinois
lillusion	ilūzija	the illusion
limage	attēls	filing
limaginaire	iedomāts	imaginary
limagination	iztēle	imagination
limitant	ierobežojošs	restricting
limitation	ierobežojums	limitation
limite	ierobežot	limit
limiter	ierobežot	limit
limites	robežas	limits (for first 2) limitations (for the administrative)
limitrophes	robežojas	neighboring
limité	ierobežot	limited
limitée	ierobežots	limited
limitées	ierobežots	limited
limmense	limmense	the large
limmeuble	ēka	building
limmigration	imigrācija	the immigration
limpact	trieciens	the impact
limplantation	implantācija	implantation
limportance	nozīmīgums	significance
limpression	iespaids	impression
limprimerie	spiestuves	the printing house
limpulsion	impulss	the impulse
limpératrice	mīkstināt	limpératrice
limpôt	nodokļu māja	the tax
lincendie	uguns	fire
lincident	incidents	incident
lincoln	lincoln	lincoln
linconscient	bezsamaņā	the unconscious
linda	linda	linda
linde	tītars	india
lindice	indekss	index
lindique	norāda	indicates
lindividu	indivīds	the person
lindonésie	indonēzija	indonesia
lindustrialisation	industrializācija	industrialization
lindustrie	nozare	industry
lindépendance	neatkarība	independence and ultimately
line	līnija	line
linfection	infekcija	the infection
linflation	inflācija	the inflation
linfluence	ietekmēt	the influence
linformation	informācija	news
linformatique	skaitļošana	computer science
linguistique	lingvistiski	linguistic
linguistiques	lingvistiski	linguistics
linitiative	iniciatīvs	initiative
linjection	injekcija	injection
linscription	reģistrācija	the enrolment
linsee	linsee	insee
linstallation	uzstādīšana	rise to power
linstant	tagad	instant
linstar	linstar	linstar
linstauration	iestāde	linstauration
linstitut	institūts	institute
linstruction	instrukcija	instruction
linstrument	instrumentu	instrument
linsurrection	sacelšanās	the insurrection
lintelligence	inteliģence	intelligence
lintensité	intensitāte	then intensity
lintention	nodoms	the intention
linteraction	mijiedarbība	interaction
linterdiction	aizliegums	ban
linterface	saskarne	the interface
lintermédiaire	starpnieks	the intermediary
linternational	starptautiskā	international
linternet	internets	the internet
linterprétation	interpretācija	interpretation
lintervention	iejaukšanās	the intervention
lintrigue	zemes gabals	the plot
lintroduction	ievads	fuel-efficient
lintégralité	visiem	the whole
lintégration	integrācija	the consolidation
lintérieur	iekšā	interior
lintérêt	interese	the interest
linux	linux	linux
linvasion	iebrukums	the invasion
linvention	izgudrojums	invention
linverse	otrādi	linverse
linvestissement	investīcijas	investment
linéaire	lineārs	linear
lion	lauva	lion
lionel	lauva	lionel
liphone	iphone	liphone
liquide	šķidrums	liquid
lirak	lirak	irak
liran	liran	liran
lire	lasīt	read
lirlande	īrija	irelands
lirm	lirm	the mri
lisa	liza	lisa
lisbonne	lisabona	lisboa
liseron	vējainais	bindweed
lislam	lislam	lislam
lislande	lislande	island
lisle	izlasiet to	lisle
lissue	jautājums	lissue
liste	iekļaušana sarakstā	list
listes	sarakstus	lists
liszt	liszt	liszt
lit	gulta	reads
litalie	itālijā	italia
litalien	itāļu valoda	italian
little	maz	little
littoral	piekrastes	littoral
littéraire	literāri	literary
littéraires	literāri	literary
littéralement	burtiski	literally
littérature	literatūra	literature
live	tiešraide	live
liverpool	liverpool	liverpool
livre	piegādāts	book
livres	grāmatas	books
livré	piegādāts	delivered
liège	korķis	liege
lié	saistīts	linked
liée	saistīts	linked
liées	saistīts	the idea
liés	saistīti	relevant
lloyd	lloyd	lloyd
lobjectif	mērķis	goal
lobjet	objekts	the object
lobligation	pienākums	the obligation
lobservation	novērojums	observation
lobservatoire	observatorija	the observatory
lobésité	aptaukošanās	obesity
local	vietējie	local
locale	vietējie	local
localement	vietēji	locally
locales	vietējie	local (plurel)
localisation	atrašanās vieta	location
locaux	vietējie	premises
loccasion	iespēja	the occasion
loccident	vietējais iedzīvotājs	west
loccupation	nodarbošanās	loccupation
loccurrence	rašanās	instance
locke	locke	locke (name)
locuteurs	runātāji	orators
locéan	okeāns	the ocean
lodyssée	lodija	the odyssey
loffensive	aizskaroši	attack
loffice	birojs	the office
loffre	piedāvājums	mix
loge	iesniegt	lodge
logement	mājoklis	housing
logements	mājoklis	housing
loges	iesniedz	lodges
logiciel	programmatūra	software
logiciels	programmatūra	softwares
logique	loģika	logic
logiquement	loģiski	rationally
logistique	loģistika	logistic
logo	logotips	logo
loi	likumu	law
loin	tālu	far
loire	luāra	loire
lois	likumi	laws
loisir	brīvā laika pavadīšana	recreation
loisirs	hobiji	leisures
lol	lol	lol
lolympia	lolympia	he olympia
lolympique	lolimpiskais	lolympique
lom	lom	the marseille olympic team
lombre	ēna	the shadow
loms	loms	the world health organisation
lon	lon	is
london	londona	london
londres	londona	london
long	ilgi	a lot
longs	ilgi	long
longtemps	ilgu laiku	for a long time
longue	ilgi	long
longues	ilgi	long
longueur	garums	length
longueurs	garumi	longs
longévité	ilgmūžība	longevity
lont	lont	have it
lonu	lonu	un
look	skaties	look
lopen	lopen	lopen
lopinion	viedoklis	the opinion
lopposition	opozīcija	the opposition
lopposé	pretējs	contrary
lopéra	opera	the opera
lopération	operācija	the operation
lor	lor	lor
lorchestre	orķestris	orchestre
lord	kungs	lord
lordinateur	datoru	the computer
lordre	pasūtījums	the order
lorgane	ērģeles	the organ
lorganisation	organizācija	the organisation
lorganisme	organisms	two words -> the organism
lorgasme	orgasms	orgasm
lorient	lorients	the east
lorientation	orientācija	orientation
lorigine	izcelsme	origin
lorraine	lotringa	lorraine
lors	kad	then
lorsque	kad	when
lorsquelle	kad	lorsquelle
lorsquil	kad	when it
lorsquils	kad viņi	when they
lorsquon	kad	when one
lorsquun	kad viens	when a
lorsquune	kad viens	when
lorthographe	pareizrakstība	spelling of
los	kauls	los
loscar	loscar	the oscar
lost	pazaudēts	lost
lot	daudz	batch
lotan	lotāns	lotan
lou	lū	lou
louest	uz rietumiem	west
louis	luiss	louis
louise	luīze	louise
louisiane	luiziāna	louisiana
louisnapoléon	louisnapoléon	louis-napoléon
loup	vilks	wolf
loups	vilki	wolves
lourd	smags	heavy
lourde	smags	heavy
lourdes	smags	heavy
lourds	smags	heavy
louverture	atvere	the opening
louvrage	grāmata	the work
louvre	skaļruņi	louvre
love	mīlestība	love
loxygène	skābeklis	the oxygen
lu	lasīt	read
luc	luc	luc
lucas	lucas	lucas
lucien	lucien	lucien
lucy	lūsija	lucy
ludwig	ludvigs	ludwig
lue	lasīt	read
luefa	luefa	l'uefa
lui	viņu	him
luimême	pats	himself
luis	luiss	luis
lukraine	ukraina	lukraine
lumière	viegls	light
lumières	gaismas	lights
lun	pirmdien	one
lunaire	mēness	lunar
lunanimité	vienprātība	unanimously
lundertaker	klaiņotājs	the undertaker
lundi	pirmdien	monday
lune	mēness	moon
lunesco	moonsko	unesco
lunification	lunifikācija	the unification
lunion	savienība	union
lunique	īpašais	the only
lunité	vienotība	unity
lunivers	visums	the universe
luniversité	universitāte	the university
lupus	sarkanā vilkēde	lupus
lurss	lurss	the ussr
luruguay	urugvaja	the uruguay
lus	lasīt	read
lusage	izmantot	use
luther	lutere	luther
lutilisateur	lietotājs	the user
lutilisation	izmantot	usage
lutte	cīņa	battle
lutter	cīņas	fight
luttes	cīņas	fights
luxe	greznība	luxury
luxembourg	luksemburga	luxembourg
lycée	vidusskola	lyceum
lycées	vidusskolas	high-school
lymphocytes	limfocīti	lymphocytes)
lynette	lnette	lynette
lyon	lyon	lyon
lyonnais	lyonnais	lyons
lyonnaise	lyonnaise	lyonnaise
lyrique	lirisks	lyric
lys	lilija	lily
là		there
lâge	vecums	the age
lâme	asmens	soul
lère	laikmets	the era
lèvres	lūpas	lips
lécart	sprauga	aside
léchange	apmaiņa	the exchange
léchec	neveiksme	failure
léchelle	mērogs	the scale
lécole	skola	the school
léconomie	ekonomika	the economy
lécosse	skotija	scotland
lécran	ekrāns	screen
lécrit	raksta	written
lécriture	rakstīšana	the writing
lécrivain	rakstnieks	the writer
lédifice	ēka	building
léditeur	redaktors	publisher
lédition	publicēšana	the edition
léducation	izglītība	education
légal	likumīga	legal
légale	likumīga	legal
légalement	likumīgi	legally
légales	likumīga	legal
légalité	likumība	legally
légard	legarda	consideration
légendaire	leģendārais	legendary
légende	leģenda	legend
légendes	leģendas	legends
léger	viegls	light
légion	leģions	legion
légions	leģioni	legions
législatif	likumdošanas	legislative
législation	likumdošana	legislation
législations	likumdošana	legislations
législative	likumdošanas	legislative
législatives	likumdošanas	legislative
légitime	likumīgi	legitimate
légitimité	leģitimitāte	legitimacy
léglise	baznīca	the church
légumes	dārzeņi	vegetables
légypte	ēģipte	egypt
légère	nedaudz	light
légèrement	nedaudz	slightly
lélaboration	attīstību	development
lélection	vēlēšanas	election
lélectricité	elektrība	electricity
lélevage	audzēšana	the livestock
lélimination	likvidēšana	elimination
lélite	elite	the elite
lélysée	lylysée	the elysee
lélément	elements	element
lémergence	rašanās	emergence
lémission	šovs	the show
lénergie	enerģija	the energy
lénine	ļeņins	lenin
léolien	leolija	wind power
léon	leons	léon
léonard	leonards	leonardo
léopold	leopolds	leopold
lépisode	epizode	episode
lépopée	episkā	epic
lépoque	laiks	age
lépouse	sieva	lepouse
lépreuve	pārbaude	test
lépée	zobens	sword
léquateur	ekvatora	equator
léquilibre	balanss	balance
léquipe	komanda	the team
léquipement	aprīkojums	equipment
léquivalent	ekvivalents	equivalent
lésions	bojājumi	lesions
létablissement	iestāde	establishment
létape	solis	stage or step
létat	valsts	state
létatmajor	letmajor	military staff
léthique	ētika	the ethics
létoile	zvaigzne	l'etoile (no change as it is a place in paris)
létranger	svešinieks	abroad
létude	studēt	the study
lété	vasara	summer
lévacuation	evakuācija	the evacuation
lévaluation	novērtēšana	assessment
lévistrauss	levijs štrauss	levi-strauss
lévolution	evolūcija	evolution
lévrier	kurts	levrier
lévénement	pasākums	the event
lévêque	bīskaps	bishop
lîle	sala	island
lîledefrance	francijas sala	ile-de-france
lœil	acs	eye
lœuvre	darbs	work
m	m	m
ma	mans	my
mac	mac	mac
machine	mašīna	machine
machines	mašīnas	machine
macédoine	maķedonija	macedonia
madagascar	madagaskara	madagascar
madame	kundze	madam
madeleine	madeleine	madeleine
madonna	madonna	madonna
madrid	madride	madrid
mafia	mafija	mafia
magasin	veikalā	shop
magasins	veikalos	shops
magazine	žurnāls	magazine
magazines	žurnāli	magazines
maghreb	magrebs	maghreb
magic	maģija	magic
magie	maģija	magic
magique	burvju	magic
magistrats	maģistrāti	magistrates
magma	magma	magma
magnifique	lielisks	beautiful
magnétique	magnētisks	magnetic
magnétiques	magnētisks	magnetic
magritte	magritte	magritte
mahomet	mohameds	muhammad
mai	var	may
maillot	krekls	shirt
main	roka	hand
maindœuvre	darbaspēks	labour force
maine	meina	maine (place name)
mains	rokas	hands
maintenance	uzturēšana	maintenance
maintenant	tagad	now
maintenir	uzturēt	maintain
maintenu	uzturēts	maintained
maintien	uzturēšana	maintenance
maintient	uztur	maintained
maire	mērs	mayor
maires	mēri	mayors
mairie	pilsētas halle	town hall
mais	bet	but
maison	māja	house
maisons	mājas	houses
majeur	vairākums	major
majeure	vairākums	major
majeures	vairākums	major
majeurs	vairākums	major
major	vairākums	major
majoritaire	vairums	majority
majoritairement	pārsvarā	majority
majoritaires	vairums	majority
majorité	vairums	majority
mal	nepareizi	mal de gorge = sore throat
malade	slims	ill
malades	slims	sick
maladie	slimība	illness
maladies	slimības	diseases
malaise	diskomforts	discomfort
malaisie	malaizija	malaysia
malaria	malārija	malaria
malgache	malagasu	madagascan
malgré	neskatoties	in spite of
malheureusement	diemžēl	unhapilly
mali	mali	mali
malte	maltā	malt
mammifères	zīdītāji	mammals
man	cilvēks	man
management	vadība	management
manager	menedžeris	manager
manche	rokturis	handle
manchester	mančestra	manchester
mandat	mandāts	warrant
mandats	mandāti	mandates
mandela	mandela	mandela
manga	manga	an artistic style
mangas	manga	mangas
mangemorts	nāves ēdāji	death-eater
manger	ēst	eating
manhattan	manhetenā	manhattan
manifestation	demonstrācija	demonstration
manifestations	notikumi	events
manifeste	manifests	manifest
manière	veids	way
manières	manieres	manners
mann	mann	mann
manne	manna	mayfly swarms
mannequin	manekens	model
manque	trūkums	misses
manson	manson	manson
manteau	mētelis	coat
manuel	rokasgrāmata	manual
manuscrit	manuskripts	manuscript
manuscrits	rokraksti	manuscripts
manœuvre	manevrs	maneuver
maori	maori	maori
marais	purvs	marsh
marbre	marmors	marble
marc	čagas	marc
marcel	marsels	marcel
marchand	tirgotājs	merchant
marchande	tirgotājs	merchant
marchandises	preces	merchandises
marchands	tirgotāji	merchants
marche	tirgus	move
marcher	staigāt	walk
marches	soļi	steps
marché	tirgus	walking
marchés	tirgos	procurement
marco	marco	marco
mardi	otrdiena	tuesday
margaret	margareta	margaret
marge	rezerve	sidelines
marguerite	daisy	marguerite
mari	vīrs	husband
maria	marija	maria
mariage	kāzas	marriage
mariages	kāzas	weddings
marie	precējies	maried (for presley) mary (for medicis)
marieantoinette	marija antuanete	marie-antoinette
marier	precēties	to get married
marilyn	marilyn	marilyn
marin	jūras	marin
marine	jūras	navy
marines	jūrnieki	marine
marins	jūrnieki	sailors
mario	mario	mario
marion	marion	marion
maritime	jūrniecības	maritime
maritimes	jūrniecības	maritime
marius	marius	marius
marié	precējies	marie ( name )
mariée	precējies	married
mark	atzīmēt	mark
marketing	mārketings	marketing
marley	marley	marley
maroc	maroka	morocco
marocain	marokietis	maroccan
marocaine	marokāņu	moroccan
marocains	marokāņi	moroccans
marquant	vērtēšana	marking
marque	marks	make
marquent	atzīmēt	mark
marquer	iezīmēt	integrate
marques	zīmoli	brands
marquis	markīši	marquis
marquise	marķīze	marquess
marqué	marks	marked
marquée	atzīmēts	marked
marquées	atzīmēts	marked
marqués	atzīmēts	marked
marrakech	marakeša	marrakech
mars	martā	march
marseillais	marseļa	marseille
marseillaise	marseillaise	marseille
marseille	marseļa	marseilles
marshall	maršala	marshall
martiaux	cīņas	martial
martienne	marsietis	martian
martin	martins	martin
martinique	martinika	martinique
marty	mocis	marty
marx	marx	marx
marxisme	marksisms	marxism
mary	marija	mary
maréchal	maršals	marechal
masculin	vīrietis	male
masculine	vīrišķīgs	male( for 1st) men (for the other 2)
masculins	vīrietis	males
masque	maska	disguise
masques	maskas	masks
massacre	slaktiņš	massacre
massacres	slaktiņi	slaughters
masse	masa	portion
masses	masas	crowd, group
massif	masveida	massif
massifs	masveida	massif
massinissa	massinissa	massinissa
massive	masveida	mass
massivement	masveidā	massively
mastoïdite	mastoidīts	mastodoitis
masturbation	masturbācija	masturbation
match	sakritība	match
matches	sērkociņi	matches
matchs	sērkociņi	matches
maternel	mātes	maternal
maternelle	bērnudārzs	maternal
mathieu	mathieu	mathieu
mathématicien	matemātiķis	mathematician
mathématique	matemātiskā	mathematical
mathématiques	matemātika	mathematical
matin	rīts	morning
matisse	matīss	matisse
matière	matērija	material
matières	materiāli	raw
matrice	matrica	matrix
matrix	matrica	matrix
matt	matēts	matt
matthew	matejs	matthew
matthieu	metjū	matthieu
maturité	briedums	maturity
matériau	materiāls	material
matériaux	materiāli	materials
matériel	aprīkojums	material
matérielle	materiāls	material
matérielles	materiāls	material
matériels	materiāli	material
maupassant	kašķīgs	maupassant
maurice	maurīts	maurice
mauvais	slikti	bad
mauvaise	slikti	bad
mauvaises	slikti	bad
maux	kaites	aches
max	maks	max
maximale	maksimums	maximal
maxime	maksimums	maxim
maximilien	maksimilian	maximilian
maximum	maksimums	maximum
may	var	may
maya	maija	maya
mayas	maija	mayan
mayer	mērs	mayer
mayotte	majota	mayotte
maçonnerie	mūra	masonry
maçonnique	masonu	masonic
maçonniques	masonu	masonic
maître	meistars	master
maîtres	meistari	master
maîtresse	saimniece	mistress
maîtrise	meistarība	mastery
maîtriser	kontrole	bring under control
maïs	bet	corn
mc	mc	mc
mccartney	mccartney	mccartney
mcdonalds	mcdonalds	mcdonald's
mcmahon	mcmahon	mcmahon
me	es	me
mecque	meka	mecca
media	mediji	media
meilleur	labāk	best
meilleure	labāk	best
meilleures	labākais	best
meilleurs	labākais	better
melbourne	melburna	melbourne
membrane	membrāna	membrane
membre	biedrs	member
membres	dalībnieki	members
memorial	memoriāls	memorial
men	vīrieši	men
menace	draudi	menace
menaces	draudi	threats
menacé	draudi	threatened
menacée	draudēja	threatened
menant	vadošais	leading
mener	svinu	lead
mental	garīgās	mantal
mentale	garīgās	mental
mention	pieminēt	mention
mentionne	pieminēts	mentioned
mentionné	pieminēts	mentioned
mené	vadīja	led
menée	vadīts	conducted
menées	izpildīts	conducted
menés	vadīja	conducted
mer	jūra	sea
mercredi	trešdien	wednesday
mercure	dzīvsudrabs	mercury
mercury	dzīvsudrabs	mercury
mercy	žēlsirdība	mercy
mers	jūras	seas
merveilles	brīnumus	wonders
merveilleux	brīnišķīgi	wonderful
mes	mans	my
mesrine	mesrīns	mesrine
message	ziņa	message
messager	kurjers	messenger
messages	ziņas	messages
messe	masa	mass
messenger	kurjers	messenger
messi	messi	messi
mesure	izmērīts	measure
mesurer	mērs	mesures
mesures	pasākumi	measures
met	liek	puts
metal	metāls	metal
metallica	metālika	metallica
mettant	liekot	putting
mettent	likt	put
mettra	liks	will put
mettre	ielikt	put
metz	likt	metz
meurt	mirst	dies
meurtre	slepkavība	murder
mexicain	meksikāņu	mexican
mexicaine	meksikāņu	mexican
mexicains	meksikāņi	mexicans
mexico	meksika	mexico
mexique	meksika	mexico
meyer	meyer	meyer
mi	vidus	my (in spanish)
miami	maiami	miami
michael	mihaels	michael
michaels	michaels	(surname)
michel	mišels	michel
michelange	michelange	michelangelo
michelle	mišela	michelle
michigan	mičiganā	michigan
michèle	mičels	michele
mick	miks	mick
mickey	mikijs	mickey
microsoft	microsoft	microsoft
midi	pusdienlaiks	midi
mieux	labāk	better
migration	migrācija	migration
migrations	migrācijas	migrations
mike	maiks	mike
milan	milāna	milan
miley	mailija	miley
milieu	vidus	ambience
milieux	vides	environment
militaire	militārā	military
militaires	militārā	military
militants	aktīvisti	activists
mille	tūkstoši	thousand
miller	dzirnavnieks	miller
milliard	miljardu	billion
milliards	miljardu	billion
milliers	tūkstošiem	thousands
million	miljons	million
millions	miljoniem	millions
millénaire	tūkstošgades	millenium
millésime	vīnogu raža	vintage
mine	raktuves	mine
minerai	rūdas	mineral ore
mines	mīnas	mines
mineur	nepilngadīgs	minor
mineure	nepilngadīgs	minor
mineurs	nepilngadīgie	minors
mini	mini	mini
minimum	minimums	minimum
ministre	ministrs	minister
ministres	ministri	ministers
ministère	ministrija	department
minoritaire	mazākums	minority
minoritaires	mazākums	minority
minorité	mazākums	minority
minorités	mazākumtautības	minority
minuit	pusnakts	midnight
minute	minūte	minute
minutes	minūtes	minutes
minéralogiques	mineraloģiski	vehicule registration (plate)
minéraux	minerāli	minerals
miroir	spogulis	mirror
mis	likt	put
mise	staba	put
mises	likmes	put
miss	garām	miss
missiles	raķetes	missiles
mission	misija	mission
missionnaires	misionāri	missionaries
missions	misijas	missions
mississippi	misisipi	mississippi
misère	ciešanas	misery
misérables	nožēlojami	miserable
mit	mit	mit
mitchell	mitchell	mitchell
mitigé	sajaukts	mitigated
mitterrand	mitterrand	mitterrand
mixte	sajaukts	mixed
miyazaki	mijazaki	miyazaki
miz	miz	(part of a sobriquet for a show name)
mobile	mobilais	mobile
mobiles	mobilajiem telefoniem	mobile
mobilisation	mobilizācija	mobilisation
mobilité	mobilitāte	mobility
modalités	termini	terms
mode	mode	mode
moderne	moderns	modern
modernes	moderns	modern
modernisation	modernizācija	modernization
modernité	mūsdienīgums	modernity
modes	režīmi	modes
modeste	pieticīgs	modest
modification	modifikācija	modification
modifications	izmaiņas	modifications
modifie	grozīts	modifies
modifier	rediģēt	edit
modifié	grozīts	changed (first and second) modification (last sentence)
modifiée	modificēts	changed
modifiées	modificēts	modified
module	modulis	module
modèle	modeli	model
modèles	modeļiem	models
modérée	mērens	moderate
mohamed	mohameds	muhammad
mohammed	mohameds	mohammed
moi	es	me
moindre	mazāk	lesser
moine	mūks	monk
moines	mūki	minks
moins	mazāk	least
mois	mēnesī	months
moitié	puse	half
molaire	molārs	molar
moldavie	moldova	moldavia
molière	molière	moliere
moléculaire	molekulārā	molecular
molécule	molekula	molecule
molécules	molekulas	molecules
moment	brīdis	moment
momentlà	tagad	this moment
moments	mirkļi	moments
mon	mans	my
monaco	monako	monaco
monarchie	monarhija	monarchy
monarque	monarhs	monarch
monastère	klosteris	monastery
monastères	klosteros	monastery
monday	pirmdiena	monday
monde	pasaule	world
mondes	pasaules	worlds
mondial	globāls	world
mondiale	pasaule	world
mondialement	visā pasaulē	worldwide
mondiales	pasaule	world
mondialisation	globalizācija	globalization
mondiaux	pasaule	worldwide
monet	monet	monet
money	nauda	money
monica	monika	monica
monnaie	mainīt	currency
monnaies	monētas	currency
monopole	monopols	monopoly
monroe	monro	monroe
monsieur	kungs	sir
monster	briesmonis	monster
monstre	briesmonis	monster
mont	kalns	mount
montage	montāža	assembly
montagne	kalns	montain
montagnes	kalni	mountains
montagneuses	kalnains	mountainous
montagneux	kalnains	mountain
montana	montana	montana
montant	summa	total sum
monte	uzmontēts	monte
montecarlo	montekarlo	monte-carlo
monter	pacelties	mount
montesquieu	montekvijs	montesquieu
montpellier	montpellier	montpellier
montrant	rāda	showing
montre	skatīties	to show
montrent	šovs	show
montrer	parādīt	show
montré	parādīts	shown
montréal	monretāls	montreal
monts	kalni	mounts
monté	uzmontēts	rise
montée	kāpt	rise
monument	piemineklis	building
monuments	pieminekļi	buildings
monétaire	naudas	monetary
moon	mēness	moon
moore	mūrs	mauresque
moral	morāli	morale
morale	morāli	moral
morales	morāli	moral
morceau	gabals	piece
morceaux	daļas	tracks
moreau	gabals	moreau
morgan	morgans	morgan
morphologie	morfoloģija	morphology
morrison	morrison	john morrison
mort	miris	dead
mortalité	mirstība	death rate
morte	miris	dead
morts	miris	deads
mosaïque	mozaīka	mosaic
moscou	maskava	moscow
mosquée	mošeja	mosque
mot	vārdu	word
moteur	dzinējs	motor
moteurs	motori	engine
motif	raksts	motive
motifs	modeļiem	reasons
motion	kustība	motion
motivation	motivācija	motive
motown	motown	motown
mots	vārdi	words
moulin	dzirnavas	mill
moulins	dzirnavas	windmills
mourir	nomirt	die
mourut	nomira	died
mouvement	kustība	movement
mouvements	kustības	movements
moyen	veids	way
moyenne	vidējais	average
moyennes	vidēja	middle
moyenorient	tuvie austrumi	middle-east
moyens	nozīmē	means
mozart	mocarts	mozart
moïse	mozus	moses
mp	sp	mp3
mr	kundze	mr.
mtv	mtv	mtv
muet	mēms	dumb
muhammad	muhameds	muhammad
mulhouse	mulhouse	mulhouse
multiple	vairākas	multiple
multiples	vairākas	multiple
multiplication	reizināšana	multiplication
multiplie	reizina	multiplies
multiplient	reizināt	multiply
multitude	daudz	multitude
munich	minhene	munich
municipal	pašvaldības	municipal
municipale	pašvaldības	municipal
municipales	pašvaldības	municiple
municipalité	pašvaldība	municipality
municipalités	pašvaldības	municipalities
municipaux	pašvaldības	municipal
mur	siena	wall
muraille	sienas	wall
murailles	sienas	wall
murray	murray	murray
murs	sienas	walls
muscles	muskuļi	muscles
muse	mūza	muse
museum	muzejs	museum
music	mūzika	music
musical	muzikāls	musical
musicale	muzikāls	music
musicales	muzikāls	music
musicaux	muzikāls	musical
musicien	mūziķis	musician
musiciens	mūziķi	musicians
musique	mūzika	music
musiques	mūzika	music
musset	gliemis	musset
mussolini	mussolini	mussolini
musulman	musulmanis	muslim
musulmane	musulmanis	muslim
musulmanes	musulmanis	muslim
musulmans	musulmaņi	muslims
musée	muzejs	museum
musées	muzeji	museums
mutation	mutācija	mutation
mutations	mutācijas	changes
mvp	mvp	mvp
myocarde	miokarda	myocardium
myocardique	miokarda	myocardial
myopathie	miopātija	myopathies
mysterio	misterio	mysterio
mystique	mistisks	mystical
mystère	noslēpums	mystery
mystérieux	noslēpumains	mysterious
mythe	mīts	myth
mythes	mīti	myths
mythique	mītisks	mythical
mythologie	mitoloģija	mythology
mythologiques	mitoloģisks	mythological
mâle	vīrietis	male
mâles	tēviņi	males
mène	ved	leads
mènent	svinu	lead
mère	māte	mother
mètres	metri	meters
mécanique	mehānisks	mechanics
mécaniques	mehānisks	mechanic
mécanisme	mehānisms	mecanism
mécanismes	mehānismi	mecanisms
