$	dollar təşkil edib	dollarsign
motor	motor	engine
motoren	mühərriklər	motors
motto	şüarı	motto
mount	montaj etmək	berg
mountains	dağlar	mountains
movie	film	movie
mozarts	mozarts	mozart's
mozes	musa	mozes (proper noun)
mr	cənab	mr.
ms	xanım	ms
mtv	mtv	mtv
muggen	ağcaqanadlar	gnat
muis	siçan	mouse
muizen	siçan	mice
mulisch	mulik	mulisch
municipio	municipio	municipio
munt	nanə	coin
munteenheid	valyuta	currency
munten	sikkələr	coins
murdoch	murdoch	murdoch
muren	divarlar	walls
murphy	murfiya	murphy
murray	murray	murray
muse	fikirləş	muse
musea	muzeylər	museums
museo	museo	museo
museum	muzey	museum
music	musiqi	music
musical	musiqili	musical
musici	musiqiçilər	musicians
mussolini	mussolini	mussolini
musée	musée	museum
mutatie	mutasiya	mutation
mutaties	mutasiyalar	mutations
muur	divar	wall
muziek	musiqi	music
muziekpiet	musiqiçi	musicpete
muzikaal	musiqili	musical
muzikale	musiqili	musical
muzikanten	musiqiçilər	musicians
myanmar	myanmar	myanmar
mysterie	sirr	mystery
mysterieuze	sirli	mysterious
mystery	sirr	mystery
mystiek	mistik	mystic
mystieke	mistik	mystical
mythe	mif	myth
mythen	miflər	myths
mythische	mifik	mythical
mythologie	mifologiya	mythology
máxima	maxima	máxima
müller	mülklər	muller
münchen	münhen	munchen
münster	münster	munster
na	sonra	after
naakt	çılpaq	naked
naam	adı	name
naamgeving	adlandırma	naming
naar	üçün	to
naargelang	asılı olaraq	according to
naarmate	kimi	as
naast	sonrakı	apart from
naaste	qonşu	neighbour
nabestaanden	qohumlar	survivors
nabij	yaxınlığında	near
nabije	yaxınlığında	waters
nabijgelegen	yaxınlıqda	near
nabijheid	yaxınlıq	proximity
naburige	qonşu	neighbouring
nacht	gecə	night
nachtleven	gecə həyatı	night life
nachts	gecə	nighttime
nachtwacht	gecə gözətçisi	night watch
nacional	nacional	nacional
nadal	nadal	nadal
nadat	sonra	after
nadeel	dezavantaj	disadvantage
nadelen	eksiklikleri	disadvantages
nader	daha	further
nadien	sonradan	afterwards
nadruk	vurğu	emphasis
nadrukkelijk	qəti şəkildə	formal
nagelaten	vəsiyyət etmişdir	left behind
nagels	dırnaqlar	nails
nagenoeg	təxminən	almost
nageslacht	nəsildən	progeny
nagornokarabach	nagornokarabach	nagorno-karabakh
najaar	payız	autumn
nakomelingen	nəsil	offspring
nam	aldı	took
name	adı	particularly
namelijk	yəni	as it happened (1st sentence), namely (4th sentence), for (5th sentence)
namen	adlar	names
namens	adından	on behalf to
namibië	namibiya	namibia
nancy	nənə	nancy
naoorlogse	müharibədən sonrakı dövr	postwar
napels	neapol	naples
napoleon	napoleon	napoleon
nasa	nasa	nasa
nassau	nassau	nassau
nat	nəm	wet
nate	nate	nate
nathan	natan	nathan
natie	millət	nation
naties	millətlər	nations
nation	millət	nation
nationaal	milli	national
nationaalsocialisme	milli sosializm	national socialism
nationaalsocialistische	milli sosialist	national socialistic
national	milli	national
nationale	milli	national
nationalisme	millətçilik	nationalism
nationalisten	millətçilər	nationalists
nationalistisch	millətçi	nationalist
nationalistische	millətçi	nationalist
nationaliteit	milliyyət	nationality
nations	millətlər	nations
natrium	natrium	sodium
natte	nəm	wet
natural	təbii	natural
nature	təbiət	nature
natuur	təbiət	nature
natuurgebieden	təbiət qoruqları	nature reserves
natuurkunde	fizika	physics
natuurkundige	fizik	physicist
natuurlijk	əlbəttə	natural
natuurlijke	təbii	natural
natuurreservaat	təbii ehtiyatlar	nature reserve
natuurwetenschappen	təbiət elmləri	natural sciences
nauw	dar	narrow / close to
nauwe	yaxın	close
nauwelijks	çətinliklə	barely
nauwkeurig	dəqiq	precise
navo	nato	navo - dutch abbreviation of north atlantic treaty organization
navolging	təqlid	imitation
naziduitsland	nasist-almaniya	nazi germany
nb	nb	nb
nba	nba	nba
ncis	ncis	ncis
ne	ne	ne
nec	nec	nec
necrofilie	nekrofiliya	necrophilia
nederlaag	məğlub etmək	defeat
nederland	hollandiya	the netherlands
nederlanden	hollandiya	netherlands
nederlander	hollandiyalı	dutchman
nederlanders	holland	dutch
nederlands	holland	dutch
nederlandsche	holland	dutch
nederlandse	holland	dutch
nederlandsindië	hollandiya hindistanı	dutch east indies
nederlandstalig	holland dilində	dutch
nederlandstalige	holland	dutch-speaking
nederrijn	reyn	lower rhine
nederzetting	qəsəbə	settlement
nederzettingen	yaşayış məntəqələri	settlements
need	ehtiyac	need
neef	əmiuşağı	cousin
neemt	alır	accounts for - 2nd sentence, decreases - 4th sentence
neer	aşağı	down
neergezet	yerə qoymaq	put down
neerslag	yağıntı	precipitation
negatief	mənfi	negative
negatieve	mənfi	negative
negen	doqquz	nine
negende	doqquzuncu	ninth
negentiende	on doqquzuncu	nineteenth
negentig	doxsan	ninety
neiging	meyl	urge
neil	neyli	neil
nek	boyun	neck
nelson	nelson	nelson
nemen	götürmək	take
nepal	nepal	nepal
nergens	heç bir yerdə	nowhere
nero	neron	nero
nest	yuva	nest
net	sadəcə	just
netnummer	sahə kodu	netnumber
netvleugeligen	şəbəkələşmə	lacewinged
netvlies	retina	retina
netwerk	şəbəkə	network
netwerken	şəbəkə	networks
network	şəbəkə	network
neurologische	nevroloji	neurological
neuronen	neyronlar	neurons
neus	burun	nose
neutraal	neytral	neutral
neutrale	neytral	neutral
neutraliteit	neytrallıq	neutrality
nevada	nevada	nevada
never	heç vaxt	never
new	yeni	new
news	xəbərlər	news
newton	nyuton	newton
nicaragua	nikaraqua	nicaragua (land)
nicht	qardaşqızı	niece
nick	nik	nick
nicolas	nikolalar	nicolas
nicole	nikol	nicole
niemand	heç kim	nobody
nier	böyrək	kidney
nieren	böyrəklər	kidneys
niet	deyil	not
nietonafhankelijke	müstəqil deyil	independant
niets	heç nə	nothing
niettemin	buna baxmayaraq	nevertheless
nietzsche	nitsşe	nietzsche
nietzsches	nitsşetlər	nietzsche
nieuw	yeni	new
nieuwe	yeniləri	new
nieuwere	yenidir	newer
nieuwguinea	yeni qvineya	new guinea
nieuws	xəbərlər	news
nieuwste	ən yeni	new
nieuwzeeland	yeni zelandiya	new zealand
niger	niger	niger
nigeria	nigeriya	nigeria
night	gecə	night
nightmare	kabus	nightmare
nijl	nil	nile
nijmegen	nijmegen	nijmegen
niko	niko	niko
nikola	nikola	nikola
niks	heç nə	nothing
nina	nina	nina
nintendo	nintendo	nintendo
nirvana	nirvana	nirvana
niveau	səviyyə	level
niveaus	səviyyələri	levels
nixon	nikson	nixon
nl	nl	com
nl 	nl	en
nm	nm	nanometre
nnationaal	milli	nnationaal
no	yox	number
nobelprijs	nobel mükafatı	nobel price
noch	nə də	nor
nodig	tələb olunur	necessary
nodige	zəruri	some
noemde	çağırdı	mentioned
noemden	çağırdı	called
noemen	anmaq	call
noemenswaardige	qeyd etmək lazımdır	significant
noemer	məxrəc	aliquot
noemt	zənglər	call
nog	hələ	even
nogal	olduqca	rather
nogmaals	bir daha	again
nominaties	nominasiyalar	nominations
non	qeyri	nun
nood	təcili	emergency
noodgedwongen	zərurət xaricində	forced
noodsituatie	təcili	emergency situation
noodzaak	ehtiyac	necesitty
noodzakelijk	zəruri	necessary
noodzakelijke	zəruri	necessary
nooit	heç vaxt	never
noord	şimal	north
noordafrika	şimali afrika	north africa
noordamerika	şimali amerika	north america
noordamerikaanse	şimal amerikalı	north american
noordbrabant	şimali brabant	north brabant
noordcyprus	şimal şifrəsi	north(ern)-cyprus
noordelijk	şimal	northern
noordelijke	şimal	northern
noorden	şimal	north
noordeuropa	şimali avropa	north europe
noordholland	şimali hollandiya	north holland
noordierland	şimali irlandiya	northern ireland
noorditalië	şimali-i̇taliya	northern italy
noordkorea	simali koreya	north korea
noordoostelijke	şimal-şərq	northeastern
noordoosten	şimal-şərqdə	nort-east
noordpool	arktika	northpole
noordse	nordic	nordic
noordwesten	şimal qərb	northwestern
noordzee	şimal dənizi	north sea
noors	norveç	norwegian
noorse	norveç	norwegian
noorwegen	norveç	norwegia
norm	norma	value
normaal	normal	normal
normale	normal	normal
norman	norman	norman
normen	standartlar	standards
north	şimal	north
northern	şimal	northern (noord)
nos	nos	nos
nostradamus	nostradamus	nostradamus
not	deyil	not
noten	qoz-fındıq	nuts
nothing	heç nə	nothing
nou	yaxşı	nou
nouveau	nouveau	nouveau
nova	nova	nova
november	noyabr	november
now	i̇ndi	now
nr	yox	nr
nrc	nrc	nrc
nsb	nsb	nsb
nsdap	nsdap	nsdap
nu	i̇ndi	at present
nucleaire	nüvə	nuclear
nul	sıfır	zero
nummer	nömrə	song
nummers	nömrələri	songs
nut	yardım	use
nv	nv	public limited company (plc)
nva	nva	nva
nvt	n / a	not applicable
o	o	o
oa	ao	among others
obama	obama	obama
obediënties	itaətkarlar	obediences
obelix	obelix	obelix
object	obyekt	object
objecten	obyektlər	objects
objectief	obyektiv şəkildə	objective
objectieve	obyektiv	objective
oceaan	okean	ocean
oceanen	okeanlar	oceans
oceanië	okeaniya	oceania
ochtend	səhər	morning
ochtends	səhər	morning
octavianus	oktavian	octavian
octavo	oktavo	octavo
oefenen	məşq etmək	exercise
oekraïens	ukraynalı	ukrainian
oekraïne	ukrayna	ukraine
oeral	urals	ural
oerknal	böyük partlayış	big bang
oeuvre	eevere	oeuvre
oevers	banklar	banks
of	və ya	of
off	off	off
offensief	təhqiramiz	assault
office	ofis	kantoor
officer	məmur	officer
officieel	rəsmi olaraq	official
officier	məmur	officer
officieren	zabitlər	officers
officiële	rəsmi	official
oftewel	başqa sözlə	that is
ofwel	ya da	or
ogen	gözlər	eyes
ogenblik	an	moment
oh	ah	oh
oktober	oktyabr	october
oldenbarnevelt	oldenbarnevelt	oldenbarnevelt
olie	yağ	oil
olieverf	yağlı boya	oil paint
olifant	fil	elephant
olifanten	fillər	elephants
oliver	oliver	oliver
olivier	olivier	olivier
olympia	olimpiya	olympia
olympic	olimpiya	olympic
olympisch	olimpiya	olympic
olympische	olimpiya	olympic
om	üçün	because
omar	omar	omar
omdat	çünki	because
omgaan	asmaq üçün	handle
omgang	əlaqə	handling
omgebouwd	çevrilir	converted
omgedoopt	adlandırılıb	renamed
omgekeerd	başqa yol	vice versa
omgekeerde	tərs	possible returned
omgekomen	ölmüş	killed
omgeven	əhatə etmişdir	surrounded
omgeving	ətrafı	environment
omgevingsfactoren	ətraf mühit faktorları	environmental factors
omgevormd	çevrildi	formed
omgezet	çevrilir	converted
omhoog	yuxarı	up
omliggende	ətrafı	surrounding
omringd	əhatə etmişdir	surrounded
omringende	ətrafı	surrounding
omroep	yayımçı	broadcast
omschreven	təsvir edilmişdir	described
omschrijving	təsvir	definition
omstandigheden	hallar	conditions
omstreden	mübahisəli	controversial
omstreeks	haqqında	about
omtrek	perimetri	perimeter
omtrent	haqqında	about
omvang	ölçüsü	size - 1st and 6th sentence, scale - 3th sentence
omvangrijk	həcmli	extensive
omvangrijke	həcmli	extensive
omvat	daxildir	include
omvatte	daxil edilmişdir	encompassed - 1st sentence, included - 3th and 7th sentence.
omvatten	daxildir	include
omwille	naminə	because
omzet	gəlir	sales
omzetbelasting	satış vergisi	turnover taxes
on	yandır	on
onafhankelijk	müstəqil	independent
onafhankelijke	müstəqil	independent
onafhankelijkheid	müstəqillik	independence
onafhankelijkheidsverklaring	i̇stiqlal bəyannaməsi	declaration of independence
onbekend	naməlum	unknown
onbekende	naməlum	unknown
onbruik	imtina etmək	disuse
ondanks	rəğmən	notwithstanding
onder	aşağıda	among
onderaan	dibində	at the bottom
onderbroken	kəsildi	disturbed
onderdak	sığınacaq	shelter
onderdanen	fənlər	stumps
onderdeel	hissəsi	part
onderdelen	komponentləri	parts
onderdrukken	yatırmaq	suppress
onderdrukking	zülm	suppression
onderdrukt	bastırıldı	suppresses
ondergaan	keçmək	undergone
ondergang	yıxmaq	decline
ondergebracht	evlidir	housed
ondergeschikt	tabedir	subordinate
onderging	məruz qaldı	underwent
ondergrond	səthi	soil
ondergronds	yeraltı	subterranean
ondergrondse	yeraltı	underground
onderhandelingen	danışıqlar	negotiations
onderhevig	mövzu	subject to
onderhoud	baxım	ovderhoud
onderhouden	qorumaq	maintain
onderhoudt	saxlayır	maintains
onderkaak	alt çənə	mandible
onderliggende	əsas	underlying
onderling	öz aralarında	amongst each other
onderlinge	qarşılıqlı	mutual
ondernam	götürdü	undertook
ondernemen	götürmək	undertake
ondernemer	təşəbbüskar	entrepreneur
onderneming	şirkəti	company
ondernemingen	şirkətlər	entreprises
ondernomen	götürülmüşdür	taken
onderpand	girov	backed
onderscheid	fərqlilik	distinction
onderscheiden	fərqləndirmək	differentiated
onderscheiding	mükafat	distinction
onderscheidingen	mükafatlar	awards
onderscheidt	fərqləndirir	distinguish
ondersoort	alt növlər	subspecie
ondersoorten	alt növlər	subspecies
onderstaande	aşağıda	below
onderste	aşağı	lower
ondersteund	dəstəklənir	supported
ondersteunen	dəstək	support
ondersteuning	dəstək	support
ondersteunt	dəstəkləyir	supports
ondertussen	bu vaxt	meanwhile
onderverdeeld	bölünmüşdür	divided
onderverdeling	bölmə	subdivision
ondervinden	təcrübə	to go through
ondervindt	təcrübələr	sustains
onderweg	yolda	on the way
onderwerp	mövzu	subject
onderwerpen	fənlər	topics
onderwezen	öyrədilmiş	taught
onderwijs	təhsil	education
onderworpen	mövzu	subject
onderzijde	alt tərəf	underside
onderzocht	araşdırılıb	investigated
onderzoek	tədqiqat	investigation
onderzoeken	tədqiqat etmək	investigate
onderzoekers	tədqiqatçılar	researchers
onderzoekt	araşdırır	researches
onduidelijk	aydın deyil	unclear
one	biri	one
oneindig	sonsuz	never ending
onenigheid	ixtilaf	discussion
ongeacht	asılı olmayaraq	regardless of
ongeboren	doğmamış	unborn
ongebruikelijk	qeyri-adi	unusual
ongekende	misli görünməmiş	unknown
ongeluk	qəza	accident
ongelukken	qəzalar	accidents
ongenoegen	narazılıq	displeasure
ongetwijfeld	şübhəsiz	undoubtedly
ongeval	qəza	accident
ongeveer	haqqında	approximatily
ongewenste	istenmeyen	unwanted
onjuist	səhv	incorrect
onlangs	bu yaxınlarda	recently
online	onlayn	online
only	yalnız	only
onmiddellijk	dərhal	immediately
onmogelijk	qeyri-mümkün	impossible
ono	ono	ono
onrechte	səhv	unjustly
onregelmatig	nizamsız	irregular
onregelmatige	nizamsız	irregular
onrust	iğtişaşlar	unrest
ons	abş	our
ontbinden	həll etmək	dissolve
ontbrak	itkin düşmüşdü	lacked
ontbreekt	əskik	misses
ontbreken	çatışmazlığı	absence
ontdekken	kəşf etmək	discover
ontdekking	kəşf	discovery
ontdekkingen	kəşflər	discoveries
ontdekkingsreiziger	tədqiqatçı	explorer
ontdekt	aşkar etdi	discovered
ontdekte	aşkar etdi	discovered
onterecht	haqsız olaraq	unjust
ontevredenheid	narazılıq	unhappiness
ontgonnen	minalanmışdır	cultivated
onthaald	alınıb	received
onthouden	xatırlamaq	remembered
ontkend	rədd edildi	deny
ontkende	rədd edildi	denied
ontkennen	i̇nkar etmək	to deny
ontkomen	qaçmaq	to escape
ontlasting	defekasiya	shit
ontleend	borclandı	extracted
ontmoet	görüşdü	meets
ontmoeten	görüşmək	met
ontmoeting	görüş	meeting
ontmoette	görüşdü	met
ontmoetten	görüşdü	meet
ontslag	işdən çıxarılması	dismissal
ontslagen	qoydu	fired
ontsluiting	həzm	digestion
ontsnappen	qaçmaq	escape
ontsnapt	qaçdı	escaped
ontsnapte	qaçdı	escaped
ontspringen	axmaq	arise
ontstaan	mənşəli	takes form
ontstaat	yaranır	arises
ontstane	qalxdı	originated
ontsteking	iltihab	swelling
ontstekingen	iltihab	inflammations
ontstoken	iltihablı	infected
ontstond	qalxdı	was
onttrekken	vurun	withdraw from
onttrokken	hasil olunur	dissolved
ontvangen	alınıb	recieve
ontvanger	qəbuledici	receiver
ontvangt	almaq	receive
ontving	alınıb	recieved
ontvingen	alınıb	received
ontvoerd	qaçırıldı	kidnapped
ontwerp	dizayn	design
ontwerpen	dizayn etmək	designs
ontwerper	dizayner	designer
ontwierp	dizayn edilmişdir	designed
ontwikkeld	inkişaf etmişdir	developed
ontwikkelde	inkişaf etmişdir	developed
ontwikkelden	inkişaf etmişdir	developed
ontwikkelen	inkişaf	develop
ontwikkeling	inkişaf	development
ontwikkelingen	inkişaflar	developments
ontwikkelingsstoornis	inkişaf pozğunluğu	developmental
ontwikkelt	inkişaf edir	develops
ontworpen	dizayn edilmişdir	designed
onvermogen	acizlik	inability
onverwacht	gözlənilməz	unexpected
onverwachte	gözlənilməz	unexpected
onvoldoende	qeyri-kafi	insufficient
onvrede	narazılıq	dissatisfaction
onwaarschijnlijk	mümkünsüz	unprobable
onze	bizim	our
onzeker	qeyri-müəyyən	insecure
onzekerheid	qeyri-müəyyənlik	insecurity
onzichtbaar	görünməz	invisible
oog	göz	eye
oogpunt	nöqteyi-nəzər	point of view
oogst	məhsul	harvest
ooit	heç	ever
ook	həmçinin	also
oom	əmi	uncle
oor	qulaq	ear
oordeel	hökm	judgement
oorlog	müharibə	war
oorlogen	müharibələr	wars
oorsprong	mənşəli	origin
oorspronkelijk	ilkin olaraq	originally
oorspronkelijke	orijinal	original
oorzaak	səbəb	cause
oorzaken	səbəb olur	causes
oost	şərq	east
oostazië	şərqi asiya	eastern asia
oostberlijn	şərqi berlin	east berlin
oostblok	şərq bloku	eastern bloc
oostduitsland	şərqi almaniya	east germany
oostelijk	şərq	eastern
oostelijke	şərq	eastern
oosten	şərq	east
oostende	ostend	oostende
oostenrijk	avstriya	austria
oostenrijkers	avstriyalılar	east rijkers
oostenrijkhongarije	avstriya aclıq	austria-hungary
oostenrijkse	avstriyalı	austrian
oosterse	şərq	eastern
oosteuropa	şərqi avropa	eastern europe
oostkust	şərq sahili	east coast
oostromeinse	şərq romanı	east romanian
oostzee	baltik dənizi	east sea
op	yandır	on
opbouw	quruluşu	building
opbrengst	məhsuldarlıq	proceeds
opbrengsten	məhsul verir	takings
opdat	ki	in order that
opdracht	sifariş	assignment
opdrachten	məşqlər	assignments
opeens	birdən	suddenly
opeenvolgende	ardıcıl	consecutive
open	açıq	open
openbaar	ictimai	public
openbare	ictimai	public
openbaring	vəhy	revelation
opende	açıldı	opened
openen	açmaq	to open
opening	açılış	opening
openingen	açılışlar	openings
openlijk	açıq şəkildə	openly
opent	açılır	opens
opera	opera	opera
operatie	əməliyyat	operation
operaties	əməliyyatları	operations
opereren	fəaliyyət göstərmək	operate
opgeblazen	partladılmış	bloated
opgebouwd	tikilib	build
opgedeeld	bölünmüşdür	divided
opgedragen	əmr	performed / dedicated
opgehangen	asdı	hanged
opgeheven	qaldırdı	lifted
opgelegd	tətbiq olunur	imposed
opgeleid	öyrədilmiş	educated
opgeleverd	çatdırılmış	produced
opgelopen	davamlıdır	taken
opgelost	həll olunur	solved
opgemerkt	fərq etdi	noticed
opgenomen	daxil edilmişdir	included
opgepakt	həbs olundu	picked up
opgericht	quruldu	founded
opgerichte	quruldu	founded
opgeroepen	çağırdı	call on
opgeslagen	xilas oldu	stored
opgesloten	kilidləndi	locked up
opgesplitst	parçalanmaq	divided
opgesteld	düzülmüş	edited
opgetreden	meydana gəldi	acted
opgetrokken	ucaldılmışdır	increased
opgevangen	əsir	catch
opgevat	dölləndi	taken up (2nd sentence), seen as (4th and 5th sentence)
opgeven	imtina etmək	give up
opgevoed	qaldırdı	raised
opgevoerd	sürətləndirdi	intensified
opgevolgd	izlədi	followed
opgewekt	şən	cheerful
opgezet	qurmaq	set up
opgezette	doldurulur	put up
opheffing	ləğv	abolishment
opinie	rəy	opinion
opkomende	yaranan	emerging
opkomst	davamiyyət	rise
oplage	nəşr	edition
opleiding	təhsil	education
opleidingen	maarifləndirmə işləri	courses
opleveren	çatdırmaq	delivered
opleving	canlanma	revival
oplopen	artırmaq	increase
oplossen	həll etmək	solve
oplossing	həll	resolvation
oplossingen	həllər	solutions
opmars	əvvəlcədən	advance
opmerkelijk	diqqətəlayiqdir	remarkable
opmerkelijke	diqqətəlayiqdir	remarkable
opmerking	şərh	remakr
opmerkingen	şərhlər	comments
opname	qeyd	recording
opnamen	yazıları	shooting
opnames	yazıları	recordings
opnemen	qeyd	to measure
opnieuw	yenidən	again
opperbevelhebber	baş komandir	supreme commander
oppervlak	səthi	surface
oppervlakte	səthi	surface - 3rd sentence, surface area - 6th and 7th sentence.
oppositie	müxalifət	opposition
oprichter	qurucusu	founder
oprichting	yaradılması	establishment
oproep	zəng edin	call
oproepen	zənglər	call
opslag	saxlama	storage
opstand	üsyan	uprise
opstandelingen	üsyançılar	insurgents
opstanden	üsyanlar	risings
opstandige	üsyankar	rebellious
opstanding	qiyamət	resurrection
opstellen	tərtib etmək	set up
opstelling	qurmaq	setup
opstijgen	götürmək	rise
optie	seçim	option
optimaal	optimal	optimal
optische	optik	optical
optrad	meydana gəldi	appeared
optreden	performans	action
optredens	tamaşalar	appearence
optreedt	baş verir	occurs
opus	opus	opus
opvallend	diqqətəlayiqdir	notable
opvallende	təəccüblü	notable
opvatting	görünüşü	interpretation
opvattingen	baxışlar	ideas
opvoeding	təhsil	upbringing
opvolger	varisi	follower
opvolgers	varisləri	successors
opvolging	ardıcıllıq	succession
opwarming	məşqdən əvvəl	warming
opwekken	təhrik etmək	arouse (1st sentence),create (4th sentence), generate (6th sentence)
opwinding	oyandırmaq	excitement
opzet	niyyət	design
opzettelijk	qəsdən	intentional
opzetten	ayarlamaq	to make up
opzicht	hörmət	repects
opzichte	nisbi	compared to
orale	şifahi	oral
orange	narıncı	orange
oranje	narıncı	orange
oranjenassau	narıncı-nassau	oranje-nassau
orchestra	orkestri	orchestra
orde	sifariş	order
orden	sifarişlər	factions
ordening	sifariş	planning
order	sifariş	order/ orde
ordes	sifarişlər	order(s)
oren	qulaqlar	ears
orgaan	orqan	institution
organen	orqanlar	organs
organisatie	təşkilat	organization
organisaties	təşkilatlar	organizations
organische	üzvi	organic
organiseerde	mütəşəkkil	organized
organiseert	təşkil edir	organizes
organiseren	təşkil etmək	to organize
organisme	orqanizm	organism
organismen	orqanizmlər	organisms
orgasme	orqazm	orgasm
orgel	orqan	organ
orientationhorizontal	oriyentasiya yatay	orientation horizontal
original	orijinal	original
origineel	orijinal	original
originele	orijinal	original
orkaan	qasırğa	hurricane
orkanen	qasırğalar	hurricanes
orkest	orkestri	orchestra
orleans	orlean	orleans
orthodoxe	ortodoks	orthodox
os	öküz	os
oscar	oskar	oscar
oslo	oslo	oslo
otto	otto	otto
ottomaanse	osmanlı	ottoman
ottomanen	osmanlılar	ottomans
oud	köhnə	old
oude	köhnə	old
ouder	daha yaşlı	older / parent
ouderdom	qocalıq	age
oudere	daha yaşlı	older
ouderen	yaşlı	elder
ouders	valideynlər	parents
oudheid	antik dövr	ancient times
oudsher	ənənəvi olaraq	of old
oudst	ən qədim	oldest
oudste	böyüyü	oldest
our	bizim	our
out	çöldə	out
outstanding	görkəmli	outstanding
over	haqqında	over
overal	hər yerdə	everywhere
overblijfselen	qalır	remains
overdag	gün ərzində	during the day
overdekte	örtülmüşdür	covered
overdosis	həddindən artıq dozada	overdose
overdracht	ötürmək	transmition
overdreven	artıqlaması	excessive
overeen	uyğunluq	into accord
overeengekomen	razılaşdı	agreed
overeenkomst	razılaşma	resemblance
overeenkomsten	oxşarlıqlar	agreements
overeenkomt	matçlar	matches
overeenstemming	razılaşma	agreement
overeind	dik	vertically
overgaan	keçmək	proceed
overgaat	üzüklər	passes
overgang	keçid	transition
overgave	təslim olmaq	surrender
overgebleven	qalıb	remaining
overgebracht	köçürüldü	transfer
overgedragen	köçürüldü	transferred
overgeleverd	təhvil verildi	delivered
overgenomen	ələ keçirildi	take over
overgewicht	çox kilolu olmaq	overweight
overgrote	geniş	vast
overhand	üstünlük təşkil edir	upper hand
overheden	hökumətlər	governments
overheersende	üstünlük təşkil edən	dominant
overheersing	hökmranlıq	domination
overheerst	üstünlük təşkil edir	dominate
overheid	hökumət	government
overig	digərləri	remaining
overige	digərləri	other
overigens	üstəlik	for that matter - 5th sentence
overijssel	overijssel	overijssel
overkoepelende	üst-üstə düşür	coordinate
overleden	keçdi	deceased
overledene	mərhum	deceased
overledenen	mərhum	survivors
overleed	ölmüş	died
overleefde	sağ qalıb	survived
overleg	məsləhətləşmə	consideration
overleven	sağ qal	survive
overlevenden	sağ qalanlar	survivors
overlevering	irfan	tradition
overleveringen	adətləri	traditions
overlijden	keçib	death
overmatig	həddindən artıq	excessive
overmatige	həddindən artıq	excessive
overname	təhvil almaq	take-over
overnemen	götürmək	take over
overschot	artıqlığı	abundance
overstromingen	daşqınlar	floods
overtreding	pozuntu	offence
overtuigd	razı	convinced
overtuigen	inandırmaq	convince
overtuiging	inandırmaq	conviction
overtuigingen	inanclar	convince
overwegend	üstünlük təşkil edir	mostly
overwegingen	mülahizələr	considerations
overwicht	üstünlük	overweight
overwinnen	aşmaq	conquer
overwinning	qələbə	victory
overwinningen	qələbələr	conquers
overwogen	hesab olunur	considered
overwonnen	aşmaq	overcome
overzees	dəniz	overseas
overzeese	xarici	overseas
overzicht	ümumi	overview
owen	owen	owen (proper noun, first name or surname)
own	sahibi	eigen
oxford	oksford	oxford
paar	cütlük	couple
paard	at	horse
paarden	atlar	horses
paars	bənövşəyi	purple
paartijd	çiftleşme mövsümü	mating season
paaseiland	şərq adası	easter island
paasfeest	pasxa gecəsi	easter
pablo	pablo	pablo
pad	yol	track
paddenstoelen	göbələklər	mushrooms
pagina	səhifə	page
pak	iş kostyumu	''pak ransel'' - a good thrashing - 2nd sentence, suit - 5th and 6th sentence
pakistan	pakistan	pakistan
pakken	tutmaq	to take
pakte	aldı	took
palace	saray	palace
palazzo	palazzo	building
paleis	saray	palace
paleizen	saraylar	palaces
palestijnen	fələstinlilər	palestins
palestijnse	palestinian	palestinian
palestina	fələstin	palestine
pan	tava	pan - proper noun, place name and surname.
panama	panama	panama
pand	ev	building
pandemie	pandemiya	pandemic
panden	xassələri	buildings
paniek	təlaş	panic
paolo	paolo	paolo
papiaments	papiamento	papiamento
papier	kağız	paper
par	par	over
paracetamol	parasetamol	paracetamol
paradijs	cənnət	paradise
parallel	paralel	parallel
parallelle	paralel	parallel
paramaribo	paramaribo	paramaribo
parasiet	parazit	parasite
parasieten	parazitlər	parasites
parc	parc	pac
paren	cütlüklər	mate
parfum	ətir	parfume
parijs	paris	paris
parijse	parisyan	parisian
paring	çiftleşmə	pairing
paris	paris	paris
park	park	park
parken	parklar	park
parker	parker	parker
parkinson	parkinson	parkinson
parlement	məclis	parliament
parlementaire	parlamentli	parlementary
parlementen	parlamentlər	parliaments
parlementsverkiezingen	parlament seçkiləri	parliamentary elections
parma	parma	a dutch last name, see margareth van parma
parochie	kilise	parish
parochiekerk	kilsə kilsəsi	parish church
parodie	parodiya	parody
part	hissəsi	deel
particuliere	özəl	private
partij	tərəf	party
partijen	tərəflər	parties
partner	tərəfdaş	partner
partners	tərəfdaşlar	partners
partnersteden	tərəfdaş şəhərlər	partner cities
party	tərəf	party
pas	yalnız	only
pascal	paskal	pascal
pasen	pasxa	easter
passage	keçid	passage
passages	keçidlər	passages
passagiers	sərnişinlər	passengers
passen	uyğunlaşmaq	adapt
passeren	keçmək	passing
passie	ehtiras	passion
passief	passiv	passive
past	kostyumlar	past
paste	uyğun	paste
pater	ata	father
patiënt	xəstə	patient
patiënten	xəstələr	patients
patrick	patrik	patrick
patronen	naxışlar	patterns
patroon	naxış	patron
paul	paul	paul - proper noun - first name
paula	paula	paula
paulo	paulo	paulo
paulus	paul	paulus
paus	papa	pope
pauselijke	papal	papal
pausen	popes	popes
pauze	fasilə	break
pc	pc	pc
pddnos	pddnos	pdd-nos
pearl	inci	pearl
pedro	pedro	pedro
peking	beijing	beijing
pen	qələm	pencil
penetratie	nüfuz	penetration
penis	penis	penis
