$ tỉ	милиард долара	$ billion
much	много	much
muhammad	мохамед	(proper noun) muhammad, as in muhammad ali
mumbai	мумбай	mumbai
mun	абанос	a vietnamese name
munich	мюнхен	(proper noun) munich
murdoch	мърдок	murdoch
muromachi	муромачи	(proper noun) muromachi
murphy	мърфи	murphy
murray	мъри	(proper noun) murray, as in dr. conrad murray
mustang	мустанг	mustang, as in the f-51 mustang
muta	мута	a name
muôn	искам	a large number; thousands (adj.)
muối	сол	salt
muốn	искам	want
muống	лъжица	"(term should be ""rau muống"") water spinach (n.)"
muồi	късен	ripe
muỗi	комар	mosquito
muỗng	лъжица	spoon
muội	сестра	confusion
muộn	късен	late (adv.)
myanma	мианмар	the country of myanmar
myanmar	мианмар	(proper noun) myanmar
myspace	моето пространство	(proper noun) myspace
mà	но	also
mài	смилане	tomorrow
màn	екран	curtain (n.)
mành	щори	a bamboo screen (n.)
mào	гребен	a comb or crest, as in the body part of a bird
màu	цвят	color
mày	вие	sew
má	майка	cheek
mác	етикет	a name (marx)
mách	съвети	tell
máclênin	macelenin	marxist-leninist
mái	покрив	"entire term should be ""thoai mai""; means ""comfortable"""
mát	готино	cool
máu	кръв	blood
máy	машина	a machine (n.)
mâm	поднос	tray
mân	молитвена броеница	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	противоречив	contradiction
mây	облак	cloud
mã	код	"(term should be ""la mã"") roman (adj.)"
mãi	завинаги	forever (adv.)
mãimại	код	commerce
mãn	самодоволен	satisfy
mãnh	силен	intense
mão	корони	cat
mè	сусам	sesame
mèo	котка	cat (n.)
mé	мен	a border
méo	изопачен	alter
mép	ръб, край	edge
mét	метър	meter
mênh	изумително	vast
mêtan	метан	methane
mì	юфка	wheat
mình	себе си	me
mía	тръстика	sugar cane (n.)
mò	бръкнах	to grope (v.)
mòn	пътека	trail
móc	кука	"(term should be ""máy móc"") machinery (n.)"
món	храна	dish
mô	тъкан	mo
môi	всеки	lip
môn	учебни предмети	anus
mông	задник	mongolia
mônôxít	монооксид	monoxide
môt	един	"(term should be ""một"") one (n.)"
môtô	мотоциклет	motorcycle
mù	сляп	mu
mùa	сезон	season
mùi	миризма	smell
múa	танцувам	dance
mút	всмукващ	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	издънки от бамбук	bamboo shoot (n.)
mĩ	америка	america
mũ	шапка	cap
mũi	нос	nose
mơ	мечта	vague
mơn	лапи	caress
mưa	дъжд	rain
mưu	хитър	"(should be ""tham mưu"") advisors"
mươi	петдесет	tens
mương	източване	ditch
mướn	под наем	hire
mướt	копринен	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	взимам на заем	borrow
mượt	изглаждане	glossy (adj.)
mạc	пустинен	"(should be ""mộc mạc"") simple or natural"
mạch	верига	vessel
mại	търговия	commerce
mạn	страна	romantic
mạnh	силен	strong
mạo	статия	"(should be ""mạo hiểm"") to brave danger"
mạt	акари	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	гробове	tomb or grave (n.)
mải	зает	absorbedly
mảng	масив	genre
mảnh	парче	piece
mất	загубен	lose
mấu	раздел	key
mấy	малцина	any
mầm	зародиш	kindergarten
mầu	цвят	color
mẩu	парчета	piece
mận	слива	plum
mập	дебел	fat
mật	пчелен мед	intimate
mậu	търговия	mau
mắc	скъп	get
mắm	рибен сос	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	късметлия	"(term should be ""may mắn"") fortunate (adj.)"
mắng	гълча	scold
mắt	око	eye
mặc	износване	wear
mặn	солено	salt
mặt	лице	face
mẹ	мама	mother (n.)
mẹo	съвети	trick
mẻ	партида	cool
mẽ	силен	strong
mến	скъп	to adore or like greatly (v.)
mề	воденица	locket
mềm	мек	soft
mệnh	съдба	revolution
mệt	уморен	tired
mỉ	най-щателен	meticulous
mỉa	сарказъм	ironic
mỉm	усмихни се	smile
mịch	лайна	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	изглаждане	smooth
mịt	помирисване	dim
mọc	расте	to grow (v.)
mọi	всеки	every
mọn	дребен	lowly
mỏ	мини	mine
mỏi	уморен	tired (adj.)
mỏng	тънък	thin
mốc	мухлясал	border
mối	термит	relationship
mốt	мода	fashion or style (n.)
mồ	гроб	"(term should be ""mồ hôi"") sweat (n.)"
mồi	стръв	bait (n.)
mổ	хирургия	to dissect or perform surgery (v.)
mỗi	всеки	every
mộ	гробница	admire
mộc	дърводелство	simple
mộng	мечта	dream
một	един	one
mới	нов	new (adj.)
mờ	бухнал	dim
mời	каня	invite
mở	отворен	open
mỡ	дебел	fat or grease (n.)
mục	артикула	purpose
mụn	акне	pimple
mức	ниво	level
mứt	конфитюр	preserve
mừng	доволен	to be happy
mửa	повръщане	to vomit (v.)
mực	мастило	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	юфка	noodles (n.)
mỹ	америка	america
mỹcông	америка	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	насионал	nacional
nagant	nagant	nagant
nagar	нагар	nagar, as in champa po nagar
nagasaki	нагасаки	(proper noun) the city of nagasaki, japan
nagoya	нагоя	a name
nagumo	нагумо	nagumo
nai	елен	a deer
nairobi	найроби	nairobi, a city in kenya (n.)
nakajima	накаджима	a japanese name
nalbandian	налбандян	a name
nam	мъжки пол	male
nambắc	север	nambac
namibia	намибия	namibia
namnam	нам нам	male-male
namno	namno	nammo
nancy	хомосексуалист	nancy, as in nancy pelosi
nang	фоликул	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	зъби	fang
nano	нано	nano
naomi	наоми	naomi, as in model naomi campbell
napoleon	наполеон	(proper noun) napoleon
napoli	наполи	(proper noun) napoli
napoléon	наполеон	napoleon
nara	нара	nara
nasa	наса	(proper noun) nasa
nat	nat	nat
nathan	нейтън	nathan
natri	натрий	sodium
nauru	науру	a name
nava	нава	nava
navarre	навара	navarre
nay	сега нататък	this (adj.)
needham	needham	needham
nelson	нелсон	(proper noun) nelson, as in nelson mandela
neo	котва	"(term should be ""mỏ neo"") an anchor (n.)"
neon	неон	neon
nepal	непал	nepal
nepomuk	nepomuk	a name
nessie	неси	(noun) nessie, the nickname of the loch ness monster
net	нето	net
netbook	нетбук	netbook
netscape	netscape	netscape
networks	мрежи	networks
neumann	нойман	(proper noun) neumann
neutrino	неутрино	neutrino
nevada	невада	nevada
neverland	невърленд	neverland
newcastle	нюкасъл	newcastle
newspaper	вестник	newspaper
newton	нютон	newton
newtons	нютона	(proper noun) newton's
next	следващия	next
nga	русия	russia
ngai	престола	crown
ngang	хоризонтален	horizontal
ngao	мида	clam (n.)
ngay	прав	even
nghe	слушам	hear
nghinh	nghinh	welcome
nghiêm	тежко	serious
nghiêng	наклони	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	мачкам	crush
nghiễm	жалко	serious
nghiệm	опит	experiment
nghiện	пристрастен	addiction
nghiệp	карма	karma/ sự nghiệp=career
nghiệt	мрачен	adverse
nghành	промишленост	faculty
nghèo	беден	poor
nghé	нге	to glance out of the corner of one's eye (v.)
nghê	нге	nghe khuong
nghênh	добре дошли	support
nghìn	хиляда	thousand
nghĩ	мисля	think
nghĩa	средства	meaning
nghẽn	задръствания	jam
nghếch	шумен	stupid
nghề	професия	career
nghệquận	изкуство	art district
nghỉ	ваканция	relaxation
nghị	препоръки	think
ngo	нежен	ngo
ngoan	добро момче	good
ngoc	нгок	"(term should be ""ngọc"") gem (n.)"
ngon	вкусно	delicious
ngoài	от	outside of
ngoại	чуждестранен	external
ngoạn	спиращ дъха	spectacular
ngoặc	скоби	bracket
ngoặt	завъртете	landmark
ngu	сън	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	нгуен	nguyen
nguyên	оригинал	reason
nguyền	прокълне	curse
nguyện	обет	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	луна	moon
nguôi	успокояващ	fade away
nguồn	източник	source
nguời	хора	people
nguỵ	глупаци	camouflage
ngà	слонова кост	russian
ngàn	хиляда	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	клон	sector
ngào	сладка	sweet
ngày	ден	day
ngách	ниша	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	тъп	chinese ethnic group living in the vietnamese highlands near the china border
ngán	отегчен	to be tired of
ngáng	ngáng	stop
ngát	припадък	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	банка	money
ngây	празно	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	нгай	ngai
ngò	кориандър	coriander
ngó	виж	to look (v.)
ngói	плочка	tile or shingle
ngón	пръст на ръката	a finger (n.)
ngót	свиване	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	език	manifesto
ngông	гъска	eccentric
ngõ	платно	lane
ngùi	мирис	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	отделение	prevent
ngũ	сън	rank
ngơ	игнорирани	ignored (adj.)
ngơi	почивка	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	рибар	fishermen
ngưng	спри се	stop
ngưu	вол	buffalo
ngươi	вие	an ancient form of address equivalent to thou or thee (n.)
người	хора	people
ngưỡng	праг	religious
ngược	обратен	opposite
ngạc	изненада	surprise
ngạch	ранг	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	банка	bank
ngạnh	скорбут	self-willed
ngạo	надут	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	задушаване	stuffy
ngấm	попарен	draw
ngất	губя съзнание	unconscious
ngầm	косвен	underground
ngần	колебайте	hesitate
ngẩn	втрещен	froze
ngẫm	размишлявам	think
ngẫu	случаен	ngẫu nhiên= random
ngậm	таблетки за смучене	keep
ngập	наводнен	flood
ngắm	разсъждават	to contemplate or look admiringly at something (v.)
ngắn	къс	short
ngặt	стегнат	strict
ngọ	по обяд	horse
ngọc	скъпоценен камък	pearl
ngọn	връх	top
ngọt	сладка	sweet (adj.)
ngồi	седнете	sit
ngộ	просвещение	ngo
ngột	рязко	sudden
ngớ	глупав	silly
ngời	хора	bright
ngỡ	мисъл	surprised
ngợi	възхвала	praise
ngợm	палав	naughty
ngục	затвор	dungeon
ngụm	глътка	sip
ngụy	вей	puppet
ngủ	спя	sleep
ngủi	къс	"(should be ""ngắn ngủi"") short-lived"
ngứa	сърбеж	itchy
ngừ	риба тон	tuna
ngừa	предотвратявам	prevent
ngừng	престават	to cease (v.)
ngửa	изправим	supine
ngửi	мирис	to smell
ngữ	реч	term
ngự	обитавам	defend
ngựa	кон	horse
ngực	гръден кош	chest
nha	зъболекар	dental
nhakẻ	хлапе	nha-ke
nham	лава	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	тамян	incense
nhanh	бърз	fast
nhat	нат	nhat
nhen	възражда	rekindle
nhi	деца	junior
nhiên	курс	tuy nhiên= however
nhiêu	много	how many
nhiều	много	numerous
nhiễm	заразен	infect
nhiễu	шум	noise
nhiệm	мито	task
nhiệt	топлина	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	като	demand
nhuận	печалба	leap year
nhuệ	nhue	elite
nhuộm	боядисване	dye
nhàn	празен	leisure
nhàng	нежно	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	месят	to fall headlong
nhác	отпускате	coward
nhái	клонинги	illegal copy
nhánh	клон	branch
nháp	проект	draft
nháy	мига	to flash or blink (v.)
nhâm	потапяне	leap
nhã	изискан	"(term should be ""thanh nhã"") elegant"
nhãn	етикет	"(term should be ""gán nhãn"") to affix a label"
nhét	слагам	put
nhì	втори	second (adj.)
nhìn	виж	to look (v.)
nhí	бърборене	children
nhím	таралеж	porcupine
nhòm	виж	to peep (v.)
nhóc	хлапе	brat
nhóm	група	group (n.)
nhô	изпъкнал	emerge
nhôm	алуминий	aluminum (n.)
nhúng	потапяне	embed
nhút	срамежлив	shy
nhăn	набръчкана	wrinkle
nhĩ	предсърдно	turkey
nhũ	емулсия	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	корупция	bribery
nhơn	умножете	nhon
như	като	like
nhưng	но	but
nhương	слюнка	(proper noun) vietnamese first name
nhường	отстъпи	yield
nhưỡng	мазен	soil
nhược	слабост	weak
nhượng	концесии	concession
nhạ	ня	nha
nhạc	музика	music
nhạn	глътка	bird
nhạo	подигравателен	ridicule
nhạt	блед	light
nhạy	чувствителен	sensitive
nhảy	танцувам	jump
nhấc	вдигам	lift
nhấm	отпивайки	rodent
nhấn	натискане	to press (v.)
nhất	най-доброто	most
nhầm	погрешно	misunderstand
nhầy	мазен	glutinous
nhẫn	пръстени	patient
nhậm	подпечатана	inaugurate
nhập	внос	penetrate
nhậu	пиене	drink
nhậy	чувствителен	sensitive
nhắc	бърз	to remind (v.)
nhắm	цел	aim
nhắn	съобщението	message
nhằm	с цел	for the purpose of (adv.)
nhẵn	изглаждане	smooth
nhặt	избирам	pickup
nhẹ	светлина	light
nhẹn	пъргав	nhanh nhẹn= fast/nimble
nhị	тичинка	sensitive
nhịn	въздържат	fasting
nhọ	без късмет	smear
nhọn	остър	sharp (adj.)
nhỏ	малък	small
nhỏ|cây	малко | дърво	small|tree
nhỏ|một	малък | един	small | one
nhỏ|phải|	малък | прав |	small|right
nhỏ|phải|px|	малък | дясно | px |	small | have | px |
nhỏ|phải|px|bức	малки | правилни | px | снимки	grape / fade / px / buc
nhỏ|phải|px|cây	малко | дясно | px | дърво	px spicy grape fade
nhỏ|phải|px|khu	малка | дясна | px | зона	small|right|px|area
nhỏ|phải|px|michael	малък | десен | px | michael	small|right|px|michael
nhỏ|phải|px|máy	малка | дясна | px | машина	small | right|px|machine
nhỏ|phải|px|một	малък | десен | px | един	small|right|px|one
nhỏ|phải|px|quân	малка | дясна | px | сила	small|right|px|army
nhỏ|px|	малък | px |	small
nhỏ|px|các	малък | px | the	small
nhỏ|px|phải|kiến	малък | px | десен | мравка	small | px | right | patience
nhỏ|quân	малка | сила	small|army
nhỏ|trái|px|máy	малка | вляво | px | машина	small|left|px|plane
nhỏ|tượng	малки статуи	small|statue
nhốt	заключен	confine
nhồi	пълнено	cram
nhổ	дързост	uproot
nhộn	весел	busy
nhớ	ум	remember
nhớt	вискозен	viscid
nhờ	благодаря	by
nhờn	мазен	multiplication
nhở	напомням	remind
nhụ	щипка	nhu
nhục	унизена	shame
nhủ	напомняния	needs
nhức	болка	pain
nhứt	първи	first (n.)
nhừ	сантиментален	tender
những	тези	the
nhựa	пластмасов	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ни	nun
nia	ния	a flat basket (n.)
nicaea	никея	nicaea
nicaragua	никарагуа	(proper noun) nicaragua
niccolò	николо	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	никола	(proper noun) nicolas, as in nicolas sarkozy
niels	нилс	(proper noun) niels
nigeria	нигерия	nigeria
nikel	nikel	nickel
niken	никел	nickel
nikita	никита	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	николай	nikolai
nikolayevich	николаевич	nikolayevich
nil	нула	nile
nile	нил	(proper noun) the river nile
nimitz	нимиц	(proper noun) nimitz, as in the ship uss nimitz
nin	нин	nin
ninh	сигурност	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	азот	nitrogen (n.)
nixon	никсън	(proper noun) nixon, as in former president richard nixon
niên	година	youth
niết	niet	nirvana
niềm	удоволствие	trust
niệm	внимателност	concept
niệu	диуреза	urinary
nj	ню джърси	nj
nlf	нзр	nlf
nm	нм	nano-meters
noah	ной	(proper noun) noah
nobel	нобелова	nobel
nobita	nobita	nobita
noel	коледа	(proper noun) noel
noi	казвам	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	не!	nol
nom	ном	look after
non	млад	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	норфолк	norfolk
norge	norge	norge
norma	норма	(proper noun) norma, a female first name
norman	нормандски	norman
normandie	нормандия	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	норвегия	norway
nou	ноу	nou
novak	новак	novak
now	сега	now
nowc	nowc	nowc
noãn	яйчице	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	нубия	nubia
number	номер	number
nupedia	нупедия	a name
nusa	нуса	nusa
nuôi	фураж	feed
nuối	глътка	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	глътка	to swallow (v.)
nuớc	вода	water
nxb	nxb	publisher
nynorsk	съвременен	nynorsk
nà	na	na
nài	настоявам	pleading
nàn	оплакал	poor
nành	соя	soy
nào	хайде	would
này	това	this
ná	na	a crossbow (n.)
nách	подмишница	underarm (n.)
náo	шумен	riot
nát	смачкан	ruin
náu	крия	hide
nâng	издигнат	raise
nâu	кафяв	brown
nã	nã	to track down (v.)
não	мозък	brain
né	отдръпване	dodge
ném	хвърлям	to throw (v.)
nén	сгъстен	compress
nét	инсулти	feature
nê	ne	ne
nên	свещник	should or ought to
nêu	казвам	mention
nòi	раса	race
nòng	високоскоростно	barrel
nói	да говоря	to say or speak (v.)
nón	шапка	cone
nóng	горещ	hot
nô	роб	slave
nôbita	tobita	nobita
nôi	детско креватче	cradle
nôm	ном	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	бълвоч	vomit
nông	плитък	farmer
nõn	белене	peeled
nùng	нунг	nung
núm	копче	nipple
núp	крия	hide
nút	възел	button
năm	година	year
năn	разкаян	"(term should be ""ăn năn"") remorse (n.)"
năng	мощност	"(term should be ""khả năng"") ability (n.)"
nơi	място	a place
nơtrino	neutino	neutrino
nước	страна	country
nước 	страна	water
nướng	на скара	grill
nǎm	nǎm	year
nạ	маска	mask
nạc	слаб	lean (adj.)
nại	оплакват	complain
nạn	беда	a disaster (n.)
nạo	кюретаж	to scrape (v.)
nạp	зареден	tribute
nản	обезкуражени	depressed
nảy	подскачащи	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	хълцане	a hiccup (n.)
nấp	крия	hide
nấu	готвач	cook
nấy	това	this
nần	побутнете	debt
nầy	това	this
nẩy	подскачащи	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n слънце	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	нам	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	горещ	busy
nắm	изчакване	to grasp or hold (v.)
nắng	слънчево	sunlight
nắp	капак	a lid or cover (n.)
nằm	лъжа	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	анонимно	heavy
nặn	стискане	mould
nặng	тежък	heavy
nẻo	друг	turn
nếm	вкус	taste
nến	свещ	candle
nếp	лепкав	sticky rice (n.)
nếu	ако	if (adv.)
nề	зидария	severe
nể	уважават	respect
nện	биеше	ram
nỉ	чувствах	beg
nịnh	лаская	flatter
nọ	другият	the other
nọc	отрова	tadpole
nỏ	арбалет	a crossbow (n.)
nối	свързан	connection
nốt	забележка	to finish off (v.)
nồi	гърне	pot
nồm	тил	humid (adj.)
nồng	горещ	heavy
nổ	експлозивен	explode
nổi	плаващ	nổi tiếng= famous
nỗ	опитвайте	affort
nỗi	че	state
nộ	гняв	anger
nội	вътрешен	on the paternal side (adj.)
nộn	плънка	non
nộp	регистриран	submit
nới	отпускам се	ease
nở	цъфтящ	bloom
nỡ	сърдечен	do you have a heart to
nợ	в дългове	debt
nụy	пестик	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	корк	a kind of bamboo (n.)
nứt	cracked	to crack
nửa	наполовина	haft
nữa	отново	moreover
oahu	оаху	(proper noun) oahu
oai	dread	heroic
oakland	оукланд	oakland
oan	несправедливост	injustice
oanh	oanh	(with word liet) glorious
obama	обама	obama
oblast	област	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	октомври	(proper noun) october
oda	о, да	oda
oder	одер	oder
odyssey	одисея	odyssey, as in the odyssey, homer's epic
oecd	оиср	oecd
officer	офицер	officer
officers	служители	officers
ohkawa	ohkawa	ohkawa
okhotsk	охотско	okhotsk
oliver	оливър	oliver
olivier	оливие	olivier
olympus	олимп	olympus
om	запържен	to simmer
omar	омар	a name
ong	пчела	bee
ontario	ontario	ontario
oort	оорт	oort
oprah	опра	(proper noun) oprah, as in oprah winfrey
organ	орган	organ
oricon	oricon	oricon
origin	произход	origin
orion	орион	(proper noun) orion, the hunter
orleans	орлиънс	(proper noun) orleans, as in new orleans
orochimaru	орочимару	orochimaru
orton	ортън	orton
os	операционна система	os
osaka	осака	(proper noun) osaka, a city in japan
osama	осама	(proper noun) osama, as in osama bin laden
osamu	осаму	(proper noun) osamu, a japanese first name
oscar	оскар	oscar
osiris	озирис	(proper noun) osiris, as in the egyptian god
oskar	оскар	a name
oslo	осло	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	осетия	(proper noun) ossetia
oswald	осуалд	oswald
other	друг	other
otto	розово масло	(proper noun) otto, as in otto von bismarck
ottoman	османски	(proper noun) ottoman, as in the ottoman empire
outstanding	изключителен	xuat sac
owen	оуен	(proper noun) owen, as in michael owen
oxford	оксфорд	oxford
oxy	кислород	oxygen
ozawa	озава	(proper noun) ozawa, as in maria ozawa
oán	възмущение	"(term should be ""oán than"") to complain or whine"
oát	вата	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	пайлин	pailin
pakistan	пакистан	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	палаван	palawan
palenque	паленке	(proper noun) palenque
palestine	палестина	a name
palgrave	palgrave	palgrave
pali	пали	a name
pamir	памир	pamir
pan	тиган	pan, as in peter pan
panama	панама	panama
panamax	панамакс	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	пантеон	a name
paolo	паоло	paolo
paperback	книга с меки корици	paperback
papua	папуа	papua
paraguay	парагвай	(proper noun) paraguay
pari	пари	pari
park	парк	park
parton	партън	parton
patel	пател	(proper noun) patel
patrick	патрик	patrick
patriot	патриот	patriot
paul	павел	paul
paula	паула	paula
paulo	пауло	(proper noun) paulo
pavia	павия	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	педро	pedro
peers	връстници	peers
pele	пеле	(proper noun) pele, as in the soccer player
penang	пенанг	penang
penh	пен	(proper noun) penh, as in phnom penh
pennsylvania	пенсилвания	pennsylvania
penny	пени	(proper noun) penny, an english first name
pereira	перейра	pereira
perl	perl	(proper noun) perl
pero	перо	pero
perry	от круши	(proper noun) perry, as in elizabeth perry
persephone	персефона	presephone
pershing	pershing	pershing
persian	персийски	persian
peru	перу	peru, as in the south american country
peters	питърс	peter's, possessive of peter
petersburg	петербург	(proper noun) petersburg, as in saint petersburg
pfm	упф	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	смесен	to mix
phaethon	phaethon	phaethon
pham	фам	pham
phanh	спирачка	expose
phao	поплавък	float
phaolô	paul	st. paul, the apostle
pharaoh	фараон	pharaoh
pharaon	фараон	pharaoh
phay	фрезоване	mill
phe	фракция	faction
phen	фен	time
phil	фил	(proper noun) phil, a first name
philip	филип	philip
philippe	филип	philippe
philippines	филипини	(proper noun) philippines
phillip	филип	(proper noun) phillip
phillips	филипс	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	филм	phim
phin	филтър	coffee filter
phineas	финиъс	(proper noun) phineas
phiên	сесия	trial
phiêu	приключение	adventurous
phiếm	клюка	gossip
phiến	острие	"(should be ""nha phiến"") opium"
phiện	опиум	opium
phiệt	phiet	militarism
phnom	пном	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	тер	part of a person's name, rat-pho, or ratford
phoenix	феникс	(proper noun) phoenix
phong	стая	movement
php	php	php
phrygian	фригийски	phrygian
phu	фу	"(term should be ""phu nhân"") wife (n.)"
phui	непокрита	expose
phun	спрей	to spray or spit (v.)
phà	ферибот	ferry
phàm	смъртен	superhuman
phàn	оплакват	complain
phá	скъсване	destroy
phác	скица	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	ритъм	manner (n.)
phái	секта	a party
phán	съдия	judge
pháo	оръдие	artillery
pháp	франция	method
phát	излъчване	develop
phèn	стипца	alum
phèo	phèo	organs
phép	позволен	permit
phê	напушвам се	"(term should be ""phê bình"") to criticize (v.)"
phêrô	петър	peter
phì	разширен	non-
phình	изпъкналост	bulge
phí	зареждане	non-
phía	страна	side
phích	термос	a flask (n.)
phím	ключ	key
phò	фо	"(term should be ""phò mã"") a prince consort"
phòng	стая	office
phó	депутат	second
phóng	хвърлям	to launch (v.)
phô	град	display
phôi	зародиш	embryo
phông	шрифта	font
phùng	облаче	phung
phúc	благословен	good fortune (n.)
phúclộc	благословия	phuc-loc
phún	скитник	"(term should be ""lún phún"") sparse (adj.)"
phúng	жалко	satire
phút	минута	a minute (n.)
phăn	гриза	phan
phăng	фанг	knock
phương	phuong	direction
phước	благословия	luck
phường	опека	ward
phượng	феникс	phoenix
phạn	санскрит	sanskrit
phạt	наказвам	punish
phả	родословие	pedigree
phải	прав	must
phải 	прав	right
phản	брояч	reaction
phảng	апартамент	subtle
phần	част	part
phẩm	продукти	food
phẩy	запетая	a comma
phẫn	възмутен	wrathful
phẫu	хирургия	surgery
phận	съдба	part
phật	буда	buddhist
phẳng	самолет	flat (adj.)
phế	вторични суровини	dismiss
phết	разпространение	to spread or smear (v.)
phỉ	лешников	defame
phỏng	горя	interview
phố	град	city
phối	координата	coordinate
phốt	фосфат	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	напомпани	to swell (v.)
phổ	спектър	popular
phổi	бял дроб	lung
phộng	фъстъци	peanut
phới	поплавък	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	супа с юфка	pho
phục	облекло	convincing
phụng	служа	worship
phụt	облаче	minute
phủ	покрит	government
phức	комплекс	complex
picchu	пикчу	a name
piccolo	пиколо	piccolo
pierre	pierre	pierre
pierrot	пиеро	pierrot
pietro	пиетро	pietro
pike	щука	pike
pin	батерията	battery
pinlus	pinlus	pinlus
pioneer	пионер	pioneer
pipes	тръби	pipes
pisa	пиза	a name
piston	бутало	piston
pitch	игрище	pitch
pius	пий	pius
plaaf	китайските военновъздушни	plaaf
plan	план	plan
plasma	плазма	plasma
plate	плоча	plate
plato	платон	plato
platon	платон	platon
player	плейър	player
pleiku	плейку	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	плюс	plus
pluto	плутон	pluto
pm	ч	pm
pmu	зуп	pmu
po	po	po
pokémon	покемон	pokemon
pol	политическо	pol
poland	полша	poland
pollack	морска треска	a name
pollux	полукс	a name
polo	поло	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	поп	pop
portland	портланд	portland
porto	порто	porto
pot	гърне	pot
potsdam	потсдам	(proper noun) potsdam
potter	грънчар	(proper noun) potter, as in harry potter
pour	изливам	not vietnamese
powell	пауъл	(proper noun) powell, as in general colin powell
pradesh	прадеш	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	преа	(proper noun) preah
premier	премиер	premier
preminger	премингер	(proper noun) preminger
preston	престън	(proper noun) preston, as in john preston
prince	принц	prince
princeton	принстън	princeton
printemps	printemps	printemps
printf	формат	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	награда	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	прометей	(proper noun) prometheus
