$ tỉ	$ अरब	$ billion
miên	सम्मोहन	mien
miêu	mieu	"(term should be ""miêu tả"") to describe (v.)"
miến	सेंवई	burma
miếng	बिट	a piece (n.)
miếu	मंदिर	temple
miền	डोमेन	area
miễn	मुक्त	to exempt (v.)
miện	ताज	crown
miệng	मुंह	mouth
mm	मिमी	millimeter
mobile	मोबाइल	mobile
mode	मोड	mode
modul	मॉड्यूलर	module
modula	मॉड्यूलर	(proper noun) modula, as in modula-2
mohammad	मोहम्मद	mohammad
mohammed	मुहम्मद	mohammed
moi	moi	winkle
molecular	आणविक	molecular
molotov	molotov	molotov
molypden	मोलिब्डेनम	the element molybdenum (n.)
mongolia	मंगोलिया	mongolia
monique	मोनिक	(proper name) monique, a french first name
mono	मोनो	mono
monroe	मोनरो	monroe
mont	मोंट	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	मोंटाना	(proper noun) montana, as in the state
montenegro	मोंटेनेग्रो	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	मॉन्ट्रियल	(proper noun) montreal, quebec
moo	राँभना	(proper noun) moo, as in cha moo won
moong	गड्ढों	moong
mora	मोरा	mora
moravia	मोराविया	moravia
morgan	मॉर्गन	(proper noun) morgan
mori	मोरी	(proper noun) mori
moriarty	मोरियार्टी	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	मॉर्ले	morley
morocco	मोरक्को	morocco
morris	मोरिस	morris
morrison	मॉरिसन	(proper noun) morrison
morse	बकल	(proper noun) morse, as in morse code
moscow	मास्को	moscow
mosin	मोसिन	mosin
moskva	मास्को	moscow
motown	मोटाउन	motown
mourinho	मुरिन्हो	mourinho
movie	चलचित्र	movie
mozambique	मोजाम्बिक	(proper noun) mozambique
mozart	मोजार्ट	(proper noun) mozart, as in the composer
mp	mp	mp
ms	एमएस	metre per second
msdos	msdos	ms-dos
mtv	एमटीवी	mtv
mu	म्यू	pubis
mua	खरीद	buy
much	बहुत	much
muhammad	मुहम्मद	(proper noun) muhammad, as in muhammad ali
mumbai	मुंबई	mumbai
mun	मुन	a vietnamese name
munich	म्यूनिख	(proper noun) munich
murdoch	मर्डोक	murdoch
muromachi	मुरोमाची	(proper noun) muromachi
murphy	मर्फी	murphy
murray	मुरे	(proper noun) murray, as in dr. conrad murray
mustang	अमेरिका देश का जंगली घोड़ा	mustang, as in the f-51 mustang
muta	म्युटा	a name
muôn	सब	a large number; thousands (adj.)
muối	नमक	salt
muốn	करना चाहेंगे	want
muống	एक प्रकार का पौधा	"(term should be ""rau muống"") water spinach (n.)"
muồi	परिपक्वता	ripe
muỗi	मच्छर	mosquito
muỗng	चम्मच	spoon
muội	कालिख	confusion
muộn	देर से	late (adv.)
myanma	म्यांमार	the country of myanmar
myanmar	म्यांमार	(proper noun) myanmar
myspace	माइस्पेस	(proper noun) myspace
mà	लेकिन	also
mài	पिसाई	tomorrow
màn	स्क्रीन	curtain (n.)
mành	अंधा	a bamboo screen (n.)
mào	चढाई	a comb or crest, as in the body part of a bird
màu	रंग	color
mày	आप	sew
má	मां	cheek
mác	अंक	a name (marx)
mách	युक्तियाँ	tell
máclênin	maclenin	marxist-leninist
mái	छत	"entire term should be ""thoai mai""; means ""comfortable"""
mát	ठंडा	cool
máu	रक्त	blood
máy	मशीन	a machine (n.)
mâm	ट्रे	tray
mân	स्पष्ट अर्थ का	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	विरोधाभासों	contradiction
mây	धुंधला	cloud
mã	कोड	"(term should be ""la mã"") roman (adj.)"
mãi	सदैव	forever (adv.)
mãimại	maimai	commerce
mãn	शालीनता	satisfy
mãnh	मान्ह	intense
mão	ताज	cat
mè	तिल	sesame
mèo	बिल्लियों	cat (n.)
mé	धार	a border
méo	विकृति	alter
mép	धार	edge
mét	मीटर की दूरी पर	meter
mênh	विशालता	vast
mêtan	मीथेन	methane
mì	सिर	wheat
mình	उसकी	me
mía	बेंत	sugar cane (n.)
mò	जिज्ञासु	to grope (v.)
mòn	पहना हुआ	trail
móc	कांटा	"(term should be ""máy móc"") machinery (n.)"
món	थाली	dish
mô	ऊतक	mo
môi	ओंठ	lip
môn	विषयों	anus
mông	बट	mongolia
mônôxít	मोनोऑक्साइड	monoxide
môt	बेजोड़	"(term should be ""một"") one (n.)"
môtô	मोटरसाइकिल	motorcycle
mù	अंधा	mu
mùa	ऋतु	season
mùi	गंध	smell
múa	नृत्य	dance
mút	अनुभवहीन	to suck (v.)
münchen	म्यूनिख	(proper noun) munchen
măng	बाँस की गोली	bamboo shoot (n.)
mĩ	mi	america
mũ	टोपी	cap
mũi	नाक	nose
mơ	खुबानी	vague
mơn	मोन	caress
mưa	बारिश	rain
mưu	स्टाफ़	"(should be ""tham mưu"") advisors"
mươi	पचास	tens
mương	नाली	ditch
mướn	किराए	hire
mướt	रेशम की भांति मुलायम	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	उधार	borrow
mượt	चिकनी	glossy (adj.)
mạc	तंबू	"(should be ""mộc mạc"") simple or natural"
mạch	सर्किट	vessel
mại	व्यापार	commerce
mạn	रोमानी	romantic
mạnh	मज़बूत	strong
mạo	दिखावट	"(should be ""mạo hiểm"") to brave danger"
mạt	धैर्य	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	गंभीर	tomb or grave (n.)
mải	माई	absorbedly
mảng	प्लेट	genre
mảnh	टुकड़े	piece
mất	खोया	lose
mấu	लाइन	key
mấy	कुछ	any
mầm	रोगाणु	kindergarten
mầu	रहस्य	color
mẩu	टुकड़े	piece
mận	बेर	plum
mập	स्थूल	fat
mật	सुरक्षित	intimate
mậu	व्यापार	mau
mắc	भुगतना	get
mắm	मछली की चटनी	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	सौभाग्य से	"(term should be ""may mắn"") fortunate (adj.)"
mắng	डांटा	scold
mắt	आंख	eye
mặc	कपड़ा	wear
mặn	नमक	salt
mặt	चेहरा	face
mẹ	मां	mother (n.)
mẹo	युक्तियाँ	trick
mẻ	खरोंच	cool
mẽ	मज़बूत	strong
mến	प्रिय	to adore or like greatly (v.)
mề	कंठ	locket
mềm	मुलायम	soft
mệnh	सममूल्य	revolution
mệt	बीमार	tired
mỉ	विस्तृत	meticulous
mỉa	ताना	ironic
mỉm	मुस्कुरा	smile
mịch	मीच	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	चिकनी	smooth
mịt	गाढ़ा	dim
mọc	बढ़ने	to grow (v.)
mọi	सब	every
mọn	नाबालिग	lowly
mỏ	बिल	mine
mỏi	थकान	tired (adj.)
mỏng	पतला	thin
mốc	बासी	border
mối	दीमक	relationship
mốt	फ़ैशन	fashion or style (n.)
mồ	पसीना	"(term should be ""mồ hôi"") sweat (n.)"
mồi	शिकार	bait (n.)
mổ	सर्जरी	to dissect or perform surgery (v.)
mỗi	प्रत्येक	every
mộ	समाधि	admire
mộc	बढ़ईगीरी	simple
mộng	सपना	dream
một	एक	one
mới	नई	new (adj.)
mờ	अपारदर्शी	dim
mời	आमंत्रण	invite
mở	खुला	open
mỡ	ग्रीज़	fat or grease (n.)
mục	आइटम	purpose
mụn	मुँहासे	pimple
mức	स्तरों	level
mứt	जाम	preserve
mừng	स्वागत	to be happy
mửa	क़ै	to vomit (v.)
mực	स्याही	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	गेहूँ	noodles (n.)
mỹ	जुर्माना	america
mỹcông	mycong	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	नादाम	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	नगर	nagar, as in champa po nagar
nagasaki	नागासाकी	(proper noun) the city of nagasaki, japan
nagoya	नागोया	a name
nagumo	nagumo	nagumo
nai	मृग	a deer
nairobi	नैरोबी	nairobi, a city in kenya (n.)
nakajima	नाकाजिमा	a japanese name
nalbandian	नलबैंडियन	a name
nam	दक्षिण	male
nambắc	nambac	nambac
namibia	नामीबिया	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	नैंसी	nancy, as in nancy pelosi
nang	कूप	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	कुत्ते का	fang
nano	नैनो	nano
naomi	नाओमी	naomi, as in model naomi campbell
napoleon	नेपोलियन	(proper noun) napoleon
napoli	नपोली	(proper noun) napoli
napoléon	नेपोलियन	napoleon
nara	नारा	nara
nasa	नासा	(proper noun) nasa
nat	नेट	nat
nathan	नाथन	nathan
natri	सोडियम	sodium
nauru	नाउरू	a name
nava	नवा	nava
navarre	navarre	navarre
nay	वर्तमान	this (adj.)
needham	needham	needham
nelson	नेल्सन	(proper noun) nelson, as in nelson mandela
neo	लंगर	"(term should be ""mỏ neo"") an anchor (n.)"
neon	नीयन	neon
nepal	नेपाल	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	जाल	net
netbook	नेटबुक	netbook
netscape	नेटस्केप	netscape
networks	नेटवर्क	networks
neumann	न्यूमन	(proper noun) neumann
neutrino	न्युट्रीनो	neutrino
nevada	नेवादा	nevada
neverland	नेवरलैंड	neverland
newcastle	न्यूकासल	newcastle
newspaper	अख़बार	newspaper
newton	न्यूटन	newton
newtons	न्यूटन	(proper noun) newton's
next	अगला	next
nga	रूस	russia
ngai	सिंहासन	crown
ngang	आड़ा	horizontal
ngao	क्लैम	clam (n.)
ngay	अभी	even
nghe	सुनना	hear
nghinh	nghinh	welcome
nghiêm	गंभीरता से	serious
nghiêng	इच्छुक	inclined
nghiêu	ईएफए	nghiêu, a vietnamese name
nghiền	चक्की	crush
nghiễm	स्वचालित रूप से	serious
nghiệm	अनुभव	experiment
nghiện	व्यसन	addiction
nghiệp	उद्योग	karma/ sự nghiệp=career
nghiệt	कठोर	adverse
nghành	उद्योग	faculty
nghèo	दरिद्र	poor
nghé	नाघे	to glance out of the corner of one's eye (v.)
nghê	शेर	nghe khuong
nghênh	स्वागत	support
nghìn	हज़ार	thousand
nghĩ	सोच	think
nghĩa	अर्थ	meaning
nghẽn	भीड़	jam
nghếch	nghếch	stupid
nghề	कब्जे	career
nghệquận	nghequan	art district
nghỉ	छुट्टी	relaxation
nghị	सम्मेलन	think
ngo	मिठाइयां	ngo
ngoan	अच्छा लड़का	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	स्वादिष्ट	delicious
ngoài	बाहर	outside of
ngoại	विनिमय	external
ngoạn	लुभावनी	spectacular
ngoặc	कोष्टक	bracket
ngoặt	मोड़	landmark
ngu	मूर्खतापूर्ण	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	गुयेन	nguyen
nguyên	मूल	reason
nguyền	शाप	curse
nguyện	व्रत	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	तिमाही	moon
nguôi	शांतिदायक	fade away
nguồn	स्रोत	source
nguời	व्यक्ति	people
nguỵ	nguy	camouflage
ngà	हाथी दांत	russian
ngàn	हज़ार	thousand
ngàng	आने वाले	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	शाखा	sector
ngào	मीठा	sweet
ngày	दिन	day
ngách	गली	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	घबड़ाया हुआ	chinese ethnic group living in the vietnamese highlands near the china border
ngán	ऊब	to be tired of
ngáng	फैलानेवाला	stop
ngát	पुष्प प्रदर्शन	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	बैंकिंग	money
ngây	उदास से	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	धनिया	coriander
ngó	नज़र	to look (v.)
ngói	टाइल	tile or shingle
ngón	उंगली	a finger (n.)
ngót	संकोचन	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	प्रवचन	manifesto
ngông	हंस	eccentric
ngõ	लेन	lane
ngùi	कृपापूर्वक	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	कम्पार्टमेंट	prevent
ngũ	नींद	rank
ngơ	अंधा	ignored (adj.)
ngơi	व्यापार	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	मछुआरों	fishermen
ngưng	संघर्ष	stop
ngưu	बुल्स	buffalo
ngươi	तेरा	an ancient form of address equivalent to thou or thee (n.)
người	लोग	people
ngưỡng	द्वार	religious
ngược	उलटा	opposite
ngạc	सुख से	surprise
ngạch	कोटा	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	दाहिने किनारे	bank
ngạnh	कंटिया	self-willed
ngạo	अभिमानी	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asphyxiated	stuffy
ngấm	नमकीन पानी	draw
ngất	बेहोशी	unconscious
ngầm	अंतर्निहित	underground
ngần	संकोच	hesitate
ngẩn	मूर्खतापूर्ण	froze
ngẫm	ngam	think
ngẫu	बिना सोचे समझे	ngẫu nhiên= random
ngậm	हाइड्रेटेड	keep
ngập	बाढ़ आ गई	flood
ngắm	मनन	to contemplate or look admiringly at something (v.)
ngắn	कम	short
ngặt	कठोर	strict
ngọ	दोपहर	horse
ngọc	मणि	pearl
ngọn	चोटी	top
ngọt	मीठा	sweet (adj.)
ngồi	बैठ	sit
ngộ	इलाज	ngo
ngột	अप्रत्याशित रूप से	sudden
ngớ	मूर्खतापूर्ण	silly
ngời	चमकते हुए	bright
ngỡ	सोचा	surprised
ngợi	प्रशंसा	praise
ngợm	शरारती	naughty
ngục	नरक	dungeon
ngụm	घूंट	sip
ngụy	कठपुतली	puppet
ngủ	सोने के लिए	sleep
ngủi	रहते थे	"(should be ""ngắn ngủi"") short-lived"
ngứa	खुजली	itchy
ngừ	टूना	tuna
ngừa	निवारक	prevent
ngừng	संघर्ष	to cease (v.)
ngửa	सामना करो	supine
ngửi	गंध	to smell
ngữ	भाषा	term
ngự	आसीन	defend
ngựa	घोड़ा	horse
ngực	छाती	chest
nha	न्हा	dental
nhakẻ	nhake	nha-ke
nham	लावा	"(actual term is ""dung nham"") lava"
nhan	हकदार	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	धूप	incense
nhanh	उपवास	fast
nhat	nhat	nhat
nhen	संदीप्त	rekindle
nhi	बच्चे	junior
nhiên	कोर्स	tuy nhiên= however
nhiêu	बहुत	how many
nhiều	बहुत	numerous
nhiễm	संक्रमण	infect
nhiễu	हस्तक्षेप	noise
nhiệm	उत्तरदायित्व	task
nhiệt	गर्मी	heat
nhk	एनएचके	nhk
nhs	एन एच एस	nhs
nhu	जरूरत	demand
nhuận	लाभ	leap year
nhuệ	अभिजात वर्ग	elite
nhuộm	रंगाई	dye
nhàn	आराम से	leisure
nhàng	सज्जन	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	गूंध	to fall headlong
nhác	आलसी	coward
nhái	नक़ली	illegal copy
nhánh	शाखा	branch
nháp	ड्राफ्ट	draft
nháy	झपकी	to flash or blink (v.)
nhâm	घूंट	leap
nhã	सुंदर ढंग से	"(term should be ""thanh nhã"") elegant"
nhãn	लेबल	"(term should be ""gán nhãn"") to affix a label"
nhét	रखना	put
nhì	दूसरा	second (adj.)
nhìn	नज़र	to look (v.)
nhí	लड़कों	children
nhím	नटखट लड़का	porcupine
nhòm	दूरबीन	to peep (v.)
nhóc	बच्चा	brat
nhóm	समूह	group (n.)
nhô	आगे निकलना	emerge
nhôm	अल्युमीनियम	aluminum (n.)
nhúng	डुबकी	embed
nhút	संकोच	shy
nhăn	झुर्रियों	wrinkle
nhĩ	आलिंद	turkey
nhũ	इमल्शन	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	दूषण	bribery
nhơn	भलाई	nhon
như	जैसे कि	like
nhưng	लेकिन	but
nhương	निष्कासित	(proper noun) vietnamese first name
nhường	सौंप दिया	yield
nhưỡng	मिट्टी	soil
nhược	दुर्बलता	weak
nhượng	रियायतें	concession
nhạ	न्हा	nha
nhạc	संगीत	music
nhạn	स्वैलोज़	bird
nhạo	मज़ा	ridicule
nhạt	पीला	light
nhạy	संवेदनशीलता	sensitive
nhảy	नृत्य	jump
nhấc	उठा लिया	lift
nhấm	nham	rodent
nhấn	प्रेस	to press (v.)
nhất	सबसे ज्यादा	most
nhầm	उलझन में	misunderstand
nhầy	चिपचिपा	glutinous
nhẫn	के छल्ले	patient
nhậm	लेने	inaugurate
nhập	आयात	penetrate
nhậu	nhau	drink
nhậy	संवेदनशीलता	sensitive
nhắc	के लिए प्रेरित किया	to remind (v.)
nhắm	लक्ष्य	aim
nhắn	संदेश	message
nhằm	को	for the purpose of (adv.)
nhẵn	चिकनी	smooth
nhặt	उठा लिया	pickup
nhẹ	प्रकाश	light
nhẹn	गतिशीलता	nhanh nhẹn= fast/nimble
nhị	द्वितीय	sensitive
nhịn	उपवास	fasting
nhọ	nhớ	smear
nhọn	नुकीला	sharp (adj.)
nhỏ	छोटा	small
nhỏ|cây	छोटा | पेड़	small|tree
nhỏ|một	छोटा | एक	small | one
nhỏ|phải|	छोटा | सही |	small|right
nhỏ|phải|px|	छोटा | सही | px |	small | have | px |
nhỏ|phải|px|bức	छोटा | सही | px | pics	grape / fade / px / buc
nhỏ|phải|px|cây	छोटा | सही | px | पेड़ |	px spicy grape fade
nhỏ|phải|px|khu	छोटा | सही | px | क्षेत्र |	small|right|px|area
nhỏ|phải|px|michael	छोटा | सही | px | माइकल |	small|right|px|michael
nhỏ|phải|px|máy	छोटा | सही | px | मशीन |	small | right|px|machine
nhỏ|phải|px|một	छोटा | सही | px | एक |	small|right|px|one
nhỏ|phải|px|quân	छोटा | सही | px | बल |	small|right|px|army
nhỏ|px|	छोटा | px |	small
nhỏ|px|các	छोटा | px |	small
nhỏ|px|phải|kiến	छोटा | px | सही | चींटी |	small | px | right | patience
nhỏ|quân	छोटा | बल	small|army
nhỏ|trái|px|máy	छोटा | बायां | px | मशीन |	small|left|px|plane
nhỏ|tượng	छोटी मूर्तियाँ	small|statue
nhốt	बंद कर दिया	confine
nhồi	भरवां	cram
nhổ	साहस	uproot
nhộn	पॉप	busy
nhớ	याद करना	remember
nhớt	चिपचिपा	viscid
nhờ	धन्यवाद	by
nhờn	चिकनी	multiplication
nhở	सावधानियों	remind
nhụ	खासियत	nhu
nhục	अपमानित	shame
nhủ	जैसा	needs
nhức	दर्द	pain
nhứt	nhut	first (n.)
nhừ	जेली	tender
những		the
nhựa	प्लास्टिक	plastic
nhựt	रविवार	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	नी	nun
nia	एनआईए	a flat basket (n.)
nicaea	नाइसिया	nicaea
nicaragua	निकारागुआ	(proper noun) nicaragua
niccolò	निकोलो	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	निकोलस	(proper noun) nicolas, as in nicolas sarkozy
niels	नील्स	(proper noun) niels
nigeria	नाइजीरिया	nigeria
nikel	निकल	nickel
niken	निकल	nickel
nikita	निकिता	(proper noun) nikita, a first name
nikko	निक्को	(proper noun) nikko
nikolai	निकोलाई	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	शून्य	nile
nile	नील	(proper noun) the river nile
nimitz	निमित्ज	(proper noun) nimitz, as in the ship uss nimitz
nin	निन	nin
ninh	सुरक्षा	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	निप्पॉन	nippon
nitơ	नाइट्रोजन	nitrogen (n.)
nixon	निक्सन	(proper noun) nixon, as in former president richard nixon
niên	युवा	youth
niết	पासिंग	nirvana
niềm	दोषसिद्धि	trust
niệm	सालगिरह	concept
niệu	मूत्र	urinary
nj	न्यू जर्सी	nj
nlf	nlf	nlf
nm	एनएम	nano-meters
noah	नूह	(proper noun) noah
nobel	नोबेल	nobel
nobita	nobita	nobita
noel	नोएल	(proper noun) noel
noi	नोई	imitate
nokia	नोकिया	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	युवा	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	नोर्मा	(proper noun) norma, a female first name
norman	नॉर्मन	norman
normandie	नोर्मंडी	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	नॉर्टन	norton
norway	नॉर्वे	norway
nou	nou	nou
novak	नोवाक	novak
now	अब	now
nowc	nowc	nowc
noãn	बीजाणु	ovule
nsnd	पीपुल्स कलाकार	people's artist
nst	nst	chromosome
nubia	नूबिया	nubia
number	संख्या	number
nupedia	न्यूपीडिया	a name
nusa	नुसा	nusa
nuôi	चारा	feed
nuối	nuối	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	निगल	to swallow (v.)
nuớc	पानी	water
nxb	प्रकाशक	publisher
nynorsk	नाइनोर्स्क	nynorsk
nà	nà	na
nài	जोर देते हैं	pleading
nàn	शिकायत	poor
nành	सोया	soy
nào	चलो	would
này	यह	this
ná	गुलेल	a crossbow (n.)
nách	कांख	underarm (n.)
náo	कोलाहल	riot
nát	कुचल	ruin
náu	आश्रय	hide
nâng	उत्तोलक	raise
nâu	भूरा	brown
nã	चाहता था	to track down (v.)
não	मस्तिष्क	brain
né	बचना	dodge
ném	फेंक	to throw (v.)
nén	संकुचित	compress
nét	स्ट्रोक	feature
nê	गिन्नी	ne
nên	चाहिए	should or ought to
nêu	कहा गया है	mention
nòi	दौड़	race
nòng	बैरल	barrel
nói	कहते हैं	to say or speak (v.)
nón	टोपी	cone
nóng	गरम	hot
nô	दासत्व	slave
nôbita	nobita	nobita
nôi	पालना	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	उल्टी	vomit
nông	उथला	farmer
nõn	खुली	peeled
nùng	nung	nung
núm	दस्ता	nipple
núp	पृथ्वी	hide
nút	गांठ	button
năm	साल	year
năn	पछतावा	"(term should be ""ăn năn"") remorse (n.)"
năng	शक्ति	"(term should be ""khả năng"") ability (n.)"
nơi	जगह	a place
nơtrino	न्युट्रीनो	neutrino
nước	देश	country
nước 	देश	water
nướng	ग्रिल	grill
nǎm	nǎm	year
nạ	मास्क	mask
nạc	दुबला	lean (adj.)
nại	शिकायतों	complain
nạn	पीड़ितों	a disaster (n.)
nạo	curette	to scrape (v.)
nạp	लोड	tribute
nản	हतोत्साहित	depressed
nảy	उछाल वाली	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	पायदान	a hiccup (n.)
nấp	छिपने	hide
nấu	पकाना	cook
nấy	अस्वीकार	this
nần	ऋण	debt
nầy	यह	this
nẩy	उछाल वाली	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n सूरज	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	वियतनाम	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	सबसे व्यस्त	busy
nắm	पकड़	to grasp or hold (v.)
nắng	धूप	sunlight
nắp	ढक्कन	a lid or cover (n.)
nằm	स्थित	to lie (v.)
nẵng	नांग	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	गुमनामी	heavy
nặn	मोडलिंग	mould
nặng	भारी	heavy
nẻo	नियति	turn
nếm	स्वाद	taste
nến	मोमबत्ती	candle
nếp	शिकन	sticky rice (n.)
nếu	अगर	if (adv.)
nề	चिनाई	severe
nể	सम्मानित	respect
nện	तेज़	ram
nỉ	अनुभूत	beg
nịnh	चापलूसी	flatter
nọ	दूसरा	the other
nọc	पाबाँसा	tadpole
nỏ	धनुष	a crossbow (n.)
nối	लिंक	connection
nốt	नोट	to finish off (v.)
nồi	पॉट	pot
nồm	मानसून	humid (adj.)
nồng	एकाग्रता	heavy
nổ	विस्फोटक	explode
nổi	अच्छी तरह से	nổi tiếng= famous
nỗ	प्रयासों	affort
nỗi	कि	state
nộ	कोप	anger
nội	आंतरिक	on the paternal side (adj.)
nộn	टोपी	non
nộp	प्रस्तुत	submit
nới	ढीला हो गया	ease
nở	प्रस्फुटन	bloom
nỡ	करने के लिए दिल	do you have a heart to
nợ	देना है	debt
nụy	नंगा	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	काग	a kind of bamboo (n.)
nứt	फटकारा	to crack
nửa	आधा	haft
nữa	एक और	moreover
oahu	oahu	(proper noun) oahu
oai	भय	heroic
oakland	ओकलैंड	oakland
oan	oan	injustice
oanh	oanh	(with word liet) glorious
obama	ओबामा	obama
oblast	ओब्लास्ट	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	अक्टूबर	(proper noun) october
oda	oda	oda
oder	ओडर	oder
odyssey	ओडिसी	odyssey, as in the odyssey, homer's epic
oecd	ओईसीडी	oecd
officer	अफ़सर	officer
officers	अधिकारियों	officers
ohkawa	ohkawa	ohkawa
okhotsk	ओखोट्सक	okhotsk
oliver	ओलिवर	oliver
olivier	ओलिवियर	olivier
olympus	ओलिंप	olympus
om	ब्रेज़्ड	to simmer
omar	उमर	a name
ong	ओंग	bee
ontario	ओंटारियो	ontario
oort	ऊर्ट	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	अरगनिस्ट	organ
oricon	oricon	oricon
origin	मूल	origin
orion	ओरियन	(proper noun) orion, the hunter
orleans	ऑरलियन्स	(proper noun) orleans, as in new orleans
orochimaru	ओरोचिमारू	orochimaru
orton	orton	orton
os	ओएस	os
osaka	ओसाका	(proper noun) osaka, a city in japan
osama	ओसामा	(proper noun) osama, as in osama bin laden
osamu	ओसामू	(proper noun) osamu, a japanese first name
oscar	ऑस्कर	oscar
osiris	ओसीरसि	(proper noun) osiris, as in the egyptian god
oskar	ऑस्कर	a name
oslo	ओस्लो	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ओसेशिया	(proper noun) ossetia
oswald	ओसवाल्ड	oswald
other	अन्य	other
otto	ओटो	(proper noun) otto, as in otto von bismarck
ottoman	तुर्क	(proper noun) ottoman, as in the ottoman empire
outstanding	बकाया	xuat sac
owen	ओवेन	(proper noun) owen, as in michael owen
oxford	ऑक्सफ़ोर्ड	oxford
oxy	ऑक्सीजन	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	नाराज़गी	"(term should be ""oán than"") to complain or whine"
oát	वाट	a watt (n.)
oản	बसने में	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	पेजेट	(proper noun) paget
pailin	पैलिन	pailin
pakistan	पाकिस्तान	(proper noun) the country of pakistan
palais	पेले	palais, as in grand palais
palawan	पालावान	palawan
palenque	palenque	(proper noun) palenque
palestine	फिलिस्तीन	a name
palgrave	पालग्रेव	palgrave
pali	पाली	a name
pamir	पामीर	pamir
pan	कड़ाही	pan, as in peter pan
panama	पनामा	panama
panamax	पेनामेक्स	(proper noun) panamax
panduranga	पांडुरंग	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	पाओलो	paolo
paperback	किताबचा	paperback
papua	पापुआ	papua
paraguay	परागुआ	(proper noun) paraguay
pari	pari	pari
park	पार्क	park
parton	पार्टन	parton
patel	पटेल	(proper noun) patel
patrick	पैट्रिक	patrick
patriot	देश-भक्त	patriot
paul	पॉल	paul
paula	पॉला	paula
paulo	पाउलो	(proper noun) paulo
pavia	pavia	pavia
pbs	पीबीएस	pbs
pda	पीडीए	pda
pdf	पीडीएफ	pdf
pedro	पेड्रो	pedro
peers	साथियों	peers
pele	पेले	(proper noun) pele, as in the soccer player
penang	पेनांग	penang
penh	पेन्ह	(proper noun) penh, as in phnom penh
pennsylvania	पेंसिल्वेनिया	pennsylvania
penny	पैसे	(proper noun) penny, an english first name
pereira	परेरा	pereira
perl	पर्ल	(proper noun) perl
pero	पेरो	pero
perry	नाशपाती की मदिरा	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	पर्शिंग	pershing
persian	फ़ारसी	persian
peru	पेरू	peru, as in the south american country
