$	ps	dollars
отрицателни	negativo	negative
отрицателно	negativo	negatively
отрича	niega	denies
отрова	veneno	poison
отровата	el veneno	poison
отровни	venenoso	poisonous
отряд	desapego	detachment
отряди	destacamentos	squads
отслабва	debilita	weakens
отстранен	remoto	removed
отстрани	oblicuo	remove
отстранява	elimina	expelled
отстраняване	eliminación	removal
отстраняването	eliminación	remuval
отстъпва	da paso	retreats
отстъпват	ceder el paso	retreat
отстъпят	ceder el paso	yield
отсъствие	ausencia	absence
отсъствието	la ausencia	absence
оттам	desde allí	from there
оттегля	se retira	withdraws
оттеглянето	retirada	withdrawal
оттеглят	retirar	withdraw
оттенък	matiz	touch
оттогава	desde entonces	since then
отток	salida	flow
оттук	de aquí	hence
отхвърля	rechaza	rejected
отхвърлят	rechazar	reject
отчасти	en parte	partly
отчита	informes	report
отчитане	informes	reading
оу	uned	primary school
оуен	owen	owen
офанзива	ofensiva	offensive
офицер	oficial	officer
офицери	oficiales	officers
официален	oficial	oficial
официална	oficial	official
официалната	el oficial	the official
официални	oficial	official
официалните	el oficial	official
официалният	el oficial	oficial
официално	oficialmente	official
официалното	el oficial	official
оформени	conformado	formed
оформя	formas	formed
оформянето	formación	forming
оформят	formar	shape
охрана	seguridad	security
охрид	ohrid	ohrid
охридски	ohrid	ohrid
охридското	ohrid	ohrid
оцелели	sobrevivió	survivors
оцелелите	los supervivientes	survivors
оцелеят	sobrevivir	survive
оценка	evaluación	assessment
оценки	evaluaciones	estimates
оценява	evalúa	estimated
оценяват	apreciar	evaluated
очаква	espera	expected
очакват	esperar	expected
очевидно	obviamente	apparently
очертава	contornos	outlines
очи	ojos	eyes
очите	ojos	eyes
очната	ocular	eye
още	más	more
п	norte	p. (initial)
пабло	pablo	pablo (name)
павел	pablo	pavel
павлов	pablo	pavlov
павлович	pavlovich	pavlovich (last name)
пада	caídas	falls
падане	otoño	fall
падането	la caída	fall
падат	otoño	fall
падеж	madurez	case
падина	hueco	trench
пазар	mercado	market
пазара	mercado	market
пазарджик	mercado	pazardzhik
пазари	mercados	markets
пазарна	mercado	market
пази	cuidado	protect
пазят	mantener	watch
паисий	paisii	paisii
пайнер	pagador	payner
пак	de nuevo	again
пакистан	pakistán	pakistan
палата	cámara	chamber
палестина	palestina	palestine
палилалия	palilalia	palilaliya
памет	memoria	memory
паметна	memorable	memorable
паметник	monumento	monument
паметника	monumento	monument
паметникът	el monumento	monument
паметници	monumentos	monument
паметта	memoria	memory
памук	algodón	cotton
панагюрище	panagyurishte	panagyurishte
панаир	justa	fair
панайот	panayot	panayot
панама	panamá	panama
панония	panonia	pannonia
панорама	panorama	panoramic
папа	papá	the pope
папата	papá	pope
пара	vapor	steam
парагвай	paraguay	paraguay
параклис	capilla	chapel
параклиса	capilla	tabernacle
паралел	paralela	degree of latitude
паралелно	en paralelo	in parallel
параметри	parámetros	parameters
параскева	paraskeva	paraskeva
пари	dinero	money
париж	parís	paris
парижката	el parisino	paris
парис	parís	paris
парите	el dinero	the money
парична	efectivo	monetary
парични	efectivo	money
парк	parque	park
парка	parque	park
паркове	parques	parks
паркът	el parque	park
парламент	parlamento	parliament
парламента	parlamento	parliament
парламентарна	parlamentario	parliamentary
парламентарни	parlamentario	parliamentary
парламентарните	parlamentario	parliamentary
парламентът	el parlamento	parliament
партии	partido	parties
партия	partido	party
партията	la fiesta	party
партньор	compañero	partner
партньори	socios	partners
парче	trozo	piece
парчета	piezas	pieces
пас	pasar	pass
паси	pasar	feed
пасища	pastos	pastures
паскал	pascal	pascal
патагония	patagonia	petagoniya
патриарх	patriarca	patriarch
патриаршия	patriarcado	patriarchate
патрокъл	patrulla	patroclus
паул	pablo	paul
пауло	paulo	paulo
пациента	paciente	patient
пациенти	pacientes	patients
пациентите	pacientes	patients
пачино	pachino	pachino (name)
паша	pastar	pasha
певец	cantante	singer
певица	cantante	singer
певицата	el cantante	singer
певци	cantantes	singers
педагогика	pedagogía	pedagogy
пее	canta	sings
пеене	canto	singing
пейзаж	paisaje	landscape
пейо	peyo	peyo
пекин	beijing	beijing
пелей	pelej	pelei (name)
пелин	ajenjo	pelin
пенев	penev	sample
пенис	pene	penis
пениса	pene	penis
пенчо	pencho	pencho
пепел	despojos mortales	ash
перверзия	perversión	perversion
период	período	period
периода	período	periods
периоди	períodos	periods
периодичната	periódico	periodic
периодично	periódicamente	periodically
периодът	el período	the period
периферията	la periferia	periphery
перон	plataforma	peron
перперикон	perperikon	perperikon
персийска	persa	persian
персийската	el persa	persian
персийски	persa	persian
персийския	el persa	persian
персийският	el persa	persian
персите	los persas	persians
персия	persia	persia
персонал	personal	staff
перу	perú	peru
песен	canción	song
песента	la canción	song
песни	canciones	songs
песните	las canciones	the songs
пет	cinco	five
пета	quinto	fifth
петата	tacón	fifth
петербург	petersburgo	petersburg
пети	quinto	fifth
петка	viernes	petka
петко	viernes	petko
петков	viernes	petkov
петна	lugares	spots
петно	manchar	stain
пето	quinto	fifth
петрич	petrich	petrich
петров	petrov	petrov
петрол	gasolina	oil
петте	el cinco	the five
петък	viernes	friday
петър	peter	peter
пехота	infantería	marine, infantry
пехотна	infantería	infantry
печат	sello	print
печата	sello	print
печатни	impreso	print
печели	gana	wins
печелят	ellos ganan	win
пешев	a pie	peshev
пещера	cueva	cave
пещерата	la cueva	cave
пещери	cuevas	caves
пещерите	las cuevas	caves
пеят	ellos cantan	sing
пи	pi	p
пиано	piano	piano
пидна	pidna	pindus
пие	bebidas	drink
пиене	bebiendo	drinking
пиенето	bebiendo	drinking
пиесата	el juego	play
пиеси	obras de teatro	plays
пикасо	picasso	picasso
пикочопровод	uréter	ureter
пионер	pionero	pioneer
пирамида	pirámide	pyramid
пирамидата	la pirámide	pyramid
пирамиди	pirámides	pyramids
пирати	piratas	pirates
пиренови	pireno	heather flowers
пирин	pirina	pirin
писане	escritura	wrote
писането	escritura	write
писани	escrito	written
писание	sagrada escritura	scripture
писанието	la escritura	writing, scripture
писател	escritor	writer / author
писатели	escritores	writers
писателя	escritor	writer
писателят	el escritor	the writer
писма	letras	letters
писмен	escrito	written
писмени	escrito	written
писмено	escrito	written
писменост	escritura	literacy
писмо	letra	letter
писмото	la carta	letter
писта	pista	track
пит	pozo	pit
питър	peter	peter
пишат	escriben	write
пише	escribir	write
пият	beber	дринк
пл	pl	square
плаване	navegación	navigation
плаж	playa	beach
плазма	plasma	plasma
пламен	fuego	plamen
план	plan	aspect; plan
плана	plan	plan
планета	planeta	planet
планетата	el planeta	planet
планети	planetas	planets
планетите	los planetas	planets
планина	montaña	mountain
планината	la montaña	mountain
планини	montañas	mountains
планините	las montañas	mountains
планинска	montaña	mountain
планинската	la montaña	mountain
планински	montañoso	mountain
планинските	montaña	mountain
планира	planes	plans
планиране	planificación	planning
планова	planificado	planning
планове	planes	plans
плановете	planes	plans
планът	el plan	plan
пласт	capa	layer
пластове	capas	layers
плата	salario	plateaus
плато	meseta	plateau
платон	platón	plato
платото	la meseta	plateau
платформа	plataforma	a platform
плевел	malas hierbas	weeds
плевен	granero	tribe
плевенска	pleven	pleven (region)
племе	tribu	tribe
племена	tribus	tribes
племената	tribus	tribes
племето	la tribu	tribe
плен	cautiverio	captivity
пленен	capturado	captive
плеяда	la galaxia	pleiades
плиска	chapoteo	pliska
пловдив	plovdiv	plovdiv
пловдивска	plovdiv	plovdiv
пловдивски	plovdiv	plovdiv
плод	fruta	product
плода	feto	fruit
плодове	frutas	fruit
плодовете	las frutas	fruits
плодородие	fertilidad	fertility
плодородието	fertilidad	fertility
плодородна	fértil	fertile
плодородни	fértil	fertile
плоски	plano	flat
плоча	plato	plate
плочи	platos	plates
площ	zona	area
площад	cuadrado	square
площада	cuadrado	square
площи	áreas	spaces
плуване	nadando	swimming
плувен	nadando	swimming
плутарх	plutarco	plutarch
плутон	plutón	pluto
плътен	denso	thick
плътно	herméticamente	canvas
плътност	densidad	density
плътността	densidad	density
плюс	más	plus
плячка	botín	loot
плячката	el botín	prey
по	en	on
победа	victoria	victory
победата	victoria	the victory
победен	derrotado	defeated
победени	derrotado	defeated
победи	gana	win
победите	ganar	beat
победител	ganador	winner
победителите	los ganadores	winners
побеждава	gana	wins
побеждават	ellos ganan	win
поблизко	cerca	closer
поблизо	cerca	closer
побратимен	hermanado	twinned
побратимени	hermanado	twin
побързо	más rápido	faster
поважни	importante	more important
поважните	respetable	more important
поведение	comportamiento	behavior
поведението	comportamiento	behaviour
повежда	guías	leads
повече	más	more
повечето	más	most
повисок	incrementar	higher
повисока	mayor	higher
повисоки	mayor	taller
повисоките	los superiores	taller
повисоко	mayor	higher
повишава	aumenta	increases
повишаване	incrementar	increasing
повишена	aumentado	increased
повлиян	influenciado	favorable
повлияна	influenciado	influenced
повлияни	afectado	influenced
повод	ocasión	occasion
повторно	de nuevo	for a second time
повърхност	superficie	surface
повърхността	la superficie	surface
поглед	mira	appearance
погледа	mira	look
погледнато	visto	speaking
поглъща	golondrinas	absorbs
поголеми	más grande	larger
поголемите	los mas grandes	larger
поголям	más grande	larger
поголяма	mas grande	larger
поголямата	el más grande	biggest
поголямо	afeitemos	a great
погоре	encima	above
погребан	enterrado	buried
погребани	enterrado	buried
погребение	entierro	funeral
погребението	el funeral	funeral
погрешно	incorrecto	wrongly
под	debajo	under
подава	envía	podava
подаване	sumisión	passing
подаръци	regalos	presents
подвидове	subespecie	subspecies
подвижни	móvil	mobile
подготвя	prepara	prepare
подготвят	preparar	prepare
подготовка	preparación	preparation
подготовката	preparación	preparation
поддръжка	apoyo	support
поддръжката	mantenimiento	maintenance
поддържа	apoya	sustains
поддържане	mantenimiento	maintaining
поддържането	mantenimiento	support
поддържат	apoyo	support
поделена	dividido	divided
поделя	comparte	divided
подем	subir	rise
подземен	subterráneo	underground
подземни	subterráneo	underground
подземните	subterráneo	the undeground
подкрепа	apoyo	support
подкрепата	apoyo	support
подкрепления	refuerzos	reinforcements
подкрепя	apoya	support
подкрепят	apoyo	support
подлага	tema	decides
подлежат	sujeto a	subject to
подложен	sometido	subjected
подложени	sometido	subjected
подножие	pie	foot
подножието	el pie	foot
подобен	similar	similar
подобие	semejanza	analogy
подобна	similar	similar
подобни	similar	similar
подобно	similar	such
подобра	mejor	better
подобре	mejor	better
подобрения	mejoras	improvements
подобри	mejorar	better
подобрява	mejora	improves
подобряване	mejora	improving
подобър	mejor	better
подолу	dobladillo	below
подписан	firmado	signed
подписва	señales	signs
подписването	el canto	signing
подпомага	ayuda	supports
подпомагат	ayuda	support
подправки	especias	spices
подразделения	unidades	subdivisions
подредени	arreglado	alined
подробно	en detalle	in detail
подробности	detalles	details
подтиква	urge	encourage
подход	acercarse	march
подходящ	adecuado	appropriate
подходяща	adecuado	appropriate
подходящи	adecuado	appropriate
подходящо	apropiado	appropriately
подчертава	enfatiza	stresses
подчинени	subordinados	subordinate
подчинява	obedece	subjected
подълго	por mucho tiempo	longer
поезия	poesía	poetry
поезията	poesía	poetry
поема	poema	poem
поемат	tomar el control	take
поемата	el poema	poem
поеме	se hará cargo de	take
поеми	poemas	poems
поет	canta	poet
поета	el poeta	poet
поети	poetas	poets
поетите	poetas	poets
поетът	el poeta	poet
пожар	fuego	fire
позволи	permitir	afford
позволява	permite	allows
позволяват	permitir	allow
позиции	posiciones	positions
позициите	posiciones	positions
позиция	posición	position
позицията	posición	position
познава	sabe	know
познание	conocimiento	knowlege
познанието	conocimiento	knowledge
познания	conocimiento	knowlege
познат	familiar	known
позната	conocido	known
познати	familiar	known
познато	familiar	known
поизвестен	más famoso	better known
покаже	mostrará	show
показател	indicador	indicator
показатели	indicadores	indicators
показва	muestra	shows
показват	espectáculo	show
поканен	invitado	invited
покачване	subir	increase
поклонение	adoración	pilgimage
поколение	generacion	generation
поколения	generaciones	generations
покрай	a lo largo	along
покрайнини	afueras	the outskirts
покрива	cubre	cover
покриват	cubrir	cover
покривка	manteles	cover
покрит	cubierto	covered
покрита	cubierto	covered
покрити	cubrir	covered
покритие	cobertura	cover
покровител	patrón	patron
покръстването	bautismo	conversion
покъсен	tarde	later
покъсни	tarde	later
покъсните	los tardíos	later
покъсно	luego	later
пол	sexo	gender
пола	género	skirt
полага	pone	makes
полагат	poner	make
поле	campo	field
полезна	útil	useful
полезни	útil	useful
полесно	útil	easier
полет	vuelo	flight
полета	campos	fields
полети	vuelos	flights
полето	el campo	field
полза	ventaja	favor
ползва	usos	used
ползват	disfrutar	use
полизахарид	polisacárido	polihazard
политик	político	politician
политика	política	policy
политиката	política	policy
политици	políticos	politicians
политическа	político	political
политическата	político	politics
политически	políticamente	political
политическите	político	political
политическия	lo político	political
политическо	político	political
политическото	lo político	political
полицейски	policía	police
полиция	policía	police
полицията	la policía	the police
полк	regimiento	regiment
полковник	coronel	colonel
полов	sexo	sexual
полова	sexo	sexual
половата	sexual	gender
полови	sexual	genitals
половин	mitades	half
половина	medio	half
половината	medio	the half
половите	los sexos	genitals
половия	sexual	sexual
полово	sexualmente	sexual
положение	posición	position
положението	la situación	situation
положителен	positivo	positive
положителни	positivo	positive
положително	positivo	positively
полска	polaco	polish
полски	polaco	polish
полукълбо	hemisferio	hemisphere
полумрак	crepúsculo	dawn
полуостров	península	peninsula
полуострова	península	peninsula
полуразпад	media vida	half-life
получава	recibe	receives
получаване	recepción	obtaining
получават	recibir	make
получат	recibirá	receive
получен	recibido	obtained
получени	recibido	obtained
получи	obtener	received
получил	recibido	received
получила	recibido	received
получили	entendiste	received
полша	polonia	poland
полюс	polo	pole
полюсите	los polos	poles
поляна	prado	meadow
полярните	polar	polar
поляци	postes	polish men/ poles
помага	ayuda	helps
помагат	ayuda	help
помалка	menos	lesser
помалки	poco a poco	little
помалко	menos	less
помалък	menor	lower
помаци	pomaks	pomaks
помаците	los pomaks	muslims
помежду	entre	between
помело	pomelo	pomelo fruit
помещава	casas	housed
помещение	habitación	room
помещения	local	premises
помогне	ayuda	help
поморие	pomorie	pomorie
помощ	ayuda	help
помощник	asistente	assistant
помощта	ayuda	help
помпей	pompeyo	pompeii
понастоящем	en el presente	currently
понататък	más lejos	further
поне	al menos	at least
понеделник	lunes	monday
понеже	porque	because
пониска	inferior	lower
пониски	inferior	lower
пониските	los inferiores	shorter
пониско	inferior	lower
понякога	algunas veces	sometimes
понятие	concepto	concept
понятието	el concepto	concept
понятия	conceptos	concepts
поп	popular	priest
попада	caídas	fell
попадат	otoño	fall into
попаднал	golpear	failed
попов	popov	popov
популации	población	populations
популация	población	population
популацията	la población	population
популярен	popular	popular
популярна	popular	popular
популярни	popular	popular
популярните	popular	popular
популярно	popular	popular
популярност	popularidad	popularity
популярността	popularidad	popularity
попфолк	pop-folk	pop-folk
поради	debido	because
поражда	genera	breed
пораждат	dar lugar a	rise
поражение	derrota	defeat
поражението	derrota	the defeat
поражения	lesiones	damage
порано	temprano	earlier
пореден	consecutivo	serial
поредица	serie	series
поредицата	las series	series
поредни	consecutivo	consecutive
поредния	el siguiente	consecutive
поречието	el valle	along
порода	raza	breed
породата	la raza	breed
породени	generado	started
породи	raza	breeds
порт	puerto	port
порта	puerto	gate
портал	portal	portal
портата	la puerta	gate
портите	las puertas	gates
портрет	retrato	portrait
португалия	portugal	portugal
португалски	portugal	portuguese
португалския	portugués	portuguese
португалците	el portugués	portuguese
порядко	ordenado	less
порядъка	orden	range
посветена	dedicado	dedicated
посветени	dedicado	dedicated
посейдон	poseidón	poseidon
посетители	los visitantes	visitors
посетителите	los visitantes	visitors
посещава	visitas	visited
посещават	visitar	visit
посещение	visitar	visit
посещението	la visita	visit
посещения	visitas	visits
посилно	más fuerte	stronger
поскоро	más bien	rather; more
послабо	más débil	weaker
послание	mensaje	message
посланик	embajador	ambassador
посланици	embajadores	ambassadors
после	después	then
последва	seguido	follow
последвалата	seguido	following
последвалите	el seguimiento	subsequent
последван	seguido	followed
последен	último	last
последици	consecuencias	consequences
последиците	las consecuencias	consequences
последна	último	last
последната	el último	last
последни	último	last
последните	el último	last
последния	el último	last
последният	el último	the last
последно	último	recently
последното	el último	last
последователи	seguidores	following
последователите	seguidores	followers
последователни	consistente	consecutive
последователно	consecuentemente	successively
последователност	secuencia	sequence
последствие	consecuencia	consequence
последствия	consecuencias	consequences
последствията	las consecuencias	consequences
посока	dirección	direction
посоката	la dirección	direction
посоки	direcciones	directions
посочва	señala	states
посочват	indicar	indicate
поспециално	especialmente	in particular
посредством	mediante	by
посреща	da la bienvenida	meet
посрещането	la bienvenida	meet
посрещнат	bienvenido	welcomed
пост	enviar	fasting
поста	enviar	position
поставен	metido	placed
поставена	metido	placed
поставени	metido	located
поставено	metido	placed
поставил	poner	put
поставя	sitio	establishes
поставянето	colocación	placing
поставят	poner	place
постарите	los ancianos	old
постепенно	gradualmente	gradually
постепенното	gradualmente	gradual
постига	logra	achieve
постигане	logro	achievement
постигането	logro	achieving
постигат	lograr	achieve
постигнат	logrado	reached
постигне	lograr	to achieve
постижение	logro	achievement
постижения	logros	achievements
постове	publicaciones	positions
постоянен	permanente	permanent
постоянна	constante	permanent
постоянни	permanente	permanent
постоянните	permanente	permanent
постоянно	siempre	permanently
построен	construido	build
построена	construido	lined
построени	construido	built
постройка	construcción	building
постройки	edificios	buildings
построява	construye	built
построяване	construcción	contruction
построяването	la construcción	construction
построяват	construir	built
постъпва	entra	enters
потвърдени	confirmado	confirmed
потвърдено	confirmado	confirmed
потвърждава	confirma	confirmed
потенциал	potencial	potential
поток	fluir	flow
потомци	descendientes	descendants
потоци	fluye	flows
поточно	actual	streaming
потребител	usuario	user
потребители	los usuarios	users
потребителите	los consumidores	consumer
потребителя	consumidor	user
потребителят	el consumidor	user
потушаване	extinguir	surpression
потър	alfarero	potter
поход	caminata	march
похода	caminata	march
походи	caminatas	quests
почва	suelo	soil
почвата	la tierra	soil
почви	suelo	soils
почвите	suelos	soil
почести	honores	honors
почесто	más a menudo	more often
почетен	honorario	honorable
почива	descansa	rests
почивка	descanso	rest
починал	murió	deceased
починали	murió	dead
почит	el respeto	respect
почита	honores	honors
почитатели	aficionados	fans
почти	casi	almost
поширок	amplio	wider
поща	correo	mail
пощенски	postal	post
поява	apariencia	appearance
появата	la apariencia	appearance
появи	apareció	appear
появили	apareció	appeared
появява	aparece	appears
появяват	aparecer	appear
пояс	cinturón	zone
пояса	cinturón	belt
пояси	cinturones	belts
пр	etc.	etc
прабългари	proto-búlgaros	proto-bulgarians
прабългарите	los proto-búlgaros	proto-bulgarians
прав	derecha	right
права	derechos	rights
правата	derechos	rights
правели	hizo	did
правени	hecho	made
прави	derecha	do
правила	reglas	rules
правилата	las normas	rules
правилна	correcto	correct
правилно	correcto	right
правилното	lo que es correcto	correct
правило	regla	rule
правилото	la regla	rule
правителства	gobiernos	governments
правителствата	gobiernos	governments
правителствени	gobierno	government
правителствените	gobierno	government
правителство	gobierno	government
правителството	el gobierno	the government
правна	legal	legal
правни	legal	legal
право	derecha	right
правомощия	potestades	terms of refrence
правопис	ortografía	spelling
православен	ortodoxo	ortodox
православие	ortodoxia	orthodoxy
православието	ortodoxia	the orthodoxy
православна	ortodoxo	ortodox
православната	los ortodoxos	orthodox
православни	ortodoxo	orthodox
православните	los ortodoxos	orthodox
православно	ortodoxo	orthodox
православното	los ortodoxos	оrthodox
правото	la derecha	the right
правоъгълен	rectangular	rectangular
правоъгълник	rectángulo	rectangle
правят	ellas hacen	do
прага	sed	threshold
празник	fiesta	holyday
празника	las vacaciones	feast
празникът	las vacaciones	feast
празници	días festivos	holidays
празниците	las vacaciones	the holidays
празнува	celebra	celebrated
празнуват	celebrar	celebrate
практика	práctica	practice
практиката	práctica	the practice
практики	practicas	practices
практикува	practicas	practice
практикуват	práctica	practice
практически	prácticamente	practical
пратеници	enviados	envoys
прах	polvo	dust
преброяване	contando	count
преброяването	el censo	census
преведени	traducido	translated
превежда	traduce	translate
превзема	se hace cargo	captures
превземане	conquista	taking over
превземането	la conquista	capture
превземат	tomar el control	capture
превзет	tomado	pretentious
превзета	conquistada	taken
превод	traducción	translation
преводи	traducciones	translations
превоз	transporte	transport
превози	transporte	transports
преврат	golpe	coup
превръща	vueltas	becomes
превръщането	la transformación	turning
превръщат	convertir	turn
превъзходство	superioridad	superiority
превърнал	convertido	become
превърнала	convertido	turn into
превърнали	convertido	turned into / became
превърнат	convertido	become
превърната	convertido	converted
превърне	giro	become
преглед	revisión	review
преговори	negociaciones	nagotations
преговорите	negociaciones	negotiations
преграда	barrera	partition
пред	en frente de	before
предава	transmite	taught
предаване	transmisión	transmission
предаването	transmisión	lecture
предавания	transmisiones	shows
предават	transmitir	transmit
предавател	transmisor	transmitter
предаде	entregado	transmit
предаден	entregado	submitted
предадени	entregado	predadeni
предание	tradicion	story
преданието	la leyenda	the tradition
предания	leyendas	tales
предварително	por adelantado	pre-
предвид	dado	predict
предвидени	previsto	provided
предвижда	proporciona	anticipate
предградията	los suburbios	suburb, outscirts
пределите	límites	the limits
преден	frente	foreground
преди	antes de	before
предизвика	provocar	cause
предизвиква	provoca	causes
предизвикват	provocar	cause
предимно	principalmente	principally
предимство	ventaja	advantage
предистория	antecedentes	prehistory
предишните	los anteriores	previous
предлага	ofertas	offers
предлагат	oferta	suggest
предлог	preposición	preposition
предложена	propuesto	propose
предложение	propuesta	proposal
предложението	la propuesta	proposal
предложения	sugerencias	proposal
предмет	tema	object
предмети	artículos	items
предметите	objetos	objects
предназначена	destinado a	assigned
предназначени	destinado a	designed
предназначение	propósito	function
предната	frente	front
предни	frente	front
предните	frente	front
предния	el frente	front
предоставя	proporciona	give/gives
предоставят	proporcionar	provide
предотврати	evitar	prevent
предпазва	protege	protects
предпазване	proteccion	protection
предполага	sugiere	suggests
предполагат	sugerir	suggest
предположение	suposición	assumption
предположения	supuestos	assumptions
предпоставка	premisa	prerequisite
предпоставки	prerrequisitos	preconditions
предпочита	prefiere	preferred
предпочитат	preferir	prefer
предприема	se compromete	take
предприемат	tomar	attempt
предприятие	empresa	company
предприятието	la empresa	firm
предприятия	empresas	enterprises
председател	presidente	president
председателя	director	president
председателят	director	president
представа	idea	idea
представата	la idea	the idea
представен	presentado	presented
представена	presentado	represented
представени	presentado	presented
представено	presentado	represented
представи	presente	conceptions
представите	imagina	idea
представители	representantes	representatives
представителите	representantes	representatives
представлява	representa	represents
представляват	representar	are
представя	regalos	presents
представяне	presentación	presentation
представят	presente	present
предсърдие	atrio	atrium
предсърдия	atrios	atria
предсърдията	las aurículas	atria
предупреждава	advierte	warns
предшественик	predecesor	predecessor
предшественици	antecesores	ancestors
преживява	sobrevive	experiences
преживяване	experiencia	experience
преживявания	experiencias	survivors
през	mediante	in the
президент	presidente	president
президента	el presidente	president
президенти	presidentes	presidents
президентска	presidencial	presidential
президентът	el presidente	president
прекалено	demasiado	tempered
прекарва	gasta	spends
прекарват	gastar	spend
преки	directo	direct
прекратява	termina	terminates
прекъсва	interrumpe	cut off
прекъсване	interrupción	interruption
премахва	elimina	removes
премахване	eliminación	removal
премахването	eliminación	the removal
премахнат	remoto	remove
премества	se mueve	move
преместване	reubicación	transfer
преместването	reubicación	move
премести	moverse	move
премиер	primer ministro	prime
премиера	estreno	premiere
преминава	pasa	passes
преминаване	cruce	crossing
преминаването	la transición	passing
преминават	pasar	pass
преминали	pasado	passed
премине	pasar	cross over
пренася	lleva	transfer
пренасят	llevar	transfer
пренесени	transferido	transferred
пренос	transmisión	transmission
преобладава	predomina	prevails
преобладават	prevalecer	dominate
преобладаващата	el predominante	predominant
преобладаващо	predominantemente	over
преображение	transformación	transfiguration
преобразува	convierte	converts
преодолее	superar	overcome
препарат	preparación	preparation
препарати	preparativos	chemicals
препис	transcripción	copy
преподава	enseña	teaching
препоръчва	recomendado	recommended
препратки	referencias	links
преработка	procesando	processing
прераства	outgrows	develop
пресата	la prensa	press
преселват	trasladarse	move to
преселение	restablecimiento	migration
преселници	migrantes	settlers
пресича	cruces	crosses
пресичат	intersecarse	cross
преслав	preslav	preslav
преследване	persecucion	prosecution
престава	cesa	stop
престой	permanecer	stay
престол	trono	throne
престола	el trono	throne
престоя	permanecer	stay
престъпление	crimen	crime
престъпления	crímenes	crimes
престъпност	crimen	criminality
претендент	solicitante	challenger
претенции	reclamación (es	claims
претория	pretoria	pretoria
претърпява	sufre	undergoes
претърпяват	sufrir	suffer
префектура	prefectura	prefecture
прехвърля	transferencias	transfer
преход	transición	transition
прехода	transición	transition
преходен	transitorio	passing
преходноконтинентален	continental de transición	transitional continental
пречи	interfiere	prevent
при	a	to
прибавят	añadir	add
прибира	limpia	collect
приближава	que se acerca	close
приблизително	aproximadamente	approximately
привлечени	atraído	attracted
привлича	atrae	attract
привличане	atracción	attraction
привличат	atraer	attract
привърженик	seguidor	supporter
привърженици	partidarios	supporters
привържениците	partidarios	fans
приготвя	prepara	is made
приготвяне	preparación	preparation
придава	da	attach
придвижва	se mueve	moves
придвижване	movimiento	transportation
придобива	adquiere	acquired
придобиват	adquirir	acquire
приел	aceptado	accepted
приели	aceptado	accepted
прием	recepción	admission
приема	acepta	entry
приемане	aceptación	reception, admission
приемането	aceptación	acceptance
приемат	aceptar	adopt
приеме	aceptar	accept
приемник	receptor	receiver
приемника	receptor	the successor
приет	aceptado	accepted
приета	aceptado	accepted
приети	aceptado	accepted
прието	aceptado	accepted
приживе	durante su vida	lifetime
признава	admite	recognizes
признаване	reconocimiento	admit
признават	admitir	recognize
признае	admite	recognize
признак	firmar	sign
признание	reconocimiento	recognition
признат	reconocido	accepted
призната	reconocido	recognized
признати	reconocer	recognized
признаци	señales	signs
призовава	llamadas	appeal
приказка	cuento de hadas	tale
приказки	cuentos	stories
приказките	cuentos de hadas	tales
приключва	termina	ends
прилага	aplica	apply
прилагане	solicitud	implementation
прилагането	solicitud	applying
прилагат	aplicar	applied
прилепчета	murciélagos	prileps
прилича	parece	looks like
приложение	solicitud	application
приложението	la aplicación	application
приложения	aplicaciones	applications
пример	ejemplo	example
примера	ejemplo	examples
примери	ejemplos	examples
примеси	impurezas	impurities
примирие	tregua	truce
примирието	la tregua	truce
принадлежат	pertenecer a	belong
принадлежи	pertenece a	belongs
принадлежност	afiliación	affiliation
принос	contribución	contribution
принуден	forzado	forced
принудена	forzado	forced
принудени	forzado	forced
принуждава	efectivo	forces
принуждават	fuerza	forcing
принц	príncipe	prince
принцеса	princesa	princess
принцип	principio	principle
принципа	principio	principle
принципи	principios	principles
принципите	principios	principles
приписва	atribuido	is ascribed
приписват	atribuido	attribute
прираст	crecimiento	growth
природа	naturaleza	nature
природата	naturaleza	nature
природен	natural	natural
природна	natural	nature
природни	natural	natural
природните	natural	natural
природно	naturalmente	natural
пристанища	puertos	ports
пристанище	puerto	harbor
пристанището	el puerto	port
пристига	llega	arrive
пристигането	llegada	arrival
пристигат	llegar	arrive
пристъпи	convulsiones	attacks
присъда	frase	sentence
присъдата	la frase	sentence
присъединени	unido	associated
присъедини	unirse	join
присъединява	uniones	joined
присъединяване	unión	uniting
присъединяването	adhesión	accession
присъединяват	unirse	join
присъства	presente	presents
присъстват	presente	covered
присъствието	la presencia	presence (or participation)
притежава	posee	has
притежават	poseer	have
приток	afluente	tributary
притоци	afluentes	tributaries
приходи	ingresos	revenue
приходите	ingresos	the income
причина	razón	reason
причината	la razón	reason
причинени	causado	caused
причини	razones	reasons
причините	las razones	reasons
причинява	causas	causes
причиняват	porque	caused
приятел	amigo	friend
приятели	amigos	friends
приятелите	amigos	friends
приятелски	amistoso	friendly
приятелство	amistad	friendship
прне	prne	laundry
проблем	problema	problem
проблема	el problema	problem
проблеми	problemas	problems
проблемите	problemas	problems
проблемът	el problema	problem
провал	fracaso	failure
провала	fracaso	failure
проваля	fracaso	fails
проведе	conducido	to carry out
проведена	conducido	held
проведени	conducido	conducted
проведените	conducido	conducted
проведено	conducido	conducted
провежда	conductas	organizes
провеждане	conductible	conducting
