$	ps	your
joogey	era presente	i stayed
joogga	altura	the act of waiting
joogno	permanecer	at
joogo	presente	stay
joogsanmaanta	estancamiento	joogsanmaanta
joogta	permanecer	permanent
joogtaa	esta ahí	she is
joogtada	constante	permanent
joogtay	era presente	crowd
joogto	constante	permanent
joorjiya	diario	joorjiya
joqof	jockof	joqof
jowhar	jowhar	jowhar
jsiirada	js	jsiirada
jsl	jsl	jsl
jubadda	saco	jubba region
jubba	jubba	juba
jubbada	aniversario	jubba
juli	julio	juli
july	julio	july
julywaxaa	julio	julywaxaa
jumhūriyyat	jumhūriyyat	jumhuriyyat
june	junio	june
junna	junna	junna
juqraafi	geografía	geography
juqraafiga	geografía	the geography
juquraafi	geografía	juquraafi
juun	juun	june
k	k	k
ka	una	from
kaa	tú	you
kaafka	más allá	the k
kaaga	de ti	you
kaah	kah	radiation
kaaha	radiación	the first glimmer of light
kaahin	retrasar	kahin
kaakici	ve más despacio	kaakici
kaalin	papel	role
kaalinta	papel	position
kaalintii	el papel	lessons
kaalmada	asistencia	assistance
kaalmadii	ayuda	aid
kaalmeeye	ayudante	kaalmeeye
kaalmo	asistencia	help
kaalo	venga	charity
kaam	acampar	; its
kaar	tarjeta	card
kaaraan	lata	karan district
kaariye	conductor	"kariye ""name"""
kaarkuba	carpintero	kaarkuba
kaas	cual	that
kaashanayaan	cooperar	work together
kaasi	es decir	that
kaasoo	oms	from
kaatooliga	el católico	kaatooliga
kab	zapato	shoe
kabaal	palanca	lever
kabad	alacena	kabad
kabadan	mas que	more than usual
kabaha	zapatos	shoes
kabataane	zapato	kabataane
kabaxay	izquierda	he grew out of
kabaxsan	más allá	are treated a very bad hospitality
kabaxsanida	evacuación	kabaxsanida
kabel	kabel	kabel
kabexeen	omitir	kabexeen
kabo	zapatos	shoes
kabsuuma	más y más	kabsuuma
kabtay	recuperación	he recovered
kaca	subir	up
kacaan	revolución	revolution
kacaanka	revolución	the revolution
kacaankii	revolución	the revolution
kacab	tiempo	kacab
kacay	surgió	abbas
kacaydhinaca	esta vez	kacaydhinaca
kacaye	rebelde	kacaye
kacbada	alboroto	foundations
kacbadda	el levantamiento	kacbadda
kacbadiinnii	tu crianza	kacbadiinnii
kacdoon	revuelta	an uprising
kacdoonka	rebelión	connection
kacdoonkii	el levantamiento	the riots
kadabkii	la puerta	kadabkii
kadagaalami	no te preocupes	fought at
kadanbaysay	dentro de poco	kadanbaysay
kadanbeeyay	últimamente	this question and similar others were taking
kaday	tiempo	kaday
kaddib	después	after
kadhacady	esta vez	kadhacady
kadhacay	eso pasó	second phase was for
kadhashay	perdiste	kadhashay
kadhiseen	interrumpido	kadhiseen
kadib	después	after
kadibna	y entonces	and then
kadin	tarjeta	herd of camels
kafadood	centavos	(
kaftan	una broma	joke
kaga	imagina	in
kagsoo	déjalo	kagsoo
kahadhay	lo siento	kahadhay
kahelay	lo encontré	kahelay
kahor	antes de	before
kaimd	kaimd	kaimd
kajira	vete	that in
kajirin	nunca espere	kajirin
kakoobantahay	complejo	kakoobantahay
kakoobanyahy	complejo	kakoobanyahy
kal	kal	last year
kala	aparte	with
kalabaxaan	división	kalabaxaan
kalana	otro	other
kalandar	calendario	kalander
kalandarka	calendario	kalandarka
kalanderka	el calendario	kalanderka
kalasaaraha	clasificador	kalasaaraha
kalasaaridda	clasificación	kalasaaridda
kalawareeg	circular	kalawareeg
kalayihiin	son diferentes	kalayihiin
kale	otro	other
kaleba	además	other
kalee	otro	like other
kalena	otro	other
kalgacayl	afecto	love
kali	solo	alone
kaligaa	solo	kaligaa
kaligii	solo	dictator
kaligiii	solo	kaligiii
kalimada	la palabra	word
kalinimada	soledad	; so
kaliya	sólo	only
kaliyata	solo	kaliyata
kalluun	pez	fish
kalluunka	pez	fish
kalmada	palabra	kalmada
kalmadduu	su palabra	speech
kalo	hola	also
kaloo	además	also
kalsiduu	el ha sido criado	kalsiduu
kalsooni	confianza	confidence
kalsooniduu	su confianza	who loose their confidences are mainly broken hearted
kaluunka	pez	fish
kalyaha	riñón	kalyaha
kama	en lugar	not
kambodiya	camuflaje	kambodiya
kamid	entre	one of
kamida	imagen	embody
kamidtahay	usted está	with truth;
kamidyahay	pertenece a	kamidyahay
kamiruun	la cámara	kamiruun
kamma	kamma	by chance
kamman	imagen imagen	kamman
kan	una	this
kana	tú	and
kanaal	canal	kannal
kanaalka	el canal	sameysa
kanada	canadá	canada
kaneeco	mosquito	mosquito
kani	esta	this
kaniisad	iglesia	church
kaniisada	la iglesia	church
kaniisadda	la iglesia	the church
kaniisaddii	la iglesia	the russian church showing the highest honor
kaqaatay	derivado de	kaqaatay
kara	moler	can
karaa	lata	can
karaadsaday	preguntó	request
karaamadii	el sacramento	restore
karaamiyo	el sacramento	karaamiyo
karaan	lata	can
karale	carle	karale
karanle	cuarentena	somali sub clan name
karayn	lata	respite
karee	crema	many
kari	suplemento	cook
kariimka	la crema	the being that is worthy of veneration
karim	karim	karim
karin	más	cannot
karinwayadii	las cocineras	karinwayadii
kariyey	cocido	he cooked
karkabadii	el segundo	karkabadii
karl	karl	karl
karnaa	podemos	we can
karno	lata	we can
karo	choque	can
kartaa	lata	can
kartaan	usted puede	you cannot
karti	capacidad	ability
kartid	usted puede	can
karto	lata	can
kartoonka	cartulina	kartoonka
karuur	coche	karuur
karuurka	el aumento	the sour camel's milk
kas	kas	intelligence
kasakhstan	de kabakhstan	kasakhstan
kasbaday	ganado	he earned
kashiisaba	su parte	kashiisaba
kasi	no	for a people who understand
kasii	quédatelo	out of
kasoo	de	by
kasoobaxa	hervir	the boil
kasoojeeda	lo contrario	kasoojeeda
kasoojeeday	de	kasoojeeday
kasoojeedeen	de donde	kasoojeedeen
kasooo	aislar	by
kasta	cada	every
kastaa	cada	every
kastaba	sin embargo	however
kastana	de todos modos	and every
kaste	lo que sea	cognizant of all things
kasto	todo	every
kastoo	aunque	even though
kastuu	a pesar de	though
katagay	izquierda	katagay
katahay	kate	katahay
katalaaniyawadanka	catalanes	ruled the land
katalin	catalizador	katalin
katalinaayay	catalizador	katalinaayay
katalinaysaykadib	siguiendo	katallinaysaykadib
katalinjiratay	interrumpido	katalinjiratay
katalinjirtay	interrumpido	katalinjirtay
katay	tocón	katay
katirsan	el seguimiento	embody
katirsanayd	de	katirsanayd
katurjumayaa	exagerado	katurjumayaa
kaw	venir	he killed
kawayn	mayor	creation
kawsaday	retirado	kawswday
kaxaystay	llevados	he took along
kaxiga	el siguiente	kaxiga
kay	kay	defend yourself from me
kayaro	traqueteo	at least
kaydka	valores	the reserve
kaydsan	almacenado	potential
kayimi	venga	kayimi
kaymaha	bosques	alone
kaymo	bosque	forests
kaynaan	salvar	velocity
kaysaha	el juego	kaysaha
kbps	kbps	kbps
kediye	bienvenidos	kediye
keebka	en la despensa	the trigger
keena	tráelo	bring
keenadiid	traer	kennadeed
keenay	trajo	brought
keeneen	trajo	brought
keeni	traer	bring
keeno	traer	bring
keentay	causado	brought
keenye	asignado	always to invent balladry
keli	solo	only
keliga	solo	the state of being the only one
keligiis	solo	alone
keliya	solamente	only
kennedy	kennedy	kennedy declared that russian missiles have been brought
kenya	keniano	kenya
kexeeyey	impulsado	kexeeyey
key	llave	, key
keying	clave	keying
khaalid	error	khalid
khaalida	error	khaalida
khaas	especial	special or private
khaasatan	especialmente	migrants and refugees especially those from
khaatumkii	el khaatum	khaatumkii
khabiir	un experto	expert
khad	tinta	ink
khadiija	khadija	khadija
khadiijo	risita	kadijo
khadka	la línea	line
khahin	incorrecto	khahin
khal	vinagre	vinegar
khaladaad	errores	mistakes
khalaf	crujido	khalaf
khaliif	califa	khalif
khaliifkii	califa	khaliifkii
khaliijka	el vinagre	gulf
khaliil	califa	submits himself entirely
khalqay	distorsionado	khalqay
khalqigu	el desorden	khalqigu
khamiis	jueves	thursday
khamiista	el jueves	the thursday
khasaaray	vano	lost
khasab	obligatorio	force
khasbay	forzado	he forced
khatar	peligroso	danger
khayr	bueno	good
khayraadka	recursos	resources
khayriyada	recursos	khayriyada
khayrka	el bueno	the good fortune
khayrkiisa	su bondad	khayrkiisa
kheeraadkaan	estos recursos	kheeraadkaan
kheyraad	recursos	communities' strengths
kheyraadka	recursos	resources
kheyre	bueno	kheyre
khibrad	experiencia	experience
khilaaf	controversia	difference
khilaafaa	no está de acuerdo	khilaafaa
khilaafeen	en desacuerdo	they
khilaafka	la disputa	the difference
khilaafsan	inconsistente	contradicting
khiyaamay	engañado	he cheated
khiyaamo	engaño	trick
khubarada	expertos	foreign experts
khubaraduna	y expertos	khubaraduna
khubaro	expertos	experts
khubdadii	por ejemplo	the speech of the
khuduub	sermón	khuduub
khuseyma	aplicable	khuseyma
ki	también	them takes away thirst altogether
kibirka	orgullo	the arrogance
kibis	pan de molde	bread
kibroo	arrogante	kibroo
kici	levántate	rise
kii	k	the one
kiiba	la clave	she does
kiikii	ki	kiikii
kiimikaad	químico	kiimikaad
kiin	uno	you
kiina	dios mío	your
kiinya	un poco	kenya
kilaab	un club	nightclub
kililka	la axila	kilika
kinaana	tienes	kinaana
king	rey	king
kingdom	reino	kingdom
kirishtaan	cristiano	christian man
kiristaan	los cristianos	christian
kiristanka	los cristianos	kiristanka
kiristanku	tu cristianismo	kiristanku
kismaayo	kismayo	kismayo
kismaayobaydhabo	kismayoyou	kismaayobaydhabo
kitaab	un libro	a book
kitaabka	el libro	book
kitaabkan	este libro	this book
kitaabkii	el libro	book
klm	klm	klm
km	km	km
kmg	kmg	kmg
knaan	kannan	knaan
knights	caballeros	knights
known	conocido	known
koban	koban	koban
kobash	crecimiento	kobash
kobcinta	enriquecimiento	developing
kohay	kohay	kohay
kol	columna.	time
kolayga	cesta	kolayag
koleyga	baloncesto	basketball
kolkaas	luego	at that time
kolkii	una vez	when
kolkuu	cuando	when he
kollay	incluso	kollay
kolombiya	coroides	kolombiya
kolonbiya	colonia	columbia
kolse	corcho	back
kolyga	kolyga	kolyga
kombuyuutarka	el ordenador	computer
komoros	comoras	komoros
konfur	configurar	konfur
kong	kong	kong
kongo	condón	kongo
koob	taza	cup
koobaad	el primero	first
koobaadmarkii	tu primero	koobaadmarkii
kooban	resumen	limited
koobantahay	limitado	key components of
koobantahy	limitado	koobantahy
koobanyahay	limitado	it's assorted dish
koobay	resumido	he summarized
koobaya	resumiendo	that comprises these major sins
koobayo	copiado	that summarizes
koobayso	resumir	koobayso
koobi	copiar	copy
koobkii	la taza	cup
koobmaa	envolturas	koobmaa
koobnaa	limitado	it was coiled
koobnaan	resumen	contain
koobnaayeen	estaban limitados	composed
koobnayd	limitado	which consisted of
koobo	taza	300persons
kooda	su	their
koofi	sombrero	cap
koofil	un sombrero	kofil
koofur	sur	south
koofureed	sur	south
koofurgalbeed	sur oeste	southwest
koofurta	al sur	south
koonfur	sur	south
koonfurba	al sur	koonfurba
koonfurbari	sur oeste	south east
koonfureed	al sur	south
koonfureedka	el sur	koonfureedka
koonfureedna	al sur	koonfureedna
koonfurta	al sur	south
koonfurtu	el sur	for south mogadishu
koonfurtuna	el sur	koonfurtuna
koontaroolla	controlar	koontaroolla
kooraha	las garzas	kooraha
koosar	curso	koosar
kooshin	curso	koshin
koowaad	primero	first
koox	grupo	group
kooxaha	grupos	groups
kooxda	el grupo	the team
kooxdii	el grupo	the team
kooxo	grupos	groups
kor	encima	up
koraaye	por todas partes	koraaye
koray	creciendo	he grew up
koraysaaye	no es	karaysaaye
kordhaha	incrementar	kordhaha
kordhi	incrementar	increase
kordhinta	extensión	the increase
kordhiyay	aumentado	increased
kordhiyey	extendido	he increased
kordhiyo	extensiones	increase
kordhoban	aumentado	kordhoban
kordufan	aumentado	kordufan
kore	verde	above
korkeeda	sobre ella	on top of
korkiisa	sobre eso	on top
korkooda	sobre ellos	them
kormerin	comenzar de nuevo	kormerin
korneel	un coronel	korneel
korneyl	creciendo	korneyl
korodhsanayn	no aumentado	increase
korontada	electricidad	electricity
koronto	electricidad	electricity
kororsi	tutoriales	e-mail:
korreeye	alto	korreeye
korreeyetrololololololololololoibfhgidfgdufhgsdghdfbgdjbgdsjbgjsdbgjsbgjdfsklgkdsjfbgdfskbgdskjlbglkdfjbgkldfbgkdfbgkldsfbgskldfbgksldgblkdfsbglksdgbksdggggggggggb	taquillas	korreeyetrololololololololololoibfhgidfg
kow	cada	one
kowaad	el primero	first
ku	tú	in
kubada	la pelota	basketball
kubadda	la pelota	soccer
kudhaqan	en	kudhaqan
kudhaqanto	práctica	kudhaqanto
kudhaw	cerca a	kudhaw
kudhintay	tu moriste	kudhintay
kufaa	furia	kufaa
kufsi	violación	rape
kugu	tú	you
kugula	para ti	with
kuguulaysatay	ganador	kuguulaysatay
kuhadalaan	conocerte	kuhadalaan
kuhadlaan	conocerte	kuhadlaan
kuhanynta	hormigueo	kuhanynta
kuhaysa	tú	kuhaysa
kujiraan	incluso	is what is in
kujiray	incluido	kujiray
kula	cuídate	with
kulahaa	nos vemos	say about
kulahayd	tú estabas ahí	kulahayd
kulan	reunión	meeting
kulana	mirarte	and
kulansiine	conocerte	kulansiine
kulayl	caliente	hot
kulaylkiiye	calentador	kulaylkiiye
kuleel	caliente	heat
kuleelka	caliente	the warmth
kuleelkeeda	caliente	kuleelkeeda
kuleh	caliente	speakers who are
kuliyada	universidad	wherein
kuliyda	todas	kuliyda
kulligood	todos ellos	all of them
kulliyada	universidad	kulliyada
kulliyadda	en la universidad	the college
kulma	reunirse	whether she
kulmay	reunió	met
kulmeen	reunió	he met
kulmiye	acumulativo	kulmiye party
kulmo	reunirse	meet
kulul	caliente	hot
kulushahay	caliente	it is very hot
kuma	y	not
kumaankun	la cabeza	thousands upon thousands
kumalahan	no requerido	kumalahan
kuman	oms	were thousands
kumanaan	miles	thousands
kumanyaal	miles	thousands
kumanyaalkii	los miles	kumanyaalkii
kumaray	floreció	kumaray
kumbuyuutar	computadora	computer
kumbuyuutarada	ordenadores	the computers
kumbuyuutarka	en la computadora	computer
kumeel	temporal	nominated as
kumeelgaar	temporal	be provisional
kumeelgaarka	en el intermedio	whether
kumurmay	no lo sé	kumurmay
kun	tú	thousand
kuna	fallar	and
kunool	en vivo	kunool
kunoolyihiin	estas viviendo	kunoolyihiin
kuqoran	listado	kuqoran
kur	tonel	hill
kurdiska	kurdos	kurdiska
kurdistan	kurdistán	kurdistan
kursiga	asiento	the chair
kusheetik	geométrico	kusheetik
kusii	entra	present
kusoo	venga	on
kusooduulay	después de lo cual	kusooduulay
kutaal	columnas	it is on a road that still abides
kutaala	venga	president post if he would be forming government
kutaalaa	estás aquí	kutaalaa
kutaalay	el mono	kutaalay
kutaallo	remolques	kutaallo
kutub	texto	books
kutubo	temprano en la mañana	books
kutubta	temprano	the books
kutubtii	tarde	of the ancients
kutubtiisa	en su libro	his angels
kututbtii	temprano	kututbtii
kuu	para ti	you
kuuba	cuba	cuba
kuubaan	cubo	cuban
kuugu	para ti	you
kuul	talón	bead
kuuma	no tú	you
kuuriya	corea	korea
kuusoow	bienvenidos	kuusoow
kuusow	sonrojo	kuusow
kuwa	aquellos	those
kuwaa	aquellos	those ones
kuwaaa	aquellos	kuwaaa
kuwaar	aquí	kuwaar
kuwaas	aquellos	these
kuwaasi	aquellos	these are
kuwaasoo	oms	which
kuwada	tú	getting
kuwait	kuwait	kuwait
kuwan	estas	these
kuwii	aquellos	those
kuwo	ellos	those
kuwooda	de ellos	ones
kuxigeenka	el diputado	vice-
kuyaal	en	kuyaal
kuyaala	alrededor tuyo	kuyaala
kuyaalla	es usted	kuyaalla
kuyaalo	alrededor	kuyaalo
kuyihiin	es usted	kuyihiin
kuyimi	venir	kuyimi
kwazulunatal	maravilloso	kwazulu-natal
l	l	me
la	con	with
laa	vete	fight
laaan	rama	without
laaana	de nuevo	tree leaf
laaaneede	absolutamente	landmine
laaanta	sin ti	the branch
laaasaasay	luego	laaasaasay
laabneyne	estábamos volviendo	laabneyne
laabtay	espalda	he returned
laabteen	espalda	they returned
laadin	golpear	biniladen &
laafyaha	huesos	and separates her steps
laah	lah	nil
laakiin	pero	but
laakiinse	pero	but
laakin	pero	but
laalaaba	ambos	laalaaba
laalaayey	suspendido	laalaayey
laami	callejón	asphalt
laamiga	pista	tarmac
laamka	maletero	the l
laan	rama	branch
laanta	rama	the branch
laas	muchacha	well
laascaanood	con estos	laascaanood
laasgeel	aferrarse a	laasgeel
laashin	rama	poet
laasqoray	copiado	laasqoray
laasqorey	copiado	laasqorey
laasqpray	lasiqpray	laasqpray
laatiiniga	latín	laatiiniga
laatiinka	latín	the latin
laayay	delicado	killed
lab	laboratorio	male
laba	dos	two
labaad	segundo	second
labaadna	el segundo	second
labaatan	veinte	twenty
labaatanaad	veinte	twentieth
labaatankii	veinte	twenty
labad	ambos	second time
labada	ambos	the two
labadaa	ambos	these two
labadaas	los dos	these two
labadaasi	esos dos	these two
labadaba	ambos	both
labadan	estos dos	the two
labadii	los dos	the two
labadiiba	ambos	they both
labadiisa	ambos	two jaws
labadiisii	ambos	his
labadooda	ambos	both
labaduba	ambos	both
labashaqlanaha	duplicación	labashaqlanaha
labka	masculino	the male
labo	dos	two
lacag	dinero	money
lacagaha	pagos	payments
lacago	dinero	money
lacagta	dinero	money
lacagtaas	ese dinero	that money
lacagtan	este dinero	this money
lacagtasi	ese dinero	lacagtasi
lacagteedii	su dinero	lacagteedii
lacagtii	el dinero	the money
lacata	dinero	i think this is wrong somali, correct is lacagta which means money
ladaawdo	ser tratado	ladaawdo
ladareemay	barbado	ladareemay
ladilay	delicado	ladilay
ladin	golpear	laden,
ladnaa	multa	he was well
laeego	estar atento	laeego
laf	hueso	bone
lafaha	huesos	bones
lafalaha	huesos	lafalaha
lafdhabar	columna vertebral	backbone
lafdhabarta	columna vertebral	the vertebrae
lafoole	hueso	lafoole
lafweyn	elaborar	lafweyn hotel
lag	retraso	with
laga	de	from
lagaa	de ti	you
lagaba	absolutamente	legaba
lagaga	de	which
lagahayn	no	lagahayn
lagala	con ellos	consulted
lagalay	de	lagalay
lagama	no	not
lagana	de	and
lagaqadan	abstenido	lagaqadan
lagasoo	de	house
lagayaabo	posiblemente	lagayaabo
lagu	a	in
lagugu	tú	you
lagula	con	against
laguma	no es	not
lagumagacaabijiray	no especificado	lagumagacaabijiray
laguna	lagna	and
laguqiyaasaa	es decir	laguqiyaasaa
lagusiidaayo	serás notificado	lagusiidaayo
lagusoo	de ti	indeed all our previous
laguu	para ti	you
laha	tener	he doesn't have
lahaa	tenido	would
lahaan	tener	own
lahaanshaha	propiedad	ownership
lahaayeen	tenido	they had
lahab	cojear	lahab
lahan	no	desire
lahayaa	en g	lahayaa
lahayd	tenido	would you
lahayeen	tenido	ammunition
lahayn	no	have
laheed	tenido	laheed
laheen	no tienen	laws
lahelo	disponible	be located
laheyd	tenido	of
laheyn	tenido	has no
lahirgaliyay	implementado	lahirgaliyay
lahjada	dialecto	accent
lahjadaha	dialectos	lahjadaha
lahjadda	dialecto	the dialect
lahjado	dialecto	lahjado
laisku	láseres	laisku
lajira	con	lajira
lajnado	con	accents
lajoogo	con nosotros	lajoogo
lakala	jajaja	and
lakiin	pero	but
lakin	pero el	lakin
lala	con	with
lama	no	not
lamana	no	and they shall not be
lamid	similar	like
lamidawday	lo mismo	lamidawday
lamy	lamy	lamy
lana	ayer	and
lanka	lanka	lanka
laos	laos	laos
laqabto	alcanzar	laqabto
laqwi	golondrina	tactlessness
large	grande	large
larumaysanyahay	nos llaman	larumaysanyahay
lasameeyo	para hacerlo	to do
lasameynayaa	está hecho	lasameynayaa
lasheegaa	ésta persona	lasheegaa
lasheegay	mencionado	lasheegay
lasiiyo	dado	iasiiyo
lasocotada	seguimiento	lasocotada
lasoo	ven	the
lasoomaray	seguido	lasoomaray
lasoonoqdeen	te he conocido	lasoonoqdeen
lawada	compartido	harmony
lawareegay	confiscado	lawareegay
lawareegeen	estaban confundidos	lawareegeen
lawyacaddo	ahorrar	lawyacaddo
laxamiiste	un químico	laxamiiste
laxda	oveja	the female sheep
laxidhay	cerrado	laxidhay
lay	laico	i
layaabka	sorprendente	the surprise
layaableh	maravilloso	layaableh
layaqaanaha	el mago	layaqaanaha
laydh	iluminado	fresh air
laydin	tú	you
laydiray	enviado a ti	laydiray
layeen	sabio	layeen
layidhaahdaa	se llama	layidhaahdaa
layiraahdo	llamado	pay
layli	ejercicio	layil
layn	línea	murder
layna	lana	bodies
laysku	fuga	laysku
laysu	paliza	tribesmen
laysugu	alineado	originally intended
le	lata	equal to
league	liga	league
leaguesyl	leaguesyl	leaguesyl
leedahay	tener	have
leedahaye	un payaso	leedahaye
leedihiyo	dibujos animados	leedihiyo
leefay	lamer	suck
leegada	el tamaño	fought
leelkase	no importa	conspicuous
leenahay	tener	we are saying
leeuwarden	louwarden	leeuwarden
leexatay	rechazado	deviated
leexday	rechazado	he turned
leexiyo	curva	journalist
leeyaay	solitario	leeyaay
leeyahay	decir	have
leeyahaymadaxtooyo	leeyahaymadaxtooyo	leeyahaymadaxtooyo
leeyahy	¿cómo es?	should know
leeyhiin	tener	have
leeyihiin	tener	have
legislative	legislativo	-dejinta d/hoose
leh	con	own
lehe	cómo	agree
leheed	tiene	some suggestions for keeping your eyes healthy
lehna	con	and
lehwaxa	con	lehwaxa
leone	leona	leone
lesotho	lesoto	lesotho
level	nivel	level
lewis	luis	lewis
ley	ley	kill
leydiga	rectángulo	leydiga
leysku	cálculo	agree
libaan	un limón	blessing
libaax	un leon	a lion
libaaxa	el león	the lion
libaaxyada	los leones	libaaxyada
liban	ganar	liban
libiya	búsqueda	grocer
library	biblioteca	library
libya	libia	libya
lid	de lo contrario	opposite
lihi	lihi	i don't have
lihiba	lihiba	lihiba
lii	lii	lii
liibaan	tener éxito	achievement
liibiya	libia	libya
liide	vivir	liide
liinta	agrios	the lemon
liiska	lista	list
limited	limitado	limited
link	enlace	link
linkiga	enlace	linkiga
links	enlaces	links
linuks	linuks	linuks
linux	linux	linux
lis	lista	milk
list	lista	list
lix	seis	six
lixaad	sexto	sixth
lixaadlehna	sexto	lixaadlehna
lixda	seis	the six
lixdankii	sesenta	lixdankii
lixle	sesenta	six
lknse	pero	lknse
lo	úsalo	cattle
location	ubicación	inay cayimaan tirada iyo goobaha
lock	bloquear	lock
locking	cierre	in somali it means xirmo
loda	crear	loda
london	londres	london
loo	aplicado	to
loodoortay	seleccionado	loodoortay
looga	looga	in
loogana	lucha	order
loogu	para	for
looka	iniciar sesión	looka
lookhiyaameeyey	botón de play	lookhiyaameeyey
loola	desafiado	means
looma	no	no
loomagacaabaycismaan	no son nombrados	loomagacaabaycismaan
loona	de todas formas	and
looqaybinkaraa	puede dividirse en	looqaybinkaraa
lootaxaabay	etiquetado	lootaxaabay
looyaqaan	conocido	(qaatul - sadaaqa) hall.
looyaqaana	llamado	looyaqaana
looyaqaanay	conocido	looyaqaanay
looyaqaano	conocido como	looyaqaano
looyaqaanonikobolis	conocido como el cyborg	looyaqaanonikobolis
looyaqaany	conocido por ellos	looyaqaany
looyaqano	los llamó	looyaqano
lord	señor	lord
lordi	camión	lordi
lower	inferior	lower
lowska	nuez	the peanuts
lublin	lublin	lublin
lubnaan	líbano	lebanon
lug	pierna	leg
lugaha	piernas	legs
lughaya	piernas	baki c
lugohooda	sus piernas	lugohooda
lugood	piernas	legs
lugta	pierna	the leg
lugtii	pierna	lugtii
lugu	lougou	someone
luksemburg	luksemburg	luksemburg
lumay	perdió	he got lost
lumin	estar perdido	lose
luntay	perdió	lost
luqad	idioma	language
luqada	idioma	language
luqadaha	idiomas	thirdly
luqadda	idioma	the language
luqado	idiomas	languages
luqadood	idiomas	-lingual
luqadooda	en su propio idioma	language
luqeedaka	idioma	luqeedaka
luqmaan	idioma	luqmaan
luud	lote	totter
luuliyo	julio	july
luulyo	julio	july
luulyokii	julio	luulyokii
luuq	idioma	alley
luuqada	idioma	the language
luuqadaa	idioma	luuqadaa
luuqadaha	idiomas	preschool speech
luuqeeyso	no hables	luuqeeyso
m	metro	m
ma	ya sea	do
maa	adivinar	?
maadaama	ya que	since
maaha	no lo es	is not
maahan	no lo es	it is not
maahane	ellos no son	besides
maahee	a no ser que	except
maahmaahda	el proverbio	the proverb
maajo	día	may
maakhir	no tan	maakhir
maal	riqueza	property
maala	al menos	maala
maali	día	lend
maalik	día	malik
maalin	día	day
maalinba	diario	day
maalinle	diario	daily
maalinta	el dia	on the day
maalintaas	ese día	on that day
maalintani	este día	on this particular day
maalintii	durante el día	the day
maalintuu	su dia	on
maaliyada	camisa	is funded through ma
maalkeeda	su riqueza	maalkeeda
maalmaha	dias	days
maalmeede	diario	maalmeede
maalmihii	los días	days
maalmo	dias	days
maalmood	dias	days
maalqabeen	rico	rich
maalta	día	maalta
maamul	administración	administration
maamula	gestionado	run
maamuladii	las autoridades	maamuladii
maamulaha	el gerente	the manager
maamulayeen	gestionado	which they administered
maamulayey	gestionado	in
maamulayo	administrado	they would administered
maamulayso	administrar	should administer
maamuli	gestionar	manage
maamulidda	administración	prepaid managed
maamulka	administración	the administration of
maamulkaas	administración	dynasty
maamulkii	administración	the administration
maamulkiisa	su administracion	his administration.
maamulo	administrar	managed
maamusho	administrar	under the control of
maan	mente	i
maandeeq	maná	"mandeq ""nickname"""
maandhaafkii	el dilema	maandhaafkii
maanka	mente	the mind
maankii	mente	maankii
maansada	maná	there
maansadan	este día	maansadan
maansadii	salvar	maansadii
maanshaa	botón de play	maanshaa
maanso	no importa	poetry
maansoolayaashii	los monjes	maansoolayaashii
maansoole	poeta	maansoole
maansooyinka	albañiles	maansooyinka
maanta	hoy	today
maantaba	hoy	, today, at noon,
maantana	hoy	today
maaraynta	administración	manageq
maareeyaha	el gerente	manager
maareeyayaasha	gerentes	maareeyayaasha
maareeye	gerente	administrator
maariyatul	herejía	maa riyatul
maarmaan	esencial	it was necessary
maarmaanka	necesario	necessary
maarmay	absolutamente no	he did without
maarmayo	no me importa	person shows caution on
maaroodi	maroodi	maaroodi
maars	maars	mars planet
maarso	marzo	march
maastricht	maastricht	maastricht
maasuqa	corrupción	safeguarding national wealth
maatarka	matrona	the matter
maaweeliska	entretenimiento	took
maay	maay	maay
maayo	no haré	i am not
macaamiisha	clientes	customers
macaan	dulce	sweet
macaanaaye	adjetivo	macaanaaye
macaanka	diabetes	the sweetness
macad	macad	doing an approved
macalim	profesor	macalim
macalimiinta	profesores	teachers
macalimiintii	los maestros	macalimiintii
macalin	profesor	teacher
macallimiinta	profesores	the teachers
macallin	profesor	teacher
macalmiin	profesores	macalmiin
machadka	instituto	the institute
maclin	profesor	maclin
macluumaad	información	information
macna	sentido	it's nothing serious
macnaha	sentido	meaning
macnaheedu	sentido	mean
macnahoodu	su significado	there meaning
macnayaalka	significados	macnayaalka
macneeyeen	tener sentido	macneeyeen
macneheedu	sentido	does this mean
macneyn	media	macneyn
macnihiisa	su definicion	means
macnihiisane	sentido	macnihiisane
macnihiisu	sentido	mean that
macno	sentido	meaning
macquul	lógico	reasonable
mad	enojado	lengthen
madaafiic	artillería	cannons
madaama	como están las cosas	since
madaarka	en el aeropuerto	the airport
madadaalada	entretenimiento	recreational facilities
madagaskar	madagascar	madagascar
madar	madar	gathering
madaw	negro	black
madawi	negro	madawi
madawwaxa	negrura	madawwaxa
madax	cabeza	head
madaxa	cabeza	maxada
madaxbanaan	independiente	independent
madaxbanaani	independiente	madaxbanaani
madaxbanaanida	independencia	independence
madaxbanaanidii	independencia	madaxbanaanidii
madaxbannaan	independiente	independent
madaxbannaani	independiente	independence
madaxbannaanidii	independencia	madaxbannaanidii
madaxda	líderes	the heads
madaxdaas	esos líderes	followers
madaxdeena	nuestro jefe	madaxdeena
madaxdhaqameedkii	el director	madaxdhaqameekii
madaxdii	jefes	leaders
madaxdiin	jefes	madaxdiin
madaxii	la cabeza	head
