$	ps	dollarsign
namen	nombres	names
namens	a nombre de	on behalf to
namibië	namibia	namibia
nancy	nancy	nancy
naoorlogse	de la posguerra	postwar
napels	nápoles	naples
napoleon	napoleón	napoleon
nasa	nasa	nasa
nassau	nassau	nassau
nat	mojado	wet
nate	nate	nate
nathan	nathan	nathan
natie	nación	nation
naties	naciones	nations
nation	nación	nation
nationaal	nacional	national
nationaalsocialisme	socialismo nacional	national socialism
nationaalsocialistische	socialista nacional	national socialistic
national	nacional	national
nationale	nacional	national
nationalisme	nacionalismo	nationalism
nationalisten	nacionalistas	nationalists
nationalistisch	nacionalista	nationalist
nationalistische	nacionalista	nationalist
nationaliteit	nacionalidad	nationality
nations	naciones	nations
natrium	sodio	sodium
natte	mojado	wet
natural	natural	natural
nature	naturaleza	nature
natuur	naturaleza	nature
natuurgebieden	reservas naturales	nature reserves
natuurkunde	física	physics
natuurkundige	físico	physicist
natuurlijk	por supuesto	natural
natuurlijke	natural	natural
natuurreservaat	reserva natural	nature reserve
natuurwetenschappen	ciencias naturales	natural sciences
nauw	estrecho	narrow / close to
nauwe	cerca	close
nauwelijks	apenas	barely
nauwkeurig	preciso	precise
navo	otan	navo - dutch abbreviation of north atlantic treaty organization
navolging	imitación	imitation
naziduitsland	alemania nazi	nazi germany
nb	nótese bien	nb
nba	nba	nba
ncis	ncis	ncis
ne	nordeste	ne
nec	comité ejecutivo nacional	nec
necrofilie	necrofilia	necrophilia
nederlaag	derrota	defeat
nederland	los países bajos	the netherlands
nederlanden	los países bajos	netherlands
nederlander	holandés	dutchman
nederlanders	holandés	dutch
nederlands	holandés	dutch
nederlandsche	holandés	dutch
nederlandse	holandés	dutch
nederlandsindië	india holandesa	dutch east indies
nederlandstalig	en holandés	dutch
nederlandstalige	holandés	dutch-speaking
nederrijn	rin	lower rhine
nederzetting	asentamiento	settlement
nederzettingen	asentamientos	settlements
need	necesitar	need
neef	prima	cousin
neemt	toma	accounts for - 2nd sentence, decreases - 4th sentence
neer	abajo	down
neergezet	suelte	put down
neerslag	precipitación	precipitation
negatief	negativo	negative
negatieve	negativo	negative
negen	nueve	nine
negende	noveno	ninth
negentiende	decimonoveno	nineteenth
negentig	noventa	ninety
neiging	inclinación	urge
neil	neil	neil
nek	cuello	neck
nelson	nelson	nelson
nemen	tomar	take
nepal	nepal	nepal
nergens	en ninguna parte	nowhere
nero	nerón	nero
nest	nido	nest
net	sólo	just
netnummer	codigo de area	netnumber
netvleugeligen	red	lacewinged
netvlies	retina	retina
netwerk	red	network
netwerken	redes	networks
network	red	network
neurologische	neurológico	neurological
neuronen	neuronas	neurons
neus	nariz	nose
neutraal	neutral	neutral
neutrale	neutral	neutral
neutraliteit	neutralidad	neutrality
nevada	nevada	nevada
never	nunca	never
new	nuevo	new
news	noticias	news
newton	newton	newton
nicaragua	nicaragua	nicaragua (land)
nicht	sobrina	niece
nick	mella	nick
nicolas	nicolas	nicolas
nicole	nicole	nicole
niemand	nadie	nobody
nier	riñón	kidney
nieren	riñones	kidneys
niet	no	not
nietonafhankelijke	no independiente	independant
niets	nada	nothing
niettemin	sin embargo	nevertheless
nietzsche	nietzsche	nietzsche
nietzsches	nietzsches	nietzsche
nieuw	nuevo	new
nieuwe	nuevos	new
nieuwere	más nuevo	newer
nieuwguinea	nueva guinea	new guinea
nieuws	noticias	news
nieuwste	el más nuevo	new
nieuwzeeland	nueva zelanda	new zealand
niger	níger	niger
nigeria	nigeria	nigeria
night	noche	night
nightmare	pesadilla	nightmare
nijl	nilo	nile
nijmegen	nimega	nijmegen
niko	niko	niko
nikola	nikola	nikola
niks	nada	nothing
nina	nina	nina
nintendo	nintendo	nintendo
nirvana	nirvana	nirvana
niveau	nivel	level
niveaus	niveles	levels
nixon	nixon	nixon
nl	nl	com
nl 	nl	en
nm	nuevo méjico	nanometre
nnationaal	nacional	nnationaal
no	no	number
nobelprijs	premio nobel	nobel price
noch	ninguno	nor
nodig	necesario	necessary
nodige	necesario	some
noemde	llamado	mentioned
noemden	llamado	called
noemen	mencionar	call
noemenswaardige	vale la pena mencionar	significant
noemer	denominador	aliquot
noemt	llamadas	call
nog	todavía	even
nogal	bastante	rather
nogmaals	una vez más	again
nominaties	nominaciones	nominations
non	no	nun
nood	emergencia	emergency
noodgedwongen	por necesidad	forced
noodsituatie	emergencia	emergency situation
noodzaak	necesitar	necesitty
noodzakelijk	necesario	necessary
noodzakelijke	necesario	necessary
nooit	nunca	never
noord	norte	north
noordafrika	áfrica del norte	north africa
noordamerika	norteamérica	north america
noordamerikaanse	norteamericana	north american
noordbrabant	brabante septentrional	north brabant
noordcyprus	norte de chipre	north(ern)-cyprus
noordelijk	del norte	northern
noordelijke	del norte	northern
noorden	norte	north
noordeuropa	norte de europa	north europe
noordholland	holanda del norte	north holland
noordierland	irlanda del norte	northern ireland
noorditalië	norte de italia	northern italy
noordkorea	corea del norte	north korea
noordoostelijke	del nordeste	northeastern
noordoosten	noreste	nort-east
noordpool	ártico	northpole
noordse	nórdico	nordic
noordwesten	noroeste	northwestern
noordzee	mar del norte	north sea
noors	noruego	norwegian
noorse	noruego	norwegian
noorwegen	noruega	norwegia
norm	norma	value
normaal	normal	normal
normale	normal	normal
norman	normando	norman
normen	normas	standards
north	norte	north
northern	del norte	northern (noord)
nos	nos	nos
nostradamus	nostradamus	nostradamus
not	no	not
noten	nueces	nuts
nothing	nada	nothing
nou	bien	nou
nouveau	nouveau	nouveau
nova	estrella nueva	nova
november	noviembre	november
now	ahora	now
nr	no	nr
nrc	nrc	nrc
nsb	nsb	nsb
nsdap	nsdap	nsdap
nu	ahora	at present
nucleaire	nuclear	nuclear
nul	cero	zero
nummer	número	song
nummers	números	songs
nut	utilidad	use
nv	nevada	public limited company (plc)
nva	nva	nva
nvt	n / a	not applicable
o	o	o
oa	ao	among others
obama	obama	obama
obediënties	obediencias	obediences
obelix	obelix	obelix
object	objeto	object
objecten	objetos	objects
objectief	objetivamente	objective
objectieve	objetivo	objective
oceaan	oceano	ocean
oceanen	océanos	oceans
oceanië	oceanía	oceania
ochtend	mañana	morning
ochtends	por la mañana	morning
octavianus	octaviano	octavian
octavo	octavo	octavo
oefenen	practicar	exercise
oekraïens	ucranio	ukrainian
oekraïne	ucrania	ukraine
oeral	urales	ural
oerknal	big bang	big bang
oeuvre	obra	oeuvre
oevers	bancos	banks
of	o	of
off	apagado	off
offensief	ofensiva	assault
office	oficina	kantoor
officer	oficial	officer
officieel	oficialmente	official
officier	oficial	officer
officieren	oficiales	officers
officiële	oficial	official
oftewel	en otras palabras	that is
ofwel	ya sea	or
ogen	ojos	eyes
ogenblik	momento	moment
oh	oh	oh
oktober	octubre	october
oldenbarnevelt	oldenbarnevelt	oldenbarnevelt
olie	petróleo	oil
olieverf	pintura de aceite	oil paint
olifant	elefante	elephant
olifanten	elefantes	elephants
oliver	oliver	oliver
olivier	olivier	olivier
olympia	olympia	olympia
olympic	olímpico	olympic
olympisch	olímpico	olympic
olympische	olímpico	olympic
om	a	because
omar	omar	omar
omdat	porque	because
omgaan	salir	handle
omgang	coito	handling
omgebouwd	convertido	converted
omgedoopt	renombrado	renamed
omgekeerd	otro camino alrededor	vice versa
omgekeerde	contrarrestar	possible returned
omgekomen	murió	killed
omgeven	rodeado	surrounded
omgeving	alrededores	environment
omgevingsfactoren	factores medioambientales	environmental factors
omgevormd	transformado	formed
omgezet	convertido	converted
omhoog	arriba	up
omliggende	rodeando	surrounding
omringd	rodeado	surrounded
omringende	rodeando	surrounding
omroep	locutor	broadcast
omschreven	descrito	described
omschrijving	descripción	definition
omstandigheden	circunstancias	conditions
omstreden	polémico	controversial
omstreeks	acerca de	about
omtrek	perímetro	perimeter
omtrent	acerca de	about
omvang	talla	size - 1st and 6th sentence, scale - 3th sentence
omvangrijk	voluminoso	extensive
omvangrijke	voluminoso	extensive
omvat	incluye	include
omvatte	incluido	encompassed - 1st sentence, included - 3th and 7th sentence.
omvatten	incluir	include
omwille	por el bien de ella	because
omzet	ingresos	sales
omzetbelasting	impuesto de venta	turnover taxes
on	en	on
onafhankelijk	independiente	independent
onafhankelijke	independiente	independent
onafhankelijkheid	independencia	independence
onafhankelijkheidsverklaring	declaración de la independencia	declaration of independence
onbekend	desconocido	unknown
onbekende	desconocido	unknown
onbruik	desuso	disuse
ondanks	a pesar de	notwithstanding
onder	abajo	among
onderaan	en el fondo de	at the bottom
onderbroken	interrumpido	disturbed
onderdak	abrigo	shelter
onderdanen	asignaturas	stumps
onderdeel	parte	part
onderdelen	componentes	parts
onderdrukken	reprimir	suppress
onderdrukking	opresión	suppression
onderdrukt	suprimido	suppresses
ondergaan	someterse	undergone
ondergang	fallecimiento	decline
ondergebracht	alojado	housed
ondergeschikt	subordinar	subordinate
onderging	experimentado	underwent
ondergrond	superficie	soil
ondergronds	subterráneo	subterranean
ondergrondse	subterráneo	underground
onderhandelingen	negociaciones	negotiations
onderhevig	tema	subject to
onderhoud	mantenimiento	ovderhoud
onderhouden	mantener	maintain
onderhoudt	mantiene	maintains
onderkaak	mandíbula inferior	mandible
onderliggende	subyacente	underlying
onderling	entre ellos mismos	amongst each other
onderlinge	mutuo	mutual
ondernam	emprendió	undertook
ondernemen	para llevar a cabo	undertake
ondernemer	empresario	entrepreneur
onderneming	empresa	company
ondernemingen	compañías	entreprises
ondernomen	emprendido	taken
onderpand	colateral	backed
onderscheid	distinción	distinction
onderscheiden	distinguir	differentiated
onderscheiding	premio	distinction
onderscheidingen	premios	awards
onderscheidt	diferencia	distinguish
ondersoort	subespecie	subspecie
ondersoorten	subespecie	subspecies
onderstaande	abajo	below
onderste	inferior	lower
ondersteund	soportado	supported
ondersteunen	apoyo	support
ondersteuning	apoyo	support
ondersteunt	apoya	supports
ondertussen	mientras tanto	meanwhile
onderverdeeld	dividido	divided
onderverdeling	subdivisión	subdivision
ondervinden	experiencia	to go through
ondervindt	experiencias	sustains
onderweg	en camino	on the way
onderwerp	tema	subject
onderwerpen	asignaturas	topics
onderwezen	enseñó	taught
onderwijs	educación	education
onderworpen	tema	subject
onderzijde	envés	underside
onderzocht	investigado	investigated
onderzoek	investigación	investigation
onderzoeken	a la investigación	investigate
onderzoekers	investigadores	researchers
onderzoekt	investiga	researches
onduidelijk	poco claro	unclear
one	uno	one
oneindig	infinito	never ending
onenigheid	desacuerdo	discussion
ongeacht	a pesar de	regardless of
ongeboren	no nacido	unborn
ongebruikelijk	raro	unusual
ongekende	sin precedentes	unknown
ongeluk	accidente	accident
ongelukken	accidentes	accidents
ongenoegen	disgusto	displeasure
ongetwijfeld	indudable	undoubtedly
ongeval	accidente	accident
ongeveer	acerca de	approximatily
ongewenste	no deseado	unwanted
onjuist	incorrecto	incorrect
onlangs	recientemente	recently
online	en línea	online
only	solamente	only
onmiddellijk	inmediatamente	immediately
onmogelijk	imposible	impossible
ono	ono	ono
onrechte	equivocadamente	unjustly
onregelmatig	irregular	irregular
onregelmatige	irregular	irregular
onrust	agitación	unrest
ons	nos	our
ontbinden	disolver	dissolve
ontbrak	estaba faltando	lacked
ontbreekt	está perdido	misses
ontbreken	carencia	absence
ontdekken	para descubrir	discover
ontdekking	descubrimiento	discovery
ontdekkingen	descubrimientos	discoveries
ontdekkingsreiziger	explorador	explorer
ontdekt	descubierto	discovered
ontdekte	descubierto	discovered
onterecht	injustamente	unjust
ontevredenheid	insatisfacción	unhappiness
ontgonnen	minado	cultivated
onthaald	recibido	received
onthouden	recordar	remembered
ontkend	negado	deny
ontkende	negado	denied
ontkennen	denegar	to deny
ontkomen	escapar	to escape
ontlasting	defecación	shit
ontleend	prestado	extracted
ontmoet	reunió	meets
ontmoeten	reunirse	met
ontmoeting	reunión	meeting
ontmoette	reunió	met
ontmoetten	reunió	meet
ontslag	despido	dismissal
ontslagen	despedido	fired
ontsluiting	digestión	digestion
ontsnappen	escapar	escape
ontsnapt	escapado	escaped
ontsnapte	escapado	escaped
ontspringen	chorro	arise
ontstaan	originar	takes form
ontstaat	surge	arises
ontstane	surgió	originated
ontsteking	inflamación	swelling
ontstekingen	inflamación	inflammations
ontstoken	enconado	infected
ontstond	surgió	was
onttrekken	grifo	withdraw from
onttrokken	extraído	dissolved
ontvangen	recibido	recieve
ontvanger	receptor	receiver
ontvangt	recibir	receive
ontving	recibido	recieved
ontvingen	recibido	received
ontvoerd	secuestrado	kidnapped
ontwerp	diseño	design
ontwerpen	para diseñar	designs
ontwerper	diseñador	designer
ontwierp	diseñado	designed
ontwikkeld	desarrollado	developed
ontwikkelde	desarrollado	developed
ontwikkelden	desarrollado	developed
ontwikkelen	desarrollar	develop
ontwikkeling	desarrollo	development
ontwikkelingen	desarrollos	developments
ontwikkelingsstoornis	trastorno del desarrollo	developmental
ontwikkelt	desarrolla	develops
ontworpen	diseñado	designed
onvermogen	incapacidad	inability
onverwacht	inesperado	unexpected
onverwachte	inesperado	unexpected
onvoldoende	inadecuado	insufficient
onvrede	descontento	dissatisfaction
onwaarschijnlijk	improbable	unprobable
onze	nuestro	our
onzeker	incierto	insecure
onzekerheid	incertidumbre	insecurity
onzichtbaar	invisible	invisible
oog	ojo	eye
oogpunt	punto de vista	point of view
oogst	cosecha	harvest
ooit	nunca	ever
ook	además	also
oom	tío	uncle
oor	oído	ear
oordeel	juicio	judgement
oorlog	guerra	war
oorlogen	guerras	wars
oorsprong	origen	origin
oorspronkelijk	originalmente	originally
oorspronkelijke	original	original
oorzaak	porque	cause
oorzaken	causas	causes
oost	este	east
oostazië	este de asia	eastern asia
oostberlijn	berlín este	east berlin
oostblok	bloque oriental	eastern bloc
oostduitsland	alemania del este	east germany
oostelijk	oriental	eastern
oostelijke	oriental	eastern
oosten	este	east
oostende	ostende	oostende
oostenrijk	austria	austria
oostenrijkers	austriacos	east rijkers
oostenrijkhongarije	austria hungria	austria-hungary
oostenrijkse	austriaco	austrian
oosterse	oriental	eastern
oosteuropa	europa del este	eastern europe
oostkust	costa este	east coast
oostromeinse	romana oriental	east romanian
oostzee	mar báltico	east sea
op	en	on
opbouw	estructura	building
opbrengst	rendimiento	proceeds
opbrengsten	rendimientos	takings
opdat	ese	in order that
opdracht	orden	assignment
opdrachten	ejercicios	assignments
opeens	repentinamente	suddenly
opeenvolgende	consecutivo	consecutive
open	abierto	open
openbaar	público	public
openbare	público	public
openbaring	revelación	revelation
opende	abrió	opened
openen	abrir	to open
opening	apertura	opening
openingen	aberturas	openings
openlijk	abiertamente	openly
opent	abre	opens
opera	ópera	opera
operatie	operación	operation
operaties	operaciones	operations
opereren	para operar	operate
opgeblazen	explotado	bloated
opgebouwd	acumulado	build
opgedeeld	dividido	divided
opgedragen	ordenado	performed / dedicated
opgehangen	colgar	hanged
opgeheven	levantado	lifted
opgelegd	impuesto	imposed
opgeleid	entrenado	educated
opgeleverd	entregado	produced
opgelopen	sostenido	taken
opgelost	resuelto	solved
opgemerkt	notado	noticed
opgenomen	incluido	included
opgepakt	detenido	picked up
opgericht	establecido	founded
opgerichte	fundado	founded
opgeroepen	convocado	call on
opgeslagen	salvado	stored
opgesloten	bloqueado	locked up
opgesplitst	división	divided
opgesteld	alineado	edited
opgetreden	ocurrió	acted
opgetrokken	erigido	increased
opgevangen	capturado	catch
opgevat	concebido	taken up (2nd sentence), seen as (4th and 5th sentence)
opgeven	rendirse	give up
opgevoed	elevado	raised
opgevoerd	intensificado	intensified
opgevolgd	seguido	followed
opgewekt	emocionado	cheerful
opgezet	preparar	set up
opgezette	relleno	put up
opheffing	cancelación	abolishment
opinie	opinión	opinion
opkomende	emergente	emerging
opkomst	asistencia	rise
oplage	edición	edition
opleiding	educación	education
opleidingen	educaciones	courses
opleveren	entregar	delivered
opleving	renacimiento	revival
oplopen	incrementar	increase
oplossen	resolver	solve
oplossing	solución	resolvation
oplossingen	soluciones	solutions
opmars	avanzar	advance
opmerkelijk	notable	remarkable
opmerkelijke	notable	remarkable
opmerking	comentario	remakr
opmerkingen	comentarios	comments
opname	grabación	recording
opnamen	grabaciones	shooting
opnames	grabaciones	recordings
opnemen	grabar	to measure
opnieuw	de nuevo	again
opperbevelhebber	comandante en jefe	supreme commander
oppervlak	superficie	surface
oppervlakte	superficie	surface - 3rd sentence, surface area - 6th and 7th sentence.
oppositie	oposición	opposition
oprichter	fundador	founder
oprichting	creación	establishment
oproep	llamada	call
oproepen	llamadas	call
opslag	almacenamiento	storage
opstand	rebelión	uprise
opstandelingen	insurgentes	insurgents
opstanden	rebeliones	risings
opstandige	rebelde	rebellious
opstanding	resurrección	resurrection
opstellen	dibujar	set up
opstelling	preparar	setup
opstijgen	despegar	rise
optie	opción	option
optimaal	óptimo	optimal
optische	óptico	optical
optrad	ocurrió	appeared
optreden	actuación	action
optredens	actuaciones	appearence
optreedt	ocurre	occurs
opus	opus	opus
opvallend	notable	notable
opvallende	sorprendentes	notable
opvatting	ver	interpretation
opvattingen	puntos de vista	ideas
opvoeding	educación	upbringing
opvolger	sucesor	follower
opvolgers	sucesores	successors
opvolging	sucesión	succession
opwarming	entrenamiento previo	warming
opwekken	inducir	arouse (1st sentence),create (4th sentence), generate (6th sentence)
opwinding	excitación	excitement
opzet	intención	design
opzettelijk	a propósito	intentional
opzetten	configuración	to make up
opzicht	el respeto	repects
opzichte	relativo	compared to
orale	oral	oral
orange	naranja	orange
oranje	naranja	orange
oranjenassau	orange-nassau	oranje-nassau
orchestra	orquesta	orchestra
orde	orden	order
orden	pedidos	factions
ordening	orden	planning
order	orden	order/ orde
ordes	pedidos	order(s)
oren	orejas	ears
orgaan	organo	institution
organen	órganos	organs
organisatie	organización	organization
organisaties	organizaciones	organizations
organische	orgánico	organic
organiseerde	organizado	organized
organiseert	está organizando	organizes
organiseren	organizar	to organize
organisme	organismo	organism
organismen	organismos	organisms
orgasme	orgasmo	orgasm
orgel	organo	organ
orientationhorizontal	orientación horizontal	orientation horizontal
original	original	original
origineel	original	original
originele	original	original
orkaan	huracán	hurricane
orkanen	huracanes	hurricanes
orkest	orquesta	orchestra
orleans	orleans	orleans
orthodoxe	ortodoxo	orthodox
os	buey	os
oscar	oscar	oscar
oslo	oslo	oslo
otto	otón	otto
ottomaanse	otomano	ottoman
ottomanen	otomanos	ottomans
oud	antiguo	old
oude	antiguo	old
ouder	mayor	older / parent
ouderdom	vejez	age
oudere	mayor	older
ouderen	mayor	elder
ouders	padres	parents
oudheid	antigüedad	ancient times
oudsher	tradicionalmente	of old
oudst	más antiguo	oldest
oudste	el mayor	oldest
our	nuestro	our
out	fuera	out
outstanding	excepcional	outstanding
over	acerca de	over
overal	en todas partes	everywhere
overblijfselen	permanece	remains
overdag	durante el día	during the day
overdekte	cubierto	covered
overdosis	sobredosis	overdose
overdracht	entregar	transmition
overdreven	exagerado	excessive
overeen	partido	into accord
overeengekomen	convenido	agreed
overeenkomst	acuerdo	resemblance
overeenkomsten	similitudes	agreements
overeenkomt	partidos	matches
overeenstemming	acuerdo	agreement
overeind	vertical	vertically
overgaan	pasar	proceed
overgaat	anillos	passes
overgang	transición	transition
overgave	rendición	surrender
overgebleven	sobrante	remaining
overgebracht	transferido	transfer
overgedragen	transferido	transferred
overgeleverd	transmitido	delivered
overgenomen	tomado	take over
overgewicht	tener sobrepeso	overweight
overgrote	vasto	vast
overhand	prevalecer	upper hand
overheden	gobiernos	governments
overheersende	predominante	dominant
overheersing	dominación	domination
overheerst	predomina	dominate
overheid	gobierno	government
overig	otro	remaining
overige	otros	other
overigens	además	for that matter - 5th sentence
overijssel	overijssel	overijssel
overkoepelende	general	coordinate
overleden	falleció	deceased
overledene	fallecido	deceased
overledenen	fallecido	survivors
overleed	murió	died
overleefde	sobrevivió	survived
overleg	consulta	consideration
overleven	sobrevivir	survive
overlevenden	sobrevivientes	survivors
overlevering	ciencia	tradition
overleveringen	tradiciones	traditions
overlijden	falleciendo	death
overmatig	excesivo	excessive
overmatige	excesivo	excessive
overname	tomar el control	take-over
overnemen	para hacerse cargo	take over
overschot	superávit	abundance
overstromingen	inundaciones	floods
overtreding	violación	offence
overtuigd	convencido	convinced
overtuigen	convencer	convince
overtuiging	persuasión	conviction
overtuigingen	creencias	convince
overwegend	predominantemente	mostly
overwegingen	consideraciones	considerations
overwicht	preponderancia	overweight
overwinnen	superar	conquer
overwinning	victoria	victory
overwinningen	victorias	conquers
overwogen	considerado	considered
overwonnen	superar	overcome
overzees	mar	overseas
overzeese	de ultramar	overseas
overzicht	visión de conjunto	overview
owen	owen	owen (proper noun, first name or surname)
own	propio	eigen
oxford	oxford	oxford
paar	pareja	couple
paard	caballo	horse
paarden	caballos	horses
paars	violeta	purple
paartijd	temporada de apareamiento	mating season
paaseiland	isla de pascua	easter island
paasfeest	fiesta de pascua	easter
pablo	pablo	pablo
pad	camino	track
paddenstoelen	hongos	mushrooms
pagina	página	page
pak	traje de negocios	''pak ransel'' - a good thrashing - 2nd sentence, suit - 5th and 6th sentence
pakistan	pakistán	pakistan
pakken	agarrar	to take
pakte	recogido	took
palace	palacio	palace
palazzo	palazzo	building
paleis	palacio	palace
paleizen	palacios	palaces
palestijnen	palestinos	palestins
palestijnse	palestino	palestinian
palestina	palestina	palestine
pan	pan	pan - proper noun, place name and surname.
panama	panamá	panama
pand	casa	building
pandemie	pandemia	pandemic
panden	propiedades	buildings
paniek	pánico	panic
paolo	paolo	paolo
papiaments	papiamento	papiamento
papier	papel	paper
par	par	over
paracetamol	paracetamol	paracetamol
paradijs	paraíso	paradise
parallel	paralela	parallel
parallelle	paralela	parallel
paramaribo	paramaribo	paramaribo
parasiet	parásito	parasite
parasieten	parásitos	parasites
parc	parque	pac
paren	parejas	mate
parfum	perfume	parfume
parijs	parís	paris
parijse	parisino	parisian
paring	apareamiento	pairing
paris	parís	paris
park	parque	park
parken	parques	park
parker	parker	parker
parkinson	parkinson	parkinson
parlement	parlamento	parliament
parlementaire	parlamentario	parlementary
parlementen	parlamentos	parliaments
parlementsverkiezingen	elecciones parlamentarias	parliamentary elections
parma	parma	a dutch last name, see margareth van parma
parochie	parroquia	parish
parochiekerk	parroquia	parish church
parodie	parodia	parody
part	parte	deel
particuliere	privado	private
partij	partido	party
partijen	fiestas	parties
partner	compañero	partner
partners	socios	partners
partnersteden	ciudades asociadas	partner cities
party	partido	party
pas	solamente	only
pascal	pascal	pascal
pasen	pascua de resurrección	easter
passage	paso	passage
passages	pasajes	passages
passagiers	pasajeros	passengers
passen	caber	adapt
passeren	pasar	passing
passie	pasión	passion
passief	pasivo	passive
past	trajes	past
paste	ajuste	paste
pater	padre	father
patiënt	paciente	patient
patiënten	pacientes	patients
patrick	patricio	patrick
patronen	patrones	patterns
patroon	patrón	patron
paul	pablo	paul - proper noun - first name
paula	paula	paula
paulo	paulo	paulo
paulus	pablo	paulus
paus	papa	pope
pauselijke	papal	papal
pausen	papas	popes
pauze	pausa	break
pc	ordenador personal	pc
pddnos	pddnos	pdd-nos
pearl	perla	pearl
pedro	pedro	pedro
peking	beijing	beijing
pen	bolígrafo	pencil
penetratie	penetración	penetration
penis	pene	penis
pennsylvania	pensilvania	pennsylvania
people	personas	mensen
pepijn	esfuerzos	pepin
per	por	a
percentage	porcentaje	percentage
perfect	perfecto	perfect
performance	actuación	performance
period	período	period
periode	período de tiempo	period
perioden	períodos	periods
periodes	períodos	periods
periodiek	periódico	periodically
perkamentus	dumbledore	dumbledore
permanent	permanente	permanent
permanente	permanente	permanent
pers	prensa	press
persconferentie	conferencia de prensa	press conference
personage	personaje	character
personages	caracteres	characters
personeel	personal	staff
personen	personas	persons
persoon	persona	person
persoonlijk	en persona	personal
persoonlijke	personal	personal
persoonlijkheid	personalidad	personality
persoonlijkheidsstoornis	desorden de personalidad	personality disorder
perspectief	perspectiva	perspective
peru	perú	peru
peruaanse	peruano	peruvian
perzisch	persa	persian
perzische	persa	persian
perzië	persia	persia
pest	muerte negra	pest
pet	gorra	pet
pete	pete	pete
peter	peter	peter
petrelli	petrelli	petrelli (proper noun - surname)
petroglief	petroglifo	petroglyphs
petrus	peter	petrus
peyton	peyton	peyton
ph	ph	ph
philip	philip	philip
philipp	philipp	philipp
philippe	philippe	philippe
philips	philips	philips
phillips	phillips	philips
phoenix	fénix	phoenix
pi	pi	pi
pianist	pianista	pianist
piano	piano	piano
picasso	picasso	picasso
picchu	picchu	picchu
pico	pico	pico
piece	trozo	piece
pier	muelle	pier
piercing	perforación	piercing
piercings	piercings	piercings
pierre	pierre	pierre
piet	piet	piet
pieten	pieten	peter
pieter	pieter	pieter
pietro	pietro	pietro
pijn	dolor	pain
pijnlijk	doloroso	painful
pijnlijke	doloroso	painful
pilatus	pilatus	pilate
piloot	piloto	pilot
pim	pim	pim
pink	dedo meñique	pink
pinksteren	pentecostés	ascension
pippi	pippi	pippi
piramide	pirámide	pyramid
piramiden	pirámides	pyramids
piramides	pirámides	pyramids
pirate	pirata	pirate
pisang	pisang	banana
pitt	pitt	pitt
pius	pío	pius - proper noun
pk	caballo de fuerza	horsepower (hp)
plaat	plato	plate
plaats	sitio	place
plaatse	mancha	on the spot
plaatselijk	local	local
plaatselijke	local	local
plaatsen	sitio	positions
plaatsgevonden	ocurrió	took place
plaatsje	pueblo	small town
plaatst	lugares	posts
plaatste	metido	put
plaatsvinden	tener lugar	take place
plaatsvindt	tiene lugar	takes place
plaatsvond	ocurrió	took place
plafond	techo	ceiling
plan	plan	plan
planeet	planeta	planet
planeten	planetas	planets
plannen	plan	plans
planning	calendario	planning
plant	planta	plant
plantages	plantaciones	plantation
planten	plantas	plants
plantensoorten	especies de plantas	plant species
plassen	orinar	puddles
plastic	el plastico	plastic
plat	plano	patois
plateau	meseta	plateau
platen	platos	records / layers
platenlabel	etiqueta de registro	record label
platenmaatschappij	compañia discografica	record company
platentektoniek	placas tectónicas	plate tectonics
platform	plataforma	platform
platina	platino	platinum
platte	plano	flat
platteland	país	countryside
play	jugar	on
player	jugador	player
playstation	estación de juegos	playstation
plaza	plaza	plaza
pleegde	comprometido	commited
plegen	cometer	commit
plein	cuadrado	plain
pleinen	cuadrícula	plains
plek	sitio	place
plekken	lugares	places
plezier	placer	fun
plichten	deberes	obligations
ploeg	arado	team
ploegen	arada	teams
plot	trama	plot
plotarea	plotarea	plot area
plotdata=	plotdata =	plotdata
plotseling	repentinamente	suddenly
plotselinge	repentino	sudden
plus	más	plus
po	correos	po
podium	etapa	podium
poes	gato	poes - proper noun - in 1st sentence, cat in 2nd sentence
poging	intento	attempt
pogingen	intentos	attempts
point	punto	point
points	puntos	points
poker	póker	poker
pokémon	pokémon	pokemon
polders	pólders	polders
polen	polonia	poland
police	policía	police
politici	políticos	polititians
politicus	político	politician
politie	cumplimiento de la ley	police
politiek	política	politics
politieke	político	political
polo	polo	polo
poly	escuela politécnica	poly
pompeius	pomposo	pompey
pompen	zapatillas	pump
pont	transportar	ferry
pony	poni	pony
pools	polaco	polish
poolse	polaco	polish
poort	portón	gate
poorten	puertas	gates
poot	pierna	leg
pop	muñeca	pop
popart	arte pop	popart
popmuziek	música pop	pop music
populair	popular	popular
populairder	más popular	more popular
populaire	popular	popular
populairste	más popular	most popular
populariteit	popularidad	popularity
populatie	población	population
populaties	poblaciones	populations
pornografie	pornografía	pornography
port	vino de oporto	port
portaal	portal	portal
porto	gastos de envío	porto
portret	retrato	portret
portretten	retratos	portraits
portugal	portugal	portugal
portugees	portugués	portuguese
portugese	portugués	portuguese
portugezen	portugués	portuguese
pos	pos	pos
positie	posición	position
positief	positivo	positive
posities	posiciones	positions
positieve	positivo	positive
post	enviar	post
postuum	después de la muerte	posthumous
poten	piernas	legs
potentieel	potencial	potential
potentiële	potencial	potential
potomac	potomac	potomac
potter	alfarero	potter
power	poder	kracht - 3rd sentence, power - proper noun
poëzie	poesía	poetry
praag	praga	prague
praagse	praga	prague
prachtige	maravilloso	beautiful
