$	dollar təşkil edib	dollars
تنتمي	aiddir	belongs to
تنتهي	bitir	finished
تنخفض	düşmək	drop
تنسيق	format	coordination
تنشأ	qalx	founded
تنص	dövlətlər	provides
تنظم	mütəşəkkil	organizes
تنظيم	tənzimləmə	organization
تنفيذ	i̇cra	execution
تنقسم	bölündü	divided
تنقل	transfer	transmits
تنمو	böyümək	develop
تنمية	i̇nkişaf	development
تنوع	müxtəliflik	variety
تهتم	qayğı verin	care
تهدد	təhdid edir	threaten
تهدف	məqsəd	aims at
تهيمن	üstünlük	dominates
توابل	ləzzət	spices
تواجد	mövcuddur	coexist
تواجه	üz	faces
توازن	balans	balance
توافق	razılaşın	agrees with
توت	mavi	tut
توتونيون	teutonik	teutonians
توجد	var	is present
توجه	i̇stiqamətləndirilib	directed
توجيه	birbaşa	directing
توحيد	standartlaşdırma	unity
توزيع	dağılım	distribution
توسع	genişləndirin	expanding
توسعت	genişlənmişdir	expanded
توسيع	genişləndirin	expanding
توصل	gəlin	reached
توصيل	çatdırılma	connect
توضح	dəqiqləşdirin	explain
توضع	yerləşdirilməlidir	put
توفر	mövcudluq	provide
توفى	öldü	passed away
توفي	öldü	died
توفيت	öldü	timing
توفير	qənaət	provide
توفيق	tovfiq	tawfeek
توقع	gözləmək	predicted
توقف	dayan	stoppage
توقيع	i̇mza	signing
توكيس	tokilər	tukes
تولد	cins	born
تولى	aldı	took position
توليد	yarat	generation
توليه	aldı	coronation
تولّى	götürün	assumed
توما	toma	thomas
توماس	tomas	thomas
تونس	tunis	tunisia
تويوتا	toyota	toyota
تويودا	toyoda	toyota
تي	t	t
تيار	axın	trend
تيارات	axınlar	currents
تيفوس	tif	typhoid
تيمور	timur	timur
تيمية	taymiyyə	timiah
تُشكل	formalaşır	forms
تُظهر	göstərin	appears
تُعتبر	hesab olunur	considered
تُعد	sayır	considered
تُعرف	məlumdur	known
ثابتة	sabitdir	firm
ثار	üsyan	arises
ثالث	üçüncüsü	third
ثاليوم	talium	thallium
ثانوية	orta	secondary
ثاني	i̇kincisi	the second
ثانيا	i̇kincisi	secondly
ثانية	yenə də	second
ثبت	sübut olunmuşdur	confirmed
ثروة	bəxt	fortune
ثقافات	mədəniyyətlər	cultures
ثقافة	mədəniyyət	culture
ثقافي	mədəni	cultural
ثقافية	mədəni	culture
ثقب	bir çuxur	hole
ثقة	güvənlidir	confidence
ثلاث	üç	three
ثلاثة	üç	three
ثلاثية	üçlük	trilogy
ثلاثين	otuzdur	thirty
ثلث	üçüncü	third
ثم	sonra	then
ثمان	səkkiz	eight
ثماني	səkkiz	eight
ثمانية	səkkiz	eight
ثمة	var	some
ثمّ	sonra	hence
ثنائية	dualizm	bilateral
ثور	thor	ox
ثورات	i̇nqilablar	revolutions
ثورة	i̇nqilab	revolution
ثيوديسيا	teodisiya	thudesia
ج	c	c
جاء	gəldi	come
جاءت	gəldi	came
جائزة	mükafat	prize
جابر	caber	gaber
جاذبية	cəlbedicidir	attraction
جاسم	jassim	jassim
جاك	cek	jack
جاكسون	cekson	jackson
جالوت	goliath	goliath
جاليليو	qalileo	galileo
جالينوس	galen	galinos
جامع	kolleksiyaçı	mosque
جامعات	universitetlər	universities
جامعة	universitet	university
جان	yanvar	jan
جانب	yan	aside
جانبه	onun tərəfi	his side
جانبي	mənim tərəfim	side
جبال	dağlar	mountains
جبران	cəbran	gibran
جبريل	cəbrail	gabriel
جبلية	dağ	mountainous
جبهة	ön	group
جد	baba	grandfather
جدا	çox	very
جدار	divar	wall
جدال	mübahisə	discussion
جداً	çox	very
جدة	nənə	jeddah
جدد	yeni	new
جدران	divarlar	walls
جدل	mübahisə	discussion
جده	baba	his grandfather
جدول	cədvəl	table
جدوى	faydalı	benefit
جديد	yeni	new
جديدا	yeni	new
جديداً	yeni	new
جديدة	yeni	new
جديدًا	yeni	new
جدير	layiqdir	it should be
جدًا	çox	very
جذب	cazibə	attraction
جذور	köklər	roots
جراء	kukla	by
جرائم	cinayətlər	murders
جرانيت	qranit	granite
جرت	yer aldı	occurred
جرى	qaçır	had place
جريدة	qəzet	newspaper
جزء	hissə	part
جزءا	hissə	apart of
جزءاً	hissə	a part of
جزءًا	hissə	part of
جزئيا	qismən	partial
جزر	adaları	islands
جزيئات	molekullar	particles
جزيرة	bir ada	island
جساس	casus	gessas
جسد	bədən	body
جسده	bədəni	his body
جسدها	bədəni	its body
جسر	körpü	bridge
جسم	bədən	body
جسمه	bədəni	his body
جسيمات	parçalar	particles
جعفر	cəfər	gafar
جعل	etmək	push on
جعلت	edilib	caused
جعله	düzəldin	made him
جعلها	düzəldin	made her
جغرافيا	coğrafi cəhətdən	geographically
جغرافية	coğrafiya	geographical
جفاف	dehidrasyon	drought
جل	gel	most
جلال	cəlal	galal
جلب	alın	bring
جلد	dəri	leather
جلسة	sessiya	council
جماع	qohumluq	sex
جماعات	qruplar	groups
جماعية	kollektiv	collective
جمال	gözəllik	beauty
جمع	kolleksiya	combined
جمعة	cümə	friday
جمعت	toplanmışdır	combined
جمعه	toplayın	week
جمعها	toplanmışdır	collected
جمعية	assosiasiya	the society
جملة	cümlə	within the total
جمهور	tamaşaçılar	majority
جمهوري	azarkeşlərim	republican
جمهورية	respublika	republic
جميع	hamısı	all
جميعا	hamısı	all
جميعاً	hamısı	all
جميعًا	hamısı	all
جميل	gözəldir	beautiful
جميلة	gözəldir	gamila
جناح	suite	wing
جنب	yan	attraction
جندي	əsgər	soldier
جنس	seks	sex
جنسي	seksual	sexual
جنسية	milliyyət	sexual
جنطيانية	gentianizm	heavenly
جنكيز	çingiz	genghis
جنو	gnu	gnu
جنوب	cənub	and south
جنوبا	cənub	southern
جنوبي	cənub	southern
جنوبًا	cənub	to the south
جنود	əsgərlər	soldiers
جنوده	əsgərləri	soldiers
جهات	təyinatlar	views
جهاد	cihad	gehad
جهاز	cihaz	department
جهة	əl	side
جهد	çalışın	effort
جهود	səylər	efforts
جو	joe	go
جوائز	mükafatlar	prizes
جواز	pasport	marriage
جوانب	aspektlər	aspects
جواهر	zərgərlər	jawaher
جوجل	google	google
جودة	keyfiyyətlidir	quality
جورج	george	george
جورجيا	gürcüstan	georgia
جورجيون	gürcülər	georgeon
جوزيف	yusif	joseph
جولة	dəyirmi	round
جون	john	john
جوهر	əsası	"literally translates to ""jewel"" but this is a name"
جوي	joey	aerial
جوية	hava	aerial
جي	ing	g
جيبوتي	cibuti	djibouti
جيجابت	gigabit	gega
جيد	yaxsi	good
جيدا	yaxşı	good
جيداً	yaxşı	good
جيدة	yaxsi	good
جيش	bir ordu	army
جيشه	onun ordusu	his army
جيشًا	bir ordu	an army
جيفارا	guevara	guevara
جيل	nəsil	generation
جيمس	james	james
جين	jane	gene
جينات	genlər	genes
جيوش	silahlar	armies
حائط	divar	wall
حائل	dolu	ha'el
حاتم	hatəm	hatem
حاجة	ehtiyac var	need
حادة	kəskin	sharp
حادث	qəza	event
حادثة	qəza	accident
حار	i̇sti	hot
حارب	döyüşdü	fought
حارة	zolaq	quarter
حاز	var	got
حاسوب	bir kompüter	computer
حافة	kənar	edge
حافظ	hafiz	hafez
حافظت	saxlanılır	maintained
حال	vəziyyəti	case
حالات	davalar	cases
حالب	ureter	milker
حالة	vəziyyəti	case
حالته	vəziyyəti	status
حاليا	hal hazırda	now
حالياً	hal hazırda	current
حاليًا	hal hazırda	currently
حامد	hamed	hamed
حامل	hamilə	carrier
حاول	çalışın	tried
حاولت	çalışdım	tried
حب	sevgi	hab
حبيب	sevgilim	habeeb
حبيبي	sevgim	my beloved
حتى	hətta	till
حتي	hətta	even
حجة	mübahisə	hega
حجر	daş	hagar
حجم	ölçüsü	size
حجما	ölçüdə	size wise
حجمها	ölçüsü	her size
حجوالة	köçürülür	philomachus pugnax
حد	limit	limit
حدائق	bağçalar	gardens
حدة	kəskinlik	serious
حدث	oldu	happen
حدثت	yenilənib	happened
حدثنا	bizə deyin	talked to us
حدد	seçin	locate
حدودها	onun hədləri	borders
حديث	hədis	talk
حديثا	yeni	recently
حديثة	müasir	modern
حديثًا	bu yaxınlarda	recently
حديد	dəmir	iron
حديدية	dəmir	railways
حديقة	bağça	garden
حراء	hira	name of a cave
حرارة	i̇stilik	temperature
حرارته	onun istiliyi	heat
حرارتها	i̇stiliyi	its temperature
حرام	qadağandır	forbidden
حرب	müharibə	war
حربية	müharibə	military
حرة	pulsuz	free
حرس	mühafizəçi	guards
حرف	xarakter	character
حرق	yanan	combustion
حركات	hərəkətlər	movements
حركة	hərəkət	the movement
حرم	qadağandır	forbid
حروب	müharibələr	wars
حروف	məktub	letters
حرية	azadlıq	freedom
حزام	kəmər	hezam
حزب	tərəf	party
حزم	paketlər	bundle/hazm
حزن	melanxolik	grief
حزيران	i̇yun	june
حساب	hesab	calculation
حسابات	hesablar	accounts
حساسة	həssasdır	sensitive
حسان	həsəni	hassan
حسب	görə	depends
حسن	tamam	hassan
حسنة	tamam	good
حسني	hüsni	husni
حسين	hüseyn	hussein
حشد	camaat	crowed
حشرات	həşəratlar	insects
حشيشة	həşiş	hashish
حصار	blokada	seige
حصة	paylaşın	hosa
حصدت	məhsul yığılmışdır	won
حصل	götürdüm	happened
حصلت	götürdüm	got
حصن	qala	fort
حصول	get	acquiring
حضارات	sivilizasiyalar	السماح بالكتابة بحسب النطق الصوتي civilizations
حضارة	sivilizasiya	civilization
حضر	qatıldı	come to
حضور	i̇ştirak edin	presence
حطين	hittin	heteen
حظر	ban	prohibit
حفر	qazma	dig
حفظ	saxla	keeping
حفل	bir tərəf	festival
حق	düzdür	the right
حقائق	faktlar	facts
حقبة	dövr	era
حقق	əldə edildi	achieved
حققت	əldə edildi	have achieved
حقل	sahə	field
حقه	onun haqqı	his right
حقوق	hüquqlar	rights
حقول	sahələr	fields
حقيقة	bir fakt	fact
حقيقي	real	real
حقيقية	real	real
حكام	hökmdarlar	kings
حكايات	nağıllar	stories
حكاية	lətifə	story
حكم	qayda	judge
حكمة	hikmət	wisedom
حكمت	hökm etdi	lead
حكمه	onun hikməti	his ruling
حكمها	onun qaydası	its rule
حكمهم	onların qaydası	leading
حكومات	hökumətlər	governments
حكومة	hökumət	government
حكومي	hökümət	governmental
حكومية	hökümət	governmental
حكيم	müdrik	hakim
حلال	halal	righteous
حلب	hələb	aleppo
حلت	dağıldı	replaced
حلف	and içmək	alliance
حلقات	epizodlar	circles
حلقة	epizod	episode
حلمي	xəyalım	helmy
حلول	çözümlər	solutions
حلويات	şirniyyatlar	deserts
حماة	qoruyucular	hama
حماد	həmməd	hammad
حماس	həvəs	hamas
حماية	qoruma	protection
حمد	həməd	thanked (verb), hamad (proper noun)
حمدان	həmdan	hamdan
حمدي	həmdi	hamdy
حمراء	qırmızı	red
حمزة	həmzə	hamza
حمص	xumus	hams
حمض	turşu	acid
حمل	yükləyin	carrying
حملات	kampaniyalar	campaigns
حملة	kampaniya	campaign
حملت	yüklədim	carried the
حملته	onun kampaniyası	his compaign
حمير	eşşəklər	donkeys
حنا	hanna	when
حنبعل	hannibal	hanipal
حنبل	hənbəl	hanbal
حنك	damaq	palate
حنيفة	hənifə	hanifa
حنين	özəllik	honine
حواء	həvva	eve
حوادث	qəzalar	accidents
حوار	dialoq	discussion
حوالي	haqqında	about
حوذانية	kərə yağı	flora
حوض	hövzə	basin
حول	haqqında	around
حوله	ətrafında	around him
حولها	ətrafında	around it
حي	qonşuluq	neighborhood
حياة	həyat	life
حياته	həyatı	his life
حياتها	onun həyatı	her life
حياتهم	həyatları	their lives
حياتي	həyatım	my life
حيان	hayyan	hayan
حية	canlı	alive
حيث	harada	where
حيفا	hayfa	haifa
حين	hələ	when
حينما	nə vaxtsa	when
حينها	geriyə	by then
حيوان	heyvan	animal
حيوانات	heyvanlar	animals
حيوانية	heyvan	animal
حيوية	enerjili	active
خابية	keş	cache
خادم	xidmətçi	servant
خارجي	xarici	outsider
خارجية	xarici	external
خاص	xüsusi	specific
خاصا	xüsusi olaraq	special
خاصة	xüsusilə	specially
خاصةً	xüsusilə	specially
خاصية	mülkiyyət	property
خاض	döyüşdü	fought
خاضعة	mövzu	is subject
خالد	xalid	khaled
خالص	səmimi	pure
خالية	boş	empty
خام	xam	crude
خان	xan	khan
ختان	sünnət	circumcision
خدمات	xidmətlər	services
خدمة	xidmət	service
خديجة	xədicə	khadiga
خرائط	xəritələr	maps
خراسان	xorasan	greater khorasan
خرج	çıxdı	turned on him
خرجت	çıxdı	got out
خرجوا	çıxdılar	took with them
خروج	çıx	go out
خريطة	xəritə	map
خزيمة	məğlubiyyət	khozima
خسائر	zərərlər	losses
خسارة	zərər	loss
خسر	i̇tirildi	lost
خصائص	xüsusiyyətlər	characteristics
خصبة	bərəkətli	fertile
خصوصا	xüsusilə	especially
خصوصاً	xüsusilə	especially
خصوصًا	xüsusilə	especially
خصومه	rəqibləri	his opponents
خضراء	yaşıl	green
خضع	altından keçdi	subdue
خضعت	keçirmişəm	underwent
خط	küçə	line
خطأ	səhv	mistake
خطاب	bir məktub	speech
خطبة	xütbə	speech
خطة	plan	plan
خطر	təhlükə	danger
خطط	planlar	plans
خطف	qaçırıldı	kidnapping
خطوة	addım	step
خطورة	ciddilik	seriousness
خطوط	xətlər	lines
خطيرة	ciddi	dangerous
خفض	kəsmək	minimize
خفيف	i̇şıq	light
خفيفة	i̇şıq	light
خلاف	razılıq	disagreement
خلافته	ardıcıllığı	succeed him
خلال	zamanı	during
خلاله	bu müddət ərzində	through it
خلالها	bu müddət ərzində	through it
خلايا	hüceyrələr	cells
خلدون	xaldoun	khaldoun
خلع	götür	take off
خلف	arxada	followed
خلفاء	uğur qazananlar	caliphs
خلفه	onun arxasında	followed him
خلفها	qalan	behind it
خلفية	ümumi məlumat	on the basis
خلقه	onun yaradılması	his creation
خلل	çırpın	fault
خلنجية	heather	ericaceae
خلية	hüceyrə	cell
خليج	körfəz	gulf
خليط	qarışıq	mix
خليفة	xəlifə	caliph
خليل	xəlil	khalil
خمس	beş	five
خمسة	beş	five
خمسين	əlli	fifty
خوان	juan	juan
خوسيه	xose	jose
خوف	qorxu	dear
خوفو	xufu	kofo (name)
خياطة	dikiş	sewing
خيبر	xayber	khaybar
خير	yaxsi	good
د	dr.	d
دا	s	da
داء	xəstəlik	disease
دائرة	dairə	party
دائرية	dairəvi	limits / boundary
دائم	daimi	permanent
دائما	həmişə	always
دائماً	həmişə	always
دائمة	daimi	permanent
دائمًا	həmişə	always
داخل	i̇çəridə	inside
داخلي	daxili	internal
داخلية	daxili	internal
دار	ev	home
دارت	dart	happened
داروين	darvin	darwin
دام	davam etdi	last
دامت	nə qədər ki	continued as
داود	davud	david
داوود	davud	dawood
دبلوماسية	diplomatiya	diplomatic
دبي	dubay	dubai
دجلة	dəclə	tigris
دخل	girdi	established
دخلت	girdim	entered
دخول	giriş	ingress
دخوله	daxil olur	entry
دراسات	tədqiqatlar	studies
دراسته	öyrən	his studies
دراسية	tədqiqat	educational
دراما	dram	drama
درب	cığır	street
درجات	dərəcələr	degrees
درجة	dərəcəsi	degree
درس	oxudu	study
درع	qalxan	armor
درهم	aed	dirham
دروس	dərslər	lessons
درويش	dərviş	darweesh
دريد	duraid	duraid (name)
دستور	konstitusiya	constitution
دستوري	konstitusiya	constitutional
دستورية	konstitusiya	constitutional
دعا	çağırıldı	promoted
دعاء	bir dua	prayer
دعت	çağırdı	called
دعم	dəstək	support
دعوة	dəvət	invitation
دعوته	çağırışı	his call
دعى	çağırdı	called for
دفع	ödəyin	push
دفعة	toplu	push
دفعت	ödənişlidir	pushed
دفن	dəfn olundu	burial
دقائق	dəqiqələr	minutes
دقة	dəqiqlik	accuracy
دقيق	diqqətli	accurate
دقيقة	dəqiqələr	accurate
دلائل	rəhbərlər	evidence
دلالة	connotation	significance
دلتا	delta	delta
دليل	sübut	index
دم	qan	blood
دمج	birləşmə	consolidate
دمرت	məhv edildi	destroyed
دمشق	şam	damascus
دمياط	damietta	damietta
دنيا	dunya	low
دو	du	do
دوائر	dairələr	circles
دور	rolu	cinemas
دورا	bir rol	role
دورات	kurslar	sessions
دوران	dövriyyə	flow
دوراً	bir rol	role
دورة	dövrə	cycle
دوره	onun növbəsi	his role
دورها	onun rolu	its role
دوري	dönüşüm	league
دورية	patrul	periodic
دورًا	bir rol	role
دول	dövlətlər	countries
دولار	dollar	dollar
دولة	dövlət	country
دولته	ölkəsi	his country
دولتهم	onların vəziyyəti	their state
دولتين	i̇ki dövlət	two countries
دولي	beynəlxalq	international
دولياً	beynəlxalq	internationally
دولية	beynəlxalq	international
دون	olmadan	other than
دياب	diab	diab
ديانة	din	religion
دير	monastır	deere
ديزني	disney	disney
ديسمبر	dekabr	december
ديفنباخيا	devenpachia	deenbagh
ديفيد	davud	david
ديل	dell	del
ديمقراطية	demokratiya	democratic
دين	din	religion
دينار	jd	dinar
ديناصور	dinozavr	dinosaur
دينه	dini	his religion
دينهم	onların dini	their religion
ديني	dinim	religious
دينية	dini	religious
دينًا	din	religion
ديوان	diwan	divan
ذا	the	with
ذات	əlaqəli	for which
ذاته	eyni	itself
ذاتها	özü	itself
ذاتي	subyektiv olaraq	personal
ذاتية	subyektivdir	personal
ذاك	bu	this
ذاكرة	yaddaş	memory
ذرات	atomlar	atoms
ذروة	klimaks	climax
ذروتها	klimaks	peak
ذرية	nəsillər	progeny
ذكر	kişi	citing
ذكره	dedi	said
ذكرها	zikr et	mentioned
ذكرى	zikr	memory
ذكور	kişi	males
ذلك	bu	this
ذهب	getdi	gold
ذهبية	qızıl	golden
ذو	bitdi	whose
ذوات	qadınlar	with
ذوي	i̇lə	those with
ذي	bitdi	zi
ذُكر	qeyd edildi	said
رآه	görün	he saw
رأت	gördü	see
رأس	baş	ras
رأسه	başı	his head
رأسها	başı	its head
رأسهم	başları	their head
رأى	gördü	see
رأي	rəy	opinion
رأيت	gördüm	i saw
رأيه	onun fikri	his opinion
رؤساء	başlar	presidents
رؤوس	başlıqlar	heads
رؤيا	görmə	dream
رؤية	baxın	the vision
رؤيتها	baxın	seeing
رئاسة	prezidentlik	the presidential
رئيس	baş	head
رئيسا	prezident olaraq	president
رئيساً	prezident olaraq	president
رئيسة	sədr	prime
رئيسيا	mayor	president
رئيسياً	əsasən	major
رئيسية	mayor	main
رئيسيين	mayor	main
رئيسًا	prezident	president
رائحة	qoxu	smell
رائد	mayor	pioneer
رائدة	pioner	pioneer
رائعة	gözəldir	wonderful
رابط	bağlantı	link
رابطة	assosiasiya	association
رابع	dördüncüsü	4th
راجع	baxın	because
راشد	rəşid	rashed
رام	ram	ram (name)
راية	pankart	flag
رب	lord	patriarch
ربط	qoşulun	link
ربع	dörddə bir	quarter
ربما	bəlkə də	maybe
ربه	lord	rabo (his god)
ربيع	bahar	march
ربيعة	rabia	rabia
رتب	təyin et	sort
رتبة	reytinq	rank
رجال	kişilər	man
رجاله	adamları	his men
رجب	rəcəb	(the lunar month) rajab
رجع	geri gəldi	came back
رجل	bir kişi	man
رجلا	bir kişi	a man
رجلاً	bir kişi	man
رجليها	ayaqları	her legs
رجم	daşlandı	lapidate
رحل	getdi	passed away
رحلات	səyahətlər	trips
رحلة	uçuş	journey
رحلته	uçuşu	his trip
ردود	cavablar	reactions
رسائل	mesajlar	letters
رسالة	mesaj	a message
رسالته	onun mesajı	message
رستم	rüstəm	rustam
رسم	rəsm	drawing
رسمها	çəkilib	drawn
رسمي	formal	official
رسميا	rəsmi olaraq	officially
رسمياً	rəsmi olaraq	officially
رسميًا	rəsmi olaraq	officially
رسول	rəsul	prophet
رسوم	haqqı	drawings / fees
رشد	yetkinlik	roshd
رشيد	rəşid	rasheed
رصد	monitor	observation
رضا	məmnuniyyət	reda
رضي	razıdır	bless
رعاف	burun bağları	bleeding
رعاية	qayğı verin	care
رعد	güldür	thunder
رغبة	arzu	desire
رغم	hərçənd	even
رفض	rədd etdi	rejection
رفضت	rədd etdi	refused
رفضه	rədd etdi	rejection
رفع	qaldır	removing
رفعت	gül	raised
رفيعة	zərif	high
رفيق	yoldaş	rafeeq
رقعة	yamaq	el rokaa
رقم	xeyr	number
رقيقة	i̇ncə	thin
ركام	söküntü	aggregates
ركن	künc	corner
رمزا	bir simvol	a symbol
رمزية	simvolizm	symbolic
رمسيس	ramses	ramses
رمضان	ramazan	ramadan
رموز	rəmzlər	symbols
رمي	atmaq	throwing
روابط	links	links
رواد	pionerlər	the leaders
رواه	rəvayət etdi	narrated by
روايات	romanlar	novels
رواية	bir roman	novel
روبرت	robert	robert
روثينيوم	rutenium	ruthenium
روح	ruh	the spirit of
روس	ross	russian
روستوك	rostok	rostock
روسو	russo	rosso
روسيا	rusiya	russia
روما	roma	rome
رومانيا	rumıniya	romania
رومانية	rumın	romanian
رونالدو	ronaldo	ronaldo
روى	rəvayət edilmişdir	told
روي	roy	on
رياح	küləklər	riah
رياض	riad	kindergarten
رياضة	i̇dman	sport
رياضية	atletik	sportive
ريال	real	real
ريتشارد	riçard	richard
ريشة	lələk	feather
ريكشا	riksha	rekcha
ريولوجيا	reoloji	urology
زاد	artıb	increase
زادت	artıb	has increased
زار	ziyarət etdi	visited
زال	hələ də	still
زالت	hələ də	still
زاوية	bucaq	corner
زايد	zayed	zayed
زحف	tarama	encroachment
زحل	saturn	saturn
زراعة	əkin	cultivation
زراعية	kənd təsərrüfatı	agricultural
زرع	döşəmə	plantation
زرنيخيد	arsenide	arsenic
زعامة	rəhbərlik	leadership
زعماء	liderlər	leaders
زعيم	lider	the leader
زغلول	zağloul	zaghloul
زكريا	zəkəriyyə	zakeria
زكي	zəki	zaki
زلزال	zəlzələ	earthquake
زمان	vaxt	era
زمانه	vaxtı	his time
زمن	vaxt	era
زمني	xronoloji	time
زمنية	vaxt	time
زنكي	sink	zinki
زهرة	çiçək	flower
زواج	evlilik	marriage
زواجه	evliliyi	his marriage
زوال	yoxa çıxma	end
زوج	ər	husband
زوجات	arvadlar	wives
زوجاته	arvadları	his wives
زوجة	arvad	wife
زوجته	həyat yoldaşı	his wife
زوجها	əri	her husband
زوكربيرج	zukerberq	zuckerberg
زياد	ziyad	ziad
زيادة	artırmaq	increase
زيارة	ziyarət edin	visit
زيت	yağ	oil
زيد	zaid	zaid
زيدان	zidane	zaidan
زين	zain	zain
زينب	zeynəb	zainab
س	q.	s
سأل	- deyə soruşdu	ask
سؤال	bir sual	question
سائر	digərləri	other
سائل	bir maye	lequid
سابق	əvvəlki	previous
سابقا	əvvəllər	previously
سابقاً	əvvəllər	previously
سابقة	əvvəlcədən	precedent
سابقًا	əvvəllər	previously
ساحة	həyət	yard
ساحل	sahil	coast
ساحلية	sahil	coastal
سار	zövqlü	walked
ساراكينوس	saracenus	sarrasins
سارة	sarah	sarah
ساعات	saatlar	hours
ساعة	saatlar	watch
ساعد	kömək etdi	helped
ساعدت	kömək etdi	helped
سافر	səyahət etdi	traveled
سالم	salem	salem
سامي	sami	sami
سامية	əla	semitic
سان	san	san
سانت	müqəddəs	saint
ساهم	töhfə verilmişdir	contributed
ساهمت	töhfə verilmişdir	participated
سبأ	şeba	saba'a
سباق	yarış	race
سباقات	yarışlar	races
سبب	səbəb	reason
سببا	bir səbəb	reason
سبتمبر	sentyabr	september
سبحانه	ona pakdır	almighty
سبع	yeddi	sevens
سبعة	yeddi	seven
سبعين	yetmiş	seventieth
سبق	onsuz da	the above
سبقت	qaçın	preceeded
سبيس	myspace	(my) space
سبيل	yol	way
ست	altı	six
ستالين	stalin	staline
ستة	altı	six
ستكون	olacaq	will be
ستيرول	sterol	stirol
ستين	altmış	sixty
سجل	qeydiyyatdan keçin	record
سجن	həbsxana	imprison
سحابة	bulud	cloud
سحب	çəkin	withdrawal
سد	baraj	dam
سدة	plug	spot
سر	gizli	secret
سراح	sərbəst buraxıldı	release
سرطان	xərçəng	cancer
سرعان	tezliklə	how quickly
سرعة	sürət	speed
سرقة	oğurluq	theft
سرو	cypress	fir
سري	gizli	confidential
سرية	gizli	secret
سريع	tez	fast
سريعة	tez	rapid
سريعًا	tez	fast
سطح	səthi	roof
سطحه	səthi	its surface
سطحها	səthi	it's surface
سعاد	souad	souad
سعت	axtardım	sought
سعر	qiyməti	price
سعود	səud	soud
سعودي	səudiyyə	saudi
سعودية	səudiyyə	saudi
سعوديون	səudilər	saudis
سعى	i̇stədi	sought
سعيد	xoşbəxt	happy
سفر	səyahət	travel
سفن	gəmilər	ships
سفيان	sufyan	sofian
سفينة	gəmi	ship
سقراط	sokrat	socrates
سقط	düşdü	fell
سقطت	düşdü	failed
سقوط	düşmək	raining
سكان	sakinlər	inhabitants
سكانديوم	skandium	scandium
سكانها	əhalisi	its inhabitance
سكانية	əhali	residential
سكة	dəmir yolu	seka
سكر	şəkər	sugar
سكك	reylər	ways
سكن	yaşayış yeri	residence
سلاح	silah	weapon
سلاسل	zəncirlər	chains
سلاطين	sultanlar	sultans / kings
سلالات	suşlar	species
سلالة	gərginləşdirin	strain
سلام	barış	peace
سلامة	təhlükəsizlik	safety
سلبية	mənfi	passive
سلسلة	seriya	chain
سلطات	səlahiyyətlər	authorities
سلطان	sultan	sultan
سلطة	hakimiyyət	authority
سلطنة	sultanlıq	sultanate
سلف	atası	preceded
سلفوناميد	sülfonamid	sulfonamide
سلم	nemətlər	ladder
سلمان	salman	salman
سلمة	salamə	salama
سلمية	dinc	peaceful
سلوك	davranış	behaviour
سليم	səlim	selim
سليمان	süleyman	suliman
سم	cm	cm
سمات	xüsusiyyətlər	characteristic
سماه	çağırdı	named
سمة	xüsusiyyət	characteristic
سمح	i̇cazəli	allowed
سمحت	i̇cazəli	permitted
سمع	eşitdi	heard
سمعت	eşitdim	heard
سمك	qalınlığı	fish
سمي	zəhərli	named
سميت	adı çəkildi	named
سمير	sameer	samir
سن	yaş	dent
سنان	sinan	sinan
سنة	i̇l	year
سنتين	i̇ki il	two years
سنغافورة	sinqapur	singapore
سنن	sunan	rules
سنه	bir il	age
سنوات	i̇llər	years
سنويا	hər il	annually
سنوياً	hər il	yearly
سنوية	i̇llik	annual
سنويًا	hər il	yearly
سنين	i̇llər	years
سهل	asandır	plane
سهول	düzənliklər	plains
سهولة	rahatlıq	ease
سهيل	suhail	suhail
سوء	xəstə	bad
سواء	ya da	same
سواحل	sahillər	coasts
سوداء	qara	black
سور	sur	wall
سورة	surə	sura
سوري	suriyalı	syrian
سوريا	suriya	syria
سورية	suriya	syrian
سوف	olacaq	sawef
سوق	bazar	store
سومطرة	sumatra	sumatra
سوى	i̇stisna olmaqla	only
سويسرا	i̇sveçrə	switzerland
سي	c.	c
سيئة	pis	bad
سياحة	turizm	tourism
سياحية	turist	tourist
سيادة	üstünlük	domination
سيارات	avtomobil	cars
سيارة	bir maşın	car
سياسات	siyasətlər	politics
سياسة	siyasət	policy
سياسي	siyasi	political
سياسيا	siyasi cəhətdən	politically
سياسية	siyasi	policy
سياق	məzmun	context
سيتم	olacaq	will be implemented
سيتي	şəhər	city
سيد	cənab	master
سيدة	xanım	lady
سيدي	ağam	sidi
سير	gəzmək	sir
سيرة	tərcümeyi-hal	biography
سيرته	tərcümeyi-halı	his biography
سيطر	nəzarətə alın	dominate
سيطرة	nəzarət	control
سيطرت	nəzarət aldı	dominate
سيطرتها	onun nəzarəti	control
سيف	qılınc	sword
سيفه	qılıncı	his sword
سيكلامين	siklamen	seklamen
سيكون	olacaq	will be
سيلينيوم	selen	selenium
سيما	xüsusilə	particularly
سيناء	sinay	sinai
شأن	materiya	value
شأنه	kaş ki	his concern
شأنها	kimi	regarding
شؤون	i̇şlər	affairs
شئون	i̇şlər	matters
شاء	i̇stək	willing
شائع	ümumi	common
شائعة	ümumi	popular
شارع	küçə	street
شارك	paylaşın	participated
شاركت	i̇ştirak etdim	participated
شارل	çarlz	charles
شاسعة	geniş	wide
شاش	duz	dressing
شاطئ	çimərlik	shore
