$ tỉ	$ mil millones	$ billion
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indio	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonesia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	informacion	info
innsbruck	innsbruck	innsbruck
insulin	insulina	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	irán	the nation of iran
iraq	iraq	iraq
ireland	irlanda	ireland
irgun	irgun	irgun
irony	ironía	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israelí	israeli
istanbul	estambul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanio	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	ene	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japón	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jaspe	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jersey	jersey
jerusalem	jerusalén	jerusalem
jesse	jesse	a name
jesus	jesus	chua jesus
jetstar	jetstar	jetstar
jewish	judío	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburgo	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	articulación	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	saltar	jump
june	junio	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potasio	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	cachemira	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	cáucaso	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	helado	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	declaración	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	anhidro	rare
khang	khang	khang
khanh	khanh	khanh
khao	anhelo	desire
khay	bandeja	tray
khe	ranura	chink
khem	khem	abstinence
khen	cumplido	praise
kheo	sobre pilotes	kheo
khi	cuando	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	modesto	khiem
khiên	escudo	a shield
khiêu	erotico	"('khiêu dâm"") pornographic"
khiếm	deteriorado	lack
khiến	causa	control
khiếp	aterrorizado	horrible
khiếu	alojamiento	talent (n.)
khiển	control	control
khleang	khleang	kh'leang
kho	almacén	warehouse
khoa	facultad	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	taladro	drill
khoang	cavidad	brag
khoanh	sonar	a slice (n.)
khoe	presumir	to boast
khoá	cerradura	lock
khoác	abrigo	coat
khoán	stock	stock
khoáng	mineral	mineral
khoát	definitivo	decisive
khoét	cortar	carve
khoăn	traste	disturbed
khoả	desnudo	naked
khoản	artículo	an item (n.)
khoảng	aprox.	about
khoảnh	momentos	moment
khoẻ	bien	health
khrushchev	jruschov	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	cuartos	section
khung	marco	frame
khural	khural	khural
khuynh	izquierda	trend
khuyên	consejo	advise
khuyết	defectuoso	lack
khuyển	perro	khuyen
khuất	escondido	hidden
khuấy	remover	stir
khuẩn	bacterias	bacteria
khuếch	amplificar	amplification
khuỷu	codo	elbow
khá	bonita	quite
khác	otro	different
khách	invitados	customer
khái	conceptual	concept
khám	examen	discover
khán	la audiencia	audience
kháng	resistencia	appeal
khánh	independencia	a type of chime made of stone (n.)
khát	sediento	to be thirsty for (adj.)
khâm	khâm	admire
khèn	alas	a pan-pipe (n.)
khéo	ingenioso	cleverly or skillfully (adv.)
khép	cerrado	close
khía	muesca	"(term should be ""khía cạnh"") angle (n.)"
khích	aliento	encourage
khít	apretado	close
khó	duro	difficulty
khóa	cerradura	a session
khóc	llorar	cry
khói	fumar	smoke
khóm	piña	a cluster
khô	seco	dry
khôn	sabio	clever, intelligent
không	no	not
khúc	cancion	song
khăm	travesura	nasty (adj.)
khăn	toalla	difficult
khơi	en alta mar	sea
khư	khư	grip
khưu	khưu	khuu
khước	negar	waive
khả	posibilidad	"(term should be ""khả năng"") ability (n.)"
khải	revelación	triumph
khảm	mosaico	to encrust
khảo	examen	"(term should be ""tham khảo"") to consult (v.)"
khấm	perforado	endure
khấn	rezar	pray
khấu	descuento	"(term should be ""sân khấu"") a stage (n.)"
khẩn	urgente	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	grabado	moment
khắp	por todas partes	all over
khẳng	afirmativa	"(term should be ""khẳng định"") to assert (v.)"
khế	fruta estrella	bond
khỉ	mono	monkey or ape (n.)
khỏa	desnudo	nude
khỏe	bien	health
khỏi	fuera de	leave
khố	taparrabos	loincloths
khốc	nefasto	devastating
khối	bloque	a block or mass of (n.)
khốn	bastardo	miserable
khống	khong	control
khổ	sufrimiento	miserable (adj.)
khổng	gigante	huge
khởi	iniciados	start
khủng	terrible	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastardo	elbow
khứu	pastel	olfactory
khử	eliminar	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	ahi	other
kid	niño	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilómetros	kilometer
kim	aguja	kim
kingdom	reino	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	beso	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	cristo	christian
kiêm	cum	cum
kiên	paciente	consistent
kiêng	abstenerse	abstinence, as in abstaining from eating
kiêu	arrogante	showy
kiếp	toda la vida	a lifetime (n.)
kiết	grillos	cheap (adj.)
kiềm	alcalina	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	comprobar	control
kiểu	tipo	type
kiệm	economico	save
kiện	sue	event (su kien)
kiệt	obra maestra	exhausted (adv.)
kiệu	palanquín	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knéset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	corán	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	corona	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kirguistán	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	adjunto	included
kèn	trompeta	horn
kém	pobre	less
kén	capullo	selective
kéo	tirar	scissors
kép	doble	dual
két	seguro	"(term should be ""rốc két"") rocket (n.)"
kê	mijo	statistics
kênh	canal	channel
kêu	grito	appeal
kìa	he aquí	that
kìm	alicates	bar
kình	gafas	rivalry
kí	señal	sign
kích	haga clic	excite
kíchbom	botón de clic	bombers
kín	privado	secretive or closed tight (adj.)
kính	vidrio	respect
kíp	tripulación	esoterica
kít	kit	wheelbarrow
ký	firmado	"(""nhật ký"") a diary"
kĩ	con cuidado	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	caramelos	candy
kẹp	abrazadera	to clamp down (v.)
kẹt	atrapado	jam
kẻ	chicos	guy
kẻo	no sea	lest
kẽ	intersticial	crevice
kẽm	zinc	zinc
kế	siguiente	a scheme (n.)
kết	fin	combine
kề	adyacente	adjacent
kềnh	voluminoso	bulky
kệ	estantes	ignore
kỉ	siglo	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	caballería	ki
kịp	a tiempo	kip
kỵ	caballería	taboo
kỷ	siglo	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etiqueta	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	híbrido	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	tierra	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	lino	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	vuelta	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	latín	latin
latvia	letonia	(proper noun) latvia
lau	limpiar	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	poner	lay
lazarus	lázaro	(proper noun) lazarus
leach	lixiviación	(proper noun) leach
leaf	hoja	leaf
leave	dejar	leave
lebanon	líbano	(proper noun) lebanon
lee	lee	lee
legacy	legado	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenins	lenin's
leo	escalar	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libia	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	rayo	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	enlaces	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisboa	a name
litva	lituania	(proper noun) lithuania
liu	liu	liu
liêm	integridad	good example
liên	aventurarse	relate
liêng	sagrado	sacred
liêu	burocracia	bureaucracy
liềm	hoz	sickle
liều	dosis	daring
liễu	sauce	a willow tree (n.)
liệng	tirar	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	parálisis	impotent
liệu	crudo	document
lleyton	lleyton	lleyton
lo	lo	to worry (v.)
loa	orador	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	hábil	patchy
loch	lago	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	registro	log
logan	logan	a name
lon	latas	lon
london	londres	london
long	largo	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	luisiana	(proper noun) the state of louisiana
louvre	lumbrera	(proper noun) louvre
love	amor	yeu
loài	especie	species
loát	llamativo	overturn
loãng	delgado	wishy-washy
loét	úlcera	gaping, as in a wound
loại	tipo	type
loạianh	tipo	not a word
loạianime	tipo anime	type anime
loạibệnh	tipo de enfermedad	disease
loạichiến	tipo	loaichien
loạicác	tipo	item
loạicâu	tipo	type: club
loạicông	tipo	type: industry
loạicựu	tipo	kind former
loạigia	tipo	loaigia
loạihuân	kindhuan	not a word
loạiluật	tipo de ley	type: law
loạimáy	tipo de maquina	kind plane
loạimôn	tipo	type
loạingày	escribe esto	loaingay
loạiphim	tipo de pelicula	type movie
loạiphong	tipo	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	tipo de ley	type: lexicon
loạithành	tipo	kinds of payment
loạithần	tipo	kind myth
loạitrường	tipo de escuela	type of school
loạitín	amable	type: belief
loạitổ	tipo	kind organization
loạivõ	tipo de	type: martial art
loạixã	tipo	kind of society
loạn	desorden	disorderly
loạt	serie	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	volver	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	pulmón	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburgo	a name
luy	luy	luy
luyến	apego	love
luyện	practicar	training
luận	comentario	"(term should be ""xã luận"") an editorial"
luật	la ley	law
luồn	roscado	wriggle
luồng	corriente	lane
luộc	hervido	boiled
luỹ	acumulativo	rampart (n.)
ly	ly	divorce
lydia	lydia	lydia
lympho	linfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	es	the verb to be
làm	hacer	make
làn	carril	wave
làng	pueblo	village
lành	curado	protestant
lào	laos	laos
lá	hojas	"(term should be ""lá thư"") a letter (n.)"
lác	entrecerrar los ojos	brag
lách	bazo	to swerve (v.)
lái	conducir	to drive (v.)
lán	choza	shack
láng	suave	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	unicornio	nearby
lâu	largo	long time
lây	contagioso	to infect
lãi	interes	a profit
lãm	muestra	exhibition
lãnh	recibido	to receive
lão	viejo	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	colarse	sneak
lê	peras	le
lêmạc	luz	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	arriba	on
lênh	comando	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	dejar	to leave (v.)
lình	de repente	suddenly
lí	almacenamiento	reason
lính	soldado	soldier
lít	litro	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	horno	release
lòng	aplastar	heart
lóc	cabeza de serpiente	cry
lóe	brilló	flash
lóng	argot	"entire term should be ""tieng long""; means ""slang"""
lót	forro	undies
lô	mucho	batch
lôi	error	encourage
lôn	jajaja	"(term should be ""côn lôn"") a village in vietnam"
lông	pelaje	hair
lõi	núcleo	core
lõm	cóncavo	concave
lùi	al revés	back
lùn	enano	dwarf
lùng	cazar	hunt
lúa	arroz	rice
lúc	a las	at the moment
lún	hundimiento	subside
lúng	llamarada	confused
lúp	lupa	uneven
lút	astuto	surreptitiously
lăm	cinco	tens
lăn	rodando	attack
lăng	mausoleo	tomb
lĩnh	dominios	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	inundación	a band or gang (n.)
lũng	valle	valley
lũy	acumulativo	rampart
lơ	descuido	to ignore
lơi	relajarse	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	incensario	an urn
lưng	volver	back
lươn	anguila	eel
lương	salario	conscience
lưới	rejilla	a net (n.)
lướt	surfear	ski
lười	perezoso	lazy
lưỡi	lengua	tongue
lưỡng	bisexual	"(term should be ""lưỡng tính"") bisexual"
lược	peine	invasion
lượm	recoger	pick up
lượn	deslizarse	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	extraño	strange or unusual (adj.)
lạc	perdido	camel
lạch	arroyo	"(term should be ""luồng lạch"") a narrow water passageway"
lại	de nuevo	reversed
lạn	podrido	bright
lạng	lang	lang
lạp	salchicha	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	postrado	kowtow
lấn	invasión	to encroach on (v.)
lấp	llenar	sparkle
lấy	tomado	taken
lầm	mal	wrong
lần	tiempos	time
lầu	piso	a story or level of a building (n.)
lầy	pantanoso	swamp
lẩu	estofado	hotpot
lẩy	saltar	get
lẫn	confundido	each other
lẫy	pellizcar	illustrious
lận	hacer trampa	fraudulent
lật	voltear	turn
lậy	oh si	"(term should be ""cai lậy"") the name of a rural district"
lắc	agitar	to shake (v.)
lắm	muy	do
lắng	resolver	"(should be ""lo lắ́́ng"") to worry"
lắp	apropiado	lap
lặng	silencioso	quiet
lặp	repetir	repeat
lặt	misceláneo	means miscellaneous, part of the word lat vat
lẹ	rapido	quickly (adv.)
lẻ	extraño	"(the term should be ""bán lẻ"") retail"
lẻn	colarse	sneak
lẻo	flojo	climb
lề	margen	alignment
lều	carpa	tent
lễ	ceremonia	ceremony
lệ	tasa	"(term should be ""tỷ lệ"") probability (n.)"
lệch	sesgar	difference
lệnh	el comando	command
lị	disentería	"(term should be ""tỉnh lị"") a township (n.)"
lịch	calendario	history
lọc	filtro	tricked
lọi	entrecerrar los ojos	brilliant
lọng	sombrillas	rope
lọt	caer	enter
lỏi	pelusa	to enter
lỏng	flojo	loose
lố	sobre	ridiculous
lốc	torbellino	tornado
lối	entrada	way or path
lốp	neumático	tyre
lốt	disfraz	lolot
lồ	gigante	giant
lồi	convexo	convex
lồng	jaula	cage
lỗ	hoyo	hole
lộc	fortuna	loc
lội	vadear	wade
lộn	volteado	wrong/mistake
lộng	hermosa	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	pelar	exploit
lớn	grande	large
lớp	clase	grade (n.)
lờ	ignorar	turbid
lời	palabra	advice
lở	llagas	to crack
lỡ	señorita	miss
lợi	beneficio	benefit
lợn	cerdos	pig
lợp	techado	roof
lụa	seda	silk
lục	verde	record
lụi	quemado	ruin
lụt	inundación	flood
lụy	implicaciones	consequence
lứa	basura	peer
lừa	truco	mislead
lừng	ilustre	well-known
lửng	tejón	lơ lửng= not clear/ something in between
lự	vacilante	reluctant
lựa	seleccionado	chosen
lựu	granada	grenade
ma	fantasma	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	maquiavelo	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	manicomio	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafia	mafia
magiê	magnesio	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	mañana	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	unidad central	mainframe
major	mayor	major
makemake	hacer	makemake
malacca	malacca	malacca
malay	malayo	malaysia
malaysia	malasia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	mancha	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	teniendo	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	mapas	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	puerto deportivo	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	marte	mars
marseille	marsella	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	maría	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	colchoneta	mat
mathematica	mathica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	esteras	mats, as in mats sundin
matthias	matías	matthias, as in matthias erzberger
mau	rapidamente	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maxim	a name
may	coser	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	los medios	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	mensajero	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesías	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	microfono	micro
microbiology	microbiología	microbiology
microeconomics	microeconomía	microeconomics
micronesia	micronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milán	milan
milano	milano	milano
miley	miley	miley
mill	molino	mill
miller	molinero	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	espejismo	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	inadaptados	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnosis	mien
miêu	gato	"(term should be ""miêu tả"") to describe (v.)"
miến	fideos	burma
miếng	piezas	a piece (n.)
miếu	templo	temple
miền	dominio	area
miễn	libre	to exempt (v.)
miện	corona	crown
miệng	boca	mouth
mm	mm	millimeter
mobile	móvil	mobile
mode	modo	mode
modul	módulo	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mahoma	mohammed
moi	nuevo	winkle
molecular	molecular	molecular
molotov	molotov	molotov
molypden	molibdeno	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	muu	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marruecos	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moscú	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	pelicula	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	comprar	buy
much	mucho	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ébano	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	querer	a large number; thousands (adj.)
muối	sal	salt
muốn	quisiera	want
