$ tỉ	مليار دولار	$ billion
mượn	اقترضت	borrow
mượt	على نحو سلس	glossy (adj.)
mạc	الصحراء	"(should be ""mộc mạc"") simple or natural"
mạch	دارة	vessel
mại	التجارة	commerce
mạn	الجانب	romantic
mạnh	قوي	strong
mạo	المقالة	"(should be ""mạo hiểm"") to brave danger"
mạt	العث	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	القبور	tomb or grave (n.)
mải	مشغول	absorbedly
mảng	صفيف	genre
mảnh	قطعة	piece
mất	خسر	lose
mấu	علامة التبويب	key
mấy	قليل	any
mầm	جرثومة	kindergarten
mầu	اللون	color
mẩu	قطعة	piece
mận	الخوخ	plum
mập	سمين	fat
mật	عسل	intimate
mậu	التجارة	mau
mắc	باهظ الثمن	get
mắm	صلصة السمك	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	محظوظ	"(term should be ""may mắn"") fortunate (adj.)"
mắng	تأنيب	scold
mắt	عيون	eye
mặc	البلى	wear
mặn	مالح	salt
mặt	وجه	face
mẹ	أمي	mother (n.)
mẹo	نصائح	trick
mẻ	دفعة	cool
mẽ	قوي	strong
mến	عزيزي	to adore or like greatly (v.)
mề	أحشاء	locket
mềm	ناعم	soft
mệnh	الاسم	revolution
mệt	متعب	tired
mỉ	دقيق	meticulous
mỉa	السخرية	ironic
mỉm	ابتسم	smile
mịch	القرف	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	على نحو سلس	smooth
mịt	شم	dim
mọc	ينمو	to grow (v.)
mọi	كل	every
mọn	تافه	lowly
mỏ	الألغام	mine
mỏi	متعب	tired (adj.)
mỏng	رقيق	thin
mốc	عفن	border
mối	النمل الأبيض	relationship
mốt	بدعة	fashion or style (n.)
mồ	قبر	"(term should be ""mồ hôi"") sweat (n.)"
mồi	طعم	bait (n.)
mổ	الجراحة	to dissect or perform surgery (v.)
mỗi	كل	every
mộ	قبر	admire
mộc	نجارة	simple
mộng	حلم	dream
một	واحد	one
mới	جديد	new (adj.)
mờ	غامض	dim
mời	مدعو	invite
mở	مفتوح	open
mỡ	سمين	fat or grease (n.)
mục	العنصر	purpose
mụn	حب الشباب	pimple
mức	المستوى	level
mứt	مربى	preserve
mừng	سعيد	to be happy
mửa	التقيؤ	to vomit (v.)
mực	حبر	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	المعكرونة	noodles (n.)
mỹ	جيد	america
mỹcông	أمريكا	my private
na	غ	"(term should be ""na uy"") the country of norway"
naadam	ندم	naadam
nacional	وطني	nacional
nagant	نجاة	nagant
nagar	النجار	nagar, as in champa po nagar
nagasaki	ناغازاكي	(proper noun) the city of nagasaki, japan
nagoya	ناغويا	a name
nagumo	ناغومو	nagumo
nai	الغزلان	a deer
nairobi	نيروبي	nairobi, a city in kenya (n.)
nakajima	ناكاجيما	a japanese name
nalbandian	نالبانديان	a name
nam	ذكر	male
nambắc	الشمال	nambac
namibia	ناميبيا	namibia
namnam	نامام	male-male
namno	نامو	nammo
nancy	نانسي	nancy, as in nancy pelosi
nang	كبسولة	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	الأنياب	fang
nano	نانو	nano
naomi	نعومي	naomi, as in model naomi campbell
napoleon	نابليون	(proper noun) napoleon
napoli	نابولي	(proper noun) napoli
napoléon	نابليون	napoleon
nara	نارا	nara
nasa	ناسا	(proper noun) nasa
nat	نات	nat
nathan	ناثان	nathan
natri	الصوديوم	sodium
nauru	ناورو	a name
nava	نافا	nava
navarre	نافار	navarre
nay	الان	this (adj.)
needham	نيدهام	needham
nelson	نيلسون	(proper noun) nelson, as in nelson mandela
neo	مرساة	"(term should be ""mỏ neo"") an anchor (n.)"
neon	نيون	neon
nepal	نيبال	nepal
nepomuk	nepomuk	a name
nessie	نيسي	(noun) nessie, the nickname of the loch ness monster
net	صافي	net
netbook	نتبووك	netbook
netscape	نتسكيب	netscape
networks	شبكات	networks
neumann	نيومان	(proper noun) neumann
neutrino	النيوترينو	neutrino
nevada	نيفادا	nevada
neverland	نيفرلاند	neverland
newcastle	نيوكاسل	newcastle
newspaper	صحيفة	newspaper
newton	نيوتن	newton
newtons	نيوتن	(proper noun) newton's
next	التالي	next
nga	روسيا	russia
ngai	العرش	crown
ngang	أفقي	horizontal
ngao	المحار	clam (n.)
ngay	الآن	even
nghe	سماع	hear
nghinh	نغينه	welcome
nghiêm	بشدة	serious
nghiêng	يميل	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	سحق	crush
nghiễm	شفقة	serious
nghiệm	الخبرة	experiment
nghiện	مدمن	addiction
nghiệp	الكرمة	karma/ sự nghiệp=career
nghiệt	قاتم	adverse
nghành	الصناعة	faculty
nghèo	فقير	poor
nghé	نغي	to glance out of the corner of one's eye (v.)
nghê	نغي	nghe khuong
nghênh	اهلا وسهلا	support
nghìn	الف	thousand
nghĩ	يعتقد	think
nghĩa	المعنى	meaning
nghẽn	احتقان	jam
nghếch	بصوت عال	stupid
nghề	المهنة	career
nghệquận	الفن	art district
nghỉ	استراحة	relaxation
nghị	التوصيات	think
ngo	لذيذ	ngo
ngoan	فتى جيد	good
ngoc	نغوك	"(term should be ""ngọc"") gem (n.)"
ngon	لذيذ	delicious
ngoài	بصرف النظر	outside of
ngoại	أجنبي	external
ngoạn	لالتقاط الأنفاس	spectacular
ngoặc	بين قوسين	bracket
ngoặt	نقطة تحول	landmark
ngu	غبي	stupid
ngung	نغونغ	(proper noun) a vietnamese first name
nguyen	نغوين	nguyen
nguyên	أصلي	reason
nguyền	لعنة	curse
nguyện	نذر	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	القمر	moon
nguôi	مهدئ	fade away
nguồn	المصدر	source
nguời	الناس	people
nguỵ	الحمقى	camouflage
ngà	عاج	russian
ngàn	الف	thousand
ngàng	نغانغ	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	الصناعة	sector
ngào	حلو	sweet
ngày	اليوم	day
ngách	مكانة	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	غبي	chinese ethnic group living in the vietnamese highlands near the china border
ngán	بالملل	to be tired of
ngáng	نغانغ	stop
ngát	الإغماء	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	البنك	money
ngây	فارغ	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	نجاي	ngai
ngò	الكزبرة	coriander
ngó	انظر	to look (v.)
ngói	بلاط	tile or shingle
ngón	الاصبع	a finger (n.)
ngót	انكماش	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	لغة	manifesto
ngông	أوزة	eccentric
ngõ	حارة	lane
ngùi	رائحة	sad
ngút	نجوت	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	حجرة	prevent
ngũ	خمسة	rank
ngơ	تجاهلها	ignored (adj.)
ngơi	استراحة	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	فيشر	fishermen
ngưng	توقف	stop
ngưu	ثور	buffalo
ngươi	انت	an ancient form of address equivalent to thou or thee (n.)
người	الناس	people
ngưỡng	عتبة	religious
ngược	الى الوراء	opposite
ngạc	فوجئت	surprise
ngạch	رتبة	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	البنك	bank
ngạnh	انتقادات لاذعة	self-willed
ngạo	متغطرس	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	الاختناق	stuffy
ngấm	محقون	draw
ngất	الإغماء	unconscious
ngầm	تحت الأرض	underground
ngần	تتردد	hesitate
ngẩn	صعق	froze
ngẫm	تأمل	think
ngẫu	عشوائي	ngẫu nhiên= random
ngậm	معينات	keep
ngập	غمرت	flood
ngắm	يراقب	to contemplate or look admiringly at something (v.)
ngắn	قصير	short
ngặt	ضيق	strict
ngọ	ظهرًا	horse
ngọc	لؤلؤة	pearl
ngọn	قمم	top
ngọt	حلو	sweet (adj.)
ngồi	يجلس	sit
ngộ	التنوير	ngo
ngột	فجأة	sudden
ngớ	سخيف	silly
ngời	الناس	bright
ngỡ	يعتقد	surprised
ngợi	الثناء	praise
ngợm	شقي	naughty
ngục	زنزانة	dungeon
ngụm	رشفة	sip
ngụy	وي	puppet
ngủ	للنوم	sleep
ngủi	قصير	"(should be ""ngắn ngủi"") short-lived"
ngứa	الحكة	itchy
ngừ	التونة	tuna
ngừa	منع	prevent
ngừng	توقف	to cease (v.)
ngửa	مواجهة	supine
ngửi	رائحة	to smell
ngữ	الكلام	term
ngự	يسكن	defend
ngựa	الخيول	horse
ngực	الصدر	chest
nha	طبيب أسنان	dental
nhakẻ	طفل	nha-ke
nham	الحمم البركانية	"(actual term is ""dung nham"") lava"
nhan	نان	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	البخور	incense
nhanh	سريع	fast
nhat	نهات	nhat
nhen	معاد إحياء	rekindle
nhi	أطفال	junior
nhiên	بالطبع	tuy nhiên= however
nhiêu	كثيرا	how many
nhiều	كثيرا	numerous
nhiễm	مصاب	infect
nhiễu	ضجيج	noise
nhiệm	واجب	task
nhiệt	حرارة	heat
nhk	nhk	nhk
nhs	نعم	nhs
nhu	تحتاج	demand
nhuận	الربح	leap year
nhuệ	لا	elite
nhuộm	مصبوغ	dye
nhàn	خامل	leisure
nhàng	بلطف	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	يعجن	to fall headlong
nhác	الركود	coward
nhái	استنساخ	illegal copy
nhánh	فرع	branch
nháp	مسودة	draft
nháy	ومضات	to flash or blink (v.)
nhâm	يحتسي	leap
nhã	لذيذ	"(term should be ""thanh nhã"") elegant"
nhãn	التسمية	"(term should be ""gán nhãn"") to affix a label"
nhét	مطوي	put
nhì	الثانية	second (adj.)
nhìn	انظر	to look (v.)
nhí	الثرثرة	children
nhím	القنفذ	porcupine
nhòm	انظر	to peep (v.)
nhóc	طفل	brat
nhóm	مجموعة	group (n.)
nhô	بارز	emerge
nhôm	ألومنيوم	aluminum (n.)
nhúng	مضمن	embed
nhút	خجول	shy
nhăn	متجعد	wrinkle
nhĩ	الأذيني	turkey
nhũ	مستحلب	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	الفساد	bribery
nhơn	اضرب	nhon
như	مثل	like
nhưng	لكن	but
nhương	اللعاب	(proper noun) vietnamese first name
nhường	العائد	yield
nhưỡng	دهني	soil
nhược	ضعف	weak
nhượng	تنازلات	concession
nhạ	لا	nha
nhạc	موسيقى	music
nhạn	ابتلاع	bird
nhạo	يسخر	ridicule
nhạt	شاحب	light
nhạy	حساس	sensitive
nhảy	ارقص	jump
nhấc	ارفع	lift
nhấm	يحتسي	rodent
nhấn	ملح	to press (v.)
nhất	الأكثر	most
nhầm	خطأ	misunderstand
nhầy	غروي	glutinous
nhẫn	حلقات	patient
nhậm	مختوم	inaugurate
nhập	أدخل	penetrate
nhậu	الشرب	drink
nhậy	حساس	sensitive
nhắc	موجه	to remind (v.)
nhắm	الهدف	aim
nhắn	الرسالة	message
nhằm	تهدف	for the purpose of (adv.)
nhẵn	على نحو سلس	smooth
nhặt	التقطت	pickup
nhẹ	ضوء	light
nhẹn	رشيقة	nhanh nhẹn= fast/nimble
nhị	سداة	sensitive
nhịn	الامتناع	fasting
nhọ	ملطخ	smear
nhọn	وأشار	sharp (adj.)
nhỏ	صغير	small
nhỏ|cây	شجرة صغيرة	small|tree
nhỏ|một	صغير | واحد	small | one
nhỏ|phải|	صغير | يمين |	small|right
nhỏ|phải|px|	صغير | يمين | بكسل |	small | have | px |
nhỏ|phải|px|bức	صغير | يمين | بكسل | صور	grape / fade / px / buc
nhỏ|phải|px|cây	شجرة صغيرة | يمين | بكسل | صغيرة	px spicy grape fade
nhỏ|phải|px|khu	منطقة | يمين | بكسل | صغيرة	small|right|px|area
nhỏ|phải|px|michael	مايكل | يمين | بكسل | صغير	small|right|px|michael
nhỏ|phải|px|máy	آلة | يمين | بكسل | صغير	small | right|px|machine
nhỏ|phải|px|một	صغير | يمين | بكسل | واحد	small|right|px|one
nhỏ|phải|px|quân	صغير | يمين | بكسل | قوة	small|right|px|army
nhỏ|px|	صغير | بكسل |	small
nhỏ|px|các	صغير | بكسل |	small
nhỏ|px|phải|kiến	صغير | بكسل | يمين | نملة	small | px | right | patience
nhỏ|quân	صغير | القوة	small|army
nhỏ|trái|px|máy	آلة صغيرة | يسار | بكسل | صغير	small|left|px|plane
nhỏ|tượng	تماثيل صغيرة	small|statue
nhốt	مغلق	confine
nhồi	محشوة	cram
nhổ	يبصقون	uproot
nhộn	فرحان	busy
nhớ	لنتذكر	remember
nhớt	لزج	viscid
nhờ	شكرا	by
nhờn	دهني	multiplication
nhở	أذكر	remind
nhụ	قرصة	nhu
nhục	إذلال	shame
nhủ	تذكير	needs
nhức	الأوجاع	pain
nhứt	أولاً	first (n.)
nhừ	مثل	tender
những	هذه	the
nhựa	بلاستيك	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ني	nun
nia	نيا	a flat basket (n.)
nicaea	نيقية	nicaea
nicaragua	نيكاراغوا	(proper noun) nicaragua
niccolò	نيكولو	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	نيكولاس	(proper noun) nicolas, as in nicolas sarkozy
niels	نيلز	(proper noun) niels
nigeria	نيجيريا	nigeria
nikel	نيكل	nickel
niken	النيكل	nickel
nikita	نيكيتا	(proper noun) nikita, a first name
nikko	نيكو	(proper noun) nikko
nikolai	نيكولاي	nikolai
nikolayevich	نيكولايفيتش	nikolayevich
nil	لا شيء	nile
nile	النيل	(proper noun) the river nile
nimitz	نيميتز	(proper noun) nimitz, as in the ship uss nimitz
nin	نين	nin
ninh	الأمن	ninh, as in bắc ninh
nintendo	نينتندو	(proper noun) nintendo, the game company
nippon	نيبون	nippon
nitơ	النيتروجين	nitrogen (n.)
nixon	نيكسون	(proper noun) nixon, as in former president richard nixon
niên	عام	youth
niết	نيت	nirvana
niềm	متعة	trust
niệm	اليقظه	concept
niệu	إدرار البول	urinary
nj	نايج	nj
nlf	nlf	nlf
nm	نانومتر	nano-meters
noah	نوح	(proper noun) noah
nobel	نوبل	nobel
nobita	نوبيتا	nobita
noel	نويل	(proper noun) noel
noi	يقول	imitate
nokia	نوكيا	(proper noun) nokia, as in the nokia corporation
nol	نول	nol
nom	اسم	look after
non	الشباب	mountain
nonpenetrative	غير قابل للاختراق	nonpenetrative
norfolk	نورفولك	norfolk
norge	نورجي	norge
norma	نورما	(proper noun) norma, a female first name
norman	نورمان	norman
normandie	نورماندي	normandile
northrop	نورثروب	northrop, as in the northrop f-5 freedom fighter
norton	نورتون	norton
norway	النرويج	norway
nou	نو	nou
novak	نوفاك	novak
now	الان	now
nowc	nowc	nowc
noãn	البويضة	ovule
nsnd	nsnd	people's artist
nst	أول	chromosome
nubia	النوبة	nubia
number	رقم	number
nupedia	nupedia	a name
nusa	نوسا	nusa
nuôi	إطعام	feed
nuối	ابتلاع	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	ابتلاع	to swallow (v.)
nuớc	الماء	water
nxb	nxb	publisher
nynorsk	نينورسك	nynorsk
nà	لا	na
nài	تصر	pleading
nàn	اشتكى	poor
nành	الصويا	soy
nào	هيا	would
này	هذا	this
ná	لا	a crossbow (n.)
nách	الإبطين	underarm (n.)
náo	صاخب	riot
nát	سحق	ruin
náu	إخفاء	hide
nâng	رفع	raise
nâu	بني	brown
nã	لا	to track down (v.)
não	الدماغ	brain
né	تجنب	dodge
ném	رمي	to throw (v.)
nén	مضغوط	compress
nét	السكتات الدماغية	feature
nê	ني	ne
nên	يجب	should or ought to
nêu	ذكر	mention
nòi	العرق	race
nòng	ماسورة	barrel
nói	قال	to say or speak (v.)
nón	القبعات	cone
nóng	حار	hot
nô	عبد	slave
nôbita	توبيتا	nobita
nôi	سرير أطفال	cradle
nôm	لا	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	التقيؤ	vomit
nông	ضحلة	farmer
nõn	تقشير	peeled
nùng	نونغ	nung
núm	مقبض	nipple
núp	غطاء	hide
nút	زر	button
năm	عام	year
năn	التائب	"(term should be ""ăn năn"") remorse (n.)"
năng	القوة	"(term should be ""khả năng"") ability (n.)"
nơi	مكان	a place
nơtrino	neutino	neutrino
nước	الماء	country
nước 	الماء	water
nướng	خبز	grill
nǎm	لا	year
nạ	قناع	mask
nạc	هزيل	lean (adj.)
nại	يشكو	complain
nạn	محنة	a disaster (n.)
nạo	كحت	to scrape (v.)
nạp	محمل	tribute
nản	محبط	depressed
nảy	كذاب	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	زوبعة	a hiccup (n.)
nấp	إخفاء	hide
nấu	طبخ	cook
nấy	هذا	this
nần	دفع	debt
nầy	هذا	this
nẩy	كذاب	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	ن الشمس	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	نام	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	حار	busy
nắm	فهم	to grasp or hold (v.)
nắng	مشمس	sunlight
nắp	غطاء	a lid or cover (n.)
nằm	الكذب	to lie (v.)
nẵng	نانغ	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	كمجهول	heavy
nặn	ضغط	mould
nặng	ثقيل	heavy
nẻo	آخر	turn
nếm	تذوق	taste
nến	الشموع	candle
nếp	لزجة	sticky rice (n.)
nếu	إذا	if (adv.)
nề	البناء	severe
nể	احترام	respect
nện	القصف	ram
nỉ	شعرت	beg
nịnh	مسطح	flatter
nọ	الآخر	the other
nọc	السم	tadpole
nỏ	القوس والنشاب	a crossbow (n.)
nối	متصل	connection
nốt	ملاحظة	to finish off (v.)
nồi	وعاء	pot
nồm	قفا	humid (adj.)
nồng	تركيز	heavy
nổ	تنفجر	explode
nổi	عائم	nổi tiếng= famous
nỗ	محاولة	affort
nỗi	ذلك	state
nộ	غضب	anger
nội	داخلي	on the paternal side (adj.)
nộn	حشو	non
nộp	رفعت	submit
nới	ترخي	ease
nở	تتفتح	bloom
nỡ	القلب	do you have a heart to
nợ	الديون	debt
nụy	المدقة	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	فلين	a kind of bamboo (n.)
nứt	متصدع	to crack
nửa	النصف	haft
nữa	المزيد	moreover
oahu	يا للهول	(proper noun) oahu
oai	الفزع	heroic
oakland	اوكلاند	oakland
oan	الظلم	injustice
oanh	oanh	(with word liet) glorious
obama	أوباما	obama
oblast	أوبلاست	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	أكتوبر	(proper noun) october
oda	عودة	oda
oder	أودر	oder
odyssey	أوديسي	odyssey, as in the odyssey, homer's epic
oecd	منظمة التعاون الاقتصادي والتنمية	oecd
officer	ضابط	officer
officers	الضباط	officers
ohkawa	أوهكاوا	ohkawa
okhotsk	أوخوتسك	okhotsk
oliver	أوليفر	oliver
olivier	زيتون	olivier
olympus	أوليمبوس	olympus
om	أم	to simmer
omar	عمر	a name
ong	نحلة	bee
ontario	أونتاريو	ontario
oort	قشعريرة	oort
oprah	أوبرا	(proper noun) oprah, as in oprah winfrey
organ	الجهاز	organ
oricon	أوريكون	oricon
origin	الأصل	origin
orion	اوريون	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	أوروتشيمارو	orochimaru
orton	أورتن	orton
os	نظام التشغيل	os
osaka	أوساكا	(proper noun) osaka, a city in japan
osama	اسامة	(proper noun) osama, as in osama bin laden
osamu	أوسامو	(proper noun) osamu, a japanese first name
oscar	أوسكار	oscar
osiris	أوزوريس	(proper noun) osiris, as in the egyptian god
oskar	أوسكار	a name
oslo	أوسلو	oslo
osment	تسمم	osment
ospf	ospf	ospf
ossetia	أوسيتيا	(proper noun) ossetia
oswald	أوسوالد	oswald
other	أخرى	other
otto	اوتو	(proper noun) otto, as in otto von bismarck
ottoman	العثماني	(proper noun) ottoman, as in the ottoman empire
outstanding	المعلقة	xuat sac
owen	مدين	(proper noun) owen, as in michael owen
oxford	أكسفورد	oxford
oxy	الأكسجين	oxygen
ozawa	أوزاوا	(proper noun) ozawa, as in maria ozawa
oán	استياء	"(term should be ""oán than"") to complain or whine"
oát	واط	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	باجيت	(proper noun) paget
pailin	بايلين	pailin
pakistan	باكستان	(proper noun) the country of pakistan
palais	قصر	palais, as in grand palais
palawan	بالاوان	palawan
palenque	بالينكي	(proper noun) palenque
palestine	فلسطين	a name
palgrave	بالجور	palgrave
pali	بالي	a name
pamir	بامير	pamir
pan	مقلاة	pan, as in peter pan
panama	بنما	panama
panamax	باناماكس	(proper noun) panamax
panduranga	باندورانجا	(proper noun) panduranga
panthera	النمر	(proper noun) panthera, a genus of felines
panthéon	البانثيون	a name
paolo	باولو	paolo
paperback	غلاف عادي	paperback
papua	بابوا	papua
paraguay	باراغواي	(proper noun) paraguay
pari	باري	pari
park	متنزه	park
parton	parton	parton
patel	باتل	(proper noun) patel
patrick	باتريك	patrick
patriot	وطني	patriot
paul	بول	paul
paula	بولا	paula
paulo	باولو	(proper noun) paulo
pavia	بافيا	pavia
pbs	رطل	pbs
pda	المساعد الشخصي الرقمي	pda
pdf	pdf	pdf
pedro	بيدرو	pedro
peers	أقرانه	peers
pele	بيليه	(proper noun) pele, as in the soccer player
penang	بينانغ	penang
penh	بنه	(proper noun) penh, as in phnom penh
pennsylvania	بنسلفانيا	pennsylvania
penny	بنس	(proper noun) penny, an english first name
pereira	بيريرا	pereira
perl	بيرل	(proper noun) perl
pero	بيرو	pero
perry	بيري	(proper noun) perry, as in elizabeth perry
persephone	بيرسيفوني	presephone
pershing	بيرشينغ	pershing
persian	الفارسي	persian
peru	بيرو	peru, as in the south american country
peters	بيترز	peter's, possessive of peter
petersburg	بترسبورغ	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	الصفحات	associate professor
pgđ	pgđ	associate professor
pha	مختلط	to mix
phaethon	فيثون	phaethon
pham	فام	pham
phanh	الفرامل	expose
phao	تعويم	float
phaolô	بول	st. paul, the apostle
pharaoh	فرعون	pharaoh
pharaon	فرعون	pharaoh
phay	طحن	mill
phe	فصيل	faction
phen	الفين	time
phil	فيل	(proper noun) phil, a first name
philip	فيليب	philip
philippe	فيليب	philippe
philippines	الفلبين	(proper noun) philippines
phillip	فيليب	(proper noun) phillip
phillips	فيليبس	philips
philosophiae	الفلسفة	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	فيلم	phim
phin	مرشح	coffee filter
phineas	فينياس	(proper noun) phineas
phiên	الجلسة	trial
phiêu	مغامرة	adventurous
phiếm	القيل والقال	gossip
phiến	شفرة	"(should be ""nha phiến"") opium"
phiện	الأفيون	opium
phiệt	فيت	militarism
phnom	بنوم	phnom
phnôm	فوموم	phnôm pênh= phnom penh(cambodia's capital)
pho	هاتف	part of a person's name, rat-pho, or ratford
phoenix	طائر الفينيق	(proper noun) phoenix
phong	الغرفة	movement
php	فب	php
phrygian	الفريجية	phrygian
phu	فو	"(term should be ""phu nhân"") wife (n.)"
phui	كشفت	expose
phun	رش	to spray or spit (v.)
phà	العبارة	ferry
phàm	بشري	superhuman
phàn	يشكو	complain
phá	كسر	destroy
phác	رسم	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	فاز	manner (n.)
phái	القسم	a party
phán	القاضي	judge
pháo	مدفع	artillery
pháp	فرنسا	method
phát	بث	develop
phèn	الشب	alum
phèo	phéo	organs
phép	مسموح	permit
phê	قهوة	"(term should be ""phê bình"") to criticize (v.)"
phêrô	بيتر	peter
phì	تضخم	non-
phình	انتفاخ	bulge
phí	تهمة	non-
phía	الجانب	side
phích	الترمس	a flask (n.)
phím	المفتاح	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	الغرفة	office
phó	نائب	second
phóng	مراسل	to launch (v.)
phô	المدينة	display
phôi	سبيكة	embryo
phông	الخط	font
phùng	نفخة	phung
phúc	مبارك	good fortune (n.)
phúclộc	مبارك	phuc-loc
phún	بوم	"(term should be ""lún phún"") sparse (adj.)"
phúng	شفقة	satire
phút	دقيقة	a minute (n.)
phăn	تأكل	phan
phăng	فانغ	knock
phương	فونج	direction
phước	نعمة	luck
phường	جناح	ward
phượng	طائر الفينيق	phoenix
phạn	السنسكريتية	sanskrit
phạt	عقوبة	punish
phả	النسب	pedigree
phải	نعم	must
phải 	نعم	right
phản	عداد	reaction
phảng	شقة	subtle
phần	القسم	part
phẩm	المنتجات	food
phẩy	فاصلة	a comma
phẫn	ساخط	wrathful
phẫu	الجراحة	surgery
phận	مصير	part
phật	بوذا	buddhist
phẳng	شقة	flat (adj.)
phế	خردة	dismiss
phết	انتشر	to spread or smear (v.)
phỉ	بندق	defame
phỏng	حرق	interview
phố	الشارع	city
phối	تنسيق	coordinate
phốt	الفوسفات	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	متضخم	to swell (v.)
phổ	الطيف	popular
phổi	الرئتين	lung
phộng	الفول السوداني	peanut
phới	تعويم	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	هاتف	pho
phục	ملابس	convincing
phụng	يخدم	worship
phụt	نفخة	minute
phủ	مغطى	government
phức	معقدة	complex
picchu	بيكو	a name
piccolo	بيكولو	piccolo
pierre	بيير	pierre
pierrot	pierrot	pierrot
pietro	بيترو	pietro
pike	رمح	pike
pin	دبوس	battery
pinlus	pinlus	pinlus
pioneer	رائد	pioneer
pipes	الأنابيب	pipes
pisa	بيزا	a name
piston	مكبس	piston
pitch	الملعب	pitch
pius	بيوس	pius
plaaf	بلاف	plaaf
plan	خطة	plan
plasma	البلازما	plasma
plate	طبق	plate
plato	أفلاطون	plato
platon	أفلاطون	platon
player	لاعب	player
pleiku	بليكو	(proper noun) pleiku
pleistocen	بليستوسين	pleistocen
plus	زائد	plus
pluto	بلوتو	pluto
pm	مساءا	pm
pmu	pmu	pmu
po	ص	po
pokémon	البوكيمون	pokemon
pol	بول	pol
poland	بولندا	poland
pollack	بولاك	a name
pollux	بولكس	a name
polo	بولو	(proper noun) polo, as in marco polo
polynésie	بولينيزي	polynesian
pont	بونت	(proper noun) pont, as in pont de normandie
pop	البوب	pop
portland	بورتلاند	portland
porto	بورتو	porto
pot	وعاء	pot
potsdam	بوتسدام	(proper noun) potsdam
potter	الخزاف	(proper noun) potter, as in harry potter
pour	صب	not vietnamese
powell	باول	(proper noun) powell, as in general colin powell
pradesh	براديش	pradesh
praha	براها	praha
pratzen	براتزين	pratzen
preah	نعم	(proper noun) preah
premier	رئيس الوزراء	premier
preminger	preminger	(proper noun) preminger
preston	بريستون	(proper noun) preston, as in john preston
prince	الأمير	prince
princeton	برينستون	princeton
printemps	المطبوعات	printemps
printf	printf	printf
prinz	برينز	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	جائزة	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	مشروع	projekt
prometheus	بروميثيوس	(proper noun) prometheus
protein	بروتين	protein
prôtêin	بروتين	protein (n.)
ps	ملاحظة	ps
psv	ايندهوفن	psv
ptolemy	بطليموس	ptolemy
ptq	ptq	ptq
puerto	بويرتو	puerto
pulau	بولاو	(proper noun) pulau, as in pulau tekong, an island
pulitzer	بوليتزر	(proper noun) pulitzer, as in the pulitzer prize
pulp	اللب	pulp
punjab	البنجاب	punjab
pusan	بوسان	(proper noun) pusan
putin	بوتين	putin
pyrenees	البيرينيه	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	بيكيه	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	بيريز	(proper noun) perez, as in javier perez de cuellar
păng	بانغ	fansipan
pơ	ص	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	س	q ( a letter)
