$ tỉ	$ miliar	$ billion
hủi	penderita kusta	reject
hủy	batalkan	to erase or destroy
hứa	janji	promise
hử	ya	hu
hửu	ya	"(term should be ""sở hửu"") to own (v.)"
hữu	properti	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	islandia	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	ilusi	illusion
ilyich	ilyich	ilyich
im	saya	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	imanuel	(proper noun) immanuel, as in immanuel kant
impact	dampak	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	india	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonesia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	losmen	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irlandia	ireland
irgun	irgun	irgun
irony	ironi	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itza	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacobs	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	jepang	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasper	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jins	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jersey	jersey
jerusalem	jerusalem	jerusalem
jesse	jesse	a name
jesus	yesus	chua jesus
jetstar	jetstar	jetstar
jewish	yahudi	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	hidung belang	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	bersama	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	lompat	jump
june	juni	june, as in the month
jung	hutan	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potasium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampung	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukasus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	es krim	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	deklarasi	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	anhidrat	rare
khang	khang	khang
khanh	khanh	khanh
khao	kerinduan	desire
khay	nampan	tray
khe	slot	chink
khem	khem	abstinence
khen	pujian	praise
kheo	di atas panggung	kheo
khi	kapan	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	sederhana	khiem
khiên	perisai	a shield
khiêu	erotis	"('khiêu dâm"") pornographic"
khiếm	terganggu	lack
khiến	sebab	control
khiếp	ketakutan	horrible
khiếu	menginap	talent (n.)
khiển	kontrol	control
khleang	khleang	kh'leang
kho	gudang	warehouse
khoa	fakultas	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	bor	drill
khoang	rongga	brag
khoanh	berdering	a slice (n.)
khoe	pamer	to boast
khoá	mengunci	lock
khoác	mantel	coat
khoán	stok	stock
khoáng	mineral	mineral
khoát	pasti	decisive
khoét	potong	carve
khoăn	resah	disturbed
khoả	telanjang	naked
khoản	barang	an item (n.)
khoảng	sekitar	about
khoảnh	momen	moment
khoẻ	baiklah	health
khrushchev	khrushchev	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	tempat tinggal	section
khung	bingkai	frame
khural	khural	khural
khuynh	kiri	trend
khuyên	saran	advise
khuyết	rusak	lack
khuyển	anjing	khuyen
khuất	disembunyikan	hidden
khuấy	aduk	stir
khuẩn	bakteri	bacteria
khuếch	memperkuat	amplification
khuỷu	siku	elbow
khá	cantik	quite
khác	lainnya	different
khách	tamu	customer
khái	konseptual	concept
khám	pemeriksaan	discover
khán	penonton	audience
kháng	resistensi	appeal
khánh	kemandirian	a type of chime made of stone (n.)
khát	haus	to be thirsty for (adj.)
khâm	khâm	admire
khèn	sayang	a pan-pipe (n.)
khéo	cerdik	cleverly or skillfully (adv.)
khép	ditutup	close
khía	takik	"(term should be ""khía cạnh"") angle (n.)"
khích	dorongan	encourage
khít	kencang	close
khó	sulit	difficulty
khóa	mengunci	a session
khóc	menangis	cry
khói	merokok	smoke
khóm	nanas	a cluster
khô	kering	dry
khôn	bijaksana	clever, intelligent
không	tidak	not
khúc	lagu	song
khăm	gurauan	nasty (adj.)
khăn	handuk	difficult
khơi	lepas pantai	sea
khư	khư	grip
khưu	khưu	khuu
khước	tolak	waive
khả	kemungkinan	"(term should be ""khả năng"") ability (n.)"
khải	wahyu	triumph
khảm	mosaik	to encrust
khảo	pemeriksaan	"(term should be ""tham khảo"") to consult (v.)"
khấm	menusuk	endure
khấn	berdoa	pray
khấu	diskon	"(term should be ""sân khấu"") a stage (n.)"
khẩn	mendesak	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	ukiran	moment
khắp	semuanya	all over
khẳng	afirmatif	"(term should be ""khẳng định"") to assert (v.)"
khế	belimbing	bond
khỉ	monyet	monkey or ape (n.)
khỏa	telanjang	nude
khỏe	baiklah	health
khỏi	keluar dari	leave
khố	cawat	loincloths
khốc	mengerikan	devastating
khối	blokir	a block or mass of (n.)
khốn	bajingan	miserable
khống	khong	control
khổ	menderita	miserable (adj.)
khổng	raksasa	huge
khởi	inisiat	start
khủng	mengerikan	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bajingan	elbow
khứu	pastel	olfactory
khử	menghilangkan	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	disana	other
kid	nak	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometer	kilometer
kim	jarum	kim
kingdom	kerajaan	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	cium	kiss
kissinger	pencium	kissinger
kitts	kitt	kitts
kitô	kristus	christian
kiêm	cum	cum
kiên	sabar	consistent
kiêng	abstain	abstinence, as in abstaining from eating
kiêu	sombong	showy
kiếp	seumur hidup	a lifetime (n.)
kiết	belenggu	cheap (adj.)
kiềm	basa	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	periksa	control
kiểu	jenis	type
kiệm	ekonomis	save
kiện	sue	event (su kien)
kiệt	karya agung	exhausted (adv.)
kiệu	tandu	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	tertutup	included
kèn	terompet	horn
kém	miskin	less
kén	kepompong	selective
kéo	tarik	scissors
kép	ganda	dual
két	aman	"(term should be ""rốc két"") rocket (n.)"
kê	millet	statistics
kênh	saluran	channel
kêu	teriak	appeal
kìa	lihatlah	that
kìm	tang	bar
kình	kacamata	rivalry
kí	tanda	sign
kích	klik	excite
kíchbom	tombol klik	bombers
kín	pribadi	secretive or closed tight (adj.)
kính	gelas	respect
kíp	kru	esoterica
kít	kit	wheelbarrow
ký	ditandatangani	"(""nhật ký"") a diary"
kĩ	hati-hati	technique
kơnia	kia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	permen	candy
kẹp	penjepit	to clamp down (v.)
kẹt	macet	jam
kẻ	teman-teman	guy
kẻo	jangan sampai	lest
kẽ	pengantara	crevice
kẽm	seng	zinc
kế	selanjutnya	a scheme (n.)
kết	akhir	combine
kề	berdekatan	adjacent
kềnh	besar	bulky
kệ	rak	ignore
kỉ	abad	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	kavaleri	ki
kịp	tepat waktu	kip
kỵ	kavaleri	taboo
kỷ	abad	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	label	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hibrida	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	tanah	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	lesu	langue
lanh	linen	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	pangkuan	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	latin	latin
latvia	latvia	(proper noun) latvia
lau	bersihkan	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	berbaring	lay
lazarus	lazarus	(proper noun) lazarus
leach	pelindian	(proper noun) leach
leaf	daun	leaf
leave	pergi	leave
lebanon	lebanon	(proper noun) lebanon
lee	lee	lee
legacy	warisan	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenin	lenin's
leo	memanjat	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libya	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	kilat	lightning
lilly	lilly	(proper noun) lilly
linga	lingga	linga
linh	linh	efficacious (adj.)
links	tautan	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisbon	a name
litva	lithuania	(proper noun) lithuania
liu	liu	liu
liêm	integritas	good example
liên	usaha	relate
liêng	suci	sacred
liêu	birokrasi	bureaucracy
liềm	sabit	sickle
liều	dosis	daring
liễu	willow	a willow tree (n.)
liệng	lempar	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	kelumpuhan	impotent
liệu	mentah	document
lleyton	lleyton	lleyton
lo	lihat	to worry (v.)
loa	pembicara	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	licin	patchy
loch	loch	loch
locke	terkunci	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	kaleng	lon
london	london	london
long	panjang	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	kisi-kisi	(proper noun) louvre
love	cinta	yeu
loài	spesies	species
loát	mencolok	overturn
loãng	kurus	wishy-washy
loét	bisul	gaping, as in a wound
loại	jenis	type
loạianh	jenis	not a word
loạianime	ketik anime	type anime
loạibệnh	jenis penyakit	disease
loạichiến	jenis	loaichien
loạicác	jenis	item
loạicâu	jenis	type: club
loạicông	jenis	type: industry
loạicựu	jenis	kind former
loạigia	jenis	loaigia
loạihuân	kindhuan	not a word
loạiluật	jenis hukum	type: law
loạimáy	jenis mesin	kind plane
loạimôn	jenis	type
loạingày	ketik ini	loaingay
loạiphim	jenis film	type movie
loạiphong	jenis	kind of movement
loạiscandal	skandal perang	scandal type
loạithuật	jenis hukum	type: lexicon
loạithành	jenis	kinds of payment
loạithần	jenis	kind myth
loạitrường	jenis sekolah	type of school
loạitín	baik	type: belief
loạitổ	jenis	kind organization
loạivõ	jenis tipe	type: martial art
loạixã	jenis	kind of society
loạn	gangguan	disorderly
loạt	seri	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	kembali	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	paru-paru	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxembourg	a name
luy	luy	luy
luyến	lampiran	love
luyện	latihan	training
luận	komentar	"(term should be ""xã luận"") an editorial"
luật	hukum	law
luồn	berulir	wriggle
luồng	aliran	lane
luộc	direbus	boiled
luỹ	kumulatif	rampart (n.)
ly	ly	divorce
lydia	lydia	lydia
lympho	limfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	adalah	the verb to be
làm	lakukan	make
làn	jalur	wave
làng	desa	village
lành	disembuhkan	protestant
lào	laos	laos
lá	pergi	"(term should be ""lá thư"") a letter (n.)"
lác	juling	brag
lách	limpa	to swerve (v.)
lái	berkendara	to drive (v.)
lán	gubuk	shack
láng	halus	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	unicorn	nearby
lâu	panjang	long time
lây	menular	to infect
lãi	bunga	a profit
lãm	menunjukkan	exhibition
lãnh	diterima	to receive
lão	tua	old
lèo	aku	"(term should be ""nước lèo"") broth (n.)"
lén	menyelinap	sneak
lê	pir	le
lêmạc	cahaya	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	naik	on
lênh	perintah	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	pergi	to leave (v.)
lình	tiba-tiba	suddenly
lí	penyimpanan	reason
lính	prajurit	soldier
lít	liter	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	tungku	release
lòng	menghancurkan	heart
lóc	kepala ular	cry
lóe	melintas	flash
lóng	gaul	"entire term should be ""tieng long""; means ""slang"""
lót	lapisan	undies
lô	banyak	batch
lôi	kesalahan	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	bulu	hair
lõi	inti	core
lõm	cekung	concave
lùi	mundur	back
lùn	katai	dwarf
lùng	berburu	hunt
lúa	beras	rice
lúc	di	at the moment
lún	subsidensi	subside
lúng	menyala	confused
lúp	pembesar	uneven
lút	licik	surreptitiously
lăm	lima	tens
lăn	bergulir	attack
lăng	makam	tomb
lĩnh	domain	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	banjir	a band or gang (n.)
lũng	lembah	valley
lũy	kumulatif	rampart
lơ	lalai	to ignore
lơi	kendurkan	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	pedupaan	an urn
lưng	kembali	back
lươn	belut	eel
lương	gaji	conscience
lưới	kisi	a net (n.)
lướt	berselancar	ski
lười	malas	lazy
lưỡi	lidah	tongue
lưỡng	biseksual	"(term should be ""lưỡng tính"") bisexual"
lược	sisir	invasion
lượm	ambil	pick up
lượn	meluncur	to glide over (v.)
lǐ	aku	(proper noun) li, as in jet li
lạ	aneh	strange or unusual (adj.)
lạc	hilang	camel
lạch	sungai kecil	"(term should be ""luồng lạch"") a narrow water passageway"
lại	lagi	reversed
lạn	busuk	bright
lạng	lang	lang
lạp	sosis	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	bersujud	kowtow
lấn	perambahan	to encroach on (v.)
lấp	isi	sparkle
lấy	diambil	taken
lầm	salah	wrong
lần	kali	time
lầu	lantai	a story or level of a building (n.)
lầy	berawa	swamp
lẩu	hotpot	hotpot
lẩy	lompat	get
lẫn	bingung	each other
lẫy	cubit	illustrious
lận	menipu	fraudulent
lật	flip	turn
lậy	oh ya	"(term should be ""cai lậy"") the name of a rural district"
lắc	kocok	to shake (v.)
lắm	sangat	do
lắng	untuk menyelesaikan	"(should be ""lo lắ́́ng"") to worry"
lắp	pas	lap
lặng	diam	quiet
lặp	ulangi	repeat
lặt	bermacam-macam	means miscellaneous, part of the word lat vat
lẹ	cepat	quickly (adv.)
lẻ	aneh	"(the term should be ""bán lẻ"") retail"
lẻn	menyelinap	sneak
lẻo	lemah	climb
lề	margin	alignment
lều	tenda	tent
lễ	upacara	ceremony
lệ	nilai	"(term should be ""tỷ lệ"") probability (n.)"
lệch	condong	difference
lệnh	perintah	command
lị	disentri	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalender	history
lọc	filter	tricked
lọi	juling	brilliant
lọng	payung	rope
lọt	jatuh	enter
lỏi	serat	to enter
lỏng	longgar	loose
lố	selesai	ridiculous
lốc	angin puyuh	tornado
lối	pintu masuk	way or path
lốp	ban	tyre
lốt	kedok	lolot
lồ	raksasa	giant
lồi	cembung	convex
lồng	kandang	cage
lỗ	lubang	hole
lộc	keberuntungan	loc
lội	menyeberang	wade
lộn	membalik	wrong/mistake
lộng	cantik	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	mengupas	exploit
lớn	besar	large
lớp	kelas	grade (n.)
lờ	abaikan	turbid
lời	kata	advice
lở	luka	to crack
lỡ	kangen	miss
lợi	manfaat	benefit
lợn	babi	pig
lợp	atap	roof
lụa	sutra	silk
lục	hijau	record
lụi	terbakar	ruin
lụt	banjir	flood
lụy	implikasi	consequence
lứa	sampah	peer
lừa	trik	mislead
lừng	termasyhur	well-known
lửng	luak	lơ lửng= not clear/ something in between
lự	ragu-ragu	reluctant
lựa	dipilih	chosen
lựu	delima	grenade
ma	hantu	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	makarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	makedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	rumah gila	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafia	mafia
magiê	magnesium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	besok	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	mayor	major
makemake	membuat	makemake
malacca	malaka	malacca
malay	melayu	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	bantalan	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	peta	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathatica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	tikar	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	dengan cepat	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	pepatah	a name
may	menjahit	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mcain	mccain
mccartney	mccartney	a name
mccullough	mullullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	mens	(proper noun) menes
mercedes	mercedes	a name
messenger	kurir	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesias	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	mikrofon	micro
microbiology	mikrobiologi	microbiology
microeconomics	ekonomi mikro	microeconomics
micronesia	mikronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mikrofon	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	mil	miley
mill	pabrik	mill
miller	pabrik	miller
milton	milton	milton
min	min	min
minas	mina	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	fatamorgana	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	keliru	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnosis	mien
miêu	kucing	"(term should be ""miêu tả"") to describe (v.)"
miến	bihun	burma
miếng	potongan	a piece (n.)
miếu	kuil	temple
miền	domain	area
miễn	gratis	to exempt (v.)
miện	mahkota	crown
miệng	mulut	mouth
mm	mm	millimeter
mobile	ponsel	mobile
mode	mode	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	baru	winkle
molecular	molekuler	molecular
molotov	molotov	molotov
molypden	molibdenum	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
