$ tỉ	en milliards de dollars	$ billion
incoterms	incoterms	(proper noun) incoterms
indian	indien	indian
indiana	indiana	indiana
indochina	indochine	indochina
indonesia	l&#39;indonésie	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insuline	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpoler	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irlande	ireland
irgun	irgun	irgun
irony	ironie	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	l&#39;islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israélien	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	cric	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japon	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jaspe	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	maillot	jersey
jerusalem	jérusalem	jerusalem
jesse	jesse	a name
jesus	jésus	chua jesus
jetstar	jetstar	jetstar
jewish	juif	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	joint	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	sauter	jump
june	juin	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potassium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoké	karaoke
karate	karaté	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	cachemire	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	catherine	katherine
kathmandu	katmandou	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	caucase	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	glace	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	déclaration	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	anhydre	rare
khang	khang	khang
khanh	khanh	khanh
khao	nostalgie	desire
khay	plateau	tray
khe	fente	chink
khem	khem	abstinence
khen	compliment	praise
kheo	sur pilotis	kheo
khi	quand	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	modeste	khiem
khiên	bouclier	a shield
khiêu	érotique	"('khiêu dâm"") pornographic"
khiếm	altéré	lack
khiến	provoquer	control
khiếp	terrifié	horrible
khiếu	loge	talent (n.)
khiển	contrôle	control
khleang	khleang	kh'leang
kho	entrepôt	warehouse
khoa	faculté	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	percer	drill
khoang	cavité	brag
khoanh	sonner	a slice (n.)
khoe	montrer	to boast
khoá	verrouiller	lock
khoác	pardessus	coat
khoán	stock	stock
khoáng	minéral	mineral
khoát	définitif	decisive
khoét	couper	carve
khoăn	frette	disturbed
khoả	nu	naked
khoản	objet	an item (n.)
khoảng	environ	about
khoảnh	moments	moment
khoẻ	bien	health
khrushchev	khrouchtchev	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	trimestres	section
khung	cadre	frame
khural	khural	khural
khuynh	à gauche	trend
khuyên	des conseils	advise
khuyết	défectueux	lack
khuyển	chien	khuyen
khuất	caché	hidden
khuấy	remuer	stir
khuẩn	les bactéries	bacteria
khuếch	amplifier	amplification
khuỷu	coude	elbow
khá	jolie	quite
khác	autre	different
khách	invités	customer
khái	conceptuel	concept
khám	examen	discover
khán	le public	audience
kháng	résistance	appeal
khánh	l&#39;indépendance	a type of chime made of stone (n.)
khát	soif	to be thirsty for (adj.)
khâm	khâm	admire
khèn	hélas	a pan-pipe (n.)
khéo	ingénieux	cleverly or skillfully (adv.)
khép	fermé	close
khía	encoche	"(term should be ""khía cạnh"") angle (n.)"
khích	encouragement	encourage
khít	serré	close
khó	dur	difficulty
khóa	verrouiller	a session
khóc	pleurer	cry
khói	fumer	smoke
khóm	ananas	a cluster
khô	sec	dry
khôn	sage	clever, intelligent
không	non	not
khúc	chanson	song
khăm	farce	nasty (adj.)
khăn	une serviette	difficult
khơi	offshore	sea
khư	khư	grip
khưu	khưu	khuu
khước	nier	waive
khả	possibilité	"(term should be ""khả năng"") ability (n.)"
khải	révélation	triumph
khảm	mosaïque	to encrust
khảo	examen	"(term should be ""tham khảo"") to consult (v.)"
khấm	percé	endure
khấn	prier	pray
khấu	remise	"(term should be ""sân khấu"") a stage (n.)"
khẩn	urgent	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	gravure	moment
khắp	partout	all over
khẳng	affirmative	"(term should be ""khẳng định"") to assert (v.)"
khế	fruit étoilé	bond
khỉ	singe	monkey or ape (n.)
khỏa	nu	nude
khỏe	bien	health
khỏi	sur	leave
khố	pagne	loincloths
khốc	terrible	devastating
khối	bloquer	a block or mass of (n.)
khốn	bâtard	miserable
khống	khong	control
khổ	souffrance	miserable (adj.)
khổng	géant	huge
khởi	initie	start
khủng	terrible	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bâtard	elbow
khứu	pastel	olfactory
khử	éliminer	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	là	other
kid	enfant	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilomètres	kilometer
kim	aiguille	kim
kingdom	royaume	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	baiser	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	christ	christian
kiêm	jouir	cum
kiên	patient	consistent
kiêng	s&#39;abstenir	abstinence, as in abstaining from eating
kiêu	arrogant	showy
kiếp	à vie	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	alcaline	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	vérifier	control
kiểu	type	type
kiệm	économique	save
kiện	sue	event (su kien)
kiệt	chef-d&#39;œuvre	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	coran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	couronne	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	koweït	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kirinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	attaché	included
kèn	trompette	horn
kém	pauvre	less
kén	cocon	selective
kéo	tirer	scissors
kép	double	dual
két	sûr	"(term should be ""rốc két"") rocket (n.)"
kê	le mil	statistics
kênh	canal	channel
kêu	pleura	appeal
kìa	voici	that
kìm	une pince	bar
kình	lunettes	rivalry
kí	signe	sign
kích	cliquer	excite
kíchbom	bouton de clic	bombers
kín	privé	secretive or closed tight (adj.)
kính	verre	respect
kíp	équipage	esoterica
kít	kit	wheelbarrow
ký	signé	"(""nhật ký"") a diary"
kĩ	soigneusement	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	bonbon	candy
kẹp	pince	to clamp down (v.)
kẹt	coincé	jam
kẻ	les gars	guy
kẻo	de peur	lest
kẽ	interstitiel	crevice
kẽm	zinc	zinc
kế	suivant	a scheme (n.)
kết	fin	combine
kề	adjacent	adjacent
kềnh	encombrant	bulky
kệ	étagères	ignore
kỉ	siècle	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	cavalerie	ki
kịp	à temps	kip
kỵ	cavalerie	taboo
kỷ	siècle	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	étiquette	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hybride	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	terre	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	lin	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	tour	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	latéran	lateran
latinh	latin	latin
latvia	lettonie	(proper noun) latvia
lau	essuyer	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	jeter	lay
lazarus	lazarus	(proper noun) lazarus
leach	lessiver	(proper noun) leach
leaf	feuille	leaf
leave	partir	leave
lebanon	liban	(proper noun) lebanon
lee	lee	lee
legacy	héritage	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lénine	lenin
lenins	lénines	lenin's
leo	grimper	climb
leon	leon	leon
leonard	léonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	la libye	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	foudre	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	liens	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisbonne	a name
litva	lituanie	(proper noun) lithuania
liu	liu	liu
liêm	intégrité	good example
liên	s&#39;aventurer	relate
liêng	sacré	sacred
liêu	bureaucratie	bureaucracy
liềm	faucille	sickle
liều	dose	daring
liễu	saule	a willow tree (n.)
liệng	lancer	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	paralysie	impotent
liệu	brut	document
lleyton	lleyton	lleyton
lo	lo	to worry (v.)
loa	haut-parleur	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	lisse	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	journal	log
logan	logan	a name
lon	canettes	lon
london	londres	london
long	longue	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiane	(proper noun) the state of louisiana
louvre	persienne	(proper noun) louvre
love	l&#39;amour	yeu
loài	espèce	species
loát	flashy	overturn
loãng	mince	wishy-washy
loét	ulcère	gaping, as in a wound
loại	type	type
loạianh	type	not a word
loạianime	type anime	type anime
loạibệnh	type de maladie	disease
loạichiến	type	loaichien
loạicác	type	item
loạicâu	type	type: club
loạicông	type	type: industry
loạicựu	type	kind former
loạigia	type	loaigia
loạihuân	kindhuan	not a word
loạiluật	type de loi	type: law
loạimáy	type de machine	kind plane
loạimôn	type	type
loạingày	tapez ceci	loaingay
loạiphim	type de film	type movie
loạiphong	type	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	type de loi	type: lexicon
loạithành	type	kinds of payment
loạithần	type	kind myth
loạitrường	type d&#39;école	type of school
loạitín	gentil	type: belief
loạitổ	type	kind organization
loạivõ	type type	type: martial art
loạixã	type	kind of society
loạn	trouble	disorderly
loạt	série	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	retour	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	poumon	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxembourg	a name
luy	luy	luy
luyến	attachement	love
luyện	pratiquer	training
luận	commentaire	"(term should be ""xã luận"") an editorial"
luật	la loi	law
luồn	fileté	wriggle
luồng	stream	lane
luộc	bouilli	boiled
luỹ	cumulatif	rampart (n.)
ly	ly	divorce
lydia	lydia	lydia
lympho	lymphome	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	est	the verb to be
làm	faire	make
làn	voie	wave
làng	village	village
lành	guéri	protestant
lào	laos	laos
lá	les feuilles	"(term should be ""lá thư"") a letter (n.)"
lác	plisser les yeux	brag
lách	rate	to swerve (v.)
lái	conduire	to drive (v.)
lán	cabane	shack
láng	lisse	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	licorne	nearby
lâu	longue	long time
lây	contagieux	to infect
lãi	intérêt	a profit
lãm	montre	exhibition
lãnh	reçu	to receive
lão	vieux	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	se faufiler	sneak
lê	les poires	le
lêmạc	lumière	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	en haut	on
lênh	commande	"(should be ""lênh đênh"") adrift"
lênin	lénine	lenin
lìa	partir	to leave (v.)
lình	soudain	suddenly
lí	stockage	reason
lính	soldat	soldier
lít	litre	litre
líu	roucouler	"(term should be ""dính líu"") to have a connection with"
lò	four	release
lòng	écraser	heart
lóc	tête de serpent	cry
lóe	flashé	flash
lóng	argot	"entire term should be ""tieng long""; means ""slang"""
lót	doublure	undies
lô	beaucoup	batch
lôi	erreur	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	fourrure	hair
lõi	noyau	core
lõm	concave	concave
lùi	en arrière	back
lùn	nain	dwarf
lùng	chasser	hunt
lúa	riz	rice
lúc	à	at the moment
lún	affaissement	subside
lúng	flare	confused
lúp	grossissant	uneven
lút	sournois	surreptitiously
lăm	cinq	tens
lăn	rouler	attack
lăng	mausolée	tomb
lĩnh	domaines	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	inondation	a band or gang (n.)
lũng	vallée	valley
lũy	cumulatif	rampart
lơ	négligence	to ignore
lơi	se détendre	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	encensoir	an urn
lưng	retour	back
lươn	anguille	eel
lương	salaire	conscience
lưới	grille	a net (n.)
lướt	surf	ski
lười	paresseux	lazy
lưỡi	la langue	tongue
lưỡng	bisexuel	"(term should be ""lưỡng tính"") bisexual"
lược	peigne	invasion
lượm	ramasser	pick up
lượn	glisser	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	étrange	strange or unusual (adj.)
lạc	perdu	camel
lạch	ruisseau	"(term should be ""luồng lạch"") a narrow water passageway"
lại	encore	reversed
lạn	pourri	bright
lạng	lang	lang
lạp	saucisse	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	prosterné	kowtow
lấn	empiètement	to encroach on (v.)
lấp	remplir	sparkle
lấy	pris	taken
lầm	mal	wrong
lần	fois	time
lầu	étage	a story or level of a building (n.)
lầy	marécageux	swamp
lẩu	hotpot	hotpot
lẩy	sauter	get
lẫn	confus	each other
lẫy	pincer	illustrious
lận	tricher	fraudulent
lật	retourner	turn
lậy	oh ouais	"(term should be ""cai lậy"") the name of a rural district"
lắc	secouer	to shake (v.)
lắm	très	do
lắng	s&#39;installer	"(should be ""lo lắ́́ng"") to worry"
lắp	raccord	lap
lặng	silencieux	quiet
lặp	répéter	repeat
lặt	divers	means miscellaneous, part of the word lat vat
lẹ	rapide	quickly (adv.)
lẻ	bizarre	"(the term should be ""bán lẻ"") retail"
lẻn	se faufiler	sneak
lẻo	laxiste	climb
lề	marge	alignment
lều	tente	tent
lễ	cérémonie	ceremony
lệ	taux	"(term should be ""tỷ lệ"") probability (n.)"
lệch	asymétrique	difference
lệnh	la commande	command
lị	dysenterie	"(term should be ""tỉnh lị"") a township (n.)"
lịch	calendrier	history
lọc	filtrer	tricked
lọi	plisser les yeux	brilliant
lọng	parasols	rope
lọt	tomber	enter
lỏi	peluche	to enter
lỏng	lâche	loose
lố	sur	ridiculous
lốc	tourbillon	tornado
lối	entrée	way or path
lốp	pneu	tyre
lốt	déguisement	lolot
lồ	géant	giant
lồi	convexe	convex
lồng	cage	cage
lỗ	trou	hole
lộc	fortune	loc
lội	patauger	wade
lộn	retourné	wrong/mistake
lộng	magnifique	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	éplucher	exploit
lớn	grand	large
lớp	classe	grade (n.)
lờ	ignorer	turbid
lời	mot	advice
lở	plaies	to crack
lỡ	manquer	miss
lợi	avantage	benefit
lợn	porcs	pig
lợp	toiture	roof
lụa	la soie	silk
lục	vert	record
lụi	brûlé	ruin
lụt	inondation	flood
lụy	implications	consequence
lứa	litière	peer
lừa	tromper	mislead
lừng	illustre	well-known
lửng	blaireau	lơ lửng= not clear/ something in between
lự	hésitant	reluctant
lựa	sélectionné	chosen
lựu	grenade	grenade
ma	fantôme	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macédoine	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madère	madeira
madhouse	madhouse	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafia	mafia
magiê	magnésium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	demain	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	majeur	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	malais	malaysia
malaysia	malaisie	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malte	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	roulement	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manille	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	des cartes	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	marie	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	tapis	mat
mathematica	mathématique	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	tapis	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	vite	fast
maurice	maurice	(proper noun) maurice
mausolus	mausole	mausolus
maxim	maxime	a name
may	coudre	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	médias	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	médina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	messager	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messie	messiah
meteora	météore	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michael	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	microphone	micro
microbiology	microbiologie	microbiology
microeconomics	microéconomie	microeconomics
micronesia	micronésie	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	moulin	mill
miller	miller	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	mirage	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	inadaptés	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	l&#39;hypnose	mien
miêu	chat	"(term should be ""miêu tả"") to describe (v.)"
miến	vermicelles	burma
miếng	pièces	a piece (n.)
miếu	temple	temple
miền	domaine	area
miễn	gratuit	to exempt (v.)
miện	couronne	crown
miệng	la bouche	mouth
mm	mm	millimeter
mobile	mobile	mobile
mode	mode	mode
modul	module	module
modula	module	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	nouveau	winkle
molecular	moléculaire	molecular
molotov	molotov	molotov
molypden	molybdène	the element molybdenum (n.)
mongolia	mongolie	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	monténégro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montréal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravie	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	maroc	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moscou	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	acheter	buy
much	beaucoup	much
muhammad	mohammed	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ébène	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	vouloir	a large number; thousands (adj.)
muối	du sel	salt
muốn	aimerait	want
muống	cuillère	"(term should be ""rau muống"") water spinach (n.)"
muồi	tard	ripe
muỗi	moustique	mosquito
muỗng	cuillère	spoon
muội	soeur	confusion
muộn	tard	late (adv.)
