aajo	அபத்தமானது	hospitality
ìgbàgbé	மறதி	forgetfulness
ìgbá	இறக்கைகள்	time
ìgbáraga	வலிமை	pride
ìgbéraga	பெருமை	pride
ìgbésí	வாழ்க்கை	life
ìgbò	ரேம்	igbo people
ìhun	இரும்பு	things
ìjo	நடனம்	church
ìjo	தேவாலயத்தில்	church
ìjoba	அரசு	government
ìjora	வெறுப்பு	resemblance
ìjìnlè	மர்மம்	comprehensive
ìjìnlè	மர்மம்	mysterious
ìjò	தலைவர்	consent
ìjọba	அரசு	government
ìkejì	மற்ற	second
ìkànna	அதே	ikanna (town)
ìkèrèkú	நெரிசல்	ikereku
ìkéde	அறிவிப்பு	advert
ìkìjà	சவால்	ikija
ìkìlò	துஷ்பிரயோகம்	warning
ìkínin	ஆறாவது	greetings
ìkẹrin	நான்காவது	fourth
ìkọpa	பங்கேற்பு	ikopa
ìlera	ஆரோக்கியம்	health
ìlo	அழைப்பு	use
ìlà	அவுட்லைன்	border
ìlànàn	மாயை	procedure
ìlàorùn	சிராய்ப்பு	east
ìlàìnàró	அடக்குமுறை	vertical
ìlè	லஞ்சம்	land
ìlé	வீடு	land
ìmò	பாம்பு	knowledge
ìmò	மின்னல்	knowledge
ìmóbìdo	பிறப்புரிமை	imobido
ìmú	மூக்கு	knowledge
ìmúnilérú	துஷ்பிரயோகம்	slavery
ìmúsára	வலுப்படுத்த	contagious
ìnagije	வெற்றி	alias
ìnáwó	செலவு	expenditure
ìpolongo	விளம்பரம்	advertisement
ìpìlẹ̀núkléù	குறியாக்கம்	base
ìpìnlè	ஆரம்பம்	foundation
ìpínrò	பத்திகள்	economize
ìrànlọ́wọ́	உதவி	help
ìrànàna	உதவி	path-clearing
ìràwọ̀	நட்சத்திரங்கள்	s
ìrí	அனுபவம்	sight
ìròkò	சிந்தனை	iroko
ìròyìn	செய்தி	news
ìròyìnwiki	செய்தி	wikinews
ìròrùn	மாயை	peaceful
ìró	ஒலி	sound
ìrúbo	சரிவு	sacrifice
ìsawo	கணிப்பு	divinity-practice
ìse	நடவடிக்கை	behaviour
ìsinsìnyí	இப்போது	modern
ìsirò	கணக்கீடு	adding
ìsomó	சேர	attachment
ìsàlè	சூரிய அஸ்தமனம்	down town
ìsèlè	உற்பத்தி	happening
ìsìn	மதம்	worship
ìsòrò	தியானம்	speech
ìsòrí	துணைப்பிரிவு	chapter
ìsú	தடிமன்	lump
ìsọ	கடைகள்	stall
ìse	நடவடிக்கை	work
ìsègbèfábo	விடாமுயற்சி	female support
ìsèdá	படைப்பு	creation
ìsèjoba	அரசு	government
ìsílé	வீடு	house opening
ìsòro	சிரமம்	problem
ìse	நடவடிக்கை	action
ìta	வெளியே	outside
ìtaeko	பணிமனை	outskirts of eko
ìtan	வரலாறு	story
ìtokò	பானை	story
ìtàn	வரலாறு	history
ìtànkálé	வெள்ளம்	spread
ìtèsíwájú	முன்னேற்றம்	progress
ìtójú	பராமரிப்பு	treatment
ìtóju	குழப்பம்	treatment
ìtójú	முக பாவனைகள்	treatment
ìtóka	அடிக்கப்பட வேண்டும்	dictionary
ìtúmò	மொழிபெயர்ப்பு	meaning
ìtúpalè	மொழிபெயர்ப்பு	exposition
ìwe	ஒப்பீடு	book
ìwo	கொம்புகள்	horn
ìwàásù	உபதேசம்	sermon
ìwéré	கையேட்டை	iwere (town)
ìwò	ஒட்டுமொத்த	set
ìwòran	பார்வை	viewing
ìwúlò	பயனுள்ளதாக இருக்கும்	usefulness
ìya	துன்பம்	mother
ìyapa	பிரிப்பு	divorce
ìyàwó	மணமகள்	wife
ìyípadà	மாற்றம்	transformation
ìṣèlú	அரசியல்	politics
ìṣẹ́kù	நினைவூட்டல்	broken
ìṣọ̣̀tẹ̣̀	நிமோனியா	rebellion
òde	வெளியே	society
òdeojú	முகமற்ற	surface
òdo	இளைஞர்கள்	zero
òdìkejì	மற்ற	opposite
òféàrán	ஒரு படம்	a town name
ògbójú	திறமையானவர்	brave
ògiri	சுவர்	wall
ògo	மகிமை	glory
ògun	மருந்து	medicine
ògúndìpẹ̀	தூள்	ogundipe
òjo	போல	ojo
òjísé	மருத்துவர்	servant
òkèògbún	ஆயிரம்	oke-ogbun
òkòòkan	ஒவ்வொன்றாக	each
òkú	சடலங்கள்	corpse
òkúta	ஒரு கல்	stone
òle	இல்லத்தரசி	lazy
òmiràn	மந்திரவாதி	other
òmùàrán	ஒரு படம்	omu-aran (town)
òní	இன்று	today
òotó	உண்மை	true
òpópóònà	சாலை	highway
òranyàn	கட்டாய	a must
òrìsà	சிலைகள்	god
òrí	அத்தியாயம்	top
òrò	மூளை	word
òsán	நண்பகல்	afternoon
òsèlú	அரசியல்வாதி	politics
òsèré	தடகள	player
òwù	துணி	owu
òṣèlú	அரசியல்	politician
òjògbón	மழை வானிலை	learned person
òkan	ஒன்று	heart
òkòòkan	ஒவ்வொன்றாக	each
òpòlopò	நிறைய	many
òré	விளையாட்டு	friend
òfò	அடுத்து	sorrowful
òpòlopo	நிறைய	lot of
òré	விளையாட்டு	friend
òrò	எண்ணங்கள்	word
òsà	தங்கமீன்	lagoon
òwó	பணம்	hand
òrò	எண்ணங்கள்	word
òròàjòmó	காலை	part of speech
ó	அது	that
óníse	அவர் ஒரு வடிவமைப்பாளர்	stricken
ósírísì	உமிழ்நீர்	diverse
ósékú	அவன் இறந்துவிட்டான்	die suddenly
ó	ஆம்	word
ôdún	ஆண்டு	year
únṣẹlẹ̀	பூகம்பம்	formed
şe	செய்	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	உடல் நலமின்மை	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	திறப்பு	work
ṣàkóbá	தீங்கு விளைவிக்கும்	incriminate
ẹdo	நகைச்சுவை	edo
ẹlẹ́bùn	ஒரு பரிசு	award winner
ẹlẹ́sìn	மத	religionist
ẹnìkan	ஒரு நபர்	someone
ẹsẹ	அடி	verse
ẹtì	கல்லீரல்	friday
ẹ̀kaawon	சமர்ப்பிப்புகள்	branch of
ẹ̀kabrítánì	மாமா	part of britain
ẹ̀kajuly	மே	chapter july
ẹ̀kaoṣù	முள்	month
ẹ̀kasístẹ̀mù	அகநிலை	sistemu=system
ẹ̀kẹ́ta	மூன்றாவது	third, the third
ẹ̀kọ́	கல்வி	teachings
ẹ̀ni	who	person
ẹ̀rọ	இயந்திரங்கள்	machine
ẹ̀wẹ̀	மறுபுறம்	leaf
ọbàkàn	அரை சகோதரர்	step-sister
ọdún	ஆண்டு	year
ọlọ́mọ	குழந்தைகள்	members
ọlọ́run	ஒரு கடவுள்	god
ọmú	நீங்கள் சக்	breast
ọmọ	குழந்தை	c
ọn	அது	him
ọpọ́lọpọ́	அத்தி	many
ọ̀dọ́	இளைஞர்கள்	youth
ọ̀gbìn	ஆலை	seedlings
ọ̀nà	வழி	ways
ọ̀pòlòpò	நடவடிக்கை	various
ọ̀rọ̀	பேச்சு	word
ọ̀sẹ	வாரம்	week
