$ tỉ	мільярд доларів	$ billion
montenegro	чорноморська	montenegro
montmartre	монтмартр	(proper noun) montmartre
montparnasse	монтпарнас	montparnasse
montreal	монреальне	(proper noun) montreal, quebec
moo	му	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	мура	mora
moravia	моравія	moravia
morgan	морган	(proper noun) morgan
mori	морі	(proper noun) mori
moriarty	моріарті	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	морлі	morley
morocco	марокко	morocco
morris	морріс	morris
morrison	моррісон	(proper noun) morrison
morse	морс	(proper noun) morse, as in morse code
moscow	москва	moscow
mosin	мосін	mosin
moskva	москва	moscow
motown	мотосаун	motown
mourinho	моурінью	mourinho
movie	фільм	movie
mozambique	мозамбік	(proper noun) mozambique
mozart	мозарт	(proper noun) mozart, as in the composer
mp	mp	mp
ms	рс	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	му	pubis
mua	купити	buy
much	багато	much
muhammad	мухаммед	(proper noun) muhammad, as in muhammad ali
mumbai	мумбаї	mumbai
mun	чорне дерево	a vietnamese name
munich	мюніх	(proper noun) munich
murdoch	мурдоч	murdoch
muromachi	муромачі	(proper noun) muromachi
murphy	морфі	murphy
murray	муррей	(proper noun) murray, as in dr. conrad murray
mustang	мустанг	mustang, as in the f-51 mustang
muta	мута	a name
muôn	хочу	a large number; thousands (adj.)
muối	сіль	salt
muốn	хочу	want
muống	ложка	"(term should be ""rau muống"") water spinach (n.)"
muồi	пізно	ripe
muỗi	комар	mosquito
muỗng	ложка	spoon
muội	сестра	confusion
muộn	пізно	late (adv.)
myanma	м&#39;янма	the country of myanmar
myanmar	м&#39;янма	(proper noun) myanmar
myspace	мій простір	(proper noun) myspace
mà	але	also
mài	шліфування	tomorrow
màn	екран	curtain (n.)
mành	жалюзі	a bamboo screen (n.)
mào	гребінь	a comb or crest, as in the body part of a bird
màu	колір	color
mày	ти	sew
má	мати	cheek
mác	етикетка	a name (marx)
mách	поради	tell
máclênin	маркселенін	marxist-leninist
mái	дах	"entire term should be ""thoai mai""; means ""comfortable"""
mát	круто	cool
máu	кров	blood
máy	машина	a machine (n.)
mâm	лоток	tray
mân	розарій	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	суперечливий	contradiction
mây	хмара	cloud
mã	код	"(term should be ""la mã"") roman (adj.)"
mãi	навіки	forever (adv.)
mãimại	код	commerce
mãn	самовдоволений	satisfy
mãnh	сильний	intense
mão	корон	cat
mè	кунжут	sesame
mèo	кіт	cat (n.)
mé	mé	a border
méo	спотворене	alter
mép	край	edge
mét	метр	meter
mênh	химерно	vast
mêtan	метан	methane
mì	локшина	wheat
mình	себе	me
mía	очерет	sugar cane (n.)
mò	нарікав	to grope (v.)
mòn	слід	trail
móc	гачок	"(term should be ""máy móc"") machinery (n.)"
món	їжа	dish
mô	тканина	mo
môi	кожен	lip
môn	предметів	anus
mông	сідниці	mongolia
mônôxít	монооксид	monoxide
môt	один	"(term should be ""một"") one (n.)"
môtô	мотоцикл	motorcycle
mù	сліпий	mu
mùa	сезон	season
mùi	запах	smell
múa	танцювати	dance
mút	смоктання	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	пагони бамбука	bamboo shoot (n.)
mĩ	америка	america
mũ	шапка	cap
mũi	ніс	nose
mơ	мріяти	vague
mơn	лапки	caress
mưa	дощ	rain
mưu	хитрий	"(should be ""tham mưu"") advisors"
mươi	п’ятдесят	tens
mương	стік	ditch
mướn	орендна плата	hire
mướt	шовковистий	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	позичити	borrow
mượt	гладкий	glossy (adj.)
mạc	пустеля	"(should be ""mộc mạc"") simple or natural"
mạch	схема	vessel
mại	торгівля	commerce
mạn	сторона	romantic
mạnh	сильний	strong
mạo	стаття	"(should be ""mạo hiểm"") to brave danger"
mạt	кліщі	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	могили	tomb or grave (n.)
mải	зайнято	absorbedly
mảng	масив	genre
mảnh	шматок	piece
mất	загублений	lose
mấu	вкладка	key
mấy	нечисленні	any
mầm	зародок	kindergarten
mầu	колір	color
mẩu	шматки	piece
mận	слива	plum
mập	жир	fat
mật	мед	intimate
mậu	торгівля	mau
mắc	дорого	get
mắm	рибний соус	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	пощастило	"(term should be ""may mắn"") fortunate (adj.)"
mắng	лаяти	scold
mắt	око	eye
mặc	знос	wear
mặn	солоний	salt
mặt	обличчя	face
mẹ	мама	mother (n.)
mẹo	поради	trick
mẻ	партія	cool
mẽ	сильний	strong
mến	шановний	to adore or like greatly (v.)
mề	гайдар	locket
mềm	м’який	soft
mệnh	доля	revolution
mệt	втомився	tired
mỉ	прискіпливий	meticulous
mỉa	сарказм	ironic
mỉm	посмішку	smile
mịch	лайно	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	гладкий	smooth
mịt	нюхати	dim
mọc	росте	to grow (v.)
mọi	кожен	every
mọn	дріб&#39;язковий	lowly
mỏ	міни	mine
mỏi	втомився	tired (adj.)
mỏng	худий	thin
mốc	затхлий	border
mối	терміт	relationship
mốt	мода	fashion or style (n.)
mồ	могила	"(term should be ""mồ hôi"") sweat (n.)"
mồi	наживка	bait (n.)
mổ	хірургія	to dissect or perform surgery (v.)
mỗi	кожен	every
mộ	гробниця	admire
mộc	столярні вироби	simple
mộng	мріяти	dream
một	один	one
mới	нові	new (adj.)
mờ	нечіткий	dim
mời	запросити	invite
mở	відчинено	open
mỡ	жир	fat or grease (n.)
mục	предмет	purpose
mụn	прищі	pimple
mức	рівень	level
mứt	варення	preserve
mừng	радий	to be happy
mửa	блювота	to vomit (v.)
mực	чорнило	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	локшина	noodles (n.)
mỹ	америка	america
mỹcông	америка	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	наадам	naadam
nacional	націонал	nacional
nagant	наган	nagant
nagar	нагар	nagar, as in champa po nagar
nagasaki	нагасакі	(proper noun) the city of nagasaki, japan
nagoya	нагоя	a name
nagumo	нагумо	nagumo
nai	олені	a deer
nairobi	найробі	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	налбандський	a name
nam	самець	male
nambắc	північ	nambac
namibia	намібія	namibia
namnam	нам нам	male-male
namno	намно	nammo
nancy	живлення	nancy, as in nancy pelosi
nang	фолікул	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	ікла	fang
nano	нано	nano
naomi	ноомі	naomi, as in model naomi campbell
napoleon	наполеон	(proper noun) napoleon
napoli	наполі	(proper noun) napoli
napoléon	napoléon	napoleon
nara	нара	nara
nasa	наса	(proper noun) nasa
nat	фіз	nat
nathan	натан	nathan
natri	натрію	sodium
nauru	науру	a name
nava	нава	nava
navarre	navarre	navarre
nay	зараз	this (adj.)
needham	нудхам	needham
nelson	нельсон	(proper noun) nelson, as in nelson mandela
neo	якір	"(term should be ""mỏ neo"") an anchor (n.)"
neon	неонові	neon
nepal	непал	nepal
nepomuk	непомук	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	сітка	net
netbook	нетбук	netbook
netscape	netscape	netscape
networks	мереж	networks
neumann	neumann	(proper noun) neumann
neutrino	нейтрино	neutrino
nevada	невада	nevada
neverland	neverland	neverland
newcastle	ньюкасл	newcastle
newspaper	газета	newspaper
newton	ньютон	newton
newtons	ньютонів	(proper noun) newton's
next	наступний	next
nga	росія	russia
ngai	престол	crown
ngang	горизонтальний	horizontal
ngao	молюск	clam (n.)
ngay	правильно	even
nghe	слухати	hear
nghinh	nghinh	welcome
nghiêm	суворо	serious
nghiêng	схильний	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	кабачки	crush
nghiễm	жалість	serious
nghiệm	досвід	experiment
nghiện	залежним	addiction
nghiệp	карма	karma/ sự nghiệp=career
nghiệt	похмурий	adverse
nghành	промисловість	faculty
nghèo	бідний	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	ласкаво просимо	support
nghìn	тис	thousand
nghĩ	думати	think
nghĩa	засоби	meaning
nghẽn	затори	jam
nghếch	голосний	stupid
nghề	професії	career
nghệquận	мистецтво	art district
nghỉ	відпустка	relaxation
nghị	рекомендації	think
ngo	ласий	ngo
ngoan	хороший хлопець	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	смачно	delicious
ngoài	з	outside of
ngoại	іноземні	external
ngoạn	захоплюючи дух	spectacular
ngoặc	круглі скобки	bracket
ngoặt	черга	landmark
ngu	спати	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	оригінальний	reason
nguyền	прокляття	curse
nguyện	обітниця	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	місяць	moon
nguôi	заспокійливий	fade away
nguồn	джерело	source
nguời	люди	people
nguỵ	дурні	camouflage
ngà	слонова кістка	russian
ngàn	тис	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	відділення	sector
ngào	солодкий	sweet
ngày	день	day
ngách	ніша	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	дурний	chinese ethnic group living in the vietnamese highlands near the china border
ngán	нудно	to be tired of
ngáng	ngáng	stop
ngát	непритомність	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	банк	money
ngây	порожній	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	нгай	ngai
ngò	кінза	coriander
ngó	погляд	to look (v.)
ngói	плитка	tile or shingle
ngón	палець	a finger (n.)
ngót	усадка	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	мова	manifesto
ngông	гуска	eccentric
ngõ	провулок	lane
ngùi	запах	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	купе	prevent
ngũ	спати	rank
ngơ	ігнорується	ignored (adj.)
ngơi	відпочинок	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	рибалка	fishermen
ngưng	стоп	stop
ngưu	ох	buffalo
ngươi	ти	an ancient form of address equivalent to thou or thee (n.)
người	люди	people
ngưỡng	поріг	religious
ngược	зворотний	opposite
ngạc	здивований	surprise
ngạch	звання	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	банк	bank
ngạnh	барбуси	self-willed
ngạo	задумливий	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	асфіксія	stuffy
ngấm	настоюється	draw
ngất	непритомний	unconscious
ngầm	неявна	underground
ngần	вагайтесь	hesitate
ngẩn	ошелешений	froze
ngẫm	розмірковувати	think
ngẫu	випадкові	ngẫu nhiên= random
ngậm	пастилки	keep
ngập	затопило	flood
ngắm	споглядати	to contemplate or look admiringly at something (v.)
ngắn	короткий	short
ngặt	тісний	strict
ngọ	полудень	horse
ngọc	дорогоцінний камінь	pearl
ngọn	верх	top
ngọt	солодкий	sweet (adj.)
ngồi	сидіти	sit
ngộ	просвітлення	ngo
ngột	різко	sudden
ngớ	дурний	silly
ngời	люди	bright
ngỡ	думка	surprised
ngợi	похвала	praise
ngợm	неслухняний	naughty
ngục	тюрма	dungeon
ngụm	ковток	sip
ngụy	вей	puppet
ngủ	спати	sleep
ngủi	короткий	"(should be ""ngắn ngủi"") short-lived"
ngứa	сверблячий	itchy
ngừ	тунець	tuna
ngừa	запобігти	prevent
ngừng	перестати	to cease (v.)
ngửa	лицьовою стороною вгору	supine
ngửi	запах	to smell
ngữ	мовлення	term
ngự	зупинитися	defend
ngựa	кінь	horse
ngực	груди	chest
nha	стоматолог	dental
nhakẻ	дитина	nha-ke
nham	лава	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	пахощі	incense
nhanh	швидко	fast
nhat	nhat	nhat
nhen	загорівся	rekindle
nhi	діти	junior
nhiên	звичайно	tuy nhiên= however
nhiêu	багато	how many
nhiều	багато	numerous
nhiễm	заражений	infect
nhiễu	шум	noise
nhiệm	мито	task
nhiệt	тепло	heat
nhk	нхк	nhk
nhs	нш	nhs
nhu	подібно до	demand
nhuận	прибуток	leap year
nhuệ	nhue	elite
nhuộm	барвник	dye
nhàn	простоювати	leisure
nhàng	ніжно	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	замісити	to fall headlong
nhác	млявий	coward
nhái	клони	illegal copy
nhánh	відділення	branch
nháp	чернетка	draft
nháy	спалахів	to flash or blink (v.)
nhâm	занурення	leap
nhã	зі смаком	"(term should be ""thanh nhã"") elegant"
nhãn	етикетка	"(term should be ""gán nhãn"") to affix a label"
nhét	поставити	put
nhì	другий	second (adj.)
nhìn	погляд	to look (v.)
nhí	балаканина	children
nhím	їжак	porcupine
nhòm	погляд	to peep (v.)
nhóc	дитина	brat
nhóm	групи	group (n.)
nhô	виступаючий	emerge
nhôm	алюміній	aluminum (n.)
nhúng	занурити	embed
nhút	сором’язливий	shy
nhăn	зморшкуватою	wrinkle
nhĩ	передсердні	turkey
nhũ	емульсія	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	корупція	bribery
nhơn	примножувати	nhon
như	як	like
nhưng	але	but
nhương	слина	(proper noun) vietnamese first name
nhường	поступився місцем	yield
nhưỡng	жирний	soil
nhược	слабкість	weak
nhượng	поступки	concession
nhạ	нхạ	nha
nhạc	музику	music
nhạn	ковтати	bird
nhạo	глузуючий	ridicule
nhạt	блідий	light
nhạy	чутливий	sensitive
nhảy	танцювати	jump
nhấc	підйом	lift
nhấm	потягуючи	rodent
nhấn	пресування	to press (v.)
nhất	найкраще	most
nhầm	неправильно	misunderstand
nhầy	стрункий	glutinous
nhẫn	кільця	patient
nhậm	штампований	inaugurate
nhập	імпорт	penetrate
nhậu	пиття	drink
nhậy	чутливий	sensitive
nhắc	підказка	to remind (v.)
nhắm	мета	aim
nhắn	повідомлення	message
nhằm	націлювання	for the purpose of (adv.)
nhẵn	гладкий	smooth
nhặt	забрати	pickup
nhẹ	світла	light
nhẹn	спритний	nhanh nhẹn= fast/nimble
nhị	тичинки	sensitive
nhịn	утримуватися	fasting
nhọ	нещасливий	smear
nhọn	гострий	sharp (adj.)
nhỏ	малий	small
nhỏ|cây	невелике | дерево	small|tree
nhỏ|một	малий | один	small | one
nhỏ|phải|	малий | правильний |	small|right
nhỏ|phải|px|	малий | правий | px |	small | have | px |
nhỏ|phải|px|bức	маленькі | праві | px | фото	grape / fade / px / buc
nhỏ|phải|px|cây	невелике | право | px | дерево	px spicy grape fade
nhỏ|phải|px|khu	мала | права | px | зона	small|right|px|area
nhỏ|phải|px|michael	маленький | правий | px | michael	small|right|px|michael
nhỏ|phải|px|máy	мала | права | px | машина	small | right|px|machine
nhỏ|phải|px|một	малий | правий | px | один	small|right|px|one
nhỏ|phải|px|quân	мала | права | px | сила	small|right|px|army
nhỏ|px|	малий | px |	small
nhỏ|px|các	невеликий | px | the	small
nhỏ|px|phải|kiến	маленький | px | правий | мураха	small | px | right | patience
nhỏ|quân	мала | сила	small|army
nhỏ|trái|px|máy	невелика | ліва | px | машина	small|left|px|plane
nhỏ|tượng	невеликі статуї	small|statue
nhốt	замкнений	confine
nhồi	опудала	cram
nhổ	вищипувати	uproot
nhộn	веселий	busy
nhớ	розум	remember
nhớt	в’язкий	viscid
nhờ	дякую	by
nhờn	жирний	multiplication
nhở	нагадати	remind
nhụ	щіпка	nhu
nhục	принижений	shame
nhủ	нагадування	needs
nhức	болить	pain
nhứt	перший	first (n.)
nhừ	кашкоподібний	tender
những	ці	the
nhựa	пластикові	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	ня	a flat basket (n.)
nicaea	нікея	nicaea
nicaragua	нікарагуа	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	ніколас	(proper noun) nicolas, as in nicolas sarkozy
niels	нільс	(proper noun) niels
nigeria	нігерія	nigeria
nikel	нікель	nickel
niken	нікель	nickel
nikita	нікіта	(proper noun) nikita, a first name
nikko	нікко	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	миколайович	nikolayevich
nil	нуль	nile
nile	ніл	(proper noun) the river nile
nimitz	німіц	(proper noun) nimitz, as in the ship uss nimitz
nin	дев&#39;ять	nin
ninh	безпека	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	ніппон	nippon
nitơ	азот	nitrogen (n.)
nixon	ніксон	(proper noun) nixon, as in former president richard nixon
niên	рік	youth
niết	ніет	nirvana
niềm	задоволення	trust
niệm	обережність	concept
niệu	діурез	urinary
nj	nj	nj
nlf	nlf	nlf
nm	нм	nano-meters
noah	ной	(proper noun) noah
nobel	нобелів	nobel
nobita	nobita	nobita
noel	ніель	(proper noun) noel
noi	сказати	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	ном	look after
non	молодий	mountain
nonpenetrative	непроникний	nonpenetrative
norfolk	норфолк	norfolk
norge	норж	norge
norma	норма	(proper noun) norma, a female first name
norman	норман	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	нортон	norton
norway	норвегія	norway
nou	ноу	nou
novak	нонак	novak
now	зараз	now
nowc	тепер	nowc
noãn	яйцеклітина	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	нубій	nubia
number	число	number
nupedia	нупедія	a name
nusa	нуса	nusa
nuôi	корм	feed
nuối	ковтати	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	ковтати	to swallow (v.)
nuớc	вода	water
nxb	nxb	publisher
nynorsk	ньюнорськ	nynorsk
nà	nà	na
nài	наполягати	pleading
nàn	скаржився	poor
nành	соя	soy
nào	давай	would
này	це	this
ná	нá	a crossbow (n.)
nách	пахви	underarm (n.)
náo	обурювати	riot
nát	подрібнений	ruin
náu	ховатися	hide
nâng	підносити	raise
nâu	коричневий	brown
nã	nã	to track down (v.)
não	мозок	brain
né	ухилятися	dodge
ném	кинути	to throw (v.)
nén	стиснута	compress
nét	удари	feature
nê	не	ne
nên	підсвічник	should or ought to
nêu	скажи	mention
nòi	гонка	race
nòng	бочковий	barrel
nói	говорити	to say or speak (v.)
nón	шапка	cone
nóng	гарячий	hot
nô	раб	slave
nôbita	тобіта	nobita
nôi	ліжечко	cradle
nôm	нм	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	блювота	vomit
nông	неглибокий	farmer
nõn	лущення	peeled
nùng	nung	nung
núm	ручка	nipple
núp	ховатися	hide
nút	вузол	button
năm	рік	year
năn	кається	"(term should be ""ăn năn"") remorse (n.)"
năng	потужність	"(term should be ""khả năng"") ability (n.)"
nơi	місце	a place
nơtrino	нейтино	neutrino
nước	країна	country
nước 	країна	water
nướng	на грилі	grill
nǎm	нǎм	year
nạ	маска	mask
nạc	худий	lean (adj.)
nại	скаржитися	complain
nạn	лихо	a disaster (n.)
nạo	кюретаж	to scrape (v.)
nạp	завантажений	tribute
nản	зневірився	depressed
nảy	підстрибуючи	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	гикавка	a hiccup (n.)
nấp	ховатися	hide
nấu	готувати	cook
nấy	це	this
nần	підштовхувати	debt
nầy	це	this
nẩy	підстрибуючи	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n сонце	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	нам	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	гарячий	busy
nắm	тримати	to grasp or hold (v.)
nắng	сонячний	sunlight
nắp	кришка	a lid or cover (n.)
nằm	брехати	to lie (v.)
nẵng	нанг	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	анонімно	heavy
nặn	стиснути	mould
nặng	важкий	heavy
nẻo	інший	turn
nếm	смак	taste
nến	свічка	candle
nếp	липкий	sticky rice (n.)
nếu	якщо	if (adv.)
nề	кладка	severe
nể	повага	respect
nện	стукав	ram
nỉ	відчував	beg
nịnh	лестощі	flatter
nọ	інші	the other
nọc	отрута	tadpole
nỏ	арбалет	a crossbow (n.)
nối	підключений	connection
nốt	примітка	to finish off (v.)
nồi	горщик	pot
nồm	потилиця	humid (adj.)
nồng	гарячий	heavy
nổ	вибухонебезпечний	explode
nổi	плаваючий	nổi tiếng= famous
nỗ	спроба	affort
nỗi	що	state
nộ	гнів	anger
nội	внутрішній	on the paternal side (adj.)
nộn	начинка	non
nộp	подано	submit
nới	послабити	ease
nở	цвітіння	bloom
nỡ	від душі	do you have a heart to
nợ	в боргу	debt
nụy	маточка	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	пробка	a kind of bamboo (n.)
nứt	тріснув	to crack
nửa	половина	haft
nữa	знову	moreover
oahu	оаху	(proper noun) oahu
oai	болісно	heroic
oakland	дуб	oakland
oan	несправедливість	injustice
oanh	оан	(with word liet) glorious
obama	обама	obama
oblast	області	(proper noun) oblast, as in tomsk oblast
oc	ок	oc
october	жовтня	(proper noun) october
oda	о так	oda
oder	одер	oder
odyssey	одисея	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	офіцер	officer
officers	офіцерів	officers
ohkawa	охкава	ohkawa
okhotsk	охоцьк	okhotsk
oliver	олівер	oliver
olivier	олів’є	olivier
olympus	олімп	olympus
om	тушкований	to simmer
omar	омар	a name
ong	бджола	bee
ontario	онтаріо	ontario
oort	oort	oort
oprah	опр	(proper noun) oprah, as in oprah winfrey
organ	орган	organ
oricon	орікон	oricon
origin	походження	origin
orion	оріон	(proper noun) orion, the hunter
orleans	орлеан	(proper noun) orleans, as in new orleans
orochimaru	орочімару	orochimaru
orton	ортон	orton
os	ос	os
osaka	осака	(proper noun) osaka, a city in japan
osama	осама	(proper noun) osama, as in osama bin laden
osamu	вісіму	(proper noun) osamu, a japanese first name
oscar	оскар	oscar
osiris	осіріс	(proper noun) osiris, as in the egyptian god
oskar	оскар	a name
oslo	осло	oslo
osment	осмент	osment
ospf	ospf	ospf
ossetia	осетія	(proper noun) ossetia
oswald	oswald	oswald
other	інший	other
otto	отто	(proper noun) otto, as in otto von bismarck
ottoman	тахта	(proper noun) ottoman, as in the ottoman empire
outstanding	видатний	xuat sac
owen	оуен	(proper noun) owen, as in michael owen
oxford	оксфорд	oxford
oxy	кисень	oxygen
ozawa	озава	(proper noun) ozawa, as in maria ozawa
oán	обурення	"(term should be ""oán than"") to complain or whine"
oát	ватт	a watt (n.)
oản	оàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	пайлін	pailin
pakistan	пакистан	(proper noun) the country of pakistan
palais	палац	palais, as in grand palais
palawan	палаван	palawan
palenque	паленка	(proper noun) palenque
palestine	палестин	a name
palgrave	палграв	palgrave
pali	палі	a name
pamir	памір	pamir
pan	каструля	pan, as in peter pan
panama	панама	panama
panamax	панамакс	(proper noun) panamax
panduranga	пандуранга	(proper noun) panduranga
panthera	пантера	(proper noun) panthera, a genus of felines
panthéon	пантеон	a name
paolo	паоло	paolo
paperback	м&#39;яка обкладинка	paperback
papua	папуа	papua
paraguay	парагвай	(proper noun) paraguay
pari	пари	pari
park	парк	park
parton	партон	parton
patel	патель	(proper noun) patel
patrick	патрик	patrick
patriot	патріот	patriot
paul	paul	paul
paula	паула	paula
paulo	пауло	(proper noun) paulo
pavia	павія	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	педро	pedro
peers	однолітки	peers
pele	пеле	(proper noun) pele, as in the soccer player
penang	пенанг	penang
penh	пенш	(proper noun) penh, as in phnom penh
pennsylvania	пенсільванія	pennsylvania
penny	копійки	(proper noun) penny, an english first name
pereira	перейра	pereira
perl	перл	(proper noun) perl
pero	перо	pero
perry	перрі	(proper noun) perry, as in elizabeth perry
persephone	персефона	presephone
pershing	персинг	pershing
persian	персидський	persian
peru	перу	peru, as in the south american country
peters	петер	peter's, possessive of peter
petersburg	петербург	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	змішаний	to mix
phaethon	фаетон	phaethon
pham	pham	pham
phanh	гальмо	expose
phao	плавати	float
phaolô	пол	st. paul, the apostle
pharaoh	фараон	pharaoh
pharaon	фараон	pharaoh
phay	фрезерування	mill
phe	фракція	faction
phen	фен	time
phil	філ	(proper noun) phil, a first name
philip	філіп	philip
philippe	філіпп	philippe
philippines	філіппіни	(proper noun) philippines
phillip	філіп	(proper noun) phillip
phillips	філіпси	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	фільм	phim
phin	фільтр	coffee filter
phineas	фінеї	(proper noun) phineas
phiên	сесія	trial
phiêu	пригода	adventurous
phiếm	плітки	gossip
phiến	клинок	"(should be ""nha phiến"") opium"
phiện	опіум	opium
phiệt	фіет	militarism
phnom	пном	phnom
phnôm	фом	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	фенікс	(proper noun) phoenix
phong	кімната	movement
php	php	php
phrygian	фригійський	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	непокритий	expose
phun	спрей	to spray or spit (v.)
phà	пором	ferry
phàm	смертний	superhuman
phàn	скаржитися	complain
phá	ламаючи	destroy
phác	ескіз	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	бити	manner (n.)
phái	секта	a party
phán	судити	judge
pháo	гармата	artillery
pháp	франція	method
phát	мовлення	develop
phèn	галиця	alum
phèo	phèo	organs
phép	дозволено	permit
phê	отримати високі	"(term should be ""phê bình"") to criticize (v.)"
phêrô	петро	peter
phì	збільшений	non-
phình	опуклість	bulge
phí	зарядка	non-
phía	сторона	side
phích	термос	a flask (n.)
phím	ключ	key
phò	фт	"(term should be ""phò mã"") a prince consort"
phòng	кімната	office
phó	заступник	second
phóng	запуск	to launch (v.)
phô	місто	display
phôi	ембріон	embryo
phông	шрифт	font
phùng	слойки	phung
phúc	благословенний	good fortune (n.)
phúclộc	благословення	phuc-loc
phún	шишка	"(term should be ""lún phún"") sparse (adj.)"
phúng	жалість	satire
phút	хвилина	a minute (n.)
phăn	лада	phan
phăng	фанг	knock
phương	пхуонг	direction
phước	благословення	luck
phường	уорд	ward
phượng	фенікс	phoenix
phạn	санскрит	sanskrit
phạt	карати	punish
phả	родовід	pedigree
phải	правильно	must
phải 	правильно	right
phản	лічильник	reaction
phảng	квартира	subtle
phần	частина	part
phẩm	продукція	food
phẩy	кома	a comma
phẫn	обурений	wrathful
phẫu	хірургія	surgery
phận	доля	part
phật	будда	buddhist
phẳng	площині	flat (adj.)
phế	лом	dismiss
phết	поширення	to spread or smear (v.)
phỉ	ліщина	defame
phỏng	спалити	interview
phố	місто	city
phối	координувати	coordinate
phốt	фосфат	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	надутий	to swell (v.)
phổ	спектр	popular
phổi	легеня	lung
phộng	арахіс	peanut
phới	плавати	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	суп з локшиною	pho
phục	одяг	convincing
phụng	служити	worship
phụt	слойки	minute
phủ	вкриті	government
phức	складний	complex
picchu	пікчу	a name
piccolo	пікколо	piccolo
pierre	пристань	pierre
pierrot	п’єро	pierrot
pietro	піетро	pietro
pike	щука	pike
pin	акумулятор	battery
pinlus	прищіпка	pinlus
pioneer	піонер	pioneer
pipes	труби	pipes
pisa	писар	a name
piston	поршень	piston
pitch	крок	pitch
pius	пій	pius
plaaf	плато	plaaf
plan	план	plan
plasma	плазма	plasma
plate	тарілка	plate
plato	платон	plato
platon	платон	platon
player	гравець	player
pleiku	плейку	(proper noun) pleiku
