$	usd	a sign of doller
ફોટોન	fotons	photon
ફોન	tālr	phone
ફોનના	no telefona	of phone
ફોનની	no telefona	phone's
ફોન્સ	telefoni	phones
ફોર	priekš	for [english word]
ફોરમ	forums	forum
ફોર્ટ	forts	fort
ફોર્થ	ceturtais	fourth
ફોર્મેટમાં	formātā	in the format
ફોર્મ્યુલા	formula	formula
ફોલ્ટ	bojājums	fault
ફોસીલ	fosilijas	focil
ફૌજ	armija	army / troops
ફ્યૂઅલ	degviela	fuel
ફ્રાંસ	francija	france
ફ્રાન્ક	frenks	frank
ફ્રાન્કા	frenka	frank
ફ્રાન્સ	francija	country name
ફ્રાન્સમાં	francijā	farnce
ફ્રાન્સિસ્કો	fransisko	francisco
ફ્રાન્સે	francija	france's
ફ્રિસિયન	frānsisa	firsian / fyrsian
ફ્રેંચ	franču valoda	french
ફ્રેન્ચ	franču valoda	franch
ફ્રેન્ચમાં	franciski	in french
ફ્રેબ્રુઆરી	februāris	february
ફ્રોમ	no plkst	from
ફ્લાઈટ	lidojums	flight
ફ્લાવર	zieds	flower
ફ્લેગ	karogs	flag
ફ્લેશ	zibspuldze	flash
ફ્લોરિડા	florida	florida
બંગાળ	bengālija	bangal
બંગાળના	no bengālijas	bangal's
બંગાળની	no bengālijas	bangal's
બંગાળનો	no bengālijas	bengal
બંગાળમાં	bengālijā	in bengal
બંગાળી	bengāļu	language name
બંદર	osta	port
બંદી	nebrīvē	captive
બંધ	izslēgts	close
બંધન	verdzība	bondage
બંધની	no aizsprosta	dam
બંધાયેલ	saistīts	built
બંધાયેલા	saistīts	built
બંધાયેલી	saistīts	formed
બંધાયો	saistīts	built
બંધારણ	konstitūcija	constitution
બંધારણનો	no konstitūcijas	of the constitution
બંધારણમાં	formātā	constitution
બંધારણીય	konstitucionālais	constitutional
બંધાવી	saistīts	built
બંધાવ્યા	saistīts	built
બંધાવ્યું	būvēts	built
બંને	gan jau	both
બંનેએ	gan jau	both
બંનેના	no abiem	both
બંનેની	no abiem	of both
બંનેને	gan jau	both
બંન્ને	gan jau	both
બક્ષી	bakshi	bakshi
બગદાણા	bagdana	bagdana
બગદાદ	bagdāde	baghdad
બગીચા	dārzi	gardens,
બગીચામાં	dārzā	in the garden
બગીચો	dārzs	garden
બચવા	izbēgt	to save,
બચાવ	glābšana	defense
બચાવવા	saglabāt	to save
બચાવી	saglabāts	saving
બચાવે	ietaupa	save
બચી	pārdzīvojušie	saved
બચ્ચન	baččana	bachchan
બચ્ચનની	baččana	bachchan
બચ્ચને	baččana	bachhan
બચ્યા	pārdzīvojušie	were saved
બજાર	tirgus	market
બજારનો	no tirgus	market's
બજારમાં	tirgū	in the market
બજાવી	spēlēja	worked out
બતાવવા	parādīt	to show
બતાવવામાં	parādīts	showing
બતાવી	parādīt	shown
બતાવે	rāda	shown
બતાવ્યા	parādīts	shown
બતાવ્યો	parādīts	shown
બદલ	priekš	as a result of, by, for
બદલવા	mainīt	changing
બદલવામાં	mainīts	replaced
બદલાઇ	mainīts	changed
બદલાઈ	mainīts	changed
બદલાતા	mainās	changing
બદલાતી	mainās	changing
બદલામાં	apmaiņā	in exchange,
બદલાય	atšķiras	changes
બદલાવ	pārmaiņas	transformation / change
બદલાવો	pārmaiņas	changes
બદલી	mainīts	changed
બદલીને	mainās	after changing
બદલે	tā vietā	on behalf
બદલો	pārmaiņas	revenge,
બધા	visi	all
બધાં	visi	all
બધાજ	visi	every body
બધાને	visiem	all
બધી	visi	all
બધુ	viss	all
બધું	viss	everything
બન	bulciņa	being
બનતા	kļūstot	become
બનતી	kļūstot	making
બનતું	notiek	to happen
બનવા	kļūt	happen
બનવાની	būt	processes
બનવાનું	būt	to become
બનશે	notiks	will be
બનાવ	incidents	incident
બનાવટ	radīšana	making
બનાવટી	viltus	forged
બનાવતા	izgatavošana	used to make
બનાવતી	izgatavošana	making
બનાવનાર	radīts	maker
બનાવવા	izveidot	to make
બનાવવાના	radīt	to construct
બનાવવાની	radīt	making
બનાવવાનું	radīt	to construct
બનાવવાનો	radīt	to make
બનાવવામાં	izgatavots	in making
બનાવવી	radīt	making
બનાવાય	izveidots	is being made
બનાવી	izveidots	making
બનાવીને	veidojot	having made
બનાવે	padara	make
બનાવેલ	izveidots	made, created
બનાવેલા	izveidots	made
બનાવેલી	izveidots	to be made
બનાવો	izveidot	events
બનાવ્યા	darbojas	made
બનાવ્યું	izveidots	done/made
બનાવ્યો	viens	made
બનાસકાંઠા	banaskantha	banas kantha
બની	kļūsti	became
બનીને	kļūstot	emerged out
બને	notiek	becomes
બનેં	kļūsti	both
બનેલ	būvēts	made
બનેલા	sastāvs	developed
બનેલી	taisīts no	making
બનેલું	sastāvs	made of
બનેલો	sastāvs	made of
બન્ને	gan jau	both
બન્નેની	no abiem	of both
બન્નેને	gan jau	both
બન્યા	kļuva	became
બન્યાં	kļuva	made
બન્યુ	notika	became
બન્યું	notika	done/completed/made
બન્યો	notika	became
બપોર	pusdienlaiks	afternoon
બરફ	ledus	ice
બરફના	no ledus	icy
બરાબર	labi	exact
બરોડા	baroda	baroda
બરોબર	tieši tā	equally
બર્મા	birma	burma
બર્મામાં	birmā	in burma
બર્મ્યુડા	bermudu salas	bermuda,
બર્લિન	berlīne	berlin
બલરામ	balram	balaram
બલુઆ	smiltis	balua, type of ceramic/stone
બળ	spēks	strength
બળદ	vērsis	ox
બળની	no spēka	of force
બળને	piespiest	to the force
બળનો	no spēka	of power
બળવા	sacelšanās	revolts
બળવાન	spēcīgs	strong / mighty
બળવાને	sacelšanās	to the revolt
બળવો	sacelšanās	revolt
બળી	sadedzis	burn
બળે	apdegumi	burnt
બળો	spēki	energies
બસ	vienkārši	then
બસો	autobusi	two hundrd
બસ્સો	autobusi	two hundred
બહાદુર	drosmīgs	bahadur / brave
બહાર	ārā	outside
બહારથી	no ārpuses	from the outside
બહારના	neatkarīgās personas	out of
બહારની	ārā	outside
બહારનું	ārā	outer, of the outside,
બહારનો	ārā	outer, external
બહાલી	ratifikācija	approval
બહિર્ગામી	izejošais	extrovert
બહિષ્કાર	boikots	ostracism
બહુ	pārāk daudz	very
બહુત	ļoti daudz	excessive [hindi - urdu word]
બહુધા	lielāko daļu laika	most of the time
બહુમતિ	vairums	majority
બહુમતી	vairākums	majority
બહુમાન	cieņa	honour
બહુમૂલ્ય	dārgakmeņi	precious
બહુવચન	daudzskaitlī	plural
બહુવિધ	vairāki	various
બહેન	māsa	sister
બહેનને	māsa	to sister
બહેનો	māsas	sisters
બહોળા	plaši runājot	wide
બહોળી	plašs	wide
બાંગ્લા	bangla	bangal
બાંગ્લાદેશ	bangladeša	bangladesh, name of country,
બાંધકામ	būvniecība	construction
બાંધણી	saistošs	construction
બાંધવા	uzbūvēt	to built
બાંધવામાં	būvēts	building
બાંધી	piesiets	built
બાંધીને	ar sasiešanu	to build, to constructed, to be tied,
બાંયધરી	garantija	indemnity
બાઇબલ	bībele	holy book of judaism and christianity
બાઈ	bye	bai
બાઈટ	baits	bite
બાકાત	izslēgts	useless
બાકી	kreisais	balance
બાકીના	pārējie	remaining
બાકીનાં	pārējie	remaining
બાકીની	pārējie	remaining
બાગ	dārzkopība	baug
બાજરી	prosa	pearl millet
બાજુ	sānu	beside
બાજુએ	uz sāniem	side
બાજુથી	no sāniem	from side
બાજુના	blakus	neighboring
બાજુની	sānu	beside / next
બાજુમાં	blakus	beside
બાણ	bultas	bow arrow
બાથ	pirts	bath
બાદ	pēc	after
બાદના	pēdējais	following
બાદની	pēdējais	after
બાદબાકી	mīnus	substraction
બાદમાં	pēdējais	after
બાદશાહ	imperators	king
બાપા	tētis	bapa
બાબત	lieta	matter
બાબતને	lieta	matter
બાબતમાં	jautājumā	regarding
બાબતે	jautājumā	subjected, of the point
બાબતો	svarīgi	matters
બાબતોને	svarīgi	to the matters, of the matters
બાબતોમાં	lietās	in matters
બાય	bye	by [english word]
બાર	divpadsmit	twelve
બારડોલી	bardoli	bardoli
બારી	logs	window
બારે	par	about
બાલ	bērns	bal
બાલિ	bali	bali
બાલી	bali	bali
બાલ્ટિક	baltija	baltic shore
બાળ	bērns	child
બાળક	bērniņš	child
બાળકની	mazuļa	child like
બાળકને	bērniņš	to child
બાળકો	bērni	children
બાળકોના	no bērniem	of the children
બાળકોની	bērniem	of the children
બાળકોને	bērni	for children
બાળપણ	bērnība	childhood
બાળપણથી	kopš bērnības	since childhood
બાળપણમાં	bērnībā	in childhood
બાળી	sadedzis	burn
બાવન	piecdesmit divi	fifty two
બાસ્કેટબોલ	basketbols	basketball
બાહર	ārā	outside
બાહરની	ārā	from outside
બાહરી	ārpuse	outer [hindi word]
બાહ્ય	ārējs	outer
બિંદુ	punkts	drop
બિગ	liela	big
બિઝનેસ	bizness	business
બિન	nē.	non -
બિનવર્તુળાકાર	nav apļveida	non-circular
બિનસાંપ્રદાયિક	laicīgais	non communal
બિરાજમાન	sēdi	seated
બિરુદ	nosaukums	image
બિલ	rēķins	bill
બિલકુલ	pilnīgi	just / plain
બિલબોર્ડ	stends	billboard
બિલાડી	kaķis	cat
બિલિયન	miljardus	billion
બિલ્ડીંગ	ēka	building
બિહાર	bihars	bihar
બિહારના	no bihāras	bihar's
બિહારની	no bihāras	bihar's
બી	b	b
બીએમસી	bmc	bmc
બીચ	pludmale	beach
બીજ	sēklas	elgebra
બીજને	sēklas	second date of hindu calendar
બીજા	otrais	second
બીજાં	citi	second
બીજાની	no cita	other's
બીજાને	citam	others / to others
બીજી	otrais	second
બીજુ	otrkārt	second
બીજું	otrkārt	second
બીજે	citur	other
બીજેપી	bjp	bjp (bharatiya janata party)
બીજો	otrais	second
બીટા	beta	beta
બીબીસી	bbc	bbc
બુક	grāmata	book
બુટ	zābaki	boot
બુદ્ધ	buda	buddh
બુદ્ધના	no budas	buddha's
બુદ્ધિ	saprāts	intelligence
બુધ	dzīvsudrabs	mercury
બુશ	bušs	bush
બૃહદ	liela	greater
બૃહદ્	liela	greater
બે	divas	both
બેંક	banka	bank
બેંગલોર	bangalore	banglore
બેંગાલ	bengālija	bengal
બેંગ્લોર	bangalore	banglore, name of indian city
બેંગ્લોરમાં	bangalore	in banglore
બેકઅપ	rezerves	backup
બેઘર	bezpajumtnieki	homeless
બેઝ	bāze	base
બેઝિક	pamata	basic
બેટ	sikspārnis	bat
બેટિંગ	vatelīns	bating
બેટ્સમેન	sikspārnis	batsman
બેટ્સમેનને	sikspārnim	to batsman
બેઠક	sēdeklis	meeting / session
બેઠકો	sēdekļi	seats
બેઠકોની	no sēdvietām	of seats
બેઠા	apsēdās	sit
બેઠેલા	sēdi	sitting on
બેઠો	apsēdies	sited
બેન	bens	ben
બેન્ક	banka	bank
બેન્કના	no bankas	bank's
બેન્ડ	josla	band
બેય	līcis	both
બેર	lācis	ber
બેરોજગારી	bezdarbs	unemployment
બેલ	zvans	bell
બેવડી	divkāršs	double
બેસણા	sēdi	sitting, seats,
બેસાડવામાં	iegultās	to sit
બેસી	apsēdies	to sit
બેસીને	sēdi	by sitting
બેસે	burvestības	set
બેસ્ટ	labākais	best
બોંબ	bumba	bomb
બોક્સ	kaste	box
બોક્સઓફિસ	kasē	boxoffice
બોઝ	bose	bose
બોઝના	bose&#39;s	bose's
બોડી	korpuss	body
બોધ	apgaismība	precept
બોમ્બ	bumbas	bomb
બોમ્બિંગ	bombardēšana	bombing
બોમ્બે	bombeja	bombay
બોરદેવી	bordevi	bordevi
બોરસદ	borsads	borsad
બોર્ડ	valde	board
બોલ	bumba	ball
બોલચાલની	sarunvaloda	conversation
બોલચાલમાં	sarunvalodā	behaviour
બોલતા	runā	speaking
બોલનાર	runātājs	speaker
બોલનારા	runātāji	speakers
બોલને	uz balli	to the ball
બોલમાં	bumbiņas	in the ball
બોલર	bļitkotājs	bowler
બોલવા	runāt	to speak
બોલવામાં	runāja	spoken
બોલાતી	runāja	spoken
બોલાય	runāja	spoken
બોલાવવામાં	zvanīja	are called
બોલિંગ	boulings	bowling, ( in cricket fielding team's man bowls to batsman)
બોલી	dialekts	dialect
બોલીઓ	dialekti	dialects
બોલીઓમાં	dialektos	languages
બોલીવુડ	bolivuda	bollywood
બોલે	runā	speaks
બોલ્યા	runāja	spoken
બૌદ્ધ	budistu	buddhist
બૌદ્ધિક	intelektuāls	intellectual
બૌધિક	intelektuāls	intellectual
બ્રમ્હચર્યની	no celibāta	of celibacy
બ્રહ્મ	brahmans	brahm
બ્રહ્મકુંડ	brahmakund	brahma kund
બ્રહ્મચર્ય	celibāts	celebacy
બ્રહ્મચારી	celibāts	virgin
બ્રહ્મા	brahma	brahma
બ્રહ્માંડ	visums	universe
બ્રહ્માંડના	visuma	of the universe
બ્રહ્માંડની	visuma	of the universe
બ્રહ્માંડનું	visuma	of cosmos / universe
બ્રહ્માંડને	visumam	to the universe
બ્રહ્માંડમાં	visumā	in the sky
બ્રહ્માંડો	visumi	universe
બ્રહ્માએ	brahma	by brahma
બ્રહ્માજી	brahmaji	lord brahma
બ્રહ્માનંદ	brahmananda	brahmanand
બ્રાઉઝર	pārlūks	browser
બ્રાઝિલ	brazīlija	brazil
બ્રાન્ડ	zīmols	brand
બ્રાયન	braiens	brian
બ્રાહ્મણ	brahmins	universe
બ્રાહ્મણો	brahmins	brahmin's
બ્રાહ્ય	ārējs	external
બ્રિજ	tilts	bridge
બ્રિટન	lielbritānija	britain
બ્રિટનના	lielbritānijas	britan
બ્રિટનની	lielbritānijas	of britain
બ્રિટનને	uz lielbritāniju	to britain
બ્રિટનમાં	lielbritānijā	in britain
બ્રિટને	lielbritānija	britain
બ્રિટિશ	britu	british
બ્રિટિશરો	briti	britishers
બ્રિટિશરોએ	briti	britishers
બ્રિટીશ	britu	british
બ્રિટીશરો	briti	britishers
બ્રેડમેન	bredmens	bradman
બ્રોડબેન્ડ	platjoslas pakalpojumi	broadband
બ્રોડવે	brodveja	broadway
બ્લિટ્ઝક્રેગ	blitzkrieg	blitzkrieg
બ્લેક	melns	black
બ્લોક	bloķēt	block
બ્લોગ	emuārs	blog
બ્લોગમાં	emuārā	in the blog
બ્લોગર	emuāru autors	blogger
બ્લોગર્સ	emuāru autori	bloggers
બ્લોગિંગ	emuāri	blogging
બ્લોગ્સ	emuāri	blogs
ભંગ	pārtraukums	break
ભંગાણ	avārija	faults
ભંડોળ	finansējums	fund
ભકત	bhakta	devotee
ભકતો	bhaktas	devotees
ભક્ત	bhakta	devotee
ભક્તિ	veltījums	to pary
ભક્તિના	no ziedošanās	of the devotion
ભક્તિની	no ziedošanās	of the prayer
ભક્તિવેદાંત	bhaktivatdanta	bhaktivedant
ભક્તો	bhaktas	devotee
ભક્તોને	bhaktām	devotees
ભગત	bhagata	devotee
ભગવદ	bhagwad	bhagvad
ભગવદ્	bhagwad	bhagwad
ભગવાન	dievs	god
ભગવાનના	dieva	of god
ભગવાનનાં	dieva	of god
ભગવાનની	dieva	god
ભગવાનનું	dieva	god
ભગવાનને	dievam	god
ભગવાનમાં	dievā	in god
ભગવાને	dievs	god
ભગીની	māsa	sister
ભગીરથ	bhagirāts	herculean
ભજન	bhajans	bhajan
ભજનમાં	psalmos	in hymn
ભજનો	psalmi	hymns
ભજવી	spēlēja	role,
ભજવે	spēlē	to play a role of
ભજવ્યો	spēlēja	palyed a role of
ભટ્ટ	bhatt	bhatt
ભણતર	mācīšanās	education
ભણવા	mācīties	study
ભદ્રના	no elites	bhadra's
ભય	bīstami	fear
ભયંકર	briesmīgi	dangerous
ભયાનક	satriecošs	horible
ભરત	bharat	bharat
ભરતી	darbā pieņemšana	recruitment
ભરતીઓટ	darbā pieņemšana	tide-tim
ભરપુર	bagātīgs	full of
ભરપૂર	pilns	full of
ભરવા	aizpildīšana	patching, hear it to do, or react
ભરાતો	aizpildīts	being held [at]
ભરાય	aizpildīts	load /  fill
ભરી	aizpildīts	painted
ભરીને	aizpildīšana	by filling
ભરુચ	bharuch	bharuch
ભરૂચ	bharuch	bharuch
ભરેલી	pilns	full
ભર્યા	iesniegts	paid
ભલામણ	ieteicams	recommandation
ભલામણો	ieteikumi	recommendations
ભલે	pat ja	let it be
ભળી	apvienot	mixed
ભળે	sajaukts	mixed
ભવન	ēka	residence
ભવનાથ	bhavnath	bhavnath
ભવનાથનાં	no bhavnath	bhavnath's
ભવનાથનો	no bhavnath	bhavnath's
ભવિષ્ય	nākotne	future
ભવિષ્યના	no nākotnes	of future,
ભવિષ્યની	no nākotnes	future's
ભવિષ્યમાં	nākotnē	in future
ભવ્ય	krāšņs	royal / grand
ભા	daļa	part
ભાંગી	salūzis	broken
ભાઇ	brālis	brother
ભાઈ	brālis	brother
ભાઈઓ	brāļi	brothers
ભાઈઓને	brāļi	to the brothers
ભાગ	daļa	part
ભાગથી	daļa	part of, role of
ભાગના	lielākā daļa	part
ભાગનાં	no detaļām	in the part
ભાગની	daļa no	of the part
ભાગનું	daļa no	of the part
ભાગને	daļa	portion
ભાગનો	porcija	portion
ભાગમાં	daļēji	in the (west) side
ભાગરૂપે	daļēji	part
ભાગલા	sadalīt	devide
ભાગલાના	no dalīšanas	of partition
ભાગલાની	sadalījums	divide
ભાગવત	bhagvats	bhagwat
ભાગવતમ્	bhagavatam	bhagwat
ભાગવદ	bhagavad	bhagwad
ભાગી	bēgšana	breaks down
ભાગીદાર	partneris	partner
ભાગીદારી	partnerība	partnership
ભાગે	bieži vien	part
ભાગો	daļas	parts
ભાગોનો	daļas	regions
ભાગોમાં	pa daļām	pices
ભાગ્યે	reti	rarely
ભાજપ	bjp	bhajap
ભાજી	dārzeņi	vegetable
ભાત	rīsi	pattern
ભાદર	sveicieni	bhadar
ભાદરવા	cieņa	bhadarva [name of a month]
ભાન	saprotiet	understand
ભાભા	bhabha	bhabha
ભાર	slodze	weight / pressure
ભારત	indija	bharat
ભારતથી	no indijas	from india
ભારતના	no indijas	india
ભારતનાં	no indijas	of india
ભારતની	no indijas	india's
ભારતનું	no indijas	india's
ભારતને	uz indiju	india's
ભારતનો	no indijas	india's
ભારતભરમાં	visā indijā	throughout india
ભારતમાં	indijā	in india
ભારતમાંથી	no indijas	from india
ભારતી	bharti	india's
ભારતીય	indiānis	indian
ભારતીયો	indiāņi	indians
ભારતીયોએ	indiāņi	by the indians
ભારતીયોના	no indiāņiem	by indians
ભારતીયોની	no indiāņiem	indians
ભારતીયોને	indiāņi	indians
ભારતે	indija	india's
ભારપૂર્વક	uzstājīgi	forcefull
ભારયુક્ત	stresa	heavy
ભારે	smags	heavy
ભાવ	cena	rate
ભાવનગર	bhavnagar	bhavnagar
ભાવનગરના	bhavnagar	coty name
ભાવના	gars	feeling
ભાવનાત્મક	emocionāls	emotional
ભાવિ	nākotne	future
ભાવે	par cenu	rate
ભાષણ	runa	speech
ભાષણો	runas	lectures
ભાષા	valoda	language
ભાષાંતર	tulkošana	translation
ભાષાએ	valodā	languages
ભાષાઓ	valodas	languages
ભાષાઓથી	no valodām	from the languages
ભાષાઓના	no valodām	languages
ભાષાઓનાં	no valodām	of languages
ભાષાઓની	no valodām	languages
ભાષાઓને	valodas	languages
ભાષાઓનો	no valodām	of languages
ભાષાઓમાં	valodās	in languages
ભાષાઓમાંથી	no valodām	from the languages
ભાષાકીય	lingvistiski	linguistic
ભાષાના	no valodas	of language
ભાષાનાં	no valodas	of language
ભાષાની	no valodas	of language
ભાષાનું	no valodas	of languages
ભાષાને	valoda	to language
ભાષાનો	no valodas	of language
ભાષામાં	valodā	in language
ભાષામાંથી	no valodas	frim the language
ભાષાશાસ્ત્રના	valodniecība	of linguistic
ભાષાશાસ્ત્રની	valodniecība	study of language
ભાષાશાસ્ત્રીઓ	valodnieki	linguists
ભાષ્ય	komentārs	spoken
ભાસ્કર	bhaskar	name
ભિન્ન	savādāk	diffrent
ભિન્નતા	variācijas	difference
ભી	arī	also
ભીમ	bhim	bheem
ભીમને	bhimne	to bhim
ભીલ	bhil	bheel
ભીષ્મ	bišma	bhishma
ભીષ્મએ	bišma	bhishma
ભીષ્મના	bišma	bhishma's ('bhishma pitamah' was the eighth son of kuru king shantanu)
ભીષ્મને	bišma	to bhishma
ભુકંપ	zemestrīce	earthquake
ભુખ્યાને	izsalcis	to hungry
ભુજ	bhuj	bhuj
ભુમિ	zeme	land
ભુમિકા	loma	charecter
ભૂંસી	izdzēsta	erased
ભૂકંપ	zemestrīce	earthquake
ભૂકંપને	zemestrīces	earthquake
ભૂખ	izsalkums	hungary
ભૂગર્ભ	pazemes	underground
ભૂગોળ	ģeogrāfija	geography
ભૂતકાળ	pagātne	past
ભૂતકાળના	no pagātnes	past
ભૂતકાળની	no pagātnes	past
ભૂતકાળમાં	pagātnē	in past
ભૂતપૂર્વ	bijušais	former
ભૂતાન	butāna	country name bhutan
ભૂતાનની	no butānas	"country mane ""bhutan"""
ભૂભાગ	apvidus	piece of land
ભૂમધ્ય	vidusjūra	red sea
ભૂમિ	zeme	earth
ભૂમિકા	loma	role / character
ભૂમિકામાં	lomā	in the role of
ભૂમિતિ	ģeometrija	geometry
ભૂમિતિના	no ģeometrijas	geometry
ભૂલ	kļūda	mistake
ભૂલી	aizmirsti	by forgetting
ભૂલો	kļūdas	mistakes
ભૂસ્તરશાસ્ત્રીય	ģeoloģiskā	geologist
ભૂસ્તરીય	ģeoloģiskā	cismograph
ભેગા	savāc	collecting
ભેગી	pulcēšanās	with
ભેજવાળા	lipīga	damp
ભેજવાળી	mitrs	damp
ભેટ	dāvanas	present / gift
ભેટો	dāvanas	gifts
ભેદ	atšķirības	different
ભેદને	atšķirības	difference
ભેદભાવ	diskriminācija	discrimination
ભૈરવ	bhairav	bhairava
ભૈરવની	bhairavani	bhairav's
ભોંસલે	bonsons	bhonsale
ભોગ	upuris	material
ભોજન	ēdieni	food
ભોજનની	ēdieni	cuisine
ભોજનમાં	ēdienreizēs	in meal
ભોજે	vakariņās	bhoj
ભૌગોલિક	ģeogrāfiskais	geographical
ભૌગોલીક	ģeogrāfiskais	geographically
ભૌતિક	fiziskā	physics
ભૌમિતિક	ģeometriski	geometric
ભ્રમણ	orbīta	roaming
ભ્રમણકક્ષા	orbīta	orbital plane
ભ્રષ્ટ	bojāts	corrupt
ભ્રષ્ટાચાર	korupcija	corruption,
મંગલ	marss	mars
મંગળ	marss	mars
મંગળવાર	otrdiena	tuesday
મંગોલિયા	mongolija	mangolia
મંચ	skatuve	stage
મંજુરી	apstiprinājums	permission / approval
મંજૂર	apstiprināts	acceptable
મંજૂરી	apstiprināts	approval
મંડળ	draudze	cabinat
મંડળના	draudze	of members, of group,
મંડળની	draudze	organisation
મંડળો	draudzes	associations
મંત્ર	mantra	incantation
મંત્રણા	sarunas	talks
મંત્રાલય	ministrija	secretariat
મંત્રાલયના	no ministrijas	from the ministry
મંત્રી	ministrs	minister
મંદિર	templis	temple
મંદિરના	no tempļa	temple's
મંદિરની	no tempļa	temple
મંદિરનું	no tempļa	temple's
મંદિરને	uz templi	to the temple
મંદિરમાં	templī	in the temple
મંદિરો	deniņi	temples
મંદિરોમાં	tempļos	in the temples
મંદીર	templis	temple
મંદીરના	no tempļa	temple's
મંદીરની	no tempļa	temple
મંદીરનું	no tempļa	temple's
મંદીરનો	no tempļa	temple's
મંદીરમાં	templī	in the temple
મંદીરે	pie tempļa	at the temple
મંદીરો	deniņi	tempels
મકબરા	kapenes	tomb
મકબરો	kapenes	graveyard
મકરંદ	makrands	makrand
મકાન	ēka	building
મક્કા	meka	mekka
મગજમાં	smadzenēs	inside the brain
મગધ	magadha	magadh
મગની	magni	green gram
મજબુત	spēcīgs	strong
મજબૂત	spēcīgs	strong
મજા	jautri	pleasure / like
મજૂર	darbs	labour
મઠ	matemātika	priory / monastery
મણિ	gem	mani
મણિપુર	manipurs	manipur
મત	balso	vote
મતદાન	balsošana	polling
મતભેદ	atšķirības	difference of opinion
મતભેદો	atšķirības	differences
મતલબ	nozīme	meaning
મતે	pēc viedokļa	according to
મતો	balsis	votes
મત્સ્ય	zivis	fish
મથક	booth	center
મથકો	iestādes	center
મથુરા	mathura	mathura, name if indian city
મદદ	palīdzība	help
મદદથી	izmantojot	with the help of
મદદનીશ	palīgs	helpful
મદદરૂપ	noderīga	helpful
મદ્રાસ	madras	city name
મધર	māte	mother
મધુર	salds	sweet
મધ્ય	vidū	middle / central
મધ્યકાલિન	viduslaiku	middle
મધ્યકાલીન	viduslaiku	mid age, mid period
મધ્યથી	no vidus	from the middle
મધ્યપૂર્વ	tuvie austrumi	middle-east
મધ્યભાગમાં	vidū	in the middle zone
મધ્યમ	mērens	middle / central
મધ્યમાં	vidū	in the center
મધ્યયુગ	viduslaiki	middle age
મધ્યયુગીન	viduslaiku	medieval
મધ્યવર્તી	starpposms	median / intermediate
મધ્યસ્થી	moderators	mediation
મન	prāts	mind
મનની	no prāta	mind's
મનમાં	prātā	in mind
મનાઈ	aizliegts	inhibition
મનાતા	svinēja	thought
મનાતી	ticēja	believed to be
મનાતું	domājams	believed to be
મનાય	svinēja	considered
મનાવવામાં	pārliecināts	celebrated
મની	nauda	money
મનુ	manu	manu
મનુભાઈ	manubhai	manubhai
મનુષ્ય	cilvēki	human
મનુષ્યના	cilvēku	human being
મનુષ્યને	cilvēkiem	to man
મનુષ્યો	cilvēki	human beings
મને	es	i
મનોરંજન	izklaide	entertainment
મનોવિજ્ઞાન	psiholoģija	psychology
મનોહર	skaists	manohar
મન્દિર	templis	temple
મફત	bezmaksas	free of charge
મરણ	nomira	death
મરણોત્તર	pēcnāves	post mortem
મરતા	mirst	death
મરાઠા	maratha	maratha
મરાઠી	marathi	marathi
મરાઠીમાં	maratu valodā	in marathi
મરિન	jūras spēki	marine
મરિના	marina	marina
મરી	pipari	die
મર્યાદા	robežas	limitation
મર્યાદાઓ	ierobežojumi	limitations
મર્યાદિત	ierobežots	limited
મલય	malajieši	malay
મલયાલમ	malajalu	malayalam
મલેશિયા	malaizija	malaysia
મલેશિયામાં	malaizijā	in malayasia
મળતા	saskaņošana	matching
મળતાં	tikšanās	found
મળતી	saskaņošana	available
મળતું	iegūšana	seen
મળતો	iegūšana	found
મળવા	satikt	to meet
મળવાની	satikt	meets the task, meet
મળશે	saņems	available
મળી	atrasts	found
મળીને	kopā	togather
મળે	gūt	seen
મળેલ	saņemts	received
મળેલા	met	received
મળેલી	saņemts	got
મળેલો	atrasts	observed
મળ્યા	met	found
મળ્યાં	atrasts	met
મળ્યુ	atrasts	found to be
મળ્યું	sapratu	got
મળ્યો	sapratu	got
મશિન	mašīna	machine
મશીન	mašīna	machine
મસ્જિદ	mošeja	masjid
મસ્જિદમાં	mošejā	in the mosque
મસ્જીદ	mošeja	mosque
મસ્તક	galva	head
મહંત	abbots	great
મહંતો	mahanto	mahant
મહંમદ	muhameds	mohmmed
મહત્તમ	maks	maximum
મહત્તા	diženums	importance
મહત્ત્વ	nozīme	importance
મહત્ત્વના	svarīgs	important
મહત્ત્વની	svarīgs	important
મહત્ત્વનું	svarīgs	important
મહત્ત્વનો	svarīgs	of importance
મહત્ત્વપૂર્ણ	svarīgs	important/ main
મહત્વ	svarīgums	importance
મહત્વના	svarīgs	important
મહત્વનાં	svarīgs	important
મહત્વની	svarīgs	of importance
મહત્વનું	svarīgs	main
મહત્વનો	svarīgs	important
મહત્વપૂર્ણ	svarīgs	important / vital
મહદઅંશે	lielā mērā	sometime
મહમદ	muhameds	mohammad
મહર્ષિ	maharshi	surname
મહલ	pils	palace
મહલની	no pils	castle
મહા	maha	giant
મહાકાવ્ય	episkā	epic
મહાકાવ્યો	epics	epics
મહાત્મા	mahatma	profound religious person, magnanimous
મહાદેવ	mahadevs	mahadev
મહાદેવનાં	mahadevas	mahadev's
મહાદેવનું	no mahadeva	of mahadev
મહાન	lieliski	great
મહાનગર	metropole	metropolis
મહાનગરપાલિકા	korporācija	municipal corporation
