$ tỉ	miljardu dolāru	$ billion
hạch	ganglijs	ganglion
hại	kaitēt	harm
hạng	klase	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	sēkla	seed
hải	muita	two
hảo	ideāls	perfect
hấn	hấn	aggressive gesture
hất	bēgt	toss
hấu	arbūzs	"(term should be ""dưa hấu"") watermelon"
hầm	tunelis	ham
hầu	gandrīz	most
hận	naids	hatred
hậu	karaliene	anus
hắc	melns	black
hắn	viņu	he (n.)
hắt	šķaudīt	reject
hằng	nemainīgs	every
hặc	hcc	to criticize (v.)
hẹ	šalotes	chinese chives
hẹp	šaurs	narrow
hẻm	aleja	alley (n.)
hẻo	nošķirts	outback
hến	gliemenes	mussel
hết	pāri	most
hề	klauns	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	sistēma	relation
hệt	identiski	exactly
hỉ	sitiens	happy
hịch	thud	a proclamation
họ	uzvārds	they (n.)
họa	māksla	picture
họach	plāns	"(term should be ""quy hoạch"") a project (n.)"
học	mācīties	study (v.)
họng	rīkle	throat
họp	sapulce	meet
hỏa	uguns	fire
hỏng	salauzts	corruption
hố	bedre	hole
hốc	nišas	cavity
hồ	ezers	ho
hồi	anīss	muslim
hồn	dvēsele	soul
hổ	tīģeris	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	gaping	hole
hỗ	atbalstu	"(should be ""hỗ trợ"") to support or assist"
hỗn	sajaukts	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festivāls	society
hộp	kaste	box
hới	atvērts	hoi
hớn	kliedza	"(term should be ""hớn hở"") radiant (adj.)"
hờn	drūms	hatred
hở	atvērts	reveal
hỡi	oi	dear
hợi	cūka	pig (n.)
hợp	labi piemērota	appropriate
hợpquận	piekrišana	general district
hụt	deficīts	loss
hủi	spitālīgais	reject
hủy	atcelt	to erase or destroy
hứa	solīt	promise
hử	ne?	hu
hửu	ne?	"(term should be ""sở hửu"") to own (v.)"
hữu	īpašums	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ibērija	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	islande	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilēns	ilence
illusion	ilūzija	illusion
ilyich	ilyich	ilyich
im	es esmu	still
imam	imams	(proper noun) imam
imbrium	imbrijs	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	trieciens	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indiānis	indian
indiana	indiāns	indiana
indochina	indoķīna	indochina
indonesia	indonēzija	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	insbruka	innsbruck
insulin	insulīns	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpols	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	es	io
ioc	joc	ioc
ion	jonu	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	irāns	the nation of iran
iraq	irāka	iraq
ireland	īrija	ireland
irgun	irguns	irgun
irony	ironija	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islāms	islam
islamabad	islamabada	(proper noun) islamabad
israeli	izraēlas	israeli
istanbul	istanbul	istabbul
italia	itālijā	italy
italiano	italiano	(proper noun) italiano
itanium	itāns	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	domkrats	jack
jackie	džeks	(proper noun) jackie chan
jackson	džeksons	(proper noun) jackson, as in michael jackson
jacob	jakobs	jacob
jae	džejs	jae
jakarta	džakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japāna	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jašma	(proper noun) jasper
jean	jean	jean
jeane	džins	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	džinsi	jeans
jeet	lidmašīna	(proper noun) jeet, as in jeet kune do
jeff	džefs	jeff, as in jeff drake
jefferson	džefersons	jefferson
jeffrey	džefrijs	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	dženija	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerijs	(proper noun) jerry
jersey	krekls	jersey
jerusalem	jerusalem	jerusalem
jesse	jesse	a name
jesus	jēzus	chua jesus
jetstar	jetstar	jetstar
jewish	ebreju	jewish
jiao	jiao	jiao
jimmy	džimijs	jimmy
jin	džins	jin
jing	jing	jing
jiraiya	džiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	džo	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	džonijs	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	locītavu	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	žoze	(proper noun) jose, a spanish first name
joseon	hosē	(proper noun) joseon
joseph	josefs	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	dūdita	judith
judo	džudo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	lēkt	jump
june	jūnijs	june, as in the month
jung	džungļos	jung
junsu	junsu	junsu
jupiter	jupiters	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kafija	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalašņikovs	(proper noun) kalashnikov
kali	kālijs	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamovs	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karatē	karate
karatedo	karatēo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kašmira	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katerīns	katherine
kathmandu	kathmandu	kathmandu
katrina	katrīna	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukāzs	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kajs	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvins	kelvin
kem	krēms	ice cream (n.)
ken	ken	ken
kennedy	kenedijs	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentuki	(proper noun) kentucky
kepler	keplers	kepler
kerala	kerala	(proper noun) kerala
kevin	kevins	kenvin
keynes	keins	keynes, as in economist john maynard keynes
kg	kilograms	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	deklarācija	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	bezūdens	rare
khang	khang	khang
khanh	khanh	khanh
khao	ilgas	desire
khay	paplāte	tray
khe	slots	chink
khem	khem	abstinence
khen	uzslavas	praise
kheo	uz statņiem	kheo
khi	kad	when
khieu	nesaprotu	(proper noun) khieu, as in khieu samphan
khiêm	pieticīgs	khiem
khiên	vairogs	a shield
khiêu	erotiska	"('khiêu dâm"") pornographic"
khiếm	traucēta	lack
khiến	cēlonis	control
khiếp	pārbijusies	horrible
khiếu	iesniegt	talent (n.)
khiển	kontrole	control
khleang	khleang	kh'leang
kho	noliktava	warehouse
khoa	fakultāte	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	urbt	drill
khoang	dobums	brag
khoanh	zvana	a slice (n.)
khoe	izrādīties	to boast
khoá	atslēga	lock
khoác	mētelis	coat
khoán	krājums	stock
khoáng	minerāls	mineral
khoát	galīgs	decisive
khoét	griezt	carve
khoăn	satracināt	disturbed
khoả	kails	naked
khoản	lieta	an item (n.)
khoảng	apm	about
khoảnh	mirkļi	moment
khoẻ	labi	health
khrushchev	hruščovs	khrushchev
khrushchyov	hruščovs	khrushchyov
khu	ceturtdaļas	section
khung	rāmji	frame
khural	khural	khural
khuynh	pa kreisi	trend
khuyên	padoms	advise
khuyết	bojāts	lack
khuyển	suns	khuyen
khuất	slēpts	hidden
khuấy	maisa	stir
khuẩn	baktērijas	bacteria
khuếch	paplašināt	amplification
khuỷu	elkonis	elbow
khá	drīzāk	quite
khác	citi	different
khách	viesi	customer
khái	konceptuāls	concept
khám	pārbaude	discover
khán	auditorija	audience
kháng	pretestība	appeal
khánh	neatkarība	a type of chime made of stone (n.)
khát	izslāpis	to be thirsty for (adj.)
khâm	khâm	admire
khèn	diemžēl	a pan-pipe (n.)
khéo	ģeniāls	cleverly or skillfully (adv.)
khép	tuvu	close
khía	iecirtums	"(term should be ""khía cạnh"") angle (n.)"
khích	iedrošināt	encourage
khít	tuvu	close
khó	grūti	difficulty
khóa	aizslēgties	a session
khóc	raudāt	cry
khói	smēķēt	smoke
khóm	ananāsi	a cluster
khô	žāvēts	dry
khôn	gudrs	clever, intelligent
không	nav	not
khúc	segmentā	song
khăm	slikti smakojošs	nasty (adj.)
khăn	dvielis	difficult
khơi	ārzonas	sea
khư	khư	grip
khưu	khưu	khuu
khước	noliegt	waive
khả	iespēja	"(term should be ""khả năng"") ability (n.)"
khải	atklāsme	triumph
khảm	mozaīka	to encrust
khảo	pārbaude	"(term should be ""tham khảo"") to consult (v.)"
khấm	sadursta	endure
khấn	lūgties	pray
khấu	atlaide	"(term should be ""sân khấu"") a stage (n.)"
khẩn	steidzams	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	iecirtums	moment
khắp	visā	all over
khẳng	apstiprinošs	"(term should be ""khẳng định"") to assert (v.)"
khế	zvaigznes auglis	bond
khỉ	pērtiķis	monkey or ape (n.)
khỏa	pliks	nude
khỏe	stipra	health
khỏi	beidzās	leave
khố	loincloth	loincloths
khốc	dire	devastating
khối	pakāpe	a block or mass of (n.)
khốn	bastards	miserable
khống	khong	control
khổ	ciešanas	miserable (adj.)
khổng	milzis	huge
khởi	iniciē	start
khủng	briesmīgi	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastards	elbow
khứu	pastelis	olfactory
khử	likvidēt	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	ka	other
kid	bērns	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometri	kilometer
kim	kims	kim
kingdom	karaļvalsts	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	skūpsts	kiss
kissinger	kissinger	kissinger
kitts	kaķēni	kitts
kitô	kristietis	christian
kiêm	cum	cum
kiên	pacients	consistent
kiêng	atturēties	abstinence, as in abstaining from eating
kiêu	augstprātīgs	showy
kiếp	mūžs	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	sārmains	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	pārbaudīt	control
kiểu	tips	type
kiệm	ekonomisks	save
kiện	iesūdzēt tiesā	event (su kien)
kiệt	meistardarbs	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klaus	klaus
klein	kleins	klein
km	kilometru	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantīns	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	korāns	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	krona	koruna
kosovo	kosova	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlis	kremlin
kristen	kristen	kristen
krông	krona	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurds	kurd
kurt	kurts	(proper noun) kurt
kuwait	kuveita	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyriami	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	slēgts	included
kèn	trompete	horn
kém	vismazāk	less
kén	kokons	selective
kéo	velciet	scissors
kép	duāls	dual
két	seifi	"(term should be ""rốc két"") rocket (n.)"
kê	prosa	statistics
kênh	kanāli	channel
kêu	skan	appeal
kìa	lūk	that
kìm	knaibles	bar
kình	brilles	rivalry
kí	parakstīt	sign
kích	klikšķis	excite
kíchbom	noklikšķiniet uz pogas	bombers
kín	privāts	secretive or closed tight (adj.)
kính	brilles	respect
kíp	apkalpe	esoterica
kít	iesaucās	wheelbarrow
ký	parakstīt	"(""nhật ký"") a diary"
kĩ	uzmanīgi	technique
kơnia	kaija	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	konfektes	candy
kẹp	klips	to clamp down (v.)
kẹt	iestrēdzis	jam
kẻ	puiši	guy
kẻo	vismaz	lest
kẽ	iespiesta	crevice
kẽm	cinks	zinc
kế	nākamais	a scheme (n.)
kết	beigas	combine
kề	blakus	adjacent
kềnh	lielgabarīta	bulky
kệ	plaukti	ignore
kỉ	gadsimtā	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	kavalērija	ki
kịp	saglabāt	kip
kỵ	kavalērija	taboo
kỷ	gadsimtā	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etiķete	label
laboulaye	darbs	a name
ladakh	ladakh	(proper noun) ladakh
lai	hibrīds	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lamu	a name
lan	lan	a name
land	zeme	land
landon	landons	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	veļa	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laosa	(proper noun) laos
lap	klēpī	greek
larry	lerija	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lāzers	laser
lateran	lateran	lateran
latinh	latīņu valoda	latin
latvia	latvija	(proper noun) latvia
lau	noslaucīt	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	likumsakarības	(proper noun) lawrence
lay	gulēja	lay
lazarus	lācars	(proper noun) lazarus
leach	izskalošanās	(proper noun) leach
leaf	lapu	leaf
leave	aizbraukt	leave
lebanon	libāna	(proper noun) lebanon
lee	lī	lee
legacy	mantojums	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	ļeņins	lenin
lenins	lenins	lenin's
leo	kāpt	climb
leon	leons	leon
leonard	leonards	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonīds	leonid
les	les	les
leslie	leslija	a name
lesotho	lesoto	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libija	libya
lido	lido	lido
liechtenstein	lihtenšteina	liechtenstein
liga	liga	a name
lightning	zibens	lightning
lilly	lilija	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	saites	links
linux	linux	linux server
lionel	lauva	lionel
lisboa	lisboa	lisboa
lisbon	lisbon	a name
litva	lietuva	(proper noun) lithuania
liu	liu	liu
liêm	integritāte	good example
liên	riska	relate
liêng	svēts	sacred
liêu	birokrātija	bureaucracy
liềm	sirpis	sickle
liều	deva	daring
liễu	vītolu	a willow tree (n.)
liệng	mest	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	paralīze	impotent
liệu	vai	document
lleyton	lleyton	lleyton
lo	uztraukties	to worry (v.)
loa	runā	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	slidens	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	žurnāls	log
logan	logans	a name
lon	var	lon
london	londona	london
long	ilgi	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	luiss	louis
louisiana	luiziāna	(proper noun) the state of louisiana
louvre	skaļruņi	(proper noun) louvre
love	mīlestība	yeu
loài	sugas	species
loát	bezgaumīgs	overturn
loãng	mazgājies	wishy-washy
loét	čūla	gaping, as in a wound
loại	sugas	type
loạianh	tips	not a word
loạianime	ierakstiet anime	type anime
loạibệnh	slimības veids	disease
loạichiến	tips	loaichien
loạicác	tips	item
loạicâu	tips	type: club
loạicông	tips	type: industry
loạicựu	tips	kind former
loạigia	tips	loaigia
loạihuân	kindhuan	not a word
loạiluật	likuma tips	type: law
loạimáy	mašīnas tips	kind plane
loạimôn	tips	type
loạingày	ierakstiet šo	loaingay
loạiphim	filmas tips	type movie
loạiphong	tips	kind of movement
loạiscandal	tips	scandal type
loạithuật	likuma tips	type: lexicon
loạithành	tips	kinds of payment
loạithần	tips	kind myth
loạitrường	skolas tips	type of school
loạitín	laipns	type: belief
loạitổ	tips	kind organization
loạivõ	tipa tips	type: martial art
loạixã	tips	kind of society
loạn	traucējumi	disorderly
loạt	sērijas	series
lp	lp	lp
lu	lu	dim
luang	luanga	a name
lucas	lucas	(proper noun) lucas
lucia	lucija	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludviga	ludwig
lui	atpakaļ	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	plaušu	shake
lustig	lustig	lusig
luther	lutere	luther
luxembourg	luksemburga	a name
luy	luijs	luy
luyến	pieķeršanās	love
luyện	apmācība	training
luận	komentārs	"(term should be ""xã luận"") an editorial"
luật	likums	law
luồn	vītņots	wriggle
luồng	straume	lane
luộc	vārīts	boiled
luỹ	kumulatīvs	rampart (n.)
ly	stikls	divorce
lydia	lydia	lydia
lympho	limfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	bija	the verb to be
làm	darīt	make
làn	josla	wave
làng	ciems	village
lành	dziedināja	protestant
lào	laosa	laos
lá	lapas	"(term should be ""lá thư"") a letter (n.)"
lác	šķielēt	brag
lách	liesa	to swerve (v.)
lái	brauc	to drive (v.)
lán	būda	shack
láng	glancēts	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	vienradzis	nearby
lâu	ilgi	long time
lây	infekciozs	to infect
lãi	interese	a profit
lãm	šovi	exhibition
lãnh	saņemts	to receive
lão	vecs	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	paslīdēt	sneak
lê	bumbieris	le
lêmạc	viegls	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	augšā	on
lênh	komanda	"(should be ""lênh đênh"") adrift"
lênin	ļeņins	lenin
lìa	aizbraukt	to leave (v.)
lình	pēkšņi	suddenly
lí	uzglabāšana	reason
lính	kareivis	soldier
lít	litru	litre
líu	dūdot	"(term should be ""dính líu"") to have a connection with"
lò	krāsns	release
lòng	sasmalcināt	heart
lóc	čūskas galva	cry
lóe	uzplaiksnīja	flash
lóng	slengs	"entire term should be ""tieng long""; means ""slang"""
lót	odere	undies
lô	daudz	batch
lôi	kļūda	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	mati	hair
lõi	kodols	core
lõm	ieliekts	concave
lùi	atpakaļ	back
lùn	īss	dwarf
lùng	medības	hunt
lúa	nelobīts	rice
lúc	plkst	at the moment
lún	pazemināšanās	subside
lúng	uzliesmot	confused
lúp	palielinošs	uneven
lút	nekrietns	surreptitiously
lăm	pieci	tens
lăn	ripo	attack
lăng	mauzolejs	tomb
lĩnh	domēni	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	plūdi	a band or gang (n.)
lũng	ieleja	valley
lũy	kumulatīvs	rampart
lơ	nolaidība	to ignore
lơi	atraisīt	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	cenzeris	an urn
lưng	atpakaļ	back
lươn	zutis	eel
lương	alga	conscience
lưới	režģis	a net (n.)
lướt	sērfošana	ski
lười	slinks	lazy
lưỡi	mēle	tongue
lưỡng	biseksuāls	"(term should be ""lưỡng tính"") bisexual"
lược	ķemme	invasion
lượm	pulcēties	pick up
lượn	slīdēt	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	dīvaini	strange or unusual (adj.)
lạc	pazaudēts	camel
lạch	grīva	"(term should be ""luồng lạch"") a narrow water passageway"
lại	atkal	reversed
lạn	sapuvis	bright
lạng	langa	lang
lạp	desa	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	nobriest	kowtow
lấn	iejaukšanās	to encroach on (v.)
lấp	aizpildīt	sparkle
lấy	izvēlēties	taken
lầm	nepareizi	wrong
lần	reizes	time
lầu	grīda	a story or level of a building (n.)
lầy	purvains	swamp
lẩu	karsts katls	hotpot
lẩy	lēkt	get
lẫn	apjucis	each other
lẫy	šķipsnu	illustrious
lận	krāpt	fraudulent
lật	flip	turn
lậy	ak jā	"(term should be ""cai lậy"") the name of a rural district"
lắc	krata	to shake (v.)
lắm	ļoti	do
lắng	nokārtot	"(should be ""lo lắ́́ng"") to worry"
lắp	pieguļošs	lap
lặng	kluss	quiet
lặp	atkārtot	repeat
lặt	dažādi	means miscellaneous, part of the word lat vat
lẹ	ātri	quickly (adv.)
lẻ	nepāra	"(the term should be ""bán lẻ"") retail"
lẻn	līst	sneak
lẻo	cauri	climb
lề	rezerve	alignment
lều	telts	tent
lễ	ceremonija	ceremony
lệ	likme	"(term should be ""tỷ lệ"") probability (n.)"
lệch	šķībs	difference
lệnh	comeinand	command
lị	dizentērija	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalendārs	history
lọc	filtrs	tricked
lọi	šķielēt	brilliant
lọng	saulessargs	rope
lọt	kritums	enter
lỏi	savārstījums	to enter
lỏng	vaļīgs	loose
lố	pāri	ridiculous
lốc	viesulis	tornado
lối	ieeja	way or path
lốp	riepa	tyre
lốt	aizsegs	lolot
lồ	milzis	giant
lồi	izliekts	convex
lồng	būris	cage
lỗ	caurums	hole
lộc	laime	loc
lội	peldēt	wade
lộn	pārslīdēja	wrong/mistake
lộng	krāšņs	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	noģērbt	exploit
lớn	liels	large
lớp	klase	grade (n.)
lờ	ignorēt	turbid
lời	vārdu	advice
lở	garām	to crack
lỡ	garām	miss
lợi	peļņa	benefit
lợn	cūka	pig
lợp	jumta segums	roof
lụa	zīds	silk
lục	zaļš	record
lụi	nodedzis	ruin
lụt	apbērt	flood
lụy	sekas	consequence
lứa	metiens	peer
lừa	triks	mislead
lừng	izcila	well-known
lửng	āpsis	lơ lửng= not clear/ something in between
lự	vilcinās	reluctant
lựa	atlasīts	chosen
lựu	granātābols	grenade
ma	spoks	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	māstrihtas	maastricht
macarthur	macharthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonija	(proper noun) macedonia
mach	mačs	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	makromedia	macromedia
madeira	madeira	madeira
madhouse	traka māja	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madride	madrid, as in the capital of spain
mafia	mafija	mafia
magiê	magnijs	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	jumts	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	lieldators	mainframe
major	vairākums	major
makemake	padarīt	makemake
malacca	malaka	malacca
malay	malajietis	malaysia
malaysia	malaizija	(proper noun) the country of malaysia
malcolm	malkolms	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	mančestra	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandijs	mandy
mang	nes	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuele	manuel
mao	mao	capillary
maps	kartes	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	čagas	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	markuss	marcus, as in marcus aurelius (n.)
margaret	margareta	(proper noun) margaret
maria	marija	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	jahtu osta	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	marss	mars
marseille	marseļa	marseille
marshall	maršala	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martins	martin
marx	marx	this is a name
mary	marija	(proper noun) mary
maryland	maryland	a name
maría	marija	maria
mas	mas	mas
massachusetts	masačūsetsas	massachusetts
mat	paklājs	mat
mathematica	matemātika	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	paklāji	mats, as in mats sundin
matthias	matiass	matthias, as in matthias erzberger
mau	ātri	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maksimums	a name
may	šūt	lucky
maya	maija	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	mediji	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedevs	medvedev
mekong	mekonga	mekong
melbourne	melburna	melbourne
mendeleev	mendelejevs	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	messenger	messanger
