$	usd	american dollar symbol
சுயேச்சை	neatkarīgs	independent
சுரக்கும்	sekretariāts	stimulation
சுரங்கம்	tunelis	tunnel
சுருக்கமாக	īsumā	in brief
சுருக்கமான	īsumā	short
சுருக்கம்	kopsavilkums	shrinkage
சுருக்கி	apkopojot	simple
சுருக்கியக்கம்	curukkiyakkam	shrinks
சுருங்குதல்	kontrakcija	shrinking
சுருள்	cirtaini	roll
சுற்றளவு	perimetrs	perimeter
சுற்றியுள்ள	apkārt	surrounding
சுற்றிலும்	vide	around
சுற்றிவரும்	apkārt	revolution
சுற்று	raunds	round
சுற்றுக்காலம்	orbitāla	synodic period
சுற்றுச்	savienojums	surrounding
சுற்றுச்சூழல்	vide	environment
சுற்றுப்	raunds	circle
சுற்றுப்பட்டை	aproce	spinrod
சுற்றும்	cirkulē	rotating
சுற்றுலா	ceļot	tour
சுற்றுலாத்	tūrists	tourism
சுற்றுலாத்துறை	tūrisms	tourism
சுற்றுலாப்	tūrists	travel
சுல்தான்	sultāns	sultan
சுழற்சிக்	rotācija	circulate
சுழற்சியின்	cikls	rotation
சுழற்சியை	cirkulācija	swirls
சுழல்	spirāle	velocity
சுழல்வடிவ	strato	rotate shape
சுவரின்	siena	in the walls
சுவரில்	siena	wall
சுவர்	siena	wall
சுவர்களில்	sienas	in the wall
சுவர்கள்	sienas	firewall
சுவாச	elpošanas	respiratory
சுவாதி	svatijs	swathi
சுவாமி	svami	swamy
சுவாமிகள்	svami	swami
சுவாமிதோப்பு	cuvamitoppu	swamithoppu
சுவிட்சர்லாந்தின்	šveices	schweizerland
சுவிட்சர்லாந்தில்	šveicē	in switzerland
சுவிட்சர்லாந்து	šveice	switzerland
சுவிஸ்	šveices	swiss
சுவீடன்	zviedrija	sweden
சுவை	garšīgi	taste
சுவையான	garšīgi	interesting
சூடான	karsts	hot
சூடான்	sudāna	sudan
சூடாமணி	choodamani	soodamani
சூடோ	sudo	psudo
சூதாட்டரங்கம்	kazino	gambling centre
சூத்திரம்	formula	formula
சூனி	šuni	zuni
சூன்	jūnijs	june
சூப்பர்	super	good
சூரிய	saules	sun
சூரியக்	saules	sun
சூரியனின்	saule.	of the sun
சூரியனிலிருந்து	no saules	from the sun
சூரியனுக்கு	saule.	the sun
சூரியனும்	saule	sun
சூரியனை	saule.	sun
சூரியனைச்	saule.	the sun
சூரியன்	saule.	sun
சூரியமையக்	heliocentrisks	heliocentric
சூறாவளி	viesuļvētra	typhoon
சூலு	sulu	island
சூலை	jūlijs	july
சூழப்பட்ட	apkārt	covered
சூழற்	vides	situation
சூழலியல்	ekoloģija	ecology
சூழலில்	kontekstā	situation
சூழலை	vide	atmosphere
சூழல்	konteksts	environment
சூழல்களில்	situācijās	in situations
சூழ்	apkārtne	risk
சூழ்நிலை	situācija	situation
சூழ்நிலைகளில்	situācijās	surroundings
சூழ்நிலைகள்	nosacījumi	society
சூழ்நிலையில்	situācijā	situations
சூழ்ந்து	apkārt	to surround
செ	pastāsti	s
செக்	čehu	chezh republics
செங்குட்டுவன்	cenkuttuvāns	senguttuvan chera king
செங்குத்தாக	vertikāli	vertically
செங்குத்து	vertikāli	verticle
செங்குந்தர்	sengunthar	sengundar
செடிகள்	augi	plants
செட்டியார்	chettiar	chettiar
செந்தமிழ்	klasiskā tamilu valoda	pure tamil
செனட்	senāts	senate
செனட்டர்	senators	senator
சென்	sen	sen
சென்டர்	linkedin	center
சென்ட்ரல்	centrālā	central
சென்ட்ரார்கைடீ	centrarkaiti	sun fishes
சென்னை	čennai	chennai
சென்னைப்	madras	chennai
சென்னையின்	čennai	of chennai
சென்னையிலும்	čennai	in chennai and
சென்னையில்	chennai	in chennai
சென்ற		the
சென்றன	tranzīts	gone
சென்றனர்	nests	visited
சென்றான்	gāja	gone
சென்றார்	pārvietots	has gone
சென்று	ej	to go
செப்டம்பர்	septembrī	september
செப்டெம்பர்	septembrī	september
செப்பேடுகள்	ceppetukal	it's an ancient evidance
செம்படை	sarkanā armija	cembadai
செம்மொழி	klasiskā	classical language
செயற்கை	mākslīgais	artificial
செயற்கைகோளின்	satelīts	satlight
செயற்கைகோள்கள்	satelīti	satilites
செயற்கைக்	satelīti	ortificial
செயற்கைக்கோள்	satelīts	satellite
செயற்கைத்	sintēze	artificial
செயற்கையாக	mākslīgi	artificial
செயற்கையான	mākslīgi	artificially
செயற்பாடு	darbība	this work
செயற்பாடுகள்	aktivitātes	activities
செயலாளர்	sekretārs	secretary
செயலி	procesors	processor
செயலிகள்	pārstrādātāji	activator
செயலை	process	action
செயல்	darbība	action
செயல்களில்	darbības	action
செயல்களை	darbības	acts
செயல்கள்	darbības	attitude
செயல்திறன்	performance	performance
செயல்பட	tēlot	to operate
செயல்படுகின்றது	darbojas	functioning
செயல்படுகின்றன	funkcija	acting
செயல்படுகிறது	darbojas	functioning
செயல்படுத்த	nes	implementation
செயல்படுத்தப்படுகிறது	aktivizēts	implementation
செயல்படும்	darbība	functioning
செயல்பட்டது	strādāja	worked
செயல்பட்டு	darbojas	as
செயல்பாடு	funkcija	mechanism
செயல்பாடுகளை	funkcijas	activities
செயல்பாடுகள்	aktivitātes	functions
செயல்பாட்டு	funkcionāls	fucntional
செயல்பாட்டை	darbība	workings
செயல்முறை	process	practical ways
செயல்முறைகள்	procesi	operations
செயிண்ட்	sv.	saint
செயின்ட்	sv.	st.
செய்கின்றது	ir	does
செய்கின்றன	veidot	doing
செய்கின்றனர்	cilvēki	doing
செய்கிறது	padara	is done by
செய்த		done
செய்ததாக	gatavs	having done
செய்தது	profils	was done
செய்தன	ieguldīts	done by
செய்தனர்	viņi darīja	has created
செய்தல்	izgatavošana	doing
செய்தவர்	pvo	maker
செய்தான்	izdarīja	jalalutheen asansa
செய்தார்	izdarīja	he/she did
செய்தார்கள்	izdarīja	they did
செய்தால்	ja jūs to darāt	if done
செய்தி	jaunumi	news
செய்திகளும்	jaunumi	news
செய்திகளை	ziņas	news
செய்திகளைத்	jaunumi	news
செய்திகள்	jaunumi	news
செய்தித்	jaunumi	news
செய்தித்தாளில்	laikrakstā	in news paper
செய்தியின்	ziņas par	news
செய்தியை	ziņa	news
செய்திருந்தார்	bija	arranged
செய்து	lūdzu	doing
செய்தும்	izgatavošana	done
செய்துள்ளது	ir	has
செய்துள்ளனர்	ir	did
செய்துள்ளார்	rediģēts	done
செய்பவர்கள்	saistīts	doers
செய்முறை	process	practical
செய்யக்	dariet	to be done
செய்யக்கூடிய	var darīt	perform
செய்யத்	uz	doing
செய்யப்	uz	to do
செய்யப்படுகின்றன	ir	is done by
செய்யப்படுகிறது	gatavs	doing
செய்யப்படும்	tiks darīts	to be done
செய்யப்பட்ட		made by
செய்யப்பட்டது	bija	done by
செய்யப்பட்டன	tika izgatavoti	doing
செய்யப்பட்டனர்	bija	was done
செய்யப்பட்டார்	bija	is confirmed
செய்யப்பட்டு	būt	done by
செய்யப்பட்டுள்ளது	ir	access
செய்யப்பட்டுள்ளன	bijis	have been
செய்யலாம்	var	to be done
செய்யவில்லை	nav izdarīts	not done
செய்யவும்	dariet to	to do
செய்யவேண்டும்	jādara	to be done
செய்யாதே	ne	not to do that
செய்யாமல்	bez	not having done
செய்யும்	izgatavošana	doing
செய்யும்போது	vienlaikus darot	doing
செய்யுள்	dzeja	poetry
செய்யுள்கள்	panti	poems
செய்வதன்	noklikšķinot	doing
செய்வதற்காக	uz	to do
செய்வதற்கான	uz	to do
செய்வதற்கு	uz	making
செய்வதற்கும்	uz	to
செய்வதால்	darot	can
செய்வதிலும்	izgatavošana	helping
செய்வதில்	darot	to be done
செய்வது	darīt	to be done
செய்வதும்	uz	to be done
செய்வதை	izgatavošana	like done by
செய்வர்	būs	to be done
செய்வார்கள்	būs	mistakes committed by
செராடொப்சிடீ	ceratopciti	family of serotefsidi
செரானைடீ	ceranaiti	serranidae a fish family name
செருமனி	vācija	ceremony
செருமனியில்	vācijā	in german
செர்ப்பா	šerpa	sherpa
செறிவு	koncentrācija	concentration
செலவில்	izdevumi	at a cost of
செலவு	izmaksas	expense
செலவுகள்	izdevumi	cost
செலீனியம்	selēns	it's a chemical name
செலுத்த	maksā	pay
செலுத்தி	maksā	injector
செலுத்தினர்	apmaksāts	injected
செலுத்திய	apmaksāts	exerted
செலுத்துகின்றன	maksā	to go into
செலுத்துகின்றனர்	maksā	paying
செலுத்தும்	maksājums	payable
செல்	ej	go
செல்களின்	no šūnām	cell
செல்கள்	šūnas	cells
செல்கின்றன	vējš	moving
செல்கின்றனர்	apmeklējums	go to
செல்கிறது	vada	passes
செல்டிக்	ķeltu	seldic
செல்ல	ej	take part
செல்லப்	niks	pet
செல்லும்	uz	through
செல்லும்போது	ejot	on the way
செல்வதற்கு	pārvadāšana	for going
செல்வது	ejam	to go
செல்வன்	selvan	selvan a title given
செல்வம்	bagātība	wealth
செல்வாக்கு	ietekme	influence
செல்வாக்குச்	ietekme	influence
செல்வாக்கை	ietekme	domination
செவ்வாயின்	no marsa	in the mars
செவ்வாயில்	uz marsa	in the mars planet
செவ்வாய்	otrdiena	planet
செவ்வியல்	klasika	classicalogy
செஸ்	šahs	chess
சே	če	se
சேகரிக்கும்	kolekcionēšana	collect
சேகரித்து	pulcēšanās	collected
சேகரிப்பு	kolekcija	collection
சேக்சுபியரின்	šekspīra	sakespeare
சேக்சுபியரை	šekspīrs	sakespeare
சேக்சுபியர்	šekspīrs	sakespeare
சேதம்	bojājums	loss
சேது	sethu	sedhu
சேனல்	kanāls	channels
சேமிக்க	saglabāt	savings
சேமிக்கப்படும்	saglabāts	to be saved
சேமிக்கும்	taupītājs	to save
சேமித்து	saglabāt	to save
சேமிப்பு	uzkrājumi	storage
சேர	pievienojieties	chera
சேரன்	čerāns	cheran
சேரமான்	čeramans	seramaan
சேரர்	cheras	cherra
சேரர்களின்	čerā	the cheras
சேரர்கள்	cheras	cheras
சேரலாதன்	ceralatan	cheralathan
சேரிட்டி	misionāri	charity
சேரும்	ierašanās	reach
சேர்	pievienot	to add
சேர்க்க	pievienots	to join
சேர்க்கை	uzņemšana	combination
சேர்க்கையை	kombinācija	joining
சேர்த்து	pievienojot	with
சேர்த்துக்	iekļaut	joined
சேர்ந்த		from
சேர்ந்தது	pievienojās	join
சேர்ந்தவர்	no plkst	belongs
சேர்ந்தவர்கள்	no plkst	people from
சேர்ந்தவை	pieder	belong
சேர்ந்தார்	pievienojās	reached
சேர்ந்து	kopā	to join with
சேர்பியா	serbija	serbia
சேற்று	dubļains	muddy
சேலம்	salema	salem
சேலை	sari	saree
சேவர்	taupītājs	saver
சேவை	apkalpošana	service
சேவைகளின்	pakalpojumi	services
சேவைகளில்	pakalpojumi	services
சேவைகளும்	pakalpojumi	services
சேவைகளை	pakalpojumi	services
சேவைகள்	pakalpojumi	services
சேவைப்	pakalpojumi	help
சேவையின்	kalpošanai	in the service
சேவையில்	pakalpojumā	services
சைகை	žests	action
சைபீரியன்	sibīrijas	syberian  tiger
சைவம்	veģetārietis	vegetarian
சொத்து	īpašums	wealth
சொந்த	pašu	own
சொந்தமான	pašu īpašumā	own
சொன்ன	teica	said
சொன்னார்	teica	he said
சொன்னால்	-in	if they say beautifully
சொர்க்கம்	debesis	heaven
சொற்களின்	noteikumi	words
சொற்களும்	vārdi	words
சொற்களை	vārdi	words
சொற்கள்	atslēgas vārdi	words
சொற்பொருளியல்	semantiski	semantic
சொல்	pastāsti	said
சொல்கிறது	saka	that says
சொல்கிறார்	saka	tells
சொல்ல	pastāsti	to say
சொல்லப்படுகிறது	tas ir pateikts	it is informed
சொல்லப்படும்	deklamēja	said
சொல்லலாம்	pastāsti	can be said
சொல்லான	vārds	the word
சொல்லானது	termiņš	the term
சொல்லி	stāsta	said
சொல்லிக்	mācīt	to say
சொல்லில்	teikt	in saying
சொல்லுக்கு	verbatim	word
சொல்லும்	stāsta	informing
சொல்லே	jēdziens	word
சொல்லை	vārds	word  is
சொல்வது	saka	telling
சோசலிச	sociālists	socialism
சோசா	sosa	soso people
சோடியம்	nātrijs	sodium
சோதனை	izmēģinājums	test
சோதனைகளை	eksperimenti	testing
சோதிட	astroloģiskā	horoscope
சோதிடம்	astroloģija	horoscope
சோறு	rīsi	rice
சோளம்	kukurūza	maize
சோழ	čola	chola
சோழநாடு	kolanatu	chola nadu or chola ruling place
சோழநாட்டின்	no kolanāta	chola kingdom in the country
சோழனால்	čola	by the chola
சோழனின்	chola&#39;s	cholan
சோழனுக்கு	čolam	for the cholas
சோழனை	čola	chola's
சோழன்	čola	cholan
சோழன்கங்கைகொண்ட	kolankankaikonta	cjola have ganga
சோழன்முதலாம்	kolanmutalams	first cholan
சோழபுரம்	cholapuram	cholapuram
சோழப்	čola	colap
சோழரின்	čola	chola's
சோழர்	čola	chozhar
சோழர்களின்	čola	cholas
சோழர்கள்	cholas	cholas
சோவியத்	padomju	soviet
சோஷோன்	kosons	shoshone a north american tribe
ஜகான்	džahans	jahan
ஜனநாய	demokrātiska	democratic
ஜனநாயக	demokrātiska	democratic
ஜனநாயகக்	demokrātiska	soshalism
ஜனவரி	janvārī	january
ஜனாதிபதி	prezidents	president
ஜனாதிபதியின்	priekšsēdētājs	the president
ஜப்பானின்	japānas	japanese
ஜப்பானிய	japāņu	japanies
ஜப்பானியர்கள்	japāņu	japenese
ஜப்பானில்	japānā	in japan
ஜப்பானை	japāna	to japan
ஜப்பான்	japāna	japan
ஜம்மு	džammu	jammu
ஜவஹர்லால்	jawaharlal	jawaharlal
ஜாக்சன்	džeksons	jackson
ஜாதி	kastas	caste
ஜான்	džons	john
ஜான்சன்	džonsons	johnson
ஜார்	jar	jar
ஜார்ஜ்	džordžs	george
ஜாவா	java	java
ஜாவாஸ்கிரிப்ட்	javascript	javascript
ஜிஎம்ஓ	ģmo	gmo
ஜிபிஎஸ்	gps	global positioning system
ஜிபிஎஸ்ஸின்	gps	ips
ஜிமெயிலின்	google	in gmail
ஜிமெயிலில்	pakalpojumā gmail	g mail
ஜிமெயில்	gmail	gmail
ஜிம்பாப்வே	zimbabve	zimbabe
ஜீன்	žans	jean
ஜீவன்	jeevan	jeevan
ஜூனியர்	jaunākais	junior
ஜூன்	jūnijs	month june
ஜூரிச்	cīrihe	jurich
ஜூலியஸ்	džūlijs	julius
ஜூலை	jūlijs	month july
ஜூல்	džole	joule
ஜெ	džeins	j, an initial of a name
ஜெனீவா	ženēva	geneva
ஜெயலலிதா	jayalalithaa	chief minister of tamil nadu
ஜெர்மனி	vācija	germany
ஜெர்மனியின்	vācijas	germany
ஜெர்மனியில்	vācijā	in germany
ஜெர்மனியும்	vācija	jermanium
ஜெர்மன்	vācija	german
ஜெர்மானிய	vācu	german
ஜே	dž	j
ஜேக்	džeks	jake
ஜேம்ஸ்	džeimss	james
ஜேர்மனி	vācija	german
ஜேர்மனியின்	vācijas	germany's
ஜேர்மன்	vācu	german
ஜோசப்	jāzeps	joseph
ஜோடியாக	pārī	paired
ஜோதி	lāpa	jyoti
ஞான	gudrība	knowldege
ஞானம்	gudrība	knowledge
ஞானி	svētais	genius
ஞானிகள்	svētie	sages
டச்	pieskarieties	touch
டச்சு	holandiešu	dutch
டச்சுக்	holandiešu	dutch
டா	da	daa
டாக்	dok	dock
டாக்கா	daka	dhaka
டாக்டர்	dr.	doctor
டாடா	tata	tata
டான்	rītausma	don television
டார்வின்	dārziņš	darwin a name
டாலர்	dolārs	dollar
டாஸ்	mētāties	disc
டி	t	de
டி.என்.ஏ	dns	d.n.a, a gentic material
டிஎன்ஏ	dns	dna
டிசிப்ரோசியம்	ticiprociyam	dysprosium
டிஜிட்டல்	digitāls	digital
டிஜிபிஎஸ்	tijipies	dgps
டில்லி	ņūdeli	delhi
டிவி	tv	television
டிவிடி	dvd	dvd or digital visual display
டு	uz	a letter in tamil
டூ	pārāk	to
டெக்சாஸ்	teksasā	texas is a state in usa
டெக்டோனிக்	tektoniskais	techtonic
டென்னிஸ்	teniss	tennis
டென்மார்க்	dānija	denmark
டெய்லர்	teilors	tailor
டெர்பியம்	terbijs	terbium laser
டெல்	dell	del
டெல்லி	ņūdeli	delhi
டெல்லியின்	deli	delhi's
டெஸ்பெரேஸன்	tesperesan	federation an english movie or film
டே	diena	day
டேச்சு	dachau	ducth
டேனியல்	daniels	daniel
டேவிஸ்	deiviss	davis
டை	nomirst	dye
டைகர்	tīģeris	tiger
டைகிரிஸ்	tigris	tigris river
டைசர்	taicar	nucleous
டைட்டேனியம்	cirkonijs	titanium
டைபர்	tiber	tiber
டைம்ஸ்	laiki	times
டோக்கியோ	tokija	tokyo in japan
ட்விட்டரின்	twitter&#39;s	twitter
ட்விட்டரைப்	twitter	twitter
ட்விட்டர்	twitter	twitter
த		tha
தகடூர்	takatur	thagadur a war place
தகவலை	informācija	informations
தகவல்	informācija	information
தகவல்களை	informācija	informations
தகவல்களைப்	informācija	information
தகவல்களையும்	informācija	informations
தகவல்கள்	informācija	informatin
தகவல்தொடர்பு	komunikācija	telecommunication links
தகுதியை	atbilstība	power
தகுந்த	piemērots	qualified
தக்க	saglabāts	stay
தங்க	zelts	gold
தங்கச்	zelts	gold
தங்கச்சி	thangachi	sister
தங்கத்தின்	no zelta	of gold
தங்கம்	zelts	gold
தங்களது	viņu	crusade
தங்களின்	viņu	yours
தங்களுக்கு	viņu	themselves
தங்களுக்குள்	paši	in between them
தங்களுடைய	viņu	their
தங்களை	paši	yours
தங்கள்	viņu	their
தங்கி	uzturēšanās	stay
தங்கியுள்ளது	atkarīgs	remains
தசரதன்	dasaratha	dhasarathan
தசாவதாரம்	dasavataram	dasavatharam
தசை	muskuļi	muscles
தஞ்சை	thanjavur	tanjore
தஞ்சைப்	tancaip	thanjavur
தஞ்சையில்	thanjavur	in thanjavur in tamilnadu
தடவை	laiks	one time
தடுக்க	novērst	prevent
தடுக்கவும்	novērst	cut
தடுக்கிறது	novērš	prevent
தடுக்கும்	novēršana	prevent
தடுத்து	aizturēšana	stopped
தடுப்பது	bloķēšana	restrict
தடுப்பு	profilakse	vaccines
தடுப்பூசி	vakcinācija	vaccination
தடை	aizliegt	break
தடையாக	šķērslis	hurdle
தட்சிணாமூர்த்தி	dakshinamurthi	one of the name
தட்டச்சு	rakstīšana	typewrite
தட்டாரப்பூச்சி	spāre	dragonfly
தட்டிகள்	stiprinājumi	billboard
தட்டு	plāksne	plate
தட்டுகள்	paletes	layers of the earth
தட்டையான	plakans	flate
தட்ப	klimats	temprature
தட்பவெப்ப	klimats	whether
தட்பவெப்பநிலை	laikapstākļi	climate
தண்டனை	piemērs	punishment
தண்டு	stublājs	stem
தண்ணீரை	ūdens	water
தண்ணீர்	ūdens	water
தத்தம்	viņu	myself
தத்துவ	filozofiski	ravi
தத்துவத்தின்	filozofija	philosophy
தத்துவப்	filozofiski	philosophy
தத்துவம்	filozofija	philosophy
தத்துவவாதிகள்	filozofi	philosophers
தந்த	no plkst	given by
தந்தம்	ziloņkauls	ivory
தந்தி	telegramma	telegram
தந்தை	tēvs	father
தந்தையான	tēvs	father
தந்தையின்	tēvs	father's
தந்தையை	tēvs	father
தன	ager	earth
தனக்கு	viņa	me
தனது	viņa	mine
தனி	atsevišķi	seperate
தனிக்	privātums	single
தனிச்சிறப்பு	atšķirība	distinction
தனித்த	unikāls	seperate
தனித்தனியான	atsevišķi	several
தனித்தனியே	atsevišķi	seperately
தனித்தன்மை	impresionists	speciality
தனித்து	vientuļnieks	own
தனித்துவ	pielāgots	unique
தனித்துவமான	īpatnējs	individually
தனித்துவம்	unikalitāte	seperately
தனிநபருக்கான	uz vienu iedzīvotāju	per person
தனிநபர்	personīga	individual
தனிப்பட்ட	personīga	seperate
தனிமங்கள்	elementi	metals
தனிமனித	personība	personality
தனிமுறை	privāts	private network
தனியாக	vienatnē	separately
தனியான	atsevišķi	sole
தனியார்	privāts	private
தனியாள்	viens	individual
தன்	viņa	for me
தன்நிறைவு	pietiekamība	self sufficient
தன்னாட்சி	autonomija	autonomy
தன்னிலை	plaukts	self
தன்னுடன்	ar viņu	to annex
தன்னுடைய	viņa	me
தன்னுள்	iekļauts	itself
தன்னை	pats	myself
தன்னைத்	pats	himself
தன்னைப்	pats	herself, itself, himself
தன்மை	necaurredzamība	natural quality
தன்மையில்	dabā	in nature
தன்மையும்	daba	having the character
தன்மையை	raksturs	to know the status
தன்மையைக்	daba	having the character
தபால்	izlikt	post
தப்பி	bēg	to escape
தமக்கு	viņa	his
தமக்கென	pats	have  need
தமது	viņa	their
தமனி	artērija	veins
தமிழக	tn	tamilnadu
தமிழகத்தின்	valsts	in tamilnadu
தமிழகத்தில்	vietnē tamilnadu	tamils
தமிழகம்	tamilu nadu	tamilnadu
தமிழன்	lube	tamizhan
தமிழரிடையே	turiet	among tamil people
தமிழரின்	grāmatzīmes	tamilians
தமிழரும்	tamils	tamilan also
தமிழர்	tamilu	tamilian
தமிழர்களுக்கு	tamils	for thetamils
தமிழர்களும்	tamils	tamil people
தமிழர்கள்	tamils	tamilians
தமிழா	tamila	tamils
தமிழிசை	tamilisai	tamilpoem
தமிழின்	tamilu	tamil
தமிழிலும்	tamilu	tamil
தமிழில்	tamilu valodā	in tamil
தமிழீழ	eelam	tamil eelam
தமிழீழத்தில்	tamilu eelams	in tamilnadu
தமிழீழம்	sideshow	tamil ealam
தமிழுக்கு	tamilu	of tamil
தமிழை	skumji	tamil language
தமிழ்	tamilu	it is a language
தமிழ்க்	tamilu	tamil
தமிழ்ச்	tamilu	of tamil
தமிழ்த்	tamilu	tamil
தமிழ்நாடு	tamilu nadu	tamil nadu
தமிழ்நாட்டின்	tamilu nadu	for tamilnadu
தமிழ்நாட்டில்	tamil nadu	in the tamil nadu
தமிழ்நெட்	tamilnet	tamilnet
தமிழ்ப்	tamilu	tamils
தம்	viņa	themself
தம்பி	brālis	brother
தம்மை	pats	we
தயாராக	gatavs	to be ready for harvest
தயாரிக்கப்படுகின்றன	iestudējumi	manufactering
தயாரிக்கப்படுகிறது	iegūts	manufactured
தயாரிக்கப்படும்	tiek gatavots	manufactured
தயாரிக்கப்பட்ட	izgatavots	having manufactured
தயாரிக்கும்	formēšana	production
தயாரித்த	ražo	produced
தயாரித்து	cepts	prepared
தயாரிப்பில்	sagatavošanā	production
தயாரிப்பு	ražošana	production
தயாரிப்புகள்	izstrādājumi	manufacture
தயார்	gatavs	ready by
தயிர்	jogurts	yogurt
தர	kvalitāte	range
தரத்தில்	kvalitātes ziņā	in standard
தரத்தை	kvalitāte	quality
தரநிலை	standarta	living standard
தரப்பட்ட	ar nosacījumu	given
தரப்பட்டுள்ள	dots	given
தரப்பட்டுள்ளன	ar nosacījumu	given
தரப்பு	kriminālvajāšana	party
தரமான	kvalitāte	quality
தரம்	kvalitāte	quality
தரவிறக்கம்	lejupielādējams	download
தரவில்லை	havent	not given
தரவு	dati	data
தரவுகளின்	no datiem	data
தரவுகளை	dati	data
தரவுகள்	dati	data
தரவுத்	dati	world wide link
தரவுப்	dati	brokerage
தரவை	dati	ajax
தருகின்ற	plastikāta	provide
தருகின்றன	korms	gives
தருகிறது	dod	it gives
தருகிறார்	nodrošina	gives
தரும்	atgriežas	to
தருவது	punkcija	gives
தரைபாவுமை	taraipavumai	not having a gap
தரையில்	zeme	in the floor
தர்க்க	loģika	wordy quarrel
தர்ம	dharma	dharma
தர்மபுரி	dharmapuri	dharmapuri district in tamilnadu
தர்மம்	dharma	righteousness
தற்காலத்	mūsdienās	now a days
தற்காலத்தில்	mūsdienās	current days
தற்காலிக	pagaidu	temporarily
தற்காலிகமாக	uz laiku	temporary
தற்கொலை	pašnāvība	suicide
தற்சமயம்	pašlaik	currently
தற்பொழுது	pašlaik	now
தற்போதய	pašreizējā	current
தற்போது	pašlaik	now
தற்போதும்	klāt	resant
தற்போதுள்ள	esošās	at present
தற்போதைய	pašreizējā	present
தலங்களில்	atrakcijas	temple
தலங்கள்	vietas	places
தலை	galva	head
தலைசிறந்த	izcils	famous
தலைநகரங்கள்	galvaspilsētas	capitals
தலைநகரமாக	galvenā mītne	capital
தலைநகரமான	galvaspilsēta	head quaters
தலைநகரம்	galvenā mītne	capital city
தலைநகராக	galvaspilsētā	capital
தலைநகராகக்	galvaspilsēta	capital city
தலைநகராகும்	galvaspilsēta	headquaters
தலைநகரான	galvaspilsēta	capital
தலைநகரை	galvaspilsēta	capital city
தலைநகர்	galvaspilsēta	capital
தலைப்பில்	virsraksts	caption
தலைப்பு	galvene	caption
தலைப்புகள்	paraksti	topics
தலைமுறை	paaudze	generation
தலைமை	galva	chief
தலைமைத்	priekšnieks	head
தலைமைப்	vadība	leading
தலைமையகம்	galvenā mītne	headquaters
தலைமையிடமாக	galvenā mītne	head quaters
தலைமையின்	vadība	under the leadership of
தலைமையிலான	galva	under the leadership
தலைமையில்	galva	under the leadership of
தலைமையேற்று	galva	led
தலையங்கம்	mastgalva	editoral
தலையாய	primārs	important
தலையிட	iejaukties	involve
தலையீட்டை	iejaukšanās	interference
தலைவன்	līderis	head
தலைவராகவும்	prezidents un	leader
தலைவரான	līderis	for the leaders
தலைவராவார்	līderis	leader
தலைவர்	līderis	leader
தலைவர்களும்	līderi	heads
தலைவர்கள்	līderi	leaders
தலைவி	priekšsēdētājs	woman
தள	vietne	web site
தளங்களின்	vietnes	web sites
தளங்களில்	vietnes	sites
தளங்கள்	vietnes	field
தளத்தின்	vietne	floors
தளத்தில்	vietne	in resource
தளத்தை	bāze	center
தளமாக	bāze	place
தளம்	vietne	floor
தளையறு	bezmaksas	unfetter
தள்ளுபடி	atlaide	discount
தழுவி	apskauj	to manage
தழுவிய	valsts mērogā	worldwide
தவம்	majestic	meditation
தவறாக	ļaunprātīga izmantošana	wrong
தவறான	viltus	wrong
தவறாமல்	regulāri	without fail
தவறு	viltus	fault
தவறுகள்	kļūdas	wrong
தவறுதலாக	kļūdaini	allow phonetic typing by mistake
தவிர	neskaitot	execpt
தவிர்க்க	izvairīties	to avoid
தவிர்த்து	izslēdzot	except
தவிர்ந்த	nekā	except
தாகூர்	tagore	tagore
தாக்க	uzbrukums	effects
தாக்கங்களை	sekas	impact
தாக்கங்கள்	ietekmes	impacts
தாக்கத்தால்	ietekme	affect
தாக்கத்தை	ietekme	having that effect
தாக்கம்	ietekme	interference
தாக்கி	uzbruka	attack
தாக்குதலில்	uzbrukums	attacks
தாக்குதலுக்கு	uzbrukums	attack
தாக்குதலை	uzbrukums	attacks
தாக்குதல்	uzbrukums	attack
தாக்குதல்களை	uzbrukumi	attacks
தாக்கும்	sist	attack
தாக்கோ	takko	thaco a mixture
தாங்க	lācis	to bear
தாங்களே	paši	you only
தாங்கள்	viņi	by themselves
தாங்கி	gultnis	bearing
தாங்கிய	gultnis	led the
தாங்கும்	izmitināšana	carrying
தாஜ்	tadž	taj
தாஜ்மகாலின்	lielums	the taj mahal
தாண்டவம்	thandavam	dance
தாண்டி	tālāk	outgrow
தாண்டிச்	tālāk	skipped
தாண்டிய	pārsniedz	even after that
தாது	rūda	mineral
தானம்	donors	donating
தானாக	automātiski	at its own
தானாகவே	automātiski	himself
தானியங்கி	automobiļi	automatic
தானுந்து	automobils	motor
தானே	metāns	their own
தான்	vienkārši	only
தாமசு	tomass	thomas
தாமஸ்	tomass	thamas
தாமாகவே	paši	by voluntarily
தாமிரபரணி	thamirabarani	thamiraparani is a river in tamil nadu
தாமே	pats	themself
தாம்	viņi	is
தாயகமாக	mājas	motherland
தாயகம்	dzimtene	mother land
தாயார்	māte	mother
தாயின்	mātes	from the mother
தாயை	māte	mother
தாய்	māte	tamil language
தாய்லாந்து	taizeme	thailand
தாய்வான்	taivāna	taiwan
தாராளவாத	liberāļi	liberal
தாலாட்டு	rokeris	rocker
தாலிபான்	taliban	taliban
தாள்	lapa	paper
தாள்கள்	loksnes	paper
தாழ்	zems	paper
