$	dollarni tashkil etadi	dollars
оае	oae	uae
обама	obama	obama
обаче	ammo	however
обвивка	qobiq	cover
обвинен	ayblanmoqda	accused
обвинения	ayblovlar	charges
обвиненията	ayblovlar	charges
обвинява	ayblaydi	accused
обвиняват	ayblash	blame
обединена	birlashgan	united
обединени	birlashgan	united
обединение	birlashtirish	union
обединението	kasaba uyushmasi	union
обединените	birlashgan	united
обединеното	birlashgan	united
обединява	birlashtiradi	together
обединяват	birlashmoq	unite
обект	ob&#39;ekt	object
обекта	ob&#39;ekt	objects
обекти	ob&#39;ektlar	buildings
обектите	ob&#39;ektlar	objects
обем	hajmi	volume
обема	hajmi	volume
обемът	ovoz balandligi	volume
обещава	va&#39;dalar	promises
обзор	sharh	survey
обикаля	atrofida yuradi	walk round
обикалят	atrofida yurish	orbit
обикновен	oddiy	ordinary
обикновена	oddiy	ordinary
обикновени	oddiy	ordinary
обикновените	oddiy	ordinary
обикновено	odatda	usually
обиколка	tur	tour
обиколката	tur	tour
обитавали	yashagan	inhabited
обитават	istiqomat qilmoq	inhabit
обитатели	aholisi	residents
обича	sevadi	like
обичаи	bojxona	customs
обичаите	bojxona	customs
обичай	odat	traditions
обичайните	odatiy	usual
обичайно	odatda	usually
обичаят	odat	custom
обкръжение	atrofi	surroundings
облагане	soliq solish	levy
облак	bulut	cloud
област	maydoni	region
областен	mintaqaviy	regional
области	joylar	districts
областите	joylar	areas
областта	maydoni	field
облаци	bulutlar	clouds
облекло	kiyim-kechak	clothing
облеклото	kiyim-kechak	clothing
облечени	kiyingan	dressed
облик	tashqi ko&#39;rinishi	shape
обмен	almashish	volume
обмяна	almashish	exchange
обмяната	ayirboshlash	exchange
обозначава	belgilaydi	marks
обозначаване	belgilash	marking
оборудване	uskunalar	equipment
обособена	ajratilgan	differentiated
обособени	ajratilgan	separated
обособява	farq qiladi	differentiated
обособяват	farqlash	differentiate
обработва	jarayonlari	process
обработка	qayta ishlash	processing
обработката	qayta ishlash	processing
образ	rasm	image
образа	rasm	dishonorable
образец	namuna	specimen
образи	rasmlar	images
образование	ta&#39;lim	education
образованието	ta&#39;lim	education
образователна	tarbiyaviy	education
образува	shakllari	create
образувайки	shakllantirish	forming
образували	hosil bo&#39;lgan	educate
образуван	hosil bo&#39;lgan	set up
образувана	hosil bo&#39;lgan	formed
образуване	hosil bo&#39;lishi	educatation
образуването	hosil bo&#39;lishi	forming
образувани	hosil bo&#39;lgan	formed
образувание	hosil bo&#39;lishi	formation
образувания	hosil bo&#39;lishi	formations
образуват	shakl	form
образци	namunalar	models
образът	tasvir	image
обратна	teskari	reverse
обратната	teskari	diverse
обратно	orqaga	back
обратното	qarama-qarshi	inverse
обреди	marosimlar	rituals
обредни	marosim	ritual
обръща	buriladi	draw
обръщат	burish	rub
обръщение	manzili	circulation
обрязването	sunnat	circumcision
обсада	qamal	siege
обсадата	qamal	siege
обсажда	qamal qilish	besieged
обсерватория	rasadxona	observatory
обслужва	xizmat qiladi	serve
обслужване	xizmat	service
обстановка	vaziyat	environment
обстановката	vaziyat	environment
обстоятелства	holatlar	circumstances
обсъжда	muhokama qiladi	talk about
обувки	poyabzal	shoes
обуславя	belgilaydi	determined
обучение	o&#39;qitish	training
обучението	o&#39;qitish	training
обхват	qamrov	range
обхваща	panellari	cover
обхващат	qopqoq	cover
обхващащ	qoplama	encompassing
обхващащо	qoplama	covering
обширна	keng	extensive
обширни	keng	extensive
общ	umumiy	general
обща	umumiy	common
общата	jami	total
общества	jamiyat	communities
обществен	ommaviy	public
обществена	ommaviy	society in matters
обществени	ommaviy	public
обществените	ommaviy	public
обществения	ommaviy	public
обществено	omma oldida	socially
общественост	jamoatchilik	public
общественото	jamoatchilik	public
общество	hamjamiyat	society
обществото	jamiyat	society
общи	umumiy	common
община	hokimiyat	municipality
общината	munitsipalitet	municipality
общините	munitsipalitetlar	municipalities
общинска	munitsipal	minicipal
общински	munitsipal	municipal
общинския	munitsipalitet	minicipal
общите	umumiy	general
общия	umumiy	total
общият	umumiy	total
общност	hamjamiyat	community
общности	jamoalar	communities
общността	hamjamiyat	commonwealth
общо	jami	generally
общото	jami	general
общуване	aloqa	communication
обърнат	teskari	turn
обявен	e&#39;lon qildi	declared
обявена	e&#39;lon qildi	declared
обявени	e&#39;lon qildi	declared
обявено	e&#39;lon qildi	announced
обяви	e&#39;lonlar	ads
обявява	e&#39;lon qiladi	announced
обявяване	e&#39;lon	declaration
обявяването	e&#39;lon	announcement
обявяват	e&#39;lon qilmoq	announce
обяснение	tushuntirish	explanation
обясни	tushuntirib bering	explain
обяснява	tushuntiradi	explains
обясняват	tushuntirib bering	explain
обяснят	tushuntirib bering	explain
овце	qo&#39;ylar	sheep
оглавява	boshlari	head
оглед	ko&#39;rinish	view
огнянов	olovlar	ognyanov
ограничава	cheklaydi	limited
ограничават	cheklash	limited
ограничен	cheklangan	limited
ограничена	cheklangan	limited
ограничени	cheklangan	limited
ограничения	cheklovlar	restrictions
ограничено	cheklangan	limited
ограничи	chegarasi	limit
огромен	ulkan	huge
огромна	ulkan	great
огромната	ulkan	huge
огромни	ulkan	huge
огромните	ulkanlari	enormous
огромния	ulkan	huge
огромно	ulkan	huge
огромното	ulkan	huge
огън	olov	fire
огъня	olov	fire
одеса	odessa	odesa
одисей	odyssey	odysseus
одисея	odyssey	odyssey
одобрен	tasdiqlangan	approved
одобрение	tasdiqlash	approval
одобрява	tasdiqlaydi	approve
одрин	edrin	edirne
оерстед	oersted	orsted
означава	degan ma&#39;noni anglatadi	means
означават	anglatadi	mean
оиср	oisr	oecd
ок	taxminan	about
окажат	qayrilib olish	administer
окаже	ega bo&#39;ladi	do
оказва	aylanadi	happens
оказват	qayrilib olish	have/has
океан	okean	ocean
океана	okean	oceans
океаните	okeanlar	oceans
океания	okeaniya	oceania
океански	okeanik	oceanic
око	ko&#39;z	eye
околии	turar joy dahasi	districts
околиите	mahallalar	districts
околия	turar joy dahasi	district
околната	atrofni	environmental
околните	atrofida	others
околностите	atrofi	nearby
околността	atrofi	neighborhood
около	atrofida	about
окончателно	nihoyat	finally
окончателното	final	final
окото	ko&#39;z	eye
окръг	okrugi	county
окръжен	tumani	county
окръжие	tumani	county
окръжност	aylana	circle
окръзи	okruglari	regions
оксид	oksid	oxide
октавиан	oktavian	octavian
октомври	oktyabr	october
октомврийската	oktyabr	the october
окупация	kasb	siege
окупира	egallaydi	occupy
окупирана	ishg&#39;ol qilingan	occupied
олд	qari	old
олимпийски	olimpiya	olympic
олимпийските	olimpiya	olympic
олимпия	olimpiya	olympia
оловни	qo&#39;rg&#39;oshin	lead
олово	qo&#39;rg&#39;oshin	lead
оловото	qo&#39;rg&#39;oshin	lead
ом	ohm	ohm
омир	gomer	homer
омуртаг	omurtag	omurtag
омъжена	uylangan	married
онези	o&#39;sha	those
онлайн	onlayn	online
онова	bu	that
онтарио	ontario	ontario
оон	un	oon
опазване	himoya qilish	preservation, conservation, protection
опазването	saqlash	protection
опасна	xavfli	dangerous
опасни	xavfli	dangerous
опасност	xavf	type
опасността	xavf	danger
опашка	dum	tail
опашката	dum	tail
опера	opera	opera
операта	opera	opera
оперативна	operatsion	operational
оператор	operator	operator
операции	operatsiyalar	surgeries
операция	operatsiya	surgery
операцията	operatsiya	operation
опери	opera	operas
описана	tasvirlangan	described
описани	tasvirlangan	described
описание	tavsifi	description
описанието	tavsifi	the description
описания	tavsiflar	descriptions
описва	tasvirlaydi	describes
описват	tasvirlab bering	describe
опит	tajriba	attemtp
опита	tajriba	attempt
опитва	harakat qilmoqda	tries
опитват	harakat qilib ko&#39;ring	try
опити	tajribalar	trial
опитите	urinishlar	attempts
опитът	tajriba	ask
оплождане	urug&#39;lantirish	fecundation
опозиция	muxolifat	opposition
опозицията	muxolifat	oppositon
определен	aniqlangan	determined
определена	aniqlangan	determined
определени	aniqlangan	certain
определение	aniqlash	definition
определението	ta&#39;rifi	definition
определения	ta&#39;riflar	definitions
определено	albatta	definitely
определя	belgilaydi	determined
определян	aniqlangan	determined
определяне	qat&#39;iyat	determination
определянето	qat&#39;iyat	determination
определят	aniqlang	determined
оптика	optika	optics
опълчение	militsiya	army of volunteers
орален	og&#39;zaki	oral
оралният	og&#39;zaki	oral
орбита	orbitada joylashgan	orbit
орбитален	orbital	orbital
орбитата	orbitasida joylashgan	orbit
орбити	orbitalari	orbits
орбитите	orbitalari	orbite
оргазъм	orgazm	orgasm
орган	tanasi	body
органа	tanasi	authority
органели	organellalar	organelles
органи	organlar	organs
организации	tashkilotlar	organizations
организация	tashkiloti	organization
организацията	tashkilot	organization
организира	tashkil qiladi	organized
организиран	uyushgan	organized
организирана	uyushgan	organised
организирането	tashkiliy	organization
организирани	uyushgan	organized
организирано	uyushgan	organised
организират	tashkil qilmoq	organize
организма	organizm	body
организми	organizmlar	organisms
организмите	organizmlar	the organisms
организмът	organizm	body
организъм	organizm	organism
органите	hokimiyat	authorities
органични	organik	organic
орден	buyurtma	order
ордена	buyurtmaning	the order
орденът	buyurtma	order
орел	burgut	eagle
оригинална	original	original
оригиналната	asl	original
ориентация	yo&#39;naltirish	orientation
ориз	guruch	rice
оркестър	orkestr	orchestra
орфей	orfey	orpheus
оръдия	to&#39;plar	tools
оръжие	qurol	weapons
оръжието	qurol	weapon
оръжия	qurollar	weapons
оряховица	muskat yong&#39;og&#39;i	oryahovica
ос	os	axis
освен	tashqari	except for
осветление	yoritish	lighting
освободен	ozod qilindi	released
освободи	ozod qilish	free
освободител	ozod qiluvchi	liberator
освободителна	ozod qiluvchi	liberation
освобождава	relizlar	released
освобождаване	ozod qilish	liberation
освобождаването	ozod qilish	release
освобождение	ozodlik	liberation
освобождението	ozodlik	liberation
осем	sakkiz	eight
осемте	sakkizta	eight
осигури	ta&#39;minlash	provide
осигурява	beradi	secure
осигуряване	sug&#39;urta	insurance
оскар	oskar	oscar
осман	usmonli	ottoman
османска	usmonli	ottoman
османски	usmonli	ottoman
османските	usmoniylar	the ottoman
османския	usmonli	ottoman
османският	usmonli	ottoman
османско	usmonli	ottoman
османското	usmonli	ottoman
османците	usmoniylar	ottomans
основа	asos	basis
основава	asoslangan	based
основаване	poydevor	founding
основаването	poydevor	foundation
основават	asos solingan	based
основан	asos solingan	founded
основана	asos solingan	established
основани	asoslangan	founded
основание	asos	basis
основано	asoslangan	founded
основата	asos	basis
основател	asoschisi	founder
основателите	asoschilari	founders
основен	asosiy	main
основи	asoslari	foundations
основите	asoslari	foundations
основна	asosiy	main
основната	asosiy	main
основни	asosiy	main
основните	asosiy	main
основния	asosiy	elementary
основният	asosiy	main
основно	asosan	primary
основното	asosiy narsa	main
основоположник	asoschisi	originator
особен	maxsus	distinct
особена	maxsus	personal
особени	maxsus	personal
особено	ayniqsa	particularly
особеност	xususiyati	feature
особености	xususiyatlari	features
особеностите	xususiyatlari	the characteristics
оста	o&#39;qi	axis
остава	qoladi	remains
остават	qoladi	remain
оставени	chapga	leaved
оставка	iste&#39;foga chiqish	resignation
оставя	barglari	leaves
оставяйки	ketish	leaving
оставят	qoldiring	leave
останал	qoldi	left
останала	qoldi	left
останалата	qolgani	the rest
останали	qolgani	other
останалите	qolgani	rest
останалото	qolgani	rest
останат	qoladi	remain
остане	turmoq	remain
останки	qoladi	remains
останките	qoldiqlari	remains
остатъци	qoldiqlar	remains
остатъците	qoldiqlari	remains
остра	o&#39;tkir	acute
остри	o&#39;tkir	sharp
остро	keskin	heavy
остров	orol	island
острова	orollar	island
острови	orollar	islands
островите	orollar	the islands
островът	orol	island
остър	o&#39;tkir	acute
осъден	sudlangan	convicted
осъзнава	tushunadi	realize
осъм	sakkiz	osam
осъществена	amalga oshirildi	implemented
осъществи	o&#39;tkazildi	place
осъществява	amalga oshiradi	place
осъществяване	amalga oshirish	implementation
осъществяването	amalga oshirish	implementation
осъществяват	amalga oshirmoq	consisting
от	dan	of
отбележи	qayd etdi	noted
отбелязан	belgilangan	marked
отбелязани	belgilangan	registered
отбелязва	eslatmalar	notes
отбелязване	markalash	marking
отбелязват	eslatma	note
отбор	jamoasi	team
отбора	jamoasi	team
отбори	jamoalar	team
отборите	jamoalar	teams
отборът	jamoa	team
отбрана	mudofaa	defense
отбраната	mudofaa	defense
отбранителна	mudofaa	defense
отбранителни	mudofaa	defense
отваря	ochadi	open
отварят	ochiq	open
отвор	teshik	hole
отворен	ochiq	open
отворена	ochiq	open
отворени	ochiq	open
отворено	ochiq	open
отвори	ochiq	open
отвъд	orqasida	beyond
отвън	tashqarida	outside
отвътре	ichida	inside
отглежда	yetishtiradi	grown
отглеждане	naslchilik	growing
отглеждането	etishtirish	growing
отглеждани	yetishtirilgan	grown
отглеждат	etishtirish	looking
отговаря	bilan uchrashadi	meet
отговарят	javob bering	answer
отговор	javob bering	response
отговорен	javobgar	responsible
отговори	javoblar	reply
отговорни	javobgar	responsible
отговорност	javobgarlik	responsibility
отгоре	tepasida	on top
отдава	beradi	given
отдавна	uzoq vaqt oldin	long ago
отдалечени	uzoqdan	remote
отдел	bo&#39;lim	department
отделен	alohida	separate
отделена	ajratilgan	separated
отделени	ajratilgan	separated
отдели	bo&#39;limlari	departments
отделна	alohida	separate
отделни	alohida	separate
отделните	shaxs	individual
отделно	alohida-alohida	separately
отделя	ajratadi	separated
отделяне	ajratish	separation
отделянето	ajratish	separation
отделят	alohida	department
отдих	dam oling	rest
отдолу	quyida	underneath
отец	otasi	father
отзиви	sharhlar	reviewers
отива	ketadi	goes
отиват	ular ketadilar	go
отиде	ketdi	leave
откаже	rad qilish	refuse
отказва	rad etadi	quits
отказват	rad qilish	refuse
отклонение	og&#39;ish	deviation
отклонения	og&#39;ishlar	deviation
отклонява	og&#39;adi	deviates
отколкото	dan ko&#39;proq	than
открива	kashf etadi	found
откриване	aniqlash	detection
откриването	ochilish	opening
откриват	kashf eting	found
открили	kashf etilgan	found
открит	ochiq	found
открита	ochiq	discovered
открити	kashf etilgan	found
откритие	kashfiyot	discovery
откритието	kashfiyot	the discovery
откритите	kashf etilgan	open
открития	kashfiyotlar	discovers
откритията	kashfiyotlar	discoveries
открито	ochiqchasiga	discovered
открият	kashf eting	found
открояват	ajralib turadi	stand out
откъдето	qayerdan	whence
откъм	dan	from
отлага	kechikishlar	postponed
отличава	ajratib turadi	distinguish
отличават	ajratib turmoq	distinguished
отличен	a&#39;lo	excellent
отличия	farqlar	insignia
отлични	a&#39;lo	excellent
отлично	a&#39;lo	perfect
отмъщение	qasos	revenge
отнася	ishora qiladi	relates
отнасят	murojaat qiling	reffers
отначало	boshida	beginning
отнема	oladi	takes away
отново	yana	again
относителна	nisbiy	relative
относителната	qarindosh	relative
относително	nisbiy	relatively
относителността	nisbiylik	relativity
относно	haqida	about
отношение	munosabat	respect
отношението	munosabat	attitude
отношения	munosabatlar	relationships
отношенията	munosabatlar	relations
ото	oto	otto
отпада	tushiriladi	lapse
отпадъци	chiqindilar	waste
отпор	qarshilik	resistence
отправя	yuboradi	make
отпреди	avvalgidan	back
отравяне	zaharlanish	poisoning
отражение	aks ettirish	reflection
отразява	aks ettiradi	presents
отразяват	aks ettirish	reflects
отрасли	tarmoqlar	sectors
отрасъл	sanoat	sector
отрицателни	manfiy	negative
отрицателно	manfiy	negatively
отрича	rad etadi	denies
отрова	zahar	poison
отровата	zahar	poison
отровни	zaharli	poisonous
отряд	bo&#39;linma	detachment
отряди	bo&#39;linmalar	squads
отслабва	zaiflashadi	weakens
отстранен	olib tashlandi	removed
отстрани	yon tomonga	remove
отстранява	olib tashlaydi	expelled
отстраняване	olib tashlash	removal
отстраняването	olib tashlash	remuval
отстъпва	yo&#39;l beradi	retreats
отстъпват	yo&#39;l bering	retreat
отстъпят	yo&#39;l bering	yield
отсъствие	yo&#39;qligi	absence
отсъствието	yo&#39;qligi	absence
оттам	u erdan	from there
оттегля	chekinadi	withdraws
оттеглянето	olib qo&#39;yish	withdrawal
оттеглят	chekinmoq	withdraw
оттенък	rang	touch
оттогава	o&#39;shandan beri	since then
отток	chiqib ketish	flow
оттук	shu yerdan	hence
отхвърля	rad etadi	rejected
отхвърлят	rad qiling	reject
отчасти	qisman	partly
отчита	hisobotlar	report
отчитане	hisobot berish	reading
оу	ou	primary school
оуен	qarzdor	owen
офанзива	haqoratli	offensive
офицер	ofitser	officer
офицери	ofitserlar	officers
официален	rasmiy	oficial
официална	rasmiy	official
официалната	rasmiy	the official
официални	rasmiy	official
официалните	rasmiy	official
официалният	rasmiy	oficial
официално	rasmiy ravishda	official
официалното	rasmiy	official
оформени	shakllangan	formed
оформя	shakllari	formed
оформянето	shakllantirish	forming
оформят	shakl	shape
охрана	xavfsizlik	security
охрид	ohrid	ohrid
охридски	ohrid	ohrid
охридското	ohrid	ohrid
оцелели	omon qoldi	survivors
оцелелите	omon qolganlar	survivors
оцелеят	omon qoling	survive
оценка	baholash	assessment
оценки	baholar	estimates
оценява	baholaydi	estimated
оценяват	qadrlamoq	evaluated
очаква	kutmoqda	expected
очакват	kutish	expected
очевидно	aniq	apparently
очертава	rejalari	outlines
очи	ko&#39;zlar	eyes
очите	ko&#39;zlar	eyes
очната	okulyar	eye
още	ko&#39;proq	more
п	n	p. (initial)
пабло	pablo	pablo (name)
павел	pol	pavel
павлов	pol	pavlov
павлович	pavlovich	pavlovich (last name)
пада	tushadi	falls
падане	tushish	fall
падането	yiqilishi	fall
падат	tushish	fall
падеж	yetuklik	case
падина	ichi bo&#39;sh	trench
пазар	bozor	market
пазара	bozor	market
пазарджик	bozor	pazardzhik
пазари	bozorlar	markets
пазарна	bozor	market
пази	ehtiyot bo `lmoq	protect
пазят	saqlamoq	watch
паисий	paysisi	paisii
пайнер	to&#39;lovchi	payner
пак	yana	again
пакистан	pokiston	pakistan
палата	palatasi	chamber
палестина	falastin	palestine
палилалия	palilaliya	palilaliya
памет	xotira	memory
паметна	unutilmas	memorable
паметник	yodgorlik	monument
паметника	yodgorlik	monument
паметникът	yodgorlik	monument
паметници	yodgorliklari	monument
паметта	xotira	memory
памук	paxta	cotton
панагюрище	panagyurishte	panagyurishte
панаир	adolatli	fair
панайот	panayot	panayot
панама	panama	panama
панония	pannoniya	pannonia
панорама	panorama	panoramic
папа	dadam	the pope
папата	papa	pope
пара	bug &#39;	steam
парагвай	paragvay	paraguay
параклис	chapel	chapel
параклиса	ibodatxona	tabernacle
паралел	parallel	degree of latitude
паралелно	parallel ravishda	in parallel
параметри	parametrlar	parameters
параскева	paraskeva	paraskeva
пари	pul	money
париж	parij	paris
парижката	parijlik	paris
парис	paris	paris
парите	pul	the money
парична	naqd pul	monetary
парични	naqd pul	money
парк	park	park
парка	park	park
паркове	parklar	parks
паркът	park	park
парламент	parlament	parliament
парламента	parlament	parliament
парламентарна	parlamentga oid	parliamentary
парламентарни	parlamentga oid	parliamentary
парламентарните	parlamentga oid	parliamentary
парламентът	parlament	parliament
партии	partiya	parties
партия	partiya	party
партията	partiya	party
партньор	sherik	partner
партньори	sheriklar	partners
парче	parcha	piece
парчета	dona	pieces
пас	o&#39;tish	pass
паси	o&#39;tish	feed
пасища	yaylovlar	pastures
паскал	paskal	pascal
патагония	patagoniya	petagoniya
патриарх	boshliq	patriarch
патриаршия	patriarxiya	patriarchate
патрокъл	patrul	patroclus
паул	paul	paul
пауло	paulo	paulo
пациента	kasal	patient
пациенти	bemorlar	patients
пациентите	bemorlar	patients
пачино	pachino	pachino (name)
паша	yaylov	pasha
певец	ashulachi	singer
певица	ashulachi	singer
певицата	qo&#39;shiqchi	singer
певци	qo&#39;shiqchilar	singers
педагогика	pedagogika	pedagogy
пее	kuylaydi	sings
пеене	ashula aytmoqda	singing
пейзаж	landshaft	landscape
пейо	peyo	peyo
пекин	pekin	beijing
пелей	pelej	pelei (name)
пелин	shuvoq	pelin
пенев	penev	sample
пенис	jinsiy olatni	penis
пениса	jinsiy olatni	penis
пенчо	pencho	pencho
пепел	kul	ash
перверзия	buzuqlik	perversion
период	davri	period
периода	davri	periods
периоди	davrlar	periods
периодичната	davriy	periodic
периодично	vaqti-vaqti bilan	periodically
периодът	davr	the period
периферията	chekka	periphery
перон	platforma	peron
перперикон	perperikon	perperikon
персийска	forsiy	persian
персийската	forsiy	persian
персийски	forsiy	persian
персийския	forsiy	persian
персийският	forsiy	persian
персите	forslar	persians
персия	persia	persia
персонал	xodimlar	staff
перу	peru	peru
песен	qo&#39;shiq	song
песента	qo `shiq	song
песни	qo&#39;shiqlar	songs
песните	qo&#39;shiqlari	the songs
пет	beshta	five
пета	beshinchi	fifth
петата	tovon	fifth
петербург	peterburg	petersburg
пети	beshinchi	fifth
петка	juma	petka
петко	juma	petko
петков	juma kunlari	petkov
петна	dog&#39;lar	spots
петно	dog &#39;	stain
пето	beshinchi	fifth
петрич	petrich	petrich
петров	petrov	petrov
петрол	benzin	oil
петте	beshta	the five
петък	juma	friday
петър	butrus	peter
пехота	piyodalar	marine, infantry
пехотна	piyodalar	infantry
печат	muhr	print
печата	muhr	print
печатни	bosilgan	print
печели	yutadi	wins
печелят	ular yutishadi	win
пешев	oyoqda	peshev
пещера	g&#39;or	cave
пещерата	g&#39;or	cave
пещери	g&#39;orlar	caves
пещерите	g&#39;orlar	caves
пеят	ular kuylashadi	sing
пи	pi	p
пиано	pianino	piano
пидна	pidna	pindus
пие	ichimliklar	drink
пиене	ichish	drinking
пиенето	ichish	drinking
пиесата	o&#39;yin	play
пиеси	o&#39;ynaydi	plays
пикасо	pikasso	picasso
пикочопровод	siydik pufagi	ureter
пионер	kashshof	pioneer
пирамида	piramida	pyramid
пирамидата	piramida	pyramid
пирамиди	piramidalar	pyramids
пирати	qaroqchilar	pirates
пиренови	piren	heather flowers
пирин	pirin	pirin
писане	yozish	wrote
писането	yozish	write
писани	yozilgan	written
писание	oyat	scripture
писанието	yozuv	writing, scripture
писател	yozuvchi	writer / author
писатели	yozuvchilar	writers
писателя	yozuvchi	writer
писателят	yozuvchi	the writer
писма	harflar	letters
писмен	yozilgan	written
писмени	yozilgan	written
писмено	yozma ravishda	written
писменост	yozish	literacy
писмо	xat	letter
писмото	xat	letter
писта	uchish-qo&#39;nish yo&#39;lagi	track
пит	chuqur	pit
питър	butrus	peter
пишат	yozadilar	write
пише	yozish	write
пият	ichimlik	дринк
пл	pl	square
плаване	suzib yurish	navigation
плаж	plyaj	beach
плазма	plazma	plasma
пламен	otash	plamen
план	rejasi	aspect; plan
плана	rejasi	plan
планета	sayyora	planet
планетата	sayyora	planet
планети	sayyoralar	planets
планетите	sayyoralar	planets
планина	tog	mountain
планината	tog &#39;	mountain
планини	tog&#39;lar	mountains
планините	tog&#39;lar	mountains
планинска	tog	mountain
планинската	tog &#39;	mountain
планински	tog&#39;li	mountain
планинските	tog	mountain
планира	rejalari	plans
планиране	rejalashtirish	planning
планова	rejalashtirilgan	planning
планове	rejalari	plans
плановете	rejalari	plans
планът	rejasi	plan
пласт	qatlam	layer
пластове	qatlamlar	layers
плата	ish haqi	plateaus
плато	plato	plateau
платон	aflotun	plato
платото	plato	plateau
платформа	platforma	a platform
плевел	begona o&#39;tlar	weeds
плевен	ombor	tribe
плевенска	pleven	pleven (region)
племе	qabilasi	tribe
племена	qabilalar	tribes
племената	qabilalar	tribes
племето	qabilasi	tribe
плен	asirga olish	captivity
пленен	ushlandi	captive
плеяда	galaktika	pleiades
плиска	chayqalish	pliska
пловдив	plovdiv	plovdiv
пловдивска	plovdiv	plovdiv
пловдивски	plovdiv	plovdiv
плод	meva	product
плода	homila	fruit
плодове	mevalar	fruit
плодовете	mevalar	fruits
плодородие	unumdorlik	fertility
плодородието	unumdorlik	fertility
плодородна	serhosil	fertile
плодородни	serhosil	fertile
плоски	tekis	flat
плоча	plitalar	plate
плочи	plitalari	plates
площ	maydoni	area
площад	kvadrat	square
площада	kvadrat	square
площи	joylar	spaces
плуване	suzish	swimming
плувен	suzish	swimming
плутарх	plutarx	plutarch
плутон	pluto	pluto
плътен	zich	thick
плътно	mahkam joylashtiring	canvas
плътност	zichligi	density
плътността	zichligi	density
плюс	ortiqcha	plus
плячка	o&#39;lja	loot
плячката	talon-taroj	prey
по	yoqilgan	on
победа	g&#39;alaba	victory
победата	g&#39;alaba	the victory
победен	mag&#39;lubiyatga uchradi	defeated
победени	mag&#39;lubiyatga uchradi	defeated
победи	yutadi	win
победите	yutmoq	beat
победител	g&#39;olib	winner
победителите	g&#39;oliblar	winners
побеждава	yutadi	wins
побеждават	ular yutishadi	win
поблизко	yaqinroq	closer
поблизо	yaqinroq	closer
побратимен	egizak	twinned
побратимени	egizak	twin
побързо	tezroq	faster
поважни	muhim	more important
поважните	hurmatli	more important
поведение	xulq	behavior
поведението	xulq	behaviour
повежда	olib boradi	leads
повече	ko&#39;proq	more
повечето	eng	most
повисок	o&#39;sish	higher
повисока	yuqori	higher
повисоки	yuqori	taller
повисоките	yuqori bo&#39;lganlar	taller
повисоко	yuqori	higher
повишава	ortadi	increases
повишаване	o&#39;sish	increasing
повишена	oshdi	increased
повлиян	ta&#39;sir qildi	favorable
повлияна	ta&#39;sir qildi	influenced
повлияни	ta&#39;sir ko&#39;rsatdi	influenced
повод	voqea	occasion
повторно	yana	for a second time
повърхност	yuzasi	surface
повърхността	yuzasi	surface
поглед	qarang	appearance
погледа	qarang	look
погледнато	ko&#39;rildi	speaking
поглъща	yutadi	absorbs
поголеми	kattaroq	larger
поголемите	kattaroqlari	larger
поголям	kattaroq	larger
поголяма	kattaroq	larger
поголямата	kattasi	biggest
поголямо	sochingizni olaylik	a great
погоре	yuqorida	above
погребан	ko&#39;milgan	buried
погребани	ko&#39;milgan	buried
погребение	dafn	funeral
погребението	dafn marosimi	funeral
погрешно	noto&#39;g&#39;ri	wrongly
под	ostida	under
подава	topshiradi	podava
подаване	topshirish	passing
подаръци	sovg&#39;alar	presents
подвидове	kichik turlari	subspecies
подвижни	harakatlanuvchi	mobile
подготвя	tayyorlaydi	prepare
подготвят	tayyorla	prepare
подготовка	tayyorlash	preparation
подготовката	tayyorlash	preparation
поддръжка	qo&#39;llab-quvvatlash	support
поддръжката	texnik xizmat ko&#39;rsatish	maintenance
поддържа	qo&#39;llab-quvvatlaydi	sustains
поддържане	texnik xizmat ko&#39;rsatish	maintaining
поддържането	texnik xizmat ko&#39;rsatish	support
поддържат	qo&#39;llab-quvvatlash	support
поделена	bo&#39;lingan	divided
поделя	ulushlar	divided
подем	ko&#39;tarilish	rise
подземен	er osti	underground
подземни	er osti	underground
подземните	er osti	the undeground
подкрепа	qo&#39;llab-quvvatlash	support
подкрепата	qo&#39;llab-quvvatlash	support
подкрепления	mustahkamlovchi qismlar	reinforcements
подкрепя	qo&#39;llab-quvvatlaydi	support
подкрепят	qo&#39;llab-quvvatlash	support
подлага	mavzu	decides
подлежат	uchun mavzu	subject to
подложен	tobe	subjected
подложени	bo&#39;ysunadi	subjected
подножие	oyoq	foot
подножието	oyoq	foot
подобен	o&#39;xshash	similar
подобие	o&#39;xshashlik	analogy
подобна	o&#39;xshash	similar
подобни	o&#39;xshash	similar
подобно	o&#39;xshash	such
подобра	yaxshisi	better
подобре	yaxshiroq	better
подобрения	takomillashtirish	improvements
подобри	yaxshilang	better
подобрява	yaxshilanadi	improves
подобряване	takomillashtirish	improving
подобър	yaxshiroq	better
подолу	hem	below
подписан	imzolangan	signed
подписва	belgilari	signs
подписването	imzolash	signing
подпомага	yordam beradi	supports
подпомагат	yordam	support
подправки	ziravorlar	spices
подразделения	birliklar	subdivisions
подредени	tartibga solingan	alined
подробно	batafsil	in detail
подробности	tafsilotlar	details
подтиква	chaqiradi	encourage
подход	yondashuv	march
подходящ	mos	appropriate
подходяща	mos	appropriate
подходящи	mos	appropriate
подходящо	muvofiq	appropriately
подчертава	ta&#39;kidlaydi	stresses
подчинени	bo&#39;ysunadiganlar	subordinate
