$ tỉ	বিলিয়ন ডলার	$ billion
mực	কালি	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	হাবাগবা লোক	noodles (n.)
mỹ	আমেরিকা	america
mỹcông	আমেরিকা	my private
na	ন	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	নগর	nagar, as in champa po nagar
nagasaki	নাগাসাকি	(proper noun) the city of nagasaki, japan
nagoya	নাগোয়া	a name
nagumo	nagumo	nagumo
nai	হরিণ	a deer
nairobi	নাইরোবি	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	পুরুষ	male
nambắc	উত্তর	nambac
namibia	নামিবিয়া	namibia
namnam	নাম নম	male-male
namno	namno	nammo
nancy	ন্যান্সি	nancy, as in nancy pelosi
nang	গুটিকা	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	বিষদাঁত	fang
nano	ন্যানো	nano
naomi	নাওমি	naomi, as in model naomi campbell
napoleon	একপ্রকার তাসখেলা	(proper noun) napoleon
napoli	নাপোলি	(proper noun) napoli
napoléon	একপ্রকার তাসখেলা	napoleon
nara	nara	nara
nasa	নাসা	(proper noun) nasa
nat	nat	nat
nathan	নাথান	nathan
natri	সোডিয়াম	sodium
nauru	নাউরু	a name
nava	nava	nava
navarre	navarre	navarre
nay	এখন	this (adj.)
needham	needham	needham
nelson	নেলসন	(proper noun) nelson, as in nelson mandela
neo	নোঙ্গর	"(term should be ""mỏ neo"") an anchor (n.)"
neon	নিঅন্গ্যাসংক্রান্ত	neon
nepal	নেপাল	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	নেট	net
netbook	নেট	netbook
netscape	নেটস্কেপ	netscape
networks	নেটওয়ার্ক	networks
neumann	neumann	(proper noun) neumann
neutrino	নিউট্রিো	neutrino
nevada	নেভাদা	nevada
neverland	neverland	neverland
newcastle	নিউকাস্ল	newcastle
newspaper	সংবাদপত্র	newspaper
newton	নিউটন	newton
newtons	নিউটন	(proper noun) newton's
next	পরবর্তী	next
nga	রাশিয়া	russia
ngai	সিংহাসন	crown
ngang	অনুভূমিক	horizontal
ngao	সাড়াশিজাতীয় যন্ত্র দ্বারা বান্ধা	clam (n.)
ngay	অধিকার	even
nghe	শোনা	hear
nghinh	nghinh	welcome
nghiêm	গুরুতরভাবে	serious
nghiêng	আনত	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	ঝুপ্	crush
nghiễm	কৃপা	serious
nghiệm	অভিজ্ঞতা	experiment
nghiện	আসক্ত	addiction
nghiệp	কর্মফল	karma/ sự nghiệp=career
nghiệt	ভয়ানক	adverse
nghành	শিল্প	faculty
nghèo	দরিদ্র	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	স্বাগত	support
nghìn	হাজার	thousand
nghĩ	মনে	think
nghĩa	মানে	meaning
nghẽn	পূর্ণতা	jam
nghếch	অট্ট	stupid
nghề	পেশা	career
nghệquận	শিল্প	art district
nghỉ	অবকাশ	relaxation
nghị	সুপারিশ	think
ngo	সুস্বাদু	ngo
ngoan	ভাল ছেলে	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	সুস্বাদু	delicious
ngoài	আউট	outside of
ngoại	বিদেশী	external
ngoạn	উত্তেজনাপূর্ণ	spectacular
ngoặc	প্রথম বন্ধনী	bracket
ngoặt	চালু	landmark
ngu	ঘুম	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	গুয়েন	nguyen
nguyên	মূল	reason
nguyền	অভিশাপ	curse
nguyện	ব্রত	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	চাঁদ	moon
nguôi	প্রশান্ত ভাব	fade away
nguồn	উৎস	source
nguời	সম্প্রদায়	people
nguỵ	নির্বোধের	camouflage
ngà	হাতির দাঁত	russian
ngàn	হাজার	thousand
ngàng	ngang	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	শাখা	sector
ngào	মিষ্টি	sweet
ngày	দিন	day
ngách	কুলুঙ্গি	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	মূঢ়	chinese ethnic group living in the vietnamese highlands near the china border
ngán	উদাস	to be tired of
ngáng	ngang	stop
ngát	মূচ্র্ছা	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	ব্যাংক	money
ngây	ফাঁকা	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai থেকে	ngai
ngò	cilantro	coriander
ngó	বর্ণন	to look (v.)
ngói	টালি	tile or shingle
ngón	আঙ্গুল	a finger (n.)
ngót	সঙ্কোচন	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	ভাষা	manifesto
ngông	হংসী	eccentric
ngõ	গলি	lane
ngùi	গন্ধ	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	কুঠরি	prevent
ngũ	ঘুম	rank
ngơ	উপেক্ষিত	ignored (adj.)
ngơi	বিশ্রাম	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	জেলে	fishermen
ngưng	স্টপ	stop
ngưu	বলদ	buffalo
ngươi	আপনি	an ancient form of address equivalent to thou or thee (n.)
người	সম্প্রদায়	people
ngưỡng	গোবরাট	religious
ngược	বিপরীত	opposite
ngạc	বিস্মিত	surprise
ngạch	মর্যাদাক্রম	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	ব্যাংক	bank
ngạnh	barbs	self-willed
ngạo	আত্মাভিমানী	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	শ্বাসরোধের ফলে সৃষ্ট সমস্যা	stuffy
ngấm	চারিত	draw
ngất	অজ্ঞান হয়ে	unconscious
ngầm	অন্তর্নিহিত	underground
ngần	দ্বিধা করা	hesitate
ngẩn	বলিহারি	froze
ngẫm	চিন্তা করা	think
ngẫu	এলোমেলো	ngẫu nhiên= random
ngậm	lozenges	keep
ngập	প্লাবিত	flood
ngắm	ভাবা	to contemplate or look admiringly at something (v.)
ngắn	সংক্ষিপ্ত	short
ngặt	আঁট	strict
ngọ	দুপুর	horse
ngọc	মণি	pearl
ngọn	শীর্ষ	top
ngọt	মিষ্টি	sweet (adj.)
ngồi	বসা	sit
ngộ	জ্ঞানদান	ngo
ngột	হঠাৎ	sudden
ngớ	নিরীহ	silly
ngời	সম্প্রদায়	bright
ngỡ	চিন্তার	surprised
ngợi	প্রশংসা	praise
ngợm	দুষ্টু	naughty
ngục	কারাগার	dungeon
ngụm	চুমুক	sip
ngụy	ওয়েই	puppet
ngủ	ঘুমাতে	sleep
ngủi	সংক্ষিপ্ত	"(should be ""ngắn ngủi"") short-lived"
ngứa	নিশ্পিশ	itchy
ngừ	টুনা	tuna
ngừa	প্রতিরোধ	prevent
ngừng	বন্ধ	to cease (v.)
ngửa	মুখোমুখি	supine
ngửi	গন্ধ	to smell
ngữ	বক্তৃতা	term
ngự	বাস করা	defend
ngựa	ঘোড়া	horse
ngực	বুক	chest
nha	দাঁতের	dental
nhakẻ	ছাগলছানা	nha-ke
nham	লাভা	"(actual term is ""dung nham"") lava"
nhan	nhan থেকে	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	ধূপ	incense
nhanh	দ্রুত	fast
nhat	nhat	nhat
nhen	rekindled	rekindle
nhi	শিশু	junior
nhiên	পথ	tuy nhiên= however
nhiêu	অনেক	how many
nhiều	অনেক	numerous
nhiễm	সংক্রামিত	infect
nhiễu	গোলমাল	noise
nhiệm	দায়িত্ব	task
nhiệt	তাপ	heat
nhk	এনএইচকে	nhk
nhs	এনএইচএস	nhs
nhu	মত	demand
nhuận	মুনাফা	leap year
nhuệ	nhue	elite
nhuộm	ছোপানো	dye
nhàn	অলস	leisure
nhàng	আস্তে	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	পিষা	to fall headlong
nhác	কমানো	coward
nhái	ক্লোনস	illegal copy
nhánh	শাখা	branch
nháp	খসড়া	draft
nháy	স্মৃতিচারণায়	to flash or blink (v.)
nhâm	ডুব	leap
nhã	সুস্বাদু	"(term should be ""thanh nhã"") elegant"
nhãn	লেবেল	"(term should be ""gán nhãn"") to affix a label"
nhét	করা	put
nhì	দ্বিতীয়	second (adj.)
nhìn	বর্ণন	to look (v.)
nhí	অনর্থক কথা বলা	children
nhím	অসামাজিক ব্যক্তি	porcupine
nhòm	বর্ণন	to peep (v.)
nhóc	ছাগলছানা	brat
nhóm	গ্রুপ	group (n.)
nhô	protruding	emerge
nhôm	অ্যালুমিনিয়াম	aluminum (n.)
nhúng	চোবান	embed
nhút	লাজুক	shy
nhăn	কুঞ্চিত	wrinkle
nhĩ	atrial	turkey
nhũ	দুগ্ধবৎ নির্যাসবিশেষ	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	দুর্নীতি	bribery
nhơn	সংখ্যাবৃদ্ধি	nhon
như	যেমন	like
nhưng	কিন্তু	but
nhương	মুখের লালা	(proper noun) vietnamese first name
nhường	পথ দিয়েছি	yield
nhưỡng	চর্বিযুক্ত	soil
nhược	দুর্বলতা	weak
nhượng	ছাড়	concession
nhạ	nha	nha
nhạc	সঙ্গীত	music
nhạn	গেলা	bird
nhạo	বিদ্রূপকারী	ridicule
nhạt	ফ্যাকাশে	light
nhạy	সংবেদনশীল	sensitive
nhảy	নাচতে	jump
nhấc	উত্তোলন	lift
nhấm	চুমুক	rodent
nhấn	টিপে	to press (v.)
nhất	সেরা	most
nhầm	ভুল	misunderstand
nhầy	কর্দমাক্ত	glutinous
nhẫn	রিং	patient
nhậm	stamped	inaugurate
nhập	আমদানি	penetrate
nhậu	মদ্যপান	drink
nhậy	সংবেদনশীল	sensitive
nhắc	শীঘ্র	to remind (v.)
nhắm	লক্ষ্য	aim
nhắn	বার্তা	message
nhằm	লক্ষ্য	for the purpose of (adv.)
nhẵn	মসৃণ	smooth
nhặt	বাছাই	pickup
nhẹ	আলো	light
nhẹn	কর্মতত্পর	nhanh nhẹn= fast/nimble
nhị	পুংকেশর	sensitive
nhịn	বিরত থাকা	fasting
nhọ	হতভাগ্য	smear
nhọn	তীব্র	sharp (adj.)
nhỏ	ছোট	small
nhỏ|cây	ছোট | গাছ	small|tree
nhỏ|một	ছোট | এক	small | one
nhỏ|phải|	ছোট | ডান |	small|right
nhỏ|phải|px|	ছোট | ডান | px |	small | have | px |
nhỏ|phải|px|bức	ছোট | ডান | পিক্স | ছবিগুলি	grape / fade / px / buc
nhỏ|phải|px|cây	ছোট | ডান | px | গাছ	px spicy grape fade
nhỏ|phải|px|khu	ছোট | ডান | পিক্স | জোন	small|right|px|area
nhỏ|phải|px|michael	ছোট | ডান | px | মাইকেল	small|right|px|michael
nhỏ|phải|px|máy	ছোট | ডান | px | মেশিন	small | right|px|machine
nhỏ|phải|px|một	ছোট | ডান | পিক্স | এক	small|right|px|one
nhỏ|phải|px|quân	ছোট | ডান | পিক্স | জোর	small|right|px|army
nhỏ|px|	ছোট | px |	small
nhỏ|px|các	ছোট | পিক্স | দ	small
nhỏ|px|phải|kiến	ছোট | পিক্স | ডান | পিপীলিকা	small | px | right | patience
nhỏ|quân	ছোট | জোর	small|army
nhỏ|trái|px|máy	ছোট | বাম | পিক্স | মেশিন	small|left|px|plane
nhỏ|tượng	ছোট ছোট মূর্তি	small|statue
nhốt	আবদ্ধ	confine
nhồi	স্টাফ করা	cram
nhổ	সাহস	uproot
nhộn	অত্যধিক হাসিখুশি	busy
nhớ	মন	remember
nhớt	সান্দ্রতা	viscid
nhờ	ধন্যবাদ	by
nhờn	চর্বিযুক্ত	multiplication
nhở	মনে করিয়ে	remind
nhụ	চিমটি কাটা	nhu
nhục	অবনমিত	shame
nhủ	অনুস্মারক	needs
nhức	ব্যাথা	pain
nhứt	প্রথম	first (n.)
nhừ	আবেগপ্রবণ	tender
những	এইগুলো	the
nhựa	প্লাস্টিক	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	এন	nun
nia	এনআইএ	a flat basket (n.)
nicaea	নিসিয়া	nicaea
nicaragua	নিক্যার্যাগিউআদেশ	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	নিকোলাস	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	নাইজিরিয়াদেশ	nigeria
nikel	nikel	nickel
niken	নিকেল করা	nickel
nikita	নিকিতা	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	শূন্য	nile
nile	নীল নদের	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	নিরাপত্তা	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	নিপ্পন	nippon
nitơ	নাইট্রোজেন	nitrogen (n.)
nixon	নিক্সন	(proper noun) nixon, as in former president richard nixon
niên	বছর	youth
niết	niet	nirvana
niềm	পরিতোষ	trust
niệm	একাগ্র	concept
niệu	মূত্রবর্ধক ঔষধ	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	নূহ	(proper noun) noah
nobel	নোবেল	nobel
nobita	nobita	nobita
noel	ক্রিস্ট্মাস	(proper noun) noel
noi	বলে	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	তরুণ	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	নরফোক	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	নর্মান	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	নরওয়ে	norway
nou	ন্যু	nou
novak	নোভাক	novak
now	এখন	now
nowc	nowc	nowc
noãn	ডিম্বক	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	নুবিয়ার	nubia
number	সংখ্যা	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	ভোজন	feed
nuối	গেলা	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	গেলা	to swallow (v.)
nuớc	পানি	water
nxb	nxb	publisher
nynorsk	নিনর্স্ক	nynorsk
nà	na	na
nài	জোরাজুরি করা	pleading
nàn	অভিযোগ	poor
nành	সয়া সস	soy
nào	চলে আসো	would
này	এই	this
ná	ná	a crossbow (n.)
nách	বগল	underarm (n.)
náo	উচ্চ চিত্কারপূর্ণ	riot
nát	চূর্ণ	ruin
náu	আড়াল	hide
nâng	চড়ান	raise
nâu	বাদামী	brown
nã	na	to track down (v.)
não	মস্তিষ্ক	brain
né	ছল	dodge
ném	নিক্ষেপ	to throw (v.)
nén	সংকুচিত	compress
nét	স্ট্রোক	feature
nê	নে	ne
nên	পিলসুজ	should or ought to
nêu	বলা	mention
nòi	জাতি	race
nòng	barreled	barrel
nói	বলতে	to say or speak (v.)
nón	টুপি	cone
nóng	গরম	hot
nô	ক্রীতদাস	slave
nôbita	tobita	nobita
nôi	ডাবা	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	বমি	vomit
nông	অগভীর	farmer
nõn	পিলিং	peeled
nùng	nung	nung
núm	শক্ত গাঁট	nipple
núp	আড়াল	hide
nút	গিঁট	button
năm	বছর	year
năn	অনুতপ্ত	"(term should be ""ăn năn"") remorse (n.)"
năng	ক্ষমতা	"(term should be ""khả năng"") ability (n.)"
nơi	জায়গা	a place
nơtrino	neutino	neutrino
nước	দেশ	country
nước 	দেশ	water
nướng	ভাজা	grill
nǎm	nǎm	year
nạ	মাস্ক	mask
nạc	রোগা	lean (adj.)
nại	নালিশ করা	complain
nạn	মর্মপীড়া	a disaster (n.)
nạo	curettage	to scrape (v.)
nạp	লোড	tribute
nản	নিরূত্সাহ	depressed
nảy	প্রাণচঞ্চল	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	হিক্কা	a hiccup (n.)
nấp	আড়াল	hide
nấu	রাঁধুনি	cook
nấy	এই	this
nần	ঠেলা দেওয়া	debt
nầy	এই	this
nẩy	প্রাণচঞ্চল	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n সূর্য	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	ভিয়েতনামে	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	গরম	busy
nắm	রাখা	to grasp or hold (v.)
nắng	হাসিখুশি	sunlight
nắp	ঢাকনা	a lid or cover (n.)
nằm	মিথ্যা	to lie (v.)
nẵng	নং	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	বেনামে	heavy
nặn	চাপ	mould
nặng	ভারী	heavy
nẻo	অন্য	turn
nếm	স্বাদ	taste
nến	বাতি	candle
nếp	আঠাল	sticky rice (n.)
nếu	যদি	if (adv.)
nề	রাজমিস্ত্রির কাজ	severe
nể	সম্মান	respect
nện	নিষ্পেষণ	ram
nỉ	অনুভূত	beg
nịnh	সমতল	flatter
nọ	অন্যটি	the other
nọc	বিষ	tadpole
nỏ	ক্রুস	a crossbow (n.)
nối	সংযুক্ত	connection
nốt	বিঃদ্রঃ	to finish off (v.)
nồi	পাত্র	pot
nồm	ঘাড়	humid (adj.)
nồng	গরম	heavy
nổ	বিস্ফোরক	explode
nổi	নির্দলীয়	nổi tiếng= famous
nỗ	প্রচেষ্টা	affort
nỗi	যে	state
nộ	ক্রোধ	anger
nội	অভ্যন্তরীণ	on the paternal side (adj.)
nộn	ঠাসাঠাসি	non
nộp	দায়ের	submit
nới	আলগা হওয়া পর্যন্ত	ease
nở	প্রস্ফুটিত	bloom
nỡ	হৃদয়গত আবেগাদিসম্পন্ন	do you have a heart to
nợ	ঋণী	debt
nụy	পুষ্পের গর্ভকেশর	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	কর্ক	a kind of bamboo (n.)
nứt	কর্কশ	to crack
nửa	অর্ধেক	haft
nữa	আবার	moreover
oahu	ওয়াহুর	(proper noun) oahu
oai	ভয়	heroic
oakland	অকল্যান্ড	oakland
oan	অবিচার	injustice
oanh	oanh	(with word liet) glorious
obama	ওবামা	obama
oblast	oblast &#39;	(proper noun) oblast, as in tomsk oblast
oc	ওসি	oc
october	অক্টোবর	(proper noun) october
oda	ও দা	oda
oder	oder	oder
odyssey	ওডিসি	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	অফিসার	officer
officers	কর্মকর্তা	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	অলিভার	oliver
olivier	অলিভিয়ের	olivier
olympus	স্বর্গ	olympus
om	অল্প আঁচে রান্না করা	to simmer
omar	ওমর	a name
ong	মৌমাছি	bee
ontario	অন্টারিও	ontario
oort	ওর্ট	oort
oprah	অপরাহ	(proper noun) oprah, as in oprah winfrey
organ	অঙ্গ	organ
oricon	oricon	oricon
origin	উত্স	origin
orion	কালপুরুষ	(proper noun) orion, the hunter
orleans	অর্লিন্স	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	অপারেটিং সিস্টেম	os
osaka	ওসাকা	(proper noun) osaka, a city in japan
osama	ওসামা	(proper noun) osama, as in osama bin laden
osamu	ওসামু	(proper noun) osamu, a japanese first name
oscar	অস্কার	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	অস্কার	a name
oslo	ত্তস্লো	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ওসেটিয়া	(proper noun) ossetia
oswald	oswald	oswald
other	অন্যান্য	other
otto	আতর	(proper noun) otto, as in otto von bismarck
ottoman	আসনবিশেষ	(proper noun) ottoman, as in the ottoman empire
outstanding	অনিষ্পন্ন	xuat sac
owen	ওয়েন	(proper noun) owen, as in michael owen
oxford	অক্সফোর্ড	oxford
oxy	অক্সিজেন	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	বিরক্তিভাব	"(term should be ""oán than"") to complain or whine"
oát	ওয়াট	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	প্যাজেট	(proper noun) paget
pailin	pailin	pailin
pakistan	পাকিস্তান	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	প্যালেস্টাইন	a name
palgrave	palgrave	palgrave
pali	পালি	a name
pamir	পামির-মাল-ভূমি	pamir
pan	চাটু	pan, as in peter pan
panama	পানামা	panama
panamax	panamax	(proper noun) panamax
panduranga	পান্ডুরঙ্গ	(proper noun) panduranga
panthera	প্যানথেরা	(proper noun) panthera, a genus of felines
panthéon	প্যানথীয়ন	a name
paolo	paolo	paolo
paperback	মলাটত্তয়ালা বই	paperback
papua	পাপুয়া	papua
paraguay	প্যারাগুয়ে	(proper noun) paraguay
pari	pari	pari
park	পার্ক	park
parton	parton	parton
patel	প্যাটেলের	(proper noun) patel
patrick	প্যাট্রিক	patrick
patriot	দেশপ্রেমিক	patriot
paul	পল	paul
paula	পলা	paula
paulo	পাওলো	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	পিডিএফ	pdf
pedro	পেড্রো	pedro
peers	সহকর্মীরা	peers
pele	পেলের	(proper noun) pele, as in the soccer player
penang	পেনাং	penang
penh	পেন	(proper noun) penh, as in phnom penh
pennsylvania	পেনসিলভানিয়া	pennsylvania
penny	পেনি	(proper noun) penny, an english first name
pereira	পেরেইরা	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	পেরি	(proper noun) perry, as in elizabeth perry
persephone	পারসিফোনি	presephone
pershing	pershing	pershing
persian	পারসিক	persian
peru	পেরু	peru, as in the south american country
peters	পিটার্স	peter's, possessive of peter
petersburg	পিটার্সবার্গে	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	মিশ্র	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	ব্রেক	expose
phao	ভাসা	float
phaolô	পল	st. paul, the apostle
pharaoh	ফেরাউন	pharaoh
pharaon	pharaon	pharaoh
phay	কল	mill
phe	দলাদলি	faction
phen	phen	time
phil	ফিল	(proper noun) phil, a first name
philip	ফিলিপ	philip
philippe	ফিলিপ	philippe
philippines	ফিলিপাইন	(proper noun) philippines
phillip	ফিলিপ	(proper noun) phillip
phillips	ফিলিপস	philips
philosophiae	ফিলোসফিয়া	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	সিনেমা	phim
phin	ছাঁকনি	coffee filter
phineas	পীনহস	(proper noun) phineas
phiên	সেশন	trial
phiêu	দু: সাহসিক কাজ	adventurous
phiếm	পরচর্চা	gossip
phiến	ব্লেড	"(should be ""nha phiến"") opium"
phiện	আফিম	opium
phiệt	phiet	militarism
phnom	নম	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	রূপকথার পক্ষি বিশেষ	(proper noun) phoenix
phong	ঘর	movement
php	পিএইচপি	php
phrygian	ফ্রিজিআর লোক	phrygian
phu	ফু	"(term should be ""phu nhân"") wife (n.)"
phui	উন্মোচিত	expose
phun	স্প্রে	to spray or spit (v.)
phà	খেয়া	ferry
phàm	নশ্বর	superhuman
phàn	নালিশ করা	complain
phá	ভঙ্গ	destroy
phác	স্কেচ	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	বীট	manner (n.)
phái	উপদল	a party
phán	বিচারক	judge
pháo	কামান	artillery
pháp	ফ্রান্স	method
phát	ব্রডকাস্ট	develop
phèn	ফটকিরি	alum
phèo	phèo	organs
phép	অনুমতি	permit
phê	তুঙ্গে ওঠা	"(term should be ""phê bình"") to criticize (v.)"
phêrô	পিটার	peter
phì	বৃহদাকার	non-
phình	স্ফীতি	bulge
phí	চার্জ	non-
phía	পাশ	side
phích	থার্ম্ফ্ল্যাস্ক্	a flask (n.)
phím	চাবি	key
phò	pho	"(term should be ""phò mã"") a prince consort"
phòng	ঘর	office
phó	সহকারী	second
phóng	শুরু করা	to launch (v.)
phô	শহর	display
phôi	ভ্রূণ	embryo
phông	ফন্ট	font
phùng	বহান	phung
phúc	আশীর্বাদ	good fortune (n.)
phúclộc	বর	phuc-loc
phún	পশ্চাদ্দেশ	"(term should be ""lún phún"") sparse (adj.)"
phúng	কৃপা	satire
phút	মিনিট	a minute (n.)
phăn	জ্বালাতন	phan
phăng	phang	knock
phương	phuong	direction
phước	বর	luck
phường	পাটক	ward
phượng	রূপকথার পক্ষি বিশেষ	phoenix
phạn	সংস্কৃত	sanskrit
phạt	শাস্তি	punish
phả	বংশতালিকা	pedigree
phải	অধিকার	must
phải 	অধিকার	right
phản	বিপরীত	reaction
phảng	সমান	subtle
phần	অংশ	part
phẩm	পণ্য	food
phẩy	কমা	a comma
phẫn	অত্যুগ্র	wrathful
phẫu	সার্জারি	surgery
phận	ভাগ্য	part
phật	বুদ্ধ	buddhist
phẳng	সমতল	flat (adj.)
phế	স্ক্র্যাপ	dismiss
phết	ছড়িয়ে পড়া	to spread or smear (v.)
phỉ	বৃক্ষবিশেষ	defame
phỏng	পোড়া	interview
phố	শহর	city
phối	তুল্য	coordinate
phốt	ফসফেট	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	স্ফীত	to swell (v.)
phổ	বর্ণালী	popular
phổi	ফুসফুস	lung
phộng	চিনাবাদাম	peanut
phới	ভাসা	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	নুডল স্যুপ	pho
phục	পোশাক	convincing
phụng	পরিবেশন করা	worship
phụt	বহান	minute
phủ	আবৃত	government
phức	জটিল	complex
picchu	পিচ্চু	a name
piccolo	পিকলু	piccolo
pierre	pierre	pierre
pierrot	ঢিলা আলখিল্লা-পরিহিত শ্বেতমুখ ভাঁড়বিশেষ	pierrot
pietro	pietro	pietro
pike	পাইক	pike
pin	ব্যাটারি টা	battery
pinlus	pinlus	pinlus
pioneer	অগ্রগামী	pioneer
pipes	পাইপ	pipes
pisa	পিসা	a name
piston	পিস্টন	piston
pitch	পিচ	pitch
pius	পায়াস	pius
plaaf	plaaf	plaaf
plan	পরিকল্পনা	plan
plasma	রক্তরস	plasma
plate	প্লেট	plate
plato	plato	plato
platon	platon	platon
player	খেলোয়াড়	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	যোগ	plus
pluto	গ্রহবিশেষ	pluto
pm	অপরাহ্ন	pm
pmu	পিএমইউ	pmu
po	po	po
pokémon	পোকেমন	pokemon
pol	pol	pol
poland	পোল্যান্ড	poland
pollack	pollack	a name
pollux	মিথুনরাশিস্থ তারাবিশেষ	a name
polo	পোলো	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	পপ	pop
portland	পোর্টল্যান্ড	portland
porto	পোর্তো	porto
pot	পাত্র	pot
potsdam	potsdam	(proper noun) potsdam
potter	কুলাল	(proper noun) potter, as in harry potter
pour	ঢালা	not vietnamese
powell	পাওয়েল	(proper noun) powell, as in general colin powell
pradesh	প্রদেশ	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	প্রধান	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	রাজপুত্র	prince
princeton	প্রিন্সটন	princeton
printemps	printemps	printemps
printf	printf,	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	প্রিক্স	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
