$ tỉ	milyar dolar	$ billion
họng	boğaz	throat
họp	toplantılar	meet
hỏa	yangın	fire
hỏng	başarısız	corruption
hố	çukur	hole
hốc	nişler	cavity
hồ	göl	ho
hồi	zaman	muslim
hồn	ruh	soul
hổ	kaplan	tiger
hổi	hoi	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	şaşkın	hole
hỗ	destek	"(should be ""hỗ trợ"") to support or assist"
hỗn	karışık	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	montaj	society
hộp	kutu	box
hới	hoi	hoi
hớn	hon	"(term should be ""hớn hở"") radiant (adj.)"
hờn	hon	hatred
hở	açık	reveal
hỡi	ey	dear
hợi	basma	pig (n.)
hợp	dava	appropriate
hợpquận	hopquan	general district
hụt	açık	loss
hủi	cüzam	reject
hủy	iptal	to erase or destroy
hứa	söz	promise
hử	kenar	hu
hửu	sahiplik	"(term should be ""sở hửu"") to own (v.)"
hữu	özellik	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	i̇aü	iau
iberia	i̇berya	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	i̇zlanda	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	yanılsama	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	darbe	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	hint	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	endonezya	indonesia
indrapura	indrapura	(proper noun) indrapura
info	bilgi	info
innsbruck	innsbruck	innsbruck
insulin	ensülin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	iyonlar	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	i̇ran	the nation of iran
iraq	irak	iraq
ireland	i̇rlanda	ireland
irgun	irgun	irgun
irony	alay	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	i̇slamiyet	islam
islamabad	islamabad	(proper noun) islamabad
israeli	i̇srailli	israeli
istanbul	i̇stanbul	istabbul
italia	italya	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukuşima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	kriko	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	ocak	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japonya	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasper	(proper noun) jasper
jean	kot	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	kot	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	dişi hayvan	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	jarse	jersey
jerusalem	kudüs	jerusalem
jesse	jesse	a name
jesus	i̇sa	chua jesus
jetstar	jetstar	jetstar
jewish	kla	jewish
jiao	jiao	jiao
jimmy	levye	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	müşterek	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	jules verne	jules verne
julliard	julliard	(proper noun) julliard
jump	atlar	jump
june	haziran	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jüpiter	(proper noun) jupiter, as in the planet
jura	hukuklar	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	lipplois	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalaşnikof	(proper noun) kalashnikov
kali	potasyum	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	keşmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	katmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	iz	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	dondurma	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	beyan	announce
khali	khali	(proper noun) khali
khalip	halife	(proper noun) khalip
kham	kham	endure
khan	susuz	rare
khang	durum	khang
khanh	sekreter	khanh
khao	khao	desire
khay	tepsi	tray
khe	yuvaları	chink
khem	khem	abstinence
khen	hak	praise
kheo	kazıklarda	kheo
khi	en	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	tevazu	khiem
khiên	kalkan	a shield
khiêu	cinsel	"('khiêu dâm"") pornographic"
khiếm	panjur	lack
khiến	yapma	control
khiếp	terör	horrible
khiếu	şikayetler	talent (n.)
khiển	kontrol	control
khleang	khleang	kh'leang
kho	depo	warehouse
khoa	fakülte	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	delik	drill
khoang	boşluk	brag
khoanh	çalmak	a slice (n.)
khoe	gösteriş yapmak	to boast
khoá	kurs	lock
khoác	ceketler	coat
khoán	stok	stock
khoáng	maden	mineral
khoát	kararlı	decisive
khoét	delmek	carve
khoăn	merak	disturbed
khoả	khoa	naked
khoản	fıkra	an item (n.)
khoảng	uzay	about
khoảnh	anlar	moment
khoẻ	sağlık	health
khrushchev	kruşçev	khrushchev
khrushchyov	kruşçev	khrushchyov
khu	bölge	section
khung	çerçeve	frame
khural	khural	khural
khuynh	eğimli	trend
khuyên	tavsiye	advise
khuyết	ulaşılabilir	lack
khuyển	köpek	khuyen
khuất	gizleyebilir	hidden
khuấy	karıştırma	stir
khuẩn	bakteri	bacteria
khuếch	promosyon	amplification
khuỷu	dirsek	elbow
khá	daha doğrusu	quite
khác	diğer	different
khách	konuk	customer
khái	genel bakış	concept
khám	sınav	discover
khán	seyirci	audience
kháng	direnç	appeal
khánh	göreve başladı	a type of chime made of stone (n.)
khát	susuz	to be thirsty for (adj.)
khâm	hayranlık	admire
khèn	khen	a pan-pipe (n.)
khéo	becerikli	cleverly or skillfully (adv.)
khép	kapalı	close
khía	saygılar	"(term should be ""khía cạnh"") angle (n.)"
khích	teselli	encourage
khít	yakın	close
khó	zor	difficulty
khóa	kilit	a session
khóc	ağlamak	cry
khói	duman	smoke
khóm	ananas	a cluster
khô	kuru	dry
khôn	bilge	clever, intelligent
không	değil	not
khúc	şarkı	song
khăm	eşek şakası	nasty (adj.)
khăn	havlu	difficult
khơi	sahil	sea
khư	sıvazlama	grip
khưu	khưu	khuu
khước	feragat	waive
khả	kullanılabilirlik	"(term should be ""khả năng"") ability (n.)"
khải	ortaya	triumph
khảm	mozaik	to encrust
khảo	referanslar	"(term should be ""tham khảo"") to consult (v.)"
khấm	zenginleşti	endure
khấn	yemin	pray
khấu	dramatik	"(term should be ""sân khấu"") a stage (n.)"
khẩn	acil durum	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	gravür	moment
khắp	her yerde	all over
khẳng	onaylı	"(term should be ""khẳng định"") to assert (v.)"
khế	yıldız meyvesi	bond
khỉ	maymun	monkey or ape (n.)
khỏa	teşhircilik	nude
khỏe	sağlık	health
khỏi	dışında	leave
khố	hazine	loincloths
khốc	şiddetle	devastating
khối	birim	a block or mass of (n.)
khốn	vah	miserable
khống	boş	control
khổ	acı	miserable (adj.)
khổng	dev	huge
khởi	başlatmak	start
khủng	kriz	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	dirsek	elbow
khứu	koklama	olfactory
khử	elemek	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	diğer	other
kid	çocuk	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometre	kilometer
kim	kim	kim
kingdom	krallık	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	öpücük	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	hristiyan	christian
kiêm	boşalmak	cum
kiên	firma	consistent
kiêng	kaçınma	abstinence, as in abstaining from eating
kiêu	mağrur	showy
kiếp	ömür	a lifetime (n.)
kiết	pranga	cheap (adj.)
kiềm	alkali	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	teftiş	control
kiểu	tip	type
kiệm	kaydet	save
kiện	olaylar	event (su kien)
kiệt	şaheser	exhausted (adv.)
kiệu	palankeen	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	kuran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosova	(proper noun) kosovo
kremli	kremlin	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	rus çiftlik sahibi	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	resimler	kunst, as in richard kunst
kurd	kürtler	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuveyt	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kırgızistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyushu	kyushu, a japanese island
kèm	birlikte	included
kèn	trompet	horn
kém	en az	less
kén	koza	selective
kéo	çekme	scissors
kép	ikili	dual
két	kasalar	"(term should be ""rốc két"") rocket (n.)"
kê	istatistik	statistics
kênh	kanallar	channel
kêu	ağlamak	appeal
kìa	hani	that
kìm	kerpeten	bar
kình	balina	rivalry
kí	kayıt	sign
kích	yangın	excite
kíchbom	kichbom	bombers
kín	gizli	secretive or closed tight (adj.)
kính	gözlük	respect
kíp	uyuklama	esoterica
kít	screeched	wheelbarrow
ký	işaret	"(""nhật ký"") a diary"
kĩ	dikkatlice	technique
kơnia	konya	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	şeker	candy
kẹp	maşa	to clamp down (v.)
kẹt	tuzağa	jam
kẻ	kim	guy
kẻo	olmaya ki	lest
kẽ	yarık	crevice
kẽm	çinko	zinc
kế	dizayn	a scheme (n.)
kết	bağlantı	combine
kề	yakınlık	adjacent
kềnh	hantal	bulky
kệ	raflar	ignore
kỉ	yüzyıl	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	süvari	ki
kịp	zamanında	kip
kỵ	süvari	taboo
kỷ	inci	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etiket	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	melez	"(term should be ""tương lai"") the future (n.)"
lam	dayak atmak	lam
lama	lama	a name
lan	yayılma	a name
land	arazi	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	keten	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	lao	labor
laos	laos	(proper noun) laos
lap	kucak	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lazer	laser
lateran	lateran	lateran
latinh	latince	latin
latvia	letonya	(proper noun) latvia
lau	silme	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	sallama	lay
lazarus	lazarus	(proper noun) lazarus
leach	leach	(proper noun) leach
leaf	yaprak	leaf
leave	bırakın	leave
lebanon	lübnan	(proper noun) lebanon
lee	rüzgâraltı	lee
legacy	miras	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	leninler	lenin's
leo	tırmanmak	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	sol paneli	film festival
lhq	bm	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libya	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	yıldırım	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	esneklik	efficacious (adj.)
links	link:	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lizbon	lisboa
lisbon	lizbon	a name
litva	litvanya	(proper noun) lithuania
liu	liu	liu
liêm	bütünlük	good example
liên	girişim	relate
liêng	ayırt	sacred
liêu	bürokrasi	bureaucracy
liềm	orak	sickle
liều	doz	daring
liễu	söğüt	a willow tree (n.)
liệng	attı	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	felç	impotent
liệu	olup olmadığını	document
lleyton	lleyton	lleyton
lo	endişe	to worry (v.)
loa	konuşmacı	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	dalgalanan	patchy
loch	göl	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	günlük	log
logan	logan	a name
lon	kutu	lon
london	londra	london
long	ejderha	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	panjurlu pencere	(proper noun) louvre
love	aşk	yeu
loài	tür	species
loát	akıcı	overturn
loãng	sulandırılmış	wishy-washy
loét	ülserler	gaping, as in a wound
loại	tür	type
loạianh	loaianh	not a word
loạianime	anime yazın	type anime
loạibệnh	hastalık türü	disease
loạichiến	loaichien	loaichien
loạicác	loaicac	item
loạicâu	loaicau	type: club
loạicông	loaicong	type: industry
loạicựu	loaicuu	kind former
loạigia	loaigia	loaigia
loạihuân	loaihuan	not a word
loạiluật	hukuk türü	type: law
loạimáy	makine tipi	kind plane
loạimôn	loaimon	type
loạingày	bunu yaz	loaingay
loạiphim	film türü	type movie
loạiphong	loaiphong	kind of movement
loạiscandal	loaiscandal	scandal type
loạithuật	hukuk türü	type: lexicon
loạithành	loaithanh	kinds of payment
loạithần	loaithan	kind myth
loạitrường	okul türü	type of school
loạitín	loaitin	type: belief
loạitổ	loaito	kind organization
loạivõ	bir çeşit	type: martial art
loạixã	loaixa	kind of society
loạn	düzensizlik	disorderly
loạt	dizi	series
lp	yip	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	geri çekilme	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	akciğer	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	lüksemburg	a name
luy	şev	luy
luyến	legato	love
luyện	tren	training
luận	yorumlar	"(term should be ""xã luận"") an editorial"
luật	yasa	law
luồn	dişli	wriggle
luồng	akım	lane
luộc	haşlanmış	boiled
luỹ	kazanma	rampart (n.)
ly	cam	divorce
lydia	lidya	lydia
lympho	lenfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	oldu	the verb to be
làm	do	make
làn	şerit	wave
làng	köy	village
lành	sağlıklı	protestant
lào	laos	laos
lá	yaprak	"(term should be ""lá thư"") a letter (n.)"
lác	şaşılık	brag
lách	dalak	to swerve (v.)
lái	sürüş	to drive (v.)
lán	kulübe	shack
láng	parlak	neighbours
lâm	ormancılık	lâm, a common vietnamese first name
lân	yakında	nearby
lâu	uzun	long time
lây	yayılma	to infect
lãi	faiz	a profit
lãm	gösterileri	exhibition
lãnh	almak	to receive
lão	yaşlanma	old
lèo	aslan burcu	"(term should be ""nước lèo"") broth (n.)"
lén	gizlilik	sneak
lê	armut	le
lêmạc	lemac	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	yukarı	on
lênh	komutlar	"(should be ""lênh đênh"") adrift"
lênin	leninizm	lenin
lìa	müdürlü	to leave (v.)
lình	linh	suddenly
lí	iplik	reason
lính	asker	soldier
lít	litre	litre
líu	kasırga	"(term should be ""dính líu"") to have a connection with"
lò	fırın	release
lòng	kalp	heart
lóc	yılanbaş	cry
lóe	yollanan	flash
lóng	boğum	"entire term should be ""tieng long""; means ""slang"""
lót	iç çamaşırı	undies
lô	parsel	batch
lôi	vurgun	encourage
lôn	babil	"(term should be ""côn lôn"") a village in vietnam"
lông	saç	hair
lõi	çekirdek	core
lõm	içbükey	concave
lùi	geriye	back
lùn	cüce	dwarf
lùng	aşağı	hunt
lúa	çeltik	rice
lúc	zaman	at the moment
lún	çökme	subside
lúng	kaşıma	confused
lúp	büyüteç	uneven
lút	sinsi	surreptitiously
lăm	beş	tens
lăn	yuvarlanan	attack
lăng	türbe	tomb
lĩnh	lider	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	sel	a band or gang (n.)
lũng	vadi	valley
lũy	birikmiş	rampart
lơ	ihmal edilmiş	to ignore
lơi	gevşetmek	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	yakıcılar	an urn
lưng	geri	back
lươn	yılanbalığı	eel
lương	ücret	conscience
lưới	ızgara	a net (n.)
lướt	sörf	ski
lười	tembel	lazy
lưỡi	dil	tongue
lưỡng	biseksüel	"(term should be ""lưỡng tính"") bisexual"
lược	strateji	invasion
lượm	almak	pick up
lượn	planör	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	garip	strange or unusual (adj.)
lạc	iletişim	camel
lạch	dere	"(term should be ""luồng lạch"") a narrow water passageway"
lại	tekrar	reversed
lạn	çürümüş	bright
lạng	dilimlenmiş	lang
lạp	yunan	"(term should be ""hy lạp"") greek"
lạtma	lama	lama
lạy	secde	kowtow
lấn	tecavüz	to encroach on (v.)
lấp	dolgu	sparkle
lấy	almak	taken
lầm	gaf	wrong
lần	zaman	time
lầu	üst katta	a story or level of a building (n.)
lầy	sulak	swamp
lẩu	hotpot	hotpot
lẩy	katamaran	get
lẫn	ve	each other
lẫy	taklacılar	illustrious
lận	defraud	fraudulent
lật	fiske	turn
lậy	oh evet	"(term should be ""cai lậy"") the name of a rural district"
lắc	sallama	to shake (v.)
lắm	çok	do
lắng	yerleşmek	"(should be ""lo lắ́́ng"") to worry"
lắp	montaj	lap
lặng	sessiz	quiet
lặp	tekrar	repeat
lặt	fantezi	means miscellaneous, part of the word lat vat
lẹ	hızlı	quickly (adv.)
lẻ	perakende	"(the term should be ""bán lẻ"") retail"
lẻn	sinsice	sneak
lẻo	gevşek	climb
lề	kenar	alignment
lều	çadır	tent
lễ	bayram	ceremony
lệ	tüzük	"(term should be ""tỷ lệ"") probability (n.)"
lệch	sapma	difference
lệnh	komut	command
lị	li	"(term should be ""tỉnh lị"") a township (n.)"
lịch	takvim	history
lọc	filtre	tricked
lọi	parlak	brilliant
lọng	güneş şemsiyesi	rope
lọt	yakalandı	enter
lỏi	onun yolu	to enter
lỏng	sıvı	loose
lố	bak	ridiculous
lốc	kasırga	tornado
lối	tarz	way or path
lốp	lastik	tyre
lốt	claudius	lolot
lồ	colossi	giant
lồi	konveks	convex
lồng	kafes	cage
lỗ	delik	hole
lộc	loc	loc
lội	yüzmek	wade
lộn	karıştı	wrong/mistake
lộng	kıyıda	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	ayrılmak	exploit
lớn	harika	large
lớp	sınıf	grade (n.)
lờ	ihmal	turbid
lời	kâr	advice
lở	çığ	to crack
lỡ	bayan	miss
lợi	kâr	benefit
lợn	domuz	pig
lợp	çatı	roof
lụa	ipek	silk
lục	yeşil	record
lụi	yandı	ruin
lụt	sel	flood
lụy	etkileri	consequence
lứa	çöp	peer
lừa	hile	mislead
lừng	ünlü	well-known
lửng	asma kat	lơ lửng= not clear/ something in between
lự	belirsiz	reluctant
lựa	seçilmiş	chosen
lựu	nar	grenade
ma	hayalet	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	makedonya	(proper noun) macedonia
mach	mak	mach
machiavelli	makyavel	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	yağmurluk	macintosh
macma	mağma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	madhouse	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafya	mafia
magiê	magnezyum	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	yarın	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	büyük boy	mainframe
major	majör	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	malaya	malaysia
malaysia	malezya	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	taşıma	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	savunmasız	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	haritalar	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	üzüm posası	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	maric	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marsilya	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	kırlangıç	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	paspaslar	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	hızla	fast
maurice	maurice	(proper noun) maurice
mausolus	mozolus	mausolus
maxim	özdeyiş	a name
may	dikiş	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	oahbd	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	medya	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medine	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleyev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	haberci	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesih	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	mikelanj	michelangelo
michigan	michigan	a name
micro	mikrofonlar	micro
microbiology	mikrobiyoloji	microbiology
microeconomics	mikroekonomi	microeconomics
micronesia	mikronezya	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mikrofon	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milano	milan
milano	milano	milano
miley	miley	miley
mill	değirmen	mill
miller	değirmenci	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	serap	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	uyumsuzlar	misfits
mississippi	mississipi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnoz	mien
