$	usd	dollarsign
komt	nāk	is
kon	varētu	could
konden	varētu	could
kondigde	paziņoja	to convey
kong	kong	kong
konijn	trusis	rabbit
konijnen	truši	rabbits
koning	karalis	king
koningen	karaļi	kings
koningin	karaliene	queen
koninginnedag	karalienes diena	queen's day
koningschap	karaļvalsts	monarchy
koningshuis	karaliskā māja	royals
koninklijk	karaliskais	kingdom
koninklijke	karaliskais	royal
koninkrijk	karaļvalsts	kingdom
koninkrijken	karaļvalstis	kingdoms
koolstof	oglekļa	carbon
koolstofdioxide	oglekļa dioksīds	carbon dioxide
koop	pirkt	buy
kooplieden	tirgotāji	merchants
koor	koris	choir
koorts	drudzis	fever
koos	izvēlējās	chose
kop	virsraksts	head
kopen	pirkt	buy
kopenhagen	kopenhāgena	copenhagen
koper	vara	copper
kopie	kopija	copy
kopje	kauss	head
koppel	pāris	couple
koran	korāns	koran
korea	koreja	korea
koreaanse	korejiešu	korean
korporaal	kaprālis	corporal
korps	korpuss	corps
korsakov	korsakovs	korsakoff
korst	garoza	crest
kort	īss	short
korte	īss	short
korter	īsāks	shorter
kortere	īsāks	shorter
kortrijk	kortrijk	kortrijk
kortste	īsākais	before you can say knife
kortweg	īsi	shorter
kosmische	kosmisks	cosmic
kosovo	kosova	kosovo can
kost	izmaksas	costs
koste	izdevumi	cost
kosten	izmaksas	cost
kostte	izmaksas	costed
kostuums	kostīmi	costumes
koud	auksts	cold
koude	auksts	cold
kouder	aukstāks	colder
kozen	atlasīts	selected
kraakbeen	skrimslis	catrilage
kracht	spēks	power / stength
krachten	spēki	forces / powers
krachtig	spēcīgs	powerfully
krachtige	spēcīgs	powerful
kraj	kraj	kraj
krant	avīze	newspaper
kranten	avīzes	newspapers
kraters	krāteri	craters
krediet	kredīts	credit
kredietcrisis	kredītu krīze	credit crisis / debt crisis
kreeg	saņemts	got
kregen	dabūja	got
kreta	krēta	crete
krezip	kreps	krezip
krijgen	dabūt	to get
krijgsgevangenen	kara gūstekņi	prisoners of war
krijgsmacht	bruņotie spēki	military force
krijgt	izpaužas	acquire
krijt	krīts	cretaceous period
kring	aplis	circle
kringen	apļi	circles
krishna	krišna	krishna
kritiek	kritisks	criticism
kritieken	kritiķi	critiques
kritisch	kritisks	critical
kritische	kritisks	critical
kroaten	horvāti	kroatians
kroatische	horvātu	croation
kroatië	horvātija	croatia
krokodilachtigen	krokodili	crocodilians
kroon	kronis	crown
kroonprins	kroņprincis	crown prince
kruiden	garšaugi	herbs
kruipt	pārmeklē	crawls
kruis	krustu	cross
kruising	šķērsojot	crossing
kruistocht	karagājiens	crusade
kruistochten	krusta kari	crusades
kruisvaarders	krustneši	crusaders
ku	ku	ku
kubisme	kubisms	cubism
kun	var	can
kunnen	spēju	could
kunst	māksla	art
kunsten	māksla	arts
kunstenaar	mākslinieks	artist
kunstenaars	mākslinieki	artists
kunstmatig	mākslīgs	artificial
kunstmatige	mākslīgs	artificial
kunstschilder	gleznotājs	art-painter
kunstschilders	gleznotāji	painters
kunstvormen	mākslas formas	art-formes
kunstwerk	mākslas darbs	artwork
kunstwerken	mākslas darbi	works of art
kunt	var	can
kurt	kurts	kurt
kussen	noskūpstīt	to kiss
kust	piekrastē	coast
kusten	krastiem	coasts
kustgebieden	piekrastes zonas	coastal regions
kustlijn	piekrastes līnija	coastline
kuststrook	piekrastes josla	coastal region
kv	kv	kv
kwaad	nokaitināts	evil
kwade	ļaunums	angry
kwalificatie	kvalifikācija	qualification
kwaliteit	kvalitāte	kwality
kwaliteiten	īpašības	qualities
kwam	atnāca	came
kwamen	atnāca	came
kwart	ceturksnis	quarter
kwartaal	ceturksnis	quarter
kwartfinale	ceturtdaļfināls	quarter final
kwartier	piecpadsmit minūtes	quart
kweek	kultūra	culture
kweken	kultivēt	cultivate
kwestie	matērija	issue
kwesties	jautājumiem	issues
kwetsbaar	neaizsargāti	vulnerable
kwijt	pazaudēts	lost
kwik	dzīvsudrabs	mercury
köln	köln	cologne
laag	zems	abject
laagste	zemākais	lowest
laat	vēlu	late
laatst	pēdējais	last
laatste	pēdējais	last
laatstgenoemde	pēdējais	latest
label	etiķete	labelled
laboratorium	laboratorija	laboritory
laden	slodze	laden (proper noun - surname)
lading	uzlādēt	load
lady	dāma	lady
lag	gulēja	lie
lage	zems	low
lagen	slāņi	stratification
lager	zemāks	lower
lagere	zemāks	lower
lagerhuis	apakšējā māja	bearing
lake	ezers	lake
lakeman	ezernieks	lakeman
lama	lama	lama
lamas	lamas	lamas
lamp	lampu	lamp
lampen	lampas	lights
lance	lance	lance
lancering	palaišana	launch
land	valsts	country
landbouw	lauksaimniecība	farming
landbouwgrond	lauksaimniecības zeme	farmland
landbouwproducten	lauksaimniecības produkti	agricultural
landelijk	valsts mērogā	national
landelijke	lauku	rural
landen	tautas	countries
landgoed	muiža	estate
landing	nosēšanās	landing
landklimaat	kontinentālais klimats	continental climate
landmacht	armija	land forces
landschap	ainava	landscape
landschildpadden	bruņurupuči	tortoise
landsgrenzen	valstu robežas	borders
landskampioen	valsts čempions	landschampion
landsnaam	valsts nosaukums	country name
landvoogd	gubernators	governor
lane	josla	lane
lang	ilgi	long
langdurig	ilgstošs	prolonged
langdurige	ilgstošs	long-lasting
lange	ilgi	long
langere	ilgāk	longer
langkous	garās zeķes	longstocking
langs	gar	along
langste	visilgāk	longest
langzaam	lēnām	slowly
langzame	lēns	slow
langzamer	lēnāk	slower
langzamerhand	pamazām	slowly
laos	laosa	laos
larry	lerija	larry
larve	kūniņa	larvae
larven	kāpuri	larvae
las	lasīt	the
last	nasta	suffer
lastig	grūti	difficult
late	vēlu	late
laten	aizbraukt	had
later	vēlāk	later
latere	vēlāk	subsequent
latijn	latīņu valoda	latin
latijnsamerika	latīņamerika	latin amerika
latijnse	latīņu	latin
laude	laude	laude
laura	laura	laura
law	likumu	law
lawrence	likumsakarības	lawrence
le	le	le
leader	vadītājs	leader
league	līga	laegue
led	vadīja	led
leden	dalībnieki	members
leds	gaismas diodes	led's
lee	aizvēja puse	lee
leed	bēdas	suffered
leefbaar	apdzīvojams	liveable
leefde	dzīvoja	lived
leefden	dzīvoja	lived
leeft	dzīvo	lives
leeftijd	vecums	age
leeftijden	vecumu	ages
leeg	tukšs	empty
leek	likās	appeared
leem	smilšmāla	limestone
leer	mācīties	doctrine
leerde	iemācījies	learned
leerling	skolēns	pupil
leerlingen	skolēniem	students
leert	mācās	learns
leest	lasa	reads
leeuw	lauva	lion
leeuwarden	leeuwarden	leeuwarden
leeuwen	lauvas	in this case: leeuwen
left	pa kreisi	left
legaal	likumīgi	legal
legale	likumīga	legal
legde	paskaidroja	put
legden	paskaidroja	put
lege	tukšs	empty
legend	leģenda	legend
legendarische	leģendārais	legendary
legende	leģenda	legend
leger	armija	army
legers	armijas	armies
leggen	likt	lay / put / impose
legioen	leģions	legion
legioenen	leģioni	legions
legt	skaidro	applies - 1st sentence, answerable - 2nd sentence
leidde	vadīja	leads
leidden	vadīja	led to
leiden	svinu	leed to
leidende	vadošais	leading
leider	vadītājs	leader
leiders	vadītāji	leaders
leiderschap	vadība	leadership
leiding	vadība	direction
leidse	leidens	leidse
leidt	ved	leads
leipzig	leipciga	leipzig
lek	noplūde	leak
leken	nespeciālisti	seemed
lekken	noplūst	leaks
lelystad	lelystad	lelystad
lenen	aizņemties	lending
lengte	garums	length
lenin	ļeņins	lenin
lening	aizdevums	loan
leningen	aizdevumi	loans
lennon	lidoon	lennon
lente	pavasaris	spring
leo	leo	leo
leon	leons	leon - proper noun - first name
leonard	leonards	leonard
leonardo	leonardo	leonardo
leopold	leopolds	leopold
leraar	skolotājs	teacher
leraren	skolotāji	teachers
leren	mācīties	learn
les	nodarbība	lesson
letland	latvija	letland
lets	kaut kas	something
letten	pievērs uzmanību	paying attention
letter	vēstule	type
letteren	vēstules	linguistics
letterlijk	burtiski	literally
letterlijke	burtiski	literal
letters	vēstules	letters
leukemie	leikēmija	leukemia
leuven	leuven	leuven
level	līmenis	level
leven	dzīvi	life
levend	dzīvo	alive
levende	dzīvo	living
levens	dzīvo	lives
levensbeschouwing	dzīves filozofija	ideology
levensduur	mūžs	lifetime
levensjaar	dzīves gadu	year of life
levenslang	mūžs	lifelong
levenslange	mūža garumā	lifetime
levensloop	dzīves cikls	life
levensmiddelen	ēdiens	foods
levensstijl	dzīvesveids	way of living
levensverwachting	dzīves ilgums	life expectancy
levenswijze	dzīvesveids	way of life
lever	aknas	liver
leverde	piegādāts	did
leverden	piegādāts	current
leveren	piegādāt	deliver
levert	piegādēm	provides /produces
lewis	luiss	lewis
lex	lex	lex
lezen	lasīt	readable
lezing	lasīšana	reading
lhasa	lhasa	lhasa
libanon	libāna	libanon
liberaal	liberāls	liberal
liberale	liberāls	liberal
liberalen	liberāļi	liberals
liberalisme	liberālisms	liberalism
libero	libero	libero
liberty	brīvība	libery
libië	lībija	libya
library	bibliotēka	library
lichaam	ķermenis	body
lichaamsdelen	ķermeņa daļas	body parts
lichaamstemperatuur	ķermeņa temperatūra	body temperature
lichamelijk	fiziski	fysical
lichamelijke	fiziskā	fysical
lichamen	ķermeņi	bodies
licht	viegls	light
lichte	viegls	light
lichten	gaismas	lights
lichter	vieglāks	lighter
lichtere	vieglāks	lighter
lichtsnelheid	gaismas ātrums	speed of light
lid	biedrs	member
lidmaatschap	dalība	membership
lidstaten	dalībvalstis	states
liechtenstein	lihtenšteina	liechtenstein
lied	dziesma	song
liederen	dziesmas	songs
liedje	dziesma	songs
liedjes	dziesmas	songs
liefde	mīlestība	love
liefst	vēlams	sweetest
liep	gāja	went
liepen	gāja	to ran
liet	pa kreisi	let
lieten	pa kreisi	let
lieve	dārgs	sweet
liever	drīzāk	rather
life||||||||||	dzīve |||||||||||	life
lift	lifts	lift
liga	līga	league
liggen	melot	be (in a coma)
liggende	melojot	lying
ligging	atrašanās vieta	position/location
light	viegls	light
ligt	melo	lies
lijden	ciešanas	suffer
lijdt	cieš	suffers
lijk	līķis	corpse
lijken	parādās	corpses
lijkt	šķiet	seems
lijn	līnija	line
lijnen	līnijas	lines
lijst	saraksts	list
lijsten	sarakstus	mold
like	piemēram	like
likeur	liķieris	liqour
lily	lilija	lily
limburg	limburg	limburg
limburgs	limburgs	limburgish language
lincoln	lincoln	lincoln
linda	linda	linda
link	saite	link
linker	pa kreisi	left
linkin	linkin	linkin
links	pa kreisi	left
linkse	kreisais spārns	left wing
linux	linux	linux
lionel	lauva	lionel
lippen	lūpas	lips
lisa	lisa	lisa
lissabon	lisabona	lisbon
list	ruse	list
liston	liston	liston - proper noun - surname
liter	litru	litre
literaire	literāri	literary
literatuur	literatūra	literature
litouwen	lietuva	lithuania
little	maz	little
liturgie	liturģija	liturgy
liturgische	liturģiskā	liturgical
livealbum	dzīvs albums	live album
liverpool	liverpūle	liverpool
live||||||||||	tiešraide |||||||||||	live
lloyd	lloyd	lloyd
locatie	atrašanās vieta	location
locaties	atrašanās vietas	locations
locke	locke	locke
lockheed	lockheed	lockheed
lodewijk	lodewijk	ludwig
loena	luna	loena
lof	uzslavas	honors
logboek	žurnāls	log book
loge	iesniegt	lodge
loges	kastes	lodges
logica	loģika	logic
logisch	loģiski	logically
logische	loģiski	logical
logo	logotips	logo
lohan	lohans	lohan
lokaal	vietējie	local
lokale	vietējie	local
lokken	pievilināt	lure
londen	londona	london
londense	londona	london
london	londona	london
lonely	vientuļš	eenzame
lonen	algas	pay
longen	plaušas	lungs
longontsteking	pneimonija	pneumonia
look	skaties	look - part of proper noun
loon	alga	wage
loop	staigāt	course
loopbaan	karjera	career
loopt	skrien	walks
lopen	staigāt	be in danger
lopende	turpinās	walking
lord	kungs	lord
lorenzo	lorenco	lorenzo
los	vaļīgs	los - part of proper noun - place name
losse	vaļīgs	loose
lossen	izkraut	solve
lost	atrisināts	solves
lot	daudz	fait
loting	zīmēt	drawing of lots
louis	luiss	louis
louise	luīze	louise
louter	tīri	purely
louvre	skaļš	louvre
love	mīlestība	love
love||||||||||	mīlestība |||||||||||	love
lp	lp	lp
lr	lr	lr
luc	lūks	luc
lucas	lucas	lucas
lucht	debesis	ether (1st sentence), air (6th and 7th sentence)
luchthaven	lidosta	airport
luchthavens	lidostas	airports
luchtmacht	gaisa spēki	airforce
luchtvaart	aviācija	aviation
luchtvaartmaatschappij	aviokompānija	airline
luchtwegen	elpošanas sistēmas	respiratory
lucius	lucius	lucius
ludo	ludo	ludo
ludwig	ludviga	ludwig
luidde	tika lasīts	was called
luidt	skan	states
luik	lūka	hatch
luis	draņķis	luis
luisteren	klausies	listen
luitenant	leitnants	lieutenant
luke	luke	luke
lukt	izdodas	succeed
lukte	izdevās	succeeded
lupus	sarkanā vilkēde	lupus
luther	luters	luther
luthers	luterāņu	lutheran
lutherse	luterāņu	lutheran
luxe	greznība	luxury
luxembourg	luksemburga	luxembourg
luxemburg	luksemburga	luxembourg
luxemburgse	luksemburga	luxembourg
lyceum	licejs	lyceum
lyon	lyon	iyon
m	m	m
ma	mā	ma
maag	kuņģī	stomach
maagd	jaunava	virgin
maakt	liek	is
maakte	izgatavots	made
maakten	izgatavots	were
maal	maltīte	time
maaltijd	maltīte	meal
maan	mēness	moon
maand	mēnesī	month
maandag	pirmdien	monday
maanden	mēneši	months
maar	bet	but
maarschalk	maršals	marshal
maart	martā	march
maarten	gājiens	maarten
maas	acs	mesh
maastricht	māstrihtā	maastricht
maat	mērs	measures
maatregelen	pasākumi	measures
maatschappelijk	sociāli	socially
maatschappelijke	sociāli kulturālā	social
maatschappij	sabiedrībā	society / company
mac	mac	mac
macedonië	maķedonija	macedonia
machine	mašīna	machine
machines	mašīnas	machinery
macht	spēks	power
machten	pilnvaras	allies
machthebbers	valdnieki	rulers
machtig	varens	mighty
machtige	varens	powerful
machtigste	visspēcīgākais	most powerful
machtsovername	varas sagrābšana	coup
machu	machu	machu
madagaskar	madagaskara	madagascar
madame	kundze	madam
made	izgatavots	made - proper noun in 1st sentence, gemaakt - 3rd and 5th sentence.
madeira	madeira	madeira
madison	madison	madison
madonna	madonna	madonna
madonnas	madonnas	madonnas
madrid	madride	madrid
mae	mae	mae
maffia	mafija	mafia
mag	atļauts	may
magazine	žurnāls	magazine
magdalena	magdalēna	magdalena
magic	maģija	magic
magisch	maģija	magic
magische	maģisks	magic
magnetisch	magnētisks	magnetic
magnetische	magnētisks	magnetic
mail	pastu	mail
main	galvenais	main
mainstream	mainstream	mainstream
majoor	vairākums	major
major	vairākums	major
make	veidot	make
maken	taisīt	make
maker	makerana	maker
makers	veidotājiem	makers
makkelijk	viegli	easily
makkelijker	vieglāk	easier
malaria	malārija	malaria
malcolm	malkolms	malcolm
maleisië	malaizija	malaysia
malen	sasmalcina	times
malfidus	malfoy	maflidus
malt	iesals	malt
malta	maltā	malta
management	vadība	management
manager	menedžeris	manager
manchester	mančestra	manchester
mandela	mandela	mandela
manen	pavadoņi	moons
manier	veids	that way
manilla	manila	manilla
mannelijk	vīrietis	male
mannelijke	vīrietis	male
mannen	vīrieši	men
mannetje	vīrietis	male
mannetjes	tēviņi	males
manschappen	vīrieši	personnel
manson	manson	manson
mantel	mētelis	coat/ mantle
manuel	manuele	manuel
mao	mao	mao
marathon	maratons	marathon
marc	čagas	marc
marcel	marsels	marcel
marco	marco	marco
marcus	markuss	marcus
mare	ķēve	mare
marerijk	marerijk	marerijk
margaret	margareta	margaret
margaretha	margaretha	margaretha
maria	marija	mary
marie	marija	marie
marihuana	marihuāna	marihuana
marilyn	marilyn	marilyn
marine	flotes	navy
mariniers	jūrnieki	marines
mario	mario	mario - proper noun - first name
maritieme	jūrniecības	maritime
mark	marks	mark
market	tirgus	market
marketing	mārketings	marketing
marketingmix	mārketinga sajaukums	marketing mix
markt	tirgus	market
markten	tirgos	markets
marley	marley	marley
marokkaanse	marokāņu	maroccan
marokko	maroka	morocco
mars	marss	march
marseille	marseļa	marseille
marshall	maršala	marshall
marsoppervlak	gājiena virsma	surface of mars
martin	martins	martin
martín	martins	martín (name)
marx	marx	marx
mary	marija	mary
maría	marija	mary
mason	mūrnieks	mason
massa	masa	masses
massaal	masveida	heavy
massale	masveida	massal
master	meistars	master
masters	meistari	masters
masturbatie	masturbācija	masturbation
masturberen	masturbēt	masturbating
mat	paklājs	dim
mate	mērā	degree
maten	izmēri	weights
materiaal	materiāls	material
materialen	materiāli	materials
materialisme	materiālisms	materialism
materie	matērija	matter
materieel	materiāls	equipment
materiële	materiāls	material
matig	viduvējs	moderate
matige	mērens	moderate
matt	matēts	matt
matthew	matejs	matthew
maurice	maurice	maurice
mauritius	maurīts	mauritius
maurits	maurits	maurits
max	maks	max
maximaal	maksimums	maximal
maximale	maksimums	optimal
maxime	maksimums	maxime
maximiliaan	maksimilian	maximilian
maximum	maksimums	maximum
maximus	maximus	maximus
may	var	may
maya	maija	maya
mayas	maijas	mayas
maïs	kukurūza	corn
mc	mc	mc
mccartney	mccartney	mccartney
me	es	me
mechanica	mehānika	mechanics
mechanische	mehānisks	mechanic
mechanisme	mehānisms	mechanism
mechelen	mechelen	mechelen
medaille	medaļa	medal
medaillon	medaljons	medaillon
mede	arī	mede
medelijden	žēl	pity
medeoprichter	līdzdibinātājs	co-founder
medewerkers	personāla locekļi	employees
medewerking	sadarbība	collaboration
media	mediji	media
medicatie	medikamenti	medication
medici	mediķi	medici
medicijn	medicīna	medicine
medicijnen	zāles	drugs
medina	medina	madina
medio	vidus	mid
medisch	medicīniska	medical
medische	medicīniska	medical
mediterraan	vidusjūra	mediterranean
mediterrane	vidusjūra	mediterranean
medium	vidēja	medium
mee	gar	with
meedoen	piedalīties	participate
meegemaakt	pieredzējis	paticipated
meegenomen	ņemts	included
meende	teica	thought
meenden	domāja	thought
meent	tic	thinks
meer	ezers	more
meerdere	vairākas	multiple
meerderheid	vairums	majority
meervoud	daudzskaitlis	plural
meest	lielākā daļa	most
meestal	pārsvarā	mostly
meeste	lielākā daļa	most
meesten	lielākā daļa	most
meester	meistars	master
meesters	meistari	masters
meet	mērs	measurement
meetkunde	ģeometrija	geometry
meeuwis	kaijas	meeuwis - proper noun - surname
mei	maijā	may
meijer	meijers	meijer
meisje	meitene	girl
meisjes	meitenes	little girls
mekka	meka	mecca
meldde	ziņots	reported
melding	paziņojums	report
melk	piens	milk
melkweg	piena ceļš	milky way
melodie	melodija	melody
memorial	memoriāls	memorial
memphis	memfisa	memphis
men	vīrieši	people
meneer	kungs	mr.
menen	nozīmē	to believe
mengeling	samaisa	mixture
mengen	saplūst	mixing
mengsel	maisījums	mixture
mening	viedoklis	opinion
meningen	viedokļi	opinions
meningitis	meningīts	meningitis
meningsuiting	izteiksme	expression of opinion
mens	cilvēks	human
menselijk	cilvēku	human
menselijke	cilvēku	huan
mensen	cilvēki	people
mensenrechten	cilvēktiesības	human rights
mensheid	cilvēce	humanity
menstruatie	periods	menstruation
mentale	garīgās	mental
menu	izvēlne	menu
mercurius	dzīvsudrabs	mercury
mercury	dzīvsudrabs	mercury
meren	ezeri	lakes
merendeel	vairums	most
merk	zīmols	brand
merkbaar	pamanāms	noticable
merken	zīmoli	brands
merkt	piezīmes	notices
merkte	pamanīju	mark
mesoamerika	mesoamerica	meso america
messi	messi	messi
met	ar	with
metaal	metāls	metal
metafoor	metafora	metaphor
metafysica	metafizika	metofysica
metal	metāls	metal
metalen	metāls	metal
metallica	metālika	metallica
meteen	tūlīt pat	immediately
meten	mērs	measuring
meter	metrs	metre
meters	metri	meteres
methaan	metāns	methane
methode	metode	method
methoden	metodes	methods
methodes	metodes	methods
meting	mērīšana	measurement
metingen	mērījumi	measurements
metro	metro	subway
metropolitan	lielpilsēta	metropolitan
metropool	metropole	metropolis
mexicaanse	meksikāņu	mexican
mexico	meksika	mexico
me||||||||||	es |||||||||||	me
miami	maiami	miami
michail	mihails	mikhail
michel	mišels	michel
michelangelo	mikelandželo	michelangelo
michelle	michelle	michelle
michels	michels	michels
michiel	mičels	michiel
mick	miks	mick
microsoft	microsoft	microsoft
middag	pēcpusdiena	noon
middags	pēcpusdiena	noon
middel	aģents	through
middelbaar	sekundārā	middle
middelbare	pusmūža	secondary
middelburg	middelburga	middleburg
middeleeuwen	viduslaiki	middle ages
middeleeuws	viduslaiku	medieval
middeleeuwse	viduslaiku	medieval
middelen	resursiem	means
middelgrote	vidēja	medium
middellandse	vidusjūras	mediterranean
middelpunt	centrā	center
middels	cauri	using
middelste	vidus	middle
midden	vidus	middle
middeneuropa	viduseiropa	central europe
middenklasse	vidusšķira	middle classes
middenoosten	tuvie austrumi	middle east
midnight	pusnakts	midnight
mieren	skudras	ants
migraine	migrēna	migrain
migranten	migranti	migrants
migratie	migrācija	migration
miguel	migels	miguel
mij	es	me
mijn	mans	mine
mijnbouw	kalnrūpniecība	mining industry
mijnen	mīnas	mines
mike	maiks	mike
milaan	milāna	milan
milan	milāna	milan
milde	maiga	mild
miles	jūdzes	miles
miley	mailija	miley
milieu	vide	environment
militair	militārā	military
militaire	militārā	military
militairen	kareivji	military
miljard	miljardu	billion
miljarden	miljardiem	billions
miljoen	miljons	million
miljoenen	miljoniem	millions
millennium	tūkstošgades	millenium
miller	dzirnavnieks	miller
milt	liesa	spleen
min	min	minus
mind	prāts	mind
mindanao	mindanao	mindanao
minder	mazāk	less
mindere	mazāk	less
minderheden	mazākumtautības	minorities
minderheid	mazākums	minority
minderjarigen	nepilngadīgie	minors
mineralen	minerāli	minerals
minimaal	minimāls	minimal
minimale	minimāls	minimum
minimum	minimums	minimum
minister	ministrs	minister
ministerie	ministrija	ministery
ministeries	ministrijas	ministries
ministerpresident	premjerministrs	prime minister
ministers	ministri	ministers
minor	nepilngadīgs	minor
minst	vismazāk	least
minste	vismazāk	least
minstens	vismaz	at least
minuten	minūtes	minutes
minuut	minūte	minute
mis	nepareizi	wrong
misantroop	mizantropisks	misantrophe
misbruik	ļaunprātīga izmantošana	abuse
misdaad	noziegums	crime
misdaden	noziegumi	crimes
misdadigers	noziedznieki	criminals
misdrijf	noziegums	crime
misdrijven	noziegumi	crimes
mislukt	neizdevās	failed
mislukte	neizdevās	failed
misschien	varbūt	perhaps
misselijkheid	slikta dūša	sickness
missen	ilgoties	miss
missie	misija	mission
missionaris	misionārs	missionary
mississippi	misisipi	mississippi
mist	migla	mist
misverstand	pārpratums	misunderstanding
mitchell	mitchell	mitchell
mits	ar nosacījumu, ka	provided that
mix	samaisa	mix
mm	mm	millimeter
mn	mn	in particular
mobiele	mobilais	mobile
mocht	bija atļauts	was allowed
mochten	tika atļauts	were allowed to
moddersnoeken	dubļu līdaka	bowfin
mode	mode	fashion
model	modes modele	model
modellen	modeļiem	models
modern	moderns	modern
moderne	moderns	modern
modernisering	modernizācija	modernization
moed	drosme	courage
moeder	māte	mother
moederdag	mātes diena	mother's day
moeders	mātes	mothers
moedertaal	dzimtā valoda	mother tongue
moeilijk	grūti	difficult
moeilijke	grūti	difficult
moeilijker	grūtāk	more difficult
moeilijkheden	grūtības	difficulties
moeite	pūles	effort
moeizaam	darbietilpīgs	hard
moerassen	purvi	swamps
moest	vajadzēja	had
moesten	vajadzēja	had
moet	obligāti	must
moeten	vajadzētu	have to
mogelijk	iespējams	possible
mogelijke	iespējams	possible
mogelijkheden	iespējas	possibilities
mogelijkheid	iespēja	opportunity
mogen	ir atļauts	may
mogendheden	pilnvaras	powers
mohammed	mohameds	mohammed
mol	mol	mole
moldavië	moldāvija	moldavia
moleculen	molekulas	molecules
molybdeen	molibdēns	molybdene
momenteel	šobrīd	currently
momenten	mirkļi	moments
mon	mēn	mon
mona	mona	mona
monaco	monako	monaco (proper noun)
monarch	monarhs	monarch
monarchie	monarhija	monarchy
mond	mute	mouth
mondelinge	mutiski	oral
monding	mute	mouth
mondriaan	mondriāna	mondriaan
monetaire	naudas	monetary
money	nauda	money
mongolen	mongoļi	mongols
mongolië	mongolija	mongolia
mongoolse	mongoļu	mongolian
monnik	mūks	monk
monniken	mūki	monks
monopolie	monopols	monopoly
monroe	monro	monroe
mons	mons	mons
monster	paraugs	monster
monsters	monstriem	monsters
mont	monts	mont
montana	montana	montana
monte	monte	monte
montenegro	melnkalne	montenegro
montgomery	montgomerija	montgomery
montréal	monreāls	montreal
monument	piemineklis	monument
monumentale	monumentāls	monumental
monumenten	pieminekļi	monuments
mooi	skaists	nice
mooie	skaists	beautiful
mooiste	visskaistākais	prettiest
moon	mēness	moon
moord	slepkavība	autonomous
moorden	slepkavības	murders
moordenaar	slepkava	murderer
moore	mūrs	moore
moraal	morāle	moral
moravië	morāvija	moravia
more	vairāk	nog
moreel	morāli	ethical
morele	morāli	moral
moren	pietauvošanās	moors - proper noun - a people
morgan	morgans	morgan
morgen	rīt	tomorrow
morris	morris	morris
morrison	morrison	morrison
morse	morze	morse
moskee	mošeja	mosque
moskeeën	mošejas	mosks
moskou	maskava	moscow
moslim	musulmanis	moslim
moslims	musulmaņi	moslims
motie	kustība	motion
motieven	motīvi	motives
motivatie	motivācija	motivation
motor	motors	engine
motoren	dzinēji	motors
motto	devīze	motto
mount	stiprinājums	berg
mountains	kalni	mountains
movie	filma	movie
mozarts	mocarts	mozart's
mozes	mozus	mozes (proper noun)
mr	kundze	mr.
ms	jaunkundze	ms
mtv	mtv	mtv
muggen	odi	gnat
muis	pele	mouse
muizen	peles	mice
mulisch	muliski	mulisch
municipio	municipalio	municipio
munt	piparmētra	coin
munteenheid	valūta	currency
munten	monētas	coins
murdoch	murdoch	murdoch
muren	sienas	walls
murphy	murfijs	murphy
murray	murray	murray
muse	mūza	muse
musea	muzeji	museums
museo	museo	museo
museum	muzejs	museum
music	mūzika	music
musical	muzikāls	musical
musici	mūziķi	musicians
mussolini	mussolini	mussolini
musée	musée	museum
mutatie	mutācija	mutation
mutaties	mutācijas	mutations
muur	sienas	wall
muziek	mūzika	music
muziekpiet	mūziķis	musicpete
muzikaal	muzikāls	musical
muzikale	muzikāls	musical
muzikanten	mūziķi	musicians
myanmar	mjanma	myanmar
mysterie	noslēpums	mystery
mysterieuze	noslēpumains	mysterious
mystery	noslēpums	mystery
mystiek	mistisks	mystic
mystieke	mistisks	mystical
mythe	mīts	myth
mythen	mīti	myths
mythische	mītisks	mythical
mythologie	mitoloģija	mythology
máxima	maxima	máxima
müller	müllers	muller
münchen	minhene	munchen
münster	münster	munster
na	pēc	after
naakt	kails	naked
naam	vārds	name
naamgeving	nosaukums	naming
naar	uz	to
naargelang	atkarībā no	according to
naarmate	kā	as
naast	nākamais	apart from
naaste	kaimiņš	neighbour
nabestaanden	radinieki	survivors
nabij	tuvu	near
nabije	tuvu	waters
nabijgelegen	tuvumā	near
nabijheid	tuvums	proximity
naburige	kaimiņu	neighbouring
nacht	nakts	night
nachtleven	naktsdzīve	night life
nachts	naktī	nighttime
nachtwacht	nakts sargs	night watch
nacional	nacional	nacional
nadal	nadal	nadal
nadat	pēc	after
nadeel	trūkums	disadvantage
nadelen	mīnusi	disadvantages
nader	tālāk	further
nadien	sekojoši	afterwards
nadruk	uzsvars	emphasis
nadrukkelijk	uzsvērti	formal
nagelaten	novēlēts	left behind
nagels	naglas	nails
nagenoeg	gandrīz	almost
nageslacht	pēcnācēji	progeny
nagornokarabach	nagornokarabach	nagorno-karabakh
najaar	rudens	autumn
nakomelingen	pēcnācēji	offspring
nam	paņēma	took
name	vārds	particularly
namelijk	proti	as it happened (1st sentence), namely (4th sentence), for (5th sentence)
namen	vārdi	names
namens	vārdā	on behalf to
namibië	namībija	namibia
nancy	nancy	nancy
naoorlogse	pēckara	postwar
napels	neapole	naples
napoleon	napoleons	napoleon
nasa	nasa	nasa
nassau	nassau	nassau
nat	slapjš	wet
nate	nate	nate
nathan	natāns	nathan
natie	tauta	nation
naties	nācijas	nations
nation	tauta	nation
nationaal	nacionālais	national
nationaalsocialisme	nacionālsociālisms	national socialism
