$	dollar təşkil edib	dollars
монарх	monarx	monarch
монархия	monarxiya	monarchy
монасите	rahiblər	the monks
монах	rahib	monk
монголия	monqolustan	mongolia
монголската	monqol	mongolian
монети	sikkələr	coins
монетите	sikkələr	the coins
монозахаридите	monosakkaridlər	monosaccharides
монреал	monreal	montreal
монро	monroe	monroe
монтана	montana	montana
морал	əxlaq	moral
морала	əxlaq	moral
море	dəniz	sea
морета	dənizlər	seas
морето	dəniz	​​sea
морска	dəniz	marine
морската	dəniz	marine
морски	dəniz	marine
морските	dəniz	marine
морското	dəniz	naval
моряци	dənizçilər	sailors
москва	moskva	moscow
мост	körpü	bridge
моста	körpü	bridge
мостове	körpülər	bridges
мотиви	motivləri	motives
мохамед	məhəmməd	mohammed
моцарела	mozzarella	mozarella
моцарт	motsart	mozart
мощ	güc	power
мощен	güclü	powerful
мощи	qalıqları	relics
мощите	qalıqları	remains
мощна	güclü	powerful
мощност	güc	power
моята	mina	my
мрамор	mərmər	marble
мраморно	mərmər	marble
мрежа	şəbəkə	web
мрежата	şəbəkə	the network
мрежи	şəbəkələr	networks
мс	xanım	ms
му	mu	is
музеи	muzeylər	museums
музей	muzey	museum
музея	muzey	museums
музеят	muzey	the museum
музика	musiqi	music
музикален	musiqili	music
музикална	musiqili	music
музикалната	musiqili	the music
музикални	musiqili	music
музикалните	musiqili	musical
музикално	musiqili olaraq	music
музикалното	musiqili	music
музикант	musiqiçi	musician
музиканти	musiqiçilər	musicians
музикантите	musiqiçilər	musicians
музиката	musiqi	music
мултикултурализъм	multikulturalizm	multiculturalism
мур	divar	mur (name)
мура	divar	pine
мурад	murad	murad
мусала	musala	musala
мускул	əzələ	muscle
мускулатура	əzələ	musculature
мускулатурата	əzələlər	musculature
мускули	əzələlər	muscles
мускулите	əzələlər	muscles
мусолини	muslin	mussolini
мустафа	mustafa	mustafa
мъж	adam	man
мъже	kişilər	men
мъжете	kişilər	men
мъжка	kişi	male
мъжката	kişi	male
мъжки	kişi	male
мъжките	kişi	male
мъжкия	kişi	men's
мъжкият	kişi	male
мъри	muri	marry
мъртва	ölü	dead
мъртвите	ölü	the dead
мъртво	ölü	dead
мъртъв	ölü	dead
мъченици	şəhidlər	martyr
мюнхен	münhen	munich
мюсюлмани	müsəlmanlar	muslims
мюсюлманите	müsəlmanlar	muslims
мюсюлмански	müsəlman	muslim
мярка	ölçü	measure
място	yer	place
мястото	yer	the place
н	n	n.
на	yandır	of
набира	zənglər	gaining
наблизо	yaxınlıqda	near
наблюдава	müşahidə edir	observed
наблюдавани	müşahidə olunur	observed
наблюдават	müşahidə etmək	observed
наблюдател	müşahidəçi	observer
наблюдение	müşahidə	observation
наблюдения	müşahidələr	observation
наблюденията	müşahidələr	observation
набляга	vurğu	emphasis
набор	dəsti	set
наброява	sayır	numbers
наброяват	saymaq	run to
навечерието	ərəfə	eve
навигация	naviqasiya	navigation
навлиза	girir	enters
навлизането	giriş	entry
навлизат	girmək	invade
наводнения	daşqınlar	flood
навсякъде	hər yerdə	everywhere
навън	kənarda	outside
навътре	içəri	inward
нагоре	yuxarı	up
награда	mükafat	prize
наградата	mükafat	reward
награди	mükafatlar	awards
нагряване	istilik	heating
над	üzərində	over
надвишава	aşır	exceeds
надежда	ümid	hope
надеждата	ümid	hope
надежди	ümidlər	hopes
надморска	dəniz səviyyəsindən yüksəkdir	altitude
надморската	dəniz səviyyəsindən yüksəkdir	above sea-level
надмощие	üstünlük	supremacy
надолу	aşağı	down
надпис	kitabə	title
надписи	kitabələr	inscriptions, captions
надява	ümidlər	hopes
надясно	sağa	right
наем	icarə	rent
наема	icarə	hire
наемници	muzdlular	mercenary
назад	geri	back
название	adı	name
названието	adı	nazvanieto
названия	adlar	names
назначава	təyin edir	assigned
назначават	təyin etmək	assigned
назначен	təyin edildi	employed
назовават	çağırdı	named
наименование	adı	name
наименования	adlar	names
наистина	həqiqətən	truly
най	ən çox	most
найблизко	ən yaxın	closest
найбогатите	ən varlı	most affluent
найбързо	ən sürətli	fastest
найважната	ən əhəmiyyətli	most mportant
найважните	ən əhəmiyyətli	most important
найважният	ən əhəmiyyətli	most important
найважното	ən vacib şey	most important
найвероятно	çox güman ki	probably
найвече	əksəriyyəti	mostly
найвисок	ən yüksək	highest
найвисока	ən yüksək	the highest
найвисоката	ən yüksək	the highest
найвисоките	ən yüksək	the highest
найвисокия	ən yüksək	high
найвисокият	ən yüksək	the highest
найвисоко	ən yüksək	highest
найвисокото	ən yüksək	the highest
найвлиятелните	ən nüfuzlu	most influential
найголеми	ən böyüyü	biggest
найголемите	ən böyük	biggest
найголемия	ən böyük	biggest
найголемият	ən böyüyü	biggest
найголям	ən böyüyü	biggest
найголяма	ən böyüyü	the biggest
найголямата	ən böyüyü	the biggest
найголямо	ən böyük	biggest
найголямото	ən böyük	biggest
найгъсто	ən sıx	most densely
найден	tapdı	nayden
найдобра	ən yaxşı	best
найдобре	ən yaxşı	most well
найдобрите	ən yaxşı	the best
найдоброто	ən yaxşı	the best
найдобър	ən yaxşısı	the best
найдревните	ən qədim	most ancient
найдългата	ən uzun	the longest
найдълго	ən uzun	longest
найзначимите	ən mənalı	most significant
найизвестен	ən məşhur	the most  famous
найизвестната	ən məşhur	the most famous
найизвестни	ən məşhur	the most  famous
найизвестните	ən məşhur	most known
найизвестният	ən məşhur	unknown
найкрасивите	ən gözəl	most beautiful
наймалката	ən kiçik	at small
наймалките	ən kiçik	most little
наймалкият	ən kiçik	smallest
наймалко	ən azı	least;at least
наймного	ən azı	most
найнакрая	nəhayət	in the end
найнапред	irəli	firstly
найниска	ən aşağı	lowest
найниската	ən aşağı	lowest
найобщо	ümumiyyətlə	generally
найпопулярните	ən populyar	most popular
найразлични	çox fərqli	most different
найразпространената	ən ümumi	the most common
найразпространените	ən ümumi	the most common
найранната	ən erkən	earliest
найранните	ən erkən	the earliest
найсеверната	ən şimal	most northern
найсилните	ən güclü	the strongest
найсилно	ən güclü	strongest
найстарата	ən qədim	oldest
найстарите	ən qədim	oldest
найстарият	ən qədim	oldest
найстарото	ən qədim	oldest
найчесто	ən tez-tez	most often
найшироко	ən geniş yayılmışdır	vastest
найюжната	ən cənub	most southern
наказание	cəza	penalty
накара	etdi	make
наклон	yamac	slope
накратко	qısa	briefly
накрая	nəhayət	in the end
налага	tətbiq edir	have
налагането	tətbiq etmək	imposition
налагат	tətbiq	require
налице	mövcuddur	there is/are
наличие	varlığı	existence
наличието	mövcud olma	the presence
налични	mövcuddur	available
наложени	tətbiq olunur	imposed
наложи	tətbiq	have
налягане	təzyiq	pressure
налягането	təzyiq	pressure
намали	yavaşlatmaq	reduce
намалява	azalır	number
намаляване	azalma	reduction
намаляват	azalmaq	reduced
намерен	tapdı	found
намерени	tapdı	found
намерение	niyyət	intention
намерението	niyyət	intention
намерените	tapdı	found
намери	tapmaq	found
намерят	tapmaq	find
намеса	müdaxilə	intrvention
намесата	müdaxilə	intervention
намесва	müdaxilə edir	interfere
наместник	deputat	vicar
намибия	namibiya	namibia
намира	tapmaq	found
намирал	tapdı	found
намирала	tapdı	found
намират	tapmaq	are
намиращ	tapmaq	found, located
намираща	tapmaq	located
намиращи	tapmaq	located
нанася	vurur	applied
нанасят	vurmaq	move
наноси	yataqlar	sediment
нанси	nənə	nancy
напада	hücum	attack
нападат	hücum	attack
нападател	təcavüzkar	forward
нападение	hücum	attack
нападението	hücum	the attack
нападения	hücumlar	attacks
написан	yazılıb	written
написана	yazılıb	written
написани	yazılıb	written
написва	yazır	wrote
напитка	içmək	drink
напитката	içki	the drink
напитки	içki	beverages
напише	yazmaq	write
наподобява	bənzəyir	not properly
наподобяват	bənzəyir	remind
наполеон	napoleon	napoleon
напомня	xatırladır	mention
напоследък	son vaxtlar	recently
напояване	suvarma	irrigation
напр	məsələn	for example
направата	edilməsi	making
направен	etdi	made
направена	etdi	made
направени	etdi	made
направено	etdi	made
направи	etmək	do
направил	etdi	did
направили	etdi	did
направление	istiqamət	direction
направления	istiqamətləri	directions
направят	etmək	do
напред	irəli	forward
напредък	tərəqqi	advance
напрежение	gərginlik	tension
напрежението	gərginlik	tension
например	misal üçün	for example
напуска	yarpaqlar	leave
напускат	buraxmaq	leave
напуснат	qalıb	leave
напусне	buraxmaq	leave
напълно	tamamilə	fully
нар	doğulub	pomegranate
нараства	böyüyür	increases
нарастване	artırmaq	increase
нарастването	artım	growing
нарастват	artırmaq	increase
наред	tamam	along
нарежда	sifarişlər	ranks
нареждат	sifariş	rank
наречен	çağırdı	called
наречена	çağırdı	called
наречената	çağırdı	called
наречени	çağırdı	called
наречените	çağırdı	called
наречения	adlar	called
наречено	çağırdı	named
нареченото	sözdə	called
наречие	tələffüz	dialect
нарича	çağırdı	call
наричали	çağırdı	called
наричан	çağırdı	called
наричана	çağırdı	called
наричани	çağırdı	called
наричано	çağırdı	called
наричат	çağırdı	call
наркотици	narkotik	drugs
народ	xalq	people
народа	xalq	the nation
народен	xalq	national
народи	xalqlar	nations
народите	xalqlar	peoples
народна	xalq	people's
народната	xalq	national
народни	xalq	folk
народните	xalq	folk
народния	xalq	national
народно	xalq	national
народност	milliyyət	nationality
народности	millətlər	nationalities
народното	xalq	national
нарушава	pozur	violate
нарушаване	pozuntu	violation
нарушение	pozuntu	violation
нарушения	pozuntular	infringement
нас	bizi	us
наса	nasa	nasa
насам	burada	onwards
насекоми	həşəratlar	insects
населен	məskunlaşmışdır	inhabited
населена	məskunlaşmışdır	inhabited
населени	məskunlaşmışdır	populated
население	əhali	population
населението	əhali	population
населените	məskunlaşmışdır	populated
населено	məskunlaşmışdır	populated
населявали	yaşayış	inhabited
населяват	yaşayış	inhabit
насилие	zorakılıq	violence
насилствено	zorla	forcibly
наско	nasko	nasko
наскоро	tezliklə	recently
наследен	irsi	inherited
наследник	varis	successor
наследници	varislər	inheritors
наследниците	varislər	heirs
наследство	irsi	heritage
наследява	varis olur	inherits
насочва	istiqamətləndirir	directs
насочват	birbaşa	orientate
насочена	yönəldilmişdir	directed
насочени	yönəldilmişdir	directed
насоченост	diqqət	orientation
настилка	döşəmə	base
настоява	təkid edir	insist
настояване	təkid	insisting
настоящ	indiki	present
настояще	indiki	the present
настоящето	indiki	this
настоящия	indiki	this
настоящият	indiki	this
настроения	əhval	spirits
настъпва	baş verir	occurs
настъпването	baş verməsi	occurrence
настъпват	baş verir	occur
настъпление	təhqiramiz	advance
настъплението	hücumçu	offensive
насърчава	təşviq edir	encourage
нататък	irəli	forward
натиск	təzyiq	pressure
натиска	təzyiq	pressure
нато	nato	nato
натрупва	yığır	accumulates
натрупване	akkumulyasiya	accumulation
натрупването	akkumulyasiya	accumulation
наука	elm	science
науката	elm	science
науки	elm	sciences
науките	elmlər	sciences
наум	əqli	naum
научава	öyrənir	learns
научен	elmi	scientific
научна	elmi	science
научната	elmi	science
научни	elmi	scientific
научните	elmi	scientific
научния	elmi	scientific
научно	elmi olaraq	science
нахлуване	istila	invasion
нахлуването	istila	invasion
нахлуват	işğal etmək	invase
находища	yerlər	deposits
находки	tapır	findings
находките	tapıntılar	findings
нации	millətlər	nations
нациите	millətlər	the nations
национален	milli	national
национализъм	millətçilik	nationalism
национална	milli	national
националната	milli	national
национални	milli	national
националните	milli	national
националния	milli	national
националният	milli	national
национално	milli	national
националното	milli	national
националсоциалистическата	milli sosialist	the national socialist
нацистите	faşistlər	the nazis
нацистка	nazi	nazi
нация	millət	nation
нацията	millət	the nation
начален	ilkin	initial
начална	ilkin	home
началник	patron	head
началните	ilkin	initial
началното	ilkin	elementary
начало	başlanğıc	start
началото	başlanğıc	start
начело	başında	head
начин	yol	way
начина	yolları	ways
начини	yolları	ways
начинът	yol	way
наш	bizim	our
нашата	bizim	our
нашествие	istila	invasion
нашествието	istila	invasion
нашествия	işğallar	invasions
нашествията	işğallar	invasions
нашето	bizimki	our
наши	bizimki	our
нашите	bizimki	our
ндсв	ndsv	ndsv
не	yox	not
небе	səma	sky
небето	səma	sky
невен	marigold	calendula
неврокоп	neyrokop	nevrokop
неврологични	nevroloji	neurological
неврофизиология	neyrofiziologiya	neurophysiology
невски	nevski	nevsky
невъзможна	qeyri-mümkün	impossible
невъзможно	qeyri-mümkün	impossible
него	ona	him
негов	onun	his
негова	onun	his
неговата	onun	his
негови	onun	his
неговите	onun	his
неговия	onun	his
неговият	onun	his
негово	onun	his
неговото	onun	his
недалеч	uzaqda deyil	close
неделя	bazar günü	nedelja
недоволство	narazılıq	discontent
недоволството	narazılıq	discontent
недостатъчно	qeyri-kafi	insufficient
недостиг	çatışmazlığı	shortage
незабавно	dərhal	immediately
независим	müstəqil	independent
независима	müstəqil	independent
независими	müstəqil	independent
независимите	müstəqil	independent
независимо	asılı olmayaraq	irrespectible
независимост	müstəqillik	independence
независимостта	müstəqillik	independence
незначителни	əhəmiyyətsiz	negligible
неизвестен	naməlum	unknown
неизвестна	naməlum	unknown
неизвестни	naməlum	unknown
неин	onun	hers
нейна	onun	her
нейната	onun	its
нейни	onun	its
нейните	onun	its
нейния	onun	its
нейният	onun	her
нейно	onun	hers
нейното	onun	her
нека	qoy	let
некар	nekar	neckar
неколкократно	bir neçə dəfə	repeatedly
неметал	qeyri metal	metalloid
немска	alman	german
немската	alman	german
немски	alman	german
немските	alman	german
немския	alman	german
немският	alman	german
немското	alman	the german
немците	almanlar	germans
необичайно	qeyri-adi	unusual
необходим	zəruri	needed
необходима	zəruri	necessary
необходимата	tələb olunur	needed
необходими	zəruri	needed
необходимите	zəruri	necessary
необходимо	zəruri	needed
необходимост	zərurət	necessary
необходимостта	ehtiyac	the need
неолита	neolit	the neolite
неофит	neofit	neofit
неофициален	qeyri-rəsmi	unofficial
непал	nepal	nepal
непентеса	nentlər	the nepenthes
непознати	qəriblər	unknown
непосредствена	dərhal	close
непосредствено	dərhal	immediately
неправилна	səhv	incorrect
неправилно	səhv	incorrectly
непрекъснато	davamlı olaraq	continuously
нептун	neptun	neptune
неравномерно	qeyri-bərabər	uneven
нерв	sinir	nerve
нерва	sinir	nerve
нерви	əsəblər	nerves
нервна	əsəbi	nervous
нервната	əsəbi	nervous
нервни	əsəbi	nerve
нерон	nero	nero
нерядко	tez-tez	often
несебър	nessebar	nessebar
нестабилност	qeyri-sabitlik	instability
несъмнено	şübhəsiz	undoubtedly
неуспех	uğursuzluq	failure
неуспеха	uğursuzluq	failure
неуспешен	uğursuz	unsuccessful
неуспешни	uğursuz	unsuccessful
неутралитет	neytrallıq	neutrality
неутрони	neytronlar	neutrons
неутроните	neytronlar	neutrons
нефт	yağ	oil
нефта	yağ	the oil
нефтът	yağ	the oil
неща	şeylər	things
нещата	şeylər	things
нещо	bir şey	something
нея	onun	it
ни	bizi	us
ниагара	niagara	niagara
нива	səviyyələri	levels
нивата	səviyyələri	levels
ниво	səviyyə	level
нивото	səviyyə	the level
нигер	niger	niger
нигерия	nigeriya	nigeria
нидерландия	hollandiya	netherlands
нидерландски	holland	netherlands
нидерландците	hollandiya	netherlands
ние	biz	we
низина	ovalıq	lowlands
низини	ovalıqlar	lowlands
никаква	heç biri	none
никакви	heç biri	no
никакво	heç nə	none
никакъв	heç biri	no
никарагуа	nikaraqua	nicaragua
никел	nikel	nickel
никита	nikita	niita
никифор	nikifor	nikephoros
никога	heç vaxt	never
никой	heç kim	nobody
никола	nikolay	nicholas
николай	nikolay	nikolay
николов	nikolov	nikolov
николова	nikolova	nikolova
никопол	nikopol	nikopol
никоя	heç biri	no one
нил	nil	nile
ниоба	niobe	niobe
нирвана	nirvana	nirvana
ниска	aşağı	low
ниската	alçaq	low
ниски	aşağı	low
ниските	aşağı	low
ниско	aşağı	low
ниското	alçaq	low
нисък	qısa	low
нито	nə də	nor
ницше	aşağı	nietzsche
ниш	niş	nis
нишки	iplər	threads
нищо	heç nə	nothing
но	amma	but
нобелова	nobel	nobel
нов	yeni	new
нова	yeni	new
новата	yenisini	new
нови	yeni	new
новината	xəbərlər	news
новини	xəbərlər	news
новите	yeniləri	new
новия	yenisini	the new
новият	yenisini	the new
ново	yeni	new
нововъведения	yeniliklər	inovations
новото	yeni	new
ноември	noyabr	november
нож	bıçaq	knife
номер	nömrə	number
номера	nömrələri	numbers
номинация	nominasiya	nomination
номиниран	namizəd	nominate
норвегия	heç	norway
норма	norma	rate
нормална	normal	normal
нормалната	normal	the normal
нормални	normal	normal
нормално	normal	normally
нормалното	normal	the normal
норми	normalar	norms
нос	burun	cape
носа	burun	nose
носещи	hesablanan	bearing
носи	geyir	carries
носител	daşıyıcı	carrier
носители	daşıyıcıları	holders
носителите	daşıyıcıları	holders
носят	köhnəlmək	have
нощ	gecə	night
нощта	gecə	night
нужда	ehtiyac	need
нуждае	ehtiyaclar	need
нуждата	ehtiyac	need
нуждаят	ehtiyac	need
нужди	ehtiyaclar	needs
нуждите	ehtiyacları	needs
нужни	lazımdı	needed
нужно	ehtiyac	needed
нфп	nfp	national fascist party
ньойския	onun	neuilly
ню	çılpaq	new
нютон	nyuton	newton
някаква	hər hansı	some
някакви	bəziləri	some
някакво	bəziləri	some
някакъв	bəzi	some
някога	nə vaxtsa	ever
някое	bəziləri	some
някои	bəziləri	some
някой	kimsə	some
няколко	bir az	some
няколкостотин	bir neçə yüz	several hundreds
някоя	bəziləri	some
някъде	haradasa	somewhere
няма	yoxdur	no
нямало	heç biri yox idi	there isn't
нямат	yoxdur	do not have
оае	oae	uae
обама	obama	obama
обаче	lakin	however
обвивка	qabıq	cover
обвинен	ittiham olunur	accused
обвинения	ittihamlar	charges
обвиненията	ittihamlar	charges
обвинява	günahlandırır	accused
обвиняват	günahkar	blame
обединена	birləşdi	united
обединени	birləşdi	united
обединение	birləşmə	union
обединението	birliyi	union
обединените	birləşdi	united
обединеното	birləşmiş	united
обединява	birləşdirir	together
обединяват	birləşmək	unite
обект	obyekt	object
обекта	obyekt	objects
обекти	obyektlər	buildings
обектите	obyektlər	objects
обем	həcmi	volume
обема	həcmi	volume
обемът	həcmi	volume
обещава	vədlər	promises
обзор	baxış-icmal	survey
обикаля	dolaşır	walk round
обикалят	dolaşmaq	orbit
обикновен	adi siravi	ordinary
обикновена	adi siravi	ordinary
обикновени	adi siravi	ordinary
обикновените	adi siravi	ordinary
обикновено	adətən	usually
обиколка	tur	tour
обиколката	tur	tour
обитавали	yaşayış	inhabited
обитават	yaşayış	inhabit
обитатели	sakinləri	residents
обича	sevir	like
обичаи	gömrük	customs
обичаите	gömrük	customs
обичай	adət	traditions
обичайните	adi	usual
обичайно	adətən	usually
обичаят	adət	custom
обкръжение	ətrafı	surroundings
облагане	vergi	levy
облак	bulud	cloud
област	sahəsi	region
областен	regional	regional
области	sahələr	districts
областите	sahələr	areas
областта	sahəsi	field
облаци	buludlar	clouds
облекло	geyim	clothing
облеклото	geyim	clothing
облечени	geyimli	dressed
облик	görünüşü	shape
обмен	mübadilə	volume
обмяна	mübadilə	exchange
обмяната	mübadilə	exchange
обозначава	işarədir	marks
обозначаване	təyinatı	marking
оборудване	avadanlıqlar	equipment
обособена	ayrılmış	differentiated
обособени	ayrılmış	separated
обособява	fərqləndirir	differentiated
обособяват	fərqləndirmək	differentiate
обработва	proseslər	process
обработка	emal	processing
обработката	emal	processing
образ	şəkil	image
образа	şəkil	dishonorable
образец	nümunə	specimen
образи	şəkillər	images
образование	təhsil	education
образованието	təhsil	education
образователна	təhsil	education
образува	formaları	create
образувайки	formalaşdırmaq	forming
образували	formalaşmışdır	educate
образуван	formalaşmışdır	set up
образувана	formalaşmışdır	formed
образуване	formalaşması	educatation
образуването	formalaşması	forming
образувани	formalaşmışdır	formed
образувание	formalaşması	formation
образувания	birləşmələr	formations
образуват	forma	form
образци	nümunələri	models
образът	görüntü	image
обратна	tərs	reverse
обратната	tərsinə	diverse
обратно	geri	back
обратното	əksinə	inverse
обреди	ayinlər	rituals
обредни	ritual	ritual
обръща	çevrilir	draw
обръщат	dönmək	rub
обръщение	ünvanı	circulation
обрязването	sünnət	circumcision
обсада	mühasirə	siege
обсадата	mühasirə	siege
обсажда	mühasirələr	besieged
обсерватория	rəsədxana	observatory
обслужва	xidmət edir	serve
обслужване	xidmət	service
обстановка	vəziyyət	environment
обстановката	vəziyyət	environment
обстоятелства	hallar	circumstances
обсъжда	müzakirə edir	talk about
обувки	ayaqqabı	shoes
обуславя	müəyyənləşdirir	determined
обучение	təlim	training
обучението	təlim	training
обхват	əhatə dairəsi	range
обхваща	əhatə edir	cover
обхващат	örtmək	cover
обхващащ	örtmək	encompassing
обхващащо	örtmək	covering
обширна	genişdir	extensive
обширни	genişdir	extensive
общ	ümumi	general
обща	ümumi	common
общата	cəmi	total
общества	cəmiyyət	communities
обществен	ictimai	public
обществена	ictimai	society in matters
обществени	ictimai	public
обществените	ictimai	public
обществения	ictimai	public
обществено	ictimaiyyətə	socially
общественост	xalqa	public
общественото	xalqa	public
общество	icma	society
обществото	cəmiyyət	society
общи	ümumi	common
община	bələdiyyə	municipality
общината	bələdiyyə	municipality
общините	bələdiyyələr	municipalities
общинска	bələdiyyə	minicipal
общински	bələdiyyə	municipal
общинския	bələdiyyə	minicipal
общите	ümumi	general
общия	ümumi	total
общият	general	total
общност	icma	community
общности	icmalar	communities
общността	icma	commonwealth
общо	ümumi	generally
общото	cəmi	general
общуване	rabitə	communication
обърнат	tərs	turn
обявен	elan etdi	declared
обявена	elan etdi	declared
обявени	elan etdi	declared
обявено	elan etdi	announced
обяви	elanlar	ads
обявява	elan edir	announced
обявяване	elan	declaration
обявяването	elanı	announcement
обявяват	elan edin	announce
обяснение	izahat	explanation
обясни	izah edin	explain
обяснява	izah edir	explains
обясняват	izah edin	explain
обяснят	izah edin	explain
овце	qoyun	sheep
оглавява	başları	head
оглед	görünüşü	view
огнянов	atəşlər	ognyanov
ограничава	məhdudlaşdırır	limited
ограничават	məhdudlaşdırmaq	limited
ограничен	məhduddur	limited
ограничена	məhduddur	limited
ограничени	məhduddur	limited
ограничения	məhdudiyyətlər	restrictions
ограничено	məhduddur	limited
ограничи	həddi	limit
огромен	böyük	huge
огромна	böyük	great
огромната	nəhəng	huge
огромни	böyük	huge
огромните	nəhəngləri	enormous
огромния	nəhəng	huge
огромно	böyük	huge
огромното	nəhəng	huge
огън	atəş	fire
огъня	atəş	fire
одеса	odessa	odesa
одисей	odyssey	odysseus
одисея	odyssey	odyssey
одобрен	təsdiqləndi	approved
одобрение	təsdiq	approval
одобрява	təsdiqləyir	approve
одрин	edrin	edirne
оерстед	oersted	orsted
означава	deməkdir	means
означават	deməkdir	mean
оиср	oisr	oecd
ок	təqribən	about
окажат	çıxmaq	administer
окаже	olacaq	do
оказва	çıxır	happens
оказват	çıxmaq	have/has
океан	okean	ocean
океана	okean	oceans
океаните	okeanlar	oceans
океания	okeaniya	oceania
океански	okean	oceanic
око	göz	eye
околии	qonşuluq	districts
околиите	məhəllələr	districts
околия	qonşuluq	district
околната	ətrafı	environmental
околните	ətrafı	others
околностите	ətrafı	nearby
околността	ətrafı	neighborhood
около	ətrafında	about
окончателно	nəhayət	finally
окончателното	son	final
окото	göz	eye
окръг	mahal	county
окръжен	rayonu	county
окръжие	rayonu	county
окръжност	dairə	circle
окръзи	mahallar	regions
оксид	oksid	oxide
октавиан	octavian	octavian
октомври	oktyabr	october
октомврийската	oktyabr	the october
окупация	işğal	siege
окупира	tutur	occupy
окупирана	işğal edib	occupied
олд	köhnə	old
олимпийски	olimpiya	olympic
олимпийските	olimpiya	olympic
олимпия	olimpiya	olympia
оловни	qurğuşun	lead
олово	qurğuşun	lead
оловото	qurğuşun	lead
ом	ohm	ohm
омир	homer	homer
омуртаг	omurtag	omurtag
омъжена	evli	married
онези	olanlar	those
онлайн	onlayn	online
онова	ki	that
онтарио	ontario	ontario
оон	un	oon
опазване	qoruma	preservation, conservation, protection
опазването	konservasiya	protection
опасна	təhlükəli	dangerous
опасни	təhlükəli	dangerous
опасност	təhlükə	type
опасността	təhlükə	danger
опашка	quyruq	tail
опашката	quyruğu	tail
опера	opera	opera
операта	opera	opera
оперативна	əməliyyat	operational
оператор	operator	operator
операции	əməliyyatları	surgeries
операция	əməliyyat	surgery
операцията	əməliyyat	operation
опери	opera	operas
описана	təsvir edilmişdir	described
описани	təsvir edilmişdir	described
описание	təsviri	description
описанието	təsviri	the description
описания	təsvirlər	descriptions
описва	təsvir edir	describes
описват	təsvir etmək	describe
опит	təcrübə	attemtp
опита	təcrübə	attempt
опитва	çalışır	tries
опитват	cəhd edin	try
опити	təcrübələr	trial
опитите	cəhdlər	attempts
опитът	təcrübə	ask
оплождане	gübrələmə	fecundation
опозиция	müxalifət	opposition
опозицията	müxalifət	oppositon
определен	qərarlı	determined
определена	qərarlı	determined
определени	qərarlı	certain
определение	tərif	definition
определението	tərifi	definition
определения	təriflər	definitions
определено	mütləq	definitely
определя	müəyyənləşdirir	determined
определян	qərarlı	determined
определяне	qətiyyət	determination
определянето	qətiyyət	determination
определят	müəyyənləşdirin	determined
оптика	optika	optics
опълчение	milis	army of volunteers
орален	şifahi	oral
оралният	ağızdan	oral
орбита	orbit	orbit
орбитален	orbital	orbital
орбитата	orbit	orbit
орбити	orbitlər	orbits
орбитите	orbitlər	orbite
оргазъм	orqazm	orgasm
орган	bədən	body
органа	bədən	authority
органели	orqaneller	organelles
органи	orqanlar	organs
организации	təşkilatlar	organizations
организация	təşkilat	organization
организацията	təşkilat	organization
организира	təşkil edir	organized
организиран	mütəşəkkil	organized
организирана	mütəşəkkil	organised
организирането	təşkil edir	organization
организирани	mütəşəkkil	organized
организирано	mütəşəkkil	organised
организират	təşkil etmək	organize
организма	orqanizm	body
организми	orqanizmlər	organisms
организмите	orqanizmlər	the organisms
организмът	orqanizm	body
организъм	orqanizm	organism
органите	səlahiyyətlilər	authorities
органични	üzvi	organic
орден	sifariş	order
ордена	sərəncamın	the order
орденът	sifariş	order
орел	qartal	eagle
оригинална	orijinal	original
оригиналната	orijinal	original
ориентация	oriyentasiya	orientation
ориз	düyü	rice
оркестър	orkestri	orchestra
орфей	orfey	orpheus
оръдия	toplar	tools
оръжие	silah	weapons
оръжието	silah	weapon
оръжия	silahlar	weapons
оряховица	muskat	oryahovica
ос	os	axis
освен	istisna olmaqla	except for
осветление	işıqlandırma	lighting
освободен	sərbəst buraxıldı	released
освободи	buraxmaq	free
освободител	azad edən	liberator
освободителна	azad edən	liberation
освобождава	buraxılışlar	released
освобождаване	buraxmaq	liberation
освобождаването	buraxılması	release
освобождение	azadlıq	liberation
освобождението	azadlıq	liberation
осем	səkkiz	eight
осемте	səkkiz	eight
осигури	təmin etmək	provide
осигурява	təmin edir	secure
осигуряване	sığorta	insurance
оскар	oskar	oscar
осман	osmanlı	ottoman
османска	osmanlı	ottoman
османски	osmanlı	ottoman
османските	osmanlılar	the ottoman
османския	osmanlı	ottoman
османският	osmanlı	ottoman
османско	osmanlı	ottoman
османското	osmanlı	ottoman
османците	osmanlılar	ottomans
основа	əsas	basis
основава	əsaslı	based
основаване	təməli	founding
основаването	təməli	foundation
основават	quruldu	based
основан	quruldu	founded
основана	qurdu	established
основани	əsaslı	founded
основание	əsas	basis
основано	əsaslı	founded
основата	əsasdır	basis
основател	qurucusu	founder
основателите	təsisçiləri	founders
основен	əsas	main
основи	əsasları	foundations
основите	əsasları	foundations
основна	əsas	main
основната	əsas	main
основни	əsas	main
основните	əsas	main
основния	əsas	elementary
основният	əsas	main
основно	əsasən	primary
основното	əsas odur	main
основоположник	qurucusu	originator
особен	xüsusi	distinct
особена	xüsusi	personal
особени	xüsusi	personal
особено	xüsusilə	particularly
особеност	xüsusiyyət	feature
особености	xüsusiyyətləri	features
особеностите	xüsusiyyətləri	the characteristics
оста	ox	axis
остава	qalır	remains
остават	qalmaq	remain
оставени	qalıb	leaved
оставка	istefa	resignation
