$	dollar təşkil edib	(dollar sign)
lorigine	mənşəyi	origin
lorraine	lotus	lorraine
lors	nə vaxt	then
lorsque	nə vaxt	when
lorsquelle	nə vaxt	lorsquelle
lorsquil	nə vaxt	when it
lorsquils	olduqda	when they
lorsquon	nə vaxt	when one
lorsquun	bir zaman	when a
lorsquune	bir zaman	when
lorthographe	yazım	spelling of
los	itirmək	los
loscar	loskar	the oscar
lost	itirdi	lost
lot	çox	batch
lotan	lotan	lotan
lou	lou	lou
louest	qərb	west
louis	louis	louis
louise	louise	louise
louisiane	louisiana	louisiana
louisnapoléon	louisnapoléon	louis-napoléon
loup	qurd	wolf
loups	canavar	wolves
lourd	ağır	heavy
lourde	ağır	heavy
lourdes	ağır	heavy
lourds	ağır	heavy
louverture	açılışı	the opening
louvrage	kitab	the work
louvre	şir	louvre
love	sevgi	love
loxygène	oksigen	the oxygen
lu	oxumaq	read
luc	luc	luc
lucas	lucas	lucas
lucien	lucien	lucien
lucy	lucy	lucy
ludwig	lüdviq	ludwig
lue	oxumaq	read
luefa	luefa	l'uefa
lui	onu	him
luimême	özü	himself
luis	luis	luis
lukraine	ukrayna	lukraine
lumière	işıq	light
lumières	işıqlar	lights
lun	cümə	one
lunaire	aya	lunar
lunanimité	yekdillik	unanimously
lundertaker	şirnikdirici	the undertaker
lundi	bazar ertəsi	monday
lune	ay	moon
lunesco	moonsco	unesco
lunification	lunification	the unification
lunion	aşıq	union
lunique	şıltaq	the only
lunité	birlik	unity
lunivers	kainat	the universe
luniversité	universitet	the university
lupus	lupus	lupus
lurss	lurss	the ussr
luruguay	uruqvay	the uruguay
lus	oxumaq	read
lusage	istifadə etmək	use
luther	lüt	luther
lutilisateur	istifadəçi	the user
lutilisation	istifadə etmək	usage
lutte	güləş	battle
lutter	güləş	fight
luttes	mübarizələr	fights
luxe	lüks	luxury
luxembourg	lüksemburq	luxembourg
lycée	orta məktəb	lyceum
lycées	ali məktəblər	high-school
lymphocytes	limfositlər	lymphocytes)
lynette	lynet	lynette
lyon	lyon	lyon
lyonnais	lyonnais	lyons
lyonnaise	lyonnaise	lyonnaise
lyrique	lirik	lyric
lys	zanbaq	lily
là	orada	there
lâge	yaş	the age
lâme	ruh	soul
lère	dövrü	the era
lèvres	dodaqlar	lips
lécart	boşluq	aside
léchange	mübadilə	the exchange
léchec	uğursuzluq	failure
léchelle	nərdivan	the scale
lécole	məktəb	the school
léconomie	iqtisadiyyat	the economy
lécosse	şotland	scotland
lécran	ekran	screen
lécrit	yazır	written
lécriture	yazmaq	the writing
lécrivain	yazıçı	the writer
lédifice	bina	building
léditeur	redaktoru	publisher
lédition	nəşr	the edition
léducation	təhsili	education
légal	qanuni	legal
légale	qanuni	legal
légalement	qanuni olaraq	legally
légales	qanuni	legal
légalité	qanunilik	legally
légard	legard	consideration
légendaire	əfsanəvi	legendary
légende	əfsanə	legend
légendes	əfsanələr	legends
léger	işıq	light
légion	legion	legion
légions	legionlar	legions
législatif	qanunverici	legislative
législation	qanunvericilik	legislation
législations	qanunlar	legislations
législative	qanunverici	legislative
législatives	qanunverici	legislative
légitime	qanuni	legitimate
légitimité	qanunilik	legitimacy
léglise	kilsə	the church
légumes	tərəvəzlər	vegetables
légypte	misir	egypt
légère	yüngül	light
légèrement	biraz	slightly
lélaboration	inkişaf	development
lélection	seçki	election
lélectricité	elektrik	electricity
lélevage	yetişdirmə	the livestock
lélimination	aradan qaldırılması	elimination
lélite	elit	the elite
lélysée	lylysee	the elysee
lélément	element	element
lémergence	ortaya çıxması	emergence
lémission	şou	the show
lénergie	enerji	the energy
lénine	lenin	lenin
léolien	leolian	wind power
léon	leon	léon
léonard	leonard	leonardo
léopold	leopold	leopold
lépisode	bölüm	episode
lépopée	dastan	epic
lépoque	vaxt	age
lépouse	arvad	lepouse
lépreuve	sınaq	test
lépée	qılınc	sword
léquateur	ekvator	equator
léquilibre	balans	balance
léquipe	komanda	the team
léquipement	avadanlıqlar	equipment
léquivalent	ekvivalenti	equivalent
lésions	lezyonlar	lesions
létablissement	yaradılması	establishment
létape	addım	stage or step
létat	dövlət	state
létatmajor	letmajor	military staff
léthique	etik	the ethics
létoile	ulduz	l'etoile (no change as it is a place in paris)
létranger	qərib	abroad
létude	öyrənmək	the study
lété	yay	summer
lévacuation	evakuasiya	the evacuation
lévaluation	qiymətləndirmə	assessment
lévistrauss	levistrauss	levi-strauss
lévolution	təkamül	evolution
lévrier	greyhound	levrier
lévénement	hadisə	the event
lévêque	yepiskop	bishop
lîle	ada	island
lîledefrance	liyedefrance	ile-de-france
lœil	göz	eye
lœuvre	iş	work
m	m	m
ma	mənim	my
mac	mac	mac
machine	maşın	machine
machines	maşın	machine
macédoine	makedoniya	macedonia
madagascar	madaqaskar	madagascar
madame	madam	madam
madeleine	madeleine	madeleine
madonna	madonna	madonna
madrid	madrid	madrid
mafia	mafiya	mafia
magasin	mağaza	shop
magasins	dükanlar	shops
magazine	jurnal	magazine
magazines	jurnallar	magazines
maghreb	maghreb	maghreb
magic	sehrli	magic
magie	sehrli	magic
magique	sehirli	magic
magistrats	magistrantlar	magistrates
magma	maqma	magma
magnifique	gözəl	beautiful
magnétique	maqnit	magnetic
magnétiques	maqnit	magnetic
magritte	maqritte	magritte
mahomet	məhəmməd	muhammad
mai	may	may
maillot	forma	shirt
main	əl	hand
maindœuvre	əmək	labour force
maine	ana	maine (place name)
mains	əllər	hands
maintenance	baxım	maintenance
maintenant	indi	now
maintenir	qorumaq	maintain
maintenu	saxlanılır	maintained
maintien	baxım	maintenance
maintient	saxlayır	maintained
maire	bələdiyyə başçısı	mayor
maires	merlər	mayors
mairie	bələdiyyə	town hall
mais	amma	but
maison	ev	house
maisons	evlər	houses
majeur	əsas	major
majeure	əsas	major
majeures	əsas	major
majeurs	əsas	major
major	əsas	major
majoritaire	əksəriyyət	majority
majoritairement	əsasən	majority
majoritaires	əksəriyyət	majority
majorité	əksəriyyət	majority
mal	səhv	mal de gorge = sore throat
malade	xəstə	ill
malades	xəstə	sick
maladie	xəstəlikdir	illness
maladies	xəstəliklər	diseases
malaise	xəsislik	discomfort
malaisie	malayziya	malaysia
malaria	malyariya	malaria
malgache	malagasy	madagascan
malgré	baxmayaraq	in spite of
malheureusement	təəssüf ki	unhapilly
mali	mali	mali
malte	malta	malt
mammifères	məməlilər	mammals
man	adam	man
management	idarəetmə	management
manager	menecer	manager
manche	qolu	handle
manchester	mançester	manchester
mandat	mandat	warrant
mandats	mandatlar	mandates
mandela	mandela	mandela
manga	manqa	an artistic style
mangas	manqa	mangas
mangemorts	ölüm yeyənlər	death-eater
manger	yemək	eating
manhattan	manhetten	manhattan
manifestation	təzahürü	demonstration
manifestations	hadisələr	events
manifeste	təzahür edin	manifest
manière	yol	way
manières	davranış	manners
mann	mann	mann
manne	külək	mayfly swarms
mannequin	maneken	model
manque	çatışmazlığı	misses
manson	manson	manson
manteau	palto	coat
manuel	dərslik	manual
manuscrit	əlyazma	manuscript
manuscrits	əlyazmalar	manuscripts
manœuvre	manevr	maneuver
maori	maori	maori
marais	bataqlıq	marsh
marbre	mərmər	marble
marc	marc	marc
marcel	marsel	marcel
marchand	tacir	merchant
marchande	tacir	merchant
marchandises	mallar	merchandises
marchands	tacirlər	merchants
marche	gəzinti	move
marcher	gəzmək	walk
marches	addımlar	steps
marché	bazar	walking
marchés	bazarlar	procurement
marco	marco	marco
mardi	şənbə	tuesday
margaret	marqaret	margaret
marge	marj	sidelines
marguerite	papatya	marguerite
mari	ər	husband
maria	mariya	maria
mariage	toy	marriage
mariages	toylar	weddings
marie	marie	maried (for presley) mary (for medicis)
marieantoinette	evlənmə	marie-antoinette
marier	evlənmək	to get married
marilyn	marilyn	marilyn
marin	dənizçi	marin
marine	donanma	navy
marines	dəniz piyadaları	marine
marins	dənizçilər	sailors
mario	mario	mario
marion	marion	marion
maritime	dənizçilik	maritime
maritimes	dənizçilik	maritime
marius	marius	marius
marié	evli	marie ( name )
mariée	gəlin	married
mark	işarəsi	mark
marketing	marketinq	marketing
marley	marley	marley
maroc	mərakeş	morocco
marocain	mərakeş	maroccan
marocaine	mərakeş	moroccan
marocains	mərakeşlilər	moroccans
marquant	qol vurmaq	marking
marque	marka	make
marquent	işarəsi	mark
marquer	işarəsi	integrate
marques	markalar	brands
marquis	marquis	marquis
marquise	marquise	marquess
marqué	qeyd	marked
marquée	qeyd	marked
marquées	qeyd	marked
marqués	qeyd	marked
marrakech	marrakech	marrakech
mars	yürüş	march
marseillais	marseillais	marseille
marseillaise	marseillaise	marseille
marseille	marsel	marseilles
marshall	marşal	marshall
martiaux	döyüş	martial
martienne	şəhid	martian
martin	martin	martin
martinique	martinique	martinique
marty	şəhid	marty
marx	marx	marx
marxisme	marksizm	marxism
mary	meri	mary
maréchal	marşal	marechal
masculin	kişi	male
masculine	kişi	male( for 1st) men (for the other 2)
masculins	kişi	males
masque	maska	disguise
masques	maskalar	masks
massacre	qırğın	massacre
massacres	qırğınlar	slaughters
masse	kütlə	portion
masses	kütlələr	crowd, group
massif	kütləvi	massif
massifs	kütləvi	massif
massinissa	massinissa	massinissa
massive	kütləvi	mass
massivement	kütləvi şəkildə	massively
mastoïdite	mastoidit	mastodoitis
masturbation	mastürbasyon	masturbation
match	uyğunluq	match
matches	matçlar	matches
matchs	matçlar	matches
maternel	ana	maternal
maternelle	uşaq bağçası	maternal
mathieu	mathieu	mathieu
mathématicien	riyaziyyatçı	mathematician
mathématique	riyazi	mathematical
mathématiques	riyaziyyat	mathematical
matin	səhər	morning
matisse	matisse	matisse
matière	maddə	material
matières	materiallar	raw
matrice	matris	matrix
matrix	matris	matrix
matt	mat	matt
matthew	matçı	matthew
matthieu	matta	matthieu
maturité	yetkinlik	maturity
matériau	material	material
matériaux	materiallar	materials
matériel	material	material
matérielle	material	material
matérielles	material	material
matériels	materiallar	material
maupassant	qəmli	maupassant
maurice	mauritius	maurice
mauvais	pis	bad
mauvaise	pis	bad
mauvaises	pis	bad
maux	xəstəliklər	aches
max	maksimum	max
maximale	maksimum	maximal
maxime	maxim	maxim
maximilien	maximilian	maximilian
maximum	maksimum	maximum
may	may	may
maya	maya	maya
mayas	maya	mayan
mayer	mayer	mayer
mayotte	mayotte	mayotte
maçonnerie	hörgü	masonry
maçonnique	masonik	masonic
maçonniques	masonik	masonic
maître	usta	master
maîtres	ustalar	master
maîtresse	xanım	mistress
maîtrise	sənətkarlıq	mastery
maîtriser	mənimsəmək	bring under control
maïs	qarğıdalı	corn
mc	mc	mc
mccartney	mccartney	mccartney
mcdonalds	mcdonalds	mcdonald's
mcmahon	mcmahon	mcmahon
me	menim	me
mecque	məkkə	mecca
media	media	media
meilleur	ən yaxşısı	best
meilleure	daha yaxşı	best
meilleures	ən yaxşısı	best
meilleurs	ən yaxşısı	better
melbourne	melbourne	melbourne
membrane	membran	membrane
membre	üzvü	member
membres	üzvləri	members
memorial	xatirə	memorial
men	kişilər	men
menace	təhdid	menace
menaces	təhdidlər	threats
menacé	təhdid edir	threatened
menacée	təhdid edir	threatened
menant	aparıcı	leading
mener	qurğuşun	lead
mental	zehni	mantal
mentale	zehni	mental
mention	qeyd etmək	mention
mentionne	qeyd edir	mentioned
mentionné	qeyd etdi	mentioned
mené	rəhbərlik etdi	led
menée	aparılıb	conducted
menées	həyata keçirilmişdir	conducted
menés	rəhbərlik etdi	conducted
mer	dəniz	sea
mercredi	cümə günü	wednesday
mercure	civə	mercury
mercury	civə	mercury
mercy	mərhəmət	mercy
mers	dənizlər	seas
merveilles	möcüzələr	wonders
merveilleux	gözəl	wonderful
mes	mənim	my
mesrine	mesrine	mesrine
message	mesajı	message
messager	elçi	messenger
messages	mesajlar	messages
messe	kütlə	mass
messenger	elçi	messenger
messi	messi	messi
mesure	ölçü	measure
mesurer	ölçü	mesures
mesures	tədbirlər	measures
met	qoyur	puts
metal	metal	metal
metallica	metalica	metallica
mettant	qoymaq	putting
mettent	qoymaq	put
mettra	qoyacaq	will put
mettre	qoymaq	put
metz	qoymaq	metz
meurt	ölür	dies
meurtre	qətl	murder
mexicain	meksika	mexican
mexicaine	meksika	mexican
mexicains	meksikanlar	mexicans
mexico	meksika	mexico
mexique	meksika	mexico
meyer	meyer	meyer
mi	orta	my (in spanish)
miami	miami	miami
michael	maykl	michael
michaels	michaels	(surname)
michel	mikel	michel
michelange	mikelange	michelangelo
michelle	mişel	michelle
michigan	miçiqan	michigan
michèle	mişel	michele
mick	sığallamaq	mick
mickey	mickey	mickey
microsoft	microsoft	microsoft
midi	günorta	midi
mieux	daha yaxşı	better
migration	köç	migration
migrations	köçlər	migrations
mike	mike	mike
milan	milan	milan
miley	miley	miley
milieu	orta	ambience
milieux	arxa planlar	environment
militaire	hərbi	military
militaires	hərbi	military
militants	fəallar	activists
mille	min	thousand
miller	dəyirmançı	miller
milliard	milyard	billion
milliards	milyard	billion
milliers	minlərlə	thousands
million	milyon	million
millions	milyonlarla	millions
millénaire	minillik	millenium
millésime	üzüm	vintage
mine	mina	mine
minerai	filiz	mineral ore
mines	minalar	mines
mineur	kiçik	minor
mineure	kiçik	minor
mineurs	yetkinlik yaşına çatmayanlar	minors
mini	mini	mini
minimum	minimum	minimum
ministre	nazir	minister
ministres	nazirlər	ministers
ministère	nazirlik	department
minoritaire	azlıq	minority
minoritaires	azlıq	minority
minorité	azlıq	minority
minorités	azlıqlar	minority
minuit	gecə yarısı	midnight
minute	dəqiqə	minute
minutes	dəqiqə	minutes
minéralogiques	mineralogik	vehicule registration (plate)
minéraux	minerallar	minerals
miroir	güzgü	mirror
mis	qoymaq	put
mise	pay	put
mises	paylar	put
miss	darıxıram	miss
missiles	mərmilər	missiles
mission	missiya	mission
missionnaires	missionerlər	missionaries
missions	missiyalar	missions
mississippi	mississippi	mississippi
misère	səfalət	misery
misérables	acınacaqlı	miserable
mit	mit	mit
mitchell	mitchell	mitchell
mitigé	qarışıq	mitigated
mitterrand	mitterrand	mitterrand
mixte	qarışıq	mixed
miyazaki	miyazaki	miyazaki
miz	miz	(part of a sobriquet for a show name)
mobile	mobil	mobile
mobiles	mobil	mobile
mobilisation	səfərbərlik	mobilisation
mobilité	hərəkətlilik	mobility
modalités	şərtləri	terms
mode	moda	mode
moderne	müasir	modern
modernes	müasir	modern
modernisation	modernləşmə	modernization
modernité	müasirlik	modernity
modes	rejimləri	modes
modeste	təvazökar	modest
modification	modifikasiya	modification
modifications	dəyişikliklər	modifications
modifie	dəyişdirmək	modifies
modifier	redaktə edin	edit
modifié	dəyişdirilib	changed (first and second) modification (last sentence)
modifiée	dəyişdirilib	changed
modifiées	dəyişdirilib	modified
module	modul	module
modèle	model	model
modèles	modellər	models
modérée	mülayim	moderate
mohamed	mohamed	muhammad
mohammed	məhəmməd	mohammed
moi	menim	me
moindre	daha az	lesser
moine	rahib	monk
moines	rahiblər	minks
moins	az	least
mois	ay	months
moitié	yarı	half
molaire	molar	molar
moldavie	moldova	moldavia
molière	molière	moliere
moléculaire	molekulyar	molecular
molécule	molekul	molecule
molécules	molekullar	molecules
moment	an	moment
momentlà	indi	this moment
moments	anlar	moments
mon	mənim	my
monaco	monako	monaco
monarchie	monarxiya	monarchy
monarque	monarx	monarch
monastère	monastır	monastery
monastères	monastırları	monastery
monday	bazar ertəsi	monday
monde	dünya	world
mondes	aləmlər	worlds
mondial	qlobal	world
mondiale	dünya	world
mondialement	dünyada	worldwide
mondiales	dünya	world
mondialisation	qloballaşma	globalization
mondiaux	dünya	worldwide
monet	pul	monet
money	pul	money
monica	monika	monica
monnaie	valyuta	currency
monnaies	sikkələr	currency
monopole	inhisar	monopoly
monroe	monroe	monroe
monsieur	ser	sir
monster	canavar	monster
monstre	canavar	monster
mont	montaj etmək	mount
montage	montaj	assembly
montagne	dağ	montain
montagnes	dağlar	mountains
montagneuses	dağlıq	mountainous
montagneux	dağlıq	mountain
montana	montana	montana
montant	məbləği	total sum
monte	qalxmaq	monte
montecarlo	montecarlo	monte-carlo
monter	qalxmaq	mount
montesquieu	montequieu	montesquieu
montpellier	montpellier	montpellier
montrant	göstərən	showing
montre	baxın	to show
montrent	şou	show
montrer	göstərmək	show
montré	göstərilib	shown
montréal	monteal	montreal
monts	dağlar	mounts
monté	quraşdırılıb	rise
montée	qalxmaq	rise
monument	abidə	building
monuments	abidələr	buildings
monétaire	pul	monetary
moon	ay	moon
moore	moore	mauresque
moral	mənəvi	morale
morale	mənəvi	moral
morales	mənəvi	moral
morceau	parça	piece
morceaux	ədəd	tracks
moreau	parça	moreau
morgan	morgan	morgan
morphologie	morfoloji	morphology
morrison	morrison	john morrison
mort	ölü	dead
mortalité	ölüm	death rate
morte	ölü	dead
morts	ölü	deads
mosaïque	mozaika	mosaic
moscou	moskva	moscow
mosquée	məscid	mosque
mot	söz	word
moteur	motor	motor
moteurs	mühərriklər	engine
motif	naxış	motive
motifs	naxışlar	reasons
motion	hərəkət	motion
motivation	motivasiya	motive
motown	motown	motown
mots	sözləri	words
moulin	dəyirman	mill
moulins	dəyirmanlar	windmills
mourir	ölmək	die
mourut	öldü	died
mouvement	hərəkət	movement
mouvements	hərəkətlər	movements
moyen	orta	way
moyenne	orta	average
moyennes	orta	middle
moyenorient	orta şərq	middle-east
moyens	deməkdir	means
mozart	motsart	mozart
moïse	mozaika	moses
mp	mp	mp3
mr	mr	mr.
mtv	mtv	mtv
muet	lal	dumb
muhammad	muhammad	muhammad
mulhouse	mulhouse	mulhouse
multiple	çoxsaylı	multiple
multiples	çoxsaylı	multiple
multiplication	vurma	multiplication
multiplie	çoxalır	multiplies
multiplient	çoxaltmaq	multiply
multitude	çoxluq	multitude
munich	munich	munich
municipal	bələdiyyə	municipal
municipale	bələdiyyə	municipal
municipales	bələdiyyə	municiple
municipalité	bələdiyyə	municipality
municipalités	bələdiyyələr	municipalities
municipaux	bələdiyyə	municipal
mur	divar	wall
muraille	divar	wall
murailles	divarlar	wall
murray	murray	murray
murs	divarlar	walls
muscles	əzələlər	muscles
muse	fikirləş	muse
museum	muzey	museum
music	musiqi	music
musical	musiqili	musical
musicale	musiqili	music
musicales	musiqili	music
musicaux	musiqili	musical
musicien	musiqiçi	musician
musiciens	musiqiçilər	musicians
musique	musiqi	music
musiques	musiqi	music
musset	musset	musset
mussolini	mussolini	mussolini
musulman	müsəlman	muslim
musulmane	müsəlman	muslim
musulmanes	müsəlman	muslim
musulmans	müsəlmanlar	muslims
musée	muzey	museum
musées	muzeylər	museums
mutation	mutasiya	mutation
mutations	mutasiyalar	changes
mvp	mvp	mvp
myocarde	miyokard	myocardium
myocardique	miyokard	myocardial
myopathie	miyopatiya	myopathies
mysterio	sirr	mysterio
mystique	mistik	mystical
mystère	sirr	mystery
mystérieux	sirli	mysterious
mythe	mif	myth
mythes	miflər	myths
mythique	mifik	mythical
mythologie	mifologiya	mythology
mythologiques	mifoloji	mythological
mâle	kişi	male
mâles	kişilər	males
mène	aparır	leads
mènent	qurğuşun	lead
mère	ana	mother
mètres	metr	meters
mécanique	mexaniki	mechanics
mécaniques	mexaniki	mechanic
mécanisme	mexanizm	mecanism
mécanismes	mexanizmlər	mecanisms
mécontentement	narazılıq	discontent
médaille	medal	medal
médecin	həkim	doctor
médecine	dərman	medicine
médecins	həkimlər	doctors
média	media	media
médias	media	medias
médiatique	media	media
médical	tibbi	medical
médicale	tibbi	medical
médicales	tibbi	medical
médicament	dərman	medecine
médicaments	dərman	drugs
médicaux	tibbi	medical
médicis	dərman	médicis
médiocre	kasıb	poor
méditation	düşüncə	meditation
méditerranée	aralıq dənizi	mediterranean
méditerranéen	aralıq dənizi	mediterranean
médiéval	orta əsrlərə aiddir	medieval
médiévale	orta əsrlərə aiddir	medieval
médiévales	orta əsrlərə aiddir	medieval
mélange	qarışdırın	mix
mélodies	melodiyalar	melodies
mémoire	yaddaş	memory
mémoires	xatirələr	memories
mémorial	xatirə	memorial
ménage	məişət	household
ménages	ev təsərrüfatları	households
mépris	hörmətsizlik	contempt
méridionale	cənub	meridionale
mérite	layiqdir	merit
métabolisme	maddələr mübadiləsi	metabolism
métal	metal	metal
métallique	metal	metal
métalliques	metal	metal
métaphore	metafora	metaphor
métaphores	metafora	metaphore
métaphysique	metafizika	metaphysical
métatarse	metatarsus	metatarsus
métaux	metallar	metallic
méthane	metan	methane
méthode	metodu	method
méthodes	üsulları	methods
métier	peşə	job
métiers	biznesmen	trades
métrage	görüntülər	film footage (court metrage=short film)
métrages	görüntülər	films
métro	metro	subway
métropole	metropolis	metropolis
métropoles	metropoliyalar	metropolis
métropolitaine	metropoliten	metropolitan
méxico	meksika	mexico
même	hətta	same
mêmes	eyni	same
mœurs	davranış	morals
n	n	n
na	na	doesn't
nadal	nadal	nadal
naissance	doğuş	birth
naissances	doğuşlar	births
naissent	anadan olurlar	born
nait	doğulur	was born
nam	nam	nam
nancy	nensi	nancy
nantais	nantes	from nantes
nantes	nantes	nantes
naples	neapollar	naples
napoléon	napoleon	napoléon
napparaît	görünür	item appears
narrateur	rəvayətçi	narrator
narration	rəvayət	narration
narrive	povest	narrive
naruto	naruto	naruto
nasa	nasa	nasa
nash	nash	nash
natale	doğma	birth
natalie	natalie	natalie
natalité	doğum nisbəti	birth rate
nation	millət	nation
national	milli	national
nationale	milli	national
nationales	milli	national
nationalisme	millətçilik	nationalism
nationaliste	millətçi	nationalist
nationalistes	millətçilər	nationalist
nationalité	milliyyət	nationality
nationaux	milli	national
nations	millətlər	nation
naturaliste	təbiətşünas	naturalist
nature	təbiət	nature
naturel	təbii	natural
naturelle	təbii	natural
naturellement	təbii olaraq	naturally
naturelles	təbii	natural
naturels	təbii	natural
naufrage	gəmi qəzası	sinking
naurait	olardı	would not have
navaient	idi	navaient
navait	idi	had
navale	dəniz	marine
navarre	navarre	navarre
navigateur	brauzer	navigator
navigateurs	brauzerlər	navigators
navigation	naviqasiya	navigation
navire	gəmi	ship
navires	gəmilər	ship
navoir	sahib olmaq	having
nayant	olan	not having
nazi	nazi	nazi
nazie	nazi	nazi
nazis	nasistlər	nazis
nazisme	nasizm	nazism
naît	doğulub	was born
naître	doğulmaq	born
nb	nb	note
nba	nba	nba
nbc	nbc	nbc
ne	etmir	not
nef	nave	nave
neige	qar	snow
neil	neyli	neil
nelson	nelson	nelson
nempêche	yenə də	doesn't prevent
nen	nen	nen
neptune	neptun	neptune
nerveux	əsəbi	nervous
nest	yuva	nest
net	xalis	internet
nette	aydın	visible
nettement	aydın şəkildə	clearly
network	şəbəkə	network
neuf	yeni	nine
neurones	neyronlar	neurons
neutralité	neytrallıq	neutrality
neutre	neytral	neutral
neuvième	doqquzuncu	ninth
never	heç vaxt	never
neveu	qardaşı oğlu	nephew
newton	nyuton	newton
newyorkais	new yorker	from new-york
nexiste	nexist	there
nez	burun	nose
nhésite	nesit	not hesitate
ni	nə də	neither
nice	gözəl	nice
nicolas	nikolalar	nicolas
nicole	nikol	nicole
nictation	nictation	nictitation
nietzsche	nitsşe	nietzsche
niger	niger	niger
nigeria	nigeriya	nigeria
night	gecə	night
nihilisme	nihilizm	nihilism
nimporte	nə olursa olsun	no other
ninja	ninja	ninja
nirvana	nirvana	nirvana
niveau	səviyyə	level
niveaux	səviyyələri	levels
nixon	nikson	nixon
no	yox	no.
nobel	nobel	nobel
noble	nəcib	noble
nobles	zadəganlar	noble
noblesse	zadəganlıq	nobility
noces	toy	wedding
nocturne	nocturnal	nocturnal
noel	milad	christmas
noir	qara	black
noire	qara	black
noires	qara	black
noirs	qaralar	black
nom	adı	name
nombre	nömrə	number
nombres	nömrələr	number
nombreuse	çoxsaylı	large
nombreuses	çoxu	many
nombreux	çoxu	several
nominal	nominal	nominal
nomination	təyinat	appointment
nominations	təyinatlar	nominations
nomme	təyin edir	names
nommer	namizəd göstərin	name
nommé	adlı	nominated
nommée	adlı	named
nommés	təyin edildi	named
noms	adlar	names
non	yox	not
nont	etmir	nont
nonviolence	zorakılıq	non-violence
nord	şimal	north
nordest	şimal-şərqdə	north east
nordique	nordic	nordic
nordouest	şimal-qərb	northwest
nordsud	şimalsud	north-south
normal	normal	normal
normale	normal	normal
normalement	normalda	normally
norman	norman	(man's name)
normandie	normandy	normandie
norme	standart	norm
normes	standartlar	norms
north	şimal	nord
norton	norton	norton
norvège	heç	norway
norvégien	norveç	norwegian
nos	bizim	our
not	deyil	not
notable	görkəmli	notable
notables	görkəmli	significants
notamment	xüsusən	notably
notation	qol vurmaq	rating
note	qeyd	note
noter	qeyd	note
notera	qeyd edəcək	note
notes	qeydlər	notes
notion	konsepsiya	notion
notions	anlayışlar	notions
notons	qeyd	note
notoriété	bədnamlıq	notoriety
notre	bizim	our
notredame	xanimimiz	notre-dame
noté	qeyd etdi	noted
nouméa	noumea	noumea
nourrir	yem	feed
nourrit	yem verir	feeds
nourriture	yemək	food
nous	biz	we
nouveau	yeni	new
nouveauté	yenilik	novelty
nouveaux	yeni	new
nouvel	yeni	new
nouvelle	yeni	new
nouvellecalédonie	yeni kaledoniya	new-caledonia
nouvellefrance	yeni təzə	new-france
nouvellement	yeni	newly
nouvelles	xəbərlər	new
nouvellezélande	yeni zelandiya	new zealand
novak	novak	novak
novembre	noyabr	november
now	indi	now
noyau	əsas	heart
noyaux	ləpələr	kernels
noël	milad	christmas
nu	çılpaq	naked
nuage	bulud	cloud
nuages	buludlar	clouds
nucléaire	nüvə	nuclear
nucléaires	nüvə	nuclear
nuit	gecə	night
nuits	gecələr	nights
nul	heç biri	none
nulle	heç biri	zero
numidie	numidia	numidia
numérique	rəqəmsal	digital
numériques	rəqəmsal	numeric
numéro	nömrə	number
numéros	nömrələr	numbers
n°	n °	n°
né	doğulub	born
néanmoins	buna baxmayaraq	nevertheless
nécessaire	zəruri	necessary
nécessairement	mütləq	necessarily
nécessaires	zəruri	necessary
nécessitant	tələb edən	requiring
nécessite	tələb edir	needs
nécessitent	tələb edir	need
nécessité	zərurət	need
née	doğulub	born
néerlandais	xəndək	dutch
néerlandaise	xəndək	dutch
nées	doğulub	born
négatif	mənfi	negative
négatifs	mənfi	negative
négative	mənfi	if not
négatives	mənfi	negative
négligeable	əhəmiyyətsiz	negligible
négociations	danışıqlar	negociations
négocier	danışıqlar aparmaq	negociate
néolithique	neolitik	neolithic
nés	doğulub	born
nétaient	idi	weren't
nétait	idi	was only
nétant	olmaq	not being
o	o	o
oaci	oaci	icao
oasis	vahid	oasis
obama	obama	obama
objectif	qol	objective
objectifs	qollar	objectives
objet	obyekt	object
objets	obyektlər	items
obligations	istiqrazlar	obligations
obligatoire	məcburi	mandatory
oblige	borc verin	require
obligé	borcludur	obliged
observateurs	müşahidəçilər	observers
observation	müşahidə	observation
observations	müşahidələr	observations
observe	müşahidə etmək	observed
observer	müşahidə etmək	observe
observé	müşahidə olunur	observed
observée	müşahidə olunur	observed
observées	müşahidə olunur	observed
observés	müşahidə olunur	observed
obsèques	cənazə	funeral
obtenir	almaq	obtaining
obtenu	var	obtained
obtenue	əldə edilmişdir	obtained
obtenus	əldə edilmişdir	acquired
obtiennent	almaq	obtain
obtient	əldə edir	obtains
obédiences	itaətkarlar	persuasions
occasion	fürsət	occasion
occasionnellement	ara-sıra	occasionally
occasions	hallar	opportunities
occident	qərb	occident
occidental	qərb	western
occidentale	qərb	western
occidentales	qərb	western
occidentaux	qərblilər	western
occupe	tutur	occupies
occupent	işğal etmək	occupy
occuper	işğal etmək	occupy
occupé	məşğuldur	occupies
occupée	məşğuldur	occupied
occupés	məşğuldur	occupied
octave	oktava	octavius
octobre	oktyabr	october
océanie	okeaniya	oceania
océanique	okean	oceanic
océans	okeanlar	oceans
offensive	təhqiramiz	offensive
offert	təklif etdi	offered
officiel	rəsmi	official
officielle	rəsmi	official
officiellement	rəsmi olaraq	officially
officielles	rəsmi	official
officiels	rəsmi	official
