$ tỉ	milijardu dolara	$ billion
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	island	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	iluzija	illusion
ilyich	ilyich	ilyich
im	ja sam	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	uticaj	impact
incoterm	inkoterm	incoterm
incoterms	inkotermi	(proper noun) incoterms
indian	indijski	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonezija	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	jona	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irska	ireland
irgun	irgun	irgun
irony	ironija	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	dizalica	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jaspis	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	traperice	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	dres	jersey
jerusalem	jerusalem	jerusalem
jesse	jesse	a name
jesus	jezus	chua jesus
jetstar	jetstar	jetstar
jewish	židovski	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	zglob	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	skok	jump
june	juna	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kafe	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalašnjikov	(proper noun) kalashnikov
kali	kalijuma	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kašmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kej	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	krema	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	deklaracija	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	bezvodni	rare
khang	khang	khang
khanh	khanh	khanh
khao	čežnja	desire
khay	pladanj	tray
khe	utor	chink
khem	khem	abstinence
khen	pohvale	praise
kheo	na štakama	kheo
khi	kada je	when
khieu	ne razumijem	(proper noun) khieu, as in khieu samphan
khiêm	skroman	khiem
khiên	štit	a shield
khiêu	erotski	"('khiêu dâm"") pornographic"
khiếm	oslabljen	lack
khiến	uzrok	control
khiếp	prestravljen	horrible
khiếu	kućica	talent (n.)
khiển	kontrola	control
khleang	khleang	kh'leang
kho	skladište	warehouse
khoa	fakultet	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	bušilica	drill
khoang	šupljina	brag
khoanh	zazvoni	a slice (n.)
khoe	hvalisanje	to boast
khoá	zaključati	lock
khoác	kaput	coat
khoán	zaliha	stock
khoáng	mineralnim	mineral
khoát	definitivno	decisive
khoét	rez	carve
khoăn	bijes	disturbed
khoả	gola	naked
khoản	predmet	an item (n.)
khoảng	cca	about
khoảnh	na trenutke	moment
khoẻ	dobro	health
khrushchev	hruščov	khrushchev
khrushchyov	hhrushchyov	khrushchyov
khu	četvrtine	section
khung	okviri	frame
khural	khural	khural
khuynh	levo	trend
khuyên	savjet	advise
khuyết	neispravan	lack
khuyển	pas	khuyen
khuất	skriveno	hidden
khuấy	promešao	stir
khuẩn	bakterija	bacteria
khuếch	pojačati	amplification
khuỷu	lakat	elbow
khá	radije	quite
khác	drugo	different
khách	gost	customer
khái	konceptualni	concept
khám	ispitivanje	discover
khán	publika	audience
kháng	otpor	appeal
khánh	nezavisnost	a type of chime made of stone (n.)
khát	žedan	to be thirsty for (adj.)
khâm	khâm	admire
khèn	jao	a pan-pipe (n.)
khéo	genijalan	cleverly or skillfully (adv.)
khép	zatvoriti	close
khía	zarez	"(term should be ""khía cạnh"") angle (n.)"
khích	ohrabruju	encourage
khít	zatvoriti	close
khó	teško	difficulty
khóa	zaključati	a session
khóc	plakati	cry
khói	dim	smoke
khóm	ananas	a cluster
khô	osušene	dry
khôn	mudar	clever, intelligent
không	nije	not
khúc	segment	song
khăm	loše miriše	nasty (adj.)
khăn	ručnik	difficult
khơi	offshore	sea
khư	khư	grip
khưu	khưu	khuu
khước	zanijekati	waive
khả	mogućnost	"(term should be ""khả năng"") ability (n.)"
khải	otkrivenje	triumph
khảm	mozaik	to encrust
khảo	ispitivanje	"(term should be ""tham khảo"") to consult (v.)"
khấm	probijen	endure
khấn	moli se	pray
khấu	popust	"(term should be ""sân khấu"") a stage (n.)"
khẩn	hitno	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	zarez	moment
khắp	svuda	all over
khẳng	potvrdan	"(term should be ""khẳng định"") to assert (v.)"
khế	zvjezdasto voće	bond
khỉ	majmun	monkey or ape (n.)
khỏa	gola	nude
khỏe	jak	health
khỏi	iz	leave
khố	lančić	loincloths
khốc	strašno	devastating
khối	nivo stepena	a block or mass of (n.)
khốn	kopile	miserable
khống	khong	control
khổ	patnja	miserable (adj.)
khổng	džinovski	huge
khởi	inicira	start
khủng	strašno	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	kopile	elbow
khứu	pastel	olfactory
khử	eliminisati	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	da	other
kid	dijete	kid
kiel	kila	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometara	kilometer
kim	kim	kim
kingdom	kraljevstvo	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	poljubac	kiss
kissinger	kissinger	kissinger
kitts	mačići	kitts
kitô	hrišćanin	christian
kiêm	sperma	cum
kiên	pacijent	consistent
kiêng	uzdržati se	abstinence, as in abstaining from eating
kiêu	arogantan	showy
kiếp	životni vek	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	alkalni	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	ček	control
kiểu	tip	type
kiệm	ekonomičan	save
kiện	tužiti	event (su kien)
kiệt	remek-djelo	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilometar	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kung fu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuvajt	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	u prilogu	included
kèn	truba	horn
kém	najmanje	less
kén	kokon	selective
kéo	povuci	scissors
kép	dual	dual
két	sefovi	"(term should be ""rốc két"") rocket (n.)"
kê	proso	statistics
kênh	kanali	channel
kêu	sondiranje	appeal
kìa	evo	that
kìm	kliješta	bar
kình	naočala	rivalry
kí	znak	sign
kích	klikni	excite
kíchbom	klikni gumb	bombers
kín	privatni	secretive or closed tight (adj.)
kính	naočala	respect
kíp	posada	esoterica
kít	vriskano	wheelbarrow
ký	znak	"(""nhật ký"") a diary"
kĩ	pažljivo	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	slatkiš	candy
kẹp	isječak	to clamp down (v.)
kẹt	zaglavili	jam
kẻ	momci	guy
kẻo	da ne	lest
kẽ	međuprostor	crevice
kẽm	cink	zinc
kế	sljedeći	a scheme (n.)
kết	kraj	combine
kề	susedni	adjacent
kềnh	glomazan	bulky
kệ	police	ignore
kỉ	veka	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	konjica	ki
kịp	zadržati	kip
kỵ	konjica	taboo
kỷ	veka	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etiketa	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hibridni	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	zemljište	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	posteljina	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	krug	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	latinski	latin
latvia	latvia	(proper noun) latvia
lau	obrišite	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	lorancija	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	ležati	lay
lazarus	lazarus	(proper noun) lazarus
leach	pijavica	(proper noun) leach
leaf	list	leaf
leave	otići	leave
lebanon	libanon	(proper noun) lebanon
lee	lee	lee
legacy	nasljeđe	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenins	lenin's
leo	penjati se	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libija	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	munje	lightning
lilly	ljiljan	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	linkovi	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisbon	a name
litva	litvanija	(proper noun) lithuania
liu	liu	liu
liêm	integritet	good example
liên	poduhvat	relate
liêng	sveto	sacred
liêu	birokratija	bureaucracy
liềm	srp	sickle
liều	doza	daring
liễu	vrba	a willow tree (n.)
liệng	baciti	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	paraliza	impotent
liệu	da li	document
lleyton	lleyton	lleyton
lo	brini	to worry (v.)
loa	govore	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	gladak	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	zaključan	(proper noun) lockheed, as in lockheed martin
log	zapisnik	log
logan	logan	a name
lon	može	lon
london	london	london
long	dugo	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	ljubav	yeu
loài	vrsta	species
loát	blistav	overturn
loãng	isprano	wishy-washy
loét	čir	gaping, as in a wound
loại	vrsta	type
loạianh	tip	not a word
loạianime	upišite anime	type anime
loạibệnh	vrsta bolesti	disease
loạichiến	tip	loaichien
loạicác	tip	item
loạicâu	tip	type: club
loạicông	tip	type: industry
loạicựu	tip	kind former
loạigia	tip	loaigia
loạihuân	kindhuan	not a word
loạiluật	vrsta zakona	type: law
loạimáy	vrsta mašine	kind plane
loạimôn	tip	type
loạingày	otkucajte ovo	loaingay
loạiphim	vrsta filma	type movie
loạiphong	tip	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	vrsta zakona	type: lexicon
loạithành	tip	kinds of payment
loạithần	tip	kind myth
loạitrường	vrsta škole	type of school
loạitín	ljubazan	type: belief
loạitổ	tip	kind organization
loạivõ	tip tip	type: martial art
loạixã	tip	kind of society
loạn	poremećaj	disorderly
loạt	serija	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	nazad	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	pluća	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luksemburg	a name
luy	luy	luy
luyến	prilog	love
luyện	trening	training
luận	komentiraj	"(term should be ""xã luận"") an editorial"
luật	zakon	law
luồn	navojnim	wriggle
luồng	potok	lane
luộc	kuhana	boiled
luỹ	kumulativno	rampart (n.)
ly	stakla	divorce
lydia	lidija	lydia
lympho	limfom	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	bio	the verb to be
làm	učiniti	make
làn	traka	wave
làng	selo	village
lành	ozdravio	protestant
lào	laos	laos
lá	lišće	"(term should be ""lá thư"") a letter (n.)"
lác	škljocanje	brag
lách	slezina	to swerve (v.)
lái	pogon	to drive (v.)
lán	drvo	shack
láng	sjajan	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	jednorog	nearby
lâu	dugo	long time
lây	zarazni	to infect
lãi	kamate	a profit
lãm	pokazuje	exhibition
lãnh	primljeni	to receive
lão	stari	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	skliznuti	sneak
lê	kruška	le
lêmạc	svjetlost	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	gore	on
lênh	naredba	"(should be ""lênh đênh"") adrift"
lênin	lenjin	lenin
lìa	otići	to leave (v.)
lình	odjednom	suddenly
lí	skladištenje	reason
lính	vojnik	soldier
lít	litra	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	pećnica	release
lòng	zgnječiti	heart
lóc	snakehead	cry
lóe	blistao	flash
lóng	sleng	"entire term should be ""tieng long""; means ""slang"""
lót	podstava	undies
lô	puno	batch
lôi	greška	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	kosa	hair
lõi	jezgra	core
lõm	konkavno	concave
lùi	unazad	back
lùn	kratko	dwarf
lùng	loviti	hunt
lúa	neolušan	rice
lúc	u	at the moment
lún	propadanje	subside
lúng	flare	confused
lúp	povećalo	uneven
lút	podmukao	surreptitiously
lăm	pet	tens
lăn	kotrljanje	attack
lăng	mauzolej	tomb
lĩnh	domene	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	poplava	a band or gang (n.)
lũng	dolina	valley
lũy	kumulativno	rampart
lơ	zanemarivanje	to ignore
lơi	otpustiti	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	kadionica	an urn
lưng	nazad	back
lươn	jegulja	eel
lương	plata	conscience
lưới	rešetka	a net (n.)
lướt	surfanje	ski
lười	lijen	lazy
lưỡi	jezik	tongue
lưỡng	biseksualan	"(term should be ""lưỡng tính"") bisexual"
lược	češalj	invasion
lượm	okupiti	pick up
lượn	klizanje	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	čudno	strange or unusual (adj.)
lạc	izgubljen	camel
lạch	potok	"(term should be ""luồng lạch"") a narrow water passageway"
lại	opet	reversed
lạn	trulo	bright
lạng	lang	lang
lạp	kobasica	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	prostran	kowtow
lấn	posezanje	to encroach on (v.)
lấp	ispuniti	sparkle
lấy	birati	taken
lầm	pogrešno	wrong
lần	puta	time
lầu	kat	a story or level of a building (n.)
lầy	močvarna	swamp
lẩu	hot pot	hotpot
lẩy	skok	get
lẫn	zbunjen	each other
lẫy	pinča	illustrious
lận	varati	fraudulent
lật	okreni	turn
lậy	o da	"(term should be ""cai lậy"") the name of a rural district"
lắc	protresti	to shake (v.)
lắm	vrlo	do
lắng	podmiriti se	"(should be ""lo lắ́́ng"") to worry"
lắp	dolikuje	lap
lặng	tiho	quiet
lặp	ponovite	repeat
lặt	razno	means miscellaneous, part of the word lat vat
lẹ	brzo	quickly (adv.)
lẻ	čudno	"(the term should be ""bán lẻ"") retail"
lẻn	prikrasti se	sneak
lẻo	labav	climb
lề	marža	alignment
lều	šator	tent
lễ	ceremonija	ceremony
lệ	stopa	"(term should be ""tỷ lệ"") probability (n.)"
lệch	kosina	difference
lệnh	comeinand	command
lị	dizenterija	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalendara	history
lọc	filter	tricked
lọi	škljocanje	brilliant
lọng	suncobran	rope
lọt	pad	enter
lỏi	obloga	to enter
lỏng	labav	loose
lố	preko	ridiculous
lốc	vrtlog	tornado
lối	ulaz	way or path
lốp	guma	tyre
lốt	obličje	lolot
lồ	džinovski	giant
lồi	konveksna	convex
lồng	kavez	cage
lỗ	rupa	hole
lộc	bogatstvo	loc
lội	plivati	wade
lộn	okrenuta	wrong/mistake
lộng	prekrasna	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	skinuti se	exploit
lớn	veliki	large
lớp	klasa	grade (n.)
lờ	ignoriraj	turbid
lời	reč	advice
lở	nedostajati	to crack
lỡ	nedostajati	miss
lợi	profit	benefit
lợn	svinja	pig
lợp	krovište	roof
lụa	svila	silk
lục	zeleno	record
lụi	izgorela	ruin
lụt	nadvladati	flood
lụy	implikacije	consequence
lứa	leglo	peer
lừa	trik	mislead
lừng	slavna	well-known
lửng	jazavac	lơ lửng= not clear/ something in between
lự	neodlučan	reluctant
lựa	odabrano	chosen
lựu	šipak	grenade
ma	duh	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	makarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	makedonija	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	makromedija	macromedia
madeira	madeira	madeira
madhouse	ludnica	madhouse
madison	madison	madison
madonna	madona	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafija	mafia
magiê	magnezijum	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	krov	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	glavni	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	malay	malaysia
malaysia	malezija	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	nosi	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	karte	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	maraton	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmerada	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	maršal	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	prostirka	mat
mathematica	matematika	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	prostirke	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	brzo	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maksima	a name
may	šiti	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	mediji	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	messenger	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesija	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	mikro	micro
microbiology	mikrobiologija	microbiology
microeconomics	mikroekonomija	microeconomics
micronesia	mikronezija	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	mlin	mill
miller	mlinar	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	mirage	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	misfits	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnoza	mien
miêu	mačka	"(term should be ""miêu tả"") to describe (v.)"
miến	rezanci od riže	burma
miếng	komada	a piece (n.)
miếu	hram	temple
miền	domen	area
miễn	izuzeti	to exempt (v.)
miện	kruna	crown
miệng	usta	mouth
mm	mm	millimeter
mobile	mobilni	mobile
mode	režimu	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	novo	winkle
molecular	molekularni	molecular
molotov	molotov	molotov
molypden	molibden	the element molybdenum (n.)
mongolia	mongolija	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	crna gora	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	maroko	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moskva	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
