+	+ +	plus sign
ลำดับ	ক্রম	order, sequence
ลำดับพระปฐมวงศ์ในพระบรมราชวงศ์จักรี	চাকরী রাজবংশে জেনেসিসের আদেশ	order of the kings
ลำดับพระมหากษัตริย์ไทย	থাই রাজার আদেশ	the order of the kings of thailand
ลำตัว	ট্রাঙ্ক	body
ลำลูกกา	লাম লুক কা	lumlookka - a location in thailand
ลำลูกกาคลอง	লাম লুক কা খাল	lum luk kak klong
ลำไส้เล็ก	ক্ষুদ্রান্ত্র	small intestine
ลิง	বানর	monkey
ลิซท์	liszt	(franz) liszt
ลิปปี	ঠোঁট বছর	rippi - a surname
ลิพิด	লিপিড	lipid
ลิฟวิ่งมอลล์	লিভিং মল	living mall
ลิเก	বাদ্যযন্ত্র লোকনাটক	like
ลิเทียม	লিথিয়াম	lithium
ลีกคัพ	লীগ কাপ	league cup
ลีซอ	lisu,	lisu
ลีเมอร์	লেমুর	lemur
ลี้	লি	lee, a district in lumpoon province.
ลี้สุวรรณ	লি সুয়ান	lisuwan
ลุงบุญมีระลึกชาติ	চাচা বুনমি স্মরণকারী জাতির	uncle boonmee who can recall his past lives
ลูกปัด	গুটিকা	beads
ลูกสาว	কন্যা	daughter
ลูกอม	মিছরি	candies
ลูกอัณฑะ	অণ্ডকোষ	testis
ลูซิเฟอร์	শয়তান	lucifer
ลูน่า	লুনা	luna
ล่าทา	শিকার	lata
ล่ำซำ	পিণ্ড	lumsum
ล้อม	কাছাকাছি	lom
ล้อแม็กซ์อัลลอยขนาด	খাদ চাকা, আকার	alloy wheel
วง	লুপ	band
วงจรไฟฟ้า	বৈদ্যুতিক বর্তনী	electrical circuit
วงดนตรี	দল	band
วงศ์กำแหง	পরিবার	wongkumhang - surname of a famous singer
วงศ์ถั่ว	বাদাম পরিবার	fabaceae
วงศ์ปลากดทะเล	ফিশ পরিবার	ariidae
วงศ์ปลากะรัง	গ্রাউপার	serranidae family
วงศ์ปลายอดม่วง	ওং প্লা ইয়ট মুয়াং	tonguefish
วงศ์ปลาหลังเขียว	সবুজ মাছ	clupeidae - a type of fish
วงศ์ปลาเนื้ออ่อน	cichlid	siluridae
วงศ์ปลาเสือตอ	বাঘের মাছের পরিবার	datnioididae
วงศ์พัวพันธ์	ওয়াংপুয়া ফান	wongpourpan
วงศ์วิริยะ	wiriya	vongsiriya - a surname
วงศ์เทวัญ	পরিবার	wongthewan
วงศ์แคหางค่าง	ওয়াং খা হ্যাং কং	plants in kae-hang-kang family
วงษ์คำเหลา	ওং খাম লাও	wongkamlao
วงเงิน	সীমা	budget
วงเวียน	ঘুরা	circle
วงแหวน	রিং	ring form, circle form
วชิรบรรจง	wachirabanjong	wachibanjong
วทบ	ডিডি	bachelor of science
วนอุทยานถ้ำจัน	থম চ্যান ফরেস্ট পার্ক	tham chan forest park
วนิดา	wanida	wanida - the name of a drama
วร	wor	won
วรรณกรรม	সাহিত্য	literature
วรรณสุทธิ์	wannasut	wannasut - surname of an actress
วรรธนพิสิฐกุล	ওয়াথন ফিসিটকুন	wanthanaphisitkun
วรัทยา	warutya	varattaya (first name)
วว	dd	office of ____________
วอก	বানর	wok
วองโกเล่แฟมิลี	ভঙ্গোলা পরিবার	vongola family
วอชิงตัน	ওয়াশিংটন	washington
วอลท์	ওয়াল্ট	walt
วอล์ค	ওয়াক	walk
วะสี	wasi থেকে	wasee
วัง	প্রাসাদ	palace
วังจันทร์	ওয়াং চান	wang-chan
วังสระปทุม	শ্রা পাঠুম প্রাসাদ	srapathum palace
วังสะพุง	ওয়াং সাফং	wang saphung
วังหลัง	প্রাসাদ	wang lang
วังหิน	স্টোন প্রাসাদ	rock castle
วัชรพล	watcharapol	watcharapol supermarket
วัฒนชัย	watthanachai	wattanachai - a surname
วัฒนธรรม	সংস্কৃতি	culture
วัฒนวิทูกูร	wattanawitkun	watthanawithukun
วัฒนา	wattana	wattana
วัดกลาง	মাঝারি মন্দির	wat klang
วัดป่าเลไลยก์วรวิหาร	ওয়াট প লেলাই ওরাভিহান	wat palaylay
วัดพระธาตุดอยสุเทพราชวรวิหาร	ওয়াট ফরা সেই দোই সুথেপ, রছাওরাভিহান	wat pratatdoisuthep rachavoravihan - the temple erected on top of doi suthep in northern thailand
วัดพระฝางสวางคบุรีมุนีนาถ	ওয়াট ফরা ফাং সংখাবুরি মুনিনাত	prhafangsawangkaburimuninat temple
วัดพระมหาธาตุวรมหาวิหาร	ওয়াট ফরা মহাঘাট ওড়ামাহাবিহার্ন	wat phramahathat woramahawihan
วัดพระยืนพุทธบาทยุคล	ওয়াট ফেরা ইউয়েন ফুট্টায়খোন	the standing buddha temple of puttabatyukol
วัดพระลอย	ফরা লোই মন্দির	wat phra loi
วัดพระศรีรัตนมหาธาตุ	ওয়াট ফরা সি রতানা মাহাঘাট	wat phra si rattana mahathat
วัดพระเชตุพนวิมลมังคลารามราชวรมหาวิหาร	ওয়াট ফেরা চেতুফোন বিমোলম্যাংকলারাম রতচোওরমাহাবিহান	wat pra chetpnvimolmungklaramrajavoramahavihan
วัดระฆังโฆสิตาราม	রাখংকোষারাম মন্দির	wat rakang kositaram (name of temple)
วัดสองพี่น้อง	গান ফি নং মন্দির	two siblings temple
วัดสุทัศนเทพวรารามราชวรมหาวิหาร	সুথাসন থেপ ওয়াররাম মন্দির	wat sutatthepvararamrajavorimahavihan - a temple in thailand
วัดหนองเพียร	নং ফিয়ান মন্দির	wat nong pien - a temple in thailand
วัดหน้าพระธาตุ	না ফরা সেই মন্দির	wat na pra tat - a buddhist temple
วัดเจดีย์หลวง	চেদি লুয়াং মন্দির	wat pagoda
วัดโพธิ์	ওয়াট ফোও	wat po - a thai temple
วัตต์	ত্তঅট্	watt
วัตสัน	ওয়াটসন	watson
วัน	দিন	day
วันชัย	চা wan	wanchai - a male's name
วันที่ขึ้นเครื่องหมาย	সাইন ডেট	excluding dividend day
วันที่ออกอากาศชื่อตอนแขกรับเชิญ	সম্প্রচারের তারিখ, পর্বের নাম, অতিথির উপস্থিতি	when the invitation comes out
วันที่เข้าฉาย	মুক্তির তারিখ	release date
วันนี้ที่รอคอย	আজ অপেক্ষা করছি	the day that one has been waiting for
วันพฤหัสบดี	বৃহস্পতিবার	thursday
วันพุธ	বুধবার	wednesday
วันมหาสงกรานต์	মহা সনংকরণ দিবস	songkran day
วันละ	এক দিন	per day
วันศุกร์	শুক্রবার	friday
วันสงกรานต์	সনংকরণ দিবস	songkran day
วันสำคัญ	গুরুত্বপূর্ণ দিন	important day
วันสำคัญทางพุทธศาสนา	গুরুত্বপূর্ণ বৌদ্ধ দিবস	buddhist holidays
วันหยุดราชการ	সরকারী ছুটি	national holiday
วันอังคาร	মঙ্গলবার	tuesday
วันอาทิตย์	রবিবার	sunday
วันอาสาฬหบูชา	আসনাহা বুচা	asalha puja
วันเกิด	জন্মদিন	birthday
วันเสาร์	শনিবার	saturday
วันแรม	দিন	the phase of the moon
วัย	বুড়া	age
วัลลิโภดม	walliphodom	wanliphodom
วัสดุฟิสไซล์	ফিসিল উপাদান	fissile material
วานูอาตู	ভানুয়াতু	vanuatu, australia
วารินชำราบ	warinchamrap	warinchamrap
วาลคิรี	ভ্যাল্কিরি	valkyrie - angel that helped in valhalla war
วาลีน	ভ্যালিন	valine - a type of protein
วาเรีย	varia	varia
วาเลนไทน์	ভ্যালেন্টাইন্স	valentine
วาไรตี้	বৈচিত্র্য	variety
วิกตอร์	বিজেতা	victor
วิคตอเรีย	ভিক্টোরিয়া	victoria
วิจัย	গবেষণা	investigate, study
วิจิตรศิลป์	চারুকলা	fine art
วิชาการ	একাডেমিক	academic
วิชาการคอม	একাডেমিক কম্পিউটার	vcharkarn.com
วิชิต	wichit	wichit - a male's name
วิญญาณ	আত্মা	soul
วิฑูรย์	নীলা	witoon
วิดีโอเกม	ভিডিও গেম	video game
วิตามินอี	ভিটামিন ই	vitamin e
วิทยาการคอมพิวเตอร์	কম্পিউটার বিজ্ঞান	computer courses
วิทยาการระบาด	মহামারী-সংক্রান্ত বিদ্যা	epidemiology
วิทยาลัยการจัดการเพื่อการพัฒนา	কলেজ অব ম্যানেজমেন্ট ফর ডেভলপমেন্ট	management for development college
วิทยาลัยการบริหารรัฐกิจ	জন প্রশাসন কলেজ	management college
วิทยาลัยครูสวนสุนันทา	সুন সুনন্ধ শিক্ষক কলেজ	soun sunanta teachers college
วิทยาลัยดุริยางคศิลป์	সংগীত কলেজ	college of music
วิทยาลัยนวัตกรรมและการจัดการ	কলেজ অফ ইনোভেশন অ্যান্ড ম্যানেজমেন্ট	the college specialized in arts
วิทยาลัยพยาบาลกองทัพเรือ	নেভাল নার্সিং কলেজ	royal thai navy college of nursing
วิทยาลัยพยาบาลบรมราชชนนี	বোরোমারাজোনানী নার্সিং কলেজ	nursing university of barom raj chonnani
วิทยาลัยพาณิชยศาสตร์	কমার্স কলেজ	panitsat university
วิทยาลัยวิชาการศึกษา	কলেজের শিক্ষা	college of education
วิทยาลัยเทคนิคธนบุรี	থোনবাড়ী টেকনিক্যাল কলেজ	king mongkut's university of technology thonburi
วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า	ফ্রেমংকুটকলও মেডিসিন কলেজ	phramongkutklao college of medicine
วิทยาศาสตรมหาบัณฑิต	বিজ্ঞানে স্নাতকোত্তর	master of science
วิทยาศาสตร์สุขภาพ	স্বাস্থ্য বিজ্ঞান	health science
วิทยาศาสตร์และเทคโนโลยี	বিজ্ঞান ও প্রযুক্তি	science and technology
วิทยาเขต	বিদ্যায়তন	campus
วิทยาเขตกาญจนบุรี	কাঞ্চনবাড়ী ক্যাম্পাস	kanchanaburi college
วิทยาเขตนครศรีธรรมราช	নাখোঁ সি থমমারত ক্যাম্পাস	nakhon si thammarat campus
วิทยาเขตพิษณุโลก	ফিতসানুলোক ক্যাম্পাস	pissanulok college
วิทยาเขตสารสนเทศเพชรบุรี	ফেচবাড়ী তথ্য প্রযুক্তি ক্যাম্পাস	information technology college of petchaburi
วิทยาเขตสุพรรณบุรี	সুফানবাড়ি ক্যাম্পাস	suphanburi campus
วิทยาเขตสุรินทร์	সুরিন ক্যাম্পাস	surin university
วิทยาเขตหนองคาย	নং খাই ক্যাম্পাস	nong kai university
วิทยาเขตเฉลิมพระเกียรติ	চালোম ফ্রেকিয়াত ক্যাম্পাস	vittaya kat chalerm pra kiet - a location at kasetsat university in thailand
วิทยุ	রেডিও	radio
วิธีการหาความสัมพันธ์	সম্পর্ক কীভাবে সন্ধান করবেন	formula for the correlation coefficient
วินชี	ভিঞ্চি	vinci
วินัย	শৃঙ্খলা	manners
วินเนอร์	বিজয়ী	winner
วิบูลย์	বিদায়	wibul - a male's name
วิมเบิลดัน	উইম্বলডন	wimbledon
วิลลี่	উইলি	willy
วิลเลจ	গ্রাম	village
วิลเลียม	উইলিয়াম	williams
วิลเลี่ยม	উইলিয়াম	william
วิวัฒนาการ	বিবর্তন	evolution
วิวัฒน์	গজান	produce, making up, invent
วิวัฒน์เกียรติ	উইওয়াত কিয়াত	wiwatkiat
วิศว	প্রকৌশল	engineering
วิศวกร	প্রকৌশলী	engineer
วิศวกรรมวัสดุ	উপাদান প্রকৌশল	material engineering
วิศวกรรมสิ่งแวดล้อม	পরিবেশ প্রকৌশল	environmental engineering
วิศวกรรมเครื่องกล	যন্ত্র প্রকৌশল	engineering
วิศวกรรมไฟฟ้า	বৈদ্যুতিক প্রকৌশলী	electrical engineering
วิสา	wisisa	wisa
วิสูตร	লক্ষণ	wisut
วิหาร	আশ্রয়স্থল	vihara
วิเศษ	জাদু	wiset
วิเศษแก้ว	যাদু গ্লাস	visetkeaw - surname of a singer
วิโนทัย	vinothai	winothai
วีดีโอ	ভিডিও	video
วีดีโอเกม	ভিডিও গেম	video game
วีรบุรุษ	বীর	hero
วีระ	ভীরা	veera
วีระยุทธ	wirayut	werayut - a male's name
วีออส	vios	vios
วุฒิสภา	ব্যবস্থাপক সভা	senate
วุฒิเมธี	wuttimethi	wuttimethi - a surname
ว้าวุ่น	বিভ্রান্ত	wawun
ศ	অধ্যাপক	a thai alphabet
ศร	তীর	arrow
ศรชัย	sornchai	sornchai - a male's name
ศรายุทธ	sarayuth	sarayut - a male's name
ศรีนครินทร์	srinakarin	srinakarin
ศรีนวล	srinual	sinuan
ศรีบุญเรือง	শ্রী বুনরুয়াং	si bun rueang
ศรีประจวบ	সি প্রছুয়াপ	siprachuap
ศรีปาน	শ্রী প্যান	sri pan - a surname
ศรีมะฆะ	শ্রী মাখা	sirimaka - a thai name
ศรียาภัย	sriyapai	siyaphai
ศรีสวัสดิ์	srisawat	srisawat -  a surname
ศรีสำโรง	সি সমরং	si samrong
ศรีเมือง	শ্রী মুয়াং	srimuang
ศรีไพร	শ্রী ফ্রেই	sri prai - a name
ศรเพชร	হীরার তীর	sonpet
ศศิธร	sasithorn	sasitorn - a females name
ศักดิ์ศรี	প্রতিপত্তি	dignity
ศักย์ไฟฟ้า	বৈদ্যুতিক সম্ভাব্য	electric potential
ศัพท์	পরিভাষা	vocabulary
ศาลชั้นต้น	জন আদালত	curcuit court
ศาลหลักเมือง	নগর স্তম্ভ শ্রীন	the old court house
ศาลเจ้าพ่อหลักเมือง	নগর স্তম্ভ শ্রীন	the city's god
ศาสตราจารย์	অধ্যাপক	professor
ศาสนา	ধর্ম	religion
ศาสนาพราหมณ์ฮินดู	হিন্দুধর্ম	hindu religion
ศาสนาฮินดู	হিন্দুধর্ম	hinduism
ศาสนาโซโรอัสเตอร์	জরইস্ত্রিয়ানিজিম	zoroastrianism
ศิริวรรณ	siriwan	siriwan - a female's name
ศิลปอาชา	আর্ট আরচা	silpa-archa
ศิลปะ	শিল্প	arts
ศิลปะการแสดง	সম্পাদনা শিল্প	performing arts
ศิลปะลพบุรี	আর্ট লোপবুড়ি	lopburi art
ศิลปะศรีวิชัย	শ্রবিজয় আর্ট	arts from sri vi chai province
ศิลปะเขมร	খেমার আর্ট	cambodian arts
ศิลปะเครื่องปั้นดินเผา	মৃৎশিল্প	pottery art
ศิลปะเชียงแสน	চিয়াং সেন আর্ট	chaingsan art
ศิลปินแห่งชาติ	জাতীয় শিল্পী	national artist
ศิลป์	শিল্প	silpa
ศิษย์เก่าคณะมนุษยศาสตร์	মানবিক অনুষদ প্রাক্তন ছাত্র	former humanity student
ศิษย์เก่าคณะรัฐศาสตร์	রাষ্ট্রবিজ্ঞান অনুষদ প্রাক্তন ছাত্র	faculty of political science alumni
ศิษย์เก่าคณะเศรษฐศาสตร์	অর্থনীতি অনুষদ প্রাক্তন ছাত্র	economics alumni
ศีรษะ	মাথা	head
ศึกนันทบุเรง	নানতাবুরেং যুদ্ধ	suknuntabureng -  a war in thailand
ศึกษาศาสตร์	শিক্ষা	field of education
ศุกลวัฒน์	sukonwat	sukolawat (a person's name)
ศุภกิจ	supakit	supphakit
ศุภณัฐ	suphanat	supanat (first name)
ศูนย์	কেন্দ্র	center
ศูนย์การค้า	দোকান পাট	shopping center
ศูนย์การบินทหารบก	আর্মি এভিয়েশন সেন্টার	marine forces
ศูนย์การศึกษาแม่ฮ่องสอน	ম্য হং পুত্র শিক্ষা কেন্দ্র	maehongsorn learning center
ศูนย์คอมพิวเตอร์	কম্পিউটার কেন্দ্র	computer center
ศูนย์ค้าส่ง	পাইকারী কেন্দ্র	wholesale center
ศูนย์บริการวิชาการ	একাডেমিক পরিষেবা কেন্দ্র	academic service center
ศูนย์ภาษา	ভাষা কেন্দ্র	language center
ศูนย์รังสิต	রঙসিট সেন্টার	rangsit university center
ศูนย์ลำปาง	লামপাং কেন্দ্র	lampang center
ศูนย์แพทยศาสตรศึกษาชั้นคลินิก	ক্লিনিকাল মেডিসিন শিক্ষা কেন্দ্র	medical education center
สก	স্ক্রু	abbreviation of two letters
สกว	trf	trf
สกอ	স্কটল্যান্ড	office of higher education commission
สกอตแลนด์	স্কটল্যান্ড	scotland
สกาย	আকাশ	sky
สกุล	পরিবার	sakun
สกุลหยาดน้ำค้าง	sundew	d. etrythrorhiza - a type of plant
สกุลเพชรหึง	petcheng	grammatophyllum
สควอโล่	squalo	squalo
สงคราม	যুদ্ধ	war
สงครามครูเสด	ধর্মযুদ্ধ	crusades war
สงครามมหาเอเชียบูรพา	গ্রেট ইস্ট এশিয়া যুদ্ধ war	world war two
สงครามอวกาศ	মহাকাশ যুদ্ধ	space war
สงครามเกาหลี	কোরিয়ান যুদ্ধ	korean war
สงครามเย็น	ঠান্ডা মাথার যুদ্ধ	cold war
สง่าพล	মার্জিত	sangapol - a thai surname
สด	তাজা	fresh
สตรอเบอรี่	স্ট্রবেরি	strawberry
สตรีวิทยา	তেজস্ক্রিয়তা সংক্রান্ত বিজ্ঞান	satriwithaya
สติปัญญา	বুদ্ধিমত্তা	intelligence
สตึก	satuek	satuek (name of district)
สตูดิโอ	স্টুডিও	studio
สถานที่ท่องเที่ยวทางธรรมชาติ	প্রাকৃতিক আকর্ষণ	natural attraction
สถานะ	অবস্থা	status
สถานีคาราวาน	কারওয়ান স্টেশন	caravan station
สถานีวิทยุโทรทัศน์ไทยทีวีสีช่อง	রঙিন টিভি চ্যানেল সহ থাই টেলিভিশন স্টেশনগুলি	thai television station number _____
สถานีโทรทัศน์ไทยพีบีเอส	থাই পিবিএস টেলিভিশন স্টেশন	thai public broadcasting service
สถาบัน	প্রতিষ্ঠান	office, department
สถาบันการศึกษา	শিক্ষা প্রতিষ্ঠান	educational institution
สถาบันบัณฑิตพัฒนบริหารศาสตร์	জাতীয় উন্নয়ন প্রশাসন ইনস্টিটিউট	satabunbunthitpakanabarihansart - a university in thailand, as known as nida
สถาบันพระบรมราชชนก	রয়েল ইনস্টিটিউট	red cross department
สถาบันวิจัยจุฬาภรณ์	ছুলাভর্ন গবেষণা ইনস্টিটিউট	julapon academy
สถาบันวิจัยและพัฒนา	গবেষণা এবং উন্নয়ন ইনস্টিটিউট	reseach and development institution
สถาบันศูนย์และหน่วยงานในมหาวิทยาลัย	বিশ্ববিদ্যালয়গুলিতে প্রতিষ্ঠান, কেন্দ্র এবং বিভাগসমূহ	current faculties/college/school/institutes
สถาบันสมทบ	সহযোগী প্রতিষ্ঠান	affiliated institute
สถาบันอาชีวศึกษา	ভোকেশনাল ইনস্টিটিউট	ahchevasuksa academy
สถาบันอุดมศึกษา	উচ্চ শিক্ষা প্রতিষ্ঠান	higher education institute
สถาบันเทคโนโลยีนานาชาติสิรินธร	সিরিন্ডহর্ন ইন্টারন্যাশনাল ইনস্টিটিউট অফ টেকনোলজি	sirindhorn international institute of technology
สถาบันเทคโนโลยีพระจอมเกล้า	কিং মংকুট ইনস্টিটিউট অফ টেকনোলজি	king mongkut's institute of technology
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง	কিং মংকুটের ইনস্টিটিউট অফ টেকনোলজি লাদকরাবাং	king mongkut's institute of technology ladkrabang
สถาบันเทคโนโลยีราชมงคล	রাজমঙ্গলা ইনস্টিটিউট অফ টেকনোলজি	rajamangala university of technology
สถาบันโภชนาการ	পুষ্টি ইনস্টিটিউট	institute of nutrition
สถาปนิก	স্থপতি	architect
สถาปัตยกรรมไทย	থাই আর্কিটেকচার	architecture of thailand
สถิติศาสตร์	পরিসংখ্যান	statistic
สธ	হেলায়	two letters from thai alphabets
สนธยา	গোধূলি	twilight
สนธิ	মোড়	sonti - a male's name
สนธิไชย	sonthichai	sontichai
สนามกีฬากลาง	কেন্দ্রীয় স্টেডিয়াম	main athletic field
สนามชัยเขต	সানাম চই খেত	sanamchaikate - a location in thailand
สนามฟุตบอล	ফুটবল মাঠ	football field
สนามแม่เหล็ก	চৌম্বক ক্ষেত্র	magnetic field
สนามไฟฟ้า	বৈদ্যুতিক ক্ষেত্র	electric field
สนิทวงศ์	সনিত ওয়াং	there are families.
สนิม	মরিচা	rust
สนเกรวิลเลีย	পাইন আঙ্গুর	grevilea - family of 250 types of plants
สปริงฟิลด์	স্প্রিংফিল্ড	springfield
สปรินเตอร์	স্প্রিন্টার	sprinter
สปาร์ค	স্ফুলিঙ্গ	spark
สพ	ফটকা খেলা	oc
สภานิติบัญญัติแห่งชาติ	জাতীয় আইনসভা	national diet
สภาผู้แทนนิสิต	ছাত্র প্রতিনিধি পরিষদ	college student representatives
สภาพอากาศ	আবহাওয়া	weather conditions
สมจิตต์	somchit	somjit - a female's name
สมจิตร	somchit	somjit
สมชัย	সোমচাই	somchai
สมชาย	সোমচাই	somchai - a male's name
สมภพ	জন্ম	sompob
สมศรี	somsri	somsi
สมศักดิ์	somsak	somsak
สมัคร	প্রয়োগ করা	samak
สมัย	কাল	era
สมัยกรุงธนบุรี	থোনবুরি পিরিয়ড	thonburi era
สมัยก่อนประวัติศาสตร์	প্রাগৈতিহাসিক কাল	prehistory
สมัยที่	কখন	term
สมัยรัชกาลที่	রাজত্ব	in the reign of
สมัยสุโขทัย	সুখোঠাই পিরিয়ড	sukothai era
สมัยอาณานิคมฝรั่งเศส	ফরাসী .পনিবেশিক সময়কাল	modern france
สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้	দক্ষিণ পূর্ব এশীয় নেশনস অ্যাসোসিয়েশন	association of south east asian nations (asean)
สมาชิกรับเชิญตอนพิเศษ	সদস্যদের বিশেষ পর্বে আমন্ত্রণ জানিয়েছে	special guests
สมาชิกฤดูกาลที่	মরসুমের সদস্যরা	member of the parliament
สมุทวณิช	samutavanich	samudavanija
สมเด็จ	তার মহিমা	your highness
สมเด็จพระนางเจ้ารำไพพรรณี	রানী রামভাই বার্নি	queen rambhai barni
สมเด็จพระนางเจ้าสิริกิติ์	রানী সিরিকিত	queen sirikit
สมเด็จพระนางเจ้าฯ	তার মহিমা	the queen of thailand
สมเด็จพระบรมราชาที่	রাজা	king
สมเด็จพระบรมโอรสาธิราช	ক্রাউন প্রিন্স	his highness, royal crowned prince
สมเด็จพระบรมโอรสาธิราชฯ	ক্রাউন প্রিন্স	the crown prince of thailand
สมเด็จพระมหิตลาธิเบศร	সোমদেট ফেরা মাহিডল লতিবেস	somdet phra mahitra thibet
สมเด็จพระรามาธิบดีที่	রাজা রামঠীবোদি	som dej pra rama tippadee #_____ , number of the king
สมเด็จพระศรีนครินทราบรมราชชนนี	এইচআরএইচ রাজকুমারী মহা চকরি সিরিন্ডহর্ন	queen sirikit
สมเด็จพระอนุชาธิราช	সোমদেজ অনুচাতিরাত	som dej pra ah nu cha thi raj - a famous royalty in thailand a long time ago
สมเด็จพระเจ้ากรุงธนบุรี	ক্রুং থন বুড়ি	the king of the thonburi kingdom
สมเด็จพระเจ้าภคินีเธอ	তার রাজকীয় মাননীয়	the king's sister, som dej pra jao pakini ther
สมเด็จพระเจ้าลูกเธอ	তার রাজকীয় মাননীয়	the king's daughter, the princess
สยามดารา	সিয়াম দারা	siam stars
สยามบรมราชกุมารี	শ্যামদেশ	the current king's eldest daughter, the eldest princess
สยามพารากอน	সিয়াম প্যারাগন	siam paragon
สร	সৃষ্টি	abbreviation for the royalties' accessories
สรรพสินค้า	ডিপার্টমেন্ট স্টোর	department store
สราวุธ	sarawut	sarawut
สร้าง	সৃষ্টি	build
สลักใจ	ইমপ্রেস	salakchai
สวนดุสิตโพล	সুয়ান দুসিত পোল	suan dusit poll
สวนผึ้ง	সুয়ান ফুয়েং	bee garden
สวนสมเด็จพระศรีนครินทร์	সোমদেট ফেরা শ্রীনগরিন্দ্র পার্ক	pra sri nakarin - a king of thailand
สวรรคต	মারা গেছেন	die
สวรรคตหรือ	মারা গেছে	die or ___________
สวรรคโลก	sawankhalok	heaven on earth
สวัสดิ์	sawat	sawat - a male's name
สวัสดีปีใหม่	শুভ নব বর্ষ	happy new year
สวิตเซอร์แลนด์	সুইজর্লণ্ড	switzerland
สวี	সংকলনের	sawi
สส	গোপন	representatives
สหพันธ์สาธารณรัฐเยอรมนี	গণপ্রজাতন্তী জার্মানি	germany
สหรัฐอาหรับเอมิเรตส์	সংযুক্ত আরব আমিরাত	arab emirate
สหรัฐอเมริกา	আমাদের.	america, usa
สหราชอาณาจักร	যুক্তরাজ্য	united kingdom
สหวงษ์	sahawong	sawong - a male's name
สองสาย	দুটি তার	double-stranded
สอยดาว	আপারকাট	soidao
สะดวก	সহজ	convenient
สะตอ	সাতো	sator
สะล้อ	ব্রেক	salao
สะเดา	নিম	neem, a type of plant
สัจธรรม	সত্য	normal truth; common knowledge
สัญญา	চুক্তি	sanya
สัญลักษณ์ประจำมหาวิทยาลัย	বিশ্ববিদ্যালয়ের লোগো	logo of the university
สัดส่วน	অনুপাত	ratio
สัตว์	পশু	animal
สัตว์มีกระดูกสันหลัง	মেরুদন্ডী	vertebrate animals
สัตว์มีแกนสันหลัง	কণ্টক	chordata
สัตว์เลี้ยงลูกด้วยน้ำนม	স্তন্যপায়ী প্রাণী	mammal
สัตว์เลื้อยคลาน	সরীসৃপ	reptile
สัตว์เลื้อยคลานในอันดับนี้	সরীসৃপ এই পদে	reptile in this order
สัทศาสตร์	ধ্বনিবিজ্ঞান	phonetics
สันติ	শান্তি	peace
สันติสุข	শান্তি	santi suk
สัมผัสนอก	বাহ্যিক ছড়া	outside touch
สัมพันธ์	সম্পর্ক	relationship
สัมมา	অধিকার	summa - the buddhist prayer often starts with this
สาขา	শাখা	office location
สาขานครราชสีมา	নাখন রতচসীমা শাখা	nakhon ratchasima branch
สาขานครสวรรค์	নাখন সাওয়ান শাখা	nakhon sawan branch
สาขานิเทศศาสตร์	যোগাযোগ শিল্প	faculty of communication arts
สาขาประจวบคีรีขันธ์	প্রকুয়াপ খিরি খান শাখা	prachuap khiri khan branch
สาขาปราจีนบุรี	প্রতিনবাড়ি শাখা	pracheenburi branch
สาขาพิษณุโลก	ফিতসানুলোক শাখা	pisanulok location
สาขามนุษยศาสตร์	মানবিক	humanities
สาขาย่อย	সাব শাখা	offices
สาขาลำปาง	লামপাং শাখা	lumpang location
สาขาวิชานิติศาสตร์	আইন বিভাগ	law department
สาขาวิชาบริหารธุรกิจ	ব্যবসায় প্রশাসন প্রোগ্রাম	business administration program
สาขาวิชารัฐประศาสนศาสตร์	জন প্রশাসন বিভাগ	local government
สาขาวิชาวิทยาการคอมพิวเตอร์	কম্পিউটার বিজ্ঞান প্রোগ্রাম	school of computer science
สาขาวิชาวิศวกรรมคอมพิวเตอร์	কম্পিউটার প্রকৌশল	computer engineering
สาขาวิชาวิศวกรรมอาหาร	খাদ্য প্রকৌশল	food engineering
สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์	বৈদ্যুতিন প্রকৌশল প্রোগ্রাম	major electronic engineering
สาขาวิชาศิลปอุตสาหกรรม	শিল্প বিভাগ	arts department
สาขาวิชาเคมี	রসায়ন বিভাগ	department of chemistry
สาขาวิชาเทคโนโลยีชีวภาพ	বায়োটেকনোলজি প্রোগ্রাম	department of biotechnology
สาขาวิชาเศรษฐศาสตร์	অর্থনীতি	finance department
สาขาศิลปะสถาปัตยกรรม	আর্ট আর্কিটেকচার	art and architecture branch
สาขาสมุย	সামুই শাখা	smui branch
สาขาหัวหิน	হুয়া হিন শাখা	hoa hin branch
สาครสินธุ์	সাকর্ন সিন	sakornsin - a surname
สาทร	sathorn	sathon
สาธารณรัฐประชาชนจีน	গণপ্রজাতন্ত্রী চীন সরকার	people's republic of china
สาธารณรัฐออสเตรีย	অস্ট্রিয়া প্রজাতন্ত্র	republic of austria
สาธารณรัฐอินโดนีเซีย	ইন্দোনেশিয়া প্রজাতন্ত্র	republic of indonesia
สาธารณรัฐเช็ก	চেক প্রজাতন্ত্র	czech republic
สาธารณรัฐโดมินิกัน	ডোমিনিকান প্রজাতন্ত্র	republic dominican
สานติวัตร	santiwat	santiwat
สามก๊ก	তিনটি রাজ্য	three kingdom 'sam kok' - a thai legend
