$	$ $	(dollar sign)
lantisémitisme	lantisemitismo	antisemitism
lapartheid	lapartheid	apartheid
lapin	conejo	rabbit
lapocalypse	apocalipsis	apocalypse
lapogée	apedreado	the peak
lappareil	el dispositivo	device
lapparence	apariencia	appearance
lapparition	la apariencia	emergence
lappartement	piso	apartment
lappel	la llamada	the call
lappellation	el nombre	lappellation
lapplication	la aplicación	application
lapport	la contribución	the contribution
lapprentissage	aprendiendo	the learning
lapproche	el enfoque	the coming
lappui	apoyo	support
laprèsguerre	la posguerra	the post-war
laquelle	cuál	which
larabe	árabe	arab
larabie	arabia	arabia
larbitre	el árbitro	judge
larc	larc	larc
larchipel	archipiélago	archipelago
larchitecte	el arquitecto	architect
larchitecture	arquitectura	l'architecture = architecture
large	amplia	large
largement	ampliamente	vastly
largent	dinero	the money
largentine	argentina	argentina
larges	amplia	large
largeur	ancho	width
laristocratie	la aristocracia	the aristocraty
larme	rasgar	tear
larmement	entre lágrimas	the armament
larmée	ejercito	the army
larménie	larenia	armenia
larrestation	arresto	larrestation
larrivée	la llegada	arrival
larrière	volver	back
larry	larry	larry
larrêt	parar	stopping
lars	lars	lars
lart	arte	the art
larticle	el articulo	the article
lartisanat	embarcaciones	crafts
lartiste	el artista	the artist
las	cansado	tried
lascension	el ascenso	ascent
laser	laser	laser
lasie	lasia	asia
laspect	el aspecto	appearance
lassassinat	asesinato	the murder
lassemblée	la asamblea	assembly
lassociation	la asociación	association
last	último	last
latelier	taller	workshop
latin	latín	latin
latine	latín	latin
latins	latín	latin
latitude	latitud	latitude
latlantique	el atlántico	the antlantique
latmosphère	el ambiente	atmosphere
latome	latome	the atom
lattaque	el ataque	the attack
lattentat	el ataque	the attack
lattention	atencion	the attention
lattitude	actitud	attitude
laube	madrugada	dawn
laudience	audiencia	the audience
laugmentation	aumentar	the upturn
laurait	lo haría	might
laurence	laurence	laurence
laurent	laurent	laurent
laurie	laurie	laurie
laustralie	australia	australia
lauteur	autor	about the author
lautisme	autismo	lautisme
lautomne	el otoño	autumn
lautomobile	el automovil	automotive
lautonomie	autonomía	the autonomy
lautorisation	autorización	the prior
lautorité	la autoridad	the authority
lautoroute	la carretera	the highway
lautre	el otro	the other
lautriche	austria	lautriche
lavait	estaba lavando	translating
lavance	adelantar	the advance
lavancée	avanzado	the break-through
lavant	lavado	lavant
lavantage	la ventaja	lavantage
lave	lavado	lava
lavenir	futuro	the future
laventure	aventura	the adventure
lavenue	avenida	the avenue
laviation	aviación	aviation
lavion	el avion	the plane
lavis	lavar	advice
lavocat	aguacate	advocate
lavoir	casa de lavado	to have
lavènement	el advenimiento	the advent
law	ley	law
lawrence	lawrence	lawrence
laxe	flojo	the axis
laéroport	el aeropuerto	airport
laïque	secular	secular
le	el	the
leader	líder	leader
leaders	líderes	chef
league	liga	league
leau	agua	water
lecteur	lector	reader
lecteurs	lectores	readers
lecture	lectura	reading
lectures	lecturas	readings
led	llevado	led
lee	lee	lee
leffet	el efecto	leffet
lefficacité	eficiencia	efficiency
leffigie	leffigie	effigy
leffondrement	el colapso	the collapse
leffort	el esfuerzo	the effort
leipzig	leipzig	leipzig
lembouchure	la boca	mouth
lempereur	el emperador	lempereur
lempire	el imperio	the empire
lemplacement	la ubicacion	the location
lemploi	empleo	employment
lemporte	prevalece	outweigh
len	len	len
lencontre	encuentro	towards
lencyclopédie	enciclopedia	the encyclopedia
lendemain	dia siguiente	next day
lendroit	el lugar	probed
lenfance	infancia	the childhood
lenfant	niño	the child
lenfer	el infierno	hell
lengagement	compromiso	involvement
lennemi	el enemigo	the ennemy
lennon	lennon	lennon
lenquête	la encuesta	investigation
lenregistrement	grabacion	recording
lenseignement	enseñanza	teaching
lensemble	el todo	lensemble
lent	lento	slow
lente	lento	slow
lentement	lentamente	slowly
lentourage	lentourage	entourage
lentraîneur	el entrenador	coach
lentreprise	la compañia	company
lentretien	la entrevista	the interview
lentrée	la entrada	entrance
lenvironnement	el medio ambiente	environment
lenvoi	enviando	sending
leo	leo	leo
leonard	leonard	leonard
leonardo	leonardo	leonardo
lequel	cual	which
les	el	the
lesclavage	esclavitud	the slavery
lespace	espacio	the space
lespagne	españa	lespagne
lespagnol	espanol	spanish language
lespoir	esperanza	the hope
lesprit	el espiritu	spirit
lespèce	la especie	case
lespérance	esperanza	lesperance
lesquelles	cual	including
lesquels	cual	which
lessence	gasolina	essence
lessentiel	lo esencial	essential
lessor	arrendador	lessor
lest	lastre	the east
lesthétique	estética	the aesthetic
let	dejar	let
lettre	carta	lettre
lettres	cartas	letters
leucémie	leucemia	leukemia
leur	su	their
leuro	euro	the euro
leurope	europa	europe
leurs	su	their
lever	elevar	lift
levée	levantado	lifted
lewis	lewis	lewis
lexamen	el examen	the exam
lexception	la excepción	exception
lexemple	el ejemplo	the exemple
lexercice	hacer ejercicio	the exercise
lexil	lexil	exile
lexistence	existencia	the existence
lexpansion	expansión	expansion
lexplication	la explicacion	explanation
lexploitation	explotación	operation
lexplosion	la explosión	the explosion
lexportation	exportar	exports
lexposition	la exposición	fair
lexpression	la expresion	the expression
lexpédition	el envio	the expedition
lexpérience	la experiencia	experience
lextension	la extensión	extension
lextermination	el exterminio	extermination
lextrémité	el final	extremity
lextrême	extrema	extreme
lextérieur	el exterior	the exterior
lexécutif	el ejecutivo	the executive
lexécution	ejecución	performance
leçons	lecciones	lessons
lhabitat	habitat	housing
lhabitude	el habito	the habit
lharmattan	lharmattan	l'harmattan
lheure	la hora	time
lhindouisme	hinduismo	hinduism
lhistoire	historia	the history
lhistorien	historiador	ihistorien
lhiver	invierno	the winter
lhomme	el hombre	lhomme
lhomosexualité	homosexualidad	homosexuality
lhonneur	honor	ohim
lhorizon	el horizonte	lhorizon
lhuile	aceite	oil
lhumanité	la humanidad	humanity
lhumeur	humor	humor
lhumour	humor	humor
lhydrogène	hidrógeno	hydrogen
lhymne	himno	hymn
lhypothèse	la hipótesis	underlying hypothesis
lhémisphère	el hemisferio	hemisphere
lhéritage	herencia	lheritage
lhéroïne	heroína	heroin
lhôpital	el hospital	the hospital
lhôtel	el hotel	the hotel
liaison	fianza	linked
liaisons	conexiones	connections
liban	líbano	lebanon
liberty	libertad	liberty
liberté	libertad	freedom
libertés	libertades	freedoms
librairie	librería	book shop
libre	libre	free
librement	libremente	freely
libres	libre	free
libreéchange	libre comercio	free trade
libye	libia	libya
libéral	liberal	liberal
libérale	liberal	liberal
libéralisme	liberalismo	liberalism
libération	liberar	release
libéraux	liberales	liberals
libérer	liberar	liberate
libéré	liberado	frees
libérés	liberado	freed
licence	licencia	license
lidentification	identificación	identification
lidentité	identidad	caller id
lidéal	ideal	ultimately
lidée	la idea	the idea
lidéologie	ideologia	ideology
lie	mentir	dregs
lien	enlace	link
liens	vínculos	links
lieu	lugar	place
lieutenant	teniente	lieutenant
lieux	lugares	spaces
liga	liga	liga
light	luz	light
ligne	línea	line
lignes	lineas	lines
lignée	linaje	lineage
ligue	liga	league
like	como	like
liliade	liliad	iliad
lille	lille	lille
lillinois	lillinois	illinois
lillusion	ilusión	the illusion
limage	la foto	filing
limaginaire	imaginario	imaginary
limagination	imaginación	imagination
limitant	limitante	restricting
limitation	limitación	limitation
limite	límite	limit
limiter	límite	limit
limites	límites	limits (for first 2) limitations (for the administrative)
limitrophes	bordeando	neighboring
limité	limitado	limited
limitée	limitado	limited
limitées	limitado	limited
limmense	limmense	the large
limmeuble	el edificio	building
limmigration	inmigración	the immigration
limpact	impacto	the impact
limplantation	implantación	implantation
limportance	la importancia	significance
limpression	la impresion	impression
limprimerie	los trabajos de imprenta	the printing house
limpulsion	impulso	the impulse
limpératrice	cojear	limpératrice
limpôt	casa de impuestos	the tax
lincendie	el fuego	fire
lincident	el incidente	incident
lincoln	lincoln	lincoln
linconscient	inconsciente	the unconscious
linda	linda	linda
linde	pavo	india
lindice	el indice	index
lindique	indica	indicates
lindividu	el individuo	the person
lindonésie	indonesia	indonesia
lindustrialisation	industrializacion	industrialization
lindustrie	industria	industry
lindépendance	independencia	independence and ultimately
line	línea	line
linfection	infección	the infection
linflation	inflación	the inflation
linfluence	influencia	the influence
linformation	informacion	news
linformatique	informática	computer science
linguistique	lingüística	linguistic
linguistiques	lingüística	linguistics
linitiative	iniciativa	initiative
linjection	inyección	injection
linscription	registro	the enrolment
linsee	linsee	insee
linstallation	instalación	rise to power
linstant	ahora	instant
linstar	linstar	linstar
linstauration	el establecimiento	linstauration
linstitut	el instituto	institute
linstruction	instrucción	instruction
linstrument	el instrumento	instrument
linsurrection	insurrección	the insurrection
lintelligence	inteligencia	intelligence
lintensité	intensidad	then intensity
lintention	la intención	the intention
linteraction	interacción	interaction
linterdiction	prohibir	ban
linterface	la interfaz	the interface
lintermédiaire	el intermediario	the intermediary
linternational	internacional	international
linternet	el internet	the internet
linterprétation	interpretación	interpretation
lintervention	intervención	the intervention
lintrigue	la trama	the plot
lintroduction	introducción	fuel-efficient
lintégralité	todos	the whole
lintégration	integración	the consolidation
lintérieur	dentro	interior
lintérêt	interes	the interest
linux	linux	linux
linvasion	la invasión	the invasion
linvention	la invención	invention
linverse	el reverso	linverse
linvestissement	inversión	investment
linéaire	lineal	linear
lion	leon	lion
lionel	lionel	lionel
liphone	liphone	liphone
liquide	liquido	liquid
lirak	lirak	irak
liran	liran	liran
lire	leer	read
lirlande	irlanda	irelands
lirm	lirm	the mri
lisa	lisa	lisa
lisbonne	lisboa	lisboa
liseron	enredadera	bindweed
lislam	islam	lislam
lislande	lislande	island
lisle	lisle	lisle
lissue	el problema	lissue
liste	lista	list
listes	listas	lists
liszt	liszt	liszt
lit	cama	reads
litalie	italia	italia
litalien	italiano	italian
little	poco	little
littoral	costa	littoral
littéraire	literario	literary
littéraires	literario	literary
littéralement	literalmente	literally
littérature	literatura	literature
live	vivir	live
liverpool	liverpool	liverpool
livre	libro	book
livres	libros	books
livré	entregado	delivered
liège	corcho	liege
lié	atado	linked
liée	vinculado	linked
liées	relacionado	the idea
liés	relacionado	relevant
lloyd	lloyd	lloyd
lobjectif	el objetivo	goal
lobjet	el objeto	the object
lobligation	la obligación	the obligation
lobservation	observación	observation
lobservatoire	el observatorio	the observatory
lobésité	obesidad	obesity
local	local	local
locale	local	local
localement	localmente	locally
locales	local	local (plurel)
localisation	ubicación	location
locaux	local	premises
loccasion	la oportunidad	the occasion
loccident	locident	west
loccupation	ocupación	loccupation
loccurrence	ocurrencia	instance
locke	locke	locke (name)
locuteurs	altavoces	orators
locéan	océano	the ocean
lodyssée	lodyssey	the odyssey
loffensive	ofensivo	attack
loffice	la oficina	the office
loffre	la oferta	mix
loge	alojamiento	lodge
logement	vivienda	housing
logements	vivienda	housing
loges	logias	lodges
logiciel	software	software
logiciels	software	softwares
logique	lógico	logic
logiquement	lógicamente	rationally
logistique	logistica	logistic
logo	logo	logo
loi	ley	law
loin	lejos	far
loire	loira	loire
lois	leyes	laws
loisir	ocio	recreation
loisirs	aficiones	leisures
lol	lol	lol
lolympia	lolympia	he olympia
lolympique	lolimpico	lolympique
lom	lom	the marseille olympic team
lombre	sombra	the shadow
loms	loms	the world health organisation
lon	lon	is
london	londres	london
londres	londres	london
long	largo	a lot
longs	largo	long
longtemps	mucho tiempo	for a long time
longue	largo	long
longues	largo	long
longueur	longitud	length
longueurs	longitudes	longs
longévité	longevidad	longevity
lont	no	have it
lonu	lonu	un
look	mirar	look
lopen	lopen	lopen
lopinion	opinión	the opinion
lopposition	la oposicion	the opposition
lopposé	lo contrario	contrary
lopéra	opera	the opera
lopération	la operacion	the operation
lor	lor	lor
lorchestre	orquesta	orchestre
lord	señor	lord
lordinateur	la computadora	the computer
lordre	la orden	the order
lorgane	el organo	the organ
lorganisation	la organizacion	the organisation
lorganisme	el organismo	two words -> the organism
lorgasme	el orgasmo	orgasm
lorient	lorient	the east
lorientation	orientación	orientation
lorigine	el origen	origin
lorraine	lorena	lorraine
lors	cuando	then
lorsque	cuando	when
lorsquelle	cuando	lorsquelle
lorsquil	cuando	when it
lorsquils	cuando ellos	when they
lorsquon	cuando	when one
lorsquun	cuando uno	when a
lorsquune	cuando uno	when
lorthographe	ortografía	spelling of
los	los	los
loscar	loscar	the oscar
lost	perdido	lost
lot	mucho	batch
lotan	lotan	lotan
lou	lou	lou
louest	oeste	west
louis	louis	louis
louise	louise	louise
louisiane	luisiana	louisiana
louisnapoléon	louisnapoléon	louis-napoléon
loup	lobo	wolf
loups	lobos	wolves
lourd	pesado	heavy
lourde	pesado	heavy
lourdes	pesado	heavy
lourds	pesado	heavy
louverture	la apertura	the opening
louvrage	el libro	the work
louvre	lumbrera	louvre
love	amor	love
loxygène	oxigeno	the oxygen
lu	leer	read
luc	luc	luc
lucas	lucas	lucas
lucien	lucien	lucien
lucy	lucy	lucy
ludwig	ludwig	ludwig
lue	leer	read
luefa	luefa	l'uefa
lui	el	him
luimême	el mismo	himself
luis	luis	luis
lukraine	ucrania	lukraine
lumière	luz	light
lumières	luces	lights
lun	lun	one
lunaire	lunar	lunar
lunanimité	unanimidad	unanimously
lundertaker	lundertaker	the undertaker
lundi	lunes	monday
lune	luna	moon
lunesco	lunar	unesco
lunification	lunificación	the unification
lunion	lunion	union
lunique	caprichoso	the only
lunité	la unidad	unity
lunivers	el universo	the universe
luniversité	universidad	the university
lupus	lupus	lupus
lurss	lurss	the ussr
luruguay	uruguay	the uruguay
lus	leer	read
lusage	usar	use
luther	luther	luther
lutilisateur	el usuario	the user
lutilisation	usar	usage
lutte	lucha libre	battle
lutter	luchar	fight
luttes	luchas	fights
luxe	lujo	luxury
luxembourg	luxemburgo	luxembourg
lycée	escuela secundaria	lyceum
lycées	escuelas secundarias	high-school
lymphocytes	linfocitos	lymphocytes)
lynette	lynette	lynette
lyon	lyon	lyon
lyonnais	lyonnais	lyons
lyonnaise	lyonnaise	lyonnaise
lyrique	letra	lyric
lys	lirio	lily
là	ahi	there
lâge	edad	the age
lâme	alma	soul
lère	era	the era
lèvres	labios	lips
lécart	la brecha	aside
léchange	el intercambio	the exchange
léchec	fracaso	failure
léchelle	la escalera	the scale
lécole	escuela	the school
léconomie	economia	the economy
lécosse	escocia	scotland
lécran	la pantalla	screen
lécrit	escribe	written
lécriture	escritura	the writing
lécrivain	el escritor	the writer
lédifice	el edificio	building
léditeur	el editor	publisher
lédition	publicación	the edition
léducation	educacion	education
légal	legal	legal
légale	legal	legal
légalement	legalmente	legally
légales	legal	legal
légalité	legalidad	legally
légard	legard	consideration
légendaire	legendario	legendary
légende	leyenda	legend
légendes	leyendas	legends
léger	luz	light
légion	legion	legion
légions	legiones	legions
législatif	legislativo	legislative
législation	legislación	legislation
législations	legislaciones	legislations
législative	legislativo	legislative
législatives	legislativo	legislative
légitime	legítimo	legitimate
légitimité	legitimidad	legitimacy
léglise	la iglesia	the church
légumes	verduras	vegetables
légypte	egipto	egypt
légère	ligero	light
légèrement	ligeramente	slightly
lélaboration	desarrollo	development
lélection	la elección	election
lélectricité	electricidad	electricity
lélevage	cria	the livestock
lélimination	eliminación	elimination
lélite	elite	the elite
lélysée	lylysée	the elysee
lélément	el elemento	element
lémergence	emergencia	emergence
lémission	el show	the show
lénergie	energía	the energy
lénine	lenin	lenin
léolien	leoliano	wind power
léon	leon	léon
léonard	leonard	leonardo
léopold	leopold	leopold
lépisode	el episodio	episode
lépopée	la épica	epic
lépoque	el tiempo	age
lépouse	la esposa	lepouse
lépreuve	el juicio	test
lépée	la espada	sword
léquateur	ecuador	equator
léquilibre	balance	balance
léquipe	el equipo	the team
léquipement	equipo	equipment
léquivalent	el equivalente	equivalent
lésions	lesiones	lesions
létablissement	el establecimiento	establishment
létape	paso	stage or step
létat	el estado	state
létatmajor	letmajor	military staff
léthique	ética	the ethics
létoile	la estrella	l'etoile (no change as it is a place in paris)
létranger	el extraño	abroad
létude	estudiar	the study
lété	verano	summer
lévacuation	evacuación	the evacuation
lévaluation	evaluación	assessment
lévistrauss	levistrauss	levi-strauss
lévolution	evolución	evolution
lévrier	galgo	levrier
lévénement	el evento	the event
lévêque	obispo	bishop
lîle	la isla	island
lîledefrance	lîledefrance	ile-de-france
lœil	el ojo	eye
lœuvre	la obra	work
m	m	m
ma	mi	my
mac	mac	mac
machine	maquina	machine
machines	maquinaria	machine
macédoine	macedonia	macedonia
madagascar	madagascar	madagascar
madame	señora	madam
madeleine	madeleine	madeleine
madonna	madonna	madonna
madrid	madrid	madrid
mafia	mafia	mafia
magasin	tienda	shop
magasins	tiendas	shops
magazine	revista	magazine
magazines	revistas	magazines
maghreb	magreb	maghreb
magic	magia	magic
magie	magia	magic
magique	mágico	magic
magistrats	magistrados	magistrates
magma	magma	magma
magnifique	espléndido	beautiful
magnétique	magnético	magnetic
magnétiques	magnético	magnetic
magritte	magritte	magritte
mahomet	mahoma	muhammad
mai	mayo	may
maillot	camisa	shirt
main	mano	hand
maindœuvre	mano de obra	labour force
maine	maine	maine (place name)
mains	manos	hands
maintenance	mantenimiento	maintenance
maintenant	ahora	now
maintenir	mantener	maintain
maintenu	mantenido	maintained
maintien	mantenimiento	maintenance
maintient	mantiene	maintained
maire	alcalde	mayor
maires	alcaldes	mayors
mairie	ayuntamiento	town hall
mais	pero	but
maison	casa	house
maisons	casas	houses
majeur	mayor	major
majeure	mayor	major
majeures	mayor	major
majeurs	mayor	major
major	mayor	major
majoritaire	mayoría	majority
majoritairement	mayormente	majority
majoritaires	mayoría	majority
majorité	mayoría	majority
mal	mal	mal de gorge = sore throat
malade	enfermo	ill
malades	enfermo	sick
maladie	enfermedad	illness
maladies	enfermedades	diseases
malaise	malestar	discomfort
malaisie	malasia	malaysia
malaria	malaria	malaria
malgache	malgache	madagascan
malgré	a pesar de	in spite of
malheureusement	desgraciadamente	unhapilly
mali	mali	mali
malte	malta	malt
mammifères	mamíferos	mammals
man	hombre	man
management	gestión	management
manager	gerente	manager
manche	manga	handle
manchester	manchester	manchester
mandat	mandato	warrant
mandats	mandatos	mandates
mandela	mandela	mandela
manga	manga	an artistic style
mangas	manga	mangas
mangemorts	mortífagos	death-eater
manger	comer	eating
manhattan	manhattan	manhattan
manifestation	manifestación	demonstration
manifestations	eventos	events
manifeste	manifestar	manifest
manière	la manera	way
manières	modales	manners
mann	mann	mann
manne	ganancia inesperada	mayfly swarms
mannequin	modelo	model
manque	falta	misses
manson	manson	manson
manteau	abrigo	coat
manuel	manual	manual
manuscrit	manuscrito	manuscript
manuscrits	manuscritos	manuscripts
manœuvre	maniobra	maneuver
maori	maorí	maori
marais	pantano	marsh
marbre	marmol	marble
marc	marc	marc
marcel	marcel	marcel
marchand	comerciante	merchant
marchande	comerciante	merchant
marchandises	bienes	merchandises
marchands	comerciantes	merchants
marche	caminar	move
marcher	caminar	walk
marches	pasos	steps
marché	mercado	walking
marchés	mercados	procurement
marco	marco	marco
mardi	martes	tuesday
margaret	margaret	margaret
marge	margen	sidelines
marguerite	margarita	marguerite
mari	esposo	husband
maria	maria	maria
mariage	boda	marriage
mariages	bodas	weddings
marie	marie	maried (for presley) mary (for medicis)
marieantoinette	marryingoinette	marie-antoinette
marier	casarse	to get married
marilyn	marilyn	marilyn
marin	marinero	marin
marine	armada	navy
marines	infantes de marina	marine
marins	marineros	sailors
mario	mario	mario
marion	marion	marion
maritime	marítimo	maritime
maritimes	marítimo	maritime
marius	marius	marius
marié	marie	marie ( name )
mariée	casada	married
mark	marca	mark
marketing	comercialización	marketing
marley	marley	marley
maroc	marruecos	morocco
marocain	marroquí	maroccan
marocaine	marroquí	moroccan
marocains	marroquíes	moroccans
marquant	puntuación	marking
marque	marca	make
marquent	marca	mark
marquer	marca	integrate
marques	marcas	brands
marquis	marqués	marquis
marquise	marquesa	marquess
marqué	marcado	marked
marquée	marcado	marked
marquées	marcado	marked
marqués	marcado	marked
marrakech	marrakech	marrakech
mars	marzo	march
marseillais	marsella	marseille
marseillaise	marsellesa	marseille
marseille	marsella	marseilles
marshall	marshall	marshall
martiaux	marcial	martial
martienne	marciano	martian
martin	martin	martin
martinique	martinica	martinique
marty	marty	marty
marx	marx	marx
marxisme	marxismo	marxism
mary	maría	mary
maréchal	mariscal	marechal
masculin	masculino	male
masculine	masculino	male( for 1st) men (for the other 2)
masculins	hombre	males
masque	enmascarar	disguise
masques	mascaras	masks
massacre	masacre	massacre
massacres	masacres	slaughters
masse	masa	portion
masses	masas	crowd, group
massif	masivo	massif
massifs	masivo	massif
massinissa	massinissa	massinissa
massive	masivo	mass
massivement	masivamente	massively
mastoïdite	mastoiditis	mastodoitis
masturbation	la masturbación	masturbation
match	partido	match
matches	partidos	matches
matchs	partidos	matches
maternel	maternal	maternal
maternelle	jardín de infantes	maternal
mathieu	mathieu	mathieu
mathématicien	matemático	mathematician
mathématique	matemática	mathematical
mathématiques	matematicas	mathematical
matin	mañana	morning
matisse	matisse	matisse
matière	materia	material
matières	materiales	raw
matrice	matriz	matrix
matrix	matriz	matrix
matt	mate	matt
matthew	mateo	matthew
matthieu	mateo	matthieu
maturité	madurez	maturity
matériau	material	material
matériaux	materiales	materials
matériel	material	material
matérielle	material	material
matérielles	material	material
matériels	materiales	material
maupassant	gruñón	maupassant
maurice	mauricio	maurice
mauvais	mal	bad
mauvaise	mal	bad
mauvaises	mal	bad
maux	dolencias	aches
max	max	max
maximale	maximo	maximal
maxime	maxim	maxim
maximilien	maximiliano	maximilian
maximum	maximo	maximum
may	puede	may
maya	maya	maya
mayas	maya	mayan
mayer	mayer	mayer
mayotte	mayotte	mayotte
maçonnerie	albañilería	masonry
maçonnique	masónico	masonic
maçonniques	masónico	masonic
maître	maestro	master
maîtres	maestros	master
maîtresse	amante	mistress
maîtrise	dominio	mastery
maîtriser	dominar	bring under control
maïs	elote	corn
mc	mc	mc
mccartney	mccartney	mccartney
mcdonalds	mcdonalds	mcdonald's
mcmahon	mcmahon	mcmahon
me	yo	me
mecque	la meca	mecca
media	los medios	media
meilleur	mejor	best
meilleure	mejor	best
meilleures	mejor	best
meilleurs	mejor	better
melbourne	melbourne	melbourne
membrane	membrana	membrane
membre	miembro	member
membres	miembros	members
memorial	memorial	memorial
men	hombres	men
menace	amenaza	menace
menaces	amenazas	threats
menacé	amenazado	threatened
menacée	amenazado	threatened
menant	líder	leading
mener	conducir	lead
mental	mental	mantal
mentale	mental	mental
mention	mencionar	mention
mentionne	menciona	mentioned
mentionné	mencionado	mentioned
mené	llevado	led
menée	conducido	conducted
menées	llevado a cabo	conducted
menés	llevado	conducted
mer	mar	sea
mercredi	miercoles	wednesday
mercure	mercurio	mercury
mercury	mercurio	mercury
mercy	misericordia	mercy
mers	mares	seas
merveilles	maravillas	wonders
merveilleux	maravilloso	wonderful
mes	mi	my
mesrine	mesrina	mesrine
message	mensaje	message
messager	mensajero	messenger
messages	mensajes	messages
messe	masa	mass
messenger	mensajero	messenger
messi	messi	messi
mesure	medir	measure
mesurer	medir	mesures
mesures	medidas	measures
met	pone	puts
metal	metal	metal
metallica	metallica	metallica
mettant	poniendo	putting
mettent	poner	put
mettra	pondrá	will put
mettre	poner	put
metz	poner	metz
meurt	muere	dies
meurtre	asesinato	murder
mexicain	mexicano	mexican
mexicaine	mexicana	mexican
mexicains	mexicanos	mexicans
mexico	mexico	mexico
mexique	mexico	mexico
meyer	meyer	meyer
mi	mediados	my (in spanish)
miami	miami	miami
michael	michael	michael
michaels	michaels	(surname)
michel	michel	michel
michelange	michelange	michelangelo
michelle	michelle	michelle
michigan	michigan	michigan
michèle	michelle	michele
mick	mick	mick
mickey	mickey	mickey
microsoft	microsoft	microsoft
midi	mediodia	midi
mieux	mejor	better
migration	migración	migration
migrations	migraciones	migrations
mike	mike	mike
milan	milán	milan
miley	miley	miley
milieu	medio	ambience
milieux	fondos	environment
militaire	militar	military
militaires	militar	military
militants	activistas	activists
mille	mil	thousand
miller	molinero	miller
milliard	mil millones	billion
milliards	mil millones	billion
milliers	miles	thousands
million	millones	million
millions	millones	millions
millénaire	milenio	millenium
millésime	vintage	vintage
mine	la mia	mine
minerai	mena	mineral ore
mines	minas	mines
mineur	menor	minor
mineure	menor	minor
mineurs	menores	minors
mini	mini	mini
minimum	mínimo	minimum
ministre	ministro	minister
ministres	ministros	ministers
ministère	ministerio	department
minoritaire	minoría	minority
minoritaires	minoría	minority
minorité	minoría	minority
minorités	minorías	minority
minuit	medianoche	midnight
minute	minuto	minute
minutes	minutos	minutes
minéralogiques	mineralógico	vehicule registration (plate)
minéraux	minerales	minerals
miroir	espejo	mirror
mis	poner	put
mise	estaca	put
mises	estacas	put
miss	señorita	miss
missiles	misiles	missiles
mission	misión	mission
missionnaires	misioneros	missionaries
missions	misiones	missions
mississippi	mississippi	mississippi
misère	miseria	misery
misérables	miserable	miserable
mit	mit	mit
mitchell	mitchell	mitchell
mitigé	mezclado	mitigated
mitterrand	mitterrand	mitterrand
mixte	mezclado	mixed
miyazaki	miyazaki	miyazaki
miz	miz	(part of a sobriquet for a show name)
mobile	móvil	mobile
mobiles	móviles	mobile
mobilisation	movilización	mobilisation
mobilité	movilidad	mobility
modalités	términos	terms
mode	la moda	mode
moderne	moderno	modern
modernes	moderno	modern
modernisation	modernizacion	modernization
modernité	modernidad	modernity
modes	modos	modes
modeste	modesto	modest
modification	modificación	modification
modifications	cambios	modifications
modifie	modificar	modifies
modifier	editar	edit
modifié	modificado	changed (first and second) modification (last sentence)
modifiée	modificado	changed
modifiées	modificado	modified
module	módulo	module
modèle	modelo	model
modèles	modelos	models
modérée	moderado	moderate
mohamed	mohamed	muhammad
mohammed	mahoma	mohammed
moi	yo	me
moindre	menor	lesser
moine	monje	monk
moines	monjes	minks
moins	menos	least
mois	mes	months
moitié	medio	half
molaire	molar	molar
moldavie	moldavia	moldavia
molière	molière	moliere
moléculaire	molecular	molecular
molécule	molécula	molecule
molécules	moléculas	molecules
moment	momento	moment
momentlà	ahora	this moment
moments	momentos	moments
mon	mi	my
monaco	monaco	monaco
monarchie	monarquia	monarchy
monarque	monarca	monarch
monastère	monasterio	monastery
monastères	monasterios	monastery
monday	lunes	monday
monde	mundo	world
mondes	mundos	worlds
mondial	global	world
mondiale	mundo	world
mondialement	en todo el mundo	worldwide
mondiales	mundo	world
mondialisation	globalización	globalization
mondiaux	mundo	worldwide
monet	monet	monet
money	dinero	money
monica	monica	monica
monnaie	moneda	currency
monnaies	monedas	currency
monopole	monopolio	monopoly
monroe	monroe	monroe
monsieur	señor	sir
monster	monstruo	monster
monstre	monstruo	monster
mont	montar	mount
montage	montaje	assembly
montagne	montaña	montain
montagnes	montañas	mountains
montagneuses	montañoso	mountainous
montagneux	montañoso	mountain
montana	montana	montana
montant	cantidad	total sum
monte	subir	monte
montecarlo	montecarlo	monte-carlo
monter	subir	mount
montesquieu	montesquieu	montesquieu
montpellier	montpellier	montpellier
montrant	mostrando	showing
montre	reloj	to show
montrent	mostrar	show
montrer	mostrar	show
montré	reloj	shown
montréal	montreal	montreal
monts	montañas	mounts
monté	montado	rise
montée	escalar	rise
monument	monumento	building
monuments	monumentos	buildings
monétaire	monetario	monetary
moon	luna	moon
moore	moore	mauresque
moral	moraleja	morale
morale	moraleja	moral
morales	moraleja	moral
morceau	pieza	piece
morceaux	piezas	tracks
moreau	pieza	moreau
morgan	morgan	morgan
morphologie	morfología	morphology
morrison	morrison	john morrison
mort	muerto	dead
mortalité	mortalidad	death rate
morte	muerto	dead
morts	muerto	deads
mosaïque	mosaico	mosaic
moscou	moscú	moscow
mosquée	mezquita	mosque
mot	palabra	word
moteur	motor	motor
moteurs	motores	engine
motif	patrón	motive
motifs	patrones	reasons
motion	movimiento	motion
motivation	motivación	motive
motown	motown	motown
mots	palabras	words
moulin	molino	mill
moulins	molinos	windmills
mourir	morir	die
mourut	murió	died
mouvement	movimiento	movement
mouvements	movimientos	movements
moyen	medio	way
moyenne	promedio	average
