$ tỉ	milliárd dollár	$ billion
hớn	kiáltotta	"(term should be ""hớn hở"") radiant (adj.)"
hờn	duzzogó	hatred
hở	nyisd ki	reveal
hỡi	oi	dear
hợi	malac	pig (n.)
hợp	jól illeszkedik	appropriate
hợpquận	beleegyezés	general district
hụt	hiány	loss
hủi	leprás	reject
hủy	megszünteti	to erase or destroy
hứa	ígéret	promise
hử	huh	hu
hửu	huh	"(term should be ""sở hửu"") to own (v.)"
hữu	ingatlan	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ibériai-félsziget	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	izland	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illúzió	illusion
ilyich	iljics	ilyich
im	im	still
imam	imám	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	hatás	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indián	indian
indiana	indiana	indiana
indochina	indokína	indochina
indonesia	indonézia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	inzulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	nob	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	irán	the nation of iran
iraq	irak	iraq
ireland	írország	ireland
irgun	irgun	irgun
irony	irónia	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	iszlám	islam
islamabad	islamabad	(proper noun) islamabad
israeli	izraeli	israeli
istanbul	isztambul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jákób	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	január	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japán	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jáspis	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	farmer	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jerikó	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	csárda	(proper noun) jerry
jersey	jersey	jersey
jerusalem	jeruzsálem	jerusalem
jesse	jesse	a name
jesus	jézus	chua jesus
jetstar	tiger	jetstar
jewish	zsidó	jewish
jiao	jiao	jiao
jimmy	feszítővas	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	közös	joint
jonathan	jonatán	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	cselgáncs	judo, the martial art
julesverne	verne gyula	jules verne
julliard	julliard	(proper noun) julliard
jump	ugrás	jump
june	június	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	kálium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kambodzsa	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kandzsi	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karate	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kasmír	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukázus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	krém	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	nyilatkozat	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	száraz	rare
khang	khang	khang
khanh	khanh	khanh
khao	vágyakozás	desire
khay	tálca	tray
khe	rés	chink
khem	khem	abstinence
khen	dicséret	praise
kheo	gólyalábokon	kheo
khi	amikor az	when
khieu	nem értem	(proper noun) khieu, as in khieu samphan
khiêm	szerény	khiem
khiên	pajzs	a shield
khiêu	erotikus	"('khiêu dâm"") pornographic"
khiếm	károsodott	lack
khiến	ok	control
khiếp	rémült	horrible
khiếu	házikó	talent (n.)
khiển	ellenőrzés	control
khleang	khleang	kh'leang
kho	raktár	warehouse
khoa	kari	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	fúró	drill
khoang	üreg	brag
khoanh	kicsöng	a slice (n.)
khoe	dicsekvés	to boast
khoá	zár	lock
khoác	felöltő	coat
khoán	készlet	stock
khoáng	ásványi	mineral
khoát	végleges	decisive
khoét	vágott	carve
khoăn	ingerültség	disturbed
khoả	meztelen	naked
khoản	tétel	an item (n.)
khoảng	kb	about
khoảnh	pillanatok	moment
khoẻ	bírság	health
khrushchev	hruscsov	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	szállás	section
khung	keretek	frame
khural	khural	khural
khuynh	bal	trend
khuyên	tanács	advise
khuyết	hiányos	lack
khuyển	kutya	khuyen
khuất	rejtett	hidden
khuấy	kevert	stir
khuẩn	baktériumok	bacteria
khuếch	erősít	amplification
khuỷu	könyök	elbow
khá	inkább	quite
khác	egyéb	different
khách	vendég	customer
khái	fogalmi	concept
khám	vizsgálat	discover
khán	a közönség	audience
kháng	ellenállás	appeal
khánh	függetlenség	a type of chime made of stone (n.)
khát	szomjas	to be thirsty for (adj.)
khâm	kham	admire
khèn	jaj	a pan-pipe (n.)
khéo	ügyes	cleverly or skillfully (adv.)
khép	bezárás	close
khía	bemetszés	"(term should be ""khía cạnh"") angle (n.)"
khích	ösztönzése	encourage
khít	bezárás	close
khó	nehéz	difficulty
khóa	bezár	a session
khóc	kiáltás	cry
khói	füst	smoke
khóm	ananász	a cluster
khô	szárított	dry
khôn	bölcs	clever, intelligent
không	nem	not
khúc	szegmens	song
khăm	rosszul illatú	nasty (adj.)
khăn	törülköző	difficult
khơi	offshore	sea
khư	khu	grip
khưu	khưu	khuu
khước	tagadni	waive
khả	lehetőség	"(term should be ""khả năng"") ability (n.)"
khải	kinyilatkoztatás	triumph
khảm	mozaik-	to encrust
khảo	vizsgálat	"(term should be ""tham khảo"") to consult (v.)"
khấm	áttört	endure
khấn	imádkozik	pray
khấu	kedvezmény	"(term should be ""sân khấu"") a stage (n.)"
khẩn	sürgős	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	bemetszés	moment
khắp	mindenhol	all over
khẳng	igenlő	"(term should be ""khẳng định"") to assert (v.)"
khế	csillag gyümölcs	bond
khỉ	majom	monkey or ape (n.)
khỏa	meztelen	nude
khỏe	erős	health
khỏi	kívül	leave
khố	loincloth	loincloths
khốc	szörnyű	devastating
khối	évfolyam	a block or mass of (n.)
khốn	fattyú	miserable
khống	khong	control
khổ	szenvedő	miserable (adj.)
khổng	óriás	huge
khởi	beavatott	start
khủng	szörnyű	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	fattyú	elbow
khứu	pasztell	olfactory
khử	megszüntetése	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	hogy	other
kid	kölyök	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilométerre	kilometer
kim	kim	kim
kingdom	királyság	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	csók	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	keresztény	christian
kiêm	cum	cum
kiên	türelmes	consistent
kiêng	tartózkodik	abstinence, as in abstaining from eating
kiêu	arrogáns	showy
kiếp	élettartam	a lifetime (n.)
kiết	kiet	cheap (adj.)
kiềm	lúgos	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	jelölje be	control
kiểu	típus	type
kiệm	gazdaságos	save
kiện	perelni	event (su kien)
kiệt	mestermű	exhausted (adv.)
kiệu	gyaloghintó	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilométer	kilometer
knesset	izraeli parlament	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodói	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	korán	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	korona	koruna
kosovo	koszovó	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kreml	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulák	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuvait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyushu	kyushu, a japanese island
kèm	zárt	included
kèn	trombita	horn
kém	legkevésbé	less
kén	selyemgubó	selective
kéo	ellenállás	scissors
kép	dupla	dual
két	széfek	"(term should be ""rốc két"") rocket (n.)"
kê	köles	statistics
kênh	csatornák	channel
kêu	hangzó	appeal
kìa	íme	that
kìm	fogó	bar
kình	szemüveg	rivalry
kí	jel	sign
kích	kettyenés	excite
kíchbom	clickbutton	bombers
kín	magán	secretive or closed tight (adj.)
kính	szemüveg	respect
kíp	legénység	esoterica
kít	rikácsolta	wheelbarrow
ký	jel	"(""nhật ký"") a diary"
kĩ	gondosan	technique
kơnia	kaia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	cukorka	candy
kẹp	csipesz	to clamp down (v.)
kẹt	megragadt	jam
kẻ	fiúk	guy
kẻo	nehogy	lest
kẽ	közbenső	crevice
kẽm	cink	zinc
kế	következő	a scheme (n.)
kết	vég	combine
kề	szomszédos	adjacent
kềnh	terjedelmes	bulky
kệ	polcok	ignore
kỉ	század	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	lovasság	ki
kịp	tart	kip
kỵ	lovasság	taboo
kỷ	század	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	címke	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hibrid	"(term should be ""tương lai"") the future (n.)"
lam	elnáspángol	lam
lama	láma	a name
lan	lan	a name
land	föld	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	vászon	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tuberkulózis	labor
laos	laosz	(proper noun) laos
lap	öl	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lézer	laser
lateran	lateráni	lateran
latinh	latin	latin
latvia	lettország	(proper noun) latvia
lau	törlés	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	világi	lay
lazarus	lázár	(proper noun) lazarus
leach	átmosás	(proper noun) leach
leaf	levél növényen	leaf
leave	elhagy	leave
lebanon	libanon	(proper noun) lebanon
lee	lee	lee
legacy	örökség	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenin	lenin's
leo	mászik	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonyid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	líbia	libya
lido	strandfürdő	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	villám	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	linkek	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisboa	lisboa
lisbon	lisszabon	a name
litva	litvánia	(proper noun) lithuania
liu	liu	liu
liêm	sértetlenség	good example
liên	vállalkozás	relate
liêng	szentelt	sacred
liêu	bürokrácia	bureaucracy
liềm	sarló	sickle
liều	dózis	daring
liễu	fűzfa	a willow tree (n.)
liệng	dobás	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	bénulás	impotent
liệu	vajon	document
lleyton	lleyton	lleyton
lo	aggodalom	to worry (v.)
loa	beszél	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	sima	patchy
loch	tó	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	tud	lon
london	london	london
long	hosszú	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	világítónyílás autóhűtőn	(proper noun) louvre
love	szeretet	yeu
loài	faj	species
loát	feltűnő	overturn
loãng	híg	wishy-washy
loét	fekély	gaping, as in a wound
loại	faj	type
loạianh	típus	not a word
loạianime	írja be az anime-t	type anime
loạibệnh	a betegség típusa	disease
loạichiến	típus	loaichien
loạicác	típus	item
loạicâu	típus	type: club
loạicông	típus	type: industry
loạicựu	típus	kind former
loạigia	típus	loaigia
loạihuân	kindhuan	not a word
loạiluật	törvény típusa	type: law
loạimáy	gép típusa	kind plane
loạimôn	típus	type
loạingày	írja be ezt	loaingay
loạiphim	film típusa	type movie
loạiphong	típus	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	törvény típusa	type: lexicon
loạithành	típus	kinds of payment
loạithần	típus	kind myth
loạitrường	az iskola típusa	type of school
loạitín	kedves	type: belief
loạitổ	típus	kind organization
loạivõ	típus típusa	type: martial art
loạixã	típus	kind of society
loạn	rendellenesség	disorderly
loạt	sorozat	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	vissza	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	tüdő	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburg	a name
luy	luy	luy
luyến	mellékletet	love
luyện	kiképzés	training
luận	megjegyzés	"(term should be ""xã luận"") an editorial"
luật	törvény	law
luồn	csavarmenetes	wriggle
luồng	folyam	lane
luộc	főtt	boiled
luỹ	halmozott	rampart (n.)
ly	üveg	divorce
lydia	lydia	lydia
lympho	lymphoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	volt	the verb to be
làm	csinál	make
làn	sáv	wave
làng	falu	village
lành	gyógyult	protestant
lào	laosz	laos
lá	levelek	"(term should be ""lá thư"") a letter (n.)"
lác	kancsal	brag
lách	lép	to swerve (v.)
lái	hajtás	to drive (v.)
lán	kunyhó	shack
láng	fényes	neighbours
lâm	elnáspángol	lâm, a common vietnamese first name
lân	egyszarvú	nearby
lâu	hosszú	long time
lây	fertőző	to infect
lãi	érdeklődés	a profit
lãm	műsorok	exhibition
lãnh	kapott	to receive
lão	régi	old
lèo	oroszlán	"(term should be ""nước lèo"") broth (n.)"
lén	csúszás	sneak
lê	körte	le
lêmạc	fény	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	fel	on
lênh	parancs	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	elhagy	to leave (v.)
lình	hirtelen	suddenly
lí	tárolás	reason
lính	katona	soldier
lít	liter	litre
líu	turbékol	"(term should be ""dính líu"") to have a connection with"
lò	sütő	release
lòng	szétzúz	heart
lóc	kígyófej	cry
lóe	téffogatarányú	flash
lóng	szleng	"entire term should be ""tieng long""; means ""slang"""
lót	bélés	undies
lô	sok	batch
lôi	hiba	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	haj	hair
lõi	mag	core
lõm	homorú	concave
lùi	hátrafelé	back
lùn	rövid	dwarf
lùng	vadászat	hunt
lúa	hántolatlan rizs	rice
lúc	nál nél	at the moment
lún	lerakódás	subside
lúng	fellobbanás	confused
lúp	nagyító	uneven
lút	szolgai	surreptitiously
lăm	öt	tens
lăn	gördülő	attack
lăng	mauzóleum	tomb
lĩnh	domainek	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	árvíz	a band or gang (n.)
lũng	völgy	valley
lũy	halmozott	rampart
lơ	elhanyagolás	to ignore
lơi	fellazulnak	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	füstölő	an urn
lưng	vissza	back
lươn	angolna	eel
lương	fizetés	conscience
lưới	rács	a net (n.)
lướt	surfing	ski
lười	lusta	lazy
lưỡi	nyelv	tongue
lưỡng	biszexuális	"(term should be ""lưỡng tính"") bisexual"
lược	fésű	invasion
lượm	gyűjt	pick up
lượn	siklik	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	furcsa	strange or unusual (adj.)
lạc	elveszett	camel
lạch	patak	"(term should be ""luồng lạch"") a narrow water passageway"
lại	újra	reversed
lạn	rothadt	bright
lạng	lang	lang
lạp	kolbász	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	elterült	kowtow
lấn	beavatkozás	to encroach on (v.)
lấp	tölt	sparkle
lấy	szed	taken
lầm	rossz	wrong
lần	alkalommal	time
lầu	padló	a story or level of a building (n.)
lầy	mocsaras	swamp
lẩu	forró edény	hotpot
lẩy	ugrás	get
lẫn	zavaros	each other
lẫy	csipet	illustrious
lận	csal	fraudulent
lật	megfricskáz	turn
lậy	ó igen	"(term should be ""cai lậy"") the name of a rural district"
lắc	ráz	to shake (v.)
lắm	nagyon	do
lắng	hogy rendezze	"(should be ""lo lắ́́ng"") to worry"
lắp	szerelvény	lap
lặng	csendes	quiet
lặp	ismétlés	repeat
lặt	vegyes	means miscellaneous, part of the word lat vat
lẹ	gyors	quickly (adv.)
lẻ	páratlan	"(the term should be ""bán lẻ"") retail"
lẻn	settenkedik	sneak
lẻo	laza	climb
lề	árrés	alignment
lều	sátor	tent
lễ	szertartás	ceremony
lệ	mérték	"(term should be ""tỷ lệ"") probability (n.)"
lệch	ferde	difference
lệnh	comeinand	command
lị	vérhas	"(term should be ""tỉnh lị"") a township (n.)"
lịch	naptár	history
lọc	szűrő	tricked
lọi	kancsal	brilliant
lọng	napernyő	rope
lọt	esik	enter
lỏi	lint	to enter
lỏng	laza	loose
lố	felett	ridiculous
lốc	forgószél	tornado
lối	bejárat	way or path
lốp	gumi	tyre
lốt	látszat	lolot
lồ	óriás	giant
lồi	konvex	convex
lồng	ketrec	cage
lỗ	lyuk	hole
lộc	szerencse	loc
lội	úszás	wade
lộn	tükrözött	wrong/mistake
lộng	gyönyörű	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	vetkőzz le	exploit
lớn	nagy	large
lớp	osztály	grade (n.)
lờ	figyelmen kívül hagyni	turbid
lời	szó	advice
lở	hiányzik	to crack
lỡ	hiányzik	miss
lợi	nyereség	benefit
lợn	malac	pig
lợp	tetőszerkezet	roof
lụa	selyem	silk
lục	zöld	record
lụi	leégett	ruin
lụt	elborít	flood
lụy	következményei	consequence
lứa	szemét	peer
lừa	trükk	mislead
lừng	előkelő	well-known
lửng	borz	lơ lửng= not clear/ something in between
lự	habozó	reluctant
lựa	kiválasztott	chosen
lựu	gránátalma	grenade
ma	szellem	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedónia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madeira	madeira
madhouse	őrültek háza	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	maffia	mafia
magiê	magnézium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	tető	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	jelentősebb	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	maláj	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	málta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	visz	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	térképek	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	hajsütés	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	jachtkikötő	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	márton	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	lábtörlő	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	szőnyeg	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	gyorsan	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	alapelv	a name
may	varr	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	média	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvegyev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mengyelejev	mendeleev
menes	menesszel	(proper noun) menes
mercedes	mercedes	a name
messenger	hírnök	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messiás	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	micro	micro
microbiology	mikrobiológia	microbiology
microeconomics	mikroökonómia	microeconomics
micronesia	mikronézia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mikrofon	mike
mikoyan	mikojan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milánó	milan
milano	milano	milano
miley	miley	miley
mill	malom	mill
miller	molnár	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	délibáb	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	misfits	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnózis	mien
miêu	macska	"(term should be ""miêu tả"") to describe (v.)"
miến	rizstészta	burma
miếng	darabok	a piece (n.)
miếu	templom	temple
miền	tartomány	area
miễn	mentes	to exempt (v.)
miện	korona	crown
miệng	száj	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	mód	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohamed	mohammed
moi	új	winkle
molecular	molekuláris	molecular
molotov	molotov	molotov
