$	dollarni tashkil etadi	dollars
تبث	efirga uzatish	broadcast
تبدأ	boshlash	start
تبدو	qarang	seems
تبرز	ajralib turadi	shows
تبع	kuzatildi	followed
تبعا	bog&#39;liq holda	following
تبعد	uzoqda	about
تبقى	qoling	remains
تبلغ	hisobot	reached
تبنت	qabul qilingan	adopt
تبنى	asrab olish	adopting
تبني	asrab olish	adopting
تبوك	tabuk	tabook
تبين	aylanadi	have appeared
تتأثر	ta&#39;sir qilingan	affected by
تتألف	tarkibida	consists of
تتبع	kuzatish	follows
تتجاوز	ortiqcha	overpasses
تتجمع	majlis qiling	gather
تتجه	sarlavha	moves
تتحدث	u gaplashadi	talk about
تتحرك	harakatlanmoqda	move
تتحول	qayrilib olish	turn
تتخذ	oling	take
تتدخل	aralashadi	interferes
تتراوح	qator	varies
تتركز	konsentrlangan	concentrated
تتسبب	sabab	causes
تتسع	joylashtirishi mumkin	spread
تتسم	belgilangan	characterized by
تتشابه	o&#39;xshash	are similar
تتشكل	shakllangan	contitutes
تتصل	bog‘lash	communicate
تتضمن	o&#39;z ichiga oladi	include
تتطلب	talab qilish	require
تتطور	rivojlanmoq	development
تتعامل	biznes bilan shug&#39;ullaning	deal
تتعرض	fosh qilingan	exposed to
تتعلق	bog&#39;liq	related
تتغذى	ular ovqatlantiradilar	feeds
تتغير	o&#39;zgartirish	change
تتكون	tuzilgan	includes
تتم	bajarildi	done
تتمتع	rohatlaning	enjoys
تتمثل	bu	represented
تتمكن	siz .. qila olasiz; siz ... mumkin	was able to
تتميز	bilan tavsiflanadi	differentiated
تتناول	ovqatlanish	dealing with
تتنوع	turli xil	varied
تتواجد	mavjud	exist
تتوفر	mavjud	gets
تتوقف	to&#39;xta	cease
تتيح	ruxsat beradi	allows
تثبت	isbotlang	prove
تجار	dilerlar	traders
تجارب	tajribalar	tests
تجارة	savdo	commerce
تجاري	tijorat	commercial
تجارية	tijorat	commercial
تجاه	tomon	towards
تجاوز	toshib ketish	exceed
تجد	siz topasiz	find
تجديد	yangilanish	renew
تجربة	tajriba	trial
تجري	sodir bo&#39;lmoq	been / pull
تجعل	qilish	make
تجمع	yig&#39;ilish	gathering
تجمعات	yig&#39;ilish	gatherings
تجميع	birlashtirish	assemblage
تجنب	qochmang	avoid
تجهيز	tayyorlash	preparation
تحافظ	saqlamoq	keep
تحالف	ittifoq	alliance
تحاميل	suppozitorialar	suppository
تحاول	siz harakat qilasiz	trying
تحت	ostida	under
تحتاج	kerak	needs
تحتفظ	zahiralar	reserves
تحتل	egallab oling	occupies
تحتها	uning ostida	under it
تحتوى	tarkibida	contains
تحتوي	tarkibida	contains
تحد	qiyinchilik	stoppes
تحدث	gaplashing	happens
تحدد	aniqlandi	determines
تحديث	yangilash	upgrading
تحديد	aniqlang	determining
تحرر	ozodlik	freeing
تحرك	ko&#39;chirish	movement
تحرير	bo&#39;shatish	liberation
تحسن	yaxshilash	improved
تحسين	takomillashtirish	improving
تحصل	oling	win
تحظى	bor	given
تحقق	tekshirish	achieve
تحقيق	tergov	in achieving
تحكم	boshqaruv	governing
تحل	hal qilingan	resolved
تحليل	tahlil qilish	analysis
تحمل	rulman	carry
تحميل	yuklab oling	load
تحول	o&#39;zgarish	turned
تحولت	yoqildi	turned
تحوي	o&#39;z ichiga oladi	contains
تحويل	o&#39;zgarish	transforming
تحوّل	o&#39;zgarish	transformed
تحيط	o&#39;ralgan	surrounds
تختلف	turli xil	differs
تخدم	xizmat qiling	workes for
تخرج	bitiruv	graduated
تخزين	saqlash	storage
تخصص	mutaxassisligi	dedicated
تخصيص	moslashtiring	major
تخضع	mavzu	subject
تخطيط	rejalashtirish	designing
تخفيض	chegirma	reduction
تدار	boshqarildi	managed
تدخين	chekish	smoking
تدرس	o&#39;qilgan	taught
تدريب	o&#39;qitish	training
تدريجيا	asta-sekin	gradually
تدريجياً	asta-sekin	gradually
تدريجيًا	asta-sekin	gradually
تدعم	qo&#39;llab-quvvatlash	support
تدعو	taklif qiladi	which lead to
تدفع	siz to&#39;laysiz	pushes
تدفق	oqimi	flow
تدل	belgilash	indicates
تدمير	yo&#39;q qilish	destruction
تدهور	buzilish	deteriorated
تدور	spin	runs
تدوين	yozib olish	blogging
تدير	u yuguradi	manage
تذكر	eslaylik	mentions
تراث	meros	heritage
تراجع	orqaga chekinish	regression
تراجعت	miltilladi	backed off
تراقيا	trakya	tarakia
ترانسفيراز	transferaza	tranceivers
تربة	tuproq	soil
تربط	ulanmoq	connects
تربية	ta&#39;lim	upbringing
ترتبط	bog‘langan	connected
ترتفع	yuqoriga	high
ترتيب	buyurtma	order
ترجع	qaytadi	returns to
ترجم	tarjima qiling	translate
ترجمة	tarjima	translation
تردد	chastotani	frequency
ترك	qoldiring	leave
تركت	chapga	ceded
تركز	diqqat	concentrates
تركها	qoldiring	leaving it
تركي	turki	turkish
تركيا	kurka	turkey
تركيب	o&#39;rnatish	formation
تركية	turkcha	turkish
تركيز	fokus	concentration
ترى	qarang	see
تريد	siz hohlaysiz	wanted
ترير	trier	trier
تزال	hali ham	still
تزايد	o&#39;sish	increase
تزداد	ko&#39;proq olish	increase
تزوج	turmush qurmoq	married
تزوجت	uylangan	married
تزوجها	unga uylang	married her
تزيد	o&#39;sish	increases
تساعد	yordam	help
تساهم	hissa qo&#39;shing	contributed
تساوي	teng	equal to
تسبب	sabab bo&#39;ladi	caused
تسببت	sabab berdi	caused
تستخدم	ishlatilgan	used
تستطع	siz .. qila olasiz; siz ... mumkin	could
تستطيع	bajara olasizmi	cannot
تستعمل	ishlatilgan	use
تستغرق	oling	takes about
تستمر	davom etmoqda	continues
تستهلك	iste&#39;mol	consumes
تسجيل	ro&#39;yxatdan o&#39;tish	registering
تسخين	isitish	heating
تسرب	oqish	leak
تسع	to&#39;qqiz	nine
تسعة	to&#39;qqiz	nine
تسعى	izlamoqda	wants
تسقط	tushish	collapse
تسلسل	ketma-ketlik	the chronology of
تسلم	qabul qildi	took hold of
تسليم	yetkazib berish	submission
تسمح	ruxsat bering	allow
تسمى	deyiladi	called
تسمية	nomlash	naming
تسونامي	tsunami	tsunami
تسوية	hisob-kitob	settlement
تسير	ketayotgan	going
تسيطر	boshqarish vositalari	controles
تشاد	chad	chad
تشارك	ishtirok etgan	participates
تشارلز	charlz	charles
تشبه	yoqadi	similar
تشترك	ulashish	shares
تشتمل	kiriting	includes
تشتهر	mashhur	is famous
تشجيع	rag&#39;batlantiring	encouraging
تشخيص	tashxis qo&#39;yilgan	diagnosis
تشرف	hurmatli	honors
تشريع	qonunchilik	legislation
تشرين	tishren	november
تشغل	ishlamoqda	running
تشغيل	yugurish	operation
تشكل	shakl	forms
تشكلت	shakllangan	formed
تشكيل	hosil bo&#39;lishi	structure
تشمل	kiriting	consists of
تشهد	guvohlang	witnesses
تشي	che	che (name)
تشير	belgilang	points
تشيكوسلوفاكيا	chexoslovakiya	czechoslovakia
تشين	chen	chen
تشييد	qurilish	establish
تشييط	tekshirish	burning the pile
تصاعد	o&#39;rnatish	the escalation
تصب	tushiring	pours
تصبح	bo&#39;ling	become
تصدر	berilgan sana	are produced
تصدير	eksport qilish	export
تصغير|	kamaytirish |	minimized
تصغير|بك|رسم	kichiklashtirish | sizning | chizishingiz	minimize bik  drawing
تصغير|رسم	kichiklashtirish | chizish	minimization|drawing
تصغير|صورة	kichiklashtirish | rasm	reduction|photo
تصغير|مسجد	masjid	reduction| mosque
تصف	ta&#39;rif bering	describes
تصل	erishmoq	reached
تصميم	dizayn	design
تصنع	ishlab chiqarilgan	manufacture
تصنف	tasniflangan	classified
تصنيع	ishlab chiqarish	manufacturing
تصنيف	reyting	classification
تصنيفآل	tasniflash	classification of al
تصنيفأشخاص	shaxslarning tasnifi	category:people
تصنيفأعلام	tasniflash bayroqlari	media classification
تصنيفبلدان	mamlakat tasnifi	classification countries
تصنيفتاريخ	baholash sanasi	classification history
تصنيفخريجو	bitiruvchilarni tasniflash	classification: graduated
تصنيفدول	tasniflangan davlatlar	countries classification
تصنيفديمقراطيات	demokratiya tasnifi	democracies
تصنيفرؤساء	boshlarning tasnifi	presidents classification
تصنيفشعراء	shoirlar tasnifi	poets
تصنيفصحابة	tasnif sherigi	tsnnifsahabh
تصنيفعلم	tasniflash bayrog&#39;i	classification science
تصنيفعلماء	olimlarni tasniflash	scientists classification
تصنيفعواصم	poytaxtlarning tasnifi	classification: capitol
تصنيففلاسفة	faylasuflarning tasnifi	classification: philosophers
تصنيفقادة	reyting etakchilari	leaders classification
تصنيفكتاب	tasnif kitobi	classification: writers
تصنيفلاعبو	o&#39;yinchilarning tasnifi	classification players
تصنيفمدن	shaharlarning tasnifi	classification cities
تصنيفمصريون	misrliklar reytingi	classification of egyptions
تصنيفممثلات	aktrisalarning tasnifi	classification actresses
تصنيفممثلون	reyting aktyorlari	category : actors
تصنيفمواليد	yangi tug&#39;ilgan chaqaloqlarning tasnifi	classification births
تصنيفوزراء	vazirlarning tasnifi	classification ministers
تصنيفوفيات	toifalar	death classification
تصور	tasavvur qiling	imagination
تصوير	suratga olish	recording
تصيب	yuqumli	infects
تضاعف	ko&#39;paytirildi	multiplicity
تضخم	shishmoq	inflation
تضع	qo&#39;y	put
تضم	o&#39;z ichiga oladi	combines
تطبق	murojaat qiling	apply
تطبيق	amalga oshirish	applying
تطبيقات	ilovalar	applications
تطل	pastga qarang	overlooks
تطلب	so&#39;rang	request
تطلق	ishdan bo&#39;shatildi	launches
تطهير	dezinfektsiya	sterilization
تطور	rivojlandi	development
تطورا	murakkab	development
تطورت	rivojlandi	evolved
تطوير	rivojlanish	development
تطوّر	rivojlandi	development
تظل	qoling	reamain
تظهر	ko&#39;rinishi	appears
تعارض	rozi emasman	contradicts
تعاطي	shafqatsizlik	taking
تعالى	keling	he exalted
تعاليم	ta&#39;limotlar	teachings
تعامل	savdo	dealing
تعاني	azob	suffer
تعاون	hamkorlik	cooperation
تعبر	kesib o&#39;tish	expresses
تعتبر	deb hisoblanadi	considered
تعترف	tan oling	recognize
تعتمد	bog‘liq	depend
تعد	tayyorlang	considered
تعداد	hisoblash	count
تعددت	men ko&#39;paytirdim	multiplied
تعديل	o&#39;zgartirish	amendment
تعرض	chalinish xavfi	exposed to
تعرضت	fosh qilindi	faced
تعرضوا	ular fosh qilindi	they encounter
تعرف	biling	known
تعريف	ta&#39;rif	definition
تعرّض	chalinish xavfi	he was a victim of
تعزيز	quvvatlang	enforcing
تعطى	berilgan	given
تعطي	bering	gives
تعكس	o&#39;ylab ko&#39;ring	reflects
تعلم	o&#39;rganing	learning
تعليم	ta&#39;lim	teaching
تعليمه	ma&#39;lumotli	educated
تعليمية	ta&#39;limiy	educational
تعمل	ishlamoqda	work
تعني	vositalari	mean (v)
تعود	qaytish	return
تعيش	jonli	live
تغطي	qoplama	cover
تغطية	qamrab olish	covering
تغلب	yengib o&#39;tmoq	win
تغير	o&#39;zgartirish	the change
تغيرات	o&#39;zgarishlar	changes
تغيرت	o&#39;zgartirilgan	changed
تغيير	o&#39;zgarish	change
تفاصيل	tafsilotlar	details
تفاعل	o&#39;zaro ta&#39;sir	reacted
تفاعلات	o&#39;zaro aloqalar	reactions
تفرض	ta&#39;sir qilish	forced upon
تفسير	izoh	explanation
تفصل	alohida	sperates
تفعل	qilmoqdalar	did
تفقد	yo&#39;qotish	lose
تفكك	yiqilib tushdi	disintegration of
تفوق	zo&#39;rlik	surpasses
تفيد	foyda	benefit
تقارب	yaqinlashish	rapprochement
تقارير	hisobotlar	reports
تقاليد	urf-odatlari	traditions
تقام	o&#39;tkaziladi	made
تقبل	qabul qiling	accept
تقتصر	cheklangan	limited to
تقدر	qadrlaydi	estimated
تقدم	jarayon	progress
تقدمت	ilg&#39;or	forge ahead
تقدمه	uni taklif qiling	provided by
تقدمها	taqdim etilgan	progress
تقدير	minnatdorchilik	measuring
تقديرات	hisob-kitoblar	ratings
تقديم	yuborish	presentation
تقرر	qaror bering	decides
تقريبا	taxminan	nearly
تقريباً	taxminan	almost
تقريبًا	taxminan	approximately
تقرير	hisobot	statement
تقسم	bo&#39;lmoq	divided
تقسيم	bo&#39;linish	distribute
تقضي	xarajat qiling	to annihilate
تقع	joylashgan	is located
تقف	turmoq	stands
تقل	kamroq	less than
تقلل	kamaytirish	decreases
تقليد	an&#39;ana	traditional
تقليدية	an&#39;anaviy	traditional
تقليل	kamaytirish	decrease
تقنيات	texnologiyalar	technologies
تقنية	texnika	technical
تقود	qo&#39;rg&#39;oshin	leads
تقول	deydi	says
تقوم	turmoq	do
تقوية	kuchaytirish	enforcing
تقويم	baholash	calendar
تقي	taqvodor	taky
تقييم	baholash	valuing
تكاد	deyarli	almost
تكاليف	xarajatlar	costs
تكتب	u yozadi	written
تكثر	ortiqcha	increase
تكرار	takrorlash	repeating
تكساس	texas	texas
تكلفة	narxi	cost
تكليس	kalsinatsiya	calcification
تكمن	yolg&#39;on	reside
تكن	bo&#39;l	wasn't
تكنولوجيا	texnologiya	technology
تكون	bo&#39;l	be
تكونت	shakllangan	constituted
تكوين	hosil bo&#39;lishi	formation
تكيف	moslashish	adaption
تل	tepalik	hill
تلال	tepaliklar	hills
تلاميذه	uning shogirdlari	students
تلبية	uchrashing	fulfilling
تلت	kuzatildi	after
تلعب	ijro eting	plays
تلف	zarar	spoiled
تلفزيون	televizor	television
تلفزيونية	televizor	tv
تلقى	qabul qiling	receive
تلك	bu	this
تلو	keyin	after
تلوث	ifloslanish	pollution
تليها	dan so&#39;ng	following it
تم	bajarildi	orphan
تمارس	amaliy	practice
تمام	ok	end
تماما	to&#39;liq	completely
تماماً	to&#39;liq	completely
تمامًا	to&#39;liq	completely
تمت	bajarildi	has
تمتاز	excel	characterized by
تمتد	siqish	extends
تمتعت	men rohatlandim	enjoyed
تمتلك	egasi bor	owns
تمثال	haykal	statue
تمثلت	tasvirlangan	including
تمثيل	vakillik	representation
تمر	pass	pass
تمرد	isyon	revolt
تمكن	boshqarildi	he could
تملك	egalik qiladi	has
تمنح	berilgan	given
تمنع	oldini oling	prohibits
تمويل	moliya	finance
تميز	hurmatli	distinguish
تميزت	belgilangan	characterized by
تميل	meyl	leans
تميم	tamim	tamim
تمييز	kamsitish	differentiate
تمّ	bajarildi	was
تنازل	voz kechish	renounced
تناول	ovqatlanish	took
تناولت	yemoq	contained
تنبأ	oldindan taxmin qilingan	predicted
تنتج	ishlab chiqaradi	produced
تنتشر	yoyib	spread
تنتقل	ko&#39;chirish	transfer
تنتمي	menga tegishli	belongs to
تنتهي	muddati tugaydi	finished
تنخفض	pastga tushish	drop
تنسيق	koordinatalash	coordination
تنشأ	tur	founded
تنص	shtatlar	provides
تنظم	tashkil qilmoq	organizes
تنظيم	guruh	organization
تنفيذ	amalga oshirish	execution
تنقسم	bo&#39;lingan	divided
تنقل	transfer	transmits
تنمو	o&#39;sish	develop
تنمية	rivojlanish	development
تنوع	xilma-xillik	variety
تهتم	parvarish	care
تهدد	qo&#39;rqitish	threaten
تهدف	maqsadlar	aims at
تهيمن	hukmronlik qilish	dominates
توابل	ziravorlar	spices
تواجد	mavjudlik	coexist
تواجه	yuz	faces
توازن	balans	balance
توافق	rozi	agrees with
توت	buta mevasi	tut
توتونيون	teutonik	teutonians
توجد	bu yerda	is present
توجه	yo&#39;nalish	directed
توجيه	qo&#39;llanma	directing
توحيد	standartlashtirish	unity
توزيع	tarqatish	distribution
توسع	kengaytirish	expanding
توسعت	kengaytirilgan	expanded
توسيع	kengaytirish	expanding
توصل	yetib keling	reached
توصيل	ulanmoqda	connect
توضح	aniqlang	explain
توضع	joylashtiring	put
توفر	mavjudligi	provide
توفى	o&#39;ldi	passed away
توفي	o&#39;ldi	died
توفيت	u vafot etdi	timing
توفير	taqdim eting	provide
توفيق	yarashtirmoq	tawfeek
توقع	kutish	predicted
توقف	to&#39;xta	stoppage
توقيع	imzo	signing
توكيس	tokis	tukes
تولد	tug&#39;ish	born
تولى	egalladi	took position
توليد	avlod	generation
توليه	inauguratsiya	coronation
تولّى	egalladi	assumed
توما	toma	thomas
توماس	tomas	thomas
تونس	tunis	tunisia
تويوتا	toyota	toyota
تويودا	toyoda	toyota
تي	t	t
تيار	oqim	trend
تيارات	oqimlar	currents
تيفوس	tif	typhoid
تيمور	temur	timur
تيمية	taymiya	timiah
تُشكل	shakl	forms
تُظهر	ko&#39;rinishi	appears
تُعتبر	deb hisoblanadi	considered
تُعد	tayyorlang	considered
تُعرف	ma&#39;lum	known
ثابتة	ruxsat etilgan	firm
ثار	qasos	arises
ثالث	uchinchi	third
ثاليوم	talliy	thallium
ثانوية	maktab	secondary
ثاني	ikkinchi	the second
ثانيا	ikkinchidan	secondly
ثانية	bir soniya	second
ثبت	isbotlangan	confirmed
ثروة	boylik	fortune
ثقافات	madaniyatlar	cultures
ثقافة	madaniyat	culture
ثقافي	madaniy	cultural
ثقافية	madaniy	culture
ثقب	teshik	hole
ثقة	ishonch	confidence
ثلاث	uch	three
ثلاثة	uch	three
ثلاثية	trilogiya	trilogy
ثلاثين	o&#39;ttiz	thirty
ثلث	uchdan biri	third
ثم	keyin	then
ثمان	sakkizta	eight
ثماني	sakkizta	eight
ثمانية	sakkiz	eight
ثمة	u yerda	some
ثمّ	keyin	hence
ثنائية	dualizm	bilateral
ثور	ho&#39;kiz	ox
ثورات	inqiloblar	revolutions
ثورة	inqilob	revolution
ثيوديسيا	teodiziya	thudesia
ج	c	c
جاء	keldi	come
جاءت	u keldi	came
جائزة	mukofot	prize
جابر	jaber	gaber
جاذبية	tortishish kuchi	attraction
جاسم	jassim	jassim
جاك	jek	jack
جاكسون	jekson	jackson
جالوت	go&#39;liyot	goliath
جاليليو	galileo	galileo
جالينوس	galen	galinos
جامع	masjid	mosque
جامعات	universitetlar	universities
جامعة	universitet	university
جان	yanvar	jan
جانب	tomoni	aside
جانبه	uning tomoni	his side
جانبي	tomoni	side
جبال	tog&#39;lar	mountains
جبران	jubran	gibran
جبريل	jabroil	gabriel
جبلية	tog	mountainous
جبهة	old tomondan	group
جد	bobosi	grandfather
جدا	juda	very
جدار	devor	wall
جدال	qarama-qarshilik	discussion
جداً	juda	very
جدة	buvim	jeddah
جدد	yangilari	new
جدران	devorlari	walls
جدل	dalil	discussion
جده	buvim	his grandfather
جدول	jadval	table
جدوى	texnik imkoniyatlar	benefit
جديد	yangi	new
جديدا	yangi	new
جديداً	yangi	new
جديدة	yangi	new
جديدًا	yangi	new
جدير	loyiq	it should be
جدًا	juda	very
جذب	jalb qilish	attraction
جذور	ildizlar	roots
جراء	qo&#39;g&#39;irchoq	by
جرائم	jinoyatlar	murders
جرانيت	granit	granite
جرت	bo&#39;lib o&#39;tdi	occurred
جرى	u yugurdi	had place
جريدة	gazeta	newspaper
جزء	qismi	part
جزءا	qism	apart of
جزءاً	qism	a part of
جزءًا	qism	part of
جزئيا	qisman	partial
جزر	sabzi	islands
جزيئات	molekulalar	particles
جزيرة	orol	island
جساس	josuslik	gessas
جسد	tanasi	body
جسده	uning tanasi	his body
جسدها	uning tanasi	its body
جسر	ko&#39;prik	bridge
جسم	tanasi	body
جسمه	uning tanasi	his body
جسيمات	zarrachalar	particles
جعفر	ja&#39;far	gafar
جعل	qilmoq	push on
جعلت	tayyorlangan	caused
جعله	buni qiling	made him
جعلها	buni qiling	made her
جغرافيا	geografiya	geographically
جغرافية	geografiya	geographical
جفاف	qurg&#39;oqchilik	drought
جل	jel	most
جلال	jalol	galal
جلب	olib kelgan edi	bring
جلد	teri	leather
جلسة	sessiya	council
جماع	aloqada bo&#39;lish	sex
جماعات	guruhlar	groups
جماعية	kollektiv	collective
جمال	go&#39;zallik	beauty
جمع	ko&#39;plik	combined
جمعة	juma	friday
جمعت	yig&#39;ilgan	combined
جمعه	juma	week
جمعها	yig&#39;ilgan	collected
جمعية	uyushma	the society
جملة	hukm	within the total
جمهور	ommaviy	majority
جمهوري	respublika	republican
جمهورية	respublika	republic
جميع	hammasi	all
جميعا	ularning hammasi	all
جميعاً	ularning hammasi	all
جميعًا	ularning hammasi	all
جميل	yoqimli	beautiful
جميلة	chiroyli	gamila
جناح	to&#39;plam	wing
جنب	yon	attraction
جندي	askar	soldier
جنس	jinsi	sex
جنسي	jinsiy	sexual
جنسية	millati	sexual
جنطيانية	gentianizm	heavenly
جنكيز	chingiz	genghis
جنو	gnu	gnu
جنوب	janub	and south
جنوبا	janub	southern
جنوبي	janubiy	southern
جنوبًا	janub	to the south
جنود	askarlar	soldiers
جنوده	uning askarlari	soldiers
جهات	belgilangan manzillar	views
جهاد	jihod	gehad
جهاز	qurilma	department
جهة	yon	side
جهد	harakat	effort
جهود	harakatlar	efforts
جو	atmosfera	go
جوائز	mukofotlar	prizes
جواز	pasport	marriage
جوانب	jihatlari	aspects
جواهر	javohirlar	jawaher
جوجل	google	google
جودة	sifat	quality
جورج	jorj	george
جورجيا	gruziya	georgia
جورجيون	gruzinlar	georgeon
جوزيف	yusuf	joseph
جولة	bir tur	round
جون	jon	john
جوهر	mohiyati	"literally translates to ""jewel"" but this is a name"
جوي	antenna	aerial
جوية	havo	aerial
جي	ing	g
جيبوتي	jibuti	djibouti
جيجابت	gigabit	gega
جيد	yaxshi	good
جيدا	yaxshi	good
جيداً	yaxshi	good
جيدة	yaxshi	good
جيش	armiya	army
جيشه	uning armiyasi	his army
جيشًا	armiya	an army
جيفارا	gevara	guevara
جيل	avlod	generation
جيمس	jeyms	james
جين	gen	gene
جينات	genlar	genes
جيوش	armiyalar	armies
حائط	devor	wall
حائل	yashasin	ha'el
حاتم	hatam	hatem
حاجة	kerak	need
حادة	keskin	sharp
حادث	baxtsiz hodisa	event
حادثة	voqea	accident
حار	issiq	hot
حارب	jang	fought
حارة	qator	quarter
حاز	bor	got
حاسوب	kompyuter	computer
حافة	chekka	edge
حافظ	hafiz	hafez
حافظت	saqlanadi	maintained
حال	ahvoli	case
حالات	holatlar	cases
حالب	ureter	milker
حالة	holat	case
حالته	uning ahvoli	status
حاليا	hozirda	now
حالياً	hozirda	current
حاليًا	hozirda	currently
حامد	hamed	hamed
حامل	homilador	carrier
حاول	urinib ko&#39;rmoq	tried
حاولت	men harakat qildim	tried
حب	sevgi	hab
حبيب	sevishganlar	habeeb
حبيبي	chaqaloq	my beloved
حتى	bungacha	till
حتي	bungacha	even
حجة	dalil	hega
حجر	tosh	hagar
حجم	hajmi	size
حجما	hajmda	size wise
حجمها	uning hajmi	her size
حجوالة	uzatilmoqda	philomachus pugnax
حد	cheklov	limit
حدائق	bog&#39;lar	gardens
حدة	aniqlik	serious
حدث	hodisa	happen
حدثت	yangilandi	happened
حدثنا	bizga ayting	talked to us
حدد	joylashuv	locate
حدودها	uning chegaralari	borders
حديث	zamonaviy	talk
حديثا	yangi	recently
حديثة	zamonaviy	modern
حديثًا	yangi	recently
حديد	temir	iron
حديدية	temir	railways
حديقة	bog &#39;	garden
حراء	hira	name of a cave
حرارة	issiqlik	temperature
حرارته	uning issiqligi	heat
حرارتها	uning isishi	its temperature
حرام	taqiqlangan	forbidden
حرب	urush	war
حربية	harbiy kemalar	military
حرة	ozod	free
حرس	qorovul	guards
حرف	xat	character
حرق	kuyish	combustion
حركات	harakatlar	movements
حركة	harakat	the movement
حرم	taqiqlangan	forbid
حروب	urushlar	wars
حروف	maktublar	letters
حرية	ozodlik	freedom
حزام	kamar	hezam
حزب	partiya	party
حزم	tasma	bundle/hazm
حزن	sadneslar	grief
حزيران	iyun	june
حساب	hisob	calculation
حسابات	hisoblar	accounts
حساسة	ta&#39;sirchan	sensitive
حسان	xasan	hassan
حسب	ga ko&#39;ra	depends
حسن	xasan	hassan
حسنة	xayrli ish	good
حسني	husni	husni
حسين	husayn	hussein
حشد	olomon	crowed
حشرات	hasharotlar	insects
حشيشة	xashish	hashish
حصار	qamal	seige
حصة	davr	hosa
حصدت	hosil yig&#39;ib olindi	won
حصل	sodir bo&#39;ldi	happened
حصلت	men oldim	got
حصن	fort	fort
حصول	qabul qiling	acquiring
حضارات	sivilizatsiyalar	السماح بالكتابة بحسب النطق الصوتي civilizations
حضارة	tsivilizatsiya	civilization
حضر	ishtirok etdi	come to
حضور	mavjudlik	presence
حطين	xittin	heteen
حظر	taqiq	prohibit
حفر	burg&#39;ulash	dig
حفظ	tejash	keeping
حفل	partiya	festival
حق	to&#39;g&#39;ri	the right
حقائق	faktlar	facts
حقبة	davr	era
حقق	erishish	achieved
حققت	erishildi	have achieved
حقل	maydon	field
حقه	uning huquqi	his right
حقوق	huquqlari	rights
حقول	maydonlar	fields
حقيقة	fakt	fact
حقيقي	haqiqiy	real
حقيقية	haqiqiy	real
حكام	hukmdorlar	kings
حكايات	ertaklar	stories
حكاية	ertak	story
حكم	qoida	judge
حكمة	donolik	wisedom
حكمت	u hukmronlik qildi	lead
حكمه	donolik	his ruling
حكمها	uning qoidasi	its rule
حكمهم	ularning qoidasi	leading
حكومات	hukumatlar	governments
حكومة	hukumat	government
حكومي	hukumat	governmental
حكومية	hukumat	governmental
حكيم	sage	hakim
حلال	halol	righteous
حلب	halab	aleppo
حلت	tarqalgan	replaced
حلف	qasam iching	alliance
حلقات	epizodlar	circles
حلقة	uzuk	episode
حلمي	mening orzuyim	helmy
حلول	yechimlar	solutions
حلويات	shirinlik	deserts
حماة	himoyachilar	hama
حماد	hammad	hammad
حماس	xursandchilik	hamas
حماية	himoya qilish	protection
حمد	maqtadi	thanked (verb), hamad (proper noun)
حمدان	hamdan	hamdan
حمدي	hamdi	hamdy
حمراء	qizil	red
حمزة	hamza	hamza
حمص	no&#39;xot	hams
حمض	kislota	acid
حمل	homiladorlik	carrying
حملات	kampaniyalar	campaigns
حملة	kampaniyasi	campaign
حملت	yuklangan	carried the
حملته	uning kampaniyasi	his compaign
حمير	eshaklar	donkeys
حنا	xanna	when
حنبعل	gannibal	hanipal
حنبل	xanbal	hanbal
حنك	tanglay	palate
حنيفة	hanifa	hanifa
حنين	nostalji	honine
حواء	momo havo	eve
حوادث	baxtsiz hodisalar	accidents
حوار	dialog	discussion
حوالي	atrofida	about
حوذانية	buttercup	flora
حوض	havzasi	basin
حول	haqida	around
حوله	uning atrofida	around him
حولها	atrofda	around it
حي	turar joy dahasi	neighborhood
حياة	hayot	life
حياته	uning hayoti	his life
حياتها	uning hayoti	her life
حياتهم	ularning hayotlari	their lives
حياتي	mening hayotim	my life
حيان	hayyan	hayan
حية	jonli	alive
حيث	qayerda	where
حيفا	hayfa	haifa
حين	qachon	when
حينما	har qachon	when
حينها	orqaga	by then
حيوان	hayvon	animal
حيوانات	hayvonlar	animals
حيوانية	hayvon	animal
حيوية	muhimlik	active
خابية	kesh	cache
خادم	xizmatkor	servant
خارجي	tashqi	outsider
خارجية	tashqi	external
خاص	maxsus	specific
خاصا	maxsus	special
خاصة	ayniqsa	specially
خاصةً	ayniqsa	specially
خاصية	mulk	property
خاض	jang qildi	fought
خاضعة	mavzu	is subject
خالد	o&#39;lmas	khaled
خالص	sof	pure
خالية	bo&#39;sh	empty
خام	xom	crude
خان	xon	khan
ختان	sunnat	circumcision
خدمات	xizmatlar	services
خدمة	xizmat	service
خديجة	xadicha	khadiga
خرائط	xaritalar	maps
خراسان	xorasan	greater khorasan
خرج	tashqariga chiqdi	turned on him
خرجت	chiqdi	got out
خرجوا	ular chiqishdi	took with them
خروج	chiqish	go out
خريطة	xarita	map
خزيمة	mag&#39;lubiyat	khozima
خسائر	yo&#39;qotishlar	losses
خسارة	yo&#39;qotish	loss
خسر	yo&#39;qotilgan	lost
خصائص	xususiyatlari	characteristics
خصبة	hosildor	fertile
خصوصا	xususan	especially
خصوصاً	xususan	especially
خصوصًا	xususan	especially
خصومه	tortishuv	his opponents
خضراء	yashil	green
خضع	mavzu	subdue
خضعت	boshdan kechirdilar	underwent
خط	chiziq	line
