$ tỉ	milliard dollar	$ billion
huỳnh	oltingugurt	sulfur
huỷ	bekor qilish	destroy
hydra	gidra	hydra, a monster in greek mythology
hydro	vodorod	hydrogen
hyperion	giperion	hyperion
hà	ga	"(term should be ""hà nội"") the capital of vietnam"
hài	komediya	corpse
hàm	jag &#39;	"(term should be ""bao hàm"") to imply (v.)"
hàng	qator	row
hào	hijob	depreciation
hách	haddan tashqari	glorious
hái	tanlang	picking
hán	qurg&#39;oqchilik	china
háo	ishtiyoqli	eager
hát	qo&#39;shiq ayt	song
hâm	aqldan ozgan	"(term should be ""hâm mộ"") to admire (v.)"
hân	xon	le ngoc han
hãi	qo&#39;rqib ketdi	to be scared (v.)
hãn	xon	to sweat (v.)
hãng	firma	a company (n.)
hãnh	mag&#39;rur	proud
hè	yoz	summer
hé	yorilib ketdi	reveal
héo	so&#39;lmoq	dried-out
hét	baqirish	shout
hên	omadli	luck
hí	ne	game
hít	nafas olish	act of kissing (hon hit)
hò	tanishuv	date
hòa	galstuk	republic
hòe	baqirish	hoe
hòm	kema	box
hòn	orol	island
hòng	yaxshi	in order to
hóc	hóc	a corner (n.)
hót	qo&#39;shiq ayt	to chirp or sing (v.)
hô	ho	respiration
hôi	yaramas	stink
hôm	kun	day (n.)
hôn	o&#39;pish	propose
hông	kestirib	hip
hù	qo&#39;rqitmoq	threaten
hùng	qahramonlar	hero
húc	gore	huc
húng	ilhom	"(should be ""húng láng"") water mint"
hút	chekish	to suck (v.)
hăng	o&#39;tkir	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	bankalar	jar
hơi	ozgina	slightly
hơn	dan ko&#39;proq	more or less
hư	yomon	fictional
hưu	nafaqaga chiqqan	huu
hương	tutatqi	smell
hước	hazilkash	humor
hướng	yo&#39;nalishi	trend
hường	huong	huong
hưởng	zavqlaning	influence
hạ	yoz	lower
hạc	flaminglar	crane
hạch	ganglion	ganglion
hại	zarar	harm
hạng	sinf	rank
hạnh	xanx	happy
hạo	hao	hao
hạp	hap	hap
hạt	urug &#39;	seed
hải	bojxona	two
hảo	zo&#39;r	perfect
hấn	hấn	aggressive gesture
hất	urmoq	toss
hấu	tarvuz	"(term should be ""dưa hấu"") watermelon"
hầm	tunnel	ham
hầu	deyarli	most
hận	nafrat	hatred
hậu	qirolicha	anus
hắc	qora	black
hắn	uni	he (n.)
hắt	hapşırma	reject
hằng	doimiy	every
hặc	hặc	to criticize (v.)
hẹ	sayozliklar	chinese chives
hẹp	tor	narrow
hẻm	xiyobon	alley (n.)
hẻo	tanho	outback
hến	midiya	mussel
hết	ustida	most
hề	masxaraboz	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	tizimi	relation
hệt	bir xil	exactly
hỉ	puflamoq	happy
hịch	thud	a proclamation
họ	familiya	they (n.)
họa	san&#39;at	picture
họach	rejasi	"(term should be ""quy hoạch"") a project (n.)"
học	o&#39;rganish	study (v.)
họng	tomoq	throat
họp	uchrashuv	meet
hỏa	olov	fire
hỏng	singan	corruption
hố	chuqur	hole
hốc	uyalar	cavity
hồ	ko&#39;l	ho
hồi	qizilmiya	muslim
hồn	jon	soul
hổ	yo&#39;lbars	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	bo&#39;shliq	hole
hỗ	qo&#39;llab-quvvatlash	"(should be ""hỗ trợ"") to support or assist"
hỗn	aralashgan	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festival	society
hộp	qutisi	box
hới	ochiq	hoi
hớn	- deb baqirdi	"(term should be ""hớn hở"") radiant (adj.)"
hờn	xira	hatred
hở	ochiq	reveal
hỡi	oy	dear
hợi	cho&#39;chqa	pig (n.)
hợp	yaxshi mos keladi	appropriate
hợpquận	rozilik	general district
hụt	kamomad	loss
hủi	moxov	reject
hủy	bekor qilish	to erase or destroy
hứa	va&#39;da	promise
hử	ha	hu
hửu	ha	"(term should be ""sở hửu"") to own (v.)"
hữu	mulk	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iiau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	tushunarli	ic
icc	icc	icc
iceland	muzlik	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	xayol	illusion
ilyich	ilich	ilyich
im	im	still
imam	imom	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuil	(proper noun) immanuel, as in immanuel kant
impact	ta&#39;sir	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	hind	indian
indiana	hindiston	indiana
indochina	indoxina	indochina
indonesia	indoneziya	indonesia
indrapura	indrapura	(proper noun) indrapura
info	ma&#39;lumot	info
innsbruck	innsbruk	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ioni	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	iroq	iraq
ireland	irland	ireland
irgun	irgun	irgun
irony	istehzo	irony
irving	irving	(proper noun) irving
isaac	isaak	isaac
isla	isla	isla
islam	islom	islam
islamabad	islomobod	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italiya	italy
italiano	italiyalik	(proper noun) italiano
itanium	itan	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itukushima	itsukushima
itu	itu	itu
itzá	itza	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	uyasi	jack
jackie	jakka	(proper noun) jackie chan
jackson	jekson	(proper noun) jackson, as in michael jackson
jacob	jakob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeyro	janeiro
janet	janet	janet
japan	yapon	japan
jared	jarangladi	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasper	(proper noun) jasper
jean	jeyn	jean
jeane	jinsi	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	janpaul	jeanpaul
jeans	jinsi shimlar	jeans
jeet	hazil	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffri	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	forma	jersey
jerusalem	quddus	jerusalem
jesse	jessi	a name
jesus	iso	chua jesus
jetstar	jetstar	jetstar
jewish	yahudiycha	jewish
jiao	jiao	jiao
jimmy	jimmi	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	yoachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	joxan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	yoxannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johnlar	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	qo&#39;shma	joint
jonathan	jonatan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	josef	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	dzyudo	judo, the martial art
julesverne	julsverne	jules verne
julliard	julliard	(proper noun) julliard
jump	sakramoq	jump
june	iyun	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	yupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	yuventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kofe	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kay	kai
kakashi	kakashi	kakashi
kaká	kaka	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	kaliy	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampusiya	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kasperskiy	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	ketrin	katherine
kathmandu	katmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kautara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kv	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelin	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	qaymoq	ice cream (n.)
ken	ken	ken
kennedy	kennedi	(proper noun) kennedy, as in john f. kennedy
kenneth	kennet	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentuku	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynslar	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	deklaratsiya	announce
khali	xali	(proper noun) khali
khalip	xalifa	(proper noun) khalip
kham	xam	endure
khan	suvsiz	rare
khang	xang	khang
khanh	xon	khanh
khao	sog&#39;inish	desire
khay	patnis	tray
khe	uyasi	chink
khem	khem	abstinence
khen	maqtov	praise
kheo	stillarda	kheo
khi	qachon	when
khieu	tushunmaslik	(proper noun) khieu, as in khieu samphan
khiêm	kamtarin	khiem
khiên	qalqon	a shield
khiêu	erotik	"('khiêu dâm"") pornographic"
khiếm	buzilgan	lack
khiến	sabab	control
khiếp	dahshatga tushdi	horrible
khiếu	turar joy	talent (n.)
khiển	boshqaruv	control
khleang	xleang	kh'leang
kho	ombor	warehouse
khoa	fakulteti	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	matkap	drill
khoang	bo&#39;shliq	brag
khoanh	jiringlamoq	a slice (n.)
khoe	ko&#39;rsatish	to boast
khoá	qulflash	lock
khoác	palto	coat
khoán	aksiya	stock
khoáng	mineral hisoblanadi	mineral
khoát	aniq	decisive
khoét	kesmoq	carve
khoăn	xafagarchilik	disturbed
khoả	yalang&#39;och	naked
khoản	mahsulot	an item (n.)
khoảng	taxminan	about
khoảnh	lahzalar	moment
khoẻ	yaxshi	health
khrushchev	xrushchev	khrushchev
khrushchyov	xrushchyov	khrushchyov
khu	chorak	section
khung	ramkalar	frame
khural	xural	khural
khuynh	chapga	trend
khuyên	maslahat	advise
khuyết	nuqsonli	lack
khuyển	it	khuyen
khuất	yashirin	hidden
khuấy	aralashdi	stir
khuẩn	bakteriyalar	bacteria
khuếch	kuchaytirmoq	amplification
khuỷu	tirsak	elbow
khá	o&#39;rniga	quite
khác	boshqa	different
khách	mehmon	customer
khái	kontseptual	concept
khám	imtihon	discover
khán	tomoshabinlar	audience
kháng	qarshilik	appeal
khánh	mustaqillik	a type of chime made of stone (n.)
khát	chanqoq	to be thirsty for (adj.)
khâm	xom	admire
khèn	afsuski	a pan-pipe (n.)
khéo	mohir	cleverly or skillfully (adv.)
khép	yaqin	close
khía	belgi	"(term should be ""khía cạnh"") angle (n.)"
khích	rag&#39;batlantirish	encourage
khít	yaqin	close
khó	qiyin	difficulty
khóa	qulflamoq	a session
khóc	yig‘lamoq	cry
khói	tutun	smoke
khóm	ananas	a cluster
khô	quritilgan	dry
khôn	dono	clever, intelligent
không	emas	not
khúc	segment	song
khăm	hidsiz	nasty (adj.)
khăn	sochiq	difficult
khơi	dengizda	sea
khư	khư	grip
khưu	khưu	khuu
khước	inkor qilmoq	waive
khả	imkoniyat	"(term should be ""khả năng"") ability (n.)"
khải	vahiy	triumph
khảm	mozaik	to encrust
khảo	imtihon	"(term should be ""tham khảo"") to consult (v.)"
khấm	teshilgan	endure
khấn	ibodat qiling	pray
khấu	chegirma	"(term should be ""sân khấu"") a stage (n.)"
khẩn	shoshilinch	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	belgi	moment
khắp	hammasi	all over
khẳng	tasdiqlovchi	"(term should be ""khẳng định"") to assert (v.)"
khế	yulduz mevasi	bond
khỉ	maymun	monkey or ape (n.)
khỏa	yalang&#39;och	nude
khỏe	kuchli	health
khỏi	tashqarida	leave
khố	loincloth	loincloths
khốc	dahshatli	devastating
khối	sinf darajasi	a block or mass of (n.)
khốn	ablah	miserable
khống	xong	control
khổ	azob	miserable (adj.)
khổng	ulkan	huge
khởi	tashabbuskori	start
khủng	qo&#39;rqinchli	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	ablah	elbow
khứu	pastel	olfactory
khử	yo&#39;q qiling	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	bu	other
kid	bola	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	km	kilometer
kim	kim	kim
kingdom	qirollik	kingdom
kinsey	qarindosh	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	o&#39;pish	kiss
kissinger	kissinger	kissinger
kitts	kitlar	kitts
kitô	xristian	christian
kiêm	jum	cum
kiên	kasal	consistent
kiêng	o&#39;zini tiyish	abstinence, as in abstaining from eating
kiêu	dimog&#39;dor	showy
kiếp	hayot paytida	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	gidroksidi	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	tekshirish	control
kiểu	turi	type
kiệm	iqtisodiy	save
kiện	sudga bermoq	event (su kien)
kiệt	nodir asar, shoh asar	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klauz	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knut	knuth, as in donald knuth
koch	kok	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	qur&#39;on	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubik	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	bo&#39;ri	(proper noun) kurt
kuwait	kuvayt	kuwait, the country (n.)
kwan	kvan	kwan
kwen	kwen	kwen
kwon	kvon	kwon, as in tae kwon do; proper noun
kyrgyzstan	qirinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	ilova qilingan	included
kèn	karnay	horn
kém	eng kam	less
kén	pilla	selective
kéo	sudrab torting	scissors
kép	ikki tomonlama	dual
két	seyflar	"(term should be ""rốc két"") rocket (n.)"
kê	tariq	statistics
kênh	kanallar	channel
kêu	jaranglaydi	appeal
kìa	mana	that
kìm	penseler	bar
kình	ko&#39;zoynaklar	rivalry
kí	belgisi	sign
kích	bosing	excite
kíchbom	bosish tugmasi	bombers
kín	xususiy	secretive or closed tight (adj.)
kính	ko&#39;zoynaklar	respect
kíp	ekipaj	esoterica
kít	chinqirib yubordi	wheelbarrow
ký	belgisi	"(""nhật ký"") a diary"
kĩ	ehtiyotkorlik bilan	technique
kơnia	kaia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	shirinlik	candy
kẹp	klip	to clamp down (v.)
kẹt	xususda	jam
kẻ	yigitlar	guy
kẻo	lest	lest
kẽ	interstitsial	crevice
kẽm	rux	zinc
kế	keyingi	a scheme (n.)
kết	oxiri	combine
kề	qo&#39;shni	adjacent
kềnh	katta	bulky
kệ	javonlar	ignore
kỉ	asr	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	kavaleriya	ki
kịp	saqlamoq	kip
kỵ	kavaleriya	taboo
kỷ	asr	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	yorliq	label
laboulaye	laboulaye	a name
ladakh	ladax	(proper noun) ladakh
lai	gibrid	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	quruqlik	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lanj	lange, as in oscar lange
langue	langue	langue
lanh	choyshab	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	sil kasalligi	labor
laos	laos	(proper noun) laos
lap	tizza	greek
larry	lichinka	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lazer	laser
lateran	lateran	lateran
latinh	lotin	latin
latvia	latviya	(proper noun) latvia
lau	artib oling	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	qonunlar	(proper noun) lawrence
lay	yotmoq	lay
lazarus	lazarus	(proper noun) lazarus
leach	sho&#39;r yuvish	(proper noun) leach
leaf	barg	leaf
leave	qoldiring	leave
lebanon	lebanon	(proper noun) lebanon
lee	li	lee
legacy	meros	legacy
leiden	leydi	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	leninlar	lenin's
leo	ko&#39;tarilish	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesoto	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	ozodlik	(proper noun) libby
libero	libero	libero
libya	libya	libya
lido	lido	lido
liechtenstein	lixtenshteyn	liechtenstein
liga	liga	a name
lightning	chaqmoq	lightning
lilly	lilli	(proper noun) lilly
linga	linga	linga
linh	linx	efficacious (adj.)
links	havolalar	links
linux	linux	linux server
lionel	sher	lionel
lisboa	lisboa	lisboa
lisbon	lissabon	a name
litva	litva	(proper noun) lithuania
liu	lyu	liu
liêm	butunlilik	good example
liên	korxona	relate
liêng	muqaddas	sacred
liêu	rasmiyatchilik	bureaucracy
liềm	o&#39;roq	sickle
liều	doza	daring
liễu	tol	a willow tree (n.)
liệng	otish	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	falaj	impotent
liệu	bo&#39;lmasa	document
lleyton	lleyton	lleyton
lo	xavotir	to worry (v.)
loa	gapiring	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	silliq	patchy
loch	loch	loch
locke	qulf	(proper noun) locke, as in philosopher john locke
lockheed	qulflangan	(proper noun) lockheed, as in lockheed martin
log	jurnal	log
logan	logan	a name
lon	mumkin	lon
london	london	london
long	uzoq	dragon
lorenzo	lorenzo	lorenzo
los	yo&#39;qotish	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	sevgi	yeu
loài	turlari	species
loát	miltillovchi	overturn
loãng	yuvilgan	wishy-washy
loét	yara	gaping, as in a wound
loại	turlari	type
loạianh	turi	not a word
loạianime	turi anime	type anime
loạibệnh	kasallik turi	disease
loạichiến	turi	loaichien
loạicác	turi	item
loạicâu	turi	type: club
loạicông	turi	type: industry
loạicựu	turi	kind former
loạigia	turi	loaigia
loạihuân	kentxuan	not a word
loạiluật	qonunning turi	type: law
loạimáy	mashinaning turi	kind plane
loạimôn	turi	type
loạingày	buni yozing	loaingay
loạiphim	film turi	type movie
loạiphong	turi	kind of movement
loạiscandal	burgut	scandal type
loạithuật	qonunning turi	type: lexicon
loạithành	turi	kinds of payment
loạithần	turi	kind myth
loạitrường	maktab turi	type of school
loạitín	mehribon	type: belief
loạitổ	turi	kind organization
loạivõ	turi turi	type: martial art
loạixã	turi	kind of society
loạn	tartibsizlik	disorderly
loạt	qator	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lukas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludoviko	ludovico
ludwig	ludvig	ludwig
lui	orqaga	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	o&#39;pka	shake
lustig	lustig	lusig
luther	yuk mashinasi	luther
luxembourg	lyuksemburg	a name
luy	luy	luy
luyến	biriktirma	love
luyện	o&#39;qitish	training
luận	izoh	"(term should be ""xã luận"") an editorial"
luật	qonun	law
luồn	tishli	wriggle
luồng	oqim	lane
luộc	qaynatiladi	boiled
luỹ	kümülatif	rampart (n.)
ly	shisha	divorce
lydia	lidiya	lydia
lympho	limfoma	lymphocyte
lyndon	lindon	lyndon
lyon	lion	lyon
là	edi	the verb to be
làm	qilmoq	make
làn	bo&#39;lak	wave
làng	qishloq	village
lành	shifo topdi	protestant
lào	laos	laos
lá	barglari	"(term should be ""lá thư"") a letter (n.)"
lác	siqilish	brag
lách	taloq	to swerve (v.)
lái	haydash	to drive (v.)
lán	qalqon	shack
láng	yaltiroq	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	bir jinsli	nearby
lâu	uzoq	long time
lây	yuqumli	to infect
lãi	qiziqish	a profit
lãm	namoyishlari	exhibition
lãnh	qabul qildi	to receive
lão	qari	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	qaymoq	sneak
lê	nok	le
lêmạc	yorug&#39;lik	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	yuqoriga	on
lênh	buyruq	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	qoldiring	to leave (v.)
lình	to&#39;satdan	suddenly
lí	saqlash	reason
lính	askar	soldier
lít	litr	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	o&#39;choq	release
lòng	ezib tashlash	heart
lóc	ilon pichog&#39;i	cry
lóe	chaqnadi	flash
lóng	jarangli	"entire term should be ""tieng long""; means ""slang"""
lót	astar	undies
lô	juda ko&#39;p	batch
lôi	xato	encourage
lôn	ahahaha	"(term should be ""côn lôn"") a village in vietnam"
lông	soch	hair
lõi	yadrosi	core
lõm	konkav	concave
lùi	orqaga	back
lùn	qisqa	dwarf
lùng	ov qilish	hunt
lúa	poda	rice
lúc	da	at the moment
lún	tushish	subside
lúng	alanga	confused
lúp	kattalashtirish	uneven
lút	hiyla	surreptitiously
lăm	beshta	tens
lăn	yuvarlanmoqda	attack
lăng	maqbarasi	tomb
lĩnh	domenlari	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	toshqin	a band or gang (n.)
lũng	vodiysi	valley
lũy	kümülatif	rampart
lơ	beparvolik	to ignore
lơi	bo&#39;shashtiring	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	tampon	an urn
lưng	orqaga	back
lươn	ilonbaliq	eel
lương	ish haqi	conscience
lưới	panjara	a net (n.)
lướt	surfing	ski
lười	dangasa	lazy
lưỡi	til	tongue
lưỡng	biseksual	"(term should be ""lưỡng tính"") bisexual"
lược	taroq	invasion
lượm	yig‘moq	pick up
lượn	sirpanish	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	g&#39;alati	strange or unusual (adj.)
lạc	yo&#39;qolgan	camel
lạch	irmoq	"(term should be ""luồng lạch"") a narrow water passageway"
lại	yana	reversed
lạn	chirigan	bright
lạng	lang	lang
lạp	kolbasa	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	sajda qilmoq	kowtow
lấn	tajovuz	to encroach on (v.)
lấp	to&#39;ldiring	sparkle
lấy	tanlang	taken
lầm	noto&#39;g&#39;ri	wrong
lần	marta	time
lầu	qavat	a story or level of a building (n.)
lầy	botqoqlik	swamp
lẩu	issiq qozon	hotpot
lẩy	sakramoq	get
lẫn	chalkash	each other
lẫy	chimchilamoq	illustrious
lận	aldamoq	fraudulent
lật	o&#39;tmoq	turn
lậy	urre	"(term should be ""cai lậy"") the name of a rural district"
lắc	silkitmoq	to shake (v.)
lắm	juda	do
lắng	joylashmoq	"(should be ""lo lắ́́ng"") to worry"
lắp	mos	lap
lặng	jim	quiet
lặp	takrorlang	repeat
lặt	har xil	means miscellaneous, part of the word lat vat
lẹ	tez	quickly (adv.)
lẻ	g&#39;alati	"(the term should be ""bán lẻ"") retail"
lẻn	hiyla	sneak
lẻo	bo&#39;sh	climb
lề	chegara	alignment
lều	chodir	tent
lễ	marosimi	ceremony
lệ	darajasi	"(term should be ""tỷ lệ"") probability (n.)"
lệch	qiymalamoq	difference
lệnh	kelinand	command
lị	dizenteriya	"(term should be ""tỉnh lị"") a township (n.)"
lịch	taqvim	history
lọc	filtri	tricked
lọi	siqilish	brilliant
lọng	parazol	rope
lọt	tushish	enter
lỏi	lint	to enter
lỏng	bo&#39;shashmasdan	loose
lố	ustida	ridiculous
lốc	bo&#39;ron	tornado
lối	kirish	way or path
lốp	shinalar	tyre
lốt	ko&#39;rinishi	lolot
lồ	ulkan	giant
lồi	konveks	convex
lồng	qafas	cage
lỗ	teshik	hole
lộc	omad	loc
lội	suzmoq	wade
lộn	burildi	wrong/mistake
lộng	ajoyib	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	ajratib oling	exploit
lớn	katta	large
lớp	sinf	grade (n.)
lờ	e&#39;tibor bermaslik	turbid
lời	so&#39;z	advice
lở	sog&#39;indim	to crack
lỡ	miss	miss
lợi	foyda	benefit
lợn	cho&#39;chqa	pig
lợp	tom yopish	roof
lụa	ipak	silk
lục	yashil rangda	record
lụi	yondi	ruin
lụt	haddan tashqari	flood
lụy	oqibatlari	consequence
lứa	axlat	peer
lừa	hiyla	mislead
lừng	yorqin	well-known
lửng	bo&#39;rsiq	lơ lửng= not clear/ something in between
lự	ikkilanuvchi	reluctant
lựa	tanlandi	chosen
lựu	anor	grenade
ma	arvoh	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	makartur	macarthur
macclesfield	makkesfild	macclesfield
macedonia	makedoniya	(proper noun) macedonia
mach	mach	mach
machiavelli	makiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	makintosh	macintosh
macma	magma	magma
macromedia	makromedia	macromedia
madeira	madeira	madeira
madhouse	jinnixona	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafiya	mafia
magiê	magniy	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	tomi	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	asosiy kadr	mainframe
major	asosiy	major
makemake	makemake	makemake
malacca	malaka	malacca
malay	malay	malaysia
