$ tỉ	$ r $	$ billion
hôm	ọjọ	day (n.)
hôn	fẹnuko	propose
hông	ibadi	hip
hù	idẹruba	threaten
hùng	awọn akọni	hero
húc	gore	huc
húng	awokose	"(should be ""húng láng"") water mint"
hút	mimu siga	to suck (v.)
hăng	pungent	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	pọn	jar
hơi	kekere diẹ	slightly
hơn	ju	more or less
hư	buburu	fictional
hưu	fẹyìntì	huu
hương	turari	smell
hước	apanilẹrin	humor
hướng	itọsọna	trend
hường	huong	huong
hưởng	gbadun	influence
hạ	igba ooru	lower
hạc	igbona	crane
hạch	ẹgbẹ ẹgbẹ	ganglion
hại	ipalara	harm
hạng	kilasi	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	irugbin	seed
hải	awọn kọsitọmu	two
hảo	pipe	perfect
hấn	hấn	aggressive gesture
hất	yipo	toss
hấu	elegede	"(term should be ""dưa hấu"") watermelon"
hầm	eefin	ham
hầu	fẹẹrẹ	most
hận	korira	hatred
hậu	ayaba	anus
hắc	dudu	black
hắn	rẹ	he (n.)
hắt	sinmi	reject
hằng	loorekoore	every
hặc	hặc	to criticize (v.)
hẹ	shallots	chinese chives
hẹp	dín	narrow
hẻm	ale	alley (n.)
hẻo	ni ifipamo	outback
hến	igbin	mussel
hết	lori	most
hề	apanilerin	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	eto	relation
hệt	aami	exactly
hỉ	fẹ	happy
hịch	ojiji	a proclamation
họ	orukọ idile	they (n.)
họa	aworan	picture
họach	gbero	"(term should be ""quy hoạch"") a project (n.)"
học	kọ ẹkọ	study (v.)
họng	ọfun	throat
họp	ipade	meet
hỏa	ina	fire
hỏng	fifọ	corruption
hố	ọfin	hole
hốc	awọn ohun amọja	cavity
hồ	adagun	ho
hồi	aniisi	muslim
hồn	ọkàn	soul
hổ	ẹyẹ	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	gaping	hole
hỗ	atilẹyin	"(should be ""hỗ trợ"") to support or assist"
hỗn	dapọ	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	ajọdun	society
hộp	àpótí	box
hới	ṣii	hoi
hớn	kigbe	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sulky	hatred
hở	ṣii	reveal
hỡi	oi	dear
hợi	ẹlẹdẹ	pig (n.)
hợp	daradara ti baamu	appropriate
hợpquận	gbigba wọle	general district
hụt	aipe	loss
hủi	adẹtẹ	reject
hủy	fagile	to erase or destroy
hứa	ṣèlérí	promise
hử	hu	hu
hửu	hu	"(term should be ""sở hửu"") to own (v.)"
hữu	ohun-ini	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ara ilu iria	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	àú	ic
icc	icc	icc
iceland	yinyin	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	iruju	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	manuelmmanuelkùnrin	(proper noun) immanuel, as in immanuel kant
impact	ikolu	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	ara ilu	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	ara ilu indonia	indonesia
indrapura	inu rirun	(proper noun) indrapura
info	alaye	info
innsbruck	innsbruck	innsbruck
insulin	hisulini	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	dẹlẹ	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	iraaki	iraq
ireland	ireland	ireland
irgun	irgun	irgun
irony	irony	irony
irving	irving	(proper noun) irving
isaac	isale	isaac
isla	náà	isla
islam	islamu	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	tantanébúbù	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itonia	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jaketi	jack
jackie	jackie	(proper noun) jackie chan
jackson	apinfunni	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	bẹẹni	jae
jakarta	jakarta	(proper noun) jakarta
jan	ọrun	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	idẹ	(proper noun) jarvis, as in jarvis cocker
jasper	jasimi	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	sokoto	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jomorsoni	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	ijeku	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jò	jerome, as in fred jerome
jerry	jeri	(proper noun) jerry
jersey	aso	jersey
jerusalem	jerusalẹmu	jerusalem
jesse	jesse	a name
jesus	jesu	chua jesus
jetstar	jetstar	jetstar
jewish	ẹwa	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	ẹmi	jin
jing	jing	jing
jiraiya	wa nibẹ	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	apapọ	joint
jonathan	jonathan	(proper noun) jonathan
jones	awọn agbegbe	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseoni	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	idajo	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	fo	jump
june	juni	june, as in the month
jung	igbo	jung
junsu	junsu	junsu
jupiter	jupita	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kafe	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potasiomu	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katirina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	caucasus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	ipara	ice cream (n.)
ken	keno	ken
kennedy	keniyan	(proper noun) kennedy, as in john f. kennedy
kenneth	keno	(proper noun) kenneth, a name
kenny	omobirin	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	ìpolongo	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	onitutu	rare
khang	khang	khang
khanh	khanh	khanh
khao	npongbe	desire
khay	atẹ	tray
khe	iho	chink
khem	khem	abstinence
khen	iyin	praise
kheo	lori stilts	kheo
khi	nigbati awọn	when
khieu	ko ye	(proper noun) khieu, as in khieu samphan
khiêm	iwọntunwọnsi	khiem
khiên	asà	a shield
khiêu	itara	"('khiêu dâm"") pornographic"
khiếm	àìlera	lack
khiến	fa	control
khiếp	jìnnìjìnnì	horrible
khiếu	ayagbe	talent (n.)
khiển	iṣakoso	control
khleang	khleang	kh'leang
kho	ile itaja	warehouse
khoa	olukọ	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	lu	drill
khoang	iho	brag
khoanh	pariwo	a slice (n.)
khoe	fifihan ni pipa	to boast
khoá	tiipa	lock
khoác	aṣọ bibori	coat
khoán	ọja	stock
khoáng	alumọni	mineral
khoát	pataki	decisive
khoét	ge	carve
khoăn	fret	disturbed
khoả	ihoho	naked
khoản	nkan	an item (n.)
khoảng	feleto	about
khoảnh	asiko	moment
khoẻ	dara	health
khrushchev	khrushchev	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	ẹgbẹ	section
khung	awọn fireemu	frame
khural	ẹlẹṣẹ	khural
khuynh	osi	trend
khuyên	imọran	advise
khuyết	alebu	lack
khuyển	aja	khuyen
khuất	farapamọ	hidden
khuấy	ru	stir
khuẩn	awọn kokoro arun	bacteria
khuếch	fẹẹrẹ	amplification
khuỷu	igbonwo	elbow
khá	dipo	quite
khác	omiiran	different
khách	àlejò	customer
khái	erongba	concept
khám	àyẹ̀wò	discover
khán	àwùjọ	audience
kháng	atako	appeal
khánh	ominira	a type of chime made of stone (n.)
khát	ongbẹ	to be thirsty for (adj.)
khâm	khám	admire
khèn	alas	a pan-pipe (n.)
khéo	ọlọgbọn	cleverly or skillfully (adv.)
khép	sunmọ	close
khía	ogbontarigi	"(term should be ""khía cạnh"") angle (n.)"
khích	gba iwuri	encourage
khít	sunmọ	close
khó	nira	difficulty
khóa	atipa	a session
khóc	kigbe	cry
khói	ẹfin	smoke
khóm	ope oyinbo	a cluster
khô	gbẹ	dry
khôn	ologbon	clever, intelligent
không	kiise	not
khúc	apa	song
khăm	oorun alarun	nasty (adj.)
khăn	aṣọ inura	difficult
khơi	ti ita	sea
khư	khư	grip
khưu	khưu	khuu
khước	sẹ	waive
khả	seese	"(term should be ""khả năng"") ability (n.)"
khải	ifihan	triumph
khảm	amọ	to encrust
khảo	àyẹ̀wò	"(term should be ""tham khảo"") to consult (v.)"
khấm	gun	endure
khấn	gbadura	pray
khấu	ẹdinwo	"(term should be ""sân khấu"") a stage (n.)"
khẩn	amojuto ni	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	ogbontarigi	moment
khắp	gbogbo ibi	all over
khẳng	isọdi	"(term should be ""khẳng định"") to assert (v.)"
khế	eso eso	bond
khỉ	obo	monkey or ape (n.)
khỏa	ihoho	nude
khỏe	lagbara	health
khỏi	jade ti	leave
khố	aṣọ fẹẹrẹ	loincloths
khốc	dire	devastating
khối	ipele ite	a block or mass of (n.)
khốn	ọmọ ale	miserable
khống	khong	control
khổ	ijiya	miserable (adj.)
khổng	omiran	huge
khởi	pilẹṣẹ	start
khủng	ẹru	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	ọmọ ale	elbow
khứu	pastel	olfactory
khử	imukuro	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	iyẹn	other
kid	ọmọ kekere	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	ibuso	kilometer
kim	kim	kim
kingdom	ijọba	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	fẹnuko	kiss
kissinger	ẹnu ifẹnukonu	kissinger
kitts	awọn ọmọ ologbo	kitts
kitô	kristiẹni	christian
kiêm	pẹlu	cum
kiên	alaisan	consistent
kiêng	yago fun	abstinence, as in abstaining from eating
kiêu	agberaga	showy
kiếp	igbesi aye	a lifetime (n.)
kiết	kiết	cheap (adj.)
kiềm	ipilẹ	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	ṣayẹwo	control
kiểu	oriṣi	type
kiệm	ti ọrọ-aje	save
kiện	lati pe lẹjọ	event (su kien)
kiệt	aṣapẹrẹ	exhausted (adv.)
kiệu	aafin ọba	scallion
klaus	klaus	klaus
klein	klein	klein
km	kilomita	kilometer
knesset	knesset	knesset
knuth	ọbẹ	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	aṣiṣe	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	tọju	kulak
kune	kun	(proper noun) kune, as in the martial art jeet kune do
kung	egbe	danh vo
kungfu	egbe egbe	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	ara ilu	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	paade	included
kèn	ipè	horn
kém	o kere ju	less
kén	cocoon	selective
kéo	fa	scissors
kép	meji	dual
két	aabo	"(term should be ""rốc két"") rocket (n.)"
kê	jero	statistics
kênh	awọn ikanni	channel
kêu	ariwo	appeal
kìa	wò o	that
kìm	olutayo	bar
kình	gilaasi	rivalry
kí	ami	sign
kích	tẹ	excite
kíchbom	tẹbutton	bombers
kín	ikọkọ	secretive or closed tight (adj.)
kính	gilaasi	respect
kíp	atuko	esoterica
kít	réré	wheelbarrow
ký	ami	"(""nhật ký"") a diary"
kĩ	farabalẹ	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	suwiti	candy
kẹp	agekuru	to clamp down (v.)
kẹt	di	jam
kẻ	buruku	guy
kẻo	boya	lest
kẽ	aarin	crevice
kẽm	sinkii	zinc
kế	itele	a scheme (n.)
kết	ipari	combine
kề	nitosi	adjacent
kềnh	olopobobo	bulky
kệ	selifu	ignore
kỉ	orundun	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	ẹṣin	ki
kịp	tọju	kip
kỵ	ẹṣin	taboo
kỷ	orundun	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	aami	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	arabara	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	ilẹ	land
landon	landon	a name
lang	l’or	lang
langdon	lọndọnì	langdon
lange	gbẹsan	lange, as in oscar lange
langue	ìbá	langue
lanh	aṣọ-ọgbọ	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	jẹdọjẹdọ	labor
laos	laos	(proper noun) laos
lap	ipele	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lesa	laser
lateran	pẹran	lateran
latinh	ede latini	latin
latvia	latvia	(proper noun) latvia
lau	nù	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	agbofinro	(proper noun) lawrence
lay	dubulẹ	lay
lazarus	lazarus	(proper noun) lazarus
leach	leach	(proper noun) leach
leaf	ewe	leaf
leave	lọ	leave
lebanon	lebanon	(proper noun) lebanon
lee	lee	lee
legacy	julọ	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	awọn lẹnsi	lenin's
leo	gun oke	climb
leon	leon	leon
leonard	adẹtẹ	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	ẹnu ọna	(proper noun) libby
libero	olominira	libero
libya	libya	libya
lido	lido	lido
liechtenstein	irọke-oniṣẹ	liechtenstein
liga	liga	a name
lightning	monomono	lightning
lilly	aimọgbọnwa	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	awọn ọna asopọ	links
linux	àlẹmọ	linux server
lionel	kiniun	lionel
lisboa	lisboa	lisboa
lisbon	lisbon	a name
litva	lithuania	(proper noun) lithuania
liu	liu	liu
liêm	otitọ	good example
liên	afowopaowo	relate
liêng	mimọ	sacred
liêu	iṣejọba	bureaucracy
liềm	àrùn	sickle
liều	iwọn lilo	daring
liễu	willow	a willow tree (n.)
liệng	jabọ	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	ẹlẹgba	impotent
liệu	boya	document
lleyton	lọnita	lleyton
lo	dààmú	to worry (v.)
loa	sọrọ	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	tẹ	patchy
loch	loch	loch
locke	eyan	(proper noun) locke, as in philosopher john locke
lockheed	titiipa	(proper noun) lockheed, as in lockheed martin
log	wọle	log
logan	logan	a name
lon	le	lon
london	london	london
long	gun	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	louvre	(proper noun) louvre
love	ni ife	yeu
loài	eya	species
loát	flashy	overturn
loãng	washy	wishy-washy
loét	ọgbẹ	gaping, as in a wound
loại	eya	type
loạianh	oriṣi	not a word
loạianime	tẹ anime	type anime
loạibệnh	iru arun	disease
loạichiến	oriṣi	loaichien
loạicác	oriṣi	item
loạicâu	oriṣi	type: club
loạicông	oriṣi	type: industry
loạicựu	oriṣi	kind former
loạigia	oriṣi	loaigia
loạihuân	kindhuan	not a word
loạiluật	iru ofin	type: law
loạimáy	oriṣi ẹrọ	kind plane
loạimôn	oriṣi	type
loạingày	tẹ eyi	loaingay
loạiphim	oriṣi fiimu	type movie
loạiphong	oriṣi	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	iru ofin	type: lexicon
loạithành	oriṣi	kinds of payment
loạithần	oriṣi	kind myth
loạitrường	iru ile-iwe	type of school
loạitín	irú	type: belief
loạitổ	oriṣi	kind organization
loạivõ	oriṣi	type: martial art
loạixã	oriṣi	kind of society
loạn	rudurudu	disorderly
loạt	jara	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ẹṣẹ	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	sẹhin	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	ẹdọfóró	shake
lustig	ifẹkufẹ	lusig
luther	luther	luther
luxembourg	luxembourg	a name
luy	loy	luy
luyến	asomọ	love
luyện	idanileko	training
luận	ọrọìwòye	"(term should be ""xã luận"") an editorial"
luật	ofin	law
luồn	asapo	wriggle
luồng	ṣiṣan	lane
luộc	jinna	boiled
luỹ	akopọ	rampart (n.)
ly	gilasi	divorce
lydia	lidia	lydia
lympho	omi-olodi	lymphocyte
lyndon	lailai	lyndon
lyon	lyon	lyon
là	wà	the verb to be
làm	ṣe	make
làn	ọna tooro	wave
làng	abule	village
lành	larada	protestant
lào	laos	laos
lá	ewé	"(term should be ""lá thư"") a letter (n.)"
lác	squint	brag
lách	olorun	to swerve (v.)
lái	wakọ	to drive (v.)
lán	gbọn	shack
láng	didan	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	alailoye	nearby
lâu	gun	long time
lây	tó leè ranni	to infect
lãi	iwulo	a profit
lãm	fihan	exhibition
lãnh	gba	to receive
lão	atijọ	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	isokuso	sneak
lê	eso pia	le
lêmạc	ina	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	sókè	on
lênh	pipaṣẹ	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	lọ	to leave (v.)
lình	lojiji	suddenly
lí	ibi ipamọ	reason
lính	jagunjagun	soldier
lít	lita	litre
líu	tutu	"(term should be ""dính líu"") to have a connection with"
lò	adiro	release
lòng	fifun pa	heart
lóc	ejò	cry
lóe	ti kuna	flash
lóng	apọn	"entire term should be ""tieng long""; means ""slang"""
lót	aṣọ	undies
lô	pupo	batch
lôi	aṣiṣe	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	irun	hair
lõi	mojuto	core
lõm	ṣẹgun	concave
lùi	sẹhin	back
lùn	kukuru	dwarf
lùng	ọdẹ	hunt
lúa	paddy	rice
lúc	ni	at the moment
lún	subsidence	subside
lúng	igbunaya ina	confused
lúp	igbega	uneven
lút	ajiwo	surreptitiously
lăm	marun	tens
lăn	yiyi	attack
lăng	ibi ikogun	tomb
lĩnh	awọn ibugbe	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	iṣan omi	a band or gang (n.)
lũng	afonifoji	valley
lũy	akopọ	rampart
lơ	igbagbe	to ignore
lơi	loosen	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	onimọṣẹ	an urn
lưng	sẹhin	back
lươn	eel	eel
lương	ekunwo	conscience
lưới	akoj	a net (n.)
lướt	wiwo	ski
lười	ọlẹ	lazy
lưỡi	ahọn	tongue
lưỡng	iselàgbedemeji	"(term should be ""lưỡng tính"") bisexual"
lược	konbo	invasion
lượm	kó	pick up
lượn	yipo	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	ajeji	strange or unusual (adj.)
lạc	sọnu	camel
lạch	odò	"(term should be ""luồng lạch"") a narrow water passageway"
lại	lẹẹkansi	reversed
lạn	ru	bright
lạng	lẹnti	lang
lạp	soseji	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	tẹriba	kowtow
lấn	ihamọra	to encroach on (v.)
lấp	kun	sparkle
lấy	mu	taken
lầm	ti ko tọ	wrong
lần	awọn akoko	time
lầu	ilẹ	a story or level of a building (n.)
lầy	rirun	swamp
lẩu	ikoko ti o gbona	hotpot
lẩy	fo	get
lẫn	dapo	each other
lẫy	fun pọ	illustrious
lận	iyanjẹ	fraudulent
lật	isipade	turn
lậy	beni	"(term should be ""cai lậy"") the name of a rural district"
lắc	gbọn	to shake (v.)
lắm	pupọ	do
lắng	lati yanju	"(should be ""lo lắ́́ng"") to worry"
lắp	ibaamu	lap
lặng	dakẹrọrọ	quiet
lặp	tun	repeat
lặt	oriṣiriṣi	means miscellaneous, part of the word lat vat
lẹ	yiyara	quickly (adv.)
lẻ	odd	"(the term should be ""bán lẻ"") retail"
lẻn	ajiwo	sneak
lẻo	dẹra	climb
lề	ala	alignment
lều	agọ	tent
lễ	ayẹyẹ	ceremony
lệ	oṣuwọn	"(term should be ""tỷ lệ"") probability (n.)"
lệch	sẹsẹ	difference
lệnh	comeinand	command
lị	rírin	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalẹnda	history
lọc	àlẹmọ	tricked
lọi	squint	brilliant
lọng	parasol	rope
lọt	ṣubu	enter
lỏi	fẹẹrẹ	to enter
lỏng	tú	loose
lố	lori	ridiculous
lốc	iji lile	tornado
lối	ẹnu ọna	way or path
lốp	taya ọkọ	tyre
lốt	itanjẹ	lolot
lồ	omiran	giant
lồi	apejọ	convex
lồng	ile-ẹyẹ	cage
lỗ	iho	hole
lộc	ọrọ	loc
lội	we	wade
lộn	fọn	wrong/mistake
lộng	alayeye	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	rinhoho kuro	exploit
lớn	nla	large
lớp	kilasi	grade (n.)
lờ	foju	turbid
lời	ọrọ	advice
lở	padanu	to crack
lỡ	sọnu	miss
lợi	èrè	benefit
lợn	ẹlẹdẹ	pig
lợp	òrùlé	roof
lụa	siliki	silk
lục	alawọ ewe	record
lụi	run si isalẹ	ruin
lụt	rẹwẹsi	flood
lụy	awọn ilolu	consequence
lứa	idalẹnu	peer
lừa	ẹtan	mislead
lừng	alaapẹrẹ	well-known
lửng	awako	lơ lửng= not clear/ something in between
lự	aṣiyemeji	reluctant
lựa	ti a ti yan	chosen
lựu	pomegranate	grenade
ma	iwin	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	ẹrọ	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	ṣeira	madeira
madhouse	ile were	madhouse
madison	madison	madison
madonna	aṣiwere	(proper noun) madonna
madrid	ilu madrid	madrid, as in the capital of spain
mafia	nsomi	mafia
magiê	iṣuu magnẹsia	magnesium
mahal	maili	(proper noun) mahal, as in the taj mahal
mai	orule	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	akọkọframe	mainframe
major	pataki	major
makemake	ṣe ọti oyinbo	makemake
malacca	malabe	malacca
malay	malay	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	ibi	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	baba	mandy
mang	gbe	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	awọn maapu	maps
maradona	ẹlẹṣin	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	maranti	(proper noun) marat, as in marat safin, a tennis player
marc	akọrin	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	ayase	marcus, as in marcus aurelius (n.)
margaret	ẹla	(proper noun) margaret
maria	arabinrin	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	ọkọ	marie
marina	marina	marina
marino	igbafẹfẹ	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	pẹtẹlẹ	marne, as in the marne river (n.)
mars	ọkunrin	mars
