$	ps	american dollar symbol
ஜிம்பாப்வே	zimbabue	zimbabe
ஜீன்	vaquero	jean
ஜீவன்	jeevan	jeevan
ஜூனியர்	júnior	junior
ஜூன்	junio	month june
ஜூரிச்	zúrich	jurich
ஜூலியஸ்	julius	julius
ஜூலை	julio	month july
ஜூல்	joule	joule
ஜெ	jain	j, an initial of a name
ஜெனீவா	ginebra	geneva
ஜெயலலிதா	jayalalithaa	chief minister of tamil nadu
ஜெர்மனி	alemania	germany
ஜெர்மனியின்	de alemania	germany
ஜெர்மனியில்	en alemania	in germany
ஜெர்மனியும்	alemania	jermanium
ஜெர்மன்	alemania	german
ஜெர்மானிய	alemán	german
ஜே	j	j
ஜேக்	jack	jake
ஜேம்ஸ்	james	james
ஜேர்மனி	alemania	german
ஜேர்மனியின்	de alemania	germany's
ஜேர்மன்	alemán	german
ஜோசப்	joseph	joseph
ஜோடியாக	emparejado	paired
ஜோதி	antorcha	jyoti
ஞான	sabiduría	knowldege
ஞானம்	sabiduría	knowledge
ஞானி	santo	genius
ஞானிகள்	santos	sages
டச்	toque	touch
டச்சு	holandés	dutch
டச்சுக்	holandés	dutch
டா	da	daa
டாக்	doc	dock
டாக்கா	dhaka	dhaka
டாக்டர்	dr.	doctor
டாடா	tata	tata
டான்	amanecer	don television
டார்வின்	darwin	darwin a name
டாலர்	dólar	dollar
டாஸ்	sacudida	disc
டி	t	de
டி.என்.ஏ	adn	d.n.a, a gentic material
டிஎன்ஏ	adn	dna
டிசிப்ரோசியம்	ticiprociyam	dysprosium
டிஜிட்டல்	digital	digital
டிஜிபிஎஸ்	tijipies	dgps
டில்லி	nueva delhi	delhi
டிவி	televisión	television
டிவிடி	dvd	dvd or digital visual display
டு	a	a letter in tamil
டூ	también	to
டெக்சாஸ்	texas	texas is a state in usa
டெக்டோனிக்	tectónico	techtonic
டென்னிஸ்	tenis	tennis
டென்மார்க்	dinamarca	denmark
டெய்லர்	taylor	tailor
டெர்பியம்	terbio	terbium laser
டெல்	dell	del
டெல்லி	nueva delhi	delhi
டெல்லியின்	delhi	delhi's
டெஸ்பெரேஸன்	tesperesan	federation an english movie or film
டே	día	day
டேச்சு	dachau	ducth
டேனியல்	daniel	daniel
டேவிஸ்	davis	davis
டை	morir	dye
டைகர்	tigre	tiger
டைகிரிஸ்	tigris	tigris river
டைசர்	taicar	nucleous
டைட்டேனியம்	circonio	titanium
டைபர்	tiber	tiber
டைம்ஸ்	los tiempos	times
டோக்கியோ	tokio	tokyo in japan
ட்விட்டரின்	twitter&#39;s	twitter
ட்விட்டரைப்	gorjeo	twitter
ட்விட்டர்	gorjeo	twitter
த	los	tha
தகடூர்	takatur	thagadur a war place
தகவலை	información	informations
தகவல்	información	information
தகவல்களை	información	informations
தகவல்களைப்	información	information
தகவல்களையும்	información	informations
தகவல்கள்	información	informatin
தகவல்தொடர்பு	comunicación	telecommunication links
தகுதியை	elegibilidad	power
தகுந்த	apropiado	qualified
தக்க	retenido	stay
தங்க	oro	gold
தங்கச்	oro	gold
தங்கச்சி	thangachi	sister
தங்கத்தின்	de oro	of gold
தங்கம்	oro	gold
தங்களது	su	crusade
தங்களின்	su	yours
தங்களுக்கு	su	themselves
தங்களுக்குள்	sí mismos	in between them
தங்களுடைய	su	their
தங்களை	sí mismos	yours
தங்கள்	su	their
தங்கி	permanecer	stay
தங்கியுள்ளது	depende	remains
தசரதன்	dasaratha	dhasarathan
தசாவதாரம்	dasavataram	dasavatharam
தசை	músculo	muscles
தஞ்சை	thanjavur	tanjore
தஞ்சைப்	tancaip	thanjavur
தஞ்சையில்	thanjavur	in thanjavur in tamilnadu
தடவை	hora	one time
தடுக்க	evitar	prevent
தடுக்கவும்	evitar	cut
தடுக்கிறது	previene	prevent
தடுக்கும்	previniendo	prevent
தடுத்து	detención	stopped
தடுப்பது	bloqueo	restrict
தடுப்பு	prevención	vaccines
தடுப்பூசி	vacunación	vaccination
தடை	prohibición	break
தடையாக	obstáculo	hurdle
தட்சிணாமூர்த்தி	dakshinamurthi	one of the name
தட்டச்சு	mecanografía	typewrite
தட்டாரப்பூச்சி	libélula	dragonfly
தட்டிகள்	vallas	billboard
தட்டு	plato	plate
தட்டுகள்	paletas	layers of the earth
தட்டையான	plano	flate
தட்ப	clima	temprature
தட்பவெப்ப	clima	whether
தட்பவெப்பநிலை	clima	climate
தண்டனை	ejemplo	punishment
தண்டு	vástago	stem
தண்ணீரை	agua	water
தண்ணீர்	agua	water
தத்தம்	su	myself
தத்துவ	filosófico	ravi
தத்துவத்தின்	filosofía	philosophy
தத்துவப்	filosófico	philosophy
தத்துவம்	filosofía	philosophy
தத்துவவாதிகள்	filósofos	philosophers
தந்த	de	given by
தந்தம்	marfil	ivory
தந்தி	telegrama	telegram
தந்தை	padre	father
தந்தையான	padre	father
தந்தையின்	padre	father's
தந்தையை	padre	father
தன	ira	earth
தனக்கு	su	me
தனது	su	mine
தனி	separar	seperate
தனிக்	intimidad	single
தனிச்சிறப்பு	distinción	distinction
தனித்த	único	seperate
தனித்தனியான	separar	several
தனித்தனியே	por separado	seperately
தனித்தன்மை	impresionista	speciality
தனித்து	solitario	own
தனித்துவ	personalizado	unique
தனித்துவமான	distintivo	individually
தனித்துவம்	unicidad	seperately
தனிநபருக்கான	per cápita	per person
தனிநபர்	personal	individual
தனிப்பட்ட	personal	seperate
தனிமங்கள்	elementos	metals
தனிமனித	personalidad	personality
தனிமுறை	privado	private network
தனியாக	solo	separately
தனியான	separar	sole
தனியார்	privado	private
தனியாள்	soltero	individual
தன்	su	for me
தன்நிறைவு	suficiencia	self sufficient
தன்னாட்சி	autonomía	autonomy
தன்னிலை	estante	self
தன்னுடன்	con él	to annex
தன்னுடைய	su	me
தன்னுள்	incorporado	itself
தன்னை	él mismo	myself
தன்னைத்	él mismo	himself
தன்னைப்	él mismo	herself, itself, himself
தன்மை	opacidad	natural quality
தன்மையில்	en naturaleza	in nature
தன்மையும்	naturalezas	having the character
தன்மையை	personaje	to know the status
தன்மையைக்	naturaleza	having the character
தபால்	enviar	post
தப்பி	huyendo	to escape
தமக்கு	su	his
தமக்கென	él mismo	have  need
தமது	su	their
தமனி	artería	veins
தமிழக	tennesse	tamilnadu
தமிழகத்தின்	estado de	in tamilnadu
தமிழகத்தில்	en tamil nadu	tamils
தமிழகம்	tamil nadu	tamilnadu
தமிழன்	lubricante	tamizhan
தமிழரிடையே	sostener	among tamil people
தமிழரின்	marcadores	tamilians
தமிழரும்	tamiles	tamilan also
தமிழர்	tamil	tamilian
தமிழர்களுக்கு	tamiles	for thetamils
தமிழர்களும்	tamiles	tamil people
தமிழர்கள்	tamiles	tamilians
தமிழா	tamila	tamils
தமிழிசை	tamilisai	tamilpoem
தமிழின்	de tamil	tamil
தமிழிலும்	tamil	tamil
தமிழில்	en tamil	in tamil
தமிழீழ	eelam	tamil eelam
தமிழீழத்தில்	tamil eelam	in tamilnadu
தமிழீழம்	atracción secundaria	tamil ealam
தமிழுக்கு	tamil	of tamil
தமிழை	tristemente	tamil language
தமிழ்	tamil	it is a language
தமிழ்க்	tamil	tamil
தமிழ்ச்	tamil	of tamil
தமிழ்த்	tamil	tamil
தமிழ்நாடு	tamil nadu	tamil nadu
தமிழ்நாட்டின்	tamil nadu	for tamilnadu
தமிழ்நாட்டில்	en tamil nadu	in the tamil nadu
தமிழ்நெட்	tamilnet	tamilnet
தமிழ்ப்	tamil	tamils
தம்	su	themself
தம்பி	hermano	brother
தம்மை	él mismo	we
தயாராக	listo	to be ready for harvest
தயாரிக்கப்படுகின்றன	producciones	manufactering
தயாரிக்கப்படுகிறது	de origen	manufactured
தயாரிக்கப்படும்	estar preparado	manufactured
தயாரிக்கப்பட்ட	fabricado	having manufactured
தயாரிக்கும்	moldura	production
தயாரித்த	producido	produced
தயாரித்து	horneado	prepared
தயாரிப்பில்	en la preparación de	production
தயாரிப்பு	fabricación	production
தயாரிப்புகள்	productos	manufacture
தயார்	listo	ready by
தயிர்	yogur	yogurt
தர	calidad	range
தரத்தில்	en terminos de calidad	in standard
தரத்தை	la calidad	quality
தரநிலை	estándar	living standard
தரப்பட்ட	previsto	given
தரப்பட்டுள்ள	dado	given
தரப்பட்டுள்ளன	previsto	given
தரப்பு	enjuiciamiento	party
தரமான	calidad	quality
தரம்	calidad	quality
தரவிறக்கம்	descargable	download
தரவில்லை	havent	not given
தரவு	datos	data
தரவுகளின்	de datos	data
தரவுகளை	datos	data
தரவுகள்	datos	data
தரவுத்	datos	world wide link
தரவுப்	datos	brokerage
தரவை	datos	ajax
தருகின்ற	pegajoso	provide
தருகின்றன	cormos	gives
தருகிறது	da	it gives
தருகிறார்	proporciona	gives
தரும்	devoluciones	to
தருவது	punción	gives
தரைபாவுமை	taraipavumai	not having a gap
தரையில்	suelo	in the floor
தர்க்க	lógica	wordy quarrel
தர்ம	dharma	dharma
தர்மபுரி	dharmapuri	dharmapuri district in tamilnadu
தர்மம்	dharma	righteousness
தற்காலத்	hoy en día	now a days
தற்காலத்தில்	hoy en día	current days
தற்காலிக	temporal	temporarily
தற்காலிகமாக	temporalmente	temporary
தற்கொலை	suicidio	suicide
தற்சமயம்	actualmente,	currently
தற்பொழுது	actualmente,	now
தற்போதய	actual	current
தற்போது	actualmente	now
தற்போதும்	presente	resant
தற்போதுள்ள	existente	at present
தற்போதைய	actual	present
தலங்களில்	atracciones	temple
தலங்கள்	lugares	places
தலை	cabeza	head
தலைசிறந்த	excepcional	famous
தலைநகரங்கள்	capitales	capitals
தலைநகரமாக	sede	capital
தலைநகரமான	capital	head quaters
தலைநகரம்	sede	capital city
தலைநகராக	en la capital	capital
தலைநகராகக்	capital	capital city
தலைநகராகும்	capital	headquaters
தலைநகரான	capital	capital
தலைநகரை	capital	capital city
தலைநகர்	capital	capital
தலைப்பில்	titular	caption
தலைப்பு	encabezamiento	caption
தலைப்புகள்	subtítulos	topics
தலைமுறை	generacion	generation
தலைமை	cabeza	chief
தலைமைத்	jefe	head
தலைமைப்	liderazgo	leading
தலைமையகம்	sede	headquaters
தலைமையிடமாக	con sede	head quaters
தலைமையின்	liderazgo	under the leadership of
தலைமையிலான	con membrete	under the leadership
தலைமையில்	con membrete	under the leadership of
தலைமையேற்று	con membrete	led
தலையங்கம்	tope	editoral
தலையாய	primario	important
தலையிட	interferir	involve
தலையீட்டை	intervención	interference
தலைவன்	líder	head
தலைவராகவும்	presidente y	leader
தலைவரான	líder	for the leaders
தலைவராவார்	líder	leader
தலைவர்	líder	leader
தலைவர்களும்	líderes	heads
தலைவர்கள்	líderes	leaders
தலைவி	presidente	woman
தள	sitio	web site
தளங்களின்	sitios	web sites
தளங்களில்	sitios	sites
தளங்கள்	sitios	field
தளத்தின்	sitio	floors
தளத்தில்	sitio	in resource
தளத்தை	base	center
தளமாக	base	place
தளம்	el sitio	floor
தளையறு	gratis	unfetter
தள்ளுபடி	descuento	discount
தழுவி	abrazo	to manage
தழுவிய	a escala nacional	worldwide
தவம்	majestuoso	meditation
தவறாக	abuso	wrong
தவறான	falso	wrong
தவறாமல்	regularmente	without fail
தவறு	falso	fault
தவறுகள்	errores	wrong
தவறுதலாக	erróneamente	allow phonetic typing by mistake
தவிர	aparte	execpt
தவிர்க்க	evitar	to avoid
தவிர்த்து	excluyendo	except
தவிர்ந்த	que	except
தாகூர்	tagore	tagore
தாக்க	ataque	effects
தாக்கங்களை	trascendencia	impact
தாக்கங்கள்	influencias	impacts
தாக்கத்தால்	el impacto	affect
தாக்கத்தை	impacto	having that effect
தாக்கம்	impacto	interference
தாக்கி	atacado	attack
தாக்குதலில்	ataque	attacks
தாக்குதலுக்கு	ataque	attack
தாக்குதலை	ataque	attacks
தாக்குதல்	ataque	attack
தாக்குதல்களை	los ataques	attacks
தாக்கும்	golpear	attack
தாக்கோ	takko	thaco a mixture
தாங்க	oso	to bear
தாங்களே	sí mismos	you only
தாங்கள்	ellos	by themselves
தாங்கி	llevando	bearing
தாங்கிய	llevando	led the
தாங்கும்	alojamiento	carrying
தாஜ்	taj	taj
தாஜ்மகாலின்	magnitud de la	the taj mahal
தாண்டவம்	thandavam	dance
தாண்டி	más allá	outgrow
தாண்டிச்	más allá	skipped
தாண்டிய	excesivo	even after that
தாது	mineral	mineral
தானம்	donante	donating
தானாக	automáticamente	at its own
தானாகவே	automáticamente	himself
தானியங்கி	automotor	automatic
தானுந்து	automóvil	motor
தானே	thane	their own
தான்	sólo	only
தாமசு	thomas	thomas
தாமஸ்	thomas	thamas
தாமாகவே	sí mismos	by voluntarily
தாமிரபரணி	thamirabarani	thamiraparani is a river in tamil nadu
தாமே	él mismo	themself
தாம்	ellos	is
தாயகமாக	hogar	motherland
தாயகம்	patria	mother land
தாயார்	madre	mother
தாயின்	de la madre	from the mother
தாயை	madre	mother
தாய்	madre	tamil language
தாய்லாந்து	tailandia	thailand
தாய்வான்	taiwán	taiwan
தாராளவாத	liberal	liberal
தாலாட்டு	balancín	rocker
தாலிபான்	talibanes	taliban
தாள்	sábana	paper
தாள்கள்	hojas	paper
தாழ்	bajo	paper
தாழ்த்தப்பட்ட	deprimido	backward class
தாழ்ந்த	inferior	backward class
தாழ்வான	galera	lower land
தாவர	planta	biology
தாவரங்களில்	en plantas	in plants
தாவரங்களை	plantas	plants
தாவரங்கள்	plantas	vegetation
தாவரம்	plantador	plants
தாவரவியல்	botánica	biology
தி	los	the
திகதி	en	date
திகழும்	edificación	bearing a good name
திகழ்கின்றன	son	acts as an instrument
திகழ்கிறது	incorpora	contains
திகழ்ந்த	estaba	best of all
திகழ்ந்தது	estaba	was
திகழ்ந்தார்	conjunto	already he knows
திங்கள்	lunes	monday
திசு	tejido	cell
திசுக்கள்	tejidos	cells
திசுள்	ticul	cell
திசை	dirección	direction
திசைகளிலும்	direcciones	directions
திசையில்	dirección	in direction
திசைவி	enrutador	thumbright
திசைவேகம்	velocidad	speed of velocity
திட	sólido	a standard
திடீர்	repentino	suddenly
திட்ட	proyecto	plan
திட்டங்களின்	esquemas	plannings
திட்டங்களை	planes	plans
திட்டங்கள்	proyectos	plans
திட்டத்தின்	esquema	scheme
திட்டத்தில்	en el proyecto	project
திட்டத்தை	programa	plan
திட்டமிடல்	planificación	planning
திட்டமிட்ட	planificado	planned
திட்டம்	programa	plan
திணிவு	masa	circumferce
திணை	cinturón	belt
திணைமண்டலம்	cinturón	part
திண்ம	sólido	solid
தினசரி	diario	daily
தினமணி	pts	dinamani
தினமலர்	nótese bien	daily malar
தினமும்	todos los días	daily
தினம்	día	daily
திபெத்	tíbet	tibet
திபெத்தின்	tibet&#39;s	of tibet
திப்பு	tipu	a title given to king
திமிங்கிலங்கள்	ballenas	whales
திமிங்கிலம்	ballena	whale
திமுக	dmk	dmk a political party
திமுகவின்	dmk	dmk, a political party
திரட்டி	movilizando	join
திரள்கள்	bajíos	swarms
திரவ	líquido	fluid
திரவம்	líquido	liquid
திராவிட	dravida	socity
திராவிடக்	dravidiano	dravida
திராவிடம்	dravidam	pradesh to
திராவிடர்	dravida	dravidas
திராவிடர்களை	dravidiano	dravidians
திராவிடர்கள்	dravidianos	dravidians
திரு	señor.	mr.
திருகோணமலை	trincomalee	thirugonamalai
திருக்குர்ஆன்	corán	qur'an
திருக்குறள்	pls	thirukkural
திருக்கோணமலை	trincomalee	thirukona malai
திருக்கோணமலையில்	en trincomalee	in casualty
திருக்கோயில்	templo	temple
திருச்சபை	iglesia	church
திருச்சபைகள்	iglesias	churches
திருச்சபையின்	iglesia de la	chruch
திருச்சி	trichy	thiruchi
திருச்சிராப்பள்ளி	tiruchirappalli	trichirapalli
திருத்தங்களை	correcciones	amendments
திருத்தங்கள்	correcciones	correction
திருத்தப்பட்ட	modificado	corrected
திருத்தம்	corrección	correction
திருநாள்	semen	good day
திருநாவுக்கரசு	thirunavakarasu	thirunavukkarasu a tamil name
திருநெல்வேலி	tirunelveli	thirunelvelli
திருப்பதி	tirupati	thirupathi a holy temple in andhra pradesh
திருப்பி	regreso	return
திருப்பூர்	tirupur	tirupur a district in tamil nadu
திருமகள்	thirumagal	lakshmi
திருமண	boda	marriage or wedding
திருமணங்கள்	bodas	marriage
திருமணத்திற்கு	boda	marriage
திருமணம்	boda	marriage
திருமலை	tirumala	tirumala
திருமால்	a vuelta de correo	thirumal a vainava god
திருமுறை	thirumurai	deuterocanonical
திருமுறைகள்	thirumurai	tirumuraikal
திருமுழுக்கு	bautista	for tirumul
திரும்ப	regreso	repete
திரும்பவும்	regreso	again
திரும்பி	regreso	return back
திரும்பினார்	devuelto	returned
திரும்பிய	volviendo	return
திருவண்ணாமலை	thiruvannamalai	thiruvannamalai
திருவள்ளுவர்	thiruvalluvar	thiruvalluvar
திருவாதிரை	betelgeuse	astrology word
திருவாரூர்	thiruvarur	thiruvaroor
திருவாலங்காட்டுச்	tiruvalankattuc	thiruvalangkadu is a place in tamilnadu
திருவிடைமருதூர்	thiruvidaimarudur	thiruvidaimaruthoor
திருவிளையாடல்	thiruvilayadal	thiruvilayadal, the work of lord siva
திருவிழா	festival	festival
திரை	pantalla	screen
திரைப்பட	película	relating to films
திரைப்படங்களின்	películas	feature films
திரைப்படங்களில்	en películas	in cinema
திரைப்படங்களுக்கு	ayuda de películas	movies for
திரைப்படங்களை	películas	films
திரைப்படங்கள்	películas	films
திரைப்படத்	película	feature film
திரைப்படத்தில்	en la película,	film
திரைப்படத்துறை	jajajaja	film industry
திரைப்படத்துறையில்	jajajaja	cinema deportment
திரைப்படமான	película	movie
திரைப்படம்	película	films
திரையிடல்	poner en pantalla	picture
திறந்த	abierto	open
திறந்து	abre el	open
திறனில்	capacidad	skills
திறனும்	capaz	efficient
திறனுள்ள	capaz	talented
திறனை	potencial	efficiency
திறன்	capacidad	efficiency
திறன்களை	habilidades	strength
திறமை	talento	ability
திறம்பட	efectivamente	indeligent
திறவுகோல்	la clave	key
திறை	tributo	tax
திலகம்	tilak	a title given to actors in tamil
தில்	dil	dhil
தில்லி	delhi	delhi
தீ	fuego	fire
தீக்குச்சி	partido de seguridad	match box
தீங்கு	perjudicial	harm
தீன்	deen	teen
தீபம்	antorcha	lightened
தீபாவளி	diwali	deepawali
தீய	mal	bad
தீர்க்க	resolver	solve
தீர்க்கும்	resolviendo	to find a solution
தீர்ப்பு	veredicto	judgement
தீர்வு	solución	solution
தீர்வை	asentamiento	decision
தீவினர்	isleño	islander
தீவின்	la isla	islands
தீவிர	grave	heavily
தீவிரமாக	seriamente	seriously
தீவிரமான	grave	severe
தீவிரவாதம்	extremismo	terrorism
தீவில்	en llamas	in island
தீவு	isla	island
தீவுகளின்	islas	deep
தீவுகளில்	las islas	in islands
தீவுகளை	isleños	islands
தீவுகளையும்	islas	islands
தீவுகள்	islas	island
தீவுக்	archipiélago	island
துகள்	partícula	particle
துகள்கள்	partículas	particles
துக்கம்	luto	sorrow
துடுப்பாட்டம்	murciélago	cricket
துணி	paño	cloth
துணை	secundario	partner
துணைக்	accesorios	sub
துணைக்கண்டத்தின்	subcontinente	sub continent
துணைப்	secundario	assistant
துணையாக	suplemento	to be helpful
துணையுடன்	con	with the help of
துண்டு	tira	pit
துண்டுகளாக	piezas	small pieces
துண்டுகள்	toallas	segments
துத்தநாகம்	zinc	zink
துன்பம்	dolor	suffering
துன்பியல்	tragedias	sorrows
துபாய்	dubai	dubai
துபை	dubai	dubai
துப்பரவான	limpiar	intelligence
துரித	rápido	fast
துரிதமாக	rápidamente	hurriedly
துருக்கி	pavo	turkey
துருவ	polar	rays
துறந்து	renunciar	to be left
துறை	departamento	department
துறைகளின்	sectores	ports or departments
துறைகளிலும்	camina	depatment
துறைகளில்	sectores	departments
துறைகளும்	departamentos	department
துறைகளை	departamentos	department
துறைகள்	departamentos	departments
துறைமுக	puertos	ship
துறைமுகத்தில்	puerto	harbour
துறைமுகமாக	puerto	port
துறைமுகம்	puerto	ports
துறையாக	industria	department
துறையாகும்	disciplina	department
துறையின்	departamento	industry
துறையில்	en el campo	department
துறையை	sector	departmental
துல்லியமாக	precisamente	appropriately
துல்லியமான	preciso	accurate
துளசி	albahaca	basil
துளி	soltar	drop
துளைகள்	agujeros	hole
துவக்கத்தில்	inicialmente	starting
துவக்கம்	abrelatas	start
துவங்கி	comenzando	begin
துவங்கிய	empezado	started
துவங்கியது	empezado	started
தூண்	pilar	pillar
தூண்கள்	pilares	pillars
தூண்டற்பேறு	tuntarperu	response
தூண்டி	desencadenar	bait
தூண்டுகிறது	induce	leads
தூண்டும்	disparando	stimulates
தூதர்	mensajero	brand ambassidar
தூத்துக்குடி	tuticorina	tuticorin
தூய	puro	clean
தூய்மை	pureza	purity
தூர	lejos	keeps away
தூரத்தில்	en la distancia	distance
தூரம்	distancia	distance
தூலியம்	tulio	chemical element
தென்	sur	south
தென்கிழக்காசியாவின்	sudeste asiatico	south-east asia's
தென்கிழக்கில்	sureste	southeast
தென்கிழக்கு	sureste	south east
தென்சீனப்	sur de china	south china
தென்னாப்பிரிக்க	sudafricano	north africa
தென்னாப்பிரிக்கா	sudáfrica	south africa
தென்னாப்பிரிக்காவின்	sudáfrica	south africa
தென்னாப்பிரிக்காவில்	en sudáfrica	south africa
தென்னிந்திய	sur	south indian
தென்னிந்தியா	india del sur	southern india
தென்னிந்தியாவின்	del sur de la india	southindia
தென்னிந்தியாவில்	en el sur de la india	in south india
தென்னை	coco	coconut
தென்மேற்கில்	sur oeste	south western
தென்மேற்கு	sur oeste	south west
தென்றல்	ventoso	breeze
தெய்வ	blasfemia	god
தெய்வம்	duende	god
தெய்வீக	adivinar	godly
தெரிகிறது	mira	visible
தெரிந்த	conocido	familiar
தெரிந்து	saber	known
தெரிய	saber	reveal
தெரியவருகிறது	revelado	found that
தெரியவில்லை	yo no sé	unknown
தெரியாத	desconocido	unknown
தெரியாமல்	conocimiento	unknown
தெரியும்	saber	know
தெரிவிக்கின்றன	sugerir	informating
தெரிவிக்கிறது	informes	showing
தெரிவிக்கும்	le permitirá	informing
தெரிவித்தனர்	expresado	said
தெரிவித்து	expresando	inform
தெரிவித்துள்ளனர்	expresado	call for
தெரிவித்துள்ளார்	fijado	said
தெரு	calle	streeet
தெருவில்	en la calle	in the street
தெரேசா	hay una	mother theresa
தெற்கத்திய	del sur	southern
தெற்காக	sur	south
தெற்காசிய	asia del sur	south asian
தெற்கிலும்	sur	southern
தெற்கில்	en el sur	southern
தெற்கு	del sur	south
தெற்குத்	sur	southerly
தெற்கே	sur	south
தெலுகு	telugu	telugu
தெலுங்கில்	en telugu	in telugu
தெலுங்கு	telugu	telungu
தெளிவாக	claro	properly
தெளிவாகத்	claro	clearly
தெளிவாகிறது	claro	to clear
தெளிவான	claro	clearly
தெளிவு	claro	clear
தே	delaware	dey
தேச	nación	country
தேசத்தின்	de tierra	the nation's
தேசம்	nación	nation
தேசிகர்	desikar	desigar
தேசிய	nacional	national
தேசியக்	nacional	national
தேசியப்	nacional	national
தேசியவாத	nacionalista	national
தேசீய	nacional	national
தேடல்	buscar	search
தேடி	buscando	to search
தேடு	mirando	search
தேடுதல்	buscar	search
தேடும்	mirando	search
தேதி	fecha	date
தேநீர்	té	tea
தேனி	entonces yo	theni
தேன்	miel	honey
தேயிலை	hoja de té	tea
தேர்ச்சி	paso	progress
தேர்தலில்	elección	elections
தேர்தல்களில்	elecciones	elections
தேர்தல்கள்	elecciones	elections
தேர்ந்த	determinado	expertised
தேர்ந்தெடுக்க	seleccione	to select
தேர்ந்தெடுக்கப்படுகிறார்	elegido	elected
தேர்ந்தெடுக்கப்படுகிறார்கள்	elegido	elected
தேர்ந்தெடுக்கப்படும்	elegido	elected
தேர்ந்தெடுக்கப்பட்ட	seleccionado	selected
தேர்ந்தெடுக்கப்பட்டார்	elegido	selected
தேவன்	dios	god
தேவரின்	de los dioses	devar
தேவர்	los-	deva
தேவர்கள்	dioses	ministers
தேவாலயம்	iglesia	church
தேவி	devi	devi
தேவை	querido	need
தேவைகளை	requisitos	need
தேவைகள்	requisitos	wants
தேவைப்படுகிறது	necesario	in need of
தேவைப்படும்	necesario	necessary
தேவைப்பட்டது	necesario	needed
தேவையற்ற	innecesario	not necessary
தேவையான	necesario	required
தேவையில்லை	no quiero	no need of
தேவையை	requisito	need
தை	ene	month of thai
தையல்	puntadas	stitching
தொகுக்கப்பட்ட	en caja	compiled
தொகுதி	volumen	part
தொகுதிகள்	módulos	consituencies
தொகுதியின்	volumen de la	volume of
தொகுதியில்	asiento	ward
தொகுத்தார்	editado	collected
தொகுத்து	anclado	collect
தொகுப்பாக	colección	set
தொகுப்பில்	en paquete	in a set of
தொகுப்பு	galería	compilation
தொகுப்புகளை	colecciones	packages
தொகுப்புகள்	colecciones	collection
தொகுப்பை	deformación	part
தொகை	población	amount
தொகையை	pagos	amount
தொங்கு	suspensión	hang
தொடக்க	elemental	starting
தொடக்ககால	temprano	initial stage
தொடக்கத்தில்	al principio	in the beginning
தொடக்கம்	comienzo	start
தொடங்கப்பட்ட	iniciado	started
தொடங்கப்பட்டது	lanzado	began
தொடங்கி	comenzando	bening
தொடங்கின	empezó	started
தொடங்கினார்	empezado	begins
தொடங்கிய	empezado	started
தொடங்கியது	empezado	started
தொடங்குகிறது	empieza	begins
தொடங்கும்	empieza	start
தொடரில்	serie	in a series of
தொடரும்	seguir	continue
தொடர்	serie	continue
தொடர்கின்றன	seguir	continue
தொடர்கிறது	continúa	continues
தொடர்ச்சி	continuidad	continuous
தொடர்ச்சியாக	continuamente	continously
தொடர்ச்சியான	continuo	continuously
தொடர்ந்த	continuado	continuous
தொடர்ந்து	siguiendo	continously
தொடர்ந்தும்	seguir	the
தொடர்பாக	en conexión	togeather
தொடர்பாடல்	comunicación	communication
தொடர்பான	relacionado	related
தொடர்பிலான	en	in relation to that
தொடர்பில்	en relación a	broadcast
தொடர்பு	contacto	connection
தொடர்புகளை	contactos	links
தொடர்புகள்	contactos	communications
தொடர்புடைய	relacionado	having relation
தொடர்புடையதாக	asociado	be associated
தொடர்புடையது	relacionado	relating to that
தொடர்பும்	contacto	connection
தொடர்புள்ள	relacionado	contact with
தொடர்பை	contacto	relationship
தொடர்பையும்	contacto	connection, association, contacts
தொடர்வண்டி	entrenar	train
தொடர்வண்டிப்	carril	train
தொடர்வரிசை	secuencia	a series
தொடையெலும்பு	fémur	thigh bone
தொட்டில்	cuna	renaissance
தொட்டு	conmovedor	traditionally
தொண்டு	caridad	service
தொண்டை	garganta	throat
தொண்டைமான்	thondaimaan	thondaimaan
தொன்மவியல்	mitología	olden scriptures
தொன்மா	dinosaurio	dinosaur
தொன்மாக்கள்	dinosaurios	thonmaas
தொன்மை	antigüedades	ancient
தொன்மையான	aborigen	very olden
தொன்று	tradicionalmente	traditionally
தொற்று	infección	infect
தொற்றுநோய்	epidemia	leprosy
தொற்றும்	contagioso	infectious
தொலை	remoto	telescope
தொலைக்காட்சி	televisión	television
தொலைதொடர்பு	telecomunicación	distance
தொலைத்	telecom	telecom
தொலைந்து	perdió	lost from
தொலைபேசி	teléfono	telephone
தொலைபேசிகள்	los telefonos	telephones
தொலைவில்	en la distancia	in remote
தொலைவு	distancia	long distance
தொல்	thol	olden
தொல்காப்பியம்	tholkappiyam	tholkappiyam
தொல்காப்பியர்	tholkappiar	tholkappiar
தொல்பொருளியல்	arqueología	olden scriptures
தொல்பொருள்	arqueología	early man reserch
தொல்லியல்	arqueología	archaeological
தொல்லுயிரியல்	paleontología	archealogical
தொழிற்	labor	occupational
தொழிற்சாலை	fábrica	industries
தொழிற்சாலைகளில்	en fábricas	factory
தொழிற்சாலைகள்	suerte	industries
தொழிற்துறை	industria	industry
தொழிற்புரட்சி	industrial	industrial revolution
தொழிலாளர்	labor	labourers
தொழிலாளர்களின்	trabajadores	of workers
தொழிலாளர்களை	trabajadores	employees
