$	usd	dollars
بورسعيد	osta teica	port said
بورصة	tirgus	stock market
بوش	bušs	bush
بوصفه	kā	by describing him
بوصفها	kā	described as
بوضع	ielikt	put
بوضوح	skaidri	clear
بوقت	ar laiku	with time
بوك	facebook	book
بول	pols	paul
بولاية	ar valsti	with leading
بولس	pols	paul
بولندا	polija	poland
بولينا	paulina	urea
بومدين	boumediene	boumediene
بونابرت	bonaparte	bonaparte
بونيقيون	punic	punicus
بوهيميا	bohēmija	bohemia
بويع	pārdošana	swored allegiance
بي	manī	p
بيئة	vide	environment
بيان	paziņojums, apgalvojums	decree
بيانات	dati	data
بيبرس	pipari	baybars
بيت	māja	house
بيته	viņa māja	his house
بيد	tomēr	handel
بيده	ar savu roku	his hand
بيروت	beirūta	beirut
بيعة	pārdošana	pledge of allegiance
بيك	beks	beck
بيكو	piko	biko
بيكومتر	pikometri	bekomitr
بيل	rēķins	bill
بيليوس	peleuss	belius
بين	starp	between
بينما	kamēr	during
بينه	pierādījumi	environment
بينها	starp viņiem	between them
بينهم	starp viņiem	between them
بينهما	starp viņiem	between them
بيوت	mājas	houses
بيوم	diena	in (day)
بُني	izpletās	was built
ت	t	date
تأثر	ietekmēts	be affected
تأثرت	pārsteidza	influenced
تأثير	efekts	impact
تأثيرا	ietekme	influence
تأثيرات	efekti	effects
تأثيره	tā iedarbība	influence
تأثيرها	tā iedarbība	impact
تأخذ	ņem	taken
تأسس	izveidota	founded
تأسست	tika nodibināta	founded
تأسيس	nodibināšana	establishment
تأسيسها	tās pamats	its foundation
تأكيد	uzsvars	confirmation
تأليف	sarakstījis	writing
تأمين	apdrošināšana	secure
تأييد	atbalstu	support
تؤثر	efekts	affects
تؤدي	noved pie	causes
تؤكد	uzsver	confirms
تؤمن	ticēt	believes
تابع	seko	continued
تابعة	pakārtots	following
تاج	kronis	crown
تاريخ	vēsture	history
تاريخه	tās vēsture	its history
تاريخها	tās vēsture	its history
تاريخي	vēsturiska	historic
تاريخيا	vēsturiski	historically
تاريخياً	vēsturiski	historically
تاريخية	vēsturiska	historical
تاشفين	tu redzi	yasin
تامة	tieši tā	completely
تايمز	laiki	times
تايوان	taivāna	taiwan
تبادل	apmaiņa	exchange
تبث	raidījums	broadcast
تبدأ	sākt	start
تبدو	skaties	seems
تبرز	izcelties	shows
تبع	sekoja	followed
تبعا	atkarībā no	following
تبعد	prom	about
تبقى	paliec	remains
تبلغ	ziņot	reached
تبنت	pieņemts	adopt
تبنى	adopcija	adopting
تبني	adopcija	adopting
تبوك	tabuk	tabook
تبين	izrādās	have appeared
تتأثر	ietekmēts	affected by
تتألف	sastāvs	consists of
تتبع	trase	follows
تتجاوز	pārsniedz	overpasses
تتجمع	kongregāts	gather
تتجه	virsraksts	moves
تتحدث	viņa runā	talk about
تتحرك	pārvietojas	move
تتحول	izrādās	turn
تتخذ	ņem	take
تتدخل	iejaucas	interferes
تتراوح	diapazons	varies
تتركز	koncentrēts	concentrated
تتسبب	cēlonis	causes
تتسع	var izmitināt	spread
تتسم	raksturīgs	characterized by
تتشابه	līdzīgi	are similar
تتشكل	veidojas	contitutes
تتصل	saistīt ar	communicate
تتضمن	ietilpst	include
تتطلب	pieprasīt	require
تتطور	attīstīties	development
تتعامل	veikt uzņēmējdarbību	deal
تتعرض	atsegts	exposed to
تتعلق	saistīts	related
تتغذى	viņi barojas	feeds
تتغير	pārmaiņas	change
تتكون	izdomāts	includes
تتم	gatavs	done
تتمتع	izbaudi	enjoys
تتمثل	pārstāvēts	represented
تتمكن	jūs varat	was able to
تتميز	raksturo	differentiated
تتناول	ēdot	dealing with
تتنوع	daudzveidīgs	varied
تتواجد	pastāv	exist
تتوفر	pieejams	gets
تتوقف	pietura	cease
تتيح	ļauj	allows
تثبت	pierādīt	prove
تجار	dīleri	traders
تجارب	pieredzes	tests
تجارة	tirdzniecība	commerce
تجاري	komerciāls	commercial
تجارية	komerciāls	commercial
تجاه	virzienā	towards
تجاوز	pārplūšana	exceed
تجد	tu atradi	find
تجديد	atjaunošana	renew
تجربة	eksperiments	trial
تجري	norisināties	been / pull
تجعل	veidot	make
تجمع	pulcēšanās	gathering
تجمعات	pulcēšanās	gatherings
تجميع	apkopošana	assemblage
تجنب	izvairīties	avoid
تجهيز	sagatavošana	preparation
تحافظ	turēt	keep
تحالف	alianse	alliance
تحاميل	svecītes	suppository
تحاول	tu mēģini	trying
تحت	zem	under
تحتاج	vajag	needs
تحتفظ	rezerves	reserves
تحتل	aizņemt	occupies
تحتها	zem tā	under it
تحتوى	satur	contains
تحتوي	satur	contains
تحد	izaicinājums	stoppes
تحدث	runā	happens
تحدد	noteikts	determines
تحديث	atjaunināt	upgrading
تحديد	noteikt	determining
تحرر	atbrīvošanās	freeing
تحرك	kustēties	movement
تحرير	atlaidiet	liberation
تحسن	uzlabojums	improved
تحسين	uzlabošana	improving
تحصل	iegūstiet	win
تحظى	ir	given
تحقق	pārbaudiet	achieve
تحقيق	izmeklēšana	in achieving
تحكم	kontrole	governing
تحل	atrisināts	resolved
تحليل	analizējot	analysis
تحمل	gultnis	carry
تحميل	lejupielādēt	load
تحول	pārveidošanās	turned
تحولت	pagriezās	turned
تحوي	satur	contains
تحويل	pārveidošanās	transforming
تحوّل	pārveidošanās	transformed
تحيط	apkārt	surrounds
تختلف	savādāk	differs
تخدم	pasniedz	workes for
تخرج	izlaidums	graduated
تخزين	glabāšana	storage
تخصص	specialitāte	dedicated
تخصيص	pielāgot	major
تخضع	priekšmets	subject
تخطيط	plānošana	designing
تخفيض	atlaide	reduction
تدار	pārvalda	managed
تدخين	smēķēšana	smoking
تدرس	studējis	taught
تدريب	apmācība	training
تدريجيا	pamazām	gradually
تدريجياً	pamazām	gradually
تدريجيًا	pamazām	gradually
تدعم	atbalsts	support
تدعو	aicina	which lead to
تدفع	tu maksā	pushes
تدفق	plūsma	flow
تدل	apzīmē	indicates
تدمير	iznīcināšana	destruction
تدهور	pasliktināšanās	deteriorated
تدور	spin	runs
تدوين	ieraksts	blogging
تدير	viņa skrien	manage
تذكر	atceries	mentions
تراث	mantojums	heritage
تراجع	atkāpties	regression
تراجعت	mirgoja	backed off
تراقيا	trāķija	tarakia
ترانسفيراز	transferāze	tranceivers
تربة	augsne	soil
تربط	pievienojieties	connects
تربية	izglītība	upbringing
ترتبط	saistīts	connected
ترتفع	ej augšā	high
ترتيب	pasūtīt	order
ترجع	atgriežas	returns to
ترجم	tulkot	translate
ترجمة	tulkošana	translation
تردد	biežums	frequency
ترك	aizbraukt	leave
تركت	kreisais	ceded
تركز	fokuss	concentrates
تركها	atstājiet to	leaving it
تركي	turki	turkish
تركيا	turcija	turkey
تركيب	uzstādīšana	formation
تركية	turku	turkish
تركيز	fokuss	concentration
ترى	skat	see
تريد	tu gribi	wanted
ترير	trīre	trier
تزال	joprojām	still
تزايد	palielināt	increase
تزداد	iegūstiet vairāk	increase
تزوج	apprecēties	married
تزوجت	apprecējās	married
تزوجها	apprecēt viņu	married her
تزيد	palielināt	increases
تساعد	palīdzēt	help
تساهم	ieguldiet	contributed
تساوي	vienāds	equal to
تسبب	tas izraisa	caused
تسببت	izraisīja	caused
تستخدم	lietots	used
تستطع	jūs varat	could
تستطيع	vai tu varētu	cannot
تستعمل	lietots	use
تستغرق	ņem	takes about
تستمر	tas turpinās	continues
تستهلك	patērē	consumes
تسجيل	pierakstīties	registering
تسخين	apkure	heating
تسرب	noplūde	leak
تسع	deviņi	nine
تسعة	deviņi	nine
تسعى	meklēju	wants
تسقط	nokrist	collapse
تسلسل	secība	the chronology of
تسلم	saņemts	took hold of
تسليم	piegāde	submission
تسمح	atļaut	allow
تسمى	to sauc	called
تسمية	nosaucot	naming
تسونامي	cunami	tsunami
تسوية	izlīgums	settlement
تسير	iet	going
تسيطر	kontroles	controles
تشاد	čada	chad
تشارك	iesaistīts	participates
تشارلز	kārlis	charles
تشبه	patīk	similar
تشترك	dalies	shares
تشتمل	iekļaut	includes
تشتهر	slavens ar	is famous
تشجيع	iedrošiniet	encouraging
تشخيص	diagnosticēts	diagnosis
تشرف	pagodināts	honors
تشريع	likumdošana	legislation
تشرين	tishreen	november
تشغل	skrien	running
تشغيل	skriešana	operation
تشكل	forma	forms
تشكلت	veidojas	formed
تشكيل	veidošanās	structure
تشمل	iekļaut	consists of
تشهد	lieciniet	witnesses
تشي	če	che (name)
تشير	norādiet	points
تشيكوسلوفاكيا	čehoslovākija	czechoslovakia
تشين	čens	chen
تشييد	būvniecība	establish
تشييط	pārbaudiet	burning the pile
تصاعد	montāža	the escalation
تصب	ielejiet	pours
تصبح	kļūsti	become
تصدر	izdots	are produced
تصدير	eksportēt	export
تصغير|	samazināt |	minimized
تصغير|بك|رسم	samaziniet | savu | zīmējiet	minimize bik  drawing
تصغير|رسم	samazināt | zīmēt	minimization|drawing
تصغير|صورة	samazināt | attēls	reduction|photo
تصغير|مسجد	samazināt | mošeja	reduction| mosque
تصف	aprakstiet	describes
تصل	sasniedziet	reached
تصميم	dizains	design
تصنع	izgatavots	manufacture
تصنف	tiek klasificēti	classified
تصنيع	ražošana	manufacturing
تصنيف	vērtējums	classification
تصنيفآل	klasifikācija	classification of al
تصنيفأشخاص	personu klasifikācija	category:people
تصنيفأعلام	klasifikācijas karodziņi	media classification
تصنيفبلدان	valstu klasifikācija	classification countries
تصنيفتاريخ	reitinga datums	classification history
تصنيفخريجو	absolventu klasifikācija	classification: graduated
تصنيفدول	klasifikācijas valstis	countries classification
تصنيفديمقراطيات	demokrātijas klasifikācija	democracies
تصنيفرؤساء	galvu klasifikācija	presidents classification
تصنيفشعراء	dzejnieku klasifikācija	poets
تصنيفصحابة	klasifikācijas pavadonis	tsnnifsahabh
تصنيفعلم	klasifikācijas karogs	classification science
تصنيفعلماء	klasificējošie zinātnieki	scientists classification
تصنيفعواصم	kapitālu klasifikācija	classification: capitol
تصنيففلاسفة	filozofu klasifikācija	classification: philosophers
تصنيفقادة	reitingu līderi	leaders classification
تصنيفكتاب	klasifikācijas grāmata	classification: writers
تصنيفلاعبو	spēlētāju klasifikācija	classification players
تصنيفمدن	pilsētu klasifikācija	classification cities
تصنيفمصريون	novērtējiet ēģiptiešus	classification of egyptions
تصنيفممثلات	aktrises klasifikācija	classification actresses
تصنيفممثلون	reitingu dalībnieki	category : actors
تصنيفمواليد	jaundzimušo klasifikācija	classification births
تصنيفوزراء	ministru klasifikācija	classification ministers
تصنيفوفيات	klasifikācijas	death classification
تصور	iedomājies	imagination
تصوير	uzņemt bildi	recording
تصيب	inficēt	infects
تضاعف	pareizi	multiplicity
تضخم	uzbriest	inflation
تضع	put	put
تضم	ietilpst	combines
تطبق	pieteikties	apply
تطبيق	īstenošana	applying
تطبيقات	lietojumprogrammas	applications
تطل	paskaties lejā	overlooks
تطلب	pajautā	request
تطلق	kurināts	launches
تطهير	dezinfekcija	sterilization
تطور	ir attīstījusies	development
تطورا	izsmalcināts	development
تطورت	attīstījās	evolved
تطوير	attīstība	development
تطوّر	ir attīstījusies	development
تظل	paliec	reamain
تظهر	parādīties	appears
تعارض	nepiekrītu	contradicts
تعاطي	ļaunprātīga izmantošana	taking
تعالى	nāc	he exalted
تعاليم	mācības	teachings
تعامل	darījums	dealing
تعاني	cieš	suffer
تعاون	sadarbība	cooperation
تعبر	krusts	expresses
تعتبر	tiek uzskatīts par	considered
تعترف	atpazīt	recognize
تعتمد	atkarīgs	depend
تعد	pagatavojiet	considered
تعداد	uzskaitījums	count
تعددت	es reizināju	multiplied
تعديل	modifikācija	amendment
تعرض	iedarbība	exposed to
تعرضت	tika pakļauts	faced
تعرضوا	viņi tika pakļauti	they encounter
تعرف	zini	known
تعريف	definīcija	definition
تعرّض	iedarbība	he was a victim of
تعزيز	stiprināt	enforcing
تعطى	dots	given
تعطي	dot	gives
تعكس	pārdomāt	reflects
تعلم	uzziniet	learning
تعليم	izglītība	teaching
تعليمه	izglītots	educated
تعليمية	izglītības	educational
تعمل	strādā	work
تعني	nozīmē	mean (v)
تعود	atgriezties	return
تعيش	tiešraide	live
تغطي	pārklājums	cover
تغطية	pārklājums	covering
تغلب	tiec pāri	win
تغير	mainīt	the change
تغيرات	izmaiņas	changes
تغيرت	mainīts	changed
تغيير	pārmaiņas	change
تفاصيل	detaļas	details
تفاعل	mijiedarbība	reacted
تفاعلات	mijiedarbība	reactions
تفرض	uzlikt	forced upon
تفسير	paskaidrojums	explanation
تفصل	atsevišķi	sperates
تفعل	dara	did
تفقد	pazaudēt	lose
تفكك	izjuka	disintegration of
تفوق	izcilība	surpasses
تفيد	ieguvums	benefit
تقارب	tuvināšanās	rapprochement
تقارير	ziņojumi	reports
تقاليد	tradīcijas	traditions
تقام	tiek turēti	made
تقبل	piekrītu	accept
تقتصر	noslēgts	limited to
تقدر	novērtē	estimated
تقدم	progress	progress
تقدمت	advanced	forge ahead
تقدمه	piedāvā to	provided by
تقدمها	ar nosacījumu	progress
تقدير	atzinība	measuring
تقديرات	aplēses	ratings
تقديم	iesniegt	presentation
تقرر	izlemiet	decides
تقريبا	aptuveni	nearly
تقريباً	aptuveni	almost
تقريبًا	aptuveni	approximately
تقرير	ziņot	statement
تقسم	padalieties	divided
تقسيم	dalīšana	distribute
تقضي	pavadīt	to annihilate
تقع	atrodas	is located
تقف	piecelties	stands
تقل	mazāk	less than
تقلل	samaziniet	decreases
تقليد	tradīcijas	traditional
تقليدية	tradicionālā	traditional
تقليل	samaziniet	decrease
تقنيات	tehnoloģijas	technologies
تقنية	tehnika	technical
تقود	svins	leads
تقول	saka	says
تقوم	piecelties	do
تقوية	stiprināšana	enforcing
تقويم	novērtēšana	calendar
تقي	dievbijīgs	taky
تقييم	novērtēšana	valuing
تكاد	gandrīz	almost
تكاليف	izmaksas	costs
تكتب	viņa raksta	written
تكثر	bagātīgi	increase
تكرار	atkārtojums	repeating
تكساس	teksasa	texas
تكلفة	izmaksas	cost
تكليس	kalcinēšana	calcification
تكمن	meli	reside
تكن	esiet	wasn't
تكنولوجيا	tehnoloģija	technology
تكون	esiet	be
تكونت	veidojas	constituted
تكوين	veidošanās	formation
تكيف	adaptācija	adaption
تل	kalns	hill
تلال	kalni	hills
تلاميذه	viņa mācekļi	students
تلبية	iepazīstieties	fulfilling
تلت	sekoja	after
تلعب	spēlē	plays
تلف	bojājumi	spoiled
تلفزيون	tv	television
تلفزيونية	televīzija	tv
تلقى	saņemt	receive
تلك	tas	this
تلو	pēc	after
تلوث	piesārņojums	pollution
تليها	sekoja	following it
تم	gatavs	orphan
تمارس	praktizēts	practice
تمام	labi	end
تماما	pilnīgi	completely
تماماً	pilnīgi	completely
تمامًا	pilnīgi	completely
تمت	gatavs	has
تمتاز	excel	characterized by
تمتد	stiepšanās	extends
تمتعت	man patika	enjoyed
تمتلك	piemīt	owns
تمثال	statuja	statue
تمثلت	attēlā	including
تمثيل	pārstāvība	representation
تمر	pāriet	pass
تمرد	sacelšanās	revolt
تمكن	pārvalda	he could
تملك	pieder	has
تمنح	piešķirts	given
تمنع	novērst	prohibits
تمويل	finanses	finance
تميز	atšķirt	distinguish
تميزت	atzīmēts	characterized by
تميل	tendence	leans
تميم	tamim	tamim
تمييز	diskriminācija	differentiate
تمّ	gatavs	was
تنازل	atteikšanās	renounced
تناول	ēšana	took
تناولت	ēd	contained
تنبأ	paredzams	predicted
تنتج	ražo	produced
تنتشر	izplatās	spread
تنتقل	kustēties	transfer
تنتمي	pieder	belongs to
تنتهي	beidzas	finished
تنخفض	ej lejā	drop
تنسيق	koordinēt	coordination
تنشأ	celies	founded
تنص	štatos	provides
تنظم	organizēt	organizes
تنظيم	grupa	organization
تنفيذ	īstenošana	execution
تنقسم	sadalīts	divided
تنقل	pārskaitījums	transmits
تنمو	augt	develop
تنمية	attīstību	development
تنوع	dažādība	variety
تهتم	aprūpi	care
تهدد	draudi	threaten
تهدف	mērķi	aims at
تهيمن	dominē	dominates
توابل	garšvielas	spices
تواجد	esamība	coexist
تواجه	seja	faces
توازن	līdzsvars	balance
توافق	piekrītu	agrees with
توت	melleņu	tut
توتونيون	teitoņu	teutonians
توجد	tur ir	is present
توجه	orientācija	directed
توجيه	norādījumi	directing
توحيد	standartizācija	unity
توزيع	izplatīšana	distribution
توسع	paplašināšana	expanding
توسعت	paplašināts	expanded
توسيع	paplašināšanās	expanding
توصل	ierašanās	reached
توصيل	savienošana	connect
توضح	noskaidrot	explain
توضع	esiet novietots	put
توفر	pieejamība	provide
توفى	nomira	passed away
توفي	nomira	died
توفيت	viņa nomira	timing
توفير	nodrošiniet	provide
توفيق	samierināties	tawfeek
توقع	gaidīšana	predicted
توقف	pietura	stoppage
توقيع	paraksts	signing
توكيس	tokis	tukes
تولد	dzemdēt	born
تولى	pārņēma	took position
توليد	paaudzes	generation
توليه	inaugurācija	coronation
تولّى	pārņēma	assumed
توما	toma	thomas
توماس	tomass	thomas
تونس	tunisija	tunisia
تويوتا	toyota	toyota
تويودا	toyoda	toyota
تي	t	t
تيار	straume	trend
تيارات	straumes	currents
تيفوس	tīfs	typhoid
تيمور	timurs	timur
تيمية	taymiyya	timiah
تُشكل	forma	forms
تُظهر	parādīties	appears
تُعتبر	tiek uzskatīts par	considered
تُعد	pagatavojiet	considered
تُعرف	zināms	known
ثابتة	fiksēts	firm
ثار	atriebība	arises
ثالث	trešais	third
ثاليوم	talijs	thallium
ثانوية	vidusskola	secondary
ثاني	otrais	the second
ثانيا	otrkārt	secondly
ثانية	sekundi	second
ثبت	pierādīts	confirmed
ثروة	bagātība	fortune
ثقافات	kultūras	cultures
ثقافة	kultūra	culture
ثقافي	kultūras	cultural
ثقافية	kultūras	culture
ثقب	caurums	hole
ثقة	pārliecība	confidence
ثلاث	trīs	three
ثلاثة	trīs	three
ثلاثية	triloģija	trilogy
ثلاثين	trīsdesmit	thirty
ثلث	viena trešdaļa	third
ثم	tad	then
ثمان	astoņi	eight
ثماني	astoņi	eight
ثمانية	astoņi	eight
ثمة	tur ir	some
ثمّ	tad	hence
ثنائية	duālisms	bilateral
ثور	vērsis	ox
ثورات	revolūcijas	revolutions
ثورة	revolūcija	revolution
ثيوديسيا	teodīzija	thudesia
ج	c	c
جاء	atnāca	come
جاءت	viņa atnāca	came
جائزة	apbalvojums	prize
جابر	jēbers	gaber
جاذبية	smagums	attraction
جاسم	jassim	jassim
جاك	džeks	jack
جاكسون	džeksons	jackson
جالوت	goliāts	goliath
جاليليو	galileo	galileo
جالينوس	galēns	galinos
جامع	mošeja	mosque
جامعات	universitātes	universities
جامعة	universitāte	university
جان	jan	jan
جانب	pusē	aside
جانبه	viņa puse	his side
جانبي	pusē	side
جبال	kalni	mountains
جبران	jubrāns	gibran
جبريل	gabriels	gabriel
جبلية	kalns	mountainous
جبهة	priekšpusē	group
جد	vectēvs	grandfather
جدا	ļoti	very
جدار	siena	wall
جدال	strīdi	discussion
جداً	ļoti	very
جدة	vecmāmiņa	jeddah
جدد	jauni	new
جدران	sienas	walls
جدل	arguments	discussion
جده	vecmāmiņa	his grandfather
جدول	tabula	table
جدوى	priekšizpēte	benefit
جديد	jauns	new
جديدا	jauns	new
جديداً	jauns	new
جديدة	jauns	new
جديدًا	jauns	new
جدير	cienīgs	it should be
جدًا	ļoti	very
جذب	piesaistīt	attraction
جذور	saknes	roots
جراء	leļļu	by
جرائم	noziegumi	murders
جرانيت	granīts	granite
جرت	notika	occurred
جرى	viņš skrēja	had place
جريدة	laikraksts	newspaper
جزء	daļa	part
جزءا	daļa	apart of
جزءاً	daļa	a part of
جزءًا	daļa	part of
جزئيا	daļēji	partial
جزر	burkāni	islands
جزيئات	molekulas	particles
جزيرة	sala	island
جساس	spiegs	gessas
جسد	ķermenis	body
جسده	viņa ķermenis	his body
جسدها	viņas ķermenis	its body
جسر	tilts	bridge
جسم	korpuss	body
جسمه	viņa ķermenis	his body
جسيمات	daļiņas	particles
جعفر	džafars	gafar
جعل	veidot	push on
جعلت	izgatavots	caused
جعله	uztaisīt to	made him
جعلها	uztaisīt to	made her
جغرافيا	ģeogrāfija	geographically
جغرافية	ģeogrāfija	geographical
جفاف	sausums	drought
جل	želeja	most
جلال	celal	galal
جلب	bija atvedis	bring
جلد	āda	leather
جلسة	sesija	council
جماع	dzimumakts	sex
جماعات	grupas	groups
جماعية	kolektīvs	collective
جمال	skaistums	beauty
جمع	daudzskaitlis	combined
جمعة	piektdiena	friday
جمعت	savākts	combined
جمعه	piektdiena	week
جمعها	savākts	collected
جمعية	asociācija	the society
جملة	teikums	within the total
جمهور	publiski	majority
جمهوري	republikas	republican
جمهورية	republika	republic
جميع	visiem	all
جميعا	visus	all
جميعاً	visus	all
جميعًا	visus	all
جميل	jauki	beautiful
جميلة	skaists	gamila
جناح	suite	wing
جنب	sānu	attraction
جندي	kareivis	soldier
جنس	dzimums	sex
جنسي	seksuāls	sexual
جنسية	tautība	sexual
جنطيانية	ģeniānisms	heavenly
جنكيز	čingis	genghis
جنو	gnu	gnu
جنوب	dienvidi	and south
جنوبا	dienvidi	southern
جنوبي	dienvidu	southern
جنوبًا	dienvidi	to the south
جنود	karavīri	soldiers
جنوده	viņa karavīri	soldiers
جهات	galamērķi	views
جهاد	džihāds	gehad
جهاز	ierīce	department
جهة	sānu	side
جهد	pūles	effort
جهود	centieni	efforts
جو	atmosfēra	go
جوائز	balvas	prizes
جواز	pase	marriage
جوانب	aspektiem	aspects
جواهر	dārglietas	jawaher
جوجل	google	google
جودة	kvalitāte	quality
جورج	džordžs	george
جورجيا	gruzijā	georgia
جورجيون	gruzīni	georgeon
جوزيف	jāzeps	joseph
جولة	tūre	round
جون	džons	john
جوهر	būtība	"literally translates to ""jewel"" but this is a name"
جوي	gaisa	aerial
جوية	gaiss	aerial
جي	ing	g
جيبوتي	džibutija	djibouti
جيجابت	gigabitu	gega
جيد	labi	good
جيدا	nu labi	good
جيداً	nu labi	good
جيدة	labais	good
جيش	armija	army
جيشه	viņa armija	his army
جيشًا	armija	an army
جيفارا	guevara	guevara
جيل	paaudzes	generation
جيمس	džeimss	james
جين	gēns	gene
جينات	gēni	genes
جيوش	armijas	armies
حائط	siena	wall
حائل	krusa	ha'el
حاتم	hatems	hatem
حاجة	vajag	need
حادة	asas	sharp
حادث	avārija	event
حادثة	starpgadījums	accident
حار	karsts	hot
حارب	cīņa	fought
حارة	josla	quarter
حاز	ir	got
حاسوب	dators	computer
حافة	mala	edge
حافظ	hafiz	hafez
حافظت	uzturēts	maintained
حال	stāvoklis	case
حالات	gadījumi	cases
حالب	ureters	milker
حالة	statusu	case
حالته	viņa stāvoklis	status
حاليا	pašlaik	now
حالياً	pašlaik	current
حاليًا	pašlaik	currently
حامد	hamed	hamed
حامل	grūtniece	carrier
حاول	mēģināt	tried
حاولت	es mēģināju	tried
حب	mīlestība	hab
حبيب	mīļākais	habeeb
حبيبي	bērniņš	my beloved
حتى	līdz	till
حتي	līdz	even
حجة	arguments	hega
حجر	akmens	hagar
حجم	izmērs	size
حجما	pēc lieluma	size wise
حجمها	tā lielums	her size
حجوالة	nodošana	philomachus pugnax
حد	ierobežot	limit
حدائق	dārzi	gardens
حدة	asums	serious
حدث	pasākums	happen
حدثت	atjaunināts	happened
حدثنا	pastāsti mums	talked to us
حدد	atrodiet	locate
حدودها	tās robežas	borders
حديث	mūsdienu	talk
حديثا	tikko	recently
حديثة	mūsdienu	modern
حديثًا	tikko	recently
حديد	dzelzs	iron
حديدية	melnais	railways
حديقة	dārzs	garden
حراء	hira	name of a cave
حرارة	karstums	temperature
حرارته	viņa siltums	heat
حرارتها	tā siltums	its temperature
حرام	aizliegts	forbidden
حرب	karš	war
حربية	karakuģis	military
حرة	bezmaksas	free
حرس	sargs	guards
حرف	vēstule	character
حرق	sadedzināt	combustion
حركات	kustības	movements
حركة	kustība	the movement
حرم	aizliegts	forbid
حروب	kari	wars
حروف	burti	letters
حرية	brīvība	freedom
حزام	josta	hezam
حزب	ballīte	party
حزم	siksna	bundle/hazm
حزن	sadnes	grief
حزيران	jūnijs	june
حساب	konts	calculation
حسابات	konti	accounts
حساسة	jutīga	sensitive
حسان	hasans	hassan
حسب	saskaņā ar	depends
حسن	hasans	hassan
حسنة	labs darbs	good
حسني	hosni	husni
حسين	hussain	hussein
حشد	pūlis	crowed
حشرات	kukaiņi	insects
حشيشة	hašišs	hashish
حصار	aplenkums	seige
حصة	periods	hosa
حصدت	novāktas	won
حصل	noticis	happened
حصلت	es saņēmu	got
حصن	forts	fort
حصول	gūt	acquiring
حضارات	civilizācijas	السماح بالكتابة بحسب النطق الصوتي civilizations
حضارة	civilizācija	civilization
حضر	apmeklēja	come to
حضور	klātbūtne	presence
حطين	hittin	heteen
حظر	aizliegums	prohibit
حفر	urbšana	dig
حفظ	ietaupīt	keeping
حفل	ballīte	festival
حق	taisnība	the right
حقائق	fakti	facts
حقبة	laikmets	era
حقق	panākt	achieved
حققت	sasniegts	have achieved
حقل	lauka	field
حقه	viņa tiesības	his right
حقوق	tiesības	rights
حقول	lauki	fields
حقيقة	fakts	fact
حقيقي	reāli	real
حقيقية	īsts	real
حكام	valdnieki	kings
حكايات	pasakas	stories
حكاية	pasaka	story
حكم	noteikums	judge
حكمة	gudrība	wisedom
حكمت	viņa valdīja	lead
حكمه	gudrība	his ruling
حكمها	tās noteikums	its rule
حكمهم	viņu noteikums	leading
حكومات	valdības	governments
حكومة	valdība	government
حكومي	valdības	governmental
حكومية	valdības	governmental
حكيم	gudrais	hakim
حلال	halal	righteous
حلب	alepo	aleppo
حلت	izformēts	replaced
حلف	zvēru	alliance
حلقات	epizodes	circles
حلقة	gredzens	episode
حلمي	mans sapnis	helmy
حلول	risinājumi	solutions
حلويات	konfektes	deserts
حماة	aizsargi	hama
حماد	hammad	hammad
حماس	entuziasms	hamas
حماية	aizsardzība	protection
حمد	viņš uzslavēja	thanked (verb), hamad (proper noun)
حمدان	hamdan	hamdan
حمدي	hamdi	hamdy
حمراء	sarkans	red
حمزة	hamza	hamza
حمص	aunazirņi	hams
حمض	skābi	acid
حمل	grūtniecība	carrying
حملات	kampaņas	campaigns
حملة	kampaņa	campaign
حملت	iekrauts	carried the
حملته	viņa kampaņa	his compaign
حمير	ēzeļi	donkeys
حنا	hanna	when
حنبعل	hanibala	hanipal
حنبل	hanbala	hanbal
حنك	aukslējas	palate
حنيفة	hanifa	hanifa
حنين	nostalģija	honine
حواء	ieva	eve
حوادث	nelaimes gadījumi	accidents
حوار	dialogs	discussion
حوالي	apkārt	about
حوذانية	tauriņš	flora
حوض	baseins	basin
حول	par	around
حوله	ap to	around him
حولها	apkārt	around it
حي	apkārtne	neighborhood
حياة	dzīve	life
حياته	viņa dzīve	his life
حياتها	viņas dzīve	her life
حياتهم	viņu dzīves	their lives
حياتي	mana dzīve	my life
حيان	hajans	hayan
حية	dzīvs	alive
حيث	kur	where
حيفا	haifa	haifa
حين	kad	when
حينما	vienmēr	when
حينها	toreiz	by then
حيوان	dzīvnieks	animal
حيوانات	dzīvnieki	animals
حيوانية	dzīvnieks	animal
حيوية	vitalitāte	active
خابية	kešatmiņa	cache
خادم	kalps	servant
خارجي	ārējs	outsider
خارجية	ārējs	external
خاص	īpašais	specific
خاصا	īpaši	special
خاصة	īpaši	specially
خاصةً	īpaši	specially
خاصية	īpašums	property
خاض	cīnījās	fought
خاضعة	priekšmets	is subject
خالد	nemirstīgs	khaled
خالص	tīrs	pure
خالية	tukšs	empty
خام	neapstrādāts	crude
خان	kāns	khan
ختان	apgraizīšana	circumcision
خدمات	pakalpojumi	services
خدمة	apkalpošana	service
خديجة	hatice	khadiga
خرائط	kartes	maps
خراسان	khorasan	greater khorasan
خرج	izgāja laukā	turned on him
خرجت	iznāca	got out
خرجوا	viņi iznāca	took with them
خروج	izeja	go out
خريطة	karte	map
