aajo	హాస్యాస్పదంగా	hospitality
ìràwọ̀	నక్షత్రాలు	s
ìrí	అనుభవం	sight
ìròkò	ఆలోచన	iroko
ìròyìn	వార్తలు	news
ìròyìnwiki	వార్తలు	wikinews
ìròrùn	భ్రాంతిని	peaceful
ìró	ధ్వని	sound
ìrúbo	పతనం	sacrifice
ìsawo	భవిష్యవాణి	divinity-practice
ìse	చర్య	behaviour
ìsinsìnyí	ఇప్పుడు	modern
ìsirò	లెక్కింపు	adding
ìsomó	చేరడానికి	attachment
ìsàlè	సూర్యాస్తమయం	down town
ìsèlè	ఉత్పత్తి	happening
ìsìn	మతం	worship
ìsòrò	ధ్యానం	speech
ìsòrí	ఉపశీర్షిక	chapter
ìsú	మందం	lump
ìsọ	దుకాణాలు	stall
ìse	చర్య	work
ìsègbèfábo	శ్రద్ధ	female support
ìsèdá	సృష్టి	creation
ìsèjoba	ప్రభుత్వం	government
ìsílé	హోమ్	house opening
ìsòro	కష్టం	problem
ìse	చర్య	action
ìta	బయట	outside
ìtaeko	వర్క్	outskirts of eko
ìtan	చరిత్ర	story
ìtokò	కుండ	story
ìtàn	చరిత్ర	history
ìtànkálé	వరదలు	spread
ìtèsíwájú	పురోగతి	progress
ìtójú	సంరక్షణ	treatment
ìtóju	గందరగోళం	treatment
ìtójú	ముఖ కవళికలు	treatment
ìtóka	కొట్టబడాలి	dictionary
ìtúmò	అనువాదం	meaning
ìtúpalè	అనువాదం	exposition
ìwe	పోలిక	book
ìwo	కొమ్ములు	horn
ìwàásù	బోధన	sermon
ìwéré	బుక్లెట్	iwere (town)
ìwò	మొత్తం	set
ìwòran	దృష్టి	viewing
ìwúlò	ఉపయోగకరమైన	usefulness
ìya	బాధ	mother
ìyapa	వేరు	divorce
ìyàwó	వధువు	wife
ìyípadà	మార్పిడి	transformation
ìṣèlú	రాజకీయాలు	politics
ìṣẹ́kù	మిగిలినవి	broken
ìṣọ̣̀tẹ̣̀	న్యుమోనియా	rebellion
òde	బయట	society
òdeojú	అనామకుడిగానే	surface
òdo	యువత	zero
òdìkejì	ఇతర	opposite
òféàrán	ఒక చిత్రం	a town name
ògbójú	సమర్థ	brave
ògiri	గోడ	wall
ògo	గ్లోరీ	glory
ògun	మందు	medicine
ògúndìpẹ̀	బూజు	ogundipe
òjo	లాగా ఉంటుంది	ojo
òjísé	వైద్యుడు	servant
òkèògbún	వెయ్యి	oke-ogbun
òkòòkan	ఒక్కొక్కటిగా	each
òkú	శవాలు	corpse
òkúta	ఒక రాయి	stone
òle	గృహిణి	lazy
òmiràn	మాంత్రికుడు	other
òmùàrán	ఒక చిత్రం	omu-aran (town)
òní	నేడు	today
òotó	నిజం	true
òpópóònà	త్రోవ	highway
òranyàn	తప్పనిసరిగా	a must
òrìsà	విగ్రహాలను	god
òrí	అధ్యాయము	top
òrò	మె ద డు	word
òsán	మధ్యాహ్నం	afternoon
òsèlú	రాజకీయ	politics
òsèré	అథ్లెట్	player
òwù	గుడ్డ	owu
òṣèlú	రాజకీయాలు	politician
òjògbón	వర్ష వాతావరణము	learned person
òkan	ఒకటి	heart
òkòòkan	ఒక్కొక్కటిగా	each
òpòlopò	అనేక	many
òré	గేమ్	friend
òfò	తదుపరి	sorrowful
òpòlopo	అనేక	lot of
òré	గేమ్	friend
òrò	ఆలోచనలు	word
òsà	గోల్డ్ ఫిష్	lagoon
òwó	డబ్బు	hand
òrò	ఆలోచనలు	word
òròàjòmó	ఉదయం	part of speech
ó	ఇది	that
óníse	అతను డిజైనర్	stricken
ósírísì	లాలాజలం	diverse
ósékú	అతను చనిపోయాడు	die suddenly
ó	అవును	word
ôdún	ఇయర్	year
únṣẹlẹ̀	భూకంపం	formed
şe	అలా	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	రోగము	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	ప్రారంభ	work
ṣàkóbá	హానికర	incriminate
ẹdo	జోక్	edo
ẹlẹ́bùn	ఒక బహుమతి	award winner
ẹlẹ́sìn	మత	religionist
ẹnìkan	ఒక వ్యక్తి	someone
ẹsẹ	అడుగుల	verse
ẹtì	కాలేయం	friday
ẹ̀kaawon	సమర్పణలు	branch of
ẹ̀kabrítánì	మామయ్య	part of britain
ẹ̀kajuly	మే	chapter july
ẹ̀kaoṣù	విసుగు పుట్టించెడు	month
ẹ̀kasístẹ̀mù	ఆత్మాశ్రయ	sistemu=system
ẹ̀kẹ́ta	మూడవది	third, the third
ẹ̀kọ́	చదువు	teachings
ẹ̀ni	who	person
ẹ̀rọ	యంత్రాలు	machine
ẹ̀wẹ̀	మరోవైపు	leaf
ọbàkàn	సగం సోదరుడు	step-sister
ọdún	సంవత్సరం	year
ọlọ́mọ	పిల్లలు	members
ọlọ́run	ఒక దేవుడు	god
ọmú	మీరు పీలుస్తారు	breast
ọmọ	పిల్లల	c
ọn	ఇది	him
ọpọ́lọpọ́	అత్తి పండ్లను	many
ọ̀dọ́	యువత	youth
ọ̀gbìn	మొక్క	seedlings
ọ̀nà	మార్గం	ways
ọ̀pòlòpò	చర్య	various
ọ̀rọ̀	చర్చ	word
ọ̀sẹ	వారం	week
