$ tỉ	milyard dollar	$ billion
hương	buxur	smell
hước	yumorlu	humor
hướng	istiqamət	trend
hường	huong	huong
hưởng	zövq alın	influence
hạ	aşağı	lower
hạc	kran	crane
hạch	qanqlion	ganglion
hại	zərər	harm
hạng	rütbə	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	muncuq	seed
hải	gömrük	two
hảo	mükəmməl	perfect
hấn	xan	aggressive gesture
hất	çırpınmaq	toss
hấu	qarpız	"(term should be ""dưa hấu"") watermelon"
hầm	güveç	ham
hầu	demək olar ki	most
hận	nifrət	hatred
hậu	hau	anus
hắc	qara	black
hắn	onu	he (n.)
hắt	asqırmaq	reject
hằng	daimi	every
hặc	hặc	to criticize (v.)
hẹ	dayaqlar	chinese chives
hẹp	dar	narrow
hẻm	xiyaban	alley (n.)
hẻo	tənha	outback
hến	midye	mussel
hết	üzərində	most
hề	təlxək	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	sistemi	relation
hệt	eynidir	exactly
hỉ	hei	happy
hịch	thud	a proclamation
họ	onları	they (n.)
họa	sənət	picture
họach	plan	"(term should be ""quy hoạch"") a project (n.)"
học	öyrənmək	study (v.)
họng	boğaz	throat
họp	görüş	meet
hỏa	atəş	fire
hỏng	qırıq	corruption
hố	çuxur	hole
hốc	nişlər	cavity
hồ	göl	ho
hồi	anis	muslim
hồn	ruh	soul
hổ	pələng	tiger
hổi	hə	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	boşluq	hole
hỗ	dəstək	"(should be ""hỗ trợ"") to support or assist"
hỗn	qarışıq	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	məclis	society
hộp	qutusu	box
hới	açıq	hoi
hớn	qışqırdı	"(term should be ""hớn hở"") radiant (adj.)"
hờn	kövrək	hatred
hở	açıq	reveal
hỡi	oi	dear
hợi	donuz	pig (n.)
hợp	uyğun	appropriate
hợpquận	razılıq	general district
hụt	əldən	loss
hủi	cüzam	reject
hủy	ləğv et	to erase or destroy
hứa	söz	promise
hử	hə	hu
hửu	hə	"(term should be ""sở hửu"") to own (v.)"
hữu	əmlak	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	iceland	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illüziya	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	təsir	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	hind	indian
indiana	indiana	indiana
indochina	indoxina	indochina
indonesia	indoneziya	indonesia
indrapura	indrapura	(proper noun) indrapura
info	məlumat	info
innsbruck	innsbruk	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyaşa	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	i̇raq	iraq
ireland	irland	ireland
irgun	irgun	irgun
irony	istehza	irony
irving	qıvrım	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeli	israeli
istanbul	istanbul	istabbul
italia	italiya	italy
italiano	italyano	(proper noun) italiano
itanium	itan	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jak	jack
jackie	jakka	(proper noun) jackie chan
jackson	cekson	(proper noun) jackson, as in michael jackson
jacob	jakob	jacob
jae	jae	jae
jakarta	cakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	yapon	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jasper	(proper noun) jasper
jean	ceyn	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	şən	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	forma	jersey
jerusalem	yerusəlim	jerusalem
jesse	jesse	a name
jesus	i̇sa	chua jesus
jetstar	jetstar	jetstar
jewish	yəhudi	jewish
jiao	jiao	jiao
jimmy	cimmy	jimmy
jin	cin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	birgə	joint
jonathan	canatxan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	josef	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	hakim	judith
judo	cüdo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	atlanmaq	jump
june	iyun	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kafe	(proper noun) kaffee, as in kaffee hag
kagome	qagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaka	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalaşnikov	(proper noun) kalashnikov
kali	kalium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampusiya	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanci	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kaşmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katerin	katherine
kathmandu	katmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	qafqaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kq	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	gəlin	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	dondurma	ice cream (n.)
ken	ken	ken
kennedy	kennedi	(proper noun) kennedy, as in john f. kennedy
kenneth	kennet	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kq	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	bəyannamə	announce
khali	xali	(proper noun) khali
khalip	xalif	(proper noun) khalip
kham	kham	endure
khan	susuz	rare
khang	xanq	khang
khanh	xanh	khanh
khao	həsrət	desire
khay	qab	tray
khe	yuva	chink
khem	khem	abstinence
khen	iltifat	praise
kheo	pilləkənlərdə	kheo
khi	nə vaxt	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	təvazökar	khiem
khiên	qalxan	a shield
khiêu	erotik	"('khiêu dâm"") pornographic"
khiếm	dəyərsizləşmiş	lack
khiến	səbəb	control
khiếp	dəhşətə gəldi	horrible
khiếu	qonaqlıq	talent (n.)
khiển	nəzarət	control
khleang	xleang	kh'leang
kho	anbar	warehouse
khoa	fakültə	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	qazma	drill
khoang	boşluq	brag
khoanh	çalmaq	a slice (n.)
khoe	göstərmək	to boast
khoá	kilidləmək	lock
khoác	palto	coat
khoán	fond	stock
khoáng	mineral	mineral
khoát	qəti	decisive
khoét	kəsmək	carve
khoăn	qaşqabaq	disturbed
khoả	çılpaq	naked
khoản	element	an item (n.)
khoảng	təqribən	about
khoảnh	anlar	moment
khoẻ	gözəl	health
khrushchev	xruşşov	khrushchev
khrushchyov	xruşşov	khrushchyov
khu	dörddə	section
khung	çərçivə	frame
khural	xural	khural
khuynh	qalıb	trend
khuyên	nəsihət	advise
khuyết	qüsurlu	lack
khuyển	köpək	khuyen
khuất	gizli	hidden
khuấy	qarışdırmaq	stir
khuẩn	bakteriya	bacteria
khuếch	gücləndirin	amplification
khuỷu	dirsək	elbow
khá	yaraşıqlı	quite
khác	digərləri	different
khách	qonaqlar	customer
khái	konseptual	concept
khám	müayinə	discover
khán	tamaşaçı	audience
kháng	müqavimət	appeal
khánh	müstəqillik	a type of chime made of stone (n.)
khát	susuzluq	to be thirsty for (adj.)
khâm	xam	admire
khèn	təəssüf ki	a pan-pipe (n.)
khéo	usta	cleverly or skillfully (adv.)
khép	bağlıdır	close
khía	notch	"(term should be ""khía cạnh"") angle (n.)"
khích	təşviq	encourage
khít	sıx	close
khó	sərt	difficulty
khóa	kilidləmək	a session
khóc	ağlamaq	cry
khói	tüstü	smoke
khóm	ananas	a cluster
khô	quru	dry
khôn	müdrik	clever, intelligent
không	yox	not
khúc	mahnı	song
khăm	əyri	nasty (adj.)
khăn	dəsmal	difficult
khơi	dənizdə	sea
khư	khư	grip
khưu	khưu	khuu
khước	inkar etmək	waive
khả	ehtimal	"(term should be ""khả năng"") ability (n.)"
khải	vəhy	triumph
khảm	mozaika	to encrust
khảo	müayinə	"(term should be ""tham khảo"") to consult (v.)"
khấm	deşildi	endure
khấn	namaz qıl	pray
khấu	endirim	"(term should be ""sân khấu"") a stage (n.)"
khẩn	təcili	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	oyma	moment
khắp	hər şey bitdi	all over
khẳng	təsdiq	"(term should be ""khẳng định"") to assert (v.)"
khế	ulduz meyvəsi	bond
khỉ	meymun	monkey or ape (n.)
khỏa	çılpaq	nude
khỏe	gözəl	health
khỏi	xaricində	leave
khố	loincloth	loincloths
khốc	dəhşətli	devastating
khối	blok	a block or mass of (n.)
khốn	bədxah	miserable
khống	xong	control
khổ	əzab	miserable (adj.)
khổng	nəhəng	huge
khởi	təşəbbüs göstərir	start
khủng	dəhşətli	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bədxah	elbow
khứu	pastel	olfactory
khử	aradan qaldırmaq	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	orada	other
kid	uşaq	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometr	kilometer
kim	iynə	kim
kingdom	səltənət	kingdom
kinsey	kinsey	kisney
kiribati	girati	kiribati
kishimoto	kəndimoto	(proper noun) kishimoto
kiss	öpmək	kiss
kissinger	öpüşçü	kissinger
kitts	kitlər	kitts
kitô	xristian	christian
kiêm	cum	cum
kiên	xəstə	consistent
kiêng	bitərəf olmaq	abstinence, as in abstaining from eating
kiêu	təkəbbürlü	showy
kiếp	ömür	a lifetime (n.)
kiết	quldurlar	cheap (adj.)
kiềm	qələvi	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	yoxlamaq	control
kiểu	növü	type
kiệm	iqtisadi	save
kiện	sue	event (su kien)
kiệt	şah əsəri	exhausted (adv.)
kiệu	palanquin	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knut	knuth, as in donald knuth
koch	koç	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	qəpik	kop
koran	quran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kremlin	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubik	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	güne	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	günst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	qurd	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kvan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	bağlıdır	included
kèn	truba	horn
kém	kasıb	less
kén	koza	selective
kéo	çəkmək	scissors
kép	ikili	dual
két	təhlükəsiz	"(term should be ""rốc két"") rocket (n.)"
kê	darı	statistics
kênh	kanal	channel
kêu	qışqırdı	appeal
kìa	baxın	that
kìm	kəlbətinlər	bar
kình	eynək	rivalry
kí	işarəsi	sign
kích	vurun	excite
kíchbom	klik düyməsini	bombers
kín	özəl	secretive or closed tight (adj.)
kính	şüşə	respect
kíp	heyət	esoterica
kít	kit	wheelbarrow
ký	imzalanıb	"(""nhật ký"") a diary"
kĩ	diqqətlə	technique
kơnia	kaia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	konfet	candy
kẹp	qısqac	to clamp down (v.)
kẹt	yapışdı	jam
kẻ	uşaqlar	guy
kẻo	lest	lest
kẽ	interstitial	crevice
kẽm	sink	zinc
kế	sonrakı	a scheme (n.)
kết	son	combine
kề	bitişik	adjacent
kềnh	həcmli	bulky
kệ	rəflər	ignore
kỉ	əsr	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	süvari	ki
kịp	vaxtında	kip
kỵ	süvari	taboo
kỷ	əsr	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etiket	label
laboulaye	laboulaye	a name
ladakh	ladax	(proper noun) ladakh
lai	hibrid	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	torpaq	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lanj	lange, as in oscar lange
langue	langue	langue
lanh	kətan	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	vərəm	labor
laos	laos	(proper noun) laos
lap	qucaqlamaq	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	lazer	laser
lateran	lateran	lateran
latinh	latınca	latin
latvia	latviya	(proper noun) latvia
lau	silmək	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	qanun	(proper noun) lawrence
lay	yatmaq	lay
lazarus	lazarus	(proper noun) lazarus
leach	sızma	(proper noun) leach
leaf	yarpaq	leaf
leave	buraxmaq	leave
lebanon	lebanon	(proper noun) lebanon
lee	lee	lee
legacy	miras	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	leninlər	lenin's
leo	qalxmaq	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesoto	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	azadlıq	(proper noun) libby
libero	libero	libero
libya	libya	libya
lido	lido	lido
liechtenstein	lixtenşteyn	liechtenstein
liga	liqa	a name
lightning	ildırım	lightning
lilly	lilli	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	bağlantılar	links
linux	linux	linux server
lionel	aslan	lionel
lisboa	lisboa	lisboa
lisbon	lissabon	a name
litva	litva	(proper noun) lithuania
liu	liu	liu
liêm	dürüstlük	good example
liên	müəssisə	relate
liêng	müqəddəs	sacred
liêu	bürokratiya	bureaucracy
liềm	oraq	sickle
liều	doza	daring
liễu	söyüd	a willow tree (n.)
liệng	silkələmək	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	iflic	impotent
liệu	xam	document
lleyton	lleyton	lleyton
lo	lo	to worry (v.)
loa	natiq	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	hamar	patchy
loch	loch	loch
locke	qıfıl	(proper noun) locke, as in philosopher john locke
lockheed	kilidli	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	qutular	lon
london	london	london
long	uzun	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	şir	(proper noun) louvre
love	sevgi	yeu
loài	növlər	species
loát	flaş	overturn
loãng	incə	wishy-washy
loét	ülser	gaping, as in a wound
loại	növü	type
loạianh	növü	not a word
loạianime	tip anime	type anime
loạibệnh	xəstəlik növü	disease
loạichiến	növü	loaichien
loạicác	növü	item
loạicâu	növü	type: club
loạicông	növü	type: industry
loạicựu	növü	kind former
loạigia	növü	loaigia
loạihuân	mehriban	not a word
loạiluật	qanunun növü	type: law
loạimáy	maşın növü	kind plane
loạimôn	növü	type
loạingày	bu yazın	loaingay
loạiphim	film növü	type movie
loạiphong	növü	kind of movement
loạiscandal	fleaiscandal	scandal type
loạithuật	qanunun növü	type: lexicon
loạithành	növü	kinds of payment
loạithần	növü	kind myth
loạitrường	məktəb növü	type of school
loạitín	mehriban	type: belief
loạitổ	növü	kind organization
loạivõ	tip növü	type: martial art
loạixã	növü	kind of society
loạn	pozğunluq	disorderly
loạt	seriyası	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludoviko	ludovico
ludwig	lüdviq	ludwig
lui	geri	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	ağciyər	shake
lustig	lustig	lusig
luther	lüt	luther
luxembourg	lüksemburq	a name
luy	luy	luy
luyến	qoşma	love
luyện	təcrübə	training
luận	şərh	"(term should be ""xã luận"") an editorial"
luật	qanun	law
luồn	yivli	wriggle
luồng	axın	lane
luộc	qaynadılır	boiled
luỹ	məcmu	rampart (n.)
ly	ly	divorce
lydia	lidiya	lydia
lympho	limfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	edir	the verb to be
làm	etmək	make
làn	zolaq	wave
làng	kənd	village
lành	sağaldı	protestant
lào	laos	laos
lá	yarpaqlar	"(term should be ""lá thư"") a letter (n.)"
lác	qarmaqarışıq	brag
lách	dalaq	to swerve (v.)
lái	sürmək	to drive (v.)
lán	qaqaş	shack
láng	hamar	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	unicorn	nearby
lâu	uzun	long time
lây	yoluxucu	to infect
lãi	maraq	a profit
lãm	göstərir	exhibition
lãnh	alınıb	to receive
lão	köhnə	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	gizlətmək	sneak
lê	armud	le
lêmạc	işıq	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	yuxarı	on
lênh	əmr	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	buraxmaq	to leave (v.)
lình	birdən	suddenly
lí	saxlama	reason
lính	əsgər	soldier
lít	litr	litre
líu	coo	"(term should be ""dính líu"") to have a connection with"
lò	soba	release
lòng	əzmək	heart
lóc	ilan başı	cry
lóe	alovlandı	flash
lóng	jarqon	"entire term should be ""tieng long""; means ""slang"""
lót	astarlı	undies
lô	çox	batch
lôi	səhv	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	xəz	hair
lõi	əsas	core
lõm	konkav	concave
lùi	geriyə	back
lùn	cırtdan	dwarf
lùng	ovlamaq	hunt
lúa	düyü	rice
lúc	at	at the moment
lún	enmə	subside
lúng	alovlanmaq	confused
lúp	böyüdücü	uneven
lút	gizli	surreptitiously
lăm	beş	tens
lăn	yuvarlanan	attack
lăng	məqbərə	tomb
lĩnh	domenlər	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	sel	a band or gang (n.)
lũng	dərə	valley
lũy	məcmu	rampart
lơ	laqeydlik	to ignore
lơi	boşaltmaq	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	kassa	an urn
lưng	geri	back
lươn	eel	eel
lương	əmək haqqı	conscience
lưới	grid	a net (n.)
lướt	sörf	ski
lười	tənbəl	lazy
lưỡi	dil	tongue
lưỡng	biseksual	"(term should be ""lưỡng tính"") bisexual"
lược	taraq	invasion
lượm	götürmək	pick up
lượn	sürüşmək	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	qəribə	strange or unusual (adj.)
lạc	itirdi	camel
lạch	dərə	"(term should be ""luồng lạch"") a narrow water passageway"
lại	yenidən	reversed
lạn	çürük	bright
lạng	lang	lang
lạp	kolbasa	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	kowtow	kowtow
lấn	zülm	to encroach on (v.)
lấp	doldurmaq	sparkle
lấy	götürülmüşdür	taken
lầm	səhv	wrong
lần	dəfə	time
lầu	mərtəbə	a story or level of a building (n.)
lầy	bataqlıq	swamp
lẩu	isti otag	hotpot
lẩy	atlanmaq	get
lẫn	qarışıq	each other
lẫy	çimdik	illustrious
lận	fırıldaqçı	fraudulent
lật	çevirmək	turn
lậy	hə	"(term should be ""cai lậy"") the name of a rural district"
lắc	silkələmək	to shake (v.)
lắm	çox	do
lắng	həll etmək	"(should be ""lo lắ́́ng"") to worry"
lắp	uyğun	lap
lặng	səssiz	quiet
lặp	təkrarlayın	repeat
lặt	müxtəlif	means miscellaneous, part of the word lat vat
lẹ	tez	quickly (adv.)
lẻ	tək	"(the term should be ""bán lẻ"") retail"
lẻn	gizlətmək	sneak
lẻo	lax	climb
lề	marj	alignment
lều	çadır	tent
lễ	mərasimi	ceremony
lệ	dərəcəsi	"(term should be ""tỷ lệ"") probability (n.)"
lệch	əyilmiş	difference
lệnh	əmr	command
lị	dizenteriya	"(term should be ""tỉnh lị"") a township (n.)"
lịch	təqvim	history
lọc	süzgəc	tricked
lọi	qarmaqarışıq	brilliant
lọng	parazollar	rope
lọt	düşmək	enter
lỏi	lint	to enter
lỏng	boş	loose
lố	üzərində	ridiculous
lốc	qasırğa	tornado
lối	giriş	way or path
lốp	şin	tyre
lốt	bələdçi	lolot
lồ	nəhəng	giant
lồi	konveks	convex
lồng	qəfəs	cage
lỗ	çuxur	hole
lộc	bəxt	loc
lội	wade	wade
lộn	uçurdu	wrong/mistake
lộng	qəşəng	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	soymaq	exploit
lớn	böyük	large
lớp	sinif	grade (n.)
lờ	gözdən salmaq	turbid
lời	söz	advice
lở	yaralar	to crack
lỡ	darıxıram	miss
lợi	fayda	benefit
lợn	donuzlar	pig
lợp	dam örtüyü	roof
lụa	ipək	silk
lục	yaşıl	record
lụi	yandı	ruin
lụt	sel	flood
lụy	nəticələri	consequence
lứa	zibil	peer
lừa	hiylə	mislead
lừng	təsvirli	well-known
lửng	porsuq	lơ lửng= not clear/ something in between
lự	tərəddüd edən	reluctant
lựa	seçilib	chosen
lựu	nar	grenade
ma	xəyal	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macartur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	makedoniya	(proper noun) macedonia
mach	mach	mach
machiavelli	makiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	maqma	magma
macromedia	makromedia	macromedia
madeira	düzəldib	madeira
madhouse	dəlixanadır	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafiya	mafia
magiê	maqnezium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	sabah	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	əsas çərçivə	mainframe
major	əsas	major
makemake	makemake	makemake
malacca	malakka	malacca
malay	malay	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	mançester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	hesablanan	to bring (v.)
manga	manqa	manga
mangnall	manqal	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	xəritələr	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marsel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	marqaret	(proper noun) margaret
maria	mariya	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marsel	marseille
marshall	marşal	marshall
marsu	marsu	(proper noun) marsu
marta	dəfə	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	meri	(proper noun) mary
maryland	maryland	a name
maría	mariya	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	riyaziyyat	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	ayaqaltılar	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	tez	fast
maurice	maurice	(proper noun) maurice
mausolus	maus	mausolus
maxim	maxim	a name
may	tikmək	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	mədinə	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
