$ tỉ	милијарду долара	$ billion
mừng	драго ми је	to be happy
mửa	повраћање	to vomit (v.)
mực	мастила	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	резанци	noodles (n.)
mỹ	америка	america
mỹcông	америка	my private
na	на	"(term should be ""na uy"") the country of norway"
naadam	наадам	naadam
nacional	национал	nacional
nagant	нагант	nagant
nagar	нагар	nagar, as in champa po nagar
nagasaki	нагасаки	(proper noun) the city of nagasaki, japan
nagoya	нагоиа	a name
nagumo	нагумо	nagumo
nai	јелени	a deer
nairobi	наироби	nairobi, a city in kenya (n.)
nakajima	накајима	a japanese name
nalbandian	налбандиан	a name
nam	мушки	male
nambắc	север	nambac
namibia	намибија	namibia
namnam	нам нам	male-male
namno	намно	nammo
nancy	нанци	nancy, as in nancy pelosi
nang	фоликул	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	очњаци	fang
nano	нано	nano
naomi	наоми	naomi, as in model naomi campbell
napoleon	наполеон	(proper noun) napoleon
napoli	наполи	(proper noun) napoli
napoléon	наполеон	napoleon
nara	нара	nara
nasa	наса	(proper noun) nasa
nat	нат	nat
nathan	натхан	nathan
natri	натријума	sodium
nauru	науру	a name
nava	нава	nava
navarre	наварре	navarre
nay	сада	this (adj.)
needham	неедхам	needham
nelson	нелсон	(proper noun) nelson, as in nelson mandela
neo	сидро	"(term should be ""mỏ neo"") an anchor (n.)"
neon	неон	neon
nepal	непал	nepal
nepomuk	непомук	a name
nessie	нессие	(noun) nessie, the nickname of the loch ness monster
net	нето	net
netbook	нетбоок	netbook
netscape	нетсцапе	netscape
networks	мреже	networks
neumann	неуманн	(proper noun) neumann
neutrino	неутрино	neutrino
nevada	невада	nevada
neverland	недодјија	neverland
newcastle	невцастле	newcastle
newspaper	новине	newspaper
newton	невтон	newton
newtons	невтонс	(proper noun) newton's
next	следећи	next
nga	русија	russia
ngai	трон	crown
ngang	хоризонтално	horizontal
ngao	шкољка	clam (n.)
ngay	јел тако	even
nghe	слушај	hear
nghinh	нгхинх	welcome
nghiêm	озбиљно	serious
nghiêng	нагнут	inclined
nghiêu	нгхиеу	nghiêu, a vietnamese name
nghiền	тиквице	crush
nghiễm	штета	serious
nghiệm	искуство	experiment
nghiện	завистан	addiction
nghiệp	карма	karma/ sự nghiệp=career
nghiệt	мрачно	adverse
nghành	индустрија	faculty
nghèo	сиромашан	poor
nghé	нгхе	to glance out of the corner of one's eye (v.)
nghê	нгхе	nghe khuong
nghênh	добродошли	support
nghìn	хиљада	thousand
nghĩ	мисли	think
nghĩa	значи	meaning
nghẽn	загушења	jam
nghếch	гласно	stupid
nghề	професија	career
nghệquận	уметност	art district
nghỉ	одмор	relaxation
nghị	препоруке	think
ngo	сјајан	ngo
ngoan	добар дечко	good
ngoc	нгоц	"(term should be ""ngọc"") gem (n.)"
ngon	укусно	delicious
ngoài	напоље	outside of
ngoại	страни	external
ngoạn	одузима дах	spectacular
ngoặc	заграде	bracket
ngoặt	ред	landmark
ngu	спавати	stupid
ngung	нгунг	(proper noun) a vietnamese first name
nguyen	нгуиен	nguyen
nguyên	оригинал	reason
nguyền	клетва	curse
nguyện	завет	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	месец	moon
nguôi	смирујуће	fade away
nguồn	извор	source
nguời	људи	people
nguỵ	будале	camouflage
ngà	бјелокости	russian
ngàn	хиљада	thousand
ngàng	нганг	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	огранак	sector
ngào	слатко	sweet
ngày	дан	day
ngách	ниша	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	глупо	chinese ethnic group living in the vietnamese highlands near the china border
ngán	досадно	to be tired of
ngáng	нганг	stop
ngát	несвест	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	банка	money
ngây	празно	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	нгаи	ngai
ngò	першун	coriander
ngó	погледај	to look (v.)
ngói	плочица	tile or shingle
ngón	прст	a finger (n.)
ngót	скупљање	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	језик	manifesto
ngông	гуска	eccentric
ngõ	трака	lane
ngùi	мирис	sad
ngút	нгут	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	одељак	prevent
ngũ	спавати	rank
ngơ	игнорисан	ignored (adj.)
ngơi	почивај	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	фисхер	fishermen
ngưng	зауставити	stop
ngưu	ок	buffalo
ngươi	ти	an ancient form of address equivalent to thou or thee (n.)
người	људи	people
ngưỡng	праг	religious
ngược	преокренути	opposite
ngạc	изненађен	surprise
ngạch	чин	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	банка	bank
ngạnh	барбе	self-willed
ngạo	уображен	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	асфиксија	stuffy
ngấm	инфузан	draw
ngất	несвестица	unconscious
ngầm	имплицитно	underground
ngần	оклијевај	hesitate
ngẩn	омамљен	froze
ngẫm	размисли	think
ngẫu	насумично	ngẫu nhiên= random
ngậm	пастиле	keep
ngập	поплављен	flood
ngắm	размишљати	to contemplate or look admiringly at something (v.)
ngắn	кратак	short
ngặt	уско	strict
ngọ	подне	horse
ngọc	драгуљ	pearl
ngọn	врх	top
ngọt	слатко	sweet (adj.)
ngồi	седи	sit
ngộ	просветљење	ngo
ngột	нагло	sudden
ngớ	блесаво	silly
ngời	људи	bright
ngỡ	мисао	surprised
ngợi	похвала	praise
ngợm	несташан	naughty
ngục	затвор	dungeon
ngụm	гутљај	sip
ngụy	веи	puppet
ngủ	спавати	sleep
ngủi	кратак	"(should be ""ngắn ngủi"") short-lived"
ngứa	сврбеж	itchy
ngừ	туњевина	tuna
ngừa	спречити	prevent
ngừng	прекид, престати	to cease (v.)
ngửa	суочи	supine
ngửi	мирис	to smell
ngữ	говор	term
ngự	пребивати	defend
ngựa	коњ	horse
ngực	груди	chest
nha	стоматолог	dental
nhakẻ	дете	nha-ke
nham	лава	"(actual term is ""dung nham"") lava"
nhan	нхан	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	тамјан	incense
nhanh	брзо	fast
nhat	нхат	nhat
nhen	прегорио	rekindle
nhi	деца	junior
nhiên	наравно	tuy nhiên= however
nhiêu	много	how many
nhiều	много	numerous
nhiễm	заражен	infect
nhiễu	шум	noise
nhiệm	дужност	task
nhiệt	топлота	heat
nhk	нхк	nhk
nhs	нхс	nhs
nhu	као	demand
nhuận	профит	leap year
nhuệ	нхуе	elite
nhuộm	боја	dye
nhàn	неактиван	leisure
nhàng	њежно	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	месити	to fall headlong
nhác	лабав	coward
nhái	клонови	illegal copy
nhánh	огранак	branch
nháp	нацрт	draft
nháy	трепери	to flash or blink (v.)
nhâm	урањање	leap
nhã	укусно	"(term should be ""thanh nhã"") elegant"
nhãn	етикета	"(term should be ""gán nhãn"") to affix a label"
nhét	ставити	put
nhì	друго	second (adj.)
nhìn	погледај	to look (v.)
nhí	ћаскање	children
nhím	јеж	porcupine
nhòm	погледај	to peep (v.)
nhóc	дете	brat
nhóm	група	group (n.)
nhô	стрши	emerge
nhôm	алуминијум	aluminum (n.)
nhúng	потопити	embed
nhút	стидљив	shy
nhăn	наборана	wrinkle
nhĩ	атријално	turkey
nhũ	емулзија	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	корупција	bribery
nhơn	множе се	nhon
như	као што	like
nhưng	али	but
nhương	пљувачка	(proper noun) vietnamese first name
nhường	дао начин	yield
nhưỡng	маст	soil
nhược	слабост	weak
nhượng	концесије	concession
nhạ	нха	nha
nhạc	музика	music
nhạn	прогутати	bird
nhạo	подругљив	ridicule
nhạt	блед	light
nhạy	осетљив	sensitive
nhảy	плес	jump
nhấc	лифт	lift
nhấm	сиппинг	rodent
nhấn	притиском	to press (v.)
nhất	најбоље	most
nhầm	погрешно	misunderstand
nhầy	љигав	glutinous
nhẫn	прстенови	patient
nhậm	жигосао	inaugurate
nhập	увоз	penetrate
nhậu	пиће	drink
nhậy	осетљив	sensitive
nhắc	брз	to remind (v.)
nhắm	циљ	aim
nhắn	порука	message
nhằm	циљајући	for the purpose of (adv.)
nhẵn	глатка	smooth
nhặt	бирати	pickup
nhẹ	светлост	light
nhẹn	окретни	nhanh nhẹn= fast/nimble
nhị	стамен	sensitive
nhịn	уздржати се	fasting
nhọ	несретан	smear
nhọn	оштар	sharp (adj.)
nhỏ	мала	small
nhỏ|cây	мало | дрво	small|tree
nhỏ|một	мали | један	small | one
nhỏ|phải|	мали | десно |	small|right
nhỏ|phải|px|	мали | десни | пк |	small | have | px |
nhỏ|phải|px|bức	мале | десне | пк | слике	grape / fade / px / buc
nhỏ|phải|px|cây	мало | десно | пк | дрво	px spicy grape fade
nhỏ|phải|px|khu	мала | десна | пк | зона	small|right|px|area
nhỏ|phải|px|michael	мали | десни | пк | мицхаел	small|right|px|michael
nhỏ|phải|px|máy	мала | десна | пк | машина	small | right|px|machine
nhỏ|phải|px|một	мали | десни | пк | један	small|right|px|one
nhỏ|phải|px|quân	мали | десно | пк | сила	small|right|px|army
nhỏ|px|	мали | пк |	small
nhỏ|px|các	мали | пк | тхе	small
nhỏ|px|phải|kiến	мали | пк | десни | мрав	small | px | right | patience
nhỏ|quân	мала | сила	small|army
nhỏ|trái|px|máy	мала | лева | пк | машина	small|left|px|plane
nhỏ|tượng	мале статуе	small|statue
nhốt	закључано	confine
nhồi	пуњен	cram
nhổ	ископати	uproot
nhộn	смешан	busy
nhớ	ум	remember
nhớt	вискозан	viscid
nhờ	хвала	by
nhờn	масна	multiplication
nhở	подсети	remind
nhụ	прстохват	nhu
nhục	понижени	shame
nhủ	подсетници	needs
nhức	боли	pain
nhứt	први	first (n.)
nhừ	меснат	tender
những	ове	the
nhựa	пластични	plastic
nhựt	нхут	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ни	nun
nia	ниа	a flat basket (n.)
nicaea	ницаеа	nicaea
nicaragua	никарагва	(proper noun) nicaragua
niccolò	ниццоло	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	ницолас	(proper noun) nicolas, as in nicolas sarkozy
niels	ниелс	(proper noun) niels
nigeria	нигерија	nigeria
nikel	никел	nickel
niken	никл	nickel
nikita	никита	(proper noun) nikita, a first name
nikko	никко	(proper noun) nikko
nikolai	николаи	nikolai
nikolayevich	николаиевицх	nikolayevich
nil	нула	nile
nile	ниле	(proper noun) the river nile
nimitz	нимитз	(proper noun) nimitz, as in the ship uss nimitz
nin	нин	nin
ninh	сигурност	ninh, as in bắc ninh
nintendo	нинтендо	(proper noun) nintendo, the game company
nippon	ниппон	nippon
nitơ	азот	nitrogen (n.)
nixon	никон	(proper noun) nixon, as in former president richard nixon
niên	године	youth
niết	ниет	nirvana
niềm	задовољство	trust
niệm	пажљивост	concept
niệu	диуреза	urinary
nj	њ	nj
nlf	нлф	nlf
nm	нм	nano-meters
noah	ноах	(proper noun) noah
nobel	нобел	nobel
nobita	нобита	nobita
noel	ноел	(proper noun) noel
noi	реците	imitate
nokia	нокиа	(proper noun) nokia, as in the nokia corporation
nol	нол	nol
nom	ном	look after
non	млад	mountain
nonpenetrative	нонпенетративе	nonpenetrative
norfolk	норфолк	norfolk
norge	норге	norge
norma	норма	(proper noun) norma, a female first name
norman	норман	norman
normandie	нормандие	normandile
northrop	нортхроп	northrop, as in the northrop f-5 freedom fighter
norton	нортон	norton
norway	норвешка	norway
nou	ноу	nou
novak	новак	novak
now	сада	now
nowc	новц	nowc
noãn	овула	ovule
nsnd	нснд	people's artist
nst	нст	chromosome
nubia	нубиа	nubia
number	број	number
nupedia	нупедиа	a name
nusa	нуса	nusa
nuôi	напајање	feed
nuối	прогутати	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	прогутати	to swallow (v.)
nuớc	вода	water
nxb	нкб	publisher
nynorsk	нинорск	nynorsk
nà	на	na
nài	инсистирати	pleading
nàn	жалили се	poor
nành	соја	soy
nào	хајде	would
này	ово	this
ná	на	a crossbow (n.)
nách	пазух	underarm (n.)
náo	грозан	riot
nát	здробљен	ruin
náu	сакрити	hide
nâng	уздићи	raise
nâu	браон	brown
nã	на	to track down (v.)
não	мозак	brain
né	избећи	dodge
ném	бацити	to throw (v.)
nén	компримовани	compress
nét	удараца	feature
nê	не	ne
nên	свећњак	should or ought to
nêu	реци	mention
nòi	трка	race
nòng	бачвасти	barrel
nói	говорити	to say or speak (v.)
nón	шешир	cone
nóng	вруће	hot
nô	роб	slave
nôbita	тобита	nobita
nôi	креветац	cradle
nôm	ном	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	повраћати	vomit
nông	плитко	farmer
nõn	пилинг	peeled
nùng	нунг	nung
núm	дугме	nipple
núp	сакрити	hide
nút	чвор	button
năm	године	year
năn	покајник	"(term should be ""ăn năn"") remorse (n.)"
năng	снага	"(term should be ""khả năng"") ability (n.)"
nơi	место	a place
nơtrino	неутино	neutrino
nước	земљу	country
nước 	земљу	water
nướng	са роштиља	grill
nǎm	нам	year
nạ	маска	mask
nạc	нагнути	lean (adj.)
nại	жале се	complain
nạn	невоље	a disaster (n.)
nạo	цуреттаге	to scrape (v.)
nạp	учитана	tribute
nản	обесхрабрени	depressed
nảy	одскакање	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	штуцање	a hiccup (n.)
nấp	сакрити	hide
nấu	кувати	cook
nấy	ово	this
nần	гурнути	debt
nầy	ово	this
nẩy	одскакање	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	н сунце	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	нам	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	вруће	busy
nắm	држати	to grasp or hold (v.)
nắng	сунчан	sunlight
nắp	поклопац	a lid or cover (n.)
nằm	лаж	to lie (v.)
nẵng	нанг	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	анонимно	heavy
nặn	стисни	mould
nặng	тешка	heavy
nẻo	други	turn
nếm	укус	taste
nến	свећа	candle
nếp	лепљив	sticky rice (n.)
nếu	ако	if (adv.)
nề	зидарство	severe
nể	поштовање	respect
nện	ударање	ram
nỉ	осетио	beg
nịnh	ласкави	flatter
nọ	други	the other
nọc	отров	tadpole
nỏ	самострел	a crossbow (n.)
nối	повезан	connection
nốt	белешка	to finish off (v.)
nồi	лонац	pot
nồm	врат	humid (adj.)
nồng	вруће	heavy
nổ	експлозивно	explode
nổi	плута	nổi tiếng= famous
nỗ	покушај	affort
nỗi	то	state
nộ	гњев	anger
nội	интерни	on the paternal side (adj.)
nộn	надјев	non
nộp	поднесено	submit
nới	опусти	ease
nở	цвјетање	bloom
nỡ	од срца	do you have a heart to
nợ	у дуговима	debt
nụy	пистил	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	плута	a kind of bamboo (n.)
nứt	сломљен	to crack
nửa	половина	haft
nữa	опет	moreover
oahu	оаху	(proper noun) oahu
oai	грозно	heroic
oakland	оакланд	oakland
oan	неправда	injustice
oanh	оанх	(with word liet) glorious
obama	обама	obama
oblast	област	(proper noun) oblast, as in tomsk oblast
oc	оц	oc
october	октобар	(proper noun) october
oda	о да	oda
oder	одер	oder
odyssey	одисеја	odyssey, as in the odyssey, homer's epic
oecd	оецд	oecd
officer	официр	officer
officers	официри	officers
ohkawa	охкава	ohkawa
okhotsk	окхотск	okhotsk
oliver	оливер	oliver
olivier	оливиер	olivier
olympus	олимпус	olympus
om	браисед	to simmer
omar	омар	a name
ong	пчела	bee
ontario	онтарио	ontario
oort	оорт	oort
oprah	опрах	(proper noun) oprah, as in oprah winfrey
organ	оргуље	organ
oricon	орицон	oricon
origin	порекло	origin
orion	орион	(proper noun) orion, the hunter
orleans	орлеанс	(proper noun) orleans, as in new orleans
orochimaru	ороцхимару	orochimaru
orton	ортон	orton
os	ос	os
osaka	осака	(proper noun) osaka, a city in japan
osama	осама	(proper noun) osama, as in osama bin laden
osamu	осаму	(proper noun) osamu, a japanese first name
oscar	осцар	oscar
osiris	осирис	(proper noun) osiris, as in the egyptian god
oskar	оскар	a name
oslo	осло	oslo
osment	осмент	osment
ospf	оспф	ospf
ossetia	оссетиа	(proper noun) ossetia
oswald	освалд	oswald
other	друго	other
otto	отто	(proper noun) otto, as in otto von bismarck
ottoman	отоман	(proper noun) ottoman, as in the ottoman empire
outstanding	изванредан	xuat sac
owen	овен	(proper noun) owen, as in michael owen
oxford	окфорд	oxford
oxy	кисеоник	oxygen
ozawa	озава	(proper noun) ozawa, as in maria ozawa
oán	озлојеђеност	"(term should be ""oán than"") to complain or whine"
oát	вати	a watt (n.)
oản	оан	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	пагет	(proper noun) paget
pailin	паилин	pailin
pakistan	пакистану	(proper noun) the country of pakistan
palais	палаис	palais, as in grand palais
palawan	палаван	palawan
palenque	паленкуе	(proper noun) palenque
palestine	палестине	a name
palgrave	палграве	palgrave
pali	пали	a name
pamir	памир	pamir
pan	тава	pan, as in peter pan
panama	панама	panama
panamax	панамак	(proper noun) panamax
panduranga	пандуранга	(proper noun) panduranga
panthera	пантхера	(proper noun) panthera, a genus of felines
panthéon	пантхеон	a name
paolo	паоло	paolo
paperback	папербацк	paperback
papua	папуа	papua
paraguay	парагвај	(proper noun) paraguay
pari	пари	pari
park	парк	park
parton	партон	parton
patel	пател	(proper noun) patel
patrick	патрик	patrick
patriot	патриота	patriot
paul	паул	paul
paula	паула	paula
paulo	пауло	(proper noun) paulo
pavia	павиа	pavia
pbs	пбс	pbs
pda	пда	pda
pdf	пдф	pdf
pedro	педро	pedro
peers	вршњаци	peers
pele	пеле	(proper noun) pele, as in the soccer player
penang	пенанг	penang
penh	пенх	(proper noun) penh, as in phnom penh
pennsylvania	пеннсилваниа	pennsylvania
penny	пени	(proper noun) penny, an english first name
pereira	переира	pereira
perl	перл	(proper noun) perl
pero	перо	pero
perry	перри	(proper noun) perry, as in elizabeth perry
persephone	персефон	presephone
pershing	персхинг	pershing
persian	перзијски	persian
peru	перу	peru, as in the south american country
peters	петерс	peter's, possessive of peter
petersburg	петерсбург	(proper noun) petersburg, as in saint petersburg
pfm	пфм	a name
pgs	пгс	associate professor
pgđ	пгђ	associate professor
pha	помешан	to mix
phaethon	пхаетхон	phaethon
pham	пхам	pham
phanh	кочница	expose
phao	пловак	float
phaolô	паул	st. paul, the apostle
pharaoh	фараон	pharaoh
pharaon	фараон	pharaoh
phay	глодање	mill
phe	фракција	faction
phen	фен	time
phil	пхил	(proper noun) phil, a first name
philip	пхилип	philip
philippe	пхилиппе	philippe
philippines	филипини	(proper noun) philippines
phillip	пхиллип	(proper noun) phillip
phillips	пхиллипс	philips
philosophiae	пхилосопхиае	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	филм	phim
phin	филтер	coffee filter
phineas	пхинеас	(proper noun) phineas
phiên	седница	trial
phiêu	авантура	adventurous
phiếm	трачеви	gossip
phiến	сечиво	"(should be ""nha phiến"") opium"
phiện	опијум	opium
phiệt	пхиет	militarism
phnom	пхном	phnom
phnôm	фомом	phnôm pênh= phnom penh(cambodia's capital)
pho	пхо	part of a person's name, rat-pho, or ratford
phoenix	феникс	(proper noun) phoenix
phong	соба	movement
php	пхп	php
phrygian	фригијски	phrygian
phu	пху	"(term should be ""phu nhân"") wife (n.)"
phui	откривен	expose
phun	спреј	to spray or spit (v.)
phà	трајект	ferry
phàm	смртни	superhuman
phàn	жале се	complain
phá	разбијање	destroy
phác	скица	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	победити	manner (n.)
phái	секта	a party
phán	судија	judge
pháo	топ	artillery
pháp	француска	method
phát	емитовање	develop
phèn	алум	alum
phèo	пхео	organs
phép	дозвољен	permit
phê	надувати се	"(term should be ""phê bình"") to criticize (v.)"
phêrô	петер	peter
phì	увећана	non-
phình	испупчење	bulge
phí	напунити	non-
phía	страна	side
phích	термос	a flask (n.)
phím	кључ	key
phò	пхо	"(term should be ""phò mã"") a prince consort"
phòng	соба	office
phó	заменик	second
phóng	лансирање	to launch (v.)
phô	град	display
phôi	ембрио	embryo
phông	фонт	font
phùng	пуфф	phung
phúc	благословљен	good fortune (n.)
phúclộc	благослов	phuc-loc
phún	скитница	"(term should be ""lún phún"") sparse (adj.)"
phúng	штета	satire
phút	минуту	a minute (n.)
phăn	фрет	phan
phăng	пханг	knock
phương	пхуонг	direction
phước	благослов	luck
phường	штићеник	ward
phượng	пхоеник	phoenix
phạn	санскрит	sanskrit
phạt	казнити	punish
phả	педигре	pedigree
phải	јел тако	must
phải 	јел тако	right
phản	бројач	reaction
phảng	раван	subtle
phần	део	part
phẩm	производи	food
phẩy	зарез	a comma
phẫn	огорчен	wrathful
phẫu	хирургија	surgery
phận	судбина	part
phật	буда	buddhist
phẳng	авион	flat (adj.)
phế	туча	dismiss
phết	ширење	to spread or smear (v.)
phỉ	љешњак	defame
phỏng	горети	interview
phố	град	city
phối	координат	coordinate
phốt	фосфат	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	надувана	to swell (v.)
phổ	спектар	popular
phổi	плућа	lung
phộng	кикирики	peanut
phới	пловак	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	супа са резанцима	pho
phục	одећа	convincing
phụng	служити	worship
phụt	пуфф	minute
phủ	покривен, затрпан	government
phức	комплекс	complex
picchu	пиццху	a name
piccolo	пиццоло	piccolo
pierre	пиерре	pierre
pierrot	пиеррот	pierrot
pietro	пиетро	pietro
pike	штука	pike
pin	батерија	battery
pinlus	пинлус	pinlus
pioneer	пионир	pioneer
pipes	цеви	pipes
pisa	писа	a name
piston	клип	piston
pitch	висина тона	pitch
pius	пиус	pius
plaaf	плааф	plaaf
plan	план	plan
plasma	плазма	plasma
plate	тањир	plate
plato	плато	plato
platon	платон	platon
player	плаиер	player
pleiku	плеику	(proper noun) pleiku
pleistocen	плеистоцен	pleistocen
plus	плус	plus
pluto	плуто	pluto
pm	после подне	pm
pmu	пму	pmu
po	по	po
pokémon	покемон	pokemon
pol	пол	pol
poland	пољска	poland
pollack	поллацк	a name
pollux	поллук	a name
polo	поло	(proper noun) polo, as in marco polo
polynésie	полинесие	polynesian
pont	понт	(proper noun) pont, as in pont de normandie
pop	поп	pop
portland	портланд	portland
porto	порто	porto
pot	лонац	pot
potsdam	потсдам	(proper noun) potsdam
potter	лончар	(proper noun) potter, as in harry potter
pour	сипати	not vietnamese
powell	повелл	(proper noun) powell, as in general colin powell
pradesh	прадесх	pradesh
praha	праха	praha
pratzen	пратзен	pratzen
preah	преах	(proper noun) preah
premier	премијер	premier
preminger	премингер	(proper noun) preminger
preston	престон	(proper noun) preston, as in john preston
prince	принц	prince
princeton	принцетон	princeton
printemps	принтемпс	printemps
printf	принтф	printf
prinz	принз	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	прик	(proper noun) prix, as in the grand prix
procellarum	процелларум	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	пројект	projekt
prometheus	прометхеус	(proper noun) prometheus
protein	протеин	protein
prôtêin	беланчевина	protein (n.)
ps	пс	ps
psv	псв	psv
ptolemy	птоломеј	ptolemy
ptq	птк	ptq
puerto	пуерто	puerto
pulau	пулау	(proper noun) pulau, as in pulau tekong, an island
pulitzer	пулитзер	(proper noun) pulitzer, as in the pulitzer prize
pulp	пулпе	pulp
punjab	пуњаб	punjab
pusan	пусан	(proper noun) pusan
putin	ставити у	putin
pyrenees	пиринеји	pyrenees
pytago	питаго	(proper noun) pytago
pzl	пзл	pzl
péc	пец	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	перез	(proper noun) perez, as in javier perez de cuellar
păng	панг	fansipan
pơ	по	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	к	q ( a letter)
qatar	катар	qatar
qd	кд	quantum dots
qing	кинг	qing, as in the qing dynasty of  china
qlvnch	клвнцх	army of the republic of vietnam
qua	од стране	transmit
quad	куад	quad
quan	куан	"(term should be ""quan hệ"") relationship (n.)"
quang	оптички	bladder
quanh	око	around
quay	окренуо	turn
que	шипке	stick
queen	краљица	queen
queens	краљице	(proper noun) queens, as in the new york borough
queensland	куеенсланд	queensland
quen	познат	accustomed to
qui	куи	formal
quincy	куинци	(proper noun) quincy, as in quincy jones
quran	кур&#39;ан	quran
quy	правила	"(term should be ""quy ước"") agreement"
quyên	основе	"(term should be ""quyên góp"") to donate (v.)"
quyến	шарм	"(term should be ""gia quyến"") family"
quyền	дозволу	right
quyện	друже се	mix
quyệt	подмукао	"(should be ""xảo quyệt"") devious"
quá	такође	over
quái	јеботе	strange or odd
quán	бар	hometown
quáng	слеп	blind
quát	викну	generalize
quân	куан	army (n.)
quãng	цца	optical
quét	за скенирање	to sweep (v.)
quê	село	countryside
quên	заборави	forget
quý	драгоцен	love
quýt	мандарина	tangerine
quăng	бацити	to throw (v.)
quĩ	фонд	orbit
quạ	вране	crow (con qua)
quạt	лепеза	fan
quản	управљање	"(entire term is ""cai quản"") to manage"
quảng	промо	guangzhou
quấn	замотати	wrap around
quất	кумкуат	whip
quấy	комешање	harass
quần	панталоне	pants (n.)
quầng	хало	halo
quầy	бројач	stall
quẩy	љуљање	quay
quẫn	бедно	necessitous
quận	округ	county (n.)
quật	ископ	excavation
quẳng	бацити	throw
quặc	чудан	strange (adj.)
quặng	руда	an ore (n.)
quẻ	хексаграм	hexagram
quế	цимет	cinnamon (n.)
quết	олош	knead
quệ	сиромашан	exhausted
quỉ	ђаво	demon
quỳ	клекни	demon (n.)
quỳnh	куынх	quynh
quỵ	удар	stroke
quỷ	ђаво	provided
quỹ	фонд	fund
qúy	четвртина	quy
r	р	r
rabindranath	рабиндранатх	rabindranath
race	трка	race
rafael	рафаел	rafael
rafale	рафале	(proper noun) rafale, as in dassault rafale
rai	раи	slowly intake
raleigh	ралеигх	raleigh
ralph	ралпх	(proper noun) ralph, as in ralph waldo emerson
ram	рам	a name
rama	рама	rama, first name of several rulers of thailand (n.)
ramadan	рамадан	(proper noun) the fasting month of ramadan
ramayana	рамаиана	ramayana
rambus	рамбус	rambus
ran	отрчао	ran
ranch	ранч	ranch
randy	ранди	randy
rang	зазвонио	roast
rangers	ренџери	rangers
ranh	граница	border (ranh gioi)
rao	ад	to announce
rap	рап	rap
raptor	раптор	raptor
rate	рате	rate
rau	поврћа	vegetable
ray	зрак	rail (n.)
raya	раиа	raya
raymond	раимонд	raymond
rađa	радар	radar
reagan	реаган	reagan
real	прави	real
reanimation	реанимација	reanimation
reap	жети	reap
reef	гребен	reef
regia	региа	regia
reichelt	реицхелт	reichelt
ren	чипка	lace (n.)
renaissance	ренесанса	renaissance
renault	ренаулт	renault
rené	рене	rene
reo	прстен	yell
reserve	резерва	reserve
resort	летовалиште	resort
reverse	преокренути	reverse
revolution	револуција	revolution
rey	реи	rey, as in copa del rey
rfid	рфид	rfid
rhodes	рходес	rhodes
rica	рица	rica
ricardo	рицардо	ricardo
ricci	рицци	ricci
richard	рицхард	richard
richardson	рицхардсон	(proper noun) richardson, as in james o. richardson
richie	рицхие	(proper noun) richie, as in singer lionel richie
rico	рицо	rico, as in puerto rico
riemann	риеманн	riemann, as in bernhard riemann, a german mathematician
rimjob	римјоб	rimjob
rin	рин	rin
rising	у порасту	rising
risk	ризик	risk
ritchie	ритцхие	a name
rivaldo	ривалдо	rivaldo
rivière	ривиере	a name
rizal	ризал	rizal
riêng	приватно	own
riêu	риеу	crab
riết	риет	urgently
riềng	галангал	arrowroot
ro	ро	"entire term is ""rui ro""; means ""risk"""
robert	роберт	(proper noun) robert
roberto	роберто	(proper noun) roberto
roberts	робертс	roberts
robespierre	робеспиерре	robespierre
robin	робин	a name
