$	$ $	dollars
تحرك	mover	movement
تحرير	editar	liberation
تحسن	mejorado	improved
تحسين	mejorar	improving
تحصل	usted consigue	win
تحظى	tener	given
تحقق	cheque	achieve
تحقيق	lograr	in achieving
تحكم	control	governing
تحل	resuelto	resolved
تحليل	análisis	analysis
تحمل	llevar	carry
تحميل	descargar	load
تحول	cambio	turned
تحولت	convertido	turned
تحوي	contener	contains
تحويل	convertir	transforming
تحوّل	transformado	transformed
تحيط	rodeado	surrounds
تختلف	diferir	differs
تخدم	servir	workes for
تخرج	graduado	graduated
تخزين	tienda	storage
تخصص	especialidad	dedicated
تخصيص	personalizar	major
تخضع	asunto	subject
تخطيط	diseño	designing
تخفيض	reducción	reduction
تدار	gestionado	managed
تدخين	fumar	smoking
تدرس	estudiando	taught
تدريب	entrenamiento	training
تدريجيا	poco a poco	gradually
تدريجياً	poco a poco	gradually
تدريجيًا	poco a poco	gradually
تدعم	apoyo	support
تدعو	invita	which lead to
تدفع	usted paga	pushes
تدفق	flujo	flow
تدل	denotar	indicates
تدمير	destrucción	destruction
تدهور	deterioro	deteriorated
تدور	girar	runs
تدوين	notación	blogging
تدير	ella corre	manage
تذكر	recuerda	mentions
تراث	legado	heritage
تراجع	retroceder	regression
تراجعت	parpadeó	backed off
تراقيا	tracia	tarakia
ترانسفيراز	transferasa	tranceivers
تربة	el suelo	soil
تربط	conectar	connects
تربية	la cría	upbringing
ترتبط	vinculado	connected
ترتفع	subir	high
ترتيب	arreglo	order
ترجع	devoluciones	returns to
ترجم	traducir	translate
ترجمة	traducir	translation
تردد	vacilación	frequency
ترك	dejar	leave
تركت	izquierda	ceded
تركز	enfoque	concentrates
تركها	déjalo	leaving it
تركي	turco	turkish
تركيا	pavo	turkey
تركيب	instalando	formation
تركية	turco	turkish
تركيز	enfoque	concentration
ترى	ves	see
تريد	tu quieres	wanted
ترير	trier	trier
تزال	todavía	still
تزايد	creciendo	increase
تزداد	cada vez más	increase
تزوج	casarse	married
تزوجت	me casé	married
تزوجها	se casó con ella	married her
تزيد	aumentar	increases
تساعد	ayuda	help
تساهم	contribuir	contributed
تساوي	es igual a	equal to
تسبب	porque	caused
تسببت	causado	caused
تستخدم	usado	used
تستطع	usted puede	could
تستطيع	usted puede	cannot
تستعمل	usado	use
تستغرق	tomar	takes about
تستمر	continua	continues
تستهلك	consumir	consumes
تسجيل	registrarse	registering
تسخين	calentamiento	heating
تسرب	fugas	leak
تسع	nueve	nine
تسعة	nueve	nine
تسعى	buscando	wants
تسقط	caerse	collapse
تسلسل	secuencia	the chronology of
تسلم	recibido	took hold of
تسليم	la entrega	submission
تسمح	permitir	allow
تسمى	llamado	called
تسمية	una etiqueta	naming
تسونامي	tsunami	tsunami
تسوية	liquidación	settlement
تسير	yendo	going
تسيطر	controles	controles
تشاد	chad	chad
تشارك	involucrado	participates
تشارلز	carlos	charles
تشبه	me gusta	similar
تشترك	compartir	shares
تشتمل	incluir	includes
تشتهر	es famoso por	is famous
تشجيع	alentar	encouraging
تشخيص	diagnosticar	diagnosis
تشرف	honrado	honors
تشريع	legislación	legislation
تشرين	tishreen	november
تشغل	esta corriendo	running
تشغيل	correr	operation
تشكل	forma	forms
تشكلت	formado	formed
تشكيل	formación	structure
تشمل	incluir	consists of
تشهد	testificar	witnesses
تشي	che	che (name)
تشير	indicar	points
تشيكوسلوفاكيا	checoslovaquia	czechoslovakia
تشين	chen	chen
تشييد	construcción	establish
تشييط	cheque	burning the pile
تصاعد	montaje	the escalation
تصب	verter	pours
تصبح	convertirse	become
تصدر	emitido	are produced
تصدير	exportar	export
تصغير|	minimizar |	minimized
تصغير|بك|رسم	minimiza | tu | dibujo	minimize bik  drawing
تصغير|رسم	minimizar | dibujar	minimization|drawing
تصغير|صورة	minimizar | imagen	reduction|photo
تصغير|مسجد	minimizar | mezquita	reduction| mosque
تصف	describir	describes
تصل	arriba	reached
تصميم	diseño	design
تصنع	tu haces	manufacture
تصنف	se clasifican	classified
تصنيع	fabricación	manufacturing
تصنيف	clasificación	classification
تصنيفآل	clasificación	classification of al
تصنيفأشخاص	clasificación de personas.	category:people
تصنيفأعلام	banderas de clasificación	media classification
تصنيفبلدان	clasificación del país	classification countries
تصنيفتاريخ	fecha de calificación	classification history
تصنيفخريجو	clasificación de egresados	classification: graduated
تصنيفدول	países de clasificación	countries classification
تصنيفديمقراطيات	clasificación de la democracia	democracies
تصنيفرؤساء	clasificación de cabezas	presidents classification
تصنيفشعراء	clasificación de poetas	poets
تصنيفصحابة	compañero de clasificación	tsnnifsahabh
تصنيفعلم	bandera de clasificación	classification science
تصنيفعلماء	clasificación de científicos	scientists classification
تصنيفعواصم	clasificación de capitales	classification: capitol
تصنيففلاسفة	clasificación de filósofos.	classification: philosophers
تصنيفقادة	líderes de calificación	leaders classification
تصنيفكتاب	libro de clasificación	classification: writers
تصنيفلاعبو	clasificación de jugadores	classification players
تصنيفمدن	clasificación de ciudades	classification cities
تصنيفمصريون	calificación egipcios	classification of egyptions
تصنيفممثلات	clasificación de actrices	classification actresses
تصنيفممثلون	clasificación de actores	category : actors
تصنيفمواليد	clasificación de los recién nacidos.	classification births
تصنيفوزراء	clasificación de ministros	classification ministers
تصنيفوفيات	categorias	death classification
تصور	visualiza	imagination
تصوير	fotografía	recording
تصيب	infectar	infects
تضاعف	multiplicado	multiplicity
تضخم	oleaje	inflation
تضع	lugar	put
تضم	incluye	combines
تطبق	aplicado	apply
تطبيق	solicitud	applying
تطبيقات	aplicaciones	applications
تطل	mira hacia abajo	overlooks
تطلب	preguntar	request
تطلق	despedido	launches
تطهير	desinfeccion	sterilization
تطور	evolución	development
تطورا	sofisticado	development
تطورت	evolucionado	evolved
تطوير	desarrollo	development
تطوّر	evolucionar	development
تظل	permanecer	reamain
تظهر	presentarse	appears
تعارض	conflicto	contradicts
تعاطي	abuso	taking
تعالى	vamos	he exalted
تعاليم	enseñanzas	teachings
تعامل	tratado	dealing
تعاني	sufrir	suffer
تعاون	cooperación	cooperation
تعبر	cruz	expresses
تعتبر	considerado	considered
تعترف	reconocer	recognize
تعتمد	depende	depend
تعد	preparar	considered
تعداد	enumeración	count
تعددت	yo multipliqué	multiplied
تعديل	enmienda	amendment
تعرض	exposición	exposed to
تعرضت	fue expuesto	faced
تعرضوا	fueron expuestos	they encounter
تعرف	saber	known
تعريف	definición	definition
تعرّض	expuesto	he was a victim of
تعزيز	promoción	enforcing
تعطى	dado	given
تعطي	dar	gives
تعكس	reflexionar	reflects
تعلم	aprender	learning
تعليم	enseñanza	teaching
تعليمه	enséñalo	educated
تعليمية	educativa	educational
تعمل	funciona	work
تعني	significa	mean (v)
تعود	citas	return
تعيش	ella vive	live
تغطي	cubriendo	cover
تغطية	cubierta	covering
تغلب	batir	win
تغير	cambiado	the change
تغيرات	cambios	changes
تغيرت	cambiado	changed
تغيير	cambio	change
تفاصيل	detalles	details
تفاعل	interactuar	reacted
تفاعلات	interacciones	reactions
تفرض	imponer	forced upon
تفسير	explicación	explanation
تفصل	por separado	sperates
تفعل	hacer	did
تفقد	perder	lose
تفكك	romper	disintegration of
تفوق	excel	surpasses
تفيد	beneficio	benefit
تقارب	afinidad	rapprochement
تقارير	informes	reports
تقاليد	tradiciones	traditions
تقام	se llevan a cabo	made
تقبل	aceptar	accept
تقتصر	confinado	limited to
تقدر	aprecia	estimated
تقدم	oferta	progress
تقدمت	avanzado	forge ahead
تقدمه	ofrecerlo	provided by
تقدمها	siempre	progress
تقدير	agradecimiento	measuring
تقديرات	estimaciones	ratings
تقديم	sumisión	presentation
تقرر	fue decidido	decides
تقريبا	casi	nearly
تقريباً	casi	almost
تقريبًا	casi	approximately
تقرير	informe	statement
تقسم	dividir	divided
تقسيم	división	distribute
تقضي	gastar	to annihilate
تقع	caer	is located
تقف	ponerse de pie	stands
تقل	menos	less than
تقلل	reducir	decreases
تقليد	tradición	traditional
تقليدية	tradicional	traditional
تقليل	reducir	decrease
تقنيات	tecnologías	technologies
تقنية	técnica	technical
تقود	plomo	leads
تقول	ella dice	says
تقوم	usted	do
تقوية	fortalecimiento	enforcing
تقويم	calendario	calendar
تقي	piadoso	taky
تقييم	evaluación	valuing
تكاد	casi	almost
تكاليف	costos	costs
تكتب	ella escribe	written
تكثر	abundante	increase
تكرار	repetir	repeating
تكساس	texas	texas
تكلفة	costo	cost
تكليس	calcinación	calcification
تكمن	mentira	reside
تكن	ser	wasn't
تكنولوجيا	tecnología	technology
تكون	ser	be
تكونت	formado	constituted
تكوين	composición	formation
تكيف	adaptarse	adaption
تل	colina	hill
تلال	colinas	hills
تلاميذه	sus discípulos	students
تلبية	reunirse	fulfilling
تلت	seguido	after
تلعب	jugar	plays
تلف	está dañado	spoiled
تلفزيون	tv	television
تلفزيونية	televisión	tv
تلقى	recibido	receive
تلك	esos	this
تلو	despues	after
تلوث	contaminación	pollution
تليها	seguido por	following it
تم	hecho	orphan
تمارس	practicado	practice
تمام	esta bien	end
تماما	absolutamente	completely
تماماً	exactamente	completely
تمامًا	totalmente	completely
تمت	hecho	has
تمتاز	excel	characterized by
تمتد	estiramiento	extends
تمتعت	yo disfruté	enjoyed
تمتلك	posee	owns
تمثال	estatua	statue
تمثلت	en la foto	including
تمثيل	representación	representation
تمر	pase	pass
تمرد	rebelión	revolt
تمكن	gestionado	he could
تملك	posee	has
تمنح	concedido	given
تمنع	prevenir	prohibits
تمويل	financiacion	finance
تميز	distinguido	distinguish
تميزت	marcado	characterized by
تميل	tender	leans
تميم	tamim	tamim
تمييز	distinción	differentiate
تمّ	hecho	was
تنازل	concede	renounced
تناول	comer	took
تناولت	comer	contained
تنبأ	predicho	predicted
تنتج	produce	produced
تنتشر	extendido	spread
تنتقل	pasado	transfer
تنتمي	pertenecer	belongs to
تنتهي	expira	finished
تنخفض	bajar	drop
تنسيق	formato	coordination
تنشأ	levántate	founded
تنص	estados	provides
تنظم	organizado	organizes
تنظيم	reglamento	organization
تنفيذ	implementación	execution
تنقسم	dividido	divided
تنقل	transferencia	transmits
تنمو	crecer	develop
تنمية	desarrollo	development
تنوع	diversidad	variety
تهتم	cuidate	care
تهدد	amenazante	threaten
تهدف	apuntar	aims at
تهيمن	dominar	dominates
توابل	saborizante	spices
تواجد	existe	coexist
تواجه	cara	faces
توازن	equilibrio	balance
توافق	de acuerdo	agrees with
توت	arándano	tut
توتونيون	teutónico	teutonians
توجد	hay	is present
توجه	dirigido	directed
توجيه	directo	directing
توحيد	estandarización	unity
توزيع	distribución	distribution
توسع	expandir	expanding
توسعت	expandido	expanded
توسيع	expandir	expanding
توصل	llegar	reached
توصيل	la entrega	connect
توضح	aclarar	explain
توضع	ser colocado	put
توفر	disponibilidad	provide
توفى	el murio	passed away
توفي	el murio	died
توفيت	ella murio	timing
توفير	guardar	provide
توفيق	tawfiq	tawfeek
توقع	esperar	predicted
توقف	para	stoppage
توقيع	firma	signing
توكيس	tokis	tukes
تولد	raza	born
تولى	el tomo	took position
توليد	generar	generation
توليه	el tomo	coronation
تولّى	hacerse cargo	assumed
توما	toma	thomas
توماس	thomas	thomas
تونس	túnez	tunisia
تويوتا	toyota	toyota
تويودا	toyoda	toyota
تي	t	t
تيار	stream	trend
تيارات	corrientes	currents
تيفوس	tifus	typhoid
تيمور	timur	timur
تيمية	taymiyya	timiah
تُشكل	se forman	forms
تُظهر	mostrar	appears
تُعتبر	son considerados	considered
تُعد	esta contando	considered
تُعرف	conocido	known
ثابتة	fijo	firm
ثار	rebelde	arises
ثالث	tercero	third
ثاليوم	talio	thallium
ثانوية	secundaria	secondary
ثاني	el segundo	the second
ثانيا	en segundo lugar	secondly
ثانية	de nuevo	second
ثبت	probado	confirmed
ثروة	fortuna	fortune
ثقافات	culturas	cultures
ثقافة	cultura	culture
ثقافي	cultural	cultural
ثقافية	cultural	culture
ثقب	un agujero	hole
ثقة	seguro	confidence
ثلاث	tres	three
ثلاثة	tres	three
ثلاثية	trilogía	trilogy
ثلاثين	treinta	thirty
ثلث	un tercero	third
ثم	entonces	then
ثمان	ocho	eight
ثماني	ocho	eight
ثمانية	ocho	eight
ثمة	hay	some
ثمّ	entonces	hence
ثنائية	dualismo	bilateral
ثور	thor	ox
ثورات	revoluciones	revolutions
ثورة	revolución	revolution
ثيوديسيا	teodisia	thudesia
ج	c	c
جاء	vino	come
جاءت	ella vino	came
جائزة	premio	prize
جابر	jaber	gaber
جاذبية	atractivo	attraction
جاسم	jassim	jassim
جاك	jack	jack
جاكسون	jackson	jackson
جالوت	goliat	goliath
جاليليو	galileo	galileo
جالينوس	galen	galinos
جامع	coleccionista	mosque
جامعات	universidades	universities
جامعة	universidad	university
جان	ene	jan
جانب	lado	aside
جانبه	su lado	his side
جانبي	mi lado	side
جبال	montañas	mountains
جبران	gibran	gibran
جبريل	gabriel	gabriel
جبلية	la montaña	mountainous
جبهة	frente	group
جد	abuelo	grandfather
جدا	demasiado	very
جدار	pared	wall
جدال	controversia	discussion
جداً	demasiado	very
جدة	abuela	jeddah
جدد	nuevo	new
جدران	paredes	walls
جدل	controversia	discussion
جده	abuelo	his grandfather
جدول	tabla	table
جدوى	aprovechar	benefit
جديد	nuevo	new
جديدا	nuevo	new
جديداً	nuevo	new
جديدة	nuevo	new
جديدًا	nuevo	new
جدير	digno	it should be
جدًا	mucho	very
جذب	atraccion	attraction
جذور	raíces	roots
جراء	marioneta	by
جرائم	crímenes	murders
جرانيت	granito	granite
جرت	tomó lugar	occurred
جرى	corrió	had place
جريدة	periódico	newspaper
جزء	parte	part
جزءا	parte	apart of
جزءاً	parte	a part of
جزءًا	parte	part of
جزئيا	parcialmente	partial
جزر	islas	islands
جزيئات	moléculas	particles
جزيرة	una isla	island
جساس	espiar	gessas
جسد	cuerpo	body
جسده	su cuerpo	his body
جسدها	su cuerpo	its body
جسر	puente	bridge
جسم	cuerpo	body
جسمه	su cuerpo	his body
جسيمات	partículas	particles
جعفر	jafar	gafar
جعل	hacer	push on
جعلت	hecho	caused
جعله	hazlo	made him
جعلها	hazlo	made her
جغرافيا	geográficamente	geographically
جغرافية	geografía	geographical
جفاف	deshidratación	drought
جل	gel	most
جلال	celal	galal
جلب	buscar	bring
جلد	cuero	leather
جلسة	sesión	council
جماع	coito	sex
جماعات	grupos	groups
جماعية	colectivo	collective
جمال	belleza	beauty
جمع	coleccion	combined
جمعة	vie	friday
جمعت	recogido	combined
جمعه	recógelo	week
جمعها	recogido	collected
جمعية	asociación	the society
جملة	oración	within the total
جمهور	audiencia	majority
جمهوري	mis fans	republican
جمهورية	república	republic
جميع	todos	all
جميعا	todos ellos	all
جميعاً	todos ellos	all
جميعًا	todos ellos	all
جميل	hermoso	beautiful
جميلة	hermosa	gamila
جناح	suite	wing
جنب	lado	attraction
جندي	un soldado	soldier
جنس	sexo	sex
جنسي	sexy	sexual
جنسية	nacionalidad	sexual
جنطيانية	gentianismo	heavenly
جنكيز	genghis	genghis
جنو	gnu	gnu
جنوب	sur	and south
جنوبا	sur	southern
جنوبي	sur	southern
جنوبًا	sur	to the south
جنود	soldados	soldiers
جنوده	sus soldados	soldiers
جهات	destinos	views
جهاد	jihad	gehad
جهاز	dispositivo	department
جهة	mano	side
جهد	esfuerzo	effort
جهود	esfuerzos	efforts
جو	joe	go
جوائز	premios	prizes
جواز	pasaporte	marriage
جوانب	aspectos	aspects
جواهر	joyas	jawaher
جوجل	google	google
جودة	calidad	quality
جورج	george	george
جورجيا	georgia	georgia
جورجيون	georgianos	georgeon
جوزيف	joseph	joseph
جولة	ronda	round
جون	juan	john
جوهر	esencia	"literally translates to ""jewel"" but this is a name"
جوي	joey	aerial
جوية	aire	aerial
جي	ing	g
جيبوتي	djibouti	djibouti
جيجابت	gigabit	gega
جيد	buena	good
جيدا	bien	good
جيداً	bien	good
جيدة	buena	good
جيش	un ejercito	army
جيشه	su ejercito	his army
جيشًا	un ejercito	an army
جيفارا	guevara	guevara
جيل	generación	generation
جيمس	james	james
جين	jane	gene
جينات	genes	genes
جيوش	ejércitos	armies
حائط	pared	wall
حائل	granizo	ha'el
حاتم	hatem	hatem
حاجة	necesario	need
حادة	agudo	sharp
حادث	un accidente	event
حادثة	un accidente	accident
حار	caliente	hot
حارب	peleó	fought
حارة	carril	quarter
حاز	tiene	got
حاسوب	una computadora	computer
حافة	borde	edge
حافظ	hafiz	hafez
حافظت	mantenido	maintained
حال	condición	case
حالات	casos	cases
حالب	uréter	milker
حالة	condición	case
حالته	su condición	status
حاليا	actualmente	now
حالياً	actualmente	current
حاليًا	actualmente	currently
حامد	hamed	hamed
حامل	embarazada	carrier
حاول	prueba	tried
حاولت	lo intenté	tried
حب	amor	hab
حبيب	cariño	habeeb
حبيبي	mi amor	my beloved
حتى	incluso	till
حتي	incluso	even
حجة	un argumento	hega
حجر	piedra	hagar
حجم	tamaño	size
حجما	en tamaño	size wise
حجمها	su tamaño	her size
حجوالة	transferencia	philomachus pugnax
حد	límite	limit
حدائق	jardines	gardens
حدة	nitidez	serious
حدث	sucedió	happen
حدثت	actualizado	happened
حدثنا	cuéntanos	talked to us
حدد	seleccione	locate
حدودها	sus limites	borders
حديث	hadith	talk
حديثا	recien	recently
حديثة	moderno	modern
حديثًا	recientemente	recently
حديد	hierro	iron
حديدية	ferroso	railways
حديقة	jardín	garden
حراء	hira	name of a cave
حرارة	calor	temperature
حرارته	su calor	heat
حرارتها	su calor	its temperature
حرام	prohibido	forbidden
حرب	guerra	war
حربية	buque de guerra	military
حرة	gratis	free
حرس	guardia	guards
حرف	personaje	character
حرق	ardor	combustion
حركات	movimientos	movements
حركة	movimiento	the movement
حرم	prohibido	forbid
حروب	guerras	wars
حروف	letras	letters
حرية	libertad	freedom
حزام	cinturón	hezam
حزب	fiesta	party
حزم	paquetes	bundle/hazm
حزن	melancolía	grief
حزيران	junio	june
حساب	cuenta	calculation
حسابات	cuentas	accounts
حساسة	sensible	sensitive
حسان	hassan	hassan
حسب	de acuerdo a	depends
حسن	esta bien	hassan
حسنة	esta bien	good
حسني	hosni	husni
حسين	hussein	hussein
حشد	multitud	crowed
حشرات	insectos	insects
حشيشة	hachís	hashish
حصار	bloqueo	seige
حصة	compartir	hosa
حصدت	cosechado	won
حصل	tengo	happened
حصلت	tengo	got
حصن	fortaleza	fort
حصول	obtener	acquiring
حضارات	civilizaciones	السماح بالكتابة بحسب النطق الصوتي civilizations
حضارة	civilizacion	civilization
حضر	atendido	come to
حضور	asistir	presence
حطين	hittin	heteen
حظر	prohibir	prohibit
حفر	cavando	dig
حفظ	guardar	keeping
حفل	una fiesta	festival
حق	derecho	the right
حقائق	hechos	facts
حقبة	era	era
حقق	logrado	achieved
حققت	logrado	have achieved
حقل	campo	field
حقه	su derecho	his right
حقوق	derechos	rights
حقول	campos	fields
حقيقة	un hecho	fact
حقيقي	real	real
حقيقية	real	real
حكام	gobernantes	kings
حكايات	cuentos	stories
حكاية	anécdota	story
حكم	regla	judge
حكمة	sabiduria	wisedom
حكمت	ella gobernó	lead
حكمه	su sabiduría	his ruling
حكمها	su regla	its rule
حكمهم	su regla	leading
حكومات	gobiernos	governments
حكومة	gobierno	government
حكومي	gubernamental	governmental
حكومية	gubernamental	governmental
حكيم	sabio	hakim
حلال	halal	righteous
حلب	alepo	aleppo
حلت	disuelto	replaced
حلف	juro	alliance
حلقات	episodios	circles
حلقة	episodio	episode
حلمي	mi sueño	helmy
حلول	soluciones	solutions
حلويات	dulces	deserts
حماة	protectores	hama
حماد	hammad	hammad
حماس	entusiasmo	hamas
حماية	protección	protection
حمد	hamad	thanked (verb), hamad (proper noun)
حمدان	hamdan	hamdan
حمدي	hamdi	hamdy
حمراء	rojo	red
حمزة	hamza	hamza
حمص	hummus	hams
حمض	ácido	acid
حمل	descargar	carrying
حملات	campañas	campaigns
حملة	campaña	campaign
حملت	he subido	carried the
حملته	su campaña	his compaign
حمير	burros	donkeys
حنا	hanna	when
حنبعل	hannibal	hanipal
حنبل	hanbal	hanbal
حنك	el paladar	palate
حنيفة	hanifa	hanifa
حنين	ansia	honine
حواء	víspera	eve
حوادث	accidentes	accidents
حوار	diálogo	discussion
حوالي	acerca de	about
حوذانية	ranúnculo	flora
حوض	cuenca	basin
حول	acerca de	around
حوله	a su alrededor	around him
حولها	alrededor	around it
حي	barrio	neighborhood
حياة	la vida	life
حياته	su vida	his life
حياتها	su vida	her life
حياتهم	sus vidas	their lives
حياتي	mi vida	my life
حيان	hayyan	hayan
حية	animado	alive
حيث	donde	where
حيفا	haifa	haifa
حين	mientras que	when
حينما	siempre que	when
حينها	en aquel entonces	by then
حيوان	animal	animal
حيوانات	animales	animals
حيوانية	animal	animal
حيوية	enérgico	active
خابية	caché	cache
خادم	sirviente	servant
خارجي	externo	outsider
خارجية	externo	external
خاص	especial	specific
خاصا	especialmente	special
خاصة	especialmente	specially
خاصةً	especialmente	specially
خاصية	propiedad	property
خاض	peleó	fought
خاضعة	asunto	is subject
خالد	khaled	khaled
خالص	sincero	pure
خالية	vacio	empty
خام	crudo	crude
خان	khan	khan
ختان	circuncisión	circumcision
خدمات	servicios	services
خدمة	servicio	service
خديجة	hatice	khadiga
خرائط	mapas	maps
خراسان	khorasan	greater khorasan
خرج	salió	turned on him
خرجت	salió	got out
خرجوا	salieron	took with them
خروج	salir	go out
خريطة	mapa	map
خزيمة	derrota	khozima
خسائر	las pérdidas	losses
خسارة	pérdida	loss
خسر	perdido	lost
خصائص	propiedades	characteristics
خصبة	fértil	fertile
خصوصا	especialmente	especially
خصوصاً	especialmente	especially
خصوصًا	especialmente	especially
خصومه	sus oponentes	his opponents
خضراء	verde	green
خضع	se sometió	subdue
خضعت	han sufrido	underwent
خط	racha	line
خطأ	mal	mistake
خطاب	una carta	speech
خطبة	sermón	speech
خطة	plan	plan
خطر	peligro	danger
خطط	planes	plans
خطف	secuestrado	kidnapping
خطوة	paso	step
خطورة	seriedad	seriousness
خطوط	líneas	lines
خطيرة	serio	dangerous
خفض	cortar	minimize
خفيف	luz	light
خفيفة	luz	light
خلاف	desacuerdo	disagreement
خلافته	su sucesión	succeed him
خلال	durante	during
خلاله	durante el	through it
خلالها	durante el	through it
خلايا	células	cells
خلدون	khaldoun	khaldoun
خلع	despegar	take off
خلف	detras	followed
خلفاء	sucesores	caliphs
خلفه	detras de el	followed him
خلفها	sobrante	behind it
خلفية	antecedentes	on the basis
خلقه	su creacion	his creation
خلل	falla	fault
خلنجية	brezo	ericaceae
خلية	celular	cell
خليج	bahía	gulf
خليط	mezcla	mix
خليفة	jalifa	caliph
خليل	jalil	khalil
خمس	cinco	five
خمسة	cinco	five
خمسين	cincuenta	fifty
خوان	juan	juan
خوسيه	jose	jose
خوف	miedo	dear
خوفو	khufu	kofo (name)
خياطة	costuras	sewing
خيبر	khyber	khaybar
خير	bueno	good
د	dr.	d
دا	s	da
داء	enfermedad	disease
دائرة	círculo	party
دائرية	circular	limits / boundary
دائم	permanente	permanent
دائما	siempre	always
دائماً	siempre	always
دائمة	permanente	permanent
دائمًا	siempre	always
داخل	dentro	inside
داخلي	interno	internal
داخلية	interno	internal
دار	vivienda	home
دارت	dardo	happened
داروين	darwin	darwin
دام	durado	last
دامت	siempre y cuando	continued as
داود	david	david
داوود	david	dawood
دبلوماسية	diplomacia	diplomatic
دبي	dubai	dubai
دجلة	tigris	tigris
دخل	entró	established
دخلت	entré	entered
دخول	entrada	ingress
دخوله	entrando	entry
دراسات	estudios	studies
دراسته	estudiarlo	his studies
دراسية	estudio	educational
دراما	drama	drama
درب	rastro	street
درجات	grados	degrees
درجة	grado	degree
درس	estudiado	study
درع	escudo	armor
درهم	aed	dirham
دروس	lecciones	lessons
درويش	darwish	darweesh
دريد	duraid	duraid (name)
دستور	constitucion	constitution
دستوري	constitucional	constitutional
دستورية	constitucional	constitutional
دعا	llamado	promoted
دعاء	una oración	prayer
دعت	ella llamó	called
دعم	apoyo	support
دعوة	invitación	invitation
دعوته	su llamada	his call
دعى	el llamo	called for
دفع	pagar	push
دفعة	lote	push
دفعت	pagado	pushed
دفن	enterrado	burial
دقائق	minutos	minutes
دقة	precisión	accuracy
دقيق	cuidado	accurate
دقيقة	minutos	accurate
دلائل	guías	evidence
دلالة	connotación	significance
دلتا	delta	delta
دليل	evidencia	index
دم	sangre	blood
دمج	fusionando	consolidate
دمرت	destruido	destroyed
دمشق	damasco	damascus
دمياط	damietta	damietta
دنيا	dunya	low
دو	du	do
دوائر	círculos	circles
دور	papel	cinemas
دورا	un papel	role
دورات	cursos	sessions
دوران	volumen de negocios	flow
دوراً	un papel	role
دورة	ciclo	cycle
دوره	su turno	his role
دورها	su papel	its role
دوري	mi turno	league
دورية	patrulla	periodic
دورًا	un papel	role
دول	estados	countries
دولار	dólares	dollar
دولة	estado	country
دولته	su pais	his country
دولتهم	su estado	their state
دولتين	dos estados	two countries
دولي	internacional	international
دولياً	internacionalmente	internationally
دولية	internacional	international
دون	sin	other than
دياب	diab	diab
ديانة	religión	religion
دير	monasterio	deere
ديزني	disney	disney
ديسمبر	diciembre	december
ديفنباخيا	devenpachia	deenbagh
ديفيد	david	david
ديل	dell	del
ديمقراطية	democracia	democratic
دين	religión	religion
دينار	jd	dinar
ديناصور	dinosaurio	dinosaur
دينه	su religion	his religion
دينهم	su religion	their religion
ديني	mi religion	religious
دينية	religioso	religious
دينًا	religión	religion
ديوان	diwan	divan
ذا	el	with
ذات	relacionados	for which
ذاته	lo mismo	itself
ذاتها	sí mismo	itself
ذاتي	subjetivamente	personal
ذاتية	subjetivo	personal
ذاك	que	this
ذاكرة	memoria	memory
ذرات	átomos	atoms
ذروة	climax	climax
ذروتها	climax	peak
ذرية	descendencia	progeny
ذكر	masculino	citing
ذكره	lo mencioné	said
ذكرها	mencionarlo	mentioned
ذكرى	recuerdo	memory
ذكور	hombre	males
ذلك	que	this
ذهب	se ha ido	gold
ذهبية	dorado	golden
ذو	hecho	whose
ذوات	mujeres	with
ذوي	con	those with
ذي	hecho	zi
ذُكر	masculino	said
رآه	lo vi	he saw
رأت	ella vio	see
رأس	cabeza	ras
رأسه	su cabeza	his head
رأسها	su cabeza	its head
رأسهم	su cabeza	their head
رأى	vi	see
رأي	opinión	opinion
رأيت	he visto	i saw
رأيه	su opinion	his opinion
رؤساء	cabezas	presidents
رؤوس	encabezados	heads
رؤيا	una vision	dream
رؤية	ver	the vision
رؤيتها	verlo	seeing
رئاسة	presidencia	the presidential
رئيس	cabeza	head
رئيسا	como presidente	president
رئيساً	como presidente	president
رئيسة	presidenta	prime
رئيسيا	mayor	president
رئيسياً	principalmente	major
رئيسية	mayor	main
رئيسيين	mayor	main
رئيسًا	presidente	president
رائحة	olor	smell
رائد	mayor	pioneer
رائدة	pionero	pioneer
رائعة	maravilloso	wonderful
رابط	enlace	link
رابطة	asociación	association
رابع	cuarto	4th
راجع	ver	because
راشد	rashid	rashed
رام	carnero	ram (name)
راية	estandarte	flag
رب	señor	patriarch
ربط	conectar	link
ربع	un cuarto	quarter
ربما	quizás	maybe
ربه	señor	rabo (his god)
ربيع	primavera	march
ربيعة	rabia	rabia
رتب	organizar	sort
رتبة	rango	rank
رجال	hombres	man
رجاله	sus hombres	his men
رجب	rajab	(the lunar month) rajab
رجع	regresó	came back
رجل	un hombre	man
رجلا	un hombre	a man
رجلاً	un hombre	man
رجليها	sus piernas	her legs
رجم	apedreado	lapidate
رحل	se ha ido	passed away
رحلات	cruceros	trips
رحلة	vuelo	journey
رحلته	su vuelo	his trip
ردود	respuestas	reactions
رسائل	mensajes	letters
رسالة	mensaje	a message
رسالته	su mensaje	message
رستم	rustem	rustam
رسم	dibujo	drawing
رسمها	dibujado	drawn
رسمي	formal	official
رسميا	oficialmente	officially
رسمياً	oficialmente	officially
رسميًا	oficialmente	officially
رسول	mensajero	prophet
