$	dollarni tashkil etadi	(dollar sign)
laser	lazer	laser
lasie	laziya	asia
laspect	tomoni	appearance
lassassinat	qotillik	the murder
lassemblée	yig&#39;ilish	assembly
lassociation	uyushma	association
last	oxirgi	last
latelier	ustaxona	workshop
latin	lotin	latin
latine	lotin	latin
latins	lotinlar	latin
latitude	kenglik	latitude
latlantique	atlantika	the antlantique
latmosphère	atmosfera	atmosphere
latome	latom	the atom
lattaque	hujum	the attack
lattentat	hujum	the attack
lattention	diqqat	the attention
lattitude	munosabat	attitude
laube	tong	dawn
laudience	tomoshabinlar	the audience
laugmentation	o&#39;sish	the upturn
laurait	bo&#39;lardi	might
laurence	lorens	laurence
laurent	loran	laurent
laurie	laurie	laurie
laustralie	avstraliya	australia
lauteur	muallif	about the author
lautisme	autizm	lautisme
lautomne	kuz	autumn
lautomobile	avtomobil	automotive
lautonomie	avtonomiya	the autonomy
lautorisation	ruxsat	the prior
lautorité	vakolat	the authority
lautoroute	magistral yo&#39;l	the highway
lautre	boshqa	the other
lautriche	avstriya	lautriche
lavait	yuvayotgan edi	translating
lavance	avans	the advance
lavancée	rivojlangan	the break-through
lavant	yuvish	lavant
lavantage	ustunlik	lavantage
lave	yuvish	lava
lavenir	kelajak	the future
laventure	sarguzasht	the adventure
lavenue	xiyobon	the avenue
laviation	aviatsiya	aviation
lavion	samolyot	the plane
lavis	fikr	advice
lavocat	avokado	advocate
lavoir	uni ko&#39;rish uchun	to have
lavènement	kelishi	the advent
law	qonun	law
lawrence	qonunlar	lawrence
laxe	bo&#39;sh	the axis
laéroport	aeroporti	airport
laïque	dunyoviy	secular
le	the	the
leader	rahbar	leader
leaders	rahbarlari	chef
league	liga	league
leau	suv	water
lecteur	o&#39;quvchi	reader
lecteurs	o&#39;quvchilar	readers
lecture	o&#39;qish	reading
lectures	o&#39;qishlar	readings
led	led	led
lee	piyoz	lee
leffet	ta&#39;siri	leffet
lefficacité	samaradorlik	efficiency
leffigie	leffigie	effigy
leffondrement	qulashi	the collapse
leffort	harakat	the effort
leipzig	leyptsig	leipzig
lembouchure	og&#39;iz	mouth
lempereur	imperator	lempereur
lempire	imperiya	the empire
lemplacement	joylashuvi	the location
lemploi	bandlik	employment
lemporte	olib ketadi	outweigh
len	len	len
lencontre	duch kelmoq	towards
lencyclopédie	entsiklopediya	the encyclopedia
lendemain	keyingi kun	next day
lendroit	joy	probed
lenfance	bolalik	the childhood
lenfant	bola	the child
lenfer	jahannam	hell
lengagement	jalb qilish	involvement
lennemi	dushman	the ennemy
lennon	lennon	lennon
lenquête	tergov	investigation
lenregistrement	yozuv	recording
lenseignement	ta&#39;lim berish	teaching
lensemble	hammasi	lensemble
lent	sekin	slow
lente	sekin	slow
lentement	sekin	slowly
lentourage	yasmiq	entourage
lentraîneur	murabbiy	coach
lentreprise	korxona	company
lentretien	intervyu	the interview
lentrée	kirish joyi	entrance
lenvironnement	muhit	environment
lenvoi	yuborilmoqda	sending
leo	leo	leo
leonard	leonard	leonard
leonardo	leonardo	leonardo
lequel	qaysi	which
les	the	the
lesclavage	qullik	the slavery
lespace	bo&#39;sh joy	the space
lespagne	ispaniya	lespagne
lespagnol	ispan	spanish language
lespoir	umid	the hope
lesprit	aql	spirit
lespèce	turlari	case
lespérance	umid	lesperance
lesquelles	qaysi	including
lesquels	qaysi	which
lessence	benzin	essence
lessentiel	muhim	essential
lessor	ijaraga beruvchi	lessor
lest	ballast	the east
lesthétique	estetika	the aesthetic
let	ijozat bering	let
lettre	xat	lettre
lettres	harflar	letters
leucémie	leykemiya	leukemia
leur	ularning	their
leuro	evroga teng	the euro
leurope	evropa	europe
leurs	ularning	their
lever	turmoq	lift
levée	ko&#39;tarildi	lifted
lewis	lyuis	lewis
lexamen	imtihon	the exam
lexception	istisno	exception
lexemple	misol	the exemple
lexercice	mashq	the exercise
lexil	leksema	exile
lexistence	mavjudlik	the existence
lexpansion	kengaytirish	expansion
lexplication	tushuntirish	explanation
lexploitation	ekspluatatsiya	operation
lexplosion	portlash	the explosion
lexportation	eksport	exports
lexposition	ko&#39;rgazma	fair
lexpression	ifoda	the expression
lexpédition	jo&#39;natish	the expedition
lexpérience	tajriba	experience
lextension	kengaytma	extension
lextermination	qirilish	extermination
lextrémité	tamom	extremity
lextrême	haddan tashqari	extreme
lextérieur	tashqi	the exterior
lexécutif	ijrochi	the executive
lexécution	ijro	performance
leçons	darslar	lessons
lhabitat	yashash joyi	housing
lhabitude	odat	the habit
lharmattan	lharmattan	l'harmattan
lheure	vaqt	time
lhindouisme	hinduizm	hinduism
lhistoire	hikoya	the history
lhistorien	tarixchi	ihistorien
lhiver	qish	the winter
lhomme	erkak	lhomme
lhomosexualité	gomoseksualizm	homosexuality
lhonneur	sharaf	ohim
lhorizon	ufq	lhorizon
lhuile	yog &#39;	oil
lhumanité	insoniyat	humanity
lhumeur	kayfiyat	humor
lhumour	hazil	humor
lhydrogène	vodorod	hydrogen
lhymne	madhiya	hymn
lhypothèse	faraz	underlying hypothesis
lhémisphère	yarim sharda	hemisphere
lhéritage	meros olish	lheritage
lhéroïne	geroin	heroin
lhôpital	kasalxona	the hospital
lhôtel	mehmonxona	the hotel
liaison	rishta	linked
liaisons	ulanishlar	connections
liban	livan	lebanon
liberty	ozodlik	liberty
liberté	ozodlik	freedom
libertés	erkinliklar	freedoms
librairie	kitob do&#39;koni	book shop
libre	ozod	free
librement	bemalol	freely
libres	ozod	free
libreéchange	erkin almashinuv	free trade
libye	liviya	libya
libéral	liberal	liberal
libérale	liberal	liberal
libéralisme	liberalizm	liberalism
libération	ozod qilish	release
libéraux	liberallar	liberals
libérer	ozod qilish	liberate
libéré	ozod qilindi	frees
libérés	ozod qilindi	freed
licence	litsenziya	license
lidentification	aniqlash	identification
lidentité	kimligi	caller id
lidéal	ideal	ultimately
lidée	fikr	the idea
lidéologie	mafkura	ideology
lie	yolg&#39;on gapirish	dregs
lien	havola	link
liens	ulanishlar	links
lieu	manzil	place
lieutenant	leytenant	lieutenant
lieux	joylar	spaces
liga	liga	liga
light	yorug&#39;lik	light
ligne	chiziq	line
lignes	chiziqlar	lines
lignée	chiziq	lineage
ligue	liga	league
like	kabi	like
liliade	liliad	iliad
lille	lill	lille
lillinois	lillinois	illinois
lillusion	xayol	the illusion
limage	tasvir	filing
limaginaire	xayoliy	imaginary
limagination	xayol	imagination
limitant	cheklovchi	restricting
limitation	cheklash	limitation
limite	chegarasi	limit
limiter	chegarasi	limit
limites	chegaralari	limits (for first 2) limitations (for the administrative)
limitrophes	chegaradosh	neighboring
limité	chegarasi	limited
limitée	cheklangan	limited
limitées	cheklangan	limited
limmense	limmense	the large
limmeuble	bino	building
limmigration	immigratsiya	the immigration
limpact	ta&#39;sir	the impact
limplantation	implantatsiya	implantation
limportance	ahamiyati	significance
limpression	taassurot	impression
limprimerie	bosib chiqarish ishlari	the printing house
limpulsion	turtki	the impulse
limpératrice	zichlagich	limpératrice
limpôt	soliq uyi	the tax
lincendie	olov	fire
lincident	voqea	incident
lincoln	linkoln	lincoln
linconscient	ongsiz	the unconscious
linda	linda	linda
linde	kurka	india
lindice	indeks	index
lindique	ko&#39;rsatadi	indicates
lindividu	shaxs	the person
lindonésie	indoneziya	indonesia
lindustrialisation	sanoatlashtirish	industrialization
lindustrie	sanoat	industry
lindépendance	mustaqillik	independence and ultimately
line	chiziq	line
linfection	infektsiya	the infection
linflation	inflyatsiya	the inflation
linfluence	ta&#39;sir qiladi	the influence
linformation	ma `lumot	news
linformatique	hisoblash	computer science
linguistique	lingvistik	linguistic
linguistiques	lingvistik	linguistics
linitiative	tashabbus	initiative
linjection	qarshi	injection
linscription	ro&#39;yxatdan o&#39;tkazish	the enrolment
linsee	zig&#39;ir mato	insee
linstallation	o&#39;rnatish	rise to power
linstant	hozir	instant
linstar	linstar	linstar
linstauration	tashkil etish	linstauration
linstitut	institut	institute
linstruction	ko&#39;rsatma	instruction
linstrument	asbob	instrument
linsurrection	isyon	the insurrection
lintelligence	aql	intelligence
lintensité	intensivlik	then intensity
lintention	niyat	the intention
linteraction	o&#39;zaro ta&#39;sir	interaction
linterdiction	taqiq	ban
linterface	interfeysi	the interface
lintermédiaire	vositachi	the intermediary
linternational	xalqaro	international
linternet	internet	the internet
linterprétation	talqin	interpretation
lintervention	aralashuv	the intervention
lintrigue	fitna	the plot
lintroduction	kirish	fuel-efficient
lintégralité	hammasi	the whole
lintégration	integratsiya	the consolidation
lintérieur	ichida	interior
lintérêt	qiziqish	the interest
linux	linux	linux
linvasion	bosqinchilik	the invasion
linvention	ixtiro	invention
linverse	teskari	linverse
linvestissement	sarmoya	investment
linéaire	chiziqli	linear
lion	arslon	lion
lionel	sher	lionel
liphone	iphone	liphone
liquide	suyuq	liquid
lirak	lirak	irak
liran	liran	liran
lire	o&#39;qing	read
lirlande	irland	irelands
lirm	lirim	the mri
lisa	liza	lisa
lisbonne	lissabon	lisboa
liseron	bindweed	bindweed
lislam	lislam	lislam
lislande	lislandiya	island
lisle	o&#39;qing	lisle
lissue	masala	lissue
liste	ro&#39;yxati	list
listes	ro&#39;yxatlari	lists
liszt	liszt	liszt
lit	to&#39;shak	reads
litalie	italiya	italia
litalien	italyancha	italian
little	oz	little
littoral	qirg&#39;oqqa oid	littoral
littéraire	adabiy	literary
littéraires	adabiy	literary
littéralement	so&#39;zma-so&#39;z	literally
littérature	adabiyot	literature
live	jonli	live
liverpool	liverpool	liverpool
livre	yetkazib berildi	book
livres	kitoblar	books
livré	yetkazib berildi	delivered
liège	mantar	liege
lié	bog&#39;langan	linked
liée	bog&#39;langan	linked
liées	bog&#39;langan	the idea
liés	bog&#39;liq	relevant
lloyd	lloyd	lloyd
lobjectif	maqsad	goal
lobjet	ob&#39;ekt	the object
lobligation	majburiyat	the obligation
lobservation	kuzatuv	observation
lobservatoire	rasadxona	the observatory
lobésité	semirish	obesity
local	mahalliy	local
locale	mahalliy	local
localement	mahalliy	locally
locales	mahalliy	local (plurel)
localisation	manzil	location
locaux	mahalliy	premises
loccasion	imkoniyat	the occasion
loccident	mahalliy	west
loccupation	kasb	loccupation
loccurrence	paydo bo&#39;lishi	instance
locke	qulf	locke (name)
locuteurs	karnaylar	orators
locéan	okeanning	the ocean
lodyssée	lodyssey	the odyssey
loffensive	haqoratli	attack
loffice	ofis	the office
loffre	taklif	mix
loge	turar joy	lodge
logement	uy-joy	housing
logements	uy-joy	housing
loges	uylar	lodges
logiciel	dasturiy ta&#39;minot	software
logiciels	dasturiy ta&#39;minot	softwares
logique	mantiq	logic
logiquement	mantiqan	rationally
logistique	logistika	logistic
logo	logotipi	logo
loi	qonun	law
loin	uzoq	far
loire	loire	loire
lois	qonunlari	laws
loisir	dam olish	recreation
loisirs	xobbi	leisures
lol	ahahaha	lol
lolympia	lolimpiya	he olympia
lolympique	lolimpik	lolympique
lom	lom	the marseille olympic team
lombre	soya	the shadow
loms	loms	the world health organisation
lon	yolg‘iz	is
london	london	london
londres	london	london
long	uzoq	a lot
longs	uzoq	long
longtemps	uzoq vaqt	for a long time
longue	uzoq	long
longues	uzoq	long
longueur	uzunligi	length
longueurs	uzunliklar	longs
longévité	uzoq umr ko&#39;rish	longevity
lont	lont	have it
lonu	lonu	un
look	qarang	look
lopen	lopen	lopen
lopinion	fikr	the opinion
lopposition	muxolifat	the opposition
lopposé	qarama-qarshi	contrary
lopéra	opera	the opera
lopération	operatsiya	the operation
lor	lor	lor
lorchestre	orkestr	orchestre
lord	lord	lord
lordinateur	kompyuter	the computer
lordre	buyurtma	the order
lorgane	organ	the organ
lorganisation	tashkilot	the organisation
lorganisme	organizm	two words -> the organism
lorgasme	orgazm	orgasm
lorient	ishtiyoqli	the east
lorientation	yo&#39;naltirish	orientation
lorigine	kelib chiqishi	origin
lorraine	lotaringiya	lorraine
lors	qachon	then
lorsque	qachon	when
lorsquelle	qachon	lorsquelle
lorsquil	qachon	when it
lorsquils	qachon ular	when they
lorsquon	qachon	when one
lorsquun	qachon biri	when a
lorsquune	qachon biri	when
lorthographe	imlo	spelling of
los	suyak	los
loscar	loskar	the oscar
lost	yo&#39;qolgan	lost
lot	juda ko&#39;p	batch
lotan	lotin	lotan
lou	lou	lou
louest	g&#39;arbiy	west
louis	louis	louis
louise	louise	louise
louisiane	luiziana	louisiana
louisnapoléon	luisnapoléon	louis-napoléon
loup	bo&#39;ri	wolf
loups	bo&#39;rilar	wolves
lourd	og&#39;ir	heavy
lourde	og&#39;ir	heavy
lourdes	og&#39;ir	heavy
lourds	og&#39;ir	heavy
louverture	ochilish	the opening
louvrage	kitob	the work
louvre	louvre	louvre
love	sevgi	love
loxygène	kislorod	the oxygen
lu	o&#39;qing	read
luc	luc	luc
lucas	lukas	lucas
lucien	lucien	lucien
lucy	lucy	lucy
ludwig	ludvig	ludwig
lue	o&#39;qing	read
luefa	luefa	l'uefa
lui	uni	him
luimême	o&#39;zi	himself
luis	luis	luis
lukraine	ukraina	lukraine
lumière	yorug&#39;lik	light
lumières	chiroqlar	lights
lun	mon	one
lunaire	qamariy	lunar
lunanimité	yakdillik	unanimously
lundertaker	lundertaker	the undertaker
lundi	dushanba	monday
lune	oy	moon
lunesco	oylik	unesco
lunification	lunification	the unification
lunion	uyushma	union
lunique	maxsus	the only
lunité	birlik	unity
lunivers	koinot	the universe
luniversité	universitet	the university
lupus	qizilo&#39;ngach	lupus
lurss	lurss	the ussr
luruguay	urugvay	the uruguay
lus	o&#39;qing	read
lusage	foydalanish	use
luther	yuk mashinasi	luther
lutilisateur	foydalanuvchi	the user
lutilisation	foydalanish	usage
lutte	jang	battle
lutter	kurash	fight
luttes	kurashlar	fights
luxe	hashamat	luxury
luxembourg	lyuksemburg	luxembourg
lycée	maktab	lyceum
lycées	o&#39;rta maktablar	high-school
lymphocytes	limfotsitlar	lymphocytes)
lynette	linnet	lynette
lyon	lion	lyon
lyonnais	lyonnais	lyons
lyonnaise	lionnaise	lyonnaise
lyrique	lirik	lyric
lys	nilufar	lily
là	the	there
lâge	yoshiga qarab belgilanadi	the age
lâme	pichoq	soul
lère	davri	the era
lèvres	lablar	lips
lécart	bo&#39;shliq	aside
léchange	ayirboshlash	the exchange
léchec	muvaffaqiyatsizlik	failure
léchelle	o&#39;lchov	the scale
lécole	maktab	the school
léconomie	iqtisodiyot	the economy
lécosse	shotlandiya	scotland
lécran	ekranni tanlang	screen
lécrit	yozadi	written
lécriture	yozish	the writing
lécrivain	yozuvchi	the writer
lédifice	bino	building
léditeur	muharriri	publisher
lédition	nashriyot	the edition
léducation	ta&#39;lim	education
légal	qonuniy	legal
légale	qonuniy	legal
légalement	qonuniy ravishda	legally
légales	qonuniy	legal
légalité	qonuniylik	legally
légard	legard	consideration
légendaire	afsonaviy	legendary
légende	afsona	legend
légendes	afsonalar	legends
léger	engil	light
légion	legion	legion
légions	legionlar	legions
législatif	qonun chiqaruvchi	legislative
législation	qonunchilik	legislation
législations	qonunlar	legislations
législative	qonun chiqaruvchi	legislative
législatives	qonun chiqaruvchi	legislative
légitime	qonuniy	legitimate
légitimité	qonuniylik	legitimacy
léglise	cherkov	the church
légumes	sabzavotlar	vegetables
légypte	misr	egypt
légère	ozgina	light
légèrement	ozgina	slightly
lélaboration	rivojlanish	development
lélection	saylov	election
lélectricité	elektr energiyasi	electricity
lélevage	naslchilik	the livestock
lélimination	yo&#39;q qilish	elimination
lélite	elita	the elite
lélysée	lylyseee	the elysee
lélément	element	element
lémergence	paydo bo&#39;lishi	emergence
lémission	shou	the show
lénergie	energiya	the energy
lénine	lenin	lenin
léolien	leolian	wind power
léon	leon	léon
léonard	leonard	leonardo
léopold	leopold	leopold
lépisode	epizod	episode
lépopée	doston	epic
lépoque	vaqt	age
lépouse	xotini	lepouse
lépreuve	sinov	test
lépée	qilich	sword
léquateur	ekvator	equator
léquilibre	muvozanat	balance
léquipe	jamoa	the team
léquipement	uskunalar	equipment
léquivalent	ekvivalent	equivalent
lésions	shikastlanishlar	lesions
létablissement	tashkil etish	establishment
létape	qadam	stage or step
létat	davlat	state
létatmajor	letmajor	military staff
léthique	axloq	the ethics
létoile	yulduzcha	l'etoile (no change as it is a place in paris)
létranger	notanish	abroad
létude	o&#39;rganish	the study
lété	yoz	summer
lévacuation	evakuatsiya	the evacuation
lévaluation	baholash	assessment
lévistrauss	levi strauss	levi-strauss
lévolution	evolyutsiyasi	evolution
lévrier	kulrang	levrier
lévénement	voqea	the event
lévêque	episkop	bishop
lîle	orol	island
lîledefrance	frantsiya oroli	ile-de-france
lœil	ko&#39;z	eye
lœuvre	ish	work
m	m	m
ma	mening	my
mac	mac	mac
machine	mashina	machine
machines	mashinalar	machine
macédoine	makedoniya	macedonia
madagascar	madagaskar	madagascar
madame	missis	madam
madeleine	madelein	madeleine
madonna	madonna	madonna
madrid	madrid	madrid
mafia	mafiya	mafia
magasin	do&#39;kon	shop
magasins	do&#39;konlar	shops
magazine	jurnal	magazine
magazines	jurnallar	magazines
maghreb	mag&#39;rib	maghreb
magic	sehr	magic
magie	sehr	magic
magique	sehrli	magic
magistrats	magistrlar	magistrates
magma	magma	magma
magnifique	ajoyib	beautiful
magnétique	magnitlangan	magnetic
magnétiques	magnitlangan	magnetic
magritte	magritte	magritte
mahomet	muhammad	muhammad
mai	mumkin	may
maillot	ko&#39;ylak	shirt
main	qo&#39;l	hand
maindœuvre	ishchi kuchi	labour force
maine	men	maine (place name)
mains	qo&#39;llar	hands
maintenance	texnik xizmat ko&#39;rsatish	maintenance
maintenant	hozir	now
maintenir	saqlamoq	maintain
maintenu	saqlanadi	maintained
maintien	texnik xizmat ko&#39;rsatish	maintenance
maintient	saqlaydi	maintained
maire	shahar hokimi	mayor
maires	hokimlar	mayors
mairie	shahar hokimiyati	town hall
mais	ammo	but
maison	uy	house
maisons	uylar	houses
majeur	asosiy	major
majeure	asosiy	major
majeures	asosiy	major
majeurs	asosiy	major
major	asosiy	major
majoritaire	ko&#39;pchilik	majority
majoritairement	asosan	majority
majoritaires	ko&#39;pchilik	majority
majorité	ko&#39;pchilik	majority
mal	noto&#39;g&#39;ri	mal de gorge = sore throat
malade	kasal	ill
malades	kasal	sick
maladie	kasallik	illness
maladies	kasalliklar	diseases
malaise	noqulaylik	discomfort
malaisie	malayziya	malaysia
malaria	bezgak	malaria
malgache	malagasy	madagascan
malgré	qaramay	in spite of
malheureusement	afsuski	unhapilly
mali	mali	mali
malte	malta	malt
mammifères	sutemizuvchilar	mammals
man	kishi	man
management	boshqarish	management
manager	menejer	manager
manche	dastasi	handle
manchester	manchester	manchester
mandat	mandat	warrant
mandats	mandatlar	mandates
mandela	mandela	mandela
manga	manga	an artistic style
mangas	manga	mangas
mangemorts	o&#39;limdan eyuvchilar	death-eater
manger	yemoq	eating
manhattan	manxetten	manhattan
manifestation	namoyish	demonstration
manifestations	voqealar	events
manifeste	manifest	manifest
manière	yo&#39;l	way
manières	odob-axloq qoidalari	manners
mann	mann	mann
manne	manna	mayfly swarms
mannequin	maneken	model
manque	etishmasligi	misses
manson	manson	manson
manteau	palto	coat
manuel	qo&#39;llanma	manual
manuscrit	qo&#39;lyozma	manuscript
manuscrits	qo&#39;lyozmalar	manuscripts
manœuvre	manevr	maneuver
maori	maori	maori
marais	botqoqlik	marsh
marbre	marmar	marble
marc	marc	marc
marcel	marsel	marcel
marchand	savdogar	merchant
marchande	savdogar	merchant
marchandises	tovarlar	merchandises
marchands	savdogarlar	merchants
marche	bozor	move
marcher	yurish	walk
marches	qadamlar	steps
marché	bozor	walking
marchés	bozorlar	procurement
marco	marko	marco
mardi	seshanba	tuesday
margaret	margaret	margaret
marge	chegara	sidelines
marguerite	daisy	marguerite
mari	er	husband
maria	mariya	maria
mariage	to&#39;y	marriage
mariages	to&#39;ylar	weddings
marie	uylangan	maried (for presley) mary (for medicis)
marieantoinette	mari antuanet	marie-antoinette
marier	turmushga chiqing	to get married
marilyn	merilin	marilyn
marin	dengiz	marin
marine	dengiz	navy
marines	dengiz piyodalari	marine
marins	dengizchilar	sailors
mario	mario	mario
marion	marion	marion
maritime	dengizchilik	maritime
maritimes	dengizchilik	maritime
marius	marius	marius
marié	uylangan	marie ( name )
mariée	uylangan	married
mark	belgisi	mark
marketing	marketing	marketing
marley	marley	marley
maroc	marokash	morocco
marocain	marokash	maroccan
marocaine	marokash	moroccan
marocains	marokashliklar	moroccans
marquant	gol urish	marking
marque	belgilash	make
marquent	belgisi	mark
marquer	belgilamoq	integrate
marques	brendlar	brands
marquis	marquis	marquis
marquise	marquise	marquess
marqué	belgilash	marked
marquée	belgilangan	marked
marquées	belgilangan	marked
marqués	belgilangan	marked
marrakech	marrakech	marrakech
mars	mart	march
marseillais	marsel	marseille
marseillaise	marseillaise	marseille
marseille	marsel	marseilles
marshall	marshall	marshall
martiaux	jangovar	martial
martienne	marslik	martian
martin	martin	martin
martinique	martinique	martinique
marty	shahid	marty
marx	marks	marx
marxisme	marksizm	marxism
mary	mari	mary
maréchal	marshal	marechal
masculin	erkak	male
masculine	erkak	male( for 1st) men (for the other 2)
masculins	erkak	males
masque	niqob	disguise
masques	niqoblar	masks
massacre	qirg&#39;in	massacre
massacres	qirg&#39;inlar	slaughters
masse	massa	portion
masses	massalar	crowd, group
massif	katta	massif
massifs	katta	massif
massinissa	massinissa	massinissa
massive	katta	mass
massivement	ommaviy ravishda	massively
mastoïdite	mastoidit	mastodoitis
masturbation	onanizm	masturbation
match	gugurt	match
matches	gugurtlar	matches
matchs	gugurtlar	matches
maternel	onalik	maternal
maternelle	bolalar bog&#39;chasi	maternal
mathieu	matematik	mathieu
mathématicien	matematik	mathematician
mathématique	matematik	mathematical
mathématiques	matematika	mathematical
matin	ertalab	morning
matisse	matisse	matisse
matière	materiya	material
matières	materiallar	raw
matrice	matritsa	matrix
matrix	matritsa	matrix
matt	mot	matt
matthew	mat	matthew
matthieu	matto	matthieu
maturité	yetuklik	maturity
matériau	material	material
matériaux	materiallar	materials
matériel	uskunalar	material
matérielle	material	material
matérielles	material	material
matériels	materiallar	material
maupassant	xafa	maupassant
maurice	mauritius	maurice
mauvais	yomon	bad
mauvaise	yomon	bad
mauvaises	yomon	bad
maux	kasalliklar	aches
max	maksimal	max
maximale	maksimal	maximal
maxime	maksim	maxim
maximilien	maximilian	maximilian
maximum	maksimal	maximum
may	mumkin	may
maya	mayya	maya
mayas	mayya	mayan
mayer	mayer	mayer
mayotte	mayotte	mayotte
maçonnerie	duvarcılık	masonry
maçonnique	masonik	masonic
maçonniques	masonik	masonic
maître	usta	master
maîtres	ustalar	master
maîtresse	beva ayol	mistress
maîtrise	mahorat	mastery
maîtriser	boshqaruv	bring under control
maïs	ammo	corn
mc	mc	mc
mccartney	makkartni	mccartney
mcdonalds	mcdonalds	mcdonald's
mcmahon	mcmahon	mcmahon
me	meni	me
mecque	makka	mecca
media	ommaviy axborot vositalari	media
meilleur	yaxshiroq	best
meilleure	yaxshiroq	best
meilleures	eng yaxshi	best
meilleurs	eng yaxshi	better
melbourne	melburn	melbourne
membrane	membrana	membrane
membre	a&#39;zosi	member
membres	a&#39;zolari	members
memorial	yodgorlik	memorial
men	erkaklar	men
menace	tahdid	menace
menaces	tahdid	threats
menacé	tahdid	threatened
menacée	tahdid qildi	threatened
menant	etakchi	leading
mener	qo&#39;rg&#39;oshin	lead
mental	aqliy	mantal
mentale	aqliy	mental
mention	zikr	mention
mentionne	eslatib o&#39;tilgan	mentioned
mentionné	eslatib o&#39;tilgan	mentioned
mené	led	led
menée	o&#39;tkazildi	conducted
menées	o&#39;tkazildi	conducted
menés	led	conducted
mer	dengiz	sea
mercredi	chorshanba	wednesday
mercure	simob	mercury
mercury	simob	mercury
mercy	rahm-shafqat	mercy
mers	dengizlar	seas
merveilles	ajoyibotlar	wonders
merveilleux	ajoyib	wonderful
mes	mening	my
mesrine	mesrine	mesrine
message	xabari	message
messager	xabarchi	messenger
messages	xabarlar	messages
messe	massa	mass
messenger	xabarchi	messenger
messi	messi	messi
mesure	o&#39;lchanadi	measure
mesurer	o&#39;lchov	mesures
mesures	chora-tadbirlar	measures
met	qo&#39;yadi	puts
metal	metall	metal
metallica	metallika	metallica
mettant	qo&#39;yish	putting
mettent	qo&#39;yish	put
mettra	qo&#39;yadi	will put
mettre	qo&#39;ymoq	put
metz	qo&#39;yish	metz
meurt	o&#39;ladi	dies
meurtre	qotillik	murder
mexicain	meksikalik	mexican
mexicaine	meksikalik	mexican
mexicains	meksikaliklar	mexicans
mexico	meksika	mexico
mexique	meksika	mexico
meyer	meyer	meyer
mi	o&#39;rtasi	my (in spanish)
miami	mayami	miami
michael	maykl	michael
michaels	michaels	(surname)
michel	mishel	michel
michelange	mikelanj	michelangelo
michelle	mishel	michelle
michigan	michigan	michigan
michèle	mishel	michele
mick	mik	mick
mickey	mikki	mickey
microsoft	mikrosoft	microsoft
midi	peshin	midi
mieux	yaxshiroq	better
migration	migratsiya	migration
migrations	migratsiya	migrations
mike	mayk	mike
milan	milan	milan
miley	miley	miley
milieu	o&#39;rtasi	ambience
milieux	muhitlar	environment
militaire	harbiy	military
militaires	harbiy	military
militants	faollar	activists
mille	ming	thousand
miller	tegirmonchi	miller
milliard	milliard	billion
milliards	milliard	billion
milliers	minglab	thousands
million	million	million
millions	millionlar	millions
millénaire	ming yillikda	millenium
millésime	vintage	vintage
mine	meniki	mine
minerai	ruda	mineral ore
mines	minalar	mines
mineur	ahamiyatsiz	minor
mineure	ahamiyatsiz	minor
mineurs	voyaga yetmaganlar	minors
mini	mini	mini
minimum	eng kam	minimum
ministre	vazir	minister
ministres	vazirlar	ministers
ministère	vazirlik	department
minoritaire	ozchilik	minority
minoritaires	ozchilik	minority
minorité	ozchilik	minority
minorités	ozchiliklar	minority
minuit	yarim tunda	midnight
minute	daqiqa	minute
minutes	daqiqa	minutes
minéralogiques	mineralogik	vehicule registration (plate)
minéraux	minerallar	minerals
miroir	oyna	mirror
mis	qo&#39;yish	put
mise	ustun	put
mises	paylar	put
miss	sog&#39;indim	miss
missiles	raketalar	missiles
mission	vazifa	mission
missionnaires	missionerlar	missionaries
missions	vakolatxonalar	missions
mississippi	missisipi	mississippi
misère	baxtsizlik	misery
misérables	baxtsiz	miserable
mit	mit	mit
mitchell	mitchell	mitchell
mitigé	aralashgan	mitigated
mitterrand	mitteran	mitterrand
mixte	aralashgan	mixed
miyazaki	miyazaki	miyazaki
miz	miz	(part of a sobriquet for a show name)
mobile	mobil	mobile
mobiles	mobillar	mobile
mobilisation	safarbar qilish	mobilisation
mobilité	harakatchanlik	mobility
modalités	shartlari	terms
mode	moda	mode
moderne	zamonaviy	modern
modernes	zamonaviy	modern
modernisation	modernizatsiya	modernization
modernité	zamonaviylik	modernity
modes	rejimlari	modes
modeste	kamtarin	modest
modification	o&#39;zgartirish	modification
modifications	o&#39;zgaradi	modifications
modifie	tuzatilgan	modifies
modifier	tahrirla	edit
modifié	tuzatilgan	changed (first and second) modification (last sentence)
modifiée	o&#39;zgartirilgan	changed
modifiées	o&#39;zgartirilgan	modified
module	moduli	module
modèle	model	model
modèles	modellari	models
modérée	mo&#39;&#39;tadil	moderate
mohamed	mohamed	muhammad
mohammed	muhammad	mohammed
moi	meni	me
moindre	ozroq	lesser
moine	rohib	monk
moines	rohiblar	minks
moins	kamroq	least
mois	oy	months
moitié	yarmi	half
molaire	molyar	molar
moldavie	moldova	moldavia
molière	molière	moliere
moléculaire	molekulyar	molecular
molécule	molekula	molecule
molécules	molekulalari	molecules
moment	lahza	moment
momentlà	hozir	this moment
moments	lahzalar	moments
mon	mening	my
monaco	monako	monaco
monarchie	monarxiya	monarchy
monarque	monarx	monarch
monastère	monastir	monastery
monastères	monastirlari	monastery
monday	dushanba	monday
monde	dunyo	world
mondes	dunyolar	worlds
mondial	global	world
