aajo	હાસ્યાસ્પદ	hospitality
ìsàlè	સૂર્યાસ્ત	down town
ìsèlè	ઉત્પાદન	happening
ìsìn	ધર્મ	worship
ìsòrò	ધ્યાન	speech
ìsòrí	પેટા વિભાગ	chapter
ìsú	જાડાઈ	lump
ìsọ	દુકાનો	stall
ìse	ક્રિયા	work
ìsègbèfábo	ખંત	female support
ìsèdá	બનાવટ	creation
ìsèjoba	સરકાર	government
ìsílé	ઘર	house opening
ìsòro	મુશ્કેલી	problem
ìse	ક્રિયા	action
ìta	બહાર	outside
ìtaeko	વર્કશોપ	outskirts of eko
ìtan	ઇતિહાસ	story
ìtokò	પોટ	story
ìtàn	ઇતિહાસ	history
ìtànkálé	પૂર	spread
ìtèsíwájú	પ્રગતિ	progress
ìtójú	કાળજી	treatment
ìtóju	મૂંઝવણ	treatment
ìtójú	ચહેરાના હાવભાવ	treatment
ìtóka	મારવામાં આવશે	dictionary
ìtúmò	અનુવાદ	meaning
ìtúpalè	અનુવાદ	exposition
ìwe	સરખામણી	book
ìwo	શિંગડા	horn
ìwàásù	ઉપદેશ	sermon
ìwéré	ચોપડી	iwere (town)
ìwò	એકંદરે	set
ìwòran	દ્રષ્ટિ	viewing
ìwúlò	ઉપયોગી	usefulness
ìya	દુ sufferingખ	mother
ìyapa	અલગ	divorce
ìyàwó	નવવધૂ	wife
ìyípadà	રૂપાંતર	transformation
ìṣèlú	રાજકારણ	politics
ìṣẹ́kù	યાદ અપાવનાર	broken
ìṣọ̣̀tẹ̣̀	ન્યુમોનિયા	rebellion
òde	બહાર	society
òdeojú	ફેસલેસ	surface
òdo	યુવાની	zero
òdìkejì	બીજી	opposite
òféàrán	એક છબી	a town name
ògbójú	સક્ષમ	brave
ògiri	દિવાલ	wall
ògo	ગૌરવ	glory
ògun	દવા	medicine
ògúndìpẹ̀	પાવડર	ogundipe
òjo	જેમ દેખાય	ojo
òjísé	ડૉક્ટર	servant
òkèògbún	એક હજાર	oke-ogbun
òkòòkan	એક પછી એક	each
òkú	શબ	corpse
òkúta	એક પથ્થર	stone
òle	ગૃહિણી	lazy
òmiràn	જાદુગર	other
òmùàrán	એક છબી	omu-aran (town)
òní	આજે	today
òotó	સત્ય	true
òpópóònà	માર્ગ	highway
òranyàn	ફરજિયાત	a must
òrìsà	મૂર્તિઓ	god
òrí	પ્રકરણ	top
òrò	મગજ	word
òsán	બપોર	afternoon
òsèlú	રાજકારણી	politics
òsèré	રમતવીર	player
òwù	કાપડ	owu
òṣèlú	રાજકારણ	politician
òjògbón	વરસાદનું વાતાવરણ	learned person
òkan	એક	heart
òkòòkan	એક પછી એક	each
òpòlopò	ઘણા	many
òré	રમત	friend
òfò	આ પછી	sorrowful
òpòlopo	ઘણા	lot of
òré	રમત	friend
òrò	વિચારો	word
òsà	ગોલ્ડફિશ	lagoon
òwó	પૈસા	hand
òrò	વિચારો	word
òròàjòmó	સવારે	part of speech
ó	તે	that
óníse	તે ડિઝાઇનર છે	stricken
ósírísì	લાળ	diverse
ósékú	તે મરી ગયો છે	die suddenly
ó	હા	word
ôdún	વર્ષ	year
únṣẹlẹ̀	ભૂકંપ	formed
şe	કરવું	do
ʔaːnaːtɕɑ̀k	શોધો	not yoruba
ˈøːstəˌʁaɪç	stəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ækælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	બીમારી	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	ઉદઘાટન	work
ṣàkóbá	હાનિકારક	incriminate
ẹdo	મજાક	edo
ẹlẹ́bùn	ભેટ	award winner
ẹlẹ́sìn	ધાર્મિક	religionist
ẹnìkan	એક વ્યક્તિ	someone
ẹsẹ	પગ	verse
ẹtì	યકૃત	friday
ẹ̀kaawon	સબમિશંસ	branch of
ẹ̀kabrítánì	કાકા	part of britain
ẹ̀kajuly	મે	chapter july
ẹ̀kaoṣù	કાંટાળું	month
ẹ̀kasístẹ̀mù	વ્યક્તિલક્ષી	sistemu=system
ẹ̀kẹ́ta	ત્રીજો	third, the third
ẹ̀kọ́	શિક્ષણ	teachings
ẹ̀ni	who	person
ẹ̀rọ	તંત્ર	machine
ẹ̀wẹ̀	બીજી બાજુ	leaf
ọbàkàn	સાવકા ભાઈ	step-sister
ọdún	વર્ષ	year
ọlọ́mọ	બાળકો	members
ọlọ́run	એક ભગવાન	god
ọmú	તમે suck	breast
ọmọ	બાળક	c
ọn	તે	him
ọpọ́lọpọ́	અંજીર	many
ọ̀dọ́	યુવાની	youth
ọ̀gbìn	છોડ	seedlings
ọ̀nà	માર્ગ	ways
ọ̀pòlòpò	ક્રિયા	various
ọ̀rọ̀	વાત	word
ọ̀sẹ	અઠવાડિયું	week
