$ tỉ	$ బిలియన్	$ billion
môn	విషయాలను	anus
mông	పిరుదులు	mongolia
mônôxít	మోనాక్సైడ్	monoxide
môt	ఒకటి	"(term should be ""một"") one (n.)"
môtô	మోటార్ సైకిల్	motorcycle
mù	బ్లైండ్	mu
mùa	బుతువు	season
mùi	వాసన	smell
múa	నృత్యం	dance
mút	చప్పరింపు	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	వెదురు రెమ్మలు	bamboo shoot (n.)
mĩ	అమెరికా	america
mũ	టోపీ	cap
mũi	ముక్కు	nose
mơ	కల	vague
mơn	కాళ్ళకు	caress
mưa	వర్షం	rain
mưu	మోసపూరిత	"(should be ""tham mưu"") advisors"
mươi	యాభై	tens
mương	హరించడం	ditch
mướn	అద్దెకు	hire
mướt	సిల్కీ	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	ఋణం	borrow
mượt	సున్నితంగా	glossy (adj.)
mạc	ఎడారి	"(should be ""mộc mạc"") simple or natural"
mạch	సర్క్యూట్	vessel
mại	వాణిజ్య	commerce
mạn	వైపు	romantic
mạnh	బలమైన	strong
mạo	వ్యాసం	"(should be ""mạo hiểm"") to brave danger"
mạt	పురుగుల	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	సమాధులు	tomb or grave (n.)
mải	బిజీగా	absorbedly
mảng	అమరిక	genre
mảnh	పీస్	piece
mất	కోల్పోయిన	lose
mấu	టాబ్	key
mấy	కొన్ని	any
mầm	బీజ	kindergarten
mầu	రంగు	color
mẩu	ముక్కలు	piece
mận	ప్లం	plum
mập	కొవ్వు	fat
mật	తేనె	intimate
mậu	వాణిజ్య	mau
mắc	ఖరీదైన	get
mắm	చేప పులుసు	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	అదృష్ట	"(term should be ""may mắn"") fortunate (adj.)"
mắng	చీవాట్లు	scold
mắt	కంటి	eye
mặc	ధరించడం	wear
mặn	లవణం	salt
mặt	ముఖం	face
mẹ	అమ్మ	mother (n.)
mẹo	చిట్కాలు	trick
mẻ	బ్యాచ్	cool
mẽ	బలమైన	strong
mến	ప్రియమైన	to adore or like greatly (v.)
mề	గిజార్డ్	locket
mềm	సాఫ్ట్	soft
mệnh	విధి	revolution
mệt	అలసిన	tired
mỉ	ఖచ్చితమైన	meticulous
mỉa	వ్యంగ్యం	ironic
mỉm	చిరునవ్వు	smile
mịch	ఒంటి	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	సున్నితంగా	smooth
mịt	వాసన చూడటం	dim
mọc	పెరుగుతుంది	to grow (v.)
mọi	ప్రతి	every
mọn	చిరు	lowly
mỏ	గనుల	mine
mỏi	అలసిన	tired (adj.)
mỏng	సన్నని	thin
mốc	బూజు పట్టిన	border
mối	చెదల	relationship
mốt	ఫ్యాషన్	fashion or style (n.)
mồ	సమాధి	"(term should be ""mồ hôi"") sweat (n.)"
mồi	ఎరగా	bait (n.)
mổ	శస్త్రచికిత్స	to dissect or perform surgery (v.)
mỗi	ప్రతి	every
mộ	సమాధి	admire
mộc	వడ్రంగి	simple
mộng	కల	dream
một	ఒకటి	one
mới	కొత్త	new (adj.)
mờ	మసక	dim
mời	ఆహ్వానిస్తున్నాము	invite
mở	ఓపెన్	open
mỡ	కొవ్వు	fat or grease (n.)
mục	అంశం	purpose
mụn	మొటిమ	pimple
mức	స్థాయి	level
mứt	జామ్	preserve
mừng	ఆనందంగా	to be happy
mửa	వాంతులు	to vomit (v.)
mực	సిరా	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	నూడుల్	noodles (n.)
mỹ	అమెరికా	america
mỹcông	అమెరికా	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	నాగాంట్	nagant
nagar	నగర్	nagar, as in champa po nagar
nagasaki	నాగసాకి	(proper noun) the city of nagasaki, japan
nagoya	నేగాయ	a name
nagumo	nagumo	nagumo
nai	జింక	a deer
nairobi	నైరోబి	nairobi, a city in kenya (n.)
nakajima	నాకాజిమా	a japanese name
nalbandian	నల్బండియాన్	a name
nam	పురుషుడు	male
nambắc	ఉత్తర	nambac
namibia	నమీబియాలో	namibia
namnam	నామ్ నామ్	male-male
namno	namno	nammo
nancy	నాన్సీ	nancy, as in nancy pelosi
nang	ఫొలికల్	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	కోరలు	fang
nano	నానో	nano
naomi	నామి	naomi, as in model naomi campbell
napoleon	నెపోలియన్	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	నెపోలియన్	napoleon
nara	నారా	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	నాథన్	nathan
natri	సోడియం	sodium
nauru	నౌరు	a name
nava	నవ	nava
navarre	navarre	navarre
nay	ఇప్పుడు ఆన్‌లో ఉంది	this (adj.)
needham	needham	needham
nelson	నెల్సన్	(proper noun) nelson, as in nelson mandela
neo	యాంకర్	"(term should be ""mỏ neo"") an anchor (n.)"
neon	నియాన్	neon
nepal	నేపాల్	nepal
nepomuk	నేపోముక్	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	నికర	net
netbook	నెట్బుక్	netbook
netscape	నెట్స్కేప్	netscape
networks	నెట్వర్క్లు	networks
neumann	న్యూమాన్	(proper noun) neumann
neutrino	న్యూట్రినో	neutrino
nevada	నెవాడా	nevada
neverland	ఫైండింగ్	neverland
newcastle	న్యూకాజిల్	newcastle
newspaper	వార్తాపత్రిక	newspaper
newton	న్యూటన్	newton
newtons	వున్నా peedanam	(proper noun) newton's
next	తరువాత	next
nga	రష్యా	russia
ngai	సింహాసనం	crown
ngang	సమాంతర	horizontal
ngao	కామ్	clam (n.)
ngay	కుడి	even
nghe	వినండి	hear
nghinh	nghinh	welcome
nghiêm	తీవ్రంగా	serious
nghiêng	వొంపు	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	జాలి	serious
nghiệm	అనుభవం	experiment
nghiện	బానిస	addiction
nghiệp	కర్మ	karma/ sự nghiệp=career
nghiệt	భయంకరమైన	adverse
nghành	పరిశ్రమ	faculty
nghèo	పేద	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	స్వాగత	support
nghìn	వెయ్యి	thousand
nghĩ	అనుకుంటున్నాను	think
nghĩa	అంటే	meaning
nghẽn	రద్దీ	jam
nghếch	బిగ్గరగా	stupid
nghề	వృత్తి	career
nghệquận	ఆర్ట్	art district
nghỉ	సెలవు	relaxation
nghị	సిఫార్సులు	think
ngo	అందంగా	ngo
ngoan	మంచి బాలుడు	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	రుచికరమైన	delicious
ngoài	బయటకు	outside of
ngoại	విదేశీ	external
ngoạn	ఉత్కంఠభరితమైన	spectacular
ngoặc	కుండలీకరణాలు	bracket
ngoặt	మలుపు	landmark
ngu	నిద్ర	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	గుయెన్	nguyen
nguyên	అసలు	reason
nguyền	తిట్టు	curse
nguyện	ప్రతిజ్ఞ	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	చంద్రుడు	moon
nguôi	calming	fade away
nguồn	మూలం	source
nguời	ప్రజలు	people
nguỵ	ఫూల్స్	camouflage
ngà	దంతపు	russian
ngàn	వెయ్యి	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	శాఖ	sector
ngào	తీపి	sweet
ngày	రోజు	day
ngách	సముచిత	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	స్టుపిడ్	chinese ethnic group living in the vietnamese highlands near the china border
ngán	విసుగు	to be tired of
ngáng	ngáng	stop
ngát	మూర్ఛ	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	బ్యాంకు	money
ngây	ఖాళీ	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	నాగి	ngai
ngò	కొత్తిమీర	coriander
ngó	లుక్	to look (v.)
ngói	టైల్	tile or shingle
ngón	వేలు	a finger (n.)
ngót	సంకోచం	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	భాష	manifesto
ngông	గూస్	eccentric
ngõ	వీధి	lane
ngùi	వాసన	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	కంపార్ట్మెంట్	prevent
ngũ	నిద్ర	rank
ngơ	నిర్లక్ష్యం	ignored (adj.)
ngơi	విశ్రాంతి	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	ఫిషర్	fishermen
ngưng	స్టాప్	stop
ngưu	ఆక్స్	buffalo
ngươi	మీరు	an ancient form of address equivalent to thou or thee (n.)
người	ప్రజలు	people
ngưỡng	ప్రవేశ	religious
ngược	రివర్స్	opposite
ngạc	ఆశ్చర్యం	surprise
ngạch	ర్యాంక్	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	బ్యాంకు	bank
ngạnh	బార్బులుకు	self-willed
ngạo	అహంకరించినవాడు	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	అస్పిక్సేషణ్	stuffy
ngấm	నింపబడి	draw
ngất	సొమ్మసిల్లి	unconscious
ngầm	అవ్యక్త	underground
ngần	సంకోచించరు	hesitate
ngẩn	నిశ్చేష్టులయ్యారు	froze
ngẫm	ఆలోచించు	think
ngẫu	యాదృచ్ఛిక	ngẫu nhiên= random
ngậm	lozenges	keep
ngập	వరదలు	flood
ngắm	భావించు	to contemplate or look admiringly at something (v.)
ngắn	చిన్న	short
ngặt	గట్టి	strict
ngọ	మధ్యాహ్నం	horse
ngọc	రత్నం	pearl
ngọn	టాప్	top
ngọt	తీపి	sweet (adj.)
ngồi	సిట్	sit
ngộ	జ్ఞానోదయ	ngo
ngột	అమాంతం	sudden
ngớ	వెర్రి	silly
ngời	ప్రజలు	bright
ngỡ	ఆలోచన	surprised
ngợi	ప్రశంసలు	praise
ngợm	కొంటె	naughty
ngục	జైలు	dungeon
ngụm	సిప్	sip
ngụy	wei	puppet
ngủ	పడుకొనుటకు	sleep
ngủi	చిన్న	"(should be ""ngắn ngủi"") short-lived"
ngứa	దురద	itchy
ngừ	ట్యూనా	tuna
ngừa	అడ్డుకో	prevent
ngừng	కోల్పోవు	to cease (v.)
ngửa	ముఖం పైకి	supine
ngửi	వాసన	to smell
ngữ	ప్రసంగం	term
ngự	నివసించువారికి	defend
ngựa	గుర్రం	horse
ngực	ఛాతి	chest
nha	దంతవైద్యుడు	dental
nhakẻ	పిల్లవాడిని	nha-ke
nham	లావా	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	ధూపం	incense
nhanh	ఫాస్ట్	fast
nhat	నాట్	nhat
nhen	తిరిగి పెంచింది	rekindle
nhi	పిల్లలు	junior
nhiên	కోర్సు	tuy nhiên= however
nhiêu	చాలా	how many
nhiều	చాలా	numerous
nhiễm	సోకినది	infect
nhiễu	శబ్దం	noise
nhiệm	విధి	task
nhiệt	వేడి	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	వంటి	demand
nhuận	లాభం	leap year
nhuệ	nhue	elite
nhuộm	రంగు	dye
nhàn	పనిలేకుండా	leisure
nhàng	తప్పులతో	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	మెత్తగా పిండిని పిసికి కలుపు	to fall headlong
nhác	మందగింపు	coward
nhái	క్లోన్	illegal copy
nhánh	శాఖ	branch
nháp	డ్రాఫ్ట్	draft
nháy	ఆవిర్లు	to flash or blink (v.)
nhâm	నగ్నంగా	leap
nhã	tasteful	"(term should be ""thanh nhã"") elegant"
nhãn	లేబుల్	"(term should be ""gán nhãn"") to affix a label"
nhét	చాలు	put
nhì	రెండవ	second (adj.)
nhìn	లుక్	to look (v.)
nhí	అరుపులు	children
nhím	ముళ్ల ఉడుత	porcupine
nhòm	లుక్	to peep (v.)
nhóc	పిల్లవాడిని	brat
nhóm	సమూహం	group (n.)
nhô	పొడుచుకు	emerge
nhôm	అల్యూమినియం	aluminum (n.)
nhúng	డిప్	embed
nhút	సిగ్గుపడదు	shy
nhăn	ముడతలు	wrinkle
nhĩ	కర్ణిక	turkey
nhũ	రసాయనం	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	అవినీతి	bribery
nhơn	గుణకారం	nhon
như	వంటి	like
nhưng	కానీ	but
nhương	లాలాజలం	(proper noun) vietnamese first name
nhường	దారి ఇచ్చెను	yield
nhưỡng	వస	soil
nhược	బలహీనత	weak
nhượng	రాయితీలు	concession
nhạ	ంహ	nha
nhạc	సంగీతం	music
nhạn	మింగడానికి	bird
nhạo	గేలిచేస్తాడు	ridicule
nhạt	లేత	light
nhạy	సున్నితమైన	sensitive
nhảy	నృత్యం	jump
nhấc	లిఫ్ట్	lift
nhấm	sipping	rodent
nhấn	నొక్కడం	to press (v.)
nhất	ఉత్తమ	most
nhầm	తప్పు	misunderstand
nhầy	slimy	glutinous
nhẫn	వలయాలు	patient
nhậm	స్టాంప్	inaugurate
nhập	దిగుమతి	penetrate
nhậu	తాగు	drink
nhậy	సున్నితమైన	sensitive
nhắc	ప్రాంప్ట్	to remind (v.)
nhắm	లక్ష్యం	aim
nhắn	సందేశం	message
nhằm	లక్ష్యంతో	for the purpose of (adv.)
nhẵn	సున్నితంగా	smooth
nhặt	ఎంచుకోండి	pickup
nhẹ	కాంతి	light
nhẹn	చురుకైన	nhanh nhẹn= fast/nimble
nhị	కేసరము	sensitive
nhịn	దూరంగా	fasting
nhọ	దురదృష్టవంతులైన	smear
nhọn	పదునైన	sharp (adj.)
nhỏ	చిన్న	small
nhỏ|cây	చిన్న | చెట్టు	small|tree
nhỏ|một	చిన్న | ఒకటి	small | one
nhỏ|phải|	చిన్న | కుడి |	small|right
nhỏ|phải|px|	చిన్న | కుడి | px |	small | have | px |
nhỏ|phải|px|bức	చిన్న | కుడి | px | జగన్	grape / fade / px / buc
nhỏ|phải|px|cây	చిన్న | కుడి | px | చెట్టు	px spicy grape fade
nhỏ|phải|px|khu	చిన్న | కుడి | px | జోన్	small|right|px|area
nhỏ|phải|px|michael	చిన్న | కుడి | px | మైఖేల్	small|right|px|michael
nhỏ|phải|px|máy	చిన్న | కుడి | px | యంత్రం	small | right|px|machine
nhỏ|phải|px|một	చిన్న | కుడి | px | ఒకటి	small|right|px|one
nhỏ|phải|px|quân	చిన్న | కుడి | px | ఫోర్స్	small|right|px|army
nhỏ|px|	చిన్న | px |	small
nhỏ|px|các	చిన్న | px | ది	small
nhỏ|px|phải|kiến	చిన్న | px | కుడి | చీమ	small | px | right | patience
nhỏ|quân	చిన్న | శక్తి	small|army
nhỏ|trái|px|máy	చిన్న | ఎడమ | px | యంత్రం	small|left|px|plane
nhỏ|tượng	చిన్న విగ్రహాలు	small|statue
nhốt	బంధింప బడింది	confine
nhồi	సగ్గుబియ్యము	cram
nhổ	ప్లక్	uproot
nhộn	ఉల్లాసంగా	busy
nhớ	మనసు	remember
nhớt	జిగట	viscid
nhờ	ధన్యవాదాలు	by
nhờn	వస	multiplication
nhở	గుర్తు	remind
nhụ	చిటికెడు	nhu
nhục	అవమానాలు	shame
nhủ	రిమైండర్లు	needs
nhức	పోటు	pain
nhứt	ప్రధమ	first (n.)
nhừ	మెత్తటి	tender
những	ఈ	the
nhựa	ప్లాస్టిక్	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ని	nun
nia	ఎన్ఐఎ	a flat basket (n.)
nicaea	నికే	nicaea
nicaragua	నికరాగువా	(proper noun) nicaragua
niccolò	నికోలో	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	నికోలస్	(proper noun) nicolas, as in nicolas sarkozy
niels	నీల్స్	(proper noun) niels
nigeria	నైజీరియా	nigeria
nikel	నికెల్	nickel
niken	నికెల్	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	నిక్కోను	(proper noun) nikko
nikolai	నికోలాయ్	nikolai
nikolayevich	నికోలాయేవిచ్	nikolayevich
nil	శూన్యం	nile
nile	నైలు	(proper noun) the river nile
nimitz	నిమిట్జ్	(proper noun) nimitz, as in the ship uss nimitz
nin	యొక్క	nin
ninh	భద్రతా	ninh, as in bắc ninh
nintendo	నింటెండో	(proper noun) nintendo, the game company
nippon	నిప్పాన్	nippon
nitơ	నత్రజని	nitrogen (n.)
nixon	నిక్సన్	(proper noun) nixon, as in former president richard nixon
niên	సంవత్సరం	youth
niết	నిట్	nirvana
niềm	ఆనందం	trust
niệm	మైండ్ఫుల్నెస్	concept
niệu	డైయూరిసిస్	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	నోహ్	(proper noun) noah
nobel	నోబెల్	nobel
nobita	nobita	nobita
noel	నోయెల్	(proper noun) noel
noi	సే	imitate
nokia	నోకియా	(proper noun) nokia, as in the nokia corporation
nol	నాల్	nol
nom	నాం	look after
non	యువ	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	నార్ఫోక్	norfolk
norge	norge	norge
norma	నార్మా	(proper noun) norma, a female first name
norman	norman	norman
normandie	నోర్మండీ	normandile
northrop	నార్త్రోప్	northrop, as in the northrop f-5 freedom fighter
norton	నార్టన్	norton
norway	నార్వే	norway
nou	nou	nou
novak	నోవాక్	novak
now	ఇప్పుడు	now
nowc	nowc	nowc
noãn	బీజకోశాన్ని	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	నుబియాపై	nubia
number	సంఖ్య	number
nupedia	నుపీడియా	a name
nusa	nusa	nusa
nuôi	ఫీడ్	feed
nuối	మింగడానికి	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	మింగడానికి	to swallow (v.)
nuớc	నీటి	water
nxb	nxb	publisher
nynorsk	న్యోర్స్క్	nynorsk
nà	na	na
nài	సమర్ధిస్తాను	pleading
nàn	ఫిర్యాదు	poor
nành	సోయా	soy
nào	రండి	would
này	ఈ	this
ná	ná	a crossbow (n.)
nách	బాహుమూలములో	underarm (n.)
náo	అల్లరి	riot
nát	చూర్ణం	ruin
náu	దాచు	hide
nâng	ఎలివేట్	raise
nâu	గోధుమ	brown
nã	nã	to track down (v.)
não	మె ద డు	brain
né	ఓడించటానికి	dodge
ném	త్రో	to throw (v.)
nén	కంప్రెస్	compress
nét	స్ట్రోకులు	feature
nê	నే	ne
nên	కాండిల్ స్టిక్	should or ought to
nêu	చెప్పండి	mention
nòi	రేసు	race
nòng	పీపాలో	barrel
nói	మాట్లాడటానికి	to say or speak (v.)
nón	టోపీ	cone
nóng	వేడి	hot
nô	బానిస	slave
nôbita	tobita	nobita
nôi	తొట్టి	cradle
nôm	నామ్ స్థానాన్ని తరువాత	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	వాంతి	vomit
nông	లోతు లేని	farmer
nõn	peeling	peeled
nùng	nung	nung
núm	నాబ్	nipple
núp	దాచు	hide
nút	ముడి	button
năm	సంవత్సరం	year
năn	పశ్చాత్తాపపడి	"(term should be ""ăn năn"") remorse (n.)"
năng	శక్తి	"(term should be ""khả năng"") ability (n.)"
nơi	స్థానం	a place
nơtrino	neutino	neutrino
nước	దేశంలో	country
nước 	దేశంలో	water
nướng	కాల్చబడిన	grill
nǎm	nǎm	year
nạ	మాస్క్	mask
nạc	లీన్	lean (adj.)
nại	ఫిర్యాదు	complain
nạn	బాధ	a disaster (n.)
nạo	తురమటం	to scrape (v.)
nạp	లోడ్	tribute
nản	ప్రోత్సహించలేదు	depressed
nảy	బౌన్సింగ్	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	ఎక్కిళ్ళు	a hiccup (n.)
nấp	దాచు	hide
nấu	కుక్	cook
nấy	ఈ	this
nần	జరుపు	debt
nầy	ఈ	this
nẩy	బౌన్సింగ్	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n సూర్యుడు	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	నామ్	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	వేడి	busy
nắm	పట్టుకోండి	to grasp or hold (v.)
nắng	ఎండ	sunlight
nắp	మూత	a lid or cover (n.)
nằm	అబద్ధం	to lie (v.)
nẵng	నంగ్	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	అజ్ఞాతంగా	heavy
nặn	స్క్వీజ్	mould
nặng	భారీ	heavy
nẻo	మరో	turn
nếm	రుచి	taste
nến	కొవ్వొత్తి	candle
nếp	sticky	sticky rice (n.)
nếu	ఉంటే	if (adv.)
nề	రాతి	severe
nể	గౌరవం	respect
nện	కొట్టడం	ram
nỉ	భావించాడు	beg
nịnh	బల్లపరుపుగా	flatter
nọ	ఇతర	the other
nọc	విషం	tadpole
nỏ	క్రాస్బౌ	a crossbow (n.)
nối	కనెక్ట్	connection
nốt	గమనిక	to finish off (v.)
nồi	పాట్	pot
nồm	మూపు	humid (adj.)
nồng	వేడి	heavy
nổ	పేలుడు	explode
nổi	తేలియాడే	nổi tiếng= famous
nỗ	ప్రయత్నం	affort
nỗi	ఆ	state
nộ	కోపం	anger
nội	అంతర్గత	on the paternal side (adj.)
nộn	కూరటానికి	non
nộp	దాఖలు	submit
nới	సడలించు	ease
nở	వికసించే	bloom
nỡ	మనసుతో	do you have a heart to
nợ	అప్పులలో	debt
nụy	అండకోశంలోని	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	కార్క్	a kind of bamboo (n.)
nứt	పగుళ్లు	to crack
nửa	సగం	haft
nữa	మళ్ళీ	moreover
oahu	ఓహు	(proper noun) oahu
oai	dread	heroic
oakland	oakland	oakland
oan	అన్యాయాన్ని	injustice
oanh	oanh	(with word liet) glorious
obama	ఒబామా	obama
oblast	ఒబ్లాస్ట్	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	అక్టోబర్	(proper noun) october
oda	ఓ డా	oda
oder	ఇతర	oder
odyssey	ఒడిస్సీ	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	అధికారి	officer
officers	అధికారులు	officers
ohkawa	ohkawa	ohkawa
okhotsk	ఓఖోట్క్	okhotsk
oliver	ఆలివర్	oliver
olivier	ఆలివర్	olivier
olympus	ఒలింపస్	olympus
om	braised	to simmer
omar	ఒమర్	a name
ong	బీ	bee
ontario	ఒంటారియో	ontario
oort	ఊర్ట్	oort
oprah	ఓప్రా	(proper noun) oprah, as in oprah winfrey
organ	అవయవ	organ
oricon	ఒరికాన్	oricon
origin	మూలం	origin
orion	ఓరియన్	(proper noun) orion, the hunter
orleans	ఓర్లీన్స్	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	ఆర్టాన్	orton
os	os	os
osaka	ఒసాకా	(proper noun) osaka, a city in japan
osama	ఒసామా	(proper noun) osama, as in osama bin laden
osamu	ఒసాము	(proper noun) osamu, a japanese first name
oscar	ఆస్కార్	oscar
osiris	ఒసిరిస్	(proper noun) osiris, as in the egyptian god
oskar	ఆస్కర్	a name
oslo	ఓస్లో	oslo
osment	ఓస్మెంట్	osment
ospf	ospf	ospf
ossetia	ఒసేన్టియా	(proper noun) ossetia
oswald	ఆస్వాల్డ్	oswald
other	ఇతర	other
otto	ఒట్టో	(proper noun) otto, as in otto von bismarck
ottoman	ఒట్టోమన్	(proper noun) ottoman, as in the ottoman empire
outstanding	అసాధారణ	xuat sac
owen	ఓవెన్	(proper noun) owen, as in michael owen
oxford	ఆక్స్ఫర్డ్	oxford
oxy	ఆక్సిజన్	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	ఆగ్రహం	"(term should be ""oán than"") to complain or whine"
oát	వాట్స్	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	పేజెట్	(proper noun) paget
pailin	పైలిన్	pailin
pakistan	పాకిస్తాన్	(proper noun) the country of pakistan
palais	పాలిస్	palais, as in grand palais
palawan	palawan	palawan
palenque	పాలంక్యూ	(proper noun) palenque
palestine	పాలస్తీనా	a name
palgrave	పాల్గ్రేవ్	palgrave
pali	పాలి	a name
pamir	పామిర్	pamir
pan	పాన్	pan, as in peter pan
panama	పనామా	panama
panamax	పానామాక్స్	(proper noun) panamax
panduranga	పాండురంగ	(proper noun) panduranga
panthera	పాన్థెర	(proper noun) panthera, a genus of felines
panthéon	పాంథియోన్	a name
paolo	పోలో	paolo
paperback	పేపర్బ్యాక్	paperback
papua	పాపువా	papua
paraguay	పరాగ్వే	(proper noun) paraguay
pari	పరి	pari
park	పార్క్	park
parton	పార్టన్	parton
patel	patel	(proper noun) patel
patrick	పాట్రిక్	patrick
patriot	దేశభక్తుడు	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	పావియా	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	తోటివారి	peers
pele	పీలే	(proper noun) pele, as in the soccer player
penang	పెనాంగ్	penang
penh	పెన్	(proper noun) penh, as in phnom penh
pennsylvania	పెన్సిల్వేనియా	pennsylvania
penny	పెన్నీ	(proper noun) penny, an english first name
pereira	పరెర	pereira
perl	perl	(proper noun) perl
pero	పేరో	pero
perry	పెర్రీ	(proper noun) perry, as in elizabeth perry
persephone	పెర్సీఫోన్	presephone
pershing	pershing	pershing
persian	పెర్షియన్	persian
peru	పెరు	peru, as in the south american country
peters	పీటర్స్	peter's, possessive of peter
petersburg	పీటర్స్బర్గ్	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	పేజీలు	associate professor
pgđ	pgđ	associate professor
pha	మిశ్రమ	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	బ్రేక్	expose
phao	ఫ్లోట్	float
phaolô	పాల్	st. paul, the apostle
pharaoh	ఫారో	pharaoh
pharaon	pharaon	pharaoh
phay	మర	mill
phe	ఫ్యాక్షన్	faction
phen	phen	time
phil	ఫిల్	(proper noun) phil, a first name
philip	ఫిలిప్	philip
philippe	ఫిలిప్	philippe
philippines	ఫిలిప్పీన్స్	(proper noun) philippines
phillip	ఫిలిప్	(proper noun) phillip
phillips	ఫిలిప్స్	philips
philosophiae	వేదాంతం	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	సినిమా	phim
phin	వడపోత	coffee filter
phineas	ఫినియాస్	(proper noun) phineas
phiên	సెషన్	trial
phiêu	సాహసం	adventurous
phiếm	గాసిప్	gossip
phiến	బ్లేడ్	"(should be ""nha phiến"") opium"
phiện	నల్లమందు	opium
phiệt	phiet	militarism
phnom	ఫ్నామ్	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	ఫో	part of a person's name, rat-pho, or ratford
phoenix	ఫోనిక్స్	(proper noun) phoenix
phong	గది	movement
php	php	php
phrygian	phrygian	phrygian
phu	ఫు	"(term should be ""phu nhân"") wife (n.)"
phui	అన్కవర్డ్	expose
phun	పిచికారీ	to spray or spit (v.)
phà	ఫెర్రీ	ferry
phàm	నైతిక	superhuman
phàn	ఫిర్యాదు	complain
phá	బ్రేకింగ్	destroy
phác	స్కెచ్	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	బీట్	manner (n.)
phái	శాఖ	a party
phán	న్యాయమూర్తి	judge
pháo	కానన్	artillery
pháp	ఫ్రాన్స్	method
phát	ప్రసార	develop
phèn	పటిక	alum
phèo	phèo	organs
phép	అనుమతి	permit
phê	ఎక్కువగా పొందు	"(term should be ""phê bình"") to criticize (v.)"
phêrô	పీటర్	peter
phì	విస్తరించి	non-
phình	గుబ్బ	bulge
phí	ఆరోపణ	non-
phía	వైపు	side
phích	థర్మోస్	a flask (n.)
phím	కీ	key
phò	ఫో	"(term should be ""phò mã"") a prince consort"
phòng	గది	office
