$	dollarni tashkil etadi	american dollar symbol
தொடர்ச்சியான	davomiy	continuously
தொடர்ந்த	davomi	continuous
தொடர்ந்து	quyidagi	continously
தொடர்ந்தும்	davom eting	the
தொடர்பாக	aloqada	togeather
தொடர்பாடல்	aloqa	communication
தொடர்பான	bog&#39;liq	related
தொடர்பிலான	yoqilgan	in relation to that
தொடர்பில்	munosabati bilan	broadcast
தொடர்பு	aloqa	connection
தொடர்புகளை	aloqalar	links
தொடர்புகள்	aloqalar	communications
தொடர்புடைய	bog&#39;liq	having relation
தொடர்புடையதாக	uyushgan	be associated
தொடர்புடையது	bog&#39;liq	relating to that
தொடர்பும்	aloqa	connection
தொடர்புள்ள	bog&#39;liq	contact with
தொடர்பை	aloqa	relationship
தொடர்பையும்	aloqa	connection, association, contacts
தொடர்வண்டி	poyezd	train
தொடர்வண்டிப்	temir yo&#39;l	train
தொடர்வரிசை	navbat	a series
தொடையெலும்பு	femur	thigh bone
தொட்டில்	beshik	renaissance
தொட்டு	tegish	traditionally
தொண்டு	xayriya	service
தொண்டை	tomoq	throat
தொண்டைமான்	tondamayan	thondaimaan
தொன்மவியல்	mifologiya	olden scriptures
தொன்மா	dinosaur	dinosaur
தொன்மாக்கள்	dinozavrlar	thonmaas
தொன்மை	antikalar	ancient
தொன்மையான	mahalliy	very olden
தொன்று	an&#39;anaga ko&#39;ra	traditionally
தொற்று	infektsion	infect
தொற்றுநோய்	epidemiya	leprosy
தொற்றும்	yuqumli	infectious
தொலை	masofadan	telescope
தொலைக்காட்சி	televizor	television
தொலைதொடர்பு	telekommunikatsiya	distance
தொலைத்	telekom	telecom
தொலைந்து	yo&#39;qotilgan	lost from
தொலைபேசி	telefon	telephone
தொலைபேசிகள்	telefonlar	telephones
தொலைவில்	masofada	in remote
தொலைவு	masofa	long distance
தொல்	to&#39;liq	olden
தொல்காப்பியம்	tolkappiyam	tholkappiyam
தொல்காப்பியர்	to&#39;lqinli	tholkappiar
தொல்பொருளியல்	arxeologiya	olden scriptures
தொல்பொருள்	arxeologiya	early man reserch
தொல்லியல்	arxeologiya	archaeological
தொல்லுயிரியல்	paleontologiya	archealogical
தொழிற்	mehnat	occupational
தொழிற்சாலை	zavod	industries
தொழிற்சாலைகளில்	zavodlarda	factory
தொழிற்சாலைகள்	zavodlar	industries
தொழிற்துறை	sanoat	industry
தொழிற்புரட்சி	sanoat	industrial revolution
தொழிலாளர்	mehnat	labourers
தொழிலாளர்களின்	ishchilar&#39;	of workers
தொழிலாளர்களை	ishchilar	employees
தொழிலாளர்கள்	ishchilar	labourers
தொழிலில்	sanoat	in the business
தொழிலும்	biznes	works
தொழில்	sanoat	business
தொழில்களை	kasblar	works
தொழில்கள்	ishlar	businesses
தொழில்துறை	sanoat	industry
தொழில்நுட்ப	texnologiya	technical
தொழில்நுட்பக்	texnologiya	technical
தொழில்நுட்பங்களின்	texnologiyalar	technical knowledge
தொழில்நுட்பங்கள்	texnologiyalar	polytecnic
தொழில்நுட்பத்தை	texnologiya	technology
தொழில்நுட்பமும்	texnologiya	technology
தொழில்நுட்பம்	texnologiya	technical
தொழில்முறை	professional	business system
தோசை	dosa	dosa
தோட்டம்	bog&#39;dorchilik	garden
தோன்றி	paydo bo&#39;ldi	began
தோன்றின	paydo bo&#39;ldi	create
தோன்றினாலும்	ko&#39;rinadi	appear
தோன்றிய	tashqi ko&#39;rinishi	from
தோன்றியது	paydo bo&#39;ldi	origin
தோன்றுகின்றன	ko&#39;rinishi	appear
தோன்றுகிறது	ko&#39;rinadi	it appears with
தோன்றும்	ko&#39;rinishi	begins
தோராயமாக	taxminan	ratio
தோற்கருவி	baraban	drum
தோற்ற	asos	beaten
தோற்றங்கள்	tashqi ko&#39;rinish	faces
தோற்றத்தின்	tashqi ko&#39;rinishi	appearance
தோற்றத்தை	tashqi ko&#39;rinishi	appearance
தோற்று	muvaffaqiyatsiz	defeated
தோற்றுவித்த	ta&#39;sischi	started
தோலினுள்	invaziv	epidermal
தோல்	teri	skin
தோல்வி	muvaffaqiyatsiz	failure
தோல்வியில்	muvaffaqiyatsiz	failure
தோல்வியுற்ற	amalga oshmadi	fail
தோல்வியை	mag&#39;lubiyat	fail
த‌மிழீழ‌	ilam	tamil eala liberation fighters
ந	na	na a letter in tamil
நகர	shahar	city
நகரங்களின்	shaharlar	towns
நகரங்களில்	shaharlar	cities
நகரங்களுக்கு	shaharlar	to cities
நகரங்களும்	shaharlar	towns
நகரங்களை	shaharlar	city
நகரங்கள்	shaharlar	towns
நகரத்	shahar	city
நகரத்தின்	shahar	in city
நகரத்திற்கு	shahar	city
நகரத்தில்	shaharda	city
நகரத்தை	shahar	city
நகரப்	shahar	in the city
நகரமாக	shahar	city
நகரமாகும்	shahar	city
நகரமான	shahar	city
நகரமும்	shahar	city
நகராக	shaharda	city
நகராட்சி	munitsipal	municipal
நகராட்சிகள்	munitsipalitetlar	municipalities
நகரான	shahar	city
நகரின்	shahar	city
நகரில்	shaharda	city
நகருக்கு	shahar	city
நகரும்	harakatlanmoqda	to move
நகரை	shahar	city
நகரையும்	shahar	city of/town of
நகர்	shahar	city
நகர்கருவி	nakarkaruvi	an instrument to identify
நகர்ந்து	harakatlanmoqda	move
நகர்பேசி	uyali	mobile phone
நகர்ப்புற	shahar	city
நகை	zargarlik buyumlari	ornament
நச்சு	zaharli	toxic
நச்சுயிரி	virusli	virus
நடக்க	yurish	to happen
நடக்கிறது	bormoqda	happening
நடக்கும்	bo‘ladi	happen
நடத்த	xost	to conduct
நடத்தப்படுகிறது	o&#39;tkazilgan	held
நடத்தப்படும்	o&#39;tkazilgan	to run
நடத்தப்பட்ட	the	functioned
நடத்தப்பட்டது	o&#39;tkazilgan	was conducted
நடத்தி	o&#39;tkazish	to conduct
நடத்தின	o&#39;tkazilgan	did
நடத்தினர்	sahnalashtirilgan	was conducted
நடத்தினார்	o&#39;tkazilgan	conducted
நடத்திய	o&#39;tkazilgan	a
நடத்தியது	o&#39;tkazilgan	conducted
நடத்தும்	the	to conduct
நடத்தை	xulq-atvor	behavior
நடத்தைகள்	xulq-atvor	behaviours
நடந்த	the	finished
நடந்தது	bo&#39;ldi	happened
நடந்து	yurish	to walk
நடன	raqs	dance
நடனம்	raqs	dance
நடப்பு	hozirgi	current
நடவடிக்கை	faoliyat	action
நடவடிக்கைகளில்	harakatlar	activities
நடவடிக்கைகளை	harakatlar	activities
நடவடிக்கைகளையும்	o&#39;lchovlar	activities
நடவடிக்கைகள்	operatsiyalar	activities
நடவடிக்கையும்	harakat	proceeding
நடவடிக்கையை	faoliyat	action
நடிகர்	aktyor	actor
நடிகர்கள்	aktyorlar	actors
நடிகை	aktrisa	actress
நடிகைகள்	aktrisalar	actress
நடிகைக்கான	aktrisa	for the actress
நடித்த	bosh rolda	acting
நடித்தார்	o&#39;ynadi	acted
நடித்து	otish	acting
நடு	neytral	central
நடுக்கம்	jitter	shaking
நடுத்தர	o&#39;rta	center
நடுநிலை	neytral	middle
நடுப்	o&#39;rta	center
நடுப்பகுதியில்	o‘rtada	center part
நடுவண்	federativ	the federal
நடுவில்	o&#39;rtasida	central
நடுவே	o&#39;rta	centre
நடை	gait	prose
நடைபெறுகின்றது	tayyorlanmoqda	is held
நடைபெறுகிறது	joy oladi	going on
நடைபெறும்	the	held
நடைபெற்ற	the	conducted
நடைபெற்றது	kutilmoqda	have finished
நடைபெற்றன	o&#39;tkazilish joyi	have done that
நடைபெற்று	tayyorlanmoqda	to happen
நடைமுறை	amaliy	in practice
நடைமுறைகள்	protseduralar	practical things
நடைமுறைக்கு	effekt	in action
நடைமுறைப்	amaliy	practical
நடைமுறையில்	amalda,	practice
நடையில்	uslubda	ways
நட்சத்திர	yulduz	star
நட்சத்திரங்கள்	yulduzlar	stars
நட்சத்திரம்	yulduz	star
நட்பு	do&#39;stona	friendship
நட்புறவு	do&#39;stlik	friendship
நண்டு	dengiz qisqichbaqasi	scorpion
நண்பர்களுடன்	do&#39;stlar bilan	with friends
நண்பர்கள்	do&#39;stlar	friends
நதி	daryo	river
நதிகள்	daryolar	rivers
நதியின்	daryoning	river
நத்தையினவியல்	malakologiya	malacology
நந்தா	nanda	nandha a kingdom
நந்தி	nandi	nandhi a hindu god
நன்கு	yaxshi	well known
நன்னீர்	chuchuk suv	water
நன்மை	foyda	good benefits
நன்றாக	yaxshi	best
நன்று	zo&#39;r	good
நபர்	shaxs	person
நபர்கள்	a&#39;zolar	numbers
நபி	payg&#39;ambar	nabi
நபிகள்	payg&#39;ambar	prophet
நமக்கு	bizning	us
நமது	bizning	our
நமீபியா	namibiya	namibia
நம்	bizning	our
நம்பப்படுகிறது	bunga ishoniladi	believed
நம்பப்பட்டது	bunga ishonishgan	accept
நம்பி	ishonish	a name in tamil
நம்பிக்கை	umid	confidence
நம்பிக்கைகள்	e&#39;tiqodlar	faith
நம்பிக்கையை	ishonch	confidence
நம்பினர்	xop	believe
நம்பினார்	xop	believed
நம்புகின்றனர்	umid	believe
நம்புகிறார்கள்	ular ishonishadi	believing
நம்புவது	ishonish	trust
நம்ம	bizning	ours
நம்மை	o&#39;zimiz	us
நரசிம்ம	narasimha	narasimha
நரம்பணுவியல்	narampanuviya	neuroscience
நரம்பியல்	nevrologlar	neurological
நற்செய்தி	xushxabar	good news
நற்செய்தியை	yaxshi	good news
நற்றிணை	narrinay	nattrinai
நல	sog&#39;liqni saqlash	welfare
நலம்	yaxshi	health
நல்ல	yaxshi	good
நல்லது	yaxshi	good
நல்லவன்	yaxshi	good
நல்லூர்	nallur	nallur
நவம்பர்	noyabr	november
நவீன	zamonaviy	modern
நவீன்	navin	naveen chawla a name
நா	na	na
நாகரிகங்கள்	sivilizatsiyalar	style
நாகரிகத்தின்	sivilizatsiya	style
நாகரிகம்	sivilizatsiya	culture
நாகரீகம்	moda	culture
நாகேஷ்	nagesh	actor nagesh in tamil films
நாங்கள்	biz	we
நாசரேத்து	nazaret	nasarethu
நாசா	nasa	naza
நாசாவின்	nasa	naza's
நாச்சோ	noka	nacho
நாடக	teatr	in drama
நாடகங்களின்	drama	plays'
நாடகங்களில்	dramada	drama
நாடகங்கள்	drama	dramas
நாடகத்தின்	drama	drama
நாடகத்தில்	drama	drama
நாடகம்	teatr	drama
நாடாக	mamlakat	country
நாடாகவும்	mamlakat	country
நாடாகும்	mamlakat	country
நாடான	mamlakat	country
நாடானது	mamlakat	country
நாடார்	nadar	naadar
நாடாளுமன்ற	parlament	parliament
நாடாளுமன்றத்தின்	parlament	parliment's
நாடாளுமன்றத்தில்	parlamentda	lock saba
நாடாளுமன்றம்	kongress	parliament
நாடி	pulse	nerve pulses
நாடினார்	so‘radi	sought
நாடு	mamlakat	country
நாடுகளான	mamlakatlar	countries like
நாடுகளால்	mamlakatlar	countries
நாடுகளிடையே	mamlakatlar	in between countries
நாடுகளின்	millatlar	countries
நாடுகளிலிருந்து	davlatlardan	from countries
நாடுகளிலும்	mamlakatlar	countries
நாடுகளில்	mamlakatlarda	in the countries
நாடுகளுக்கான	mamlakatlar	for the countries
நாடுகளுக்கு	mamlakatlar	to countries
நாடுகளுக்கும்	mamlakatlar	country
நாடுகளுடனும்	mamlakatlar	countrys
நாடுகளுடன்	mamlakatlar bilan	with countries
நாடுகளும்	mamlakatlar	countries are
நாடுகளை	mamlakatlar	countries
நாடுகளைப்	mamlakatlar	countries
நாடுகள்	mamlakatlar	countries
நாடும்	mamlakat	country
நாடெங்கிலும்	mamlakat	whole country
நாடோடி	tramp	moving to different places
நாட்களாக	kunlar	days
நாட்களில்	kunlar	in days
நாட்கள்	kunlar	days
நாட்காட்டி	taqvim	calender
நாட்டம்	moyillik	keen
நாட்டல்	natan	natal
நாட்டார்	xalq	music of nattar
நாட்டினர்	milliy shaxslar	country peoples
நாட்டின்	mamlakat	country
நாட்டியம்	raqs	dance
நாட்டிலிருந்து	mamlakatdan	from country
நாட்டிலும்	mamlakat	in country also
நாட்டிலுள்ள	mamlakatda	country's
நாட்டில்	mamlakat	country
நாட்டு	mamlakat	country
நாட்டுக்கு	mamlakat	to nation
நாட்டுடன்	mamlakat	country
நாட்டுத்	mamlakat	country
நாட்டுப்	mamlakat	country
நாட்டுப்புற	xalq	culture
நாட்டை	mamlakat	country
நாட்டைச்	mamlakat	nattaic
நாட்டையும்	mamlakat	county
நாணய	tangalar	coin
நாணயங்கள்	tangalar	coins
நாணயத்தின்	tangalar	currency
நாணயம்	tangalar	coin
நானும்	men	myself
நானூறு	to&#39;rt yuz	four hundred
நானே	faqat men	myself
நானோ	nano	nano
நான்	men	i
நான்காம்	to&#39;rtinchi	forth
நான்காவது	to&#39;rtinchi	fourth
நான்கில்	chorakliklar	fourth
நான்கு	to&#39;rt	four
நான்கும்	to&#39;rt	four
நாமக்கல்	namakkal	namakkal
நாம்	biz	we
நாயகன்	kishi	hero
நாயகம்	umumiy	nayagam
நாயக்கர்	naicker	nayakars
நாயக்கர்கள்	nayak	nayakars  a ruler in tamil nadu
நாயனார்	nayanar	poets
நாயன்மார்கள்	nayanmars	nayanmarkal
நாயுடு	naidu	naidu
நாய்	it	dogs
நாய்கள்	itlar	dogs
நாராயணன்	narayanan	narayanan
நார்வே	norvegiya	norway
நாற்கரம்	rombus	cyclic quadrilateral
நாற்பது	qirq	forty
நாலடியார்	nalatiyor	naladiar
நாளடைவில்	o&#39;z vaqtida	afterwards
நாளன்று	kun	on that date
நாளிதழின்	gazeta	newspaper
நாளிதழ்	har kuni	a journal
நாளிதழ்கள்	nashrlar	newspaper
நாளின்	kun	days'
நாளில்	kun	in day
நாளுக்கு	kun	day after day
நாளும்	kun	day
நாளை	ertaga	tomorrow
நாளைக்கு	ertaga	tomorrow
நாள்	kun	day
நாவலர்	navalar	novelor
நாவல்	romanlar	story
நாஸ்டாக்	nasdaq	nasdaq
நிகர	aniq	net
நிகழும்	hodisa	happening
நிகழ்கின்றன	vujudga keladi	presently
நிகழ்ச்சி	shou	program
நிகழ்ச்சிகளை	shoular	programs
நிகழ்ச்சியின்	shou	programme
நிகழ்த்திய	muallif:	conducted
நிகழ்ந்த	the	occurred
நிகழ்ந்தன	bo‘ldi	happened
நிகழ்முறை	jarayon	present way
நிகழ்வின்	hodisa	process
நிகழ்வில்	hodisada	occurende
நிகழ்வு	hodisa	event
நிகழ்வுகளின்	hodisalar	program
நிகழ்வுகளில்	hodisalar	events
நிகழ்வுகளும்	hodisalar	happenings
நிகழ்வுகளை	hodisalar	happenings
நிகழ்வுகள்	hodisalar	happenings
நிகழ்வை	hodisa	event
நிக்கல்	nikel	nikkal
நிக்கோபார்	nikobar	nicobar
நிச்சயமற்ற	noma&#39;lum	not having defnite
நிணநீர்	limfa	lympotic system
நிதி	moliya	fund
நிதியை	mablag&#39;lar	finance
நித்திய	abadiy	nithya sundarar
நினைத்த	fikrlar	thought
நினைத்து	fikrlash	thinking
நினைவகம்	xotira	memorial
நினைவாக	xotirada	memory
நினைவிடம்	eslamoq	memorial
நினைவில்	eslab qoling	in remembrance
நினைவு	eslatib o&#39;tamiz	memorial
நினைவுச்	yodgorliklar	in memory of
நின்ற	tik turib	stationary
நின்றது	turdi	in field
நின்று	tik turib	standing
நிபுணர்கள்	mutaxassislar	geographist
நிமிடத்திற்கு	daqiqa	minute
நியம	standart	standard
நியமனம்	uchrashuv	appointment
நியான்	neon	neon a gas
நியாமி	niamey	niamey capital city of niger
நியு	yangi	new
நியுஸிலாந்து	yangi zelandiya	new zealand
நியூ	yangi	new
நியூஒன்டர்ஸ்	niyuontarlar	new wonders
நியூசிலாந்தின்	yangi zelandiya	new zealand's
நியூசிலாந்தில்	yangi zelandiyada	new zealand
நியூசிலாந்து	yangi zelandiya	new zealand
நியூட்டனின்	nyutonning	newton of
நியூட்டன்	nyuton	newton
நியூயார்க்	nyu york	new york city
நிரந்தர	doimiy	permanent
நிரந்தரக்	doimiy	permanent
நிரந்தரமான	permanent	permanently
நிரப்பி	to&#39;ldiring	filled with
நிரலாக்க	dasturlash	programming
நிரலாக்கம்	dasturlash	copy
நிரலில்	dasturda	a sect
நிரல்	dastur	examples
நிரல்களை	odamlar	software items
நிரல்கள்	plaginlar	programs
நிரூபிக்க	isbotlang	to prove
நிர்ணயம்	tuzatish	conform
நிர்ணயிக்க	tuzatish	to determine
நிர்ணயிக்கப்படுகிறது	tuzatish	finalised
நிர்வாக	ma&#39;muriyat	adminstrative
நிர்வாகக்	boshqaruv	administration
நிர்வாகத்	ma&#39;muriyat	administrarte
நிர்வாகத்தின்	ma&#39;muriyat	adminstration
நிர்வாகத்தில்	ma&#39;muriyat	in administration
நிர்வாகத்தை	boshqaruv	management
நிர்வாகப்	ma&#39;muriyat	managing
நிர்வாகம்	ma&#39;muriyat	management
நிர்வாகி	ma&#39;mur	director
நிர்வாகிகள்	ma&#39;murlar	administrators
நிர்வாணம்	yalang&#39;ochlik	naked
நிறத்	rangi	color
நிறத்தில்	rangi	in the color
நிறமாலையியல்	spektroskopiya	spcetroscopy
நிறம்	rangi	color
நிறுத்தக்குறிகள்	tinish belgisi	full stops or punctuation marks
நிறுத்தம்	avtoturargoh	stoppage
நிறுத்தி	to&#39;xtatilgan	to stop
நிறுவ	o&#39;rnatish	establish
நிறுவனங்களின்	kompaniyalar	organisations
நிறுவனங்களில்	institutlar	companies
நிறுவனங்களும்	institutlar	firms
நிறுவனங்களை	institutlar	institutions
நிறுவனங்கள்	kompaniyalar	institutions
நிறுவனத்தால்	kompaniya	by the company
நிறுவனத்தின்	kompaniya	company's
நிறுவனத்தில்	kompaniya	corporate
நிறுவனமாகும்	kompaniya	company
நிறுவனமான	kompaniya	company
நிறுவனமும்	kompaniya	company
நிறுவனம்	kompaniya	company
நிறுவப்பட்ட	o&#39;rnatilgan	establishment
நிறுவப்பட்டது	topilgan	found
நிறுவல்	o&#39;rnatish	organization
நிறுவி	o&#39;rnatish	to create
நிறுவினர்	topilgan	launched
நிறுவிய	o&#39;rnatilgan	installation
நிறுவியது	o&#39;rnatilgan	established
நிறுவும்	o&#39;rnatish	to constitute
நிறைந்த	boy	occupy
நிறைய	ko&#39;proq	lots of
நிறைவு	tugatish	adequacy
நிறைவேற்ற	bajarish	execute
நிற்கும்	stendlar	standing
நில	quruqlik	earth
நிலக்கரி	ko&#39;mir	coal
நிலக்கிழாரியம்	feodalizm	feudalism
நிலங்களில்	kirish joyi	lands in
நிலங்களை	erlar	lands
நிலங்கள்	quruqlik	lands
நிலத்தடி	yer osti	underground
நிலத்தின்	erdan	lands
நிலத்திற்கு	quruqlik	in the land
நிலத்தில்	zamin	in the land
நிலத்தை	quruqlik	land
நிலநடுக்கம்	zilzila	earth quake
நிலப்	quruqlik	earth
நிலப்பகுதிகளில்	midlands	in lands
நிலப்பகுதியில்	materikda	in land
நிலப்பட	xaritalar	map
நிலப்படங்கள்	xaritalar	map
நிலப்படம்	xarita	map
நிலப்பரப்பின்	rassom	of the land
நிலப்பரப்பில்	quruqlik	landmass
நிலப்பரப்பு	rassom	land areas
நிலப்பரப்பை	quruqlik	geospatial
நிலம்	quruqlik	earth
நிலவான	oy	moon
நிலவிய	the	prevailed
நிலவியது	mana	existed,there was
நிலவியல்	geografiya	landscape
நிலவில்	oy	in the moon
நிலவு	oy	moon
நிலவுகின்றன	mana	surrounding
நிலவுகிறது	mana	prevail
நிலவும்	the	prevailing
நிலவே	nilave	moon
நிலா	nila	moon
நிலை	daraja	status
நிலைகளிலும்	darajalar	situation
நிலைகளில்	darajalar	levels
நிலைகளும்	shartlar	stages
நிலைகளை	lavozimlar	stages
நிலைகளையும்	statuslar	at different levels
நிலைகள்	lavozimlar	position
நிலைக்கு	kimga	to the present stage
நிலைத்	sabr qiling	position
நிலைத்து	barqaror	strong
நிலைப்பாடு	vaziyat	position
நிலைமை	holat	situation
நிலைய	aeroport	company
நிலையங்களில்	stantsiyalar	stations
நிலையங்கள்	stantsiyalar	center
நிலையத்தின்	markaz	station
நிலையத்தில்	da	at station
நிலையம்	salon	station
நிலையாக	barqaror	permanently
நிலையான	barqaror	stable
நிலையானது	barqaror	permanently
நிலையிலிருந்து	qayerdan	position
நிலையிலும்	garchi	position
நிலையும்	bronxospazm	situation
நிலையை	holat	position
நிலையைக்	ahvoli	status
நிலையைப்	holat	position
நிலையையும்	shartlar	a position
நிழல்	soya	shadow
நீ	siz	you
நீக்க	olib tashlang	to remove
நீங்கள்	siz	you
நீச்சல்	suzish	swimming
நீடிக்கும்	davom etadi	continiue
நீடித்த	bardoshli	for long time
நீடித்தது	davom etdi	lasted
நீண்ட	uzoq	longer
நீண்டகால	uzoq muddat	long time
நீதி	adolat	justice
நீதிக்கட்சி	adolat	party of justice
நீதித்துறை	sud tizimi	justice
நீதிபதி	sudya	judge
நீதிபதிகள்	sudyalar	judges
நீதிமன்ற	sud	court
நீதிமன்றத்தின்	sud	court
நீதிமன்றத்தில்	sudda	court
நீதிமன்றம்	sud	court
நீதியின்	adolat	judgement
நீயே	o&#39;zingiz	you
நீரானது	suv	water
நீரால்	suv bilan	by water
நீராவி	bug &#39;	vapour
நீரின்	suv	water
நீரில்	suvda	water
நீரிழிவு	qandli diabet	kidney failure
நீரும்	suv	water
நீரை	suv	water
நீரோட்டம்	oqim	water current
நீர்	suv	water
நீர்க்	suv	water
நீர்த்	suv	water
நீர்த்தாரைகள்	favvora	water pipe
நீர்ப்பாசனம்	sug&#39;orish	irrigation
நீர்ம	vodorodlangan	liquid
நீர்மம்	aqua	plasma
நீல	moviy	blue
நீலகிரி	nilgiris	ooty
நீலம்	moviy	blue
நீலான்	nilgai	blue
நீளமான	eng uzun	lengthy
நீளம்	uzunlik	length
நீளுருண்டை	tuxumsimon	three dimensional
நுகர்வு	iste&#39;mol	consume
நுகர்வோர்	iste&#39;molchi	consumers
நுட்ப	tasodif	electro
நுட்பங்கள்	texnika	technology
நுட்பத்தை	texnika	technique
நுட்பமான	subtitr	micro
நுட்பம்	texnika	technology
நுணுக்கமான	kompleks	complicated
நுண்	to&#39;qimachilik	micro
நுண்ணறிவு	tushuncha	intelectual
நுண்ணுயிரி	bakterial	it is a tiny thing like bactria,virus, amoeba
நுண்ணுயிர்	mikrobial	micropes
நுண்ணோக்கி	mikroskop	microscope
நுண்நோக்கி	mikroskop	microscope
நுண்மம்	bakteriyalar	virus
நுனியில்	uchida	tip
நுரையீரல்	o&#39;pka	liver
நுழைவாயில்	darvoza	entrance
நூஆ	nua	century
நூறு	yuz	hundred
நூற்றாண்டளவில்	asr	centuryvice
நூற்றாண்டின்	asr	century
நூற்றாண்டிலிருந்து	asrdan boshlab	from the century
நூற்றாண்டில்	asr	century
நூற்றாண்டு	asr	century
நூற்றாண்டுகளாக	asrlar davomida	the century
நூற்றாண்டுகளில்	asrlarda	centuries
நூற்றாண்டுகளுக்கு	asrlar davomida	century to
நூற்றாண்டுகள்	asrlar	century
நூற்றாண்டுக்குப்	asr	a century
நூற்றாண்டைச்	asr	pressure
நூற்றுக்கணக்கான	yuzlab	hundreds of
நூலகம்	kutubxona	library
நூலாகும்	risola	a book
நூலான	kitob	ancient book
நூலின்	ip	books
நூலிலும்	kitob	in the books
நூலில்	ip	books
நூலும்	kitob	book
நூலை	ip	book
நூல்	ip	book
நூல்களான	matnlar	treatise
நூல்களின்	matnlardan	according to books
நூல்களிலும்	matnlar	in the books
நூல்களில்	matnlarda	book
நூல்களும்	kitoblar	poem
நூல்களுள்	muhim ishlar	books
நூல்களை	matnlar	books
நூல்களைப்	kitoblar	books
நூல்களையும்	kitoblar	literatures
நூல்கள்	matnlar	books
நெஞ்சம்	yurakdan	hearted
நெடிய	uzun bo&#39;yli	long
நெடுங்காலமாக	uzoq muddatda	long long ago
நெடுஞ்சாலை	magistral yo&#39;l	high way
நெடுஞ்செழியன்	nedunchezhiyan	nedunchezhian a name given in tamil
நெட்	ned	net
நெட்டாண்டுகளில்	sakrash	leaf year
நெட்வொர்க்	tarmoq	network
நெட்ஸ்கேப்	netscape	netscape
நெதர்லாந்து	gollandiya	netherland
நெப்டியூன்	neptun	neptune
நெப்போலியன்	napoleon	nepolean
நெம்புகோல்	qopqoq	beam
நெய்தல்	to&#39;quv	a land called neithal
நெருக்கடி	inqiroz	crisis
நெருக்கமாக	yaqindan	close
நெருக்கமான	yopish	close
நெருக்கம்	yopish	colosure relationship
நெருப்பு	yong&#39;in	fire
நெறி	prinsiple	a way
நெறிகள்	aqllilik	ethics
நெறிமுறை	protokol	protocol
நெறிமுறையானது	protokol	protocol
நெல்	paddy	rice
நெல்லை	nex	state
நேச	ittifoqchilar	friendly
நேட்டோ	nato	nato
நேபாள	nepal	nepal
நேபாளம்	nepal	nepal a country
நேர	vaqt	time
நேரங்களில்	vaqtlarda	some times
நேரங்கள்	soatlar	timings
நேரடி	jonli	direct
நேரடியாக	to&#39;g&#39;ridan-to&#39;g&#39;ri	direct
நேரடியான	to&#39;g&#39;ri	direct
நேரத்தின்	vaqt	in time frame
நேரத்திற்கு	vaqt	to time
நேரத்திலும்	vaqt	every time
நேரத்தில்	vaqt	same time
நேரத்தை	vaqt	time
நேரத்தையும்	vaqt	time
நேரமில்லை	vaqt yo&#39;q	no time to spare
நேரமும்	vaqt	timing
நேரம்	vaqt	time
நேரவரிசை	neravaricai	timelime
நேரிடும்	xohlardim	to meet
நேரில்	shaxsan	in live
நேரு	neru	nehru(its a name)
நேருவின்	neru	nehru, name of a person
நேர்	to&#39;g&#39;riga	direct
நேர்ந்தது	mana	had
நேர்மறை	ijobiy	positive
நேர்மின்னி	proton	direct current
நேஷனல்	milliy	national
நைட்ரஜன்	azot	nitrogen
நைதரசன்	azot	nithresan
நைல்	nil	nile
நொடிக்கு	ikkinchi	seconds
நொதி	ferment	hormone
நொய்யல்	noyyal	noyyal
நோக்கங்களுக்காக	maqsadlar uchun	aim
நோக்கங்கள்	maqsadlar	principles
நோக்கமாகக்	maqsadlar	aim
நோக்கம்	maqsad	aims
நோக்கிச்	to&#39;g&#39;ri	aiming at
நோக்கிப்	kimga	towards
நோக்கிய	tomonga	look
நோக்கில்	qilish uchun	purpose
நோக்கு	vizyon	thought
நோக்குடன்	maqsad bilan	aim
நோக்கும்	outlook	looking
நோன்பு	ro&#39;za	celebraty
நோபல்	nobel	noble
நோபெல்	nobel	nobel
நோயாகும்	kasallik	decease
நோயானது	kasallik	diseases
நோயாளிகளின்	bemorlar	sick people
நோயாளிகளுக்கு	bemorlarga	for patients
நோயாளிகள்	bemorlar	patients
நோயாளியின்	bemorning	patient's
நோயின்	kasallik	in disease
நோயெதிர்ப்பு	immunitet	antibiotic
நோயை	kasallik	disease
நோய்	kasallik	desease
நோய்களின்	kasalliklar	diseases
நோய்களும்	kasalliklar	diseases
நோய்கள்	kasalliklar	sik
நோய்க்	kasallik	disease
நோய்க்கான	kasallik	for disease
நோய்க்காரணி	etiologiya	aetiology
நோய்த்	kasallik	disease
நோய்த்தொற்று	infektsion	infections
நோர்வேயின்	norvegiya	norway
ப	slaydshou	pa a letter in tamil
பகதூர்	bahadur	bahadur
பகலில்	kunduzi	in the day time
பகல்	ertalab	day
பகவத்	baghvat	bagavath gita a holy book
பகிடிவதை	pakitivatai	ragging
பகிர்ந்து	ulashish	share
பகுதிகளாக	ehtiyot qismlar	part
பகுதிகளாகப்	ehtiyot qismlar	part
பகுதிகளாகும்	maydonlar	parts
பகுதிகளான	maydonlar	places
பகுதிகளின்	maydonlar	part
பகுதிகளிலிருந்து	hududlardan	from areas
பகுதிகளிலும்	maydonlar	places
பகுதிகளில்	maydonlar	parts
பகுதிகளுக்கு	maydonlar	part
பகுதிகளும்	mintaqalar	parts
பகுதிகளை	qismlar	parts
பகுதிகளைக்	maydonlar	parts
பகுதிகளைப்	maydonlar	parts
பகுதிகளையும்	qismlar	part
பகுதிகள்	maydonlar	sections
