$	dollarni tashkil etadi	your
isbania	vatan	isbania
isbayn	o&#39;zini	isbayn
isbeheysi	imlo	isbeheysi
isbheysigii	o&#39;z-o&#39;zini davolash	isbheysigii
isbitaal	kasalxona	hospital
isbitaalada	kasalxonalar	hospitals
isbitaalka	kasalxonada	hospital
isboorti	sport	sports
isdaba	ketma-ketlik	repeat behavior
isdullayn	qaramlik	when you call upon him humiliating yourselves
isga	saha	moving from
isgaadhsiinta	aloqa	communication
isgaadhsiintu	aloqa	isgaadhsiintu
isgaarsiinta	aloqa	the communication
isha	ko&#39;z	the eye
ishkin	hashkin	cattle
isi	bosh	"""."
isjiiraya	tebranish	isjiiraya
iska	havo	just
iskaashi	hamkorlik qilish	cooperation
iskaashiga	hamkorlik	the cooperation
iskaga	yo&#39;qol	taught
iskama	u mavjud emas	but
iskoolada	maktablar	inducted
isku	bir xil	same
iskudar	qo&#39;shish	confluence
iskudayay	harakat qildi	iskudayay
iskugu	birga qo&#39;yish	they were grouped
iskula	xuddi shu	collective
iskuqabashada	mojaro	iskuqabashada
iskusoo	tushirish	iskusoo
iskuulada	maktablar	schools
iskuulka	maktabda	school
iskuulo	maktablar	iskuulo
iskuxidhka	tarmoq	iskuxidhka
iskuxigxiga	ketma-ketlik	iskuxixiga
isla	xuddi shu	be
islaam	islom	islam
islaama	bir xil	deviators; so
islaamay	quchoqladi	he became a muslim
islaamcarabi	tugmani o&#39;ynating	islaamcarabi
islaameen	qildi	under an obligation by becoming muslims
islaami	islom	make a muslim
islaamiga	islom	islamic
islaamiya	tugmani o&#39;ynating	struggling
islaamiyiinta	islomchilar	islaamiyiinta
islaamka	islom	islamic
islaamkaayuu	u musulmon	islaamkaayuu
islaamku	islom	islamic
islaamkuna	islom	addition, our islamic religion recommends
islaamnimada	islomiylik	reconvert
islaamnimadiisa	uning islom dini	islaamnimadiisa
islaamnimo	islom	islaamnimo
islaamoow	salom	islaamoow
islaamu	xuddi shu	islaamu
islaan	ajrashish	woman
islaanimo	ateizm	islaanimo
islaax	katlamoq	"islah ""islamic group"""
islam	islomiy	islam
islamarkaana	xuddi shu paytni o&#39;zida	and
islamarkaasna	xuddi shu paytni o&#39;zida	and
islamdu	islom	islamdu
islamic	islomiy	islamic
islamka	islom	islamic
island	orol	island
isleeg	teng	isleeg
isleegta	tenglamalar	isleegta
islii	eastleigh	islii
islofaakiya	disfunktsiya	islofaakiya
islofeeniya	shizofreniya	islofeeniya
isloveeniya	isloveniya	isloveeniya
isma	emas	did not
ismaaciil	ismoil	male somali name
ismaamulgoboleedka	boshsuyagi	ismaamulgoboleedka
ismaamulka	o&#39;ziga	autonomy
ismaamulo	o&#39;zini	ismaamulo
ismaan	tugmani o&#39;ynating	misunderstanding between
ismaandhaafkooda	ularning tushunmovchiligi	ismaandhaafkooda
ismaciil	ismoil	ismail
ismacil	iste&#39;foga chiqmoq	by our brother ismael
ismail	ismail	edna
isna	u aytdi	he also
isniin	dushanba	monday
iso	kelmoq	to undo
israaca	birga boring	the agreement
israaiil	israaiil	which
israailaye	abadiylik	israailaye
israel	isroillik	supports israel
israil	isroillik	israil
isreebreeb	saralash	isreebreeb
isse	loyihasi	isse
issisalaamya	hikoya	issisalaamya
isssssssslam	isssssssslam	isssssssslam
istaagay	to&#39;xtadi	he stood up
istaagey	to&#39;xtadi	stopped raining
istaagi	turmoq	stand
istaago	to&#39;xta	stand
istabta	zarb	istabta
istanbuul	nomuvofiqlik	changed and it became istanbul
istandharka	kompensatsiya	istandharka
istarliin	adashgan	sterling
isticmaal	foydalanish	use
isticmaalaa	foydalanadi	use
isticmaalaan	foydalanish	use
isticmaalaha	foydalanuvchi	using
isticmaalay	ishlatilgan	he used
isticmaalayaasha	foydalanuvchilar	users of
isticmaalayo	foydalanish	using
isticmaali	foydalanish	use
isticmaalka	foydalanish	use
isticmaalo	foydalanish	use
isticmaarka	foydalanish	isticmaarka
isticmaasho	foydalanish	use
isticmalaa	foydalanadi	pronoun
isticmalka	foydalanish	some uses
istiraaji	ehtiyot bo&#39;ling	istiraaji
istiraajiyada	strategiyalar	istiraajiyada
isu	o&#39;zlari	together
isufahmeen	ular birga yig&#39;ilishdi	isufahmeen
isugu	bir xil	together
isuma	bilmadim	not each other
iswiidhan	shvetsiya	sweden.
iswiisarland	shveytsariya	iswiisarland
iswiizerlaan	svinqerlar	switzerland
iswisarland	shveytsariya	iswisarland
isxaaq	ishoqning o&#39;g&#39;li	isaac
it	u	it
itaaliya	italiya	italiya
italiana	italiya	italiana
item	element	item
itoobiya	efiopiya	ethiopia
itoobiyaan	efiopiyaliklar	itoobiyaan
itoobiyaanka	habash	interest
itoobiyaereteriya	efiopiya	itoobiyaereteriya
itoobiyana	efiopiya	itoobiyana
itoopiya	dam olish	itoopiya
itopiyanka	tarqatish	itopiyanka
its	uning	its
iuyo	shovqin	iuyo
iwm	va boshqalar.	, etc.
iyaba	ona	they have
iyada	uni	her
iyadana	mening onam	also
iyadii	uni	she
iyadoo	bilan	while
iyadoon	holda	without
iyadu	ona	she
iyaduna	mening oilam	she
iyaga	ularni	them
iyagaa	ular	they
iyagana	cheklovlar	while they are
iyagoo	ularni	they
iyagoon	kanon	while they
iyagu	ularni	they
iyaguna	portlash	they are
iyana	ular ham	they also
iyo	va	and
iyoama	ha	iyoama
iyoturkigawaxaanuu	va toshbaqa	iyoturkigawaxaanuu
j	j	c
jaad	jaad	kind
jaadjaad	sehr	varieties
jaadka	sichqonchani	the sort
jaahiligii	johillar	jaahiligii
jaajuus	josus	spy
jaale	sariq	yellow
jaaliyadaha	uyushmalar	communities
jaalle	sariq	comrade
jaamac	universitet	jama
jaamaca	universitet	the place of worship
jaamacad	universitet	university
jaamacada	universitet	the osaka
jaamacadaha	universitetlar	universities
jaamacadda	universitet	university
jaamacadii	universitet	the
jaamacado	universitetlar	african universities have
jaamacadu	universitet	university
jaamcada	universitet	jaamcada
jaamow	ha	jaamow
jaantuska	diagrammasi	the diagram
jab	sinish	break
jabaan	singan	japan
jabaanlaakiin	singan	jabaanlaakiin
jaban	singan	cheap
jabay	singan	he broke
jabhad	jihod	liberation front
jabhada	yoriqlar	internationally
jabhadda	jang	the liberation front
jabhaddii	qurollangan	front
jabhadii	yoriqlar	first
jabhado	yoriqlar	waged by fronts against it
jabiyey	sindirdi	he annulled
jabkaas	yoriqlar	failure
jabouti	yaponcha	jabouti
jabriil	aprel	jibril
jabtay	singan	broken
jabuuti	jibuti	djibouti
jabuuticiisaha	evolyutsionist	djibouti (terrors)
jabuutiwaxaa	jibutida	jabuutiwaxaa
jabuutti	jabutdi	jabuutti
jacayl	sevgi	love
jacaylka	sevgi	love
jaceyl	sevgi	love
jacfar	sevgi	jafar
jaciir	po&#39;stloq	embarrassment
jacques	jakkalar	jacques
jagada	holati	the post
jago	qo&#39;llanma	direction
jahannamo	jahannam	hell
jakarta	sumka	jakarta
jama	odamlar	jama
jamaal	odamlar	jamal
jamaame	olomon	jamaame
jamac	ko&#39;plik	jama
jamacada	ko&#39;plik	jamacada
jamal	jamol	jamal
jameecada	jamoat	side
jameeco	jamoat	religious assembly
jamhuriyada	respublika	jamhuriyada
jamhuriyadda	respublika	the republic of
jamhuuriya	respublika	the republican
jamhuuriyad	respublika	republic
jamhuuriyada	respublika	republic
jamhuuriyadda	respublika	the republic of
janaayo	yanvar	january
janaraal	umumiy	general
jannaale	jan	jannaale
jannaayo	yanvar	january
jannada	jannat	heaven
janno	jannat	garden
jaraaidka	gazeta	newspapers
jaray	qirqib tashlash	he cut
jareen	qirqib tashlash	sliced
jareer	buvisi	somali tribe name
jariiban	jargon	herdesmen meeting in jarriban
jarmaankakuwaas	yosh	jarmaankakuwaas
jarmal	nemis	germany
jarmalka	nemis	germany
jaro	kesmoq	cut
jasiira	orol	is jazira cold
jasiirad	orol	island
jasiirada	orol	word qabil
jasiiradaha	orollar	surrounding islands
jasiirado	orollar	islands located
jasiiradood	orollar	islands
jawaabay	javob berdi	""""
jawaabeen	javob berdi	""""
jawaabey	javob berdi	answered
jawaabo	javoblar	answers to
jawhar	vaqt	gem
jawi	atrof-muhit	environment
jawiga	atmosfera	weather
jaziirada	orol	jaziirada
je	boring	je
jebiyey	sindirdi	he broke
jecel	sevgi	love
jecelyahay	sevdi	loves
jecelyihiin	sevgi	love
jeclaa	sevdi	he loved
jeclaan	sevgi	like
jeclayn	yoqtirmaslik	don't like
jeclaystay	sevdi	he longed for
jeeda	qarshi tarafga o&#39;zgartirmoq	watch
jeedaa	tegishli	mean
jeedaan	ortga burilmoq	as
jeeday	o&#39;girilib	he intended
jeediyana	burish	jeediyana
jeediyay	taklif qildi	occasion
jeediyeen	taklif qildi	have suggested
jeediyo	takliflar	under the trees
jeedo	burish	aim at
jeelle	jele	jelle
jeer	marta	times
jeerin	dezinfektsiyalash	tree producing resin and edible fruit
jeex	yirtmoq	strip
jeexwaxaana	yirtib tashlash	jeexwaxaana
jen	yetib bormoq	gen.
jenaraal	umumiy	jenaraal
jenaraalkii	umumiy	jenaraalkii
jeneraal	general	general
jeneral	umumiy	winning
jesus	iso	jesus
jibaaran	kvadrat	double-click
jibiyay	sindirdi	by negotiating
jibriil	jabroil	gabriel
jicib	silkitmoq	nut tree
jid	bir yo&#39;l	path
jideeyay	saqlandi	jideeyay
jideeyey	saqlandi	he legalized
jidka	yo&#39;l	the way
jidkaas	shu yo&#39;l	crossed
jidkan	bu yerga	along
jidkii	yo&#39;l	on the road
jidle	omad	jidle
jifadiisa	uning o&#39;g&#39;li	jifadiisa
jigjiga	hazil	jigjiga
jihaad	jihod	jihad
jihaaday	yo&#39;naltirilgan	jihaaday
jihaadka	jihod	the jihad
jiho	davlat	direction
jiidaas	bu sohada	jiidaas
jiidasho	diqqatga sazovor joy	attraction
jiido	sochiq	stretch
jiilaal	qish	dry season
jiilasha	avlodlar	jiilasha
jiilashii	avlodlari	jiilashii
jiilkii	avlod	new generation
jiinow	hushyor	jiinow
jiir	kalamush	rat
jiita	5 daqiqa	jiita
jiitaan	sochiq	or attention
jijeele	aldamchi	somali nickname
jilaa	aktyor	movie star
jilaamasrax	jilaamasrax	jilaamasrax
jili	bili	jili
jilib	tizza	knee
jilibkiisa	tizzasi	jilibkiisa
jilicsan	yumshoq	soft
jimcaale	sevib qolgan	friday
jimcale	umuman olganda	somali male name
jimce	juma	friday
jimcihii	juma kuni	on friday
jimco	juma	friday
jinka	og&#39;zingni	the parity
jiq	shovqin	jig
jir	qari	old
jira	kutmoq	there are
jiraa	u yerda	is there
jiraan	mana	there are
jiraba	aslini olib qaraganda	everything
jirae	mana	jirae
jirataaa	mana qayerda ekansan	jirataaa
jiray	mavjud edi	he was
jiraye	mavjud	at least left some
jiraysoomaaliya	somaliya	jiraysoomaaliya
jireen	bo&#39;lgan	they were
jireena	u erda edi	jireena
jireenan	bo&#39;lgan	jireenan
jireenka	mavjudlik	with ever-existing traditional conciliation
jireenwaxee	bo&#39;lgan	jireenwaxee
jirey	mavjud	used
jiri	foydalanish	be
jirin	yo&#39;q	there is no
jirinhaddaba	umuman	jirinhaddaba
jiritaanka	mavjudlik	the existence
jiritaankeeda	uning mavjudligi	are not mature enough for
jirka	tanasi	the body
jirkii	tanani	jirkii
jirney	biz edik	used
jiro	mavjud	there is no
jirsaday	buriladi	he took shelter
jirta	mavjud	there is
jirtaa	u yerda	is there
jirtay	mavjud edi	was
jirteen	mavjud	used
jirtey	mavjud edi	used to
jirto	mavjud	there is no
jirtowax	u yerda	jirtowax
johannesburg	yoxannesburg	johannesburg
johnston	johnston	johnston
joog	turmoq	stay
jooga	ichida	in
joogaa	bu yerda	he is
joogaan	turmoq	at
joogaanba	bor	wherever
joogaba	ko&#39;rinadi	heaven
joogay	da	he stayed
joogayna	da	joogayna
joogeen	hozir bo&#39;lishgan	while they were there
joogeene	biz shu yerdamiz	diaspora or in
joogey	hozir bo&#39;lgan	i stayed
joogga	balandligi	the act of waiting
joogno	turmoq	at
joogo	hozirgi	stay
joogsanmaanta	turg&#39;unlik	joogsanmaanta
joogta	turmoq	permanent
joogtaa	bormi	she is
joogtada	doimiy	permanent
joogtay	hozir bo&#39;lgan	crowd
joogto	doimiy	permanent
joorjiya	jurnal	joorjiya
joqof	jokof	joqof
jowhar	johar	jowhar
jsiirada	js	jsiirada
jsl	jsl	jsl
jubadda	palto	jubba region
jubba	jubba	juba
jubbada	yubiley	jubba
juli	iyul	juli
july	iyul	july
julywaxaa	iyul	julywaxaa
jumhūriyyat	jumhriyat	jumhuriyyat
june	iyun	june
junna	junna	junna
juqraafi	geografiya	geography
juqraafiga	geografiya	the geography
juquraafi	geografiya	juquraafi
juun	juun	june
k	k	k
ka	a	from
kaa	siz	you
kaafka	orqasida	the k
kaaga	sizdan	you
kaah	kah	radiation
kaaha	nurlanish	the first glimmer of light
kaahin	kechikish	kahin
kaakici	o&#39;zingni bos	kaakici
kaalin	roli	role
kaalinta	roli	position
kaalintii	roli	lessons
kaalmada	yordam	assistance
kaalmadii	yordam	aid
kaalmeeye	yordamchi	kaalmeeye
kaalmo	yordam	help
kaalo	kel	charity
kaam	lager	; its
kaar	karta	card
kaaraan	mumkin	karan district
kaariye	o&#39;tkazgich	"kariye ""name"""
kaarkuba	duradgor	kaarkuba
kaas	qaysi	that
kaashanayaan	hamkorlik qilish	work together
kaasi	anavi	that
kaasoo	jssv	from
kaatooliga	katolik	kaatooliga
kab	poyafzal	shoe
kabaal	tutqich	lever
kabad	javon	kabad
kabadan	bundan ko&#39;proq	more than usual
kabaha	poyabzal	shoes
kabataane	poyabzal	kabataane
kabaxay	chapga	he grew out of
kabaxsan	orqasida	are treated a very bad hospitality
kabaxsanida	evakuatsiya	kabaxsanida
kabel	kabel	kabel
kabexeen	o&#39;tkazib yuborish	kabexeen
kabo	poyabzal	shoes
kabsuuma	tobora ko&#39;proq	kabsuuma
kabtay	tiklash	he recovered
kaca	ko&#39;tarilish	up
kacaan	inqilob	revolution
kacaanka	inqilob	the revolution
kacaankii	inqilob	the revolution
kacab	tarang	kacab
kacay	o&#39;rnidan turdi	abbas
kacaydhinaca	bu gal	kacaydhinaca
kacaye	isyonchi	kacaye
kacbada	g&#39;alayon	foundations
kacbadda	qo&#39;zg&#39;olon	kacbadda
kacbadiinnii	sizning tarbiyangiz	kacbadiinnii
kacdoon	qo&#39;zg&#39;olon	an uprising
kacdoonka	isyon	connection
kacdoonkii	qo&#39;zg&#39;olon	the riots
kadabkii	eshik	kadabkii
kadagaalami	xavotir olmang	fought at
kadanbaysay	qisqa vaqt ichida	kadanbaysay
kadanbeeyay	so&#39;nggi paytlarda	this question and similar others were taking
kaday	tarang	kaday
kaddib	keyin	after
kadhacady	bu gal	kadhacady
kadhacay	bu sodir bo&#39;ldi	second phase was for
kadhashay	sen yutqazding	kadhashay
kadhiseen	buzildi	kadhiseen
kadib	keyin	after
kadibna	undan keyin	and then
kadin	karta	herd of camels
kafadood	tsent	(
kaftan	hazil	joke
kaga	tasavvur qiling	in
kagsoo	uni yolg&#39;iz qoldiring	kagsoo
kahadhay	uzr	kahadhay
kahelay	topdi	kahelay
kahor	oldin	before
kaimd	kaimd	kaimd
kajira	yo&#39;qol	that in
kajirin	hech qachon kutmang	kajirin
kakoobantahay	murakkab	kakoobantahay
kakoobanyahy	murakkab	kakoobanyahy
kal	kal	last year
kala	alohida	with
kalabaxaan	split	kalabaxaan
kalana	boshqa	other
kalandar	taqvim	kalander
kalandarka	taqvim	kalandarka
kalanderka	taqvim	kalanderka
kalasaaraha	tasniflagich	kalasaaraha
kalasaaridda	tasniflash	kalasaaridda
kalawareeg	aylanmoq	kalawareeg
kalayihiin	farq qiladi	kalayihiin
kale	boshqa	other
kaleba	shuningdek	other
kalee	boshqa	like other
kalena	boshqa	other
kalgacayl	mehr	love
kali	yolg&#39;iz	alone
kaligaa	yolg&#39;iz	kaligaa
kaligii	yolg&#39;iz	dictator
kaligiii	yolg&#39;iz	kaligiii
kalimada	so&#39;z	word
kalinimada	yolg&#39;izlik	; so
kaliya	shunchaki	only
kaliyata	yolg&#39;iz	kaliyata
kalluun	baliq	fish
kalluunka	baliq	fish
kalmada	so&#39;z	kalmada
kalmadduu	uning so&#39;zi	speech
kalo	salom	also
kaloo	shuningdek	also
kalsiduu	u ko&#39;tarildi	kalsiduu
kalsooni	ishonch	confidence
kalsooniduu	uning o&#39;ziga bo&#39;lgan ishonchi	who loose their confidences are mainly broken hearted
kaluunka	baliq	fish
kalyaha	buyrak	kalyaha
kama	o&#39;rniga	not
kambodiya	kamuflyaj	kambodiya
kamid	orasida	one of
kamida	rasm	embody
kamidtahay	siz	with truth;
kamidyahay	tegishli	kamidyahay
kamiruun	kamera	kamiruun
kamma	kamma	by chance
kamman	rasm tasviri	kamman
kan	a	this
kana	siz	and
kanaal	kanal	kannal
kanaalka	kanal	sameysa
kanada	kanada	canada
kaneeco	pashsha	mosquito
kani	bu	this
kaniisad	cherkov	church
kaniisada	cherkov	church
kaniisadda	cherkov	the church
kaniisaddii	cherkov	the russian church showing the highest honor
kaqaatay	dan olingan	kaqaatay
kara	maydalash	can
karaa	mumkin	can
karaadsaday	deb so&#39;radi	request
karaamadii	ruhoniy	restore
karaamiyo	ruhoniy	karaamiyo
karaan	mumkin	can
karale	carle	karale
karanle	karantin	somali sub clan name
karayn	mumkin	respite
karee	qaymoq	many
kari	qo&#39;shimcha	cook
kariimka	qaymoq	the being that is worthy of veneration
karim	karim	karim
karin	ko&#39;proq	cannot
karinwayadii	oshpazlar	karinwayadii
kariyey	pishirilgan	he cooked
karkabadii	ikkinchi	karkabadii
karl	karl	karl
karnaa	biz bajara olamiz	we can
karno	mumkin	we can
karo	to&#39;qnashuv	can
kartaa	mumkin	can
kartaan	siz .. qila olasiz; siz ... mumkin	you cannot
karti	qobiliyat	ability
kartid	siz .. qila olasiz; siz ... mumkin	can
karto	mumkin	can
kartoonka	karton	kartoonka
karuur	mashina	karuur
karuurka	ortishi	the sour camel's milk
kas	kas	intelligence
kasakhstan	qobaqistondan	kasakhstan
kasbaday	kasb etdi	he earned
kashiisaba	ularning qismi	kashiisaba
kasi	yo&#39;q	for a people who understand
kasii	uni saqlang	out of
kasoo	dan	by
kasoobaxa	qaynatib oling	the boil
kasoojeeda	qarama-qarshi	kasoojeeda
kasoojeeday	dan	kasoojeeday
kasoojeedeen	qayerdan	kasoojeedeen
kasooo	ajratmoq	by
kasta	har biri	every
kastaa	har biri	every
kastaba	ammo	however
kastana	baribir	and every
kaste	nima bo&#39;lsa ham	cognizant of all things
kasto	hamma narsa	every
kastoo	garchi	even though
kastuu	qaramay	though
katagay	chapga	katagay
katahay	kate	katahay
katalaaniyawadanka	kataloniyaliklar	ruled the land
katalin	katalizator	katalin
katalinaayay	katalizator	katalinaayay
katalinaysaykadib	keyin	katallinaysaykadib
katalinjiratay	aralashdi	katalinjiratay
katalinjirtay	aralashdi	katalinjirtay
katay	urish	katay
katirsan	quyidagi	embody
katirsanayd	dan	katirsanayd
katurjumayaa	bo&#39;rttirib yuborilgan	katurjumayaa
kaw	kelmoq	he killed
kawayn	katta	creation
kawsaday	qaytarib olingan	kawswday
kaxaystay	olib ketdi	he took along
kaxiga	keyingi	kaxiga
kay	kay	defend yourself from me
kayaro	shovqin	at least
kaydka	aksiya	the reserve
kaydsan	saqlanadi	potential
kayimi	kel	kayimi
kaymaha	o&#39;rmonlar	alone
kaymo	o&#39;rmon	forests
kaynaan	tejash	velocity
kaysaha	oyin	kaysaha
kbps	kbit / sek	kbps
kediye	xush kelibsiz	kediye
keebka	shkafda	the trigger
keena	olib kel uni	bring
keenadiid	olib keling	kennadeed
keenay	olib keldi	brought
keeneen	olib keldi	brought
keeni	olib keling	bring
keeno	olib keling	bring
keentay	sabab bo&#39;ldi	brought
keenye	tayinlangan	always to invent balladry
keli	yolg&#39;iz	only
keliga	yolg&#39;iz	the state of being the only one
keligiis	yolg&#39;iz	alone
keliya	faqat	only
kennedy	kennedi	kennedy declared that russian missiles have been brought
kenya	keniyalik	kenya
kexeeyey	boshqariladi	kexeeyey
key	kalit	, key
keying	keying	keying
khaalid	xato	khalid
khaalida	xato	khaalida
khaas	maxsus	special or private
khaasatan	ayniqsa	migrants and refugees especially those from
khaatumkii	haatum	khaatumkii
khabiir	mutaxassis	expert
khad	siyoh	ink
khadiija	xadicha	khadija
khadiijo	fitna	kadijo
khadka	chiziq	line
khahin	noto&#39;g&#39;ri	khahin
khal	sirka	vinegar
khaladaad	xatolar	mistakes
khalaf	siqilish	khalaf
khaliif	xalifa	khalif
khaliifkii	xalifa	khaliifkii
khaliijka	sirka	gulf
khaliil	xalifa	submits himself entirely
khalqay	buzilgan	khalqay
khalqigu	tartibsizlik	khalqigu
khamiis	payshanba	thursday
khamiista	payshanba kuni	the thursday
khasaaray	behuda	lost
khasab	majburiy	force
khasbay	majburiy	he forced
khatar	xavfli	danger
khayr	yaxshi	good
khayraadka	manbalar	resources
khayriyada	manbalar	khayriyada
khayrka	yaxshi	the good fortune
khayrkiisa	uning yaxshiligi	khayrkiisa
kheeraadkaan	bu manbalar	kheeraadkaan
kheyraad	manbalar	communities' strengths
kheyraadka	manbalar	resources
kheyre	yaxshi	kheyre
khibrad	tajriba	experience
khilaaf	qarama-qarshilik	difference
khilaafaa	rozi emas	khilaafaa
khilaafeen	rozi bo&#39;lmadi	they
khilaafka	tortishuv	the difference
khilaafsan	mos kelmaydigan	contradicting
khiyaamay	aldangan	he cheated
khiyaamo	aldash	trick
khubarada	mutaxassislar	foreign experts
khubaraduna	va mutaxassislar	khubaraduna
khubaro	mutaxassislar	experts
khubdadii	misol uchun	the speech of the
khuduub	manzili	khuduub
khuseyma	qo&#39;llanilishi mumkin	khuseyma
ki	shunday qiling	them takes away thirst altogether
kibirka	mag&#39;rurlik	the arrogance
kibis	non	bread
kibroo	dimog&#39;dor	kibroo
kici	turmoq	rise
kii	k	the one
kiiba	kalit	she does
kiikii	ki	kiikii
kiimikaad	kimyoviy	kiimikaad
kiin	bitta	you
kiina	voh xudoyim	your
kiinya	qarindoshlar	kenya
kilaab	klub	nightclub
kililka	qo&#39;ltiq	kilika
kinaana	senda bor	kinaana
king	shoh	king
kingdom	qirollik	kingdom
kirishtaan	xristian diniga oid	christian man
kiristaan	nasroniylar	christian
kiristanka	nasroniylar	kiristanka
kiristanku	sizning nasroniyligingiz	kiristanku
kismaayo	kismayo	kismayo
kismaayobaydhabo	kismayoyou	kismaayobaydhabo
kitaab	kitob	a book
kitaabka	kitob	book
kitaabkan	bu kitob	this book
kitaabkii	kitob	book
klm	klm	klm
km	km	km
kmg	kmg	kmg
knaan	kannan	knaan
knights	ritsarlar	knights
known	ma&#39;lum	known
koban	koban	koban
kobash	o&#39;sishi	kobash
kobcinta	boyitish	developing
kohay	kohay	kohay
kol	qutb	time
kolayga	savat	kolayag
koleyga	basketbol	basketball
kolkaas	keyin	at that time
kolkii	bir marta	when
kolkuu	qachon	when he
kollay	hatto	kollay
kolombiya	xoroid	kolombiya
kolonbiya	mustamlaka	columbia
kolse	mantar	back
kolyga	kolyaga	kolyga
kombuyuutarka	kompyuter	computer
komoros	komorlar	komoros
konfur	sozlash	konfur
kong	kong	kong
kongo	prezervativ	kongo
koob	kubok	cup
koobaad	birinchi	first
koobaadmarkii	sizning birinchi	koobaadmarkii
kooban	xulosa	limited
koobantahay	cheklangan	key components of
koobantahy	cheklangan	koobantahy
koobanyahay	cheklangan	it's assorted dish
koobay	umumlashtirildi	he summarized
koobaya	umumlashtirmoqda	that comprises these major sins
koobayo	nusxalangan	that summarizes
koobayso	umumlashtirmoq	koobayso
koobi	nusxa ko&#39;chirish	copy
koobkii	chashka	cup
koobmaa	o&#39;rash	koobmaa
koobnaa	cheklangan	it was coiled
koobnaan	xulosa	contain
koobnaayeen	cheklangan edi	composed
koobnayd	cheklangan	which consisted of
koobo	kubok	300persons
kooda	ularning	their
koofi	shlyapa	cap
koofil	shlyapa	kofil
koofur	janubda	south
koofureed	janubda	south
koofurgalbeed	janubi-g&#39;arbiy	southwest
koofurta	janubga	south
koonfur	janubda	south
koonfurba	janubga	koonfurba
koonfurbari	janubi-g&#39;arbiy	south east
koonfureed	janubga	south
koonfureedka	janubi	koonfureedka
koonfureedna	janubga	koonfureedna
koonfurta	janubga	south
koonfurtu	janubi	for south mogadishu
koonfurtuna	janubi	koonfurtuna
koontaroolla	boshqaruv	koontaroolla
kooraha	piyozlar	kooraha
koosar	kursi	koosar
kooshin	kursi	koshin
koowaad	birinchi	first
koox	guruh	group
kooxaha	guruhlari	groups
kooxda	guruh	the team
kooxdii	guruh	the team
kooxo	guruhlari	groups
kor	yuqorida	up
koraaye	hammasi	koraaye
koray	katta yoshdagi	he grew up
koraysaaye	emas	karaysaaye
kordhaha	o&#39;sish	kordhaha
kordhi	o&#39;sish	increase
kordhinta	kengaytma	the increase
kordhiyay	oshdi	increased
kordhiyey	uzaytirildi	he increased
kordhiyo	kengaytmalar	increase
kordhoban	oshdi	kordhoban
kordufan	oshdi	kordufan
kore	yashil rangda	above
korkeeda	ustiga	on top of
korkiisa	ustiga	on top
korkooda	ularning ustiga	them
kormerin	boshlamoq	kormerin
korneel	polkovnik	korneel
korneyl	o&#39;smoq	korneyl
korodhsanayn	ko&#39;paytirilmagan	increase
korontada	elektr energiyasi	electricity
koronto	elektr energiyasi	electricity
kororsi	darsliklar	e-mail:
korreeye	baland	korreeye
korreeyetrololololololololololoibfhgidfgdufhgsdghdfbgdjbgdsjbgjsdbgjsbgjdfsklgkdsjfbgdfskbgdskjlbglkdfjbgkldfbgkdfbgkldsfbgskldfbgksldgblkdfsbglksdgbksdggggggggggb	topfetgloftfgggggffgggdfggbbkdlkkgbkklgkkggkkgfkggkkgfkgsgfggsggkggkkgfkgsgfggsggkggklgddggklgdggklgdggglgggklggdgggkglgggglgggglgggglggdlgggglggdlggggdggggggggglggglggglggglgglgglgglgglgglgglgglgglgglgglgglglglgglgglglgglglggts	korreeyetrololololololololololoibfhgidfg
kow	har biri	one
kowaad	birinchi	first
ku	siz	in
kubada	koptok	basketball
kubadda	koptok	soccer
kudhaqan	yoqilgan	kudhaqan
kudhaqanto	amaliyot	kudhaqanto
kudhaw	yaqin	kudhaw
kudhintay	sen vafot etding	kudhintay
kufaa	g&#39;azab	kufaa
kufsi	zo&#39;rlash	rape
kugu	siz	you
kugula	sizga	with
kuguulaysatay	g&#39;olib	kuguulaysatay
kuhadalaan	siz bilan tanishmoq	kuhadalaan
kuhadlaan	siz bilan tanishmoq	kuhadlaan
kuhanynta	xirillash	kuhanynta
kuhaysa	siz	kuhaysa
kujiraan	shu jumladan	is what is in
kujiray	kiritilgan	kujiray
kula	qayg&#39;urmoq; o&#39;zini ehtiyot qilmoq	with
kulahaa	ko&#39;rishguncha	say about
kulahayd	siz u yerda edingiz	kulahayd
kulan	uchrashuv	meeting
kulana	sizni tomosha qilish	and
kulansiine	siz bilan tanishmoq	kulansiine
kulayl	issiq	hot
kulaylkiiye	isitgich	kulaylkiiye
kuleel	issiq	heat
kuleelka	issiq	the warmth
kuleelkeeda	issiq	kuleelkeeda
kuleh	issiq	speakers who are
kuliyada	kollej	wherein
kuliyda	hammasi	kuliyda
kulligood	ularning hammasi	all of them
kulliyada	kollej	kulliyada
kulliyadda	kollejda	the college
kulma	uchrashmoq	whether she
kulmay	uchrashdi	met
kulmeen	uchrashdi	he met
kulmiye	kümülatif	kulmiye party
kulmo	uchrashmoq	meet
kulul	issiq	hot
kulushahay	issiq	it is very hot
kuma	va	not
kumaankun	bosh	thousands upon thousands
kumalahan	shart emas	kumalahan
kuman	jssv	were thousands
kumanaan	minglab	thousands
kumanyaal	minglab	thousands
kumanyaalkii	minglab	kumanyaalkii
