$ tỉ	$ અબજ	$ billion
nghĩ	વિચારો	think
nghĩa	અર્થ	meaning
nghẽn	ભીડ	jam
nghếch	મોટેથી	stupid
nghề	વ્યવસાય	career
nghệquận	કલા	art district
nghỉ	વેકેશન	relaxation
nghị	ભલામણો	think
ngo	ખીલવું	ngo
ngoan	સારો છોકરો	good
ngoc	એનજીઓસી	"(term should be ""ngọc"") gem (n.)"
ngon	સ્વાદિષ્ટ	delicious
ngoài	બહાર	outside of
ngoại	વિદેશી	external
ngoạn	હંફાવવું	spectacular
ngoặc	કૌંસ	bracket
ngoặt	વળો	landmark
ngu	ઊંઘ	stupid
ngung	એનજીંગ	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	મૂળ	reason
nguyền	શ્રાપ	curse
nguyện	વ્રત	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	ચંદ્ર	moon
nguôi	શાંત	fade away
nguồn	સ્ત્રોત	source
nguời	લોકો	people
nguỵ	મૂર્ખ	camouflage
ngà	હાથીદાંત	russian
ngàn	હજાર	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	શાખા	sector
ngào	મીઠી	sweet
ngày	દિવસ	day
ngách	વિશિષ્ટ	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	મૂર્ખ	chinese ethnic group living in the vietnamese highlands near the china border
ngán	કંટાળો	to be tired of
ngáng	ngáng	stop
ngát	બેભાન	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	બેંક	money
ngây	ખાલી	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	નગાઈ	ngai
ngò	પીસેલા	coriander
ngó	જુઓ	to look (v.)
ngói	ટાઇલ	tile or shingle
ngón	આંગળી	a finger (n.)
ngót	સંકોચન	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	ભાષા	manifesto
ngông	હંસ	eccentric
ngõ	લેન	lane
ngùi	ગંધ	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	ડબ્બો	prevent
ngũ	ઊંઘ	rank
ngơ	અવગણવામાં	ignored (adj.)
ngơi	આરામ	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	ફિશર	fishermen
ngưng	બંધ	stop
ngưu	બળદ	buffalo
ngươi	તમે	an ancient form of address equivalent to thou or thee (n.)
người	લોકો	people
ngưỡng	થ્રેશોલ્ડ	religious
ngược	.લટું	opposite
ngạc	આશ્ચર્ય	surprise
ngạch	ક્રમ	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	બેંક	bank
ngạnh	બાર્બ્સ	self-willed
ngạo	ઘમંડી	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	અસ્પષ્ટતા	stuffy
ngấm	રેડવામાં	draw
ngất	ચક્કર	unconscious
ngầm	ગર્ભિત	underground
ngần	અચકાવું	hesitate
ngẩn	મૂંઝાયેલું	froze
ngẫm	મનન કરવું	think
ngẫu	રેન્ડમ	ngẫu nhiên= random
ngậm	લોઝેન્સ	keep
ngập	પૂર	flood
ngắm	ચિંતન કરવું	to contemplate or look admiringly at something (v.)
ngắn	ટૂંકું	short
ngặt	કડક	strict
ngọ	બપોર	horse
ngọc	મણિ	pearl
ngọn	ટોચ	top
ngọt	મીઠી	sweet (adj.)
ngồi	બેસવું	sit
ngộ	જ્lાન	ngo
ngột	અચાનક	sudden
ngớ	મૂર્ખ	silly
ngời	લોકો	bright
ngỡ	વિચાર્યું	surprised
ngợi	વખાણ	praise
ngợm	તોફાની	naughty
ngục	જેલ	dungeon
ngụm	ચૂસવું	sip
ngụy	વી	puppet
ngủ	ઊંઘ	sleep
ngủi	ટૂંકું	"(should be ""ngắn ngủi"") short-lived"
ngứa	ખંજવાળ	itchy
ngừ	ટ્યૂના	tuna
ngừa	અટકાવો	prevent
ngừng	બંધ કરો	to cease (v.)
ngửa	ચહેરો	supine
ngửi	ગંધ	to smell
ngữ	ભાષણ	term
ngự	રહેવું	defend
ngựa	ઘોડો	horse
ngực	છાતી	chest
nha	દંત ચિકિત્સક	dental
nhakẻ	બાળક	nha-ke
nham	લાવા	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	ધૂપ	incense
nhanh	ઝડપી	fast
nhat	nhat	nhat
nhen	ફરી સળવળ્યો	rekindle
nhi	બાળકો	junior
nhiên	કોર્સ	tuy nhiên= however
nhiêu	ઘણું	how many
nhiều	ઘણું	numerous
nhiễm	સંક્રમિત	infect
nhiễu	અવાજ	noise
nhiệm	ફરજ	task
nhiệt	ગરમી	heat
nhk	nhk	nhk
nhs	એનએચએસ	nhs
nhu	ગમે છે	demand
nhuận	નફો	leap year
nhuệ	nhue	elite
nhuộm	રંગ	dye
nhàn	નિષ્ક્રિય	leisure
nhàng	નરમાશથી	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	ભેળવી	to fall headlong
nhác	સુસ્ત	coward
nhái	ક્લોન્સ	illegal copy
nhánh	શાખા	branch
nháp	ડ્રાફ્ટ	draft
nháy	સામાચારો	to flash or blink (v.)
nhâm	ડૂબવું	leap
nhã	સ્વાદિષ્ટ	"(term should be ""thanh nhã"") elegant"
nhãn	લેબલ	"(term should be ""gán nhãn"") to affix a label"
nhét	મૂકો	put
nhì	બીજું	second (adj.)
nhìn	જુઓ	to look (v.)
nhí	બકબક	children
nhím	હેજહોગ	porcupine
nhòm	જુઓ	to peep (v.)
nhóc	બાળક	brat
nhóm	જૂથ	group (n.)
nhô	બહાર નીકળવું	emerge
nhôm	એલ્યુમિનિયમ	aluminum (n.)
nhúng	ડૂબવું	embed
nhút	શરમાળ	shy
nhăn	કરચલીઓ	wrinkle
nhĩ	કર્ણક	turkey
nhũ	પ્રવાહી મિશ્રણ	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	ભ્રષ્ટાચાર	bribery
nhơn	ગુણાકાર	nhon
như	જેમ કે	like
nhưng	પરંતુ	but
nhương	લાળ	(proper noun) vietnamese first name
nhường	માર્ગ આપ્યો	yield
nhưỡng	ચીકણું	soil
nhược	નબળાઇ	weak
nhượng	છૂટછાટો	concession
nhạ	nhạ	nha
nhạc	સંગીત	music
nhạn	ગળી	bird
nhạo	મજાક	ridicule
nhạt	નિસ્તેજ	light
nhạy	સંવેદનશીલ	sensitive
nhảy	નૃત્ય	jump
nhấc	લિફ્ટ	lift
nhấm	ચૂસવું	rodent
nhấn	દબાવીને	to press (v.)
nhất	શ્રેષ્ઠ	most
nhầm	ખોટું	misunderstand
nhầy	નાજુક	glutinous
nhẫn	રિંગ્સ	patient
nhậm	સ્ટેમ્પ્ડ	inaugurate
nhập	આયાત કરો	penetrate
nhậu	પીવું	drink
nhậy	સંવેદનશીલ	sensitive
nhắc	પ્રોમ્પ્ટ	to remind (v.)
nhắm	ઉદ્દેશ	aim
nhắn	સંદેશ	message
nhằm	લક્ષ્ય રાખ્યું છે	for the purpose of (adv.)
nhẵn	સરળ	smooth
nhặt	ચૂંટો	pickup
nhẹ	પ્રકાશ	light
nhẹn	ચપળ	nhanh nhẹn= fast/nimble
nhị	પુંકેસર	sensitive
nhịn	ત્યાગ કરવો	fasting
nhọ	કમનસીબ	smear
nhọn	તીક્ષ્ણ	sharp (adj.)
nhỏ	નાના	small
nhỏ|cây	નાના | વૃક્ષ	small|tree
nhỏ|một	નાના | એક	small | one
nhỏ|phải|	નાના | અધિકાર |	small|right
nhỏ|phải|px|	નાના | અધિકાર | px |	small | have | px |
nhỏ|phải|px|bức	નાના | અધિકાર | px | ચિત્રોમાં	grape / fade / px / buc
nhỏ|phải|px|cây	નાના | અધિકાર | px | વૃક્ષ	px spicy grape fade
nhỏ|phải|px|khu	નાના | અધિકાર | px | ઝોન	small|right|px|area
nhỏ|phải|px|michael	નાના | અધિકાર | px | માઇકલ	small|right|px|michael
nhỏ|phải|px|máy	નાના | અધિકાર | પીએક્સ | મશીન	small | right|px|machine
nhỏ|phải|px|một	નાના | અધિકાર | પીએક્સ | એક	small|right|px|one
nhỏ|phải|px|quân	નાના | અધિકાર | px | દબાણ	small|right|px|army
nhỏ|px|	નાના | પીએક્સ |	small
nhỏ|px|các	નાના | પીએક્સ | આ	small
nhỏ|px|phải|kiến	નાના | px | અધિકાર | કીડી	small | px | right | patience
nhỏ|quân	નાના | બળ	small|army
nhỏ|trái|px|máy	નાના | ડાબી | પીએક્સ | મશીન	small|left|px|plane
nhỏ|tượng	નાની મૂર્તિઓ	small|statue
nhốt	લ lockedક અપ	confine
nhồi	સ્ટફ્ડ	cram
nhổ	ખેંચી	uproot
nhộn	આનંદી	busy
nhớ	મન	remember
nhớt	ચીકણું	viscid
nhờ	આભાર	by
nhờn	ચીકણું	multiplication
nhở	યાદ અપાવે	remind
nhụ	ચપટી	nhu
nhục	અપમાનિત	shame
nhủ	રીમાઇન્ડર્સ	needs
nhức	દુખાવો	pain
nhứt	પ્રથમ	first (n.)
nhừ	mushy	tender
những	આ	the
nhựa	પ્લાસ્ટિક	plastic
nhựt	નહૂટ	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ની	nun
nia	નીઆ	a flat basket (n.)
nicaea	નિકાઆ	nicaea
nicaragua	નિકારાગુઆ	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	નિકોલસ	(proper noun) nicolas, as in nicolas sarkozy
niels	નિલ્સ	(proper noun) niels
nigeria	નાઇજિરિયા	nigeria
nikel	નિકલ	nickel
niken	નિકલ	nickel
nikita	નિકિતા	(proper noun) nikita, a first name
nikko	નિક્કો	(proper noun) nikko
nikolai	નિકોલાઈ	nikolai
nikolayevich	નિકોલેવિચ	nikolayevich
nil	શૂન્ય	nile
nile	નાઇલ	(proper noun) the river nile
nimitz	નિમિટ્ઝ	(proper noun) nimitz, as in the ship uss nimitz
nin	નીન	nin
ninh	સુરક્ષા	ninh, as in bắc ninh
nintendo	નિન્ટેન્ડો	(proper noun) nintendo, the game company
nippon	સ્તનની ડીંટી	nippon
nitơ	નાઇટ્રોજન	nitrogen (n.)
nixon	નિક્સન	(proper noun) nixon, as in former president richard nixon
niên	વર્ષ	youth
niết	આહાર	nirvana
niềm	આનંદ	trust
niệm	માઇન્ડફુલનેસ	concept
niệu	મૂત્રવર્ધક પદાર્થ	urinary
nj	એનજે	nj
nlf	nlf	nlf
nm	એનએમ	nano-meters
noah	noah	(proper noun) noah
nobel	નોબલ	nobel
nobita	nobita	nobita
noel	નોઇલ	(proper noun) noel
noi	કહો	imitate
nokia	નોકિયા	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	નામ	look after
non	યુવાન	mountain
nonpenetrative	નોનપેનેટરેટિવ	nonpenetrative
norfolk	નોર્ફોક	norfolk
norge	નોર્જ	norge
norma	ધોરણ	(proper noun) norma, a female first name
norman	નોર્મન	norman
normandie	નોર્મેન્ડી	normandile
northrop	ઉત્તર્રોપ	northrop, as in the northrop f-5 freedom fighter
norton	નોર્ટન	norton
norway	નોર્વે	norway
nou	nou	nou
novak	નોવક	novak
now	હવે	now
nowc	nowc	nowc
noãn	અંડકોશ	ovule
nsnd	એનએસએન્ડ	people's artist
nst	એન.એસ.ટી.	chromosome
nubia	ન્યુબિયા	nubia
number	નંબર	number
nupedia	ન્યુપીડિયા	a name
nusa	નુસા	nusa
nuôi	ફીડ	feed
nuối	ગળી	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	ગળી	to swallow (v.)
nuớc	પાણી	water
nxb	nxb	publisher
nynorsk	નિનોર્સ્ક	nynorsk
nà	એન	na
nài	આગ્રહ	pleading
nàn	ફરિયાદ	poor
nành	સોયા	soy
nào	ચલ	would
này	આ	this
ná	એન	a crossbow (n.)
nách	બગલ	underarm (n.)
náo	ખળભળાટ મચી ગયો	riot
nát	કચડી	ruin
náu	છુપાવો	hide
nâng	એલિવેટ	raise
nâu	ભુરો	brown
nã	એન	to track down (v.)
não	મગજ	brain
né	ડોજ	dodge
ném	ફેંકી દો	to throw (v.)
nén	સંકુચિત	compress
nét	સ્ટ્રોક	feature
nê	ને	ne
nên	ક candન્ડલસ્ટિક	should or ought to
nêu	કહો	mention
nòi	રેસ	race
nòng	બેરલ	barrel
nói	વાત કરવા માટે	to say or speak (v.)
nón	ટોપી	cone
nóng	ગરમ	hot
nô	ગુલામ	slave
nôbita	ટોબીતા	nobita
nôi	cોરની ગમાણ	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	ઉલટી	vomit
nông	છીછરા	farmer
nõn	છાલ	peeled
nùng	નંગ	nung
núm	મૂઠ	nipple
núp	છુપાવો	hide
nút	ગાંઠ	button
năm	વર્ષ	year
năn	પસ્તાવો કરનાર	"(term should be ""ăn năn"") remorse (n.)"
năng	શક્તિ	"(term should be ""khả năng"") ability (n.)"
nơi	સ્થળ	a place
nơtrino	ન્યુટિનો	neutrino
nước	દેશ	country
nước 	દેશ	water
nướng	શેકેલા	grill
nǎm	nǎm	year
nạ	મહોરું	mask
nạc	દુર્બળ	lean (adj.)
nại	ફરિયાદ	complain
nạn	તકલીફ	a disaster (n.)
nạo	ક્યુરટેજ	to scrape (v.)
nạp	લોડ	tribute
nản	નિરાશ	depressed
nảy	ncingછળવું	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	હિચક	a hiccup (n.)
nấp	છુપાવો	hide
nấu	રસોઇ	cook
nấy	આ	this
nần	નજ કરો	debt
nầy	આ	this
nẩy	ncingછળવું	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n સૂર્ય	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	નમ	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	ગરમ	busy
nắm	પકડી રાખવું	to grasp or hold (v.)
nắng	સન્ની	sunlight
nắp	.ાંકણ	a lid or cover (n.)
nằm	જૂઠું બોલો	to lie (v.)
nẵng	નંગ	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	અજ્ .ાત રૂપે	heavy
nặn	સ્વીઝ	mould
nặng	ભારે	heavy
nẻo	બીજો	turn
nếm	સ્વાદ	taste
nến	મીણબત્તી	candle
nếp	સ્ટીકી	sticky rice (n.)
nếu	જો	if (adv.)
nề	ચણતર	severe
nể	આદર	respect
nện	પાઉન્ડિંગ	ram
nỉ	લાગ્યું	beg
nịnh	ચપળ	flatter
nọ	બીજી	the other
nọc	ઝેર	tadpole
nỏ	ક્રોસબો	a crossbow (n.)
nối	જોડાયેલ	connection
nốt	નૉૅધ	to finish off (v.)
nồi	પોટ	pot
nồm	નેપ	humid (adj.)
nồng	ગરમ	heavy
nổ	વિસ્ફોટક	explode
nổi	તરતા	nổi tiếng= famous
nỗ	પ્રયાસ	affort
nỗi	કે	state
nộ	ક્રોધ	anger
nội	આંતરિક	on the paternal side (adj.)
nộn	ભરણ	non
nộp	ફાઇલ કરી	submit
nới	ઢીલુ કર	ease
nở	મોર	bloom
nỡ	દિલનું	do you have a heart to
nợ	દેવામાં	debt
nụy	પિસ્ટિલ	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	કkર્ક	a kind of bamboo (n.)
nứt	તિરાડ	to crack
nửa	અડધા	haft
nữa	ફરી	moreover
oahu	ઓહુ	(proper noun) oahu
oai	ભય	heroic
oakland	ઓકલેન્ડ	oakland
oan	અન્યાય	injustice
oanh	ઓનહ	(with word liet) glorious
obama	ઓબામા	obama
oblast	ઓબ્લાસ્ટ	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	ઓક્ટોબર	(proper noun) october
oda	ઓ દા	oda
oder	ગંધ	oder
odyssey	ઓડિસી	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	અધિકારી	officer
officers	અધિકારીઓ	officers
ohkawa	ઓહકાવા	ohkawa
okhotsk	okhotsk	okhotsk
oliver	ઓલીવર	oliver
olivier	ઓલિવર	olivier
olympus	ઓલિમ્પસ	olympus
om	બ્રેઇઝ્ડ	to simmer
omar	ઓમર	a name
ong	મધમાખી	bee
ontario	ઓન્ટેરિઓ	ontario
oort	મલમ	oort
oprah	ઓપ્રાહ	(proper noun) oprah, as in oprah winfrey
organ	અંગ	organ
oricon	ઓરીકોન	oricon
origin	મૂળ	origin
orion	ઓરિઅન	(proper noun) orion, the hunter
orleans	ઓર્લિયન્સ	(proper noun) orleans, as in new orleans
orochimaru	ઓરોચિમારુ	orochimaru
orton	ઓર્ટન	orton
os	ઓએસ	os
osaka	ઓસાકા	(proper noun) osaka, a city in japan
osama	ઓસામા	(proper noun) osama, as in osama bin laden
osamu	ઓસામુ	(proper noun) osamu, a japanese first name
oscar	ઓસ્કર	oscar
osiris	ઓસિરિસ	(proper noun) osiris, as in the egyptian god
oskar	ઓસ્કાર	a name
oslo	ઓસ્લો	oslo
osment	ઓસ્મેન્ટ	osment
ospf	ospf	ospf
ossetia	ઓસ્ટીઆ	(proper noun) ossetia
oswald	ઓસ્વાલ્ડ	oswald
other	અન્ય	other
otto	ઓટ્ટો	(proper noun) otto, as in otto von bismarck
ottoman	ઓટોમન	(proper noun) ottoman, as in the ottoman empire
outstanding	બાકી	xuat sac
owen	owણી	(proper noun) owen, as in michael owen
oxford	ઓક્સફર્ડ	oxford
oxy	પ્રાણવાયુ	oxygen
ozawa	ઓઝાવા	(proper noun) ozawa, as in maria ozawa
oán	રોષ	"(term should be ""oán than"") to complain or whine"
oát	વોટ	a watt (n.)
oản	ઓન	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	પેજટ	(proper noun) paget
pailin	પેઇલિન	pailin
pakistan	પાકિસ્તાન	(proper noun) the country of pakistan
palais	પેલેસ	palais, as in grand palais
palawan	પલાવાન	palawan
palenque	પેલેન્ક	(proper noun) palenque
palestine	પેલેસ્ટાઇન	a name
palgrave	પેલેગ્રાવ	palgrave
pali	પાલી	a name
pamir	પમીર	pamir
pan	પણ	pan, as in peter pan
panama	પનામા	panama
panamax	પેનામેક્સ	(proper noun) panamax
panduranga	પાંડુરંગા	(proper noun) panduranga
panthera	પાંથેરા	(proper noun) panthera, a genus of felines
panthéon	પંથોન	a name
paolo	પાઓલો	paolo
paperback	પેપરબેક	paperback
papua	પપુઆ	papua
paraguay	પેરાગ્વે	(proper noun) paraguay
pari	પેરિ	pari
park	ઉદ્યાન	park
parton	parton	parton
patel	પટેલ	(proper noun) patel
patrick	પેટ્રિક	patrick
patriot	દેશભક્ત	patriot
paul	પૌલ	paul
paula	પૌલા	paula
paulo	પૌલો	(proper noun) paulo
pavia	પાવિયા	pavia
pbs	pbs	pbs
pda	પીડીએ	pda
pdf	પીડીએફ	pdf
pedro	પેડ્રો	pedro
peers	સાથીઓ	peers
pele	છાલ	(proper noun) pele, as in the soccer player
penang	પેનાંગ	penang
penh	પેન	(proper noun) penh, as in phnom penh
pennsylvania	પેન્સિલવેનિયા	pennsylvania
penny	પૈસો	(proper noun) penny, an english first name
pereira	પેરેરા	pereira
perl	પર્લ	(proper noun) perl
pero	પેરો	pero
perry	પેરી	(proper noun) perry, as in elizabeth perry
persephone	પર્સોફોન	presephone
pershing	ખાવું	pershing
persian	પર્સિયન	persian
peru	પેરુ	peru, as in the south american country
peters	પીટર્સ	peter's, possessive of peter
petersburg	પીટર્સબર્ગ	(proper noun) petersburg, as in saint petersburg
pfm	પીએફએમ	a name
pgs	પૃષ્ઠો	associate professor
pgđ	pgđ	associate professor
pha	મિશ્રિત	to mix
phaethon	ફેથન	phaethon
pham	pham	pham
phanh	બ્રેક	expose
phao	ફ્લોટ	float
phaolô	પોલ	st. paul, the apostle
pharaoh	રાજા	pharaoh
pharaon	pharaon	pharaoh
phay	પીસવું	mill
phe	જૂથ	faction
phen	ફેન	time
phil	phil	(proper noun) phil, a first name
philip	ફિલિપ	philip
philippe	ફિલીપ	philippe
philippines	ફિલિપાઇન્સ	(proper noun) philippines
phillip	ફિલિપ	(proper noun) phillip
phillips	ફિલિપ્સ	philips
philosophiae	તત્વજ્ .ાન	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	મૂવી	phim
phin	ફિલ્ટર	coffee filter
phineas	phineas	(proper noun) phineas
phiên	સત્ર	trial
phiêu	સાહસ	adventurous
phiếm	વાતો કરવી	gossip
phiến	બ્લેડ	"(should be ""nha phiến"") opium"
phiện	અફીણ	opium
phiệt	ચરબીયુક્ત	militarism
phnom	phnom	phnom
phnôm	ફોમomમ	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	ફોનિક્સ	(proper noun) phoenix
phong	ઓરડો	movement
php	પીએચપી	php
phrygian	ફ્રીગિયન	phrygian
phu	ફૂ	"(term should be ""phu nhân"") wife (n.)"
phui	.ંકાયેલ	expose
phun	સ્પ્રે	to spray or spit (v.)
phà	ઘાટ	ferry
phàm	પ્રાણઘાતક	superhuman
phàn	ફરિયાદ	complain
phá	તોડવું	destroy
phác	સ્કેચ	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	હરાવ્યું	manner (n.)
phái	સંપ્રદાય	a party
phán	ન્યાયાધીશ	judge
pháo	તોપ	artillery
pháp	ફ્રાન્સ	method
phát	પ્રસારણ	develop
phèn	ફટકડી	alum
phèo	phoo	organs
phép	મંજૂરી	permit
phê	ઉચ્ચ વિચાર	"(term should be ""phê bình"") to criticize (v.)"
phêrô	પીટર	peter
phì	મોટું	non-
phình	મણકા	bulge
phí	ચાર્જ	non-
phía	બાજુ	side
phích	થર્મોસ	a flask (n.)
phím	કી	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	ઓરડો	office
phó	નાયબ	second
phóng	લોંચ	to launch (v.)
phô	શહેર	display
phôi	ગર્ભ	embryo
phông	ફોન્ટ	font
phùng	પફ	phung
phúc	ધન્ય	good fortune (n.)
phúclộc	આશીર્વાદ	phuc-loc
phún	બમ	"(term should be ""lún phún"") sparse (adj.)"
phúng	દયા	satire
phút	મિનિટ	a minute (n.)
phăn	ઝગડો	phan
phăng	ફેંગ	knock
phương	ફૂંગ	direction
phước	આશીર્વાદ	luck
phường	વોર્ડ	ward
phượng	ફોનિક્સ	phoenix
phạn	સંસ્કૃત	sanskrit
phạt	સજા	punish
phả	વંશાવલિ	pedigree
phải	બરાબર	must
phải 	બરાબર	right
phản	કાઉન્ટર	reaction
phảng	ફ્લેટ	subtle
phần	ભાગ	part
phẩm	ઉત્પાદનો	food
phẩy	અલ્પવિરામ	a comma
phẫn	ગુસ્સો	wrathful
phẫu	શસ્ત્રક્રિયા	surgery
phận	ભાગ્ય	part
phật	બુદ્ધ	buddhist
phẳng	વિમાન	flat (adj.)
phế	સ્ક્રેપ	dismiss
phết	ફેલાવો	to spread or smear (v.)
phỉ	હેઝલ	defame
phỏng	બર્ન	interview
phố	શહેર	city
phối	સંકલન	coordinate
phốt	ફોસ્ફેટ	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	ફૂલેલું	to swell (v.)
phổ	સ્પેક્ટ્રમ	popular
phổi	ફેફસાં	lung
phộng	મગફળી	peanut
phới	ફ્લોટ	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	નુડલ સુપ	pho
phục	વસ્ત્રો	convincing
phụng	સેવા આપે છે	worship
phụt	પફ	minute
phủ	.ંકાયેલ	government
phức	જટિલ	complex
picchu	પિચુ	a name
piccolo	પિકકોલો	piccolo
pierre	પિયર	pierre
pierrot	પિઅરટ	pierrot
pietro	પીટ્રો	pietro
pike	પાઇક	pike
pin	બેટરી	battery
pinlus	પિનલસ	pinlus
pioneer	અગ્રણી	pioneer
pipes	પાઈપો	pipes
pisa	પીસા	a name
piston	પિસ્ટન	piston
pitch	પીચ	pitch
pius	પિયસ	pius
plaaf	પ્લેફ	plaaf
plan	યોજના	plan
plasma	પ્લાઝ્મા	plasma
plate	પ્લેટ	plate
plato	પ્લેટો	plato
platon	પ્લેટોન	platon
player	ખેલાડી	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	વત્તા	plus
pluto	પ્લુટો	pluto
pm	બપોરે	pm
pmu	pmu	pmu
po	પો	po
pokémon	પોકેમોન	pokemon
pol	પોલ	pol
poland	પોલેન્ડ	poland
pollack	પોલckક	a name
pollux	પ્રદૂષ	a name
polo	પોલો	(proper noun) polo, as in marco polo
polynésie	બહુપત્ની	polynesian
pont	પોન્ટ	(proper noun) pont, as in pont de normandie
pop	પ popપ	pop
portland	પોર્ટલેન્ડ	portland
porto	પોર્ટો	porto
pot	પોટ	pot
potsdam	પોટ્સડેમ	(proper noun) potsdam
potter	કુંભાર	(proper noun) potter, as in harry potter
pour	રેડવું	not vietnamese
powell	પૌલ	(proper noun) powell, as in general colin powell
pradesh	પ્રદેશ	pradesh
praha	પ્રાહા	praha
pratzen	pratzen	pratzen
preah	પ્રેહ	(proper noun) preah
premier	પ્રીમિયર	premier
preminger	પ્રીમિંગર	(proper noun) preminger
preston	પ્રેસ્ટન	(proper noun) preston, as in john preston
prince	રાજકુમાર	prince
princeton	પ્રિન્સટન	princeton
printemps	પ્રિન્ટેમ્પ્સ	printemps
printf	printf	printf
prinz	પ્રિન્ઝ	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	પ્રિકસ	(proper noun) prix, as in the grand prix
procellarum	પ્રોસેલેરમ	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	પ્રોજેકટ	projekt
prometheus	પ્રોમિથિયસ	(proper noun) prometheus
protein	પ્રોટીન	protein
prôtêin	પ્રોટીન	protein (n.)
ps	પીએસ	ps
psv	પીએસવી	psv
ptolemy	ટોલેમી	ptolemy
ptq	ptq	ptq
puerto	પ્યુઅર્ટો	puerto
pulau	પુલાઉ	(proper noun) pulau, as in pulau tekong, an island
pulitzer	પુલિત્ઝર	(proper noun) pulitzer, as in the pulitzer prize
pulp	પલ્પ	pulp
punjab	પંજાબ	punjab
pusan	pusan	(proper noun) pusan
putin	પુટિન	putin
pyrenees	pyrenees	pyrenees
pytago	પાયટાગો	(proper noun) pytago
pzl	pzl	pzl
péc	પેક	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	પેરેઝ	(proper noun) perez, as in javier perez de cuellar
păng	વેદના	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	પ્ર	q ( a letter)
qatar	કતાર	qatar
qd	qd	quantum dots
qing	કિંગ	qing, as in the qing dynasty of  china
qlvnch	qlvunch	army of the republic of vietnam
qua	દ્વારા	transmit
quad	ચતુર્થાંશ	quad
quan	ક્વાન	"(term should be ""quan hệ"") relationship (n.)"
quang	ઓપ્ટિકલ	bladder
quanh	આસપાસ	around
quay	ચાલુ	turn
que	સળિયા	stick
queen	રાણી	queen
queens	રાણીઓ	(proper noun) queens, as in the new york borough
queensland	ક્વીન્સલેન્ડ	queensland
quen	પરિચિત	accustomed to
qui	ક્વિ	formal
quincy	ક્વિન્સી	(proper noun) quincy, as in quincy jones
quran	કુરાન	quran
quy	નિયમો	"(term should be ""quy ước"") agreement"
quyên	ફંડામેન્ટલ્સ	"(term should be ""quyên góp"") to donate (v.)"
quyến	વશીકરણ	"(term should be ""gia quyến"") family"
quyền	પરવાનગી	right
quyện	ભેળવવું	mix
quyệt	કપટી	"(should be ""xảo quyệt"") devious"
quá	પણ	over
quái	હેક	strange or odd
quán	બાર	hometown
quáng	અંધ	blind
quát	ચીસો પાડી	generalize
quân	ક્વાન	army (n.)
quãng	આશરે	optical
quét	સ્કેન કરવા માટે	to sweep (v.)
quê	ગામ	countryside
quên	ભૂલી જાઓ	forget
quý	કિંમતી	love
quýt	ટ tanંજેરિન	tangerine
quăng	ટssસ	to throw (v.)
quĩ	ભંડોળ	orbit
