$	dollar təşkil edib	a sign of doller
ભવ્ય	qəşəngdir	royal / grand
ભા	hissə	part
ભાંગી	qırıldı	broken
ભાઇ	qardaş	brother
ભાઈ	qardaş	brother
ભાઈઓ	qardaşlar	brothers
ભાઈઓને	qardaşlar	to the brothers
ભાગ	hissə	part
ભાગથી	hissə	part of, role of
ભાગના	ən çox	part
ભાગનાં	hissələrdən	in the part
ભાગની	hissəsi	of the part
ભાગનું	hissəsi	of the part
ભાગને	hissə	portion
ભાગનો	hissə	portion
ભાગમાં	hissəsində	in the (west) side
ભાગરૂપે	hissəsində	part
ભાગલા	ayrılmaq	devide
ભાગલાના	bölüşdürmə	of partition
ભાગલાની	bölmə	divide
ભાગવત	bhagwat	bhagwat
ભાગવતમ્	bhaqavatam	bhagwat
ભાગવદ	bhagavad	bhagwad
ભાગી	qaçmaq	breaks down
ભાગીદાર	tərəfdaş	partner
ભાગીદારી	tərəfdaşlıq	partnership
ભાગે	tez-tez	part
ભાગો	hissələr	parts
ભાગોનો	hissələr	regions
ભાગોમાં	parçalarda	pices
ભાગ્યે	nadir hallarda	rarely
ભાજપ	bjp	bhajap
ભાજી	tərəvəz	vegetable
ભાત	düyü	pattern
ભાદર	hörmətlə	bhadar
ભાદરવા	hörmət edin	bhadarva [name of a month]
ભાન	həyata keçir	understand
ભાભા	bhabha	bhabha
ભાર	yükləyin	weight / pressure
ભારત	hindistan	bharat
ભારતથી	hindistandan	from india
ભારતના	hindistanın	india
ભારતનાં	hindistanın	of india
ભારતની	hindistanın	india's
ભારતનું	hindistanın	india's
ભારતને	hindistana	india's
ભારતનો	hindistanın	india's
ભારતભરમાં	bütün hindistan üzərində	throughout india
ભારતમાં	hindistanda	in india
ભારતમાંથી	hindistandan	from india
ભારતી	bharti	india's
ભારતીય	hind	indian
ભારતીયો	hindlilər	indians
ભારતીયોએ	hindlilər	by the indians
ભારતીયોના	hindlilərdən	by indians
ભારતીયોની	hindlilərdən	indians
ભારતીયોને	hindlilər	indians
ભારતે	hindistan	india's
ભારપૂર્વક	emfatik olaraq	forcefull
ભારયુક્ત	stress etdi	heavy
ભારે	ağırdır	heavy
ભાવ	qiyməti	rate
ભાવનગર	bhavnagar	bhavnagar
ભાવનગરના	bhavnagar	coty name
ભાવના	ruh	feeling
ભાવનાત્મક	mənəvi	emotional
ભાવિ	gələcək	future
ભાવે	qiymətdə	rate
ભાષણ	nitq	speech
ભાષણો	çıxışlar	lectures
ભાષા	dil	language
ભાષાંતર	tərcümə	translation
ભાષાએ	dildə	languages
ભાષાઓ	dillər	languages
ભાષાઓથી	dillərdən	from the languages
ભાષાઓના	dillərdən	languages
ભાષાઓનાં	dillərdən	of languages
ભાષાઓની	dillərdən	languages
ભાષાઓને	dillər	languages
ભાષાઓનો	dillərdən	of languages
ભાષાઓમાં	dillərdə	in languages
ભાષાઓમાંથી	dillərdən	from the languages
ભાષાકીય	dilçilik	linguistic
ભાષાના	dildən	of language
ભાષાનાં	dildən	of language
ભાષાની	dildən	of language
ભાષાનું	dildən	of languages
ભાષાને	dil	to language
ભાષાનો	dildən	of language
ભાષામાં	dildə	in language
ભાષામાંથી	dildən	frim the language
ભાષાશાસ્ત્રના	dilçilik	of linguistic
ભાષાશાસ્ત્રની	dilçilik	study of language
ભાષાશાસ્ત્રીઓ	dilçilər	linguists
ભાષ્ય	şərh	spoken
ભાસ્કર	bhaskar	name
ભિન્ન	fərqlidir	diffrent
ભિન્નતા	dəyişikliklər	difference
ભી	həmçinin	also
ભીમ	bhim	bheem
ભીમને	bhimne	to bhim
ભીલ	bhil	bheel
ભીષ્મ	bhishma	bhishma
ભીષ્મએ	bhishma	bhishma
ભીષ્મના	bhishma	bhishma's ('bhishma pitamah' was the eighth son of kuru king shantanu)
ભીષ્મને	bhishma	to bhishma
ભુકંપ	zəlzələ	earthquake
ભુખ્યાને	ac	to hungry
ભુજ	bhuj	bhuj
ભુમિ	torpaq	land
ભુમિકા	rolu	charecter
ભૂંસી	silinib	erased
ભૂકંપ	zəlzələ	earthquake
ભૂકંપને	zəlzələlər	earthquake
ભૂખ	aclıq	hungary
ભૂગર્ભ	yeraltı	underground
ભૂગોળ	coğrafiya	geography
ભૂતકાળ	keçmiş	past
ભૂતકાળના	keçmişin	past
ભૂતકાળની	keçmişin	past
ભૂતકાળમાં	keçmişdə	in past
ભૂતપૂર્વ	əvvəlki	former
ભૂતાન	butan	country name bhutan
ભૂતાનની	butan	"country mane ""bhutan"""
ભૂભાગ	ərazi	piece of land
ભૂમધ્ય	aralıq dənizi	red sea
ભૂમિ	torpaq	earth
ભૂમિકા	rolu	role / character
ભૂમિકામાં	rolda	in the role of
ભૂમિતિ	həndəsə	geometry
ભૂમિતિના	həndəsə	geometry
ભૂલ	xəta	mistake
ભૂલી	unut onu	by forgetting
ભૂલો	səhvlər	mistakes
ભૂસ્તરશાસ્ત્રીય	geoloji	geologist
ભૂસ્તરીય	geoloji	cismograph
ભેગા	yığın	collecting
ભેગી	toplanır	with
ભેજવાળા	yapışqan	damp
ભેજવાળી	nəm	damp
ભેટ	hədiyyələr	present / gift
ભેટો	hədiyyələr	gifts
ભેદ	fərqlər	different
ભેદને	fərqlər	difference
ભેદભાવ	ayrı-seçkilik	discrimination
ભૈરવ	bhairav	bhairava
ભૈરવની	bhairavani	bhairav's
ભોંસલે	bhonsle	bhonsale
ભોગ	qurban	material
ભોજન	yeməklər	food
ભોજનની	yeməklər	cuisine
ભોજનમાં	yeməklərdə	in meal
ભોજે	yeməkdə	bhoj
ભૌગોલિક	coğrafi	geographical
ભૌગોલીક	coğrafi	geographically
ભૌતિક	fiziki	physics
ભૌમિતિક	həndəsi	geometric
ભ્રમણ	orbit	roaming
ભ્રમણકક્ષા	orbit	orbital plane
ભ્રષ્ટ	korrupsiya	corrupt
ભ્રષ્ટાચાર	korrupsiya	corruption,
મંગલ	mars	mars
મંગળ	mars	mars
મંગળવાર	çərşənbə axşamı	tuesday
મંગોલિયા	monqolustan	mangolia
મંચ	mərhələ	stage
મંજુરી	təsdiq	permission / approval
મંજૂર	təsdiqləndi	acceptable
મંજૂરી	təsdiqləndi	approval
મંડળ	camaat	cabinat
મંડળના	camaat	of members, of group,
મંડળની	camaat	organisation
મંડળો	camaatlar	associations
મંત્ર	mantra	incantation
મંત્રણા	danışıqlar	talks
મંત્રાલય	nazirlik	secretariat
મંત્રાલયના	nazirliyin	from the ministry
મંત્રી	nazir	minister
મંદિર	məbəd	temple
મંદિરના	məbəddən	temple's
મંદિરની	məbəddən	temple
મંદિરનું	məbəddən	temple's
મંદિરને	məbədə	to the temple
મંદિરમાં	məbəddə	in the temple
મંદિરો	məbədlər	temples
મંદિરોમાં	məbədlərdə	in the temples
મંદીર	məbəd	temple
મંદીરના	məbəddən	temple's
મંદીરની	məbəddən	temple
મંદીરનું	məbəddən	temple's
મંદીરનો	məbəddən	temple's
મંદીરમાં	məbəddə	in the temple
મંદીરે	məbəddə	at the temple
મંદીરો	məbədlər	tempels
મકબરા	qəbir	tomb
મકબરો	qəbir	graveyard
મકરંદ	makrand	makrand
મકાન	bina	building
મક્કા	məkkə	mekka
મગજમાં	beyində	inside the brain
મગધ	maqadha	magadh
મગની	magni	green gram
મજબુત	güclüdür	strong
મજબૂત	güclüdür	strong
મજા	əyləncəli	pleasure / like
મજૂર	əmək	labour
મઠ	riyaziyyat	priory / monastery
મણિ	gem	mani
મણિપુર	manipur	manipur
મત	səs verin	vote
મતદાન	səsvermə	polling
મતભેદ	fərqlər	difference of opinion
મતભેદો	fərqlər	differences
મતલબ	məna	meaning
મતે	fikirdə	according to
મતો	səslər	votes
મત્સ્ય	balıq	fish
મથક	booth	center
મથકો	müəssisələr	center
મથુરા	mathura	mathura, name if indian city
મદદ	kömək edin	help
મદદથી	istifadə olunur	with the help of
મદદનીશ	köməkçi	helpful
મદદરૂપ	faydalı	helpful
મદ્રાસ	mədrəsə	city name
મધર	ana	mother
મધુર	şirin	sweet
મધ્ય	orta	middle / central
મધ્યકાલિન	orta əsr	middle
મધ્યકાલીન	orta əsr	mid age, mid period
મધ્યથી	ortadan	from the middle
મધ્યપૂર્વ	orta şərq	middle-east
મધ્યભાગમાં	ortasında	in the middle zone
મધ્યમ	mülayimdir	middle / central
મધ્યમાં	ortasında	in the center
મધ્યયુગ	orta əsrlər	middle age
મધ્યયુગીન	orta əsr	medieval
મધ્યવર્તી	aralıq	median / intermediate
મધ્યસ્થી	moderator	mediation
મન	ağıl	mind
મનની	ağılın	mind's
મનમાં	fikrində	in mind
મનાઈ	qadağandır	inhibition
મનાતા	qeyd etdi	thought
મનાતી	i̇nanır	believed to be
મનાતું	güman ki	believed to be
મનાય	qeyd etdi	considered
મનાવવામાં	i̇nandırdı	celebrated
મની	pul	money
મનુ	manu	manu
મનુભાઈ	manubhai	manubhai
મનુષ્ય	i̇nsan	human
મનુષ્યના	i̇nsanlardan	human being
મનુષ્યને	i̇nsanlara	to man
મનુષ્યો	i̇nsanlar	human beings
મને	mən	i
મનોરંજન	əyləncə	entertainment
મનોવિજ્ઞાન	psixologiya	psychology
મનોહર	gözəldir	manohar
મન્દિર	məbəd	temple
મફત	pulsuz	free of charge
મરણ	ölmüş	death
મરણોત્તર	ölümündən sonra	post mortem
મરતા	ölür	death
મરાઠા	maratha	maratha
મરાઠી	marathi	marathi
મરાઠીમાં	marathi dilində	in marathi
મરિન	dəniz piyadaları	marine
મરિના	marina	marina
મરી	bibər	die
મર્યાદા	məhdudiyyətlər	limitation
મર્યાદાઓ	məhdudiyyətlər	limitations
મર્યાદિત	məhduddur	limited
મલય	malay	malay
મલયાલમ	malayalam	malayalam
મલેશિયા	malayziya	malaysia
મલેશિયામાં	malayziyada	in malayasia
મળતા	uyğunlaşma	matching
મળતાં	görüş	found
મળતી	uyğunlaşma	available
મળતું	almaq	seen
મળતો	almaq	found
મળવા	görüşmək	to meet
મળવાની	görüşmək	meets the task, meet
મળશે	olacaq	available
મળી	tapıldı	found
મળીને	birlikdə	togather
મળે	get	seen
મળેલ	alinib	received
મળેલા	görüşdü	received
મળેલી	alinib	got
મળેલો	tapıldı	observed
મળ્યા	görüşdü	found
મળ્યાં	tapıldı	met
મળ્યુ	tapıldı	found to be
મળ્યું	anladım	got
મળ્યો	anladım	got
મશિન	maşın	machine
મશીન	maşın	machine
મસ્જિદ	məscid	masjid
મસ્જિદમાં	məsciddə	in the mosque
મસ્જીદ	məscid	mosque
મસ્તક	baş	head
મહંત	abbot	great
મહંતો	mahanto	mahant
મહંમદ	məhəmməd	mohmmed
મહત્તમ	maks	maximum
મહત્તા	böyüklük	importance
મહત્ત્વ	əhəmiyyətlilik	importance
મહત્ત્વના	vacibdir	important
મહત્ત્વની	vacibdir	important
મહત્ત્વનું	vacibdir	important
મહત્ત્વનો	vacibdir	of importance
મહત્ત્વપૂર્ણ	vacibdir	important/ main
મહત્વ	əhəmiyyəti	importance
મહત્વના	vacibdir	important
મહત્વનાં	vacibdir	important
મહત્વની	vacibdir	of importance
મહત્વનું	vacibdir	main
મહત્વનો	vacibdir	important
મહત્વપૂર્ણ	vacibdir	important / vital
મહદઅંશે	böyük dərəcədə	sometime
મહમદ	məhəmməd	mohammad
મહર્ષિ	maharshi	surname
મહલ	saray	palace
મહલની	saraydan	castle
મહા	maha	giant
મહાકાવ્ય	epik	epic
મહાકાવ્યો	dastanlar	epics
મહાત્મા	mahatma	profound religious person, magnanimous
મહાદેવ	mahadev	mahadev
મહાદેવનાં	mahadevin	mahadev's
મહાદેવનું	mahadevin	of mahadev
મહાન	əla	great
મહાનગર	metropolis	metropolis
મહાનગરપાલિકા	korporasiya	municipal corporation
મહાનગરો	metroslar	mega-cities
મહાનાયક	super qəhrəman	great leader
મહાનુભાવો	zövqlər	dignitary
મહાપ્રભુ	mahaprabhu	mahaprabhu
મહાપ્રાણ	aspirasiya	great voice
મહાબળેશ્વર	mahabaleshwar	mahabaleshwar
મહાભારત	mahabharata	mahabharat
મહાભારતના	mahabharata&#39;dan	mahabharat's
મહાભારતનાં	mahabharata&#39;dan	in mahabharat
મહાભારતની	mahabharata&#39;dan	of mahabharat
મહાભારતનો	mahabharata&#39;dan	of mahabharata,
મહાભારતમાં	mahabharata&#39;da	in mahabharat
મહારાજ	maharaj	king, leader, an priest,
મહારાજની	maharaj-ın	emperor,
મહારાજા	maharaja	king
મહારાજાએ	maharaja	king
મહારાજે	maharaja	by the king
મહારાષ્ટ્ર	maharaştra	maharashtra
મહારાષ્ટ્રના	maharashtra&#39;dan	maharashtra's
મહારાષ્ટ્રની	maharashtra&#39;dan	maharashtra's
મહારાષ્ટ્રમાં	maharashtra&#39;da	in maharashtra
મહાલ	saray	castle/hall
મહાવીર	mahavira	mahavir
મહાવીરના	mahavira	mahavir's
મહાવીરે	mahavira	mahavir
મહાસત્તા	super güc	superpower
મહાસાગર	okean	ocean
મહાસાગરના	okeanın	ocean's
મહાસાગરમાં	okeanda	in the ocean
મહિના	aylar	months
મહિનાઓ	aylar	months
મહિનાઓમાં	aylarda	in months of
મહિનાના	ayın	of the month
મહિનાની	ayın	of month
મહિનામાં	aylarda	in the month
મહિને	aylıq	in month
મહિનો	ay	month
મહિમા	şöhrət	faith
મહિલા	qadınlar	lady / woman / female
મહિલાઓ	qadınlar	ladies
મહિલાઓની	qadınlardan	of ladies
મહિલાઓને	qadınlar	to ladies
મહીના	aylar	months
મહીનાઓ	aylar	months
મહીનામાં	ayda	in the month
મહુવા	mahuva	mahuva
મહેતા	mehta	mehta
મહેતાના	mehta	mehta's
મહેતાની	mehta	of mehta
મહેનત	çətin iş	efforts
મહેલ	saray	palace
મહેસાણા	mehsana	mehsana
મા	ma	th
માં	in	mother
માંગ	tələb edin	demand
માંગણી	tələb edin	request
માંગતા	i̇stəyən	intend to do
માંગી	i̇stədi	asked for
માંગે	i̇stəyir	asking for
માંડ	çətin	barely
માંડવી	mandvi	mathvi(wife of bharath) / temples
માંડી	mandi	beginning to
માંડીને	dən	from
માંડે	başlayır	begins
માંડ્યા	başladı	started
માંડ્યુ	mandyu	was taking over
માંડ્યું	başladı	began
માંડ્યો	başladı	started
માંથી	dən	out of, from
માંદા	xəstə	sick
માંસ	ət	meat
માંસાહારી	xəsis	non-vegetarian
માઇકલ	maykl	michael
માઇલ	millər	mile
માઈક્રોસોફ્ટ	microsoft	microsoft
માઈલ	millər	mile
માઉન્ટ	dağ	mount
માઉન્ટબેટન	mountbatten	mount betan
માઉસ	siçan	mouse
માગ	tələb edin	demand
માગણી	tələb edin	demand
માગતા	i̇stədi	demanding, asking for
માગે	i̇stədi	asking for
માછલી	balıq	fish
માઝા	mənim	my
માટી	gil	earth
માટીના	gildən	clayey
માટૅ	mato	for
માટે	üçün	for
માટેના	üçün	for the
માટેનાં	üçün	to
માટેની	üçün	for that
માટેનું	üçün	for
માટેનો	üçün	of
માટેલ	mattel	matel
માણવા	həzz almaq	enjoy
માણસ	şəxs	human
માણસની	i̇nsandan	of human
માણસને	kişiyə	to man
માણસો	kişilər	persons
માણસોને	kişilər	persons
માણાવદર	manavadar	manavdar
માણી	zövq aldı	enjoy
માણે	zövq alın	enjoys
માતરમ્	yalnız	to mother
માતા	ana	mother
માતાએ	ana	by mother
માતાજી	mataji	goddess
માતાજીનાં	mataji-nin	of the mother [goddess]
માતાજીની	matajini	god
માતાજીનું	mataji-nin	of the goddess
માતાજીને	mataji	to the mother
માતાના	analar	mother's
માતાની	analar	of mother
માતાનું	analar	of mother
માતાને	ana	to mother
માતાપિતા	ana ata	mother father
માતાપિતાએ	valideynlər	parents
માતાપિતાની	valideynlər	parents
માતૃભાષા	ana dili	native language
માત્ર	yalnız	only
માત્રા	dozaj	proportion
માત્રામાં	kəmiyyətdə	in proportion
માથા	baş	head
માથાદીઠ	adambaşı	per head
માથી	yuxarıdan	from
માથું	baş	head
માથે	ən yuxarda	honour
માદા	qadın	female
માદ્રી	madhuri	madri
માધવપુર	madhavpur	madhavpur
માધવપુરનો	madhavpur	of madhavpur
માધ્યમ	orta	medium
માધ્યમથી	vasitəsilə	by medium
માધ્યમની	orta	instrument / line
માધ્યમમાં	ortada	in medium
માધ્યમિક	orta	intermediate / secondary
માધ્યમો	media	instrument
માધ્યમોમાં	mediada	instrument / line /channel
માન	hörmət edin	respect
માનચિત્ર	xəritə	map
માનતા	i̇nanmaq	believed
માનદ્	namuslu	honorable
માનમાં	şərəfinə	in honor of
માનવ	i̇nsan	man/ human
માનવજાત	i̇nsanlıq	mankind
માનવતા	i̇nsanlıq	humanity,
માનવસર્જિત	i̇nsan tərəfindən hazırlanmışdır	man made
માનવા	i̇nanmaq	to believe
માનવામા	nəzərə alınıb	is believed that
માનવામાં	güman ki	acceptable
માનવી	i̇nsan	human being
માનવીના	i̇nsanlardan	of human
માનવીની	i̇nsanlardan	of man
માનવીય	i̇nsan	humanistic
માનવુ	i̇nanmaq	to believe
માનવું	i̇nanmaq	to believe
માનસ	manas	mind
માનસિક	əqli	mentoly
માના	mana	among
માની	mani	believe
માનીને	fərz edirlər	considering
માને	i̇nanın	believe
માનો	i̇nanın	believe, suppose
માન્ચેસ્ટર	mançester	name of city 'manchester'
માન્ય	etibarlıdır	recognize
માન્યતા	tanıma	affiliated
માન્યતાઓ	i̇nanclar	beliefs
માપ	ölçüsü	scale
માપદંડ	meyarlar	yard stick
માપવામાં	ölçülür	measuring
માફક	kimi	suitable
મામડિયા	mamdia	mamadia
મામલે	halda	matter
મામા	mama	maternal uncle
માય	mənim	my
માયા	maya	allure
માર	öldürmək	beating
મારગ	yol	way / path
મારફત	via	through
મારફતે	vasitəsilə	through
મારવા	öldürmək	to kill
મારવાની	vurmaq	beat
મારા	mənim	my
મારાં	mənim	my
મારી	mənim	my
મારું	mina	my
મારે	mənə	to me
મારો	mənim	my
માર્ક	i̇şarələyin	mark
માર્કેટ	bazar	market
માર્કેટિંગ	marketinq	marketing
માર્કેટિંગના	marketinqin	marketing
માર્ગ	yol	road
માર્ગદર્શક	tərbiyəçi	guidance
માર્ગદર્શન	rəhbərlik	guidance
માર્ગદર્શિકા	bələdçi	guidance
માર્ગમાં	yolda	in way
માર્ગે	yeri gəlmişkən	on thew way
માર્ગો	marşrutlar	ways
માર્ચ	mart	march month
માર્ચના	mart	of march
માર્ચનો	mart	march's
માર્ચમાં	martda	in march
માર્ચે	mart	march month
માર્ટિન	martin	martin
માર્ટીન	martin	martin
માર્મિક	cəlbedici	poignant
માર્યા	öldü	death
માર્યો	vurun	killed
માર્શલ	marşal	marshall
માલ	mallar	goods
માલદીવ	maldiv adaları	maldives
માલની	malların	of goods
માલફોય	malfoy	malfoy
માલિક	sahib	owner
માલિકી	mülkiyyət	owned
માળ	mərtəbə	storey
માળખા	quruluşlar	structures
માળખાના	quruluşun	of the structure
માળખુ	quruluşu	structure
માળખું	quruluşu	structure
માળવાના	malvana	marwar
માળા	muncuq	beads
માસ	kütləvi	month
માસની	ayın	of the month
માસમાં	ayda	in the month
માસિક	aylıq	monthly
માસ્ટ	mast	mast
માસ્ટર	ustad	master
માહિતિ	məlumat	information
માહિતી	məlumat	information
માહિતીઓ	məlumat	informations
માહિતીના	məlumat	informations
માહિતીની	məlumat	information
માહિતીને	məlumat	information
માહિતીરુપી	məlumatlı	informative
માહીતી	məlumat	information
મિંગ	mingə	ming
મિઝોરમ	mizoram	state name
મિડડે	gündüz	mid day
મિડીયા	media	media
મિત્ર	dost	friend
મિત્રતા	dostluq	friendship
મિત્રો	dostlar	friends
મિથુન	əkizlər	gemini
મિથેન	metan	methane
મિનાર	qüllə	tower/mineret
મિનારા	minarə	towers
મિનારાની	minarə	tower / column
મિનારો	minarə	towers
મિનિટ	dəqiqələr	minute
મિમી	mm	m.m.
મિરાબિલિસ	mirabilis	mirabilis
મિલિયન	milyon	million
મિલીયન	milyon	million
મિશન	missiya	mission
મિશનરિઝ	missionerlər	missionaries
મિશનરી	missioner	machinery
મિશ્ર	qarışıq	mix
મિશ્રણ	qarışdırın	mixture
મિશ્રિત	qarışıq	mixed
મિસ	darıxmaq	miss
મી	m	of
મીટર	m	meter
મીઠા	şirin	sweet
મીઠી	şirin	mithi
મીડિયા	media	media
મીન	balıq	pisces
મીરા	meera	meera
મીરાં	meera	meera
મું	in	th [suffix]
મુંબઇ	mumbay	mumbai
મુંબઇમાં	mumbayda	in mumbai
મુંબઈ	mumbay	mumbai
મુંબઈથી	mumbaydan	from mumbai
મુંબઈના	mumbayın	of mumbai
મુંબઈની	mumbay	of mumbai
મુંબઈમાં	mumbayda	in mumbai city
મુંબઈમાંથી	mumbaydan	from mumbai
મુકત	pulsuz	leave
મુકદમો	dava	case
મુકવા	qoymaq	put
મુકવામાં	yerləşdirilib	placed
મુકાયો	qoy	put
મુકિત	azadlıq	freedom
મુકી	qoy	put
મુકીને	qoyulur	put
મુકે	qoyur	put
મુકેશ	mukesh	mukesh
મુક્ત	pulsuz	free
મુક્તાનંદ	müktanənd	muktanand
મુક્તિ	azadlıq	liberalisation
મુક્યા	qoy	put
મુક્યો	qoy	put
મુખ	ağız	mouth / face
મુખર્જી	mukherjee	mukhargi surname
મુખી	mukhi	mouth
મુખ્ય	əsas	main / chief
મુખ્યતઃ	əsasən	mainly
મુખ્યત્વે	əsasən	main
મુખ્યમંત્રી	sm	chief minister
મુખ્યમથક	baş qərargah	headquarter
મુગલ	muğal	mughal
મુઘલ	muğal	mughal
મુજબ	görə	according to
મુદત	müddət	duration
મુદ્દા	məsələlər	topic
મુદ્દાઓ	məsələlər	points / topics
મુદ્દાને	nöqtəyə	to the point
મુદ્દે	problem	topic
મુદ્દો	problem	issue
મુદ્રા	duruş	gestures
મુદ્રિત	çap olunmuşdur	print out / literature
મુનશી	munşi	munshi
મુનશીની	munşini	munshi's
મુનિ	adaçayı	sage
મુનિએ	adaçayı	by monk
મુનિના	munina	muni's
મુમતાજ	mümtaz	mumtaz
મુમતાજની	mümtaz	name
મુર્તિ	büt	sculpture, idol,
મુલાકાત	ziyarət edin	visit
મુલાકાતમાં	müsahibədə	interview
મુલાકાતો	müsahibələr	visits,
મુળ	doğma	origin
મુળભુત	əsas	fundamental
મુળી	turp	muli
મુવાડા	muwada	muvada
મુશ્કેલ	çətin	trouble
મુશ્કેલી	dərd	difficulty
મુશ્કેલીઓ	çətinliklər	difficulties
મુસદ્દો	qaralama	article
મુસલમાન	müsəlman	muslim
મુસાફરી	səyahət	travelling
મુસ્લિમ	müsəlman	muslim
મુસ્લિમો	müsəlmanlar	muslim
મુસ્લિમોની	müsəlmanlardan	of the muslim
મુસ્લીમ	müsəlman	muslim
મુહંમદ	məhəmməd	muhammad
મુહમ્મદ	məhəmməd	mohammad
મૂકતા	qoyulur	giving
મૂકવા	qoymaq	put
મૂકવામાં	qoy	in putting
મૂકી	qoy	put
મૂકે	yatır	put
મૂક્યો	qoy	put
મૂડી	kapital	capital
મૂડીવાદી	kapitalist	capitalisam
મૂર્તિ	büt	idol
મૂર્ધન્ય	alveolar	entirely,
મૂલ્ય	dəyər	price
મૂલ્યવાન	dəyərli	expensive
મૂલ્યો	dəyərlər	value,
મૂળ	orijinaldır	origin
મૂળના	mənşəli	based
મૂળનાં	mənşəli	root
મૂળનો	mənşəli	origin
મૂળભુત	əsas	basic
મૂળભૂત	əsas	basically
મૂળિયાં	köklər	its origin
મૂળે	əslən	based
મૃગીકુંડમાં	orangutanda	in the mrugikund
મૃત	ölü	dead
મૃત્યુ	ölüm	death
મૃત્યું	ölüm	death,
મૃત્યુઓ	ölüm halları	death
મૃત્યુદર	ölüm	death rate
મૃત્યુના	ölümün	death
મૃત્યુની	ölümün	death
મૃત્યુનો	ölümün	death's
મે	bilər	may
મેં	mən	i
મેઇન	men	main
મેક	makintoş	mac
મેકમેહોન	mcmahon	mcmohan
મેકમેહોને	mcmahon	mcmehon
મેક્સ	maks	max
મેક્સિકો	meksika	mexico
મેગેઝિન	jurnal	magazine
મેઘાણી	meghani	meghani
મેઘાલય	meghalaya	meghalaya
મેચ	uyğunluq	match
મેચને	uyğunluq	to the [cricket] match
મેચમાં	qarşılaşmada	in match
મેચો	matçlar	matches
મેચોમાં	qarşılaşmalarda	in matches
મેજર	mayor	major
મેટ	mat	met
મેટ્રિક	metrik	metric
મેટ્રો	metro	metro
મેટ્રોપોલિટન	metropolitan	metropolitan
મેડિકલ	tibbi	medical
મેદાન	zəmin	plain
મેદાનમાં	sahəsində	in ground
મેદાની	düzənliklər	field
મેદાનો	düzənliklər	plains
મેન	adam	men, man
મેના	bilər	mena
મેની	manny	in may
મેનેજમેન્ટ	i̇darəetmə	management
મેનો	menyu	(of) may
મેમરી	yaddaş	memory
મેમરીમાં	yaddaşda	in the memory
મેયર	bələdiyyə başçısı	mayor
મેરી	məryəm	marie
મેલ	poçt	mail
મેળ	uyğunluq	match
મેળવતા	almaq	receiving
મેળવનાર	alıcı	the one who gets
મેળવવા	almaq üçün	to get
મેળવવાની	almaq üçün	to get
મેળવવામાં	almaq	receive
મેળવી	alinib	by getting
મેળવીને	almaq	mixing
મેળવે	tutmalar	achieves
મેળવેલી	alinib	received
મેળવ્યા	anladım	received
મેળવ્યું	anladım	obtained
મેળવ્યો	anladım	got
મેળા	yarmarkalar	fares
મેળાઓ	yarmarkalar	fair
મેળાની	ədalətli	fair/amusement
મેળાપ	yenidən birləşmək	meeting
મેળામાં	yarmarkada	fairs
મેળો	ədalətli	fare
મેષ	qoç	aries
મેસેજ	mesaj	message
મેસેજિંગ	mesajlaşma	messaging
મેહરાબ	arch	arch
મૈ	bilər	may
મૈત્રી	dostluq	amity / friendship
મૉડલ	model	model
મો	mo	th [suffix]
મોં	ağız	mouth / face
મોંઘી	bahalı	dear/costly
મોકલવા	göndərmək	to send
મોકલવાની	göndərmək	sending
મોકલવામાં	göndərilib	to be sent
મોકલાતા	göndərilib	remitted
મોકલી	göndərilib	send
મોકલે	göndərir	sends
મોકલેલા	göndərilib	sent
મોકલ્યા	göndərilib	sent
મોકલ્યો	göndərilib	sent
મોકળો	pulsuz	wide
મોકો	moko	chance
મોક્ષ	moksha	salvation
મોગલ	moğul	mughal
મોજા	əlcəklər	wave
મોજાં	corab	wave
મોજાની	corab	of waves
મોજાને	corab	to the wave
મોજૂદ	i̇ndiki	available
મોટર	motor	car
મોટા	böyük	large
મોટાં	genişdir	large
મોટાપાયા	böyük miqyaslı	large
મોટાપાયે	kütləvi şəkildə	large scale
મોટાપ્રમાણમાં	yəqin ki	in large quantity
મોટાભાઈ	böyük qardaş	elder brother
મોટાભાગના	çoxu	most
મોટાભાગની	ən çox	most of the
મોટાભાગનો	ən çox	most of the part
મોટાભાગે	əsasən	always
મોટી	böyük	big
મોટુ	böyük	large
મોટું	böyük	big
મોટે	mote	majority
મોટેથી	ucadan	aloud
મોટેભાગે	əsasən	covers large share
મોટો	böyük	big
મોડલ	model	model
મોડી	gec	late
મોડેલ	model	model
મોડેલો	modellər	models
મોડેલોમાં	modellərdə	in models
મોડેલ્સ	modellər	models
મોડ્યુલ	modul	module
મોઢવાડીયા	modhwadia	modhvadia
મોત	ölüm	death, dead, casualty,
મોતને	ölməyə	demise / death
મોતી	i̇ncilər	pearl
મોતીલાલ	motilal	moti lal
મોદી	modi	modi
મોબાઇલ	mobil	mobile
મોબાઈલ	mobil	mobile
મોભો	mobho	honour
મોર	bloom	peacock
મોરચો	ön	front
મોરબી	morbi	morbi
મોરારજી	morarji	morarji
મોલ	avm	mail
મોલ્ડેવિયા	moldova	moldevia / moldova
મોસ્કો	moskva	moscow
મોહનદાસ	mohandas	mohandas
મોહમ્મદ	məhəmməd	muhammad, name of a person
મોહી	mohi	to be spelled by
મૌખિક	şifahi	oral
મૌન	sükut	silence
મૌર્ય	maurya	maurya
મૌલાના	mövlana	maulana
