$	dollarni tashkil etadi	dollarsign
leonardo	leonardo	leonardo
leopold	leopold	leopold
leraar	o&#39;qituvchi	teacher
leraren	o&#39;qituvchilar	teachers
leren	o&#39;rganish	learn
les	dars	lesson
letland	latviya	letland
lets	nimadur	something
letten	e&#39;tibor qarating	paying attention
letter	xat	type
letteren	harflar	linguistics
letterlijk	so&#39;zma-so&#39;z	literally
letterlijke	tom ma&#39;noda	literal
letters	harflar	letters
leukemie	leykemiya	leukemia
leuven	bargli	leuven
level	daraja	level
leven	hayot	life
levend	tirik	alive
levende	tirik	living
levens	yashaydi	lives
levensbeschouwing	hayot falsafasi	ideology
levensduur	hayot davomiyligi	lifetime
levensjaar	hayot yili	year of life
levenslang	hayot paytida	lifelong
levenslange	umr bo&#39;yi	lifetime
levensloop	hayot sikli	life
levensmiddelen	ovqat	foods
levensstijl	turmush tarzi	way of living
levensverwachting	umr ko&#39;rish davomiyligi	life expectancy
levenswijze	hayot yo&#39;li	way of life
lever	jigar	liver
leverde	yetkazib berildi	did
leverden	yetkazib berildi	current
leveren	yetkazib bermoq	deliver
levert	materiallar	provides /produces
lewis	lyuis	lewis
lex	leksemasi	lex
lezen	o&#39;qing	readable
lezing	o&#39;qish	reading
lhasa	lhasa	lhasa
libanon	livan	libanon
liberaal	liberal	liberal
liberale	liberal	liberal
liberalen	liberallar	liberals
liberalisme	liberalizm	liberalism
libero	libero	libero
liberty	ozodlik	libery
libië	liviya	libya
library	kutubxonasi	library
lichaam	tanasi	body
lichaamsdelen	tana qismlari	body parts
lichaamstemperatuur	tana harorati	body temperature
lichamelijk	jismoniy	fysical
lichamelijke	jismoniy	fysical
lichamen	tanalar	bodies
licht	yorug&#39;lik	light
lichte	yorug&#39;lik	light
lichten	chiroqlar	lights
lichter	engilroq	lighter
lichtere	engilroq	lighter
lichtsnelheid	yorug&#39;lik tezligi	speed of light
lid	a&#39;zosi	member
lidmaatschap	a&#39;zolik	membership
lidstaten	a&#39;zo davlatlar	states
liechtenstein	lixtenshteyn	liechtenstein
lied	qo&#39;shiq	song
liederen	qo&#39;shiqlar	songs
liedje	qo&#39;shiq	songs
liedjes	qo&#39;shiqlar	songs
liefde	sevgi	love
liefst	afzalroq	sweetest
liep	yurdi	went
liepen	yurdi	to ran
liet	chapga	let
lieten	chapga	let
lieve	azizim	sweet
liever	o&#39;rniga	rather
life||||||||||	hayot ||||||||||	life
lift	asansör	lift
liga	liga	league
liggen	yolg&#39;on gapirish	be (in a coma)
liggende	yotgan	lying
ligging	manzil	position/location
light	yorug&#39;lik	light
ligt	yotadi	lies
lijden	azob	suffer
lijdt	aziyat chekmoqda	suffers
lijk	murda	corpse
lijken	paydo bo&#39;ladi	corpses
lijkt	ko&#39;rinadi	seems
lijn	chiziq	line
lijnen	chiziqlar	lines
lijst	ro&#39;yxati	list
lijsten	ro&#39;yxatlari	mold
like	kabi	like
likeur	likyor	liqour
lily	lily	lily
limburg	limburg	limburg
limburgs	limburglar	limburgish language
lincoln	linkoln	lincoln
linda	linda	linda
link	havola	link
linker	chapga	left
linkin	choyshab	linkin
links	chapga	left
linkse	chap qanot	left wing
linux	linux	linux
lionel	sher	lionel
lippen	lablar	lips
lisa	lisa	lisa
lissabon	lissabon	lisbon
list	nayrang	list
liston	liston	liston - proper noun - surname
liter	litr	litre
literaire	adabiy	literary
literatuur	adabiyot	literature
litouwen	litva	lithuania
little	oz	little
liturgie	liturgiya	liturgy
liturgische	liturgik	liturgical
livealbum	jonli albom	live album
liverpool	liverpul	liverpool
live||||||||||	jonli ||||||||||	live
lloyd	lloyd	lloyd
locatie	manzil	location
locaties	joylar	locations
locke	qulf	locke
lockheed	qulflangan	lockheed
lodewijk	lodewijk	ludwig
loena	luna	loena
lof	maqtov	honors
logboek	jurnal	log book
loge	turar joy	lodge
loges	qutilar	lodges
logica	mantiq	logic
logisch	mantiqiy	logically
logische	mantiqiy	logical
logo	logotipi	logo
lohan	lohan	lohan
lokaal	mahalliy	local
lokale	mahalliy	local
lokken	jalb qilish	lure
londen	london	london
londense	london	london
london	london	london
lonely	yolg&#39;iz	eenzame
lonen	ish haqi	pay
longen	o&#39;pka	lungs
longontsteking	zotiljam	pneumonia
look	qarang	look - part of proper noun
loon	ish haqi	wage
loop	yurish	course
loopbaan	mansab	career
loopt	yuguradi	walks
lopen	yurish	be in danger
lopende	davom etayotgan	walking
lord	rabbim	lord
lorenzo	lorenzo	lorenzo
los	bo&#39;shashmasdan	los - part of proper noun - place name
losse	bo&#39;shashmasdan	loose
lossen	tushirish	solve
lost	hal qilindi	solves
lot	juda ko&#39;p	fait
loting	chizish	drawing of lots
louis	louis	louis
louise	louise	louise
louter	sof holda	purely
louvre	louver	louvre
love	sevgi	love
love||||||||||	sevgi ||||||||||	love
lp	lp	lp
lr	lr	lr
luc	luc	luc
lucas	lukas	lucas
lucht	osmon	ether (1st sentence), air (6th and 7th sentence)
luchthaven	aeroporti	airport
luchthavens	aeroportlar	airports
luchtmacht	havo kuchlari	airforce
luchtvaart	aviatsiya	aviation
luchtvaartmaatschappij	aviakompaniya	airline
luchtwegen	nafas olish tizimi	respiratory
lucius	lucius	lucius
ludo	ludo	ludo
ludwig	ludvig	ludwig
luidde	o&#39;qildi	was called
luidt	o&#39;qiydi	states
luik	lyuk	hatch
luis	bit	luis
luisteren	tinglang	listen
luitenant	leytenant	lieutenant
luke	luk	luke
lukt	muvaffaqiyat qozonadi	succeed
lukte	muvaffaqiyatga erishdi	succeeded
lupus	qizilo&#39;ngach	lupus
luther	lyuter	luther
luthers	lyuteran	lutheran
lutherse	lyuteran	lutheran
luxe	hashamat	luxury
luxembourg	lyuksemburg	luxembourg
luxemburg	lyuksemburg	luxembourg
luxemburgse	lyuksemburg	luxembourg
lyceum	litsey	lyceum
lyon	lion	iyon
m	m	m
ma	ma	ma
maag	oshqozon	stomach
maagd	bokira	virgin
maakt	qiladi	is
maakte	qilingan	made
maakten	qilingan	were
maal	ovqat	time
maaltijd	ovqat	meal
maan	oy	moon
maand	oy	month
maandag	dushanba	monday
maanden	oylar	months
maar	lekin	but
maarschalk	marshal	marshal
maart	mart	march
maarten	marsh	maarten
maas	to&#39;r	mesh
maastricht	maastrixt	maastricht
maat	o&#39;lchov	measures
maatregelen	chora-tadbirlar	measures
maatschappelijk	ijtimoiy	socially
maatschappelijke	ijtimoiy-madaniy	social
maatschappij	jamiyat	society / company
mac	mac	mac
macedonië	makedoniya	macedonia
machine	mashina	machine
machines	mashinalari	machinery
macht	quvvat	power
machten	vakolatlari	allies
machthebbers	hukmdorlar	rulers
machtig	qudratli	mighty
machtige	qudratli	powerful
machtigste	eng kuchli	most powerful
machtsovername	hokimiyatni bosib olish	coup
machu	machu	machu
madagaskar	madagaskar	madagascar
madame	xonim	madam
made	qilingan	made - proper noun in 1st sentence, gemaakt - 3rd and 5th sentence.
madeira	madeyra	madeira
madison	madison	madison
madonna	madonna	madonna
madonnas	madonnalar	madonnas
madrid	madrid	madrid
mae	mae	mae
maffia	mafiya	mafia
mag	ruxsat berilgan	may
magazine	jurnal	magazine
magdalena	magdalena	magdalena
magic	sehr	magic
magisch	sehr	magic
magische	sehrli	magic
magnetisch	magnitlangan	magnetic
magnetische	magnitlangan	magnetic
mail	pochta	mail
main	asosiy	main
mainstream	asosiy oqim	mainstream
majoor	asosiy	major
major	asosiy	major
make	qilmoq	make
maken	qilmoq	make
maker	ishlab chiqaruvchi	maker
makers	ishlab chiqaruvchilar	makers
makkelijk	oson	easily
makkelijker	sekinroq	easier
malaria	bezgak	malaria
malcolm	malkolm	malcolm
maleisië	malayziya	malaysia
malen	maydalash	times
malfidus	buzuq	maflidus
malt	malt	malt
malta	malta	malta
management	boshqarish	management
manager	menejer	manager
manchester	manchester	manchester
mandela	mandela	mandela
manen	oylar	moons
manier	yo&#39;l	that way
manilla	manila	manilla
mannelijk	erkak	male
mannelijke	erkak	male
mannen	erkaklar	men
mannetje	erkak	male
mannetjes	erkaklar	males
manschappen	erkaklar	personnel
manson	manson	manson
mantel	palto	coat/ mantle
manuel	manuel	manuel
mao	mao	mao
marathon	marafon	marathon
marc	marc	marc
marcel	marsel	marcel
marco	marko	marco
marcus	marcus	marcus
mare	bema	mare
marerijk	marerijk	marerijk
margaret	margaret	margaret
margaretha	margareta	margaretha
maria	mariya	mary
marie	mari	marie
marihuana	marixuana	marihuana
marilyn	merilin	marilyn
marine	dengiz floti	navy
mariniers	dengiz piyodalari	marines
mario	mario	mario - proper noun - first name
maritieme	dengizchilik	maritime
mark	belgilash	mark
market	bozor	market
marketing	marketing	marketing
marketingmix	marketing aralashmasi	marketing mix
markt	bozor	market
markten	bozorlar	markets
marley	marley	marley
marokkaanse	marokash	maroccan
marokko	marokash	morocco
mars	mars	march
marseille	marsel	marseille
marshall	marshall	marshall
marsoppervlak	marsh yuzasi	surface of mars
martin	martin	martin
martín	martin	martín (name)
marx	marks	marx
mary	mari	mary
maría	mariya	mary
mason	mason	mason
massa	massa	masses
massaal	katta	heavy
massale	katta	massal
master	usta	master
masters	ustalar	masters
masturbatie	onanizm	masturbation
masturberen	masturbatsiya	masturbating
mat	mat	dim
mate	darajasi	degree
maten	o&#39;lchamlari	weights
materiaal	material	material
materialen	materiallar	materials
materialisme	materializm	materialism
materie	materiya	matter
materieel	material	equipment
materiële	material	material
matig	o&#39;rta	moderate
matige	mo&#39;&#39;tadil	moderate
matt	mot	matt
matthew	mat	matthew
maurice	maurice	maurice
mauritius	mauritius	mauritius
maurits	mauritlar	maurits
max	maksimal	max
maximaal	maksimal	maximal
maximale	maksimal	optimal
maxime	maxima	maxime
maximiliaan	maximilian	maximilian
maximum	maksimal	maximum
maximus	maximus	maximus
may	mumkin	may
maya	mayya	maya
mayas	mayalar	mayas
maïs	makkajo&#39;xori	corn
mc	mc	mc
mccartney	makkartni	mccartney
me	meni	me
mechanica	mexanika	mechanics
mechanische	mexanik	mechanic
mechanisme	mexanizmi	mechanism
mechelen	mechelen	mechelen
medaille	medal	medal
medaillon	medalyon	medaillon
mede	shuningdek	mede
medelijden	achinish	pity
medeoprichter	hammuassisi	co-founder
medewerkers	xodimlar	employees
medewerking	hamkorlik	collaboration
media	ommaviy axborot vositalari	media
medicatie	dorilar	medication
medici	mediklar	medici
medicijn	dori	medicine
medicijnen	dorilar	drugs
medina	madina	madina
medio	o&#39;rtasi	mid
medisch	tibbiy	medical
medische	tibbiy	medical
mediterraan	o&#39;rta er dengizi	mediterranean
mediterrane	o&#39;rta er dengizi	mediterranean
medium	o&#39;rta	medium
mee	bo&#39;ylab	with
meedoen	ishtirok eting	participate
meegemaakt	tajribali	paticipated
meegenomen	olingan	included
meende	dedi	thought
meenden	o&#39;yladi	thought
meent	ishonadi	thinks
meer	ko&#39;l	more
meerdere	ko&#39;p	multiple
meerderheid	ko&#39;pchilik	majority
meervoud	ko&#39;plik	plural
meest	eng	most
meestal	asosan	mostly
meeste	eng	most
meesten	eng	most
meester	usta	master
meesters	ustalar	masters
meet	o&#39;lchov	measurement
meetkunde	geometriya	geometry
meeuwis	bo&#39;rsiq	meeuwis - proper noun - surname
mei	may	may
meijer	meijer	meijer
meisje	qiz	girl
meisjes	qizlar	little girls
mekka	makka	mecca
meldde	xabar qildi	reported
melding	xabarnoma	report
melk	sut	milk
melkweg	somon yo&#39;li	milky way
melodie	musiqa	melody
memorial	yodgorlik	memorial
memphis	memfis	memphis
men	erkaklar	people
meneer	ser	mr.
menen	anglatadi	to believe
mengeling	aralashtiramiz	mixture
mengen	qorishmoq	mixing
mengsel	aralashmasi	mixture
mening	fikr	opinion
meningen	fikrlar	opinions
meningitis	meningit	meningitis
meningsuiting	ifoda	expression of opinion
mens	kishi	human
menselijk	inson	human
menselijke	inson	huan
mensen	odamlar	people
mensenrechten	inson huquqlari	human rights
mensheid	insoniyat	humanity
menstruatie	davri	menstruation
mentale	aqliy	mental
menu	menyu	menu
mercurius	merkuriy	mercury
mercury	simob	mercury
meren	ko&#39;llar	lakes
merendeel	ko&#39;pchilik	most
merk	tovar	brand
merkbaar	sezilarli	noticable
merken	brendlar	brands
merkt	eslatmalar	notices
merkte	payqadi	mark
mesoamerika	mezoamerika	meso america
messi	messi	messi
met	bilan	with
metaal	metall	metal
metafoor	metafora	metaphor
metafysica	metafizika	metofysica
metal	metall	metal
metalen	metall	metal
metallica	metallika	metallica
meteen	darhol	immediately
meten	o&#39;lchov	measuring
meter	metr	metre
meters	metrga teng	meteres
methaan	metan	methane
methode	usuli	method
methoden	usullari	methods
methodes	usullari	methods
meting	o&#39;lchov	measurement
metingen	o&#39;lchovlar	measurements
metro	metro	subway
metropolitan	poytaxt	metropolitan
metropool	metropoliya	metropolis
mexicaanse	meksikalik	mexican
mexico	meksika	mexico
me||||||||||	meni ||||||||||	me
miami	mayami	miami
michail	mixail	mikhail
michel	mishel	michel
michelangelo	mikelanjelo	michelangelo
michelle	mikron	michelle
michels	mikrosxemalar	michels
michiel	michiel	michiel
mick	mik	mick
microsoft	mikrosoft	microsoft
middag	tushdan keyin	noon
middags	tushdan keyin	noon
middel	agent	through
middelbaar	ikkilamchi	middle
middelbare	o&#39;rta yoshli	secondary
middelburg	middelburg	middleburg
middeleeuwen	o&#39;rta asrlar	middle ages
middeleeuws	o‘rta asrlarga oid	medieval
middeleeuwse	o‘rta asrlarga oid	medieval
middelen	manbalar	means
middelgrote	o&#39;rta	medium
middellandse	o&#39;rta er dengizi	mediterranean
middelpunt	markazi	center
middels	orqali	using
middelste	o&#39;rtasi	middle
midden	o&#39;rtasi	middle
middeneuropa	o&#39;rta evropa	central europe
middenklasse	o&#39;rta sinf	middle classes
middenoosten	yaqin sharq	middle east
midnight	yarim tunda	midnight
mieren	chumolilar	ants
migraine	migren	migrain
migranten	muhojirlar	migrants
migratie	migratsiya	migration
miguel	migel	miguel
mij	meni	me
mijn	mening	mine
mijnbouw	qazib olish	mining industry
mijnen	minalar	mines
mike	mayk	mike
milaan	milan	milan
milan	milan	milan
milde	yumshoq	mild
miles	milya	miles
miley	miley	miley
milieu	atrof-muhit	environment
militair	harbiy	military
militaire	harbiy	military
militairen	askarlar	military
miljard	milliard	billion
miljarden	milliardlab	billions
miljoen	million	million
miljoenen	millionlar	millions
millennium	ming yillikda	millenium
miller	tegirmonchi	miller
milt	taloq	spleen
min	daq	minus
mind	aql	mind
mindanao	mindanao	mindanao
minder	kamroq	less
mindere	ozroq	less
minderheden	ozchiliklar	minorities
minderheid	ozchilik	minority
minderjarigen	voyaga yetmaganlar	minors
mineralen	minerallar	minerals
minimaal	minimal	minimal
minimale	minimal	minimum
minimum	eng kam	minimum
minister	vazir	minister
ministerie	vazirlik	ministery
ministeries	vazirliklar	ministries
ministerpresident	bosh vazir	prime minister
ministers	vazirlar	ministers
minor	ahamiyatsiz	minor
minst	eng kam	least
minste	eng kam	least
minstens	kamida	at least
minuten	daqiqa	minutes
minuut	daqiqa	minute
mis	noto&#39;g&#39;ri	wrong
misantroop	misantropik	misantrophe
misbruik	suiiste&#39;mol qilish	abuse
misdaad	jinoyat	crime
misdaden	jinoyatlar	crimes
misdadigers	jinoyatchilar	criminals
misdrijf	jinoyat	crime
misdrijven	jinoyatlar	crimes
mislukt	bajarilmadi	failed
mislukte	bajarilmadi	failed
misschien	balki	perhaps
misselijkheid	ko&#39;ngil aynish	sickness
missen	sog&#39;inmoq	miss
missie	vazifa	mission
missionaris	missioner	missionary
mississippi	missisipi	mississippi
mist	tuman	mist
misverstand	tushunmovchilik	misunderstanding
mitchell	mitchell	mitchell
mits	sharti bilan	provided that
mix	aralashtiramiz	mix
mm	mm	millimeter
mn	mn	in particular
mobiele	mobil	mobile
mocht	ruxsat berilgan edi	was allowed
mochten	ruxsat berildi	were allowed to
moddersnoeken	loy pike	bowfin
mode	moda	fashion
model	moda modeli	model
modellen	modellari	models
modern	zamonaviy	modern
moderne	zamonaviy	modern
modernisering	modernizatsiya	modernization
moed	jasorat	courage
moeder	ona	mother
moederdag	onalar kuni	mother's day
moeders	onalar	mothers
moedertaal	mahalliy til	mother tongue
moeilijk	qiyin	difficult
moeilijke	qiyin	difficult
moeilijker	yanada qiyin	more difficult
moeilijkheden	qiyinchiliklar	difficulties
moeite	harakat	effort
moeizaam	mehnatkash	hard
moerassen	botqoqliklar	swamps
moest	majbur bo `ldim	had
moesten	majbur bo `ldim	had
moet	kerak	must
moeten	kerak	have to
mogelijk	mumkin	possible
mogelijke	mumkin	possible
mogelijkheden	imkoniyatlar	possibilities
mogelijkheid	imkoniyat	opportunity
mogen	ruxsat berilsin	may
mogendheden	vakolatlari	powers
mohammed	muxammad	mohammed
mol	mol	mole
moldavië	moldaviya	moldavia
moleculen	molekulalari	molecules
molybdeen	molibden	molybdene
momenteel	hozirda	currently
momenten	lahzalar	moments
mon	oy	mon
mona	mona	mona
monaco	monako	monaco (proper noun)
monarch	monarx	monarch
monarchie	monarxiya	monarchy
mond	og&#39;iz	mouth
mondelinge	og&#39;zaki	oral
monding	og&#39;iz	mouth
mondriaan	mondrian	mondriaan
monetaire	pul	monetary
money	pul	money
mongolen	mo&#39;g&#39;ullar	mongols
mongolië	mo&#39;g&#39;uliston	mongolia
mongoolse	mo&#39;g&#39;ul	mongolian
monnik	rohib	monk
monniken	rohiblar	monks
monopolie	monopoliya	monopoly
monroe	monro	monroe
mons	mons	mons
monster	namuna	monster
monsters	yirtqich hayvonlar	monsters
mont	oy	mont
montana	montana	montana
monte	monte	monte
montenegro	chernogoriya	montenegro
montgomery	montgomery	montgomery
montréal	montréal	montreal
monument	yodgorlik	monument
monumentale	monumental	monumental
monumenten	yodgorliklari	monuments
mooi	chiroyli	nice
mooie	chiroyli	beautiful
mooiste	eng go&#39;zal	prettiest
moon	oy	moon
moord	qotillik	autonomous
moorden	qotillik	murders
moordenaar	qotil	murderer
moore	murda	moore
moraal	axloq	moral
moravië	moraviya	moravia
more	ko&#39;proq	nog
moreel	axloqiy	ethical
morele	ahloqiy	moral
moren	sayr qilish	moors - proper noun - a people
morgan	morgan	morgan
morgen	ertaga	tomorrow
morris	morris	morris
morrison	morrison	morrison
morse	morse	morse
moskee	masjid	mosque
moskeeën	masjidlar	mosks
moskou	moskva	moscow
moslim	musulmon	moslim
moslims	musulmonlar	moslims
motie	harakat	motion
motieven	sabablar	motives
motivatie	turtki	motivation
motor	motor	engine
motoren	dvigatellar	motors
motto	shiori	motto
mount	o&#39;rnatish	berg
mountains	tog&#39;lar	mountains
movie	film	movie
mozarts	mozarts	mozart's
mozes	muso	mozes (proper noun)
mr	janob	mr.
ms	xonim	ms
mtv	mtv	mtv
muggen	pashsha	gnat
muis	sichqonchani	mouse
muizen	sichqonlar	mice
mulisch	mulikal	mulisch
municipio	municipio	municipio
munt	yalpiz	coin
munteenheid	valyuta	currency
munten	tangalar	coins
murdoch	murdoch	murdoch
muren	devorlar	walls
murphy	murfiya	murphy
murray	murray	murray
muse	iltifot	muse
musea	muzeylar	museums
museo	muzey	museo
museum	muzey	museum
music	musiqa	music
musical	musiqiy	musical
musici	musiqachilar	musicians
mussolini	mussolini	mussolini
musée	muzey	museum
mutatie	mutatsiya	mutation
mutaties	mutatsiyalar	mutations
muur	devor	wall
muziek	musiqa	music
muziekpiet	sozanda	musicpete
muzikaal	musiqiy	musical
muzikale	musiqiy	musical
muzikanten	musiqachilar	musicians
myanmar	myanma	myanmar
mysterie	sir	mystery
mysterieuze	sirli	mysterious
mystery	sir	mystery
mystiek	mistik	mystic
mystieke	mistik	mystical
mythe	afsona	myth
mythen	afsonalar	myths
mythische	afsonaviy	mythical
mythologie	mifologiya	mythology
máxima	moxima	máxima
müller	muallimlar	muller
münchen	myunxen	munchen
münster	munster	munster
na	keyin	after
naakt	yalang&#39;och	naked
naam	nomi	name
naamgeving	nomlash	naming
naar	ga	to
naargelang	bog&#39;liq holda	according to
naarmate	sifatida	as
naast	keyingi	apart from
naaste	qo&#39;shni	neighbour
nabestaanden	qarindoshlar	survivors
nabij	yaqin	near
nabije	yaqin	waters
nabijgelegen	yaqinida	near
nabijheid	yaqinlik	proximity
naburige	qo&#39;shni	neighbouring
nacht	kechasi	night
nachtleven	tungi hayot	night life
nachts	tunda	nighttime
nachtwacht	tungi qorovul	night watch
nacional	natsional	nacional
nadal	nadal	nadal
nadat	keyin	after
nadeel	noqulaylik	disadvantage
nadelen	kamchiliklari	disadvantages
nader	keyingi	further
nadien	keyinchalik	afterwards
nadruk	urg&#39;u	emphasis
nadrukkelijk	diqqat bilan	formal
nagelaten	vasiyat qilingan	left behind
nagels	mixlar	nails
nagenoeg	deyarli	almost
nageslacht	avlodlar	progeny
nagornokarabach	nagornokarabach	nagorno-karabakh
najaar	kuz	autumn
nakomelingen	nasl	offspring
nam	oldi	took
name	nomi	particularly
namelijk	ya&#39;ni	as it happened (1st sentence), namely (4th sentence), for (5th sentence)
namen	ismlar	names
namens	nomidan	on behalf to
namibië	namibiya	namibia
nancy	nancy	nancy
naoorlogse	urushdan keyingi davr	postwar
napels	neapol	naples
napoleon	napoleon	napoleon
nasa	nasa	nasa
nassau	nassau	nassau
nat	ho&#39;l	wet
nate	yoqimli	nate
nathan	natan	nathan
natie	millat	nation
naties	xalqlar	nations
nation	millat	nation
nationaal	milliy	national
nationaalsocialisme	milliy sotsializm	national socialism
nationaalsocialistische	milliy sotsialistik	national socialistic
national	milliy	national
nationale	milliy	national
nationalisme	millatchilik	nationalism
nationalisten	millatchilar	nationalists
nationalistisch	millatchilik	nationalist
nationalistische	millatchi	nationalist
nationaliteit	millati	nationality
nations	xalqlar	nations
natrium	natriy	sodium
natte	ho&#39;l	wet
natural	tabiiy	natural
nature	tabiat	nature
natuur	tabiat	nature
natuurgebieden	qo&#39;riqxonalar	nature reserves
natuurkunde	fizika	physics
natuurkundige	fizik	physicist
natuurlijk	albatta	natural
natuurlijke	tabiiy	natural
natuurreservaat	qo&#39;riqxona	nature reserve
natuurwetenschappen	tabiiy fanlar	natural sciences
nauw	tor	narrow / close to
nauwe	yaqin	close
nauwelijks	zo&#39;rg&#39;a	barely
nauwkeurig	aniq	precise
navo	nato	navo - dutch abbreviation of north atlantic treaty organization
navolging	taqlid	imitation
naziduitsland	natsist-germaniya	nazi germany
nb	nb	nb
nba	nba	nba
ncis	ncis	ncis
ne	ne	ne
nec	nec	nec
necrofilie	nekrofiliya	necrophilia
nederlaag	mag&#39;lubiyat	defeat
nederland	nederlandiya	the netherlands
nederlanden	nederlandiya	netherlands
nederlander	gollandiyalik	dutchman
nederlanders	golland	dutch
nederlands	golland	dutch
nederlandsche	golland	dutch
nederlandse	golland	dutch
nederlandsindië	gollandiya hindiston	dutch east indies
nederlandstalig	golland tilida	dutch
nederlandstalige	golland	dutch-speaking
nederrijn	reyn	lower rhine
nederzetting	turar-joy	settlement
nederzettingen	aholi punktlari	settlements
need	kerak	need
neef	amakivachcha	cousin
neemt	oladi	accounts for - 2nd sentence, decreases - 4th sentence
neer	pastga	down
neergezet	pastga qo&#39;ymoq	put down
neerslag	yog&#39;ingarchilik	precipitation
negatief	manfiy	negative
negatieve	manfiy	negative
negen	to&#39;qqiz	nine
negende	to&#39;qqizinchi	ninth
negentiende	o&#39;n to&#39;qqizinchi	nineteenth
negentig	to&#39;qson	ninety
neiging	moyillik	urge
neil	nil	neil
nek	bo&#39;yin	neck
nelson	nelson	nelson
nemen	olmoq	take
nepal	nepal	nepal
nergens	hech qayerda	nowhere
nero	neron	nero
nest	uyasi	nest
net	shunchaki	just
netnummer	maydon kodi	netnumber
netvleugeligen	tarmoq	lacewinged
netvlies	setchatka	retina
netwerk	tarmoq	network
netwerken	tarmoq	networks
network	tarmoq	network
neurologische	nevrologik	neurological
neuronen	neyronlar	neurons
neus	burun	nose
neutraal	neytral	neutral
neutrale	neytral	neutral
neutraliteit	betaraflik	neutrality
nevada	nevada	nevada
never	hech qachon	never
new	yangi	new
news	yangiliklar	news
newton	nyuton	newton
nicaragua	nikaragua	nicaragua (land)
nicht	jiyan	niece
nick	nik	nick
nicolas	nikolalar	nicolas
nicole	nikol	nicole
niemand	hech kim	nobody
nier	buyrak	kidney
nieren	buyraklar	kidneys
niet	emas	not
nietonafhankelijke	mustaqil emas	independant
niets	hech narsa	nothing
niettemin	shunga qaramay	nevertheless
nietzsche	nitsshe	nietzsche
nietzsches	nitsshech	nietzsche
nieuw	yangi	new
nieuwe	yangilari	new
nieuwere	yangi	newer
nieuwguinea	yangi gvineya	new guinea
nieuws	yangiliklar	news
nieuwste	eng yangi	new
nieuwzeeland	yangi zelandiya	new zealand
niger	niger	niger
nigeria	nigeriya	nigeria
night	kechasi	night
nightmare	kabus	nightmare
nijl	nil	nile
nijmegen	nijmegen	nijmegen
niko	niko	niko
nikola	nikola	nikola
niks	hech narsa	nothing
nina	nina	nina
nintendo	nintendo	nintendo
nirvana	nirvana	nirvana
niveau	daraja	level
niveaus	darajalari	levels
nixon	nikson	nixon
nl	nl	com
nl 	nl	en
nm	nm	nanometre
nnationaal	milliy	nnationaal
no	yo&#39;q	number
nobelprijs	nobel mukofoti	nobel price
noch	ham	nor
nodig	talab qilinadi	necessary
nodige	zarur	some
noemde	chaqirdi	mentioned
noemden	chaqirdi	called
noemen	zikr qilish	call
noemenswaardige	eslatib o&#39;tishga arziydi	significant
noemer	mahkum	aliquot
noemt	qo&#39;ng&#39;iroqlar	call
nog	hali	even
nogal	ancha	rather
nogmaals	yana bir marta	again
nominaties	nominatsiyalar	nominations
non	non	nun
nood	favqulodda vaziyat	emergency
noodgedwongen	zaruratdan tashqarida	forced
noodsituatie	favqulodda vaziyat	emergency situation
noodzaak	kerak	necesitty
noodzakelijk	zarur	necessary
noodzakelijke	zarur	necessary
nooit	hech qachon	never
noord	shimolda	north
noordafrika	shimoliy afrika	north africa
noordamerika	shimoliy amerika	north america
noordamerikaanse	shimoliy amerika	north american
noordbrabant	shimoliy brabant	north brabant
noordcyprus	shimoliy kipr	north(ern)-cyprus
noordelijk	shimoliy	northern
noordelijke	shimoliy	northern
noorden	shimolda	north
noordeuropa	shimoliy evropa	north europe
noordholland	shimoliy gollandiya	north holland
noordierland	shimoliy irlandiya	northern ireland
noorditalië	shimoliy-italiya	northern italy
noordkorea	shimoliy koreya	north korea
noordoostelijke	shimoli-sharqda	northeastern
noordoosten	shimoli-sharqda	nort-east
noordpool	arktika	northpole
noordse	shimoliy	nordic
noordwesten	shimoli g&#39;arbiy	northwestern
noordzee	shimoliy dengiz	north sea
noors	norvegcha	norwegian
noorse	norvegcha	norwegian
noorwegen	norvegiya	norwegia
norm	norma	value
normaal	normal	normal
normale	normal	normal
norman	norman	norman
normen	standartlar	standards
north	shimolda	north
northern	shimoliy	northern (noord)
nos	nos	nos
nostradamus	nostradamus	nostradamus
not	emas	not
noten	yong&#39;oqlar	nuts
nothing	hech narsa	nothing
nou	yaxshi	nou
nouveau	nouveau	nouveau
nova	nova	nova
november	noyabr	november
now	hozir	now
nr	yo&#39;q	nr
nrc	nrc	nrc
nsb	nsb	nsb
nsdap	nsdap	nsdap
nu	hozir	at present
nucleaire	yadroviy	nuclear
nul	nolga teng	zero
nummer	raqam	song
nummers	raqamlar	songs
nut	qulaylik	use
nv	nv	public limited company (plc)
nva	nva	nva
nvt	yo&#39;q	not applicable
o	o	o
oa	ao	among others
obama	obama	obama
obediënties	itoatkorlik	obediences
obelix	obelix	obelix
object	ob&#39;ekt	object
objecten	ob&#39;ektlar	objects
objectief	ob&#39;ektiv ravishda	objective
objectieve	ob&#39;ektiv	objective
oceaan	okean	ocean
oceanen	okeanlar	oceans
oceanië	okeaniya	oceania
ochtend	ertalab	morning
ochtends	ertalab	morning
octavianus	sakkizoyoq	octavian
octavo	oktavo	octavo
oefenen	mashq qilish	exercise
oekraïens	ukrain	ukrainian
