$	dollar təşkil edib	american dollar symbol
செய்கின்றனர்	xalq	doing
செய்கிறது	edir	is done by
செய்த	the	done
செய்ததாக	bitdi	having done
செய்தது	profil	was done
செய்தன	töhfə verilmişdir	done by
செய்தனர்	etdilər	has created
செய்தல்	edilməsi	doing
செய்தவர்	üst	maker
செய்தான்	etdi	jalalutheen asansa
செய்தார்	etdi	he/she did
செய்தார்கள்	etdi	they did
செய்தால்	əgər etsən	if done
செய்தி	xəbərlər	news
செய்திகளும்	xəbərlər	news
செய்திகளை	mesajlar	news
செய்திகளைத்	xəbərlər	news
செய்திகள்	xəbərlər	news
செய்தித்	xəbərlər	news
செய்தித்தாளில்	qəzetdə	in news paper
செய்தியின்	xəbərlər	news
செய்தியை	mesaj	news
செய்திருந்தார்	oldu	arranged
செய்து	xahiş edirəm	doing
செய்தும்	edilməsi	done
செய்துள்ளது	var	has
செய்துள்ளனர்	var	did
செய்துள்ளார்	redaktə edildi	done
செய்பவர்கள்	sərhəd	doers
செய்முறை	proses	practical
செய்யக்	etmək	to be done
செய்யக்கூடிய	edə bilərsiniz	perform
செய்யத்	üçün	doing
செய்யப்	üçün	to do
செய்யப்படுகின்றன	edirsiniz	is done by
செய்யப்படுகிறது	bitdi	doing
செய்யப்படும்	ediləcəkdir	to be done
செய்யப்பட்ட	the	made by
செய்யப்பட்டது	oldu	done by
செய்யப்பட்டன	edildi	doing
செய்யப்பட்டனர்	oldu	was done
செய்யப்பட்டார்	oldu	is confirmed
செய்யப்பட்டு	olmaq	done by
செய்யப்பட்டுள்ளது	edir	access
செய்யப்பட்டுள்ளன	oldu	have been
செய்யலாம்	bacarmaq	to be done
செய்யவில்லை	edilməyib	not done
செய்யவும்	et bunu	to do
செய்யவேண்டும்	etməli	to be done
செய்யாதே	etmə	not to do that
செய்யாமல்	olmadan	not having done
செய்யும்	edilməsi	doing
செய்யும்போது	edərkən	doing
செய்யுள்	şeir	poetry
செய்யுள்கள்	ayələr	poems
செய்வதன்	tıklayın	doing
செய்வதற்காக	üçün	to do
செய்வதற்கான	üçün	to do
செய்வதற்கு	üçün	making
செய்வதற்கும்	üçün	to
செய்வதால்	etməklə	can
செய்வதிலும்	edilməsi	helping
செய்வதில்	edərkən	to be done
செய்வது	etmək	to be done
செய்வதும்	üçün	to be done
செய்வதை	edilməsi	like done by
செய்வர்	olacaq	to be done
செய்வார்கள்	olacaq	mistakes committed by
செராடொப்சிடீ	ceratopciti	family of serotefsidi
செரானைடீ	ceranaiti	serranidae a fish family name
செருமனி	almaniya	ceremony
செருமனியில்	almaniyada	in german
செர்ப்பா	sherpa	sherpa
செறிவு	konsentrasiya	concentration
செலவில்	xərc	at a cost of
செலவு	qiymeti	expense
செலவுகள்	xərc	cost
செலீனியம்	selen	it's a chemical name
செலுத்த	ödəyin	pay
செலுத்தி	ödəyin	injector
செலுத்தினர்	ödənişlidir	injected
செலுத்திய	ödənişlidir	exerted
செலுத்துகின்றன	ödəyin	to go into
செலுத்துகின்றனர்	ödəyin	paying
செலுத்தும்	ödəniş	payable
செல்	gedin	go
செல்களின்	hüceyrələrdən	cell
செல்கள்	hüceyrələr	cells
செல்கின்றன	külək	moving
செல்கின்றனர்	ziyarət edin	go to
செல்கிறது	rəhbərlik edir	passes
செல்டிக்	seltik	seldic
செல்ல	gedin	take part
செல்லப்	nik	pet
செல்லும்	üçün	through
செல்லும்போது	gedərkən	on the way
செல்வதற்கு	nəqliyyat	for going
செல்வது	gedir	to go
செல்வன்	selvan	selvan a title given
செல்வம்	sərvət	wealth
செல்வாக்கு	təsir	influence
செல்வாக்குச்	təsir	influence
செல்வாக்கை	təsir	domination
செவ்வாயின்	marsdan	in the mars
செவ்வாயில்	marsda	in the mars planet
செவ்வாய்	çərşənbə axşamı	planet
செவ்வியல்	klassik	classicalogy
செஸ்	şahmat	chess
சே	che	se
சேகரிக்கும்	toplama	collect
சேகரித்து	toplanır	collected
சேகரிப்பு	kolleksiya	collection
சேக்சுபியரின்	şekspirin	sakespeare
சேக்சுபியரை	şekspir	sakespeare
சேக்சுபியர்	şekspir	sakespeare
சேதம்	zərər	loss
சேது	sethu	sedhu
சேனல்	kanal	channels
சேமிக்க	yadda saxla	savings
சேமிக்கப்படும்	saxlandı	to be saved
சேமிக்கும்	qoruyucu	to save
சேமித்து	yadda saxla	to save
சேமிப்பு	əmanət	storage
சேர	qoşulun	chera
சேரன்	cheran	cheran
சேரமான்	cheraman	seramaan
சேரர்	cheras	cherra
சேரர்களின்	cherasda	the cheras
சேரர்கள்	cheras	cheras
சேரலாதன்	ceralatan	cheralathan
சேரிட்டி	missionerlər	charity
சேரும்	gəlin	reach
சேர்	əlavə edin	to add
சேர்க்க	əlavə edilmişdir	to join
சேர்க்கை	qəbul	combination
சேர்க்கையை	qarışıq	joining
சேர்த்து	əlavə olunur	with
சேர்த்துக்	daxil edin	joined
சேர்ந்த	the	from
சேர்ந்தது	qoşuldu	join
சேர்ந்தவர்	dən	belongs
சேர்ந்தவர்கள்	dən	people from
சேர்ந்தவை	aiddir	belong
சேர்ந்தார்	qoşuldu	reached
சேர்ந்து	birlikdə	to join with
சேர்பியா	serbiya	serbia
சேற்று	çamur	muddy
சேலம்	salem	salem
சேலை	sari	saree
சேவர்	qoruyucu	saver
சேவை	xidmət	service
சேவைகளின்	xidmətlər	services
சேவைகளில்	xidmətlər	services
சேவைகளும்	xidmətlər	services
சேவைகளை	xidmətlər	services
சேவைகள்	xidmətlər	services
சேவைப்	xidmətlər	help
சேவையின்	xidmətdən	in the service
சேவையில்	xidmətdə	services
சைகை	jest	action
சைபீரியன்	sibir	syberian  tiger
சைவம்	vegetarian	vegetarian
சொத்து	mülkiyyət	wealth
சொந்த	sahib	own
சொந்தமான	sahibidir	own
சொன்ன	- dedi	said
சொன்னார்	- dedi	he said
சொன்னால்	-i̇ndi	if they say beautifully
சொர்க்கம்	cənnət	heaven
சொற்களின்	şərtləri	words
சொற்களும்	sözlər	words
சொற்களை	sözləri	words
சொற்கள்	açar sözlər	words
சொற்பொருளியல்	semantik olaraq	semantic
சொல்	deyin	said
சொல்கிறது	deyir	that says
சொல்கிறார்	deyir	tells
சொல்ல	deyin	to say
சொல்லப்படுகிறது	bu deyilib	it is informed
சொல்லப்படும்	oxudu	said
சொல்லலாம்	deyin	can be said
சொல்லான	söz	the word
சொல்லானது	termin	the term
சொல்லி	sifariş	said
சொல்லிக்	tədris	to say
சொல்லில்	demək	in saying
சொல்லுக்கு	söz	word
சொல்லும்	sifariş	informing
சொல்லே	müddət	word
சொல்லை	söz	word  is
சொல்வது	deyir	telling
சோசலிச	sosialist	socialism
சோசா	sosa	soso people
சோடியம்	natrium	sodium
சோதனை	sınaq	test
சோதனைகளை	təcrübələr	testing
சோதிட	astroloji	horoscope
சோதிடம்	astrologiya	horoscope
சோறு	düyü	rice
சோளம்	qarğıdalı	maize
சோழ	çola	chola
சோழநாடு	colanatu	chola nadu or chola ruling place
சோழநாட்டின்	colanat&#39;dan	chola kingdom in the country
சோழனால்	çola	by the chola
சோழனின்	çolanın	cholan
சோழனுக்கு	çolaya	for the cholas
சோழனை	çola	chola's
சோழன்	çola	cholan
சோழன்கங்கைகொண்ட	colankankaikonta	cjola have ganga
சோழன்முதலாம்	colanmutalam	first cholan
சோழபுரம்	çolapuram	cholapuram
சோழப்	çola	colap
சோழரின்	çola	chola's
சோழர்	çola	chozhar
சோழர்களின்	çola	cholas
சோழர்கள்	xolas	cholas
சோவியத்	sovet	soviet
சோஷோன்	koson	shoshone a north american tribe
ஜகான்	cahan	jahan
ஜனநாய	demokratik	democratic
ஜனநாயக	demokratik	democratic
ஜனநாயகக்	demokratik	soshalism
ஜனவரி	yanvar	january
ஜனாதிபதி	prezident	president
ஜனாதிபதியின்	prezidenti	the president
ஜப்பானின்	yaponiyanın	japanese
ஜப்பானிய	yapon	japanies
ஜப்பானியர்கள்	yapon	japenese
ஜப்பானில்	yaponiyada	in japan
ஜப்பானை	yaponiya	to japan
ஜப்பான்	yaponiya	japan
ஜம்மு	cammu	jammu
ஜவஹர்லால்	cəvəhaharlal	jawaharlal
ஜாக்சன்	cekson	jackson
ஜாதி	kasta	caste
ஜான்	john	john
ஜான்சன்	johnson	johnson
ஜார்	banka	jar
ஜார்ஜ்	george	george
ஜாவா	java	java
ஜாவாஸ்கிரிப்ட்	javascript	javascript
ஜிஎம்ஓ	gmo	gmo
ஜிபிஎஸ்	gps	global positioning system
ஜிபிஎஸ்ஸின்	gps-in	ips
ஜிமெயிலின்	google	in gmail
ஜிமெயிலில்	gmail-də	g mail
ஜிமெயில்	gmail	gmail
ஜிம்பாப்வே	zimbabve	zimbabe
ஜீன்	jean	jean
ஜீவன்	cevan	jeevan
ஜூனியர்	junior	junior
ஜூன்	i̇yun	month june
ஜூரிச்	sürix	jurich
ஜூலியஸ்	julius	julius
ஜூலை	i̇yul	month july
ஜூல்	joule	joule
ஜெ	jain	j, an initial of a name
ஜெனீவா	cenevrə	geneva
ஜெயலலிதா	jayalalithaa	chief minister of tamil nadu
ஜெர்மனி	almaniya	germany
ஜெர்மனியின்	almaniyanın	germany
ஜெர்மனியில்	almaniyada	in germany
ஜெர்மனியும்	almaniya	jermanium
ஜெர்மன்	almaniya	german
ஜெர்மானிய	alman	german
ஜே	j	j
ஜேக்	cek	jake
ஜேம்ஸ்	james	james
ஜேர்மனி	almaniya	german
ஜேர்மனியின்	almaniyanın	germany's
ஜேர்மன்	alman	german
ஜோசப்	yusif	joseph
ஜோடியாக	qoşulub	paired
ஜோதி	məşəl	jyoti
ஞான	hikmət	knowldege
ஞானம்	hikmət	knowledge
ஞானி	müqəddəs	genius
ஞானிகள்	müqəddəslər	sages
டச்	toxun	touch
டச்சு	holland	dutch
டச்சுக்	holland	dutch
டா	da	daa
டாக்	sənəd	dock
டாக்கா	dakka	dhaka
டாக்டர்	dr.	doctor
டாடா	tata	tata
டான்	şəfəq	don television
டார்வின்	darvin	darwin a name
டாலர்	dollar	dollar
டாஸ்	silkələmək	disc
டி	t	de
டி.என்.ஏ	dnt	d.n.a, a gentic material
டிஎன்ஏ	dnt	dna
டிசிப்ரோசியம்	ticiprociyam	dysprosium
டிஜிட்டல்	rəqəmsal	digital
டிஜிபிஎஸ்	tijipies	dgps
டில்லி	yeni dehli	delhi
டிவி	tv	television
டிவிடி	dvd	dvd or digital visual display
டு	üçün	a letter in tamil
டூ	çox	to
டெக்சாஸ்	texas	texas is a state in usa
டெக்டோனிக்	tektonik	techtonic
டென்னிஸ்	tennis	tennis
டென்மார்க்	danimarka	denmark
டெய்லர்	teylor	tailor
டெர்பியம்	terbium	terbium laser
டெல்	dell	del
டெல்லி	yeni dehli	delhi
டெல்லியின்	dehli	delhi's
டெஸ்பெரேஸன்	tesperesan	federation an english movie or film
டே	gün	day
டேச்சு	daçau	ducth
டேனியல்	daniel	daniel
டேவிஸ்	davis	davis
டை	ölmək	dye
டைகர்	pələng	tiger
டைகிரிஸ்	dəclə	tigris river
டைசர்	taicar	nucleous
டைட்டேனியம்	zirkonyum	titanium
டைபர்	tiber	tiber
டைம்ஸ்	the times	times
டோக்கியோ	tokio	tokyo in japan
ட்விட்டரின்	twitter-in	twitter
ட்விட்டரைப்	twitter	twitter
ட்விட்டர்	twitter	twitter
த	the	tha
தகடூர்	takatur	thagadur a war place
தகவலை	məlumat	informations
தகவல்	məlumat	information
தகவல்களை	məlumat	informations
தகவல்களைப்	məlumat	information
தகவல்களையும்	məlumat	informations
தகவல்கள்	məlumat	informatin
தகவல்தொடர்பு	rabitə	telecommunication links
தகுதியை	uyğunluq	power
தகுந்த	uyğun	qualified
தக்க	tutulub	stay
தங்க	qızıl	gold
தங்கச்	qızıl	gold
தங்கச்சி	thangachi	sister
தங்கத்தின்	qızıldan	of gold
தங்கம்	qızıl	gold
தங்களது	onların	crusade
தங்களின்	onların	yours
தங்களுக்கு	onların	themselves
தங்களுக்குள்	özləri	in between them
தங்களுடைய	onların	their
தங்களை	özləri	yours
தங்கள்	onların	their
தங்கி	qalmaq	stay
தங்கியுள்ளது	asılıdır	remains
தசரதன்	dasaratha	dhasarathan
தசாவதாரம்	dasavataram	dasavatharam
தசை	əzələ	muscles
தஞ்சை	thanjavur	tanjore
தஞ்சைப்	tancaip	thanjavur
தஞ்சையில்	thanjavur	in thanjavur in tamilnadu
தடவை	vaxt	one time
தடுக்க	qarşısını almaq	prevent
தடுக்கவும்	qarşısını almaq	cut
தடுக்கிறது	qarşısını alır	prevent
தடுக்கும்	qarşısını alır	prevent
தடுத்து	həbs	stopped
தடுப்பது	tıxanma	restrict
தடுப்பு	qarşısının alınması	vaccines
தடுப்பூசி	vaksinasiya	vaccination
தடை	ban	break
தடையாக	maneə	hurdle
தட்சிணாமூர்த்தி	dakshinamurthi	one of the name
தட்டச்சு	yazaraq	typewrite
தட்டாரப்பூச்சி	əjdaha	dragonfly
தட்டிகள்	hoardinqlər	billboard
தட்டு	boşqab	plate
தட்டுகள்	palitralar	layers of the earth
தட்டையான	düz	flate
தட்ப	i̇qlim	temprature
தட்பவெப்ப	i̇qlim	whether
தட்பவெப்பநிலை	hava	climate
தண்டனை	nümunə	punishment
தண்டு	kök	stem
தண்ணீரை	su	water
தண்ணீர்	su	water
தத்தம்	onların	myself
தத்துவ	fəlsəfi	ravi
தத்துவத்தின்	fəlsəfə	philosophy
தத்துவப்	fəlsəfi	philosophy
தத்துவம்	fəlsəfə	philosophy
தத்துவவாதிகள்	filosoflar	philosophers
தந்த	dən	given by
தந்தம்	fil dişi	ivory
தந்தி	telegram	telegram
தந்தை	ata	father
தந்தையான	ata	father
தந்தையின்	ata	father's
தந்தையை	ata	father
தன	ager	earth
தனக்கு	onun	me
தனது	onun	mine
தனி	ayrılıq	seperate
தனிக்	məxfilik	single
தனிச்சிறப்பு	fərqləndirmə	distinction
தனித்த	unikal	seperate
தனித்தனியான	ayrılıq	several
தனித்தனியே	ayrı-ayrılıqda	seperately
தனித்தன்மை	i̇mpressionist	speciality
தனித்து	tək	own
தனித்துவ	xüsusi	unique
தனித்துவமான	fərqli	individually
தனித்துவம்	unikallıq	seperately
தனிநபருக்கான	adambaşı	per person
தனிநபர்	şəxsi	individual
தனிப்பட்ட	şəxsi	seperate
தனிமங்கள்	elementlər	metals
தனிமனித	şəxsiyyət	personality
தனிமுறை	şəxsi	private network
தனியாக	tək	separately
தனியான	ayrılıq	sole
தனியார்	şəxsi	private
தனியாள்	subay	individual
தன்	onun	for me
தன்நிறைவு	yetərlik	self sufficient
தன்னாட்சி	muxtariyyət	autonomy
தன்னிலை	rəf	self
தன்னுடன்	onunla	to annex
தன்னுடைய	onun	me
தன்னுள்	daxildir	itself
தன்னை	özü	myself
தன்னைத்	özü	himself
தன்னைப்	özü	herself, itself, himself
தன்மை	şəffaflıq	natural quality
தன்மையில்	təbiətdə	in nature
தன்மையும்	təbiət	having the character
தன்மையை	xarakter	to know the status
தன்மையைக்	təbiət	having the character
தபால்	yazı	post
தப்பி	qaçmaq	to escape
தமக்கு	onun	his
தமக்கென	özü	have  need
தமது	onun	their
தமனி	arteriya	veins
தமிழக	tn	tamilnadu
தமிழகத்தின்	dövlət	in tamilnadu
தமிழகத்தில்	tamilnadu&#39;da	tamils
தமிழகம்	tamil nadu	tamilnadu
தமிழன்	yağ	tamizhan
தமிழரிடையே	tutun	among tamil people
தமிழரின்	bookmarking	tamilians
தமிழரும்	tamils	tamilan also
தமிழர்	tamil	tamilian
தமிழர்களுக்கு	tamils	for thetamils
தமிழர்களும்	tamils	tamil people
தமிழர்கள்	tamils	tamilians
தமிழா	tamila	tamils
தமிழிசை	tamilisai	tamilpoem
தமிழின்	tamildən	tamil
தமிழிலும்	tamil	tamil
தமிழில்	tamil dilində	in tamil
தமிழீழ	elam	tamil eelam
தமிழீழத்தில்	tamil eelam	in tamilnadu
தமிழீழம்	sidehow	tamil ealam
தமிழுக்கு	tamil	of tamil
தமிழை	təəssüf ki	tamil language
தமிழ்	tamil	it is a language
தமிழ்க்	tamil	tamil
தமிழ்ச்	tamil	of tamil
தமிழ்த்	tamil	tamil
தமிழ்நாடு	tamil nadu	tamil nadu
தமிழ்நாட்டின்	tamil nadu	for tamilnadu
தமிழ்நாட்டில்	tamil nadu&#39;da	in the tamil nadu
தமிழ்நெட்	tamilnet	tamilnet
தமிழ்ப்	tamil	tamils
தம்	onun	themself
தம்பி	qardaş	brother
தம்மை	özü	we
தயாராக	hazırdır	to be ready for harvest
தயாரிக்கப்படுகின்றன	məhsullar	manufactering
தயாரிக்கப்படுகிறது	turşu	manufactured
தயாரிக்கப்படும்	hazır olmaq	manufactured
தயாரிக்கப்பட்ட	i̇stehsal olunur	having manufactured
தயாரிக்கும்	kalıp	production
தயாரித்த	i̇stehsal olunur	produced
தயாரித்து	bişmiş	prepared
தயாரிப்பில்	hazırlıqda	production
தயாரிப்பு	i̇stehsalat	production
தயாரிப்புகள்	məhsullar	manufacture
தயார்	hazırdır	ready by
தயிர்	qatıq	yogurt
தர	keyfiyyətlidir	range
தரத்தில்	keyfiyyət baxımından	in standard
தரத்தை	keyfiyyət	quality
தரநிலை	standart	living standard
தரப்பட்ட	təmin edilmişdir	given
தரப்பட்டுள்ள	verilmişdir	given
தரப்பட்டுள்ளன	təmin edilmişdir	given
தரப்பு	prokurorluq	party
தரமான	keyfiyyətlidir	quality
தரம்	keyfiyyətlidir	quality
தரவிறக்கம்	yüklənə bilər	download
தரவில்லை	fayda	not given
தரவு	məlumat	data
தரவுகளின்	məlumatların	data
தரவுகளை	məlumat	data
தரவுகள்	məlumat	data
தரவுத்	məlumat	world wide link
தரவுப்	məlumat	brokerage
தரவை	məlumat	ajax
தருகின்ற	plastikdir	provide
தருகின்றன	corms	gives
தருகிறது	verir	it gives
தருகிறார்	təmin edir	gives
தரும்	qayıdır	to
தருவது	ponksiyon	gives
தரைபாவுமை	taraipavumai	not having a gap
தரையில்	zəmin	in the floor
தர்க்க	məntiq	wordy quarrel
தர்ம	dharma	dharma
தர்மபுரி	dharmapuri	dharmapuri district in tamilnadu
தர்மம்	dharma	righteousness
தற்காலத்	i̇ndiki vaxtda	now a days
தற்காலத்தில்	i̇ndiki vaxtda	current days
தற்காலிக	müvəqqəti	temporarily
தற்காலிகமாக	müvəqqəti	temporary
தற்கொலை	i̇ntihar	suicide
தற்சமயம்	hal hazırda	currently
தற்பொழுது	hal hazırda	now
தற்போதய	cari	current
தற்போது	hal hazırda	now
தற்போதும்	i̇ndiki	resant
தற்போதுள்ள	mövcuddur	at present
தற்போதைய	cari	present
தலங்களில்	oyuncaq yerlər	temple
தலங்கள்	yerlər	places
தலை	baş	head
தலைசிறந்த	görkəmli	famous
தலைநகரங்கள்	paytaxtlar	capitals
தலைநகரமாக	baş qərargah	capital
தலைநகரமான	kapital	head quaters
தலைநகரம்	baş qərargah	capital city
தலைநகராக	paytaxtda	capital
தலைநகராகக்	kapital	capital city
தலைநகராகும்	kapital	headquaters
தலைநகரான	kapital	capital
தலைநகரை	kapital	capital city
தலைநகர்	kapital	capital
தலைப்பில்	başlıq	caption
தலைப்பு	başlıq	caption
தலைப்புகள்	mövzular	topics
தலைமுறை	nəsil	generation
தலைமை	baş	chief
தலைமைத்	rəis	head
தலைமைப்	rəhbərlik	leading
தலைமையகம்	baş qərargah	headquaters
தலைமையிடமாக	baş qərargah	head quaters
தலைமையின்	rəhbərlik	under the leadership of
தலைமையிலான	başladı	under the leadership
தலைமையில்	başladı	under the leadership of
தலைமையேற்று	başladı	led
தலையங்கம்	başlıq	editoral
தலையாய	i̇btidai	important
தலையிட	müdaxilə	involve
தலையீட்டை	müdaxilə	interference
தலைவன்	lider	head
தலைவராகவும்	prezident və	leader
தலைவரான	lider	for the leaders
தலைவராவார்	lider	leader
தலைவர்	lider	leader
தலைவர்களும்	liderlər	heads
தலைவர்கள்	liderlər	leaders
தலைவி	sədr	woman
தள	sayt	web site
தளங்களின்	saytlar	web sites
தளங்களில்	saytlar	sites
தளங்கள்	saytlar	field
தளத்தின்	sayt	floors
தளத்தில்	sayt	in resource
தளத்தை	baza	center
தளமாக	baza	place
தளம்	sayt	floor
தளையறு	pulsuz	unfetter
தள்ளுபடி	güzəşt	discount
தழுவி	qucaqlayın	to manage
தழுவிய	ümummilli	worldwide
தவம்	əzəmətli	meditation
தவறாக	sui-istifadə	wrong
தவறான	yalan	wrong
தவறாமல்	mütəmadi olaraq	without fail
தவறு	yalan	fault
தவறுகள்	səhvlər	wrong
தவறுதலாக	səhvən	allow phonetic typing by mistake
தவிர	bundan başqa	execpt
தவிர்க்க	çəkinin	to avoid
தவிர்த்து	i̇stisna olmaqla	except
தவிர்ந்த	daha çox	except
தாகூர்	tagore	tagore
தாக்க	hücum	effects
தாக்கங்களை	təsirləri	impact
தாக்கங்கள்	təsirlər	impacts
தாக்கத்தால்	təsir	affect
தாக்கத்தை	təsir	having that effect
தாக்கம்	təsir	interference
தாக்கி	hücum etdi	attack
தாக்குதலில்	hücum	attacks
தாக்குதலுக்கு	hücum	attack
தாக்குதலை	hücum	attacks
தாக்குதல்	hücum	attack
தாக்குதல்களை	hücumlar	attacks
தாக்கும்	vurun	attack
தாக்கோ	takko	thaco a mixture
தாங்க	ayı	to bear
தாங்களே	özləri	you only
தாங்கள்	onlar	by themselves
தாங்கி	rulman	bearing
தாங்கிய	rulman	led the
தாங்கும்	yerləşdirmə	carrying
தாஜ்	tac	taj
தாஜ்மகாலின்	böyüklüyü	the taj mahal
தாண்டவம்	thandavam	dance
தாண்டி	beyond	outgrow
தாண்டிச்	beyond	skipped
தாண்டிய	artıq	even after that
தாது	filiz	mineral
தானம்	donor	donating
தானாக	avtomatik olaraq	at its own
தானாகவே	avtomatik olaraq	himself
தானியங்கி	avtomobil	automatic
தானுந்து	avtomobi̇l	motor
தானே	thane	their own
தான்	sadəcə	only
தாமசு	tomas	thomas
தாமஸ்	tomas	thamas
தாமாகவே	özləri	by voluntarily
தாமிரபரணி	təmirabarani	thamiraparani is a river in tamil nadu
தாமே	özü	themself
தாம்	onlar	is
தாயகமாக	ev	motherland
தாயகம்	vətən	mother land
தாயார்	ana	mother
தாயின்	analar	from the mother
தாயை	ana	mother
தாய்	ana	tamil language
தாய்லாந்து	tayland	thailand
தாய்வான்	tayvan	taiwan
தாராளவாத	liberal	liberal
தாலாட்டு	roker	rocker
தாலிபான்	taliban	taliban
தாள்	vərəq	paper
தாள்கள்	vərəqlər	paper
தாழ்	aşağı	paper
தாழ்த்தப்பட்ட	depressiya	backward class
தாழ்ந்த	aşağı	backward class
தாழ்வான	qalay	lower land
தாவர	bitki	biology
தாவரங்களில்	bitkilərdə	in plants
தாவரங்களை	bitkilər	plants
தாவரங்கள்	bitkilər	vegetation
தாவரம்	əkinçi	plants
தாவரவியல்	botanika	biology
தி	the	the
திகதி	yandır	date
திகழும்	qalxma	bearing a good name
திகழ்கின்றன	edirsiniz	acts as an instrument
திகழ்கிறது	daxildir	contains
திகழ்ந்த	oldu	best of all
திகழ்ந்தது	oldu	was
திகழ்ந்தார்	set	already he knows
திங்கள்	bazar ertəsi	monday
திசு	doku	cell
திசுக்கள்	dokular	cells
திசுள்	tilik	cell
திசை	i̇stiqamət	direction
திசைகளிலும்	i̇stiqamətlər	directions
திசையில்	i̇stiqamət	in direction
திசைவி	router	thumbright
திசைவேகம்	sürət	speed of velocity
திட	qatı	a standard
திடீர்	birdən	suddenly
திட்ட	layihə	plan
திட்டங்களின்	sxemlər	plannings
திட்டங்களை	planlar	plans
திட்டங்கள்	layihələr	plans
திட்டத்தின்	sxem	scheme
திட்டத்தில்	layihədə	project
திட்டத்தை	proqram	plan
திட்டமிடல்	planlaşdırma	planning
திட்டமிட்ட	planlaşdırılıb	planned
திட்டம்	proqram	plan
திணிவு	mass	circumferce
திணை	kəmər	belt
திணைமண்டலம்	kəmər	part
திண்ம	qatı	solid
தினசரி	gündəlik	daily
தினமணி	pts	dinamani
தினமலர்	nb	daily malar
தினமும்	hər gün	daily
தினம்	gün	daily
திபெத்	tibet	tibet
திபெத்தின்	tibetin	of tibet
திப்பு	tipu	a title given to king
திமிங்கிலங்கள்	balinalar	whales
திமிங்கிலம்	balina	whale
திமுக	dmk	dmk a political party
திமுகவின்	dmk	dmk, a political party
திரட்டி	səfərbərlik	join
திரள்கள்	ayaqqabılar	swarms
திரவ	maye	fluid
திரவம்	maye	liquid
திராவிட	dravida	socity
திராவிடக்	dravidian	dravida
திராவிடம்	dravidam	pradesh to
திராவிடர்	dravida	dravidas
திராவிடர்களை	dravidian	dravidians
திராவிடர்கள்	dravidilər	dravidians
திரு	cənab.	mr.
திருகோணமலை	trincomalee	thirugonamalai
திருக்குர்ஆன்	quran	qur'an
திருக்குறள்	pls	thirukkural
திருக்கோணமலை	trincomalee	thirukona malai
திருக்கோணமலையில்	trincomalee-də	in casualty
திருக்கோயில்	məbəd	temple
திருச்சபை	kilsə	church
திருச்சபைகள்	kilsələr	churches
திருச்சபையின்	kilsəsi	chruch
திருச்சி	trichy	thiruchi
திருச்சிராப்பள்ளி	tiruchirappalli	trichirapalli
திருத்தங்களை	düzəlişlər	amendments
திருத்தங்கள்	düzəlişlər	correction
திருத்தப்பட்ட	dəyişdirilib	corrected
திருத்தம்	düzəltmə	correction
திருநாள்	cum	good day
திருநாவுக்கரசு	tirunavakarasu	thirunavukkarasu a tamil name
திருநெல்வேலி	tirunelveli	thirunelvelli
திருப்பதி	tirupati	thirupathi a holy temple in andhra pradesh
திருப்பி	qayıt	return
திருப்பூர்	tirupur	tirupur a district in tamil nadu
திருமகள்	tirumagal	lakshmi
திருமண	toy	marriage or wedding
திருமணங்கள்	toylar	marriage
திருமணத்திற்கு	toy	marriage
திருமணம்	toy	marriage
திருமலை	tirumala	tirumala
திருமால்	qayıtmaqla	thirumal a vainava god
திருமுறை	tirumurai	deuterocanonical
திருமுறைகள்	tirumurai	tirumuraikal
திருமுழுக்கு	vəftizçi	for tirumul
திரும்ப	qayıt	repete
திரும்பவும்	qayıt	again
திரும்பி	qayıt	return back
திரும்பினார்	qayıtdı	returned
திரும்பிய	qayıdır	return
திருவண்ணாமலை	tiruvannamalai	thiruvannamalai
திருவள்ளுவர்	tiruvalluvar	thiruvalluvar
திருவாதிரை	betelgeuse	astrology word
திருவாரூர்	tiruvarur	thiruvaroor
திருவாலங்காட்டுச்	tiruvalankattuc	thiruvalangkadu is a place in tamilnadu
திருவிடைமருதூர்	tiruvidaimarudur	thiruvidaimaruthoor
திருவிளையாடல்	tiruvilayadal	thiruvilayadal, the work of lord siva
திருவிழா	festival	festival
திரை	ekran	screen
திரைப்பட	film	relating to films
திரைப்படங்களின்	filmlər	feature films
திரைப்படங்களில்	filmlərdə	in cinema
திரைப்படங்களுக்கு	filmlərə kömək	movies for
திரைப்படங்களை	filmlər	films
திரைப்படங்கள்	filmlər	films
திரைப்படத்	film	feature film
திரைப்படத்தில்	filmdə,	film
திரைப்படத்துறை	hahahaha	film industry
திரைப்படத்துறையில்	hahahaha	cinema deportment
திரைப்படமான	film	movie
திரைப்படம்	film	films
திரையிடல்	ekran	picture
திறந்த	açıq	open
திறந்து	açın	open
திறனில்	tutum	skills
திறனும்	bacarıqlıdır	efficient
திறனுள்ள	bacarıqlıdır	talented
திறனை	potensial	efficiency
திறன்	tutum	efficiency
திறன்களை	bacarıqlar	strength
திறமை	i̇stedad	ability
திறம்பட	effektiv şəkildə	indeligent
திறவுகோல்	açar	key
திறை	tarif	tax
திலகம்	tilak	a title given to actors in tamil
தில்	dil	dhil
தில்லி	dehli	delhi
தீ	atəş	fire
தீக்குச்சி	təhlükəsizlik uyğunluğu	match box
தீங்கு	zərərli	harm
தீன்	dedi	teen
தீபம்	məşəl	lightened
