$ tỉ	$ miliardo	$ billion
ic	ic	ic
icc	icc	icc
iceland	islanda	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illusione	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imano	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	urto	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indiano	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonesia	indonesia
indrapura	indrapura	(proper noun) indrapura
info	informazioni	info
innsbruck	innsbruck	innsbruck
insulin	insulina	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	cio	ioc
ion	ioni	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	iraq	iraq
ireland	irlanda	ireland
irgun	irgun	irgun
irony	ironia	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israeliano	israeli
istanbul	istanbul	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	martinetto	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	giacobbe	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	gennaio	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	giappone	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	diaspro	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	asina	jenny
jericho	gerico	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	maglia	jersey
jerusalem	gerusalemme	jerusalem
jesse	jesse	a name
jesus	gesù	chua jesus
jetstar	jetstar	jetstar
jewish	kla	jewish
jiao	jiao	jiao
jimmy	piede di porco	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	comune	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	jules verne	jules verne
julliard	julliard	(proper noun) julliard
jump	salti	jump
june	giugno	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	giove	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	potassio	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karatè	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kashmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	iz	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	gelato	ice cream (n.)
ken	comprensione	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	declare	announce
khali	khali	(proper noun) khali
khalip	califfo	(proper noun) khalip
kham	kham	endure
khan	anidro	rare
khang	condizione	khang
khanh	segretario	khanh
khao	khao	desire
khay	vassoio	tray
khe	slot	chink
khem	khem	abstinence
khen	merito	praise
kheo	su palafitte	kheo
khi	a	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	umiltà	khiem
khiên	scudo	a shield
khiêu	sessualmente	"('khiêu dâm"") pornographic"
khiếm	persiane	lack
khiến	fabbricazione	control
khiếp	terrore	horrible
khiếu	reclami	talent (n.)
khiển	controllo	control
khleang	khleang	kh'leang
kho	magazzino	warehouse
khoa	facoltà	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	alesaggio	drill
khoang	cavità	brag
khoanh	risuonare	a slice (n.)
khoe	mettersi in mostra	to boast
khoá	corso	lock
khoác	giacche	coat
khoán	stock	stock
khoáng	minerale	mineral
khoát	decisivo	decisive
khoét	forare	carve
khoăn	chiesti	disturbed
khoả	khoa	naked
khoản	clausola	an item (n.)
khoảng	spazio	about
khoảnh	momenti	moment
khoẻ	salute	health
khrushchev	krusciov	khrushchev
khrushchyov	krusciov	khrushchyov
khu	regione	section
khung	cornice	frame
khural	khural	khural
khuynh	inclinato	trend
khuyên	raccomandare	advise
khuyết	accessibile	lack
khuyển	canino	khuyen
khuất	oscurare	hidden
khuấy	mescolare	stir
khuẩn	batterico	bacteria
khuếch	promozionale	amplification
khuỷu	gomito	elbow
khá	piuttosto	quite
khác	altro	different
khách	ospite	customer
khái	panoramica	concept
khám	esame	discover
khán	il pubblico	audience
kháng	resistenza	appeal
khánh	inaugurata	a type of chime made of stone (n.)
khát	assetato	to be thirsty for (adj.)
khâm	ammirazione	admire
khèn	khen	a pan-pipe (n.)
khéo	abile	cleverly or skillfully (adv.)
khép	chiuso	close
khía	omaggio	"(term should be ""khía cạnh"") angle (n.)"
khích	consolazione	encourage
khít	vicino	close
khó	difficile	difficulty
khóa	blocco	a session
khóc	piangere	cry
khói	fumo	smoke
khóm	ananas	a cluster
khô	asciutto	dry
khôn	saggio	clever, intelligent
không	non	not
khúc	canzone	song
khăm	scherzo	nasty (adj.)
khăn	asciugamani	difficult
khơi	costa	sea
khư	picchiettare	grip
khưu	khuu	khuu
khước	rinuncia	waive
khả	disponibilità	"(term should be ""khả năng"") ability (n.)"
khải	rivelato	triumph
khảm	mosaico	to encrust
khảo	riferimenti	"(term should be ""tham khảo"") to consult (v.)"
khấm	prosperò	endure
khấn	voto	pray
khấu	drammatico	"(term should be ""sân khấu"") a stage (n.)"
khẩn	emergenza	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	incisione	moment
khắp	dappertutto	all over
khẳng	confermato	"(term should be ""khẳng định"") to assert (v.)"
khế	frutto della stella	bond
khỉ	scimmia	monkey or ape (n.)
khỏa	esibizionismo	nude
khỏe	salute	health
khỏi	fuori da	leave
khố	tesoreria	loincloths
khốc	violentemente	devastating
khối	unità	a block or mass of (n.)
khốn	dolore	miserable
khống	nullo	control
khổ	sofferenza	miserable (adj.)
khổng	gigante	huge
khởi	varo	start
khủng	crisi	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	gomito	elbow
khứu	olfattivo	olfactory
khử	eliminare	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	altro	other
kid	bambino	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	chilometri	kilometer
kim	kim	kim
kingdom	regno	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	bacio	kiss
kissinger	kissinger	kissinger
kitts	kitts	kitts
kitô	cristiano	christian
kiêm	cum	cum
kiên	azienda	consistent
kiêng	astinenza	abstinence, as in abstaining from eating
kiêu	altezzoso	showy
kiếp	tutta la vita	a lifetime (n.)
kiết	catene	cheap (adj.)
kiềm	alcali	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	ispezione	control
kiểu	tipo	type
kiệm	salva	save
kiện	eventi	event (su kien)
kiệt	capolavoro	exhausted (adv.)
kiệu	palankeen	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	corano	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	corona	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	cremlino	kremil
kremlin	cremlino	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kungfu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	curdi	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrgyzstan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	insieme	included
kèn	tromba	horn
kém	meno	less
kén	bozzolo	selective
kéo	tiro	scissors
kép	doppio	dual
két	cassette di sicurezza	"(term should be ""rốc két"") rocket (n.)"
kê	statistica	statistics
kênh	canali	channel
kêu	grido	appeal
kìa	ecco	that
kìm	pinze	bar
kình	balena	rivalry
kí	registrazione	sign
kích	fuoco	excite
kíchbom	kichbom	bombers
kín	confidenziale	secretive or closed tight (adj.)
kính	occhiali	respect
kíp	kip	esoterica
kít	strillato	wheelbarrow
ký	segno	"(""nhật ký"") a diary"
kĩ	attentamente	technique
kơnia	konia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	caramella	candy
kẹp	tenaglie	to clamp down (v.)
kẹt	intrappolati	jam
kẻ	che	guy
kẻo	per paura che	lest
kẽ	fessura	crevice
kẽm	zinco	zinc
kế	disegno	a scheme (n.)
kết	collegamento	combine
kề	adiacenza	adjacent
kềnh	ingombrante	bulky
kệ	scaffali	ignore
kỉ	secolo	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	cavalleria	ki
kịp	nel tempo	kip
kỵ	cavalleria	taboo
kỷ	esimo	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etichetta	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	bastardo	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	diffusione	a name
land	terreno	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	langue	langue
lanh	biancheria	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	lao	labor
laos	laos	(proper noun) laos
lap	grembo	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	laterano	lateran
latinh	latino	latin
latvia	lettonia	(proper noun) latvia
lau	pulire	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	shake	lay
lazarus	lazzaro	(proper noun) lazarus
leach	percolare	(proper noun) leach
leaf	foglia	leaf
leave	congedo	leave
lebanon	libano	(proper noun) lebanon
lee	sottovento	lee
legacy	eredità	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenin	lenin's
leo	salire	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesoto	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	onu	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libia	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	fulmine	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	flessibilità	efficacious (adj.)
links	link:	links
linux	linux	linux server
lionel	lionel	lionel
lisboa	lisbona	lisboa
lisbon	lisbona	a name
litva	lituania	(proper noun) lithuania
liu	liu	liu
liêm	integrità	good example
liên	impresa	relate
liêng	discernere	sacred
liêu	burocrazia	bureaucracy
liềm	falce	sickle
liều	dose	daring
liễu	salice	a willow tree (n.)
liệng	gettò	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	paralisi	impotent
liệu	se	document
lleyton	lleyton	lleyton
lo	preoccupazione	to worry (v.)
loa	altoparlante	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	increspatura	patchy
loch	lago	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	lattina	lon
london	londra	london
long	drago	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	persiana di ventilazione	(proper noun) louvre
love	amore	yeu
loài	specie	species
loát	fluente	overturn
loãng	diluito	wishy-washy
loét	ulcere	gaping, as in a wound
loại	tipo	type
loạianh	loaianh	not a word
loạianime	tipo anime	type anime
loạibệnh	tipo di malattia	disease
loạichiến	loaichien	loaichien
loạicác	loaicac	item
loạicâu	loaicau	type: club
loạicông	loaicong	type: industry
loạicựu	loaicuu	kind former
loạigia	loaigia	loaigia
loạihuân	loaihuan	not a word
loạiluật	tipo di legge	type: law
loạimáy	tipo di macchina	kind plane
loạimôn	loaimon	type
loạingày	digita questo	loaingay
loạiphim	tipo di film	type movie
loạiphong	loaiphong	kind of movement
loạiscandal	loaiscandal	scandal type
loạithuật	tipo di legge	type: lexicon
loạithành	loaithanh	kinds of payment
loạithần	loaithan	kind myth
loạitrường	tipo di scuola	type of school
loạitín	loaitin	type: belief
loạitổ	loaito	kind organization
loạivõ	tipo di tipo	type: martial art
loạixã	loaixa	kind of society
loạn	disturbo	disorderly
loạt	serie	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	ritiro	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	polmone	shake
lustig	lustig	lusig
luther	lutero	luther
luxembourg	lussemburgo	a name
luy	pendenza	luy
luyến	legato	love
luyện	treno	training
luận	commenti	"(term should be ""xã luận"") an editorial"
luật	la legge	law
luồn	filettato	wriggle
luồng	ruscello	lane
luộc	bollito	boiled
luỹ	guadagno	rampart (n.)
ly	vetro	divorce
lydia	lydia	lydia
lympho	linfoma	lymphocyte
lyndon	lyndon	lyndon
lyon	lione	lyon
là	era	the verb to be
làm	fare	make
làn	corsia	wave
làng	villaggio	village
lành	sano	protestant
lào	laos	laos
lá	foglia	"(term should be ""lá thư"") a letter (n.)"
lác	strabismo	brag
lách	milza	to swerve (v.)
lái	guida	to drive (v.)
lán	baracca	shack
láng	lucido	neighbours
lâm	silvicoltura	lâm, a common vietnamese first name
lân	vicino	nearby
lâu	lungo	long time
lây	diffusione	to infect
lãi	interesse	a profit
lãm	spettacoli	exhibition
lãnh	ricevere	to receive
lão	invecchiamento	old
lèo	leone	"(term should be ""nước lèo"") broth (n.)"
lén	azione furtiva	sneak
lê	pere	le
lêmạc	lemac	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	su	on
lênh	comandi	"(should be ""lênh đênh"") adrift"
lênin	leninismo	lenin
lìa	partenza	to leave (v.)
lình	linh	suddenly
lí	filetto	reason
lính	soldato	soldier
lít	litro	litre
líu	tornado	"(term should be ""dính líu"") to have a connection with"
lò	forno	release
lòng	cuore	heart
lóc	testa di serpente	cry
lóe	strabuzzi	flash
lóng	internode	"entire term should be ""tieng long""; means ""slang"""
lót	biancheria intima	undies
lô	pacco	batch
lôi	bottino	encourage
lôn	babilonia	"(term should be ""côn lôn"") a village in vietnam"
lông	capelli	hair
lõi	nucleo	core
lõm	concavo	concave
lùi	arretrato	back
lùn	nano	dwarf
lùng	giù	hunt
lúa	risaia	rice
lúc	tempo	at the moment
lún	cedimento	subside
lúng	graffi	confused
lúp	ingrandimento	uneven
lút	subdolo	surreptitiously
lăm	cinque	tens
lăn	rotolamento	attack
lăng	santuario	tomb
lĩnh	leader	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	inondazione	a band or gang (n.)
lũng	valle	valley
lũy	accumulato	rampart
lơ	trascurato	to ignore
lơi	rilassati	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	bruciatori	an urn
lưng	indietro	back
lươn	anguilla	eel
lương	salario	conscience
lưới	griglia	a net (n.)
lướt	surf	ski
lười	pigro	lazy
lưỡi	linguetta	tongue
lưỡng	bisessuale	"(term should be ""lưỡng tính"") bisexual"
lược	strategia	invasion
lượm	raccogliere	pick up
lượn	aliante	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	strano	strange or unusual (adj.)
lạc	comunicazioni	camel
lạch	insenatura	"(term should be ""luồng lạch"") a narrow water passageway"
lại	di nuovo	reversed
lạn	marcio	bright
lạng	affettato	lang
lạp	greco	"(term should be ""hy lạp"") greek"
lạtma	lama	lama
lạy	prostrato	kowtow
lấn	invaso	to encroach on (v.)
lấp	riempimento	sparkle
lấy	prendere	taken
lầm	bloomer	wrong
lần	tempo	time
lầu	al piano di sopra	a story or level of a building (n.)
lầy	paludoso	swamp
lẩu	hotpot	hotpot
lẩy	catamarano	get
lẫn	e	each other
lẫy	buratti	illustrious
lận	defraud	fraudulent
lật	lanciare	turn
lậy	oh si	"(term should be ""cai lậy"") the name of a rural district"
lắc	shake	to shake (v.)
lắm	molto	do
lắng	accontentarsi	"(should be ""lo lắ́́ng"") to worry"
lắp	montaggio	lap
lặng	tranquillo	quiet
lặp	ripetizione	repeat
lặt	fantasia	means miscellaneous, part of the word lat vat
lẹ	rapido	quickly (adv.)
lẻ	al dettaglio	"(the term should be ""bán lẻ"") retail"
lẻn	nascosto	sneak
lẻo	negligente	climb
lề	margine	alignment
lều	tenda	tent
lễ	festa	ceremony
lệ	carta	"(term should be ""tỷ lệ"") probability (n.)"
lệch	deviazione	difference
lệnh	il comando	command
lị	li	"(term should be ""tỉnh lị"") a township (n.)"
lịch	calendario	history
lọc	filtro	tricked
lọi	brillantemente	brilliant
lọng	parasole	rope
lọt	catturato	enter
lỏi	la sua strada	to enter
lỏng	liquido	loose
lố	lô	ridiculous
lốc	mulinello	tornado
lối	modo	way or path
lốp	pneumatico	tyre
lốt	claudius	lolot
lồ	colossi	giant
lồi	convesso	convex
lồng	gabbia	cage
lỗ	buco	hole
lộc	loc	loc
lội	nuotata	wade
lộn	confuso	wrong/mistake
lộng	costiero	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	scollarsi	exploit
lớn	grande	large
lớp	classe	grade (n.)
lờ	ignorato	turbid
lời	profitto	advice
lở	valanga	to crack
lỡ	perdere	miss
lợi	profitto	benefit
lợn	maiale	pig
lợp	roofing	roof
lụa	seta	silk
lục	verde	record
lụi	bruciato	ruin
lụt	inondazione	flood
lụy	implicazioni	consequence
lứa	rifiuti	peer
lừa	trucco	mislead
lừng	celebre	well-known
lửng	mezzanino	lơ lửng= not clear/ something in between
lự	incerto	reluctant
lựa	selezionato	chosen
lựu	melagrana	grenade
ma	fantasma	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	macedonia	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	macromedia	macromedia
madeira	madera	madeira
madhouse	madhouse	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafia	mafia
magiê	magnesio	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	domani	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	maggiore	major
makemake	makemake	makemake
malacca	malacca	malacca
malay	malese	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	carry	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	vulnerabile	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	mappe	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	marte	mars
marseille	marsiglia	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	balestruccio	martin
marx	marx	this is a name
mary	maria	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	tappetino	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	stuoie	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	rapidamente	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolo	mausolus
maxim	massima	a name
may	sew	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	messaggero	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messia	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	microfoni	micro
microbiology	microbiologia	microbiology
microeconomics	microeconomia	microeconomics
micronesia	micronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	microfono	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milano	milan
milano	milano	milano
miley	miley	miley
mill	mulino	mill
miller	mugnaio	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	miraggio	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	misfits	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	ipnosi	mien
miêu	mieu	"(term should be ""miêu tả"") to describe (v.)"
miến	vermicelli	burma
miếng	po &#39;	a piece (n.)
miếu	tempio	temple
miền	dominio	area
miễn	gratis	to exempt (v.)
miện	corona	crown
miệng	bocca	mouth
mm	mm	millimeter
mobile	mobile	mobile
mode	modo	mode
modul	componibile	module
modula	componibile	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	maometto	mohammed
moi	moi	winkle
molecular	molecolare	molecular
molotov	molotov	molotov
molypden	molibdeno	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	muggito	(proper noun) moo, as in cha moo won
moong	pozzi	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marocco	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	mosca	moscow
mosin	mosin	mosin
moskva	mosca	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambico	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
