$ tỉ	$ พันล้าน	$ billion
motown	ยานยนต์	motown
mourinho	มูรินโญ่	mourinho
movie	หนัง	movie
mozambique	ประเทศโมซัมบิก	(proper noun) mozambique
mozart	โมซาร์ท	(proper noun) mozart, as in the composer
mp	mp	mp
ms	มิลลิวินาที	metre per second
msdos	msdos	ms-dos
mtv	เอ็มทีวี	mtv
mu	หมู่	pubis
mua	ซื้อ	buy
much	มาก	much
muhammad	มูฮัมหมัด	(proper noun) muhammad, as in muhammad ali
mumbai	มุมไบ	mumbai
mun	mun	a vietnamese name
munich	มิวนิค	(proper noun) munich
murdoch	เมอร์ด็	murdoch
muromachi	แมช	(proper noun) muromachi
murphy	เมอร์ฟี่	murphy
murray	เมอเรย์	(proper noun) murray, as in dr. conrad murray
mustang	ม้าป่า	mustang, as in the f-51 mustang
muta	muta	a name
muôn	ทั้งหมด	a large number; thousands (adj.)
muối	เกลือ	salt
muốn	ต้องการ	want
muống	ผักบุ้ง	"(term should be ""rau muống"") water spinach (n.)"
muồi	วุฒิภาวะ	ripe
muỗi	ยุง	mosquito
muỗng	ช้อน	spoon
muội	เขม่าดำ	confusion
muộn	สาย	late (adv.)
myanma	พม่า	the country of myanmar
myanmar	พม่า	(proper noun) myanmar
myspace	สเปซ	(proper noun) myspace
mà	แต่	also
mài	ที่บด	tomorrow
màn	จอภาพ	curtain (n.)
mành	ผ้าม่าน	a bamboo screen (n.)
mào	ยอด	a comb or crest, as in the body part of a bird
màu	สี	color
mày	คุณ	sew
má	แม่	cheek
mác	เครื่องหมาย	a name (marx)
mách	เคล็ดลับ	tell
máclênin	maclenin	marxist-leninist
mái	หลังคา	"entire term should be ""thoai mai""; means ""comfortable"""
mát	เย็น	cool
máu	เลือด	blood
máy	เครื่อง	a machine (n.)
mâm	ถาด	tray
mân	สุวิมล	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	ความขัดแย้ง	contradiction
mây	มีเมฆมาก	cloud
mã	รหัส	"(term should be ""la mã"") roman (adj.)"
mãi	ตลอดไป	forever (adv.)
mãimại	maimai	commerce
mãn	ความพึงพอใจ	satisfy
mãnh	manh	intense
mão	มงกุฎ	cat
mè	งา	sesame
mèo	แมว	cat (n.)
mé	ขอบ	a border
méo	การบิดเบือน	alter
mép	ขอบ	edge
mét	เมตร	meter
mênh	ความใหญ่โต	vast
mêtan	มีเทน	methane
mì	ก๋วยเตี๋ยว	wheat
mình	ของเขา	me
mía	อ้อย	sugar cane (n.)
mò	อยากรู้อยากเห็น	to grope (v.)
mòn	เสื่อมสภาพ	trail
móc	ไม้แขวนเสื้อ	"(term should be ""máy móc"") machinery (n.)"
món	จาน	dish
mô	เนื้อเยื่อ	mo
môi	ฝีปาก	lip
môn	อาสาสมัคร	anus
mông	ชน	mongolia
mônôxít	มอนนอกไซด์	monoxide
môt	ไม่มีที่เปรียบ	"(term should be ""một"") one (n.)"
môtô	รถจักรยานยนต์	motorcycle
mù	คนตาบอด	mu
mùa	ฤดู	season
mùi	กลิ่น	smell
múa	เต้น	dance
mút	ดูด	to suck (v.)
münchen	มิวนิค	(proper noun) munchen
măng	หน่อไม้	bamboo shoot (n.)
mĩ	mi	america
mũ	หมวก	cap
mũi	จมูก	nose
mơ	แอปริคอต	vague
mơn	จันทร์	caress
mưa	ฝน	rain
mưu	บุคลากร	"(should be ""tham mưu"") advisors"
mươi	ห้าสิบ	tens
mương	ท่อระบายน้ำ	ditch
mướn	เช่า	hire
mướt	เป็นกระเซิง	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	ยืม	borrow
mượt	เรียบ	glossy (adj.)
mạc	เต็นท์	"(should be ""mộc mạc"") simple or natural"
mạch	วงจรไฟฟ้า	vessel
mại	พาณิชย์	commerce
mạn	โรแมนติก	romantic
mạnh	แข็งแรง	strong
mạo	การปรากฏ	"(should be ""mạo hiểm"") to brave danger"
mạt	กรวด	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	หลุมฝังศพ	tomb or grave (n.)
mải	เชียงใหม่	absorbedly
mảng	จาน	genre
mảnh	ชิ้น	piece
mất	สูญหาย	lose
mấu	เส้น	key
mấy	น้อย	any
mầm	เชื้อโรค	kindergarten
mầu	ความลึกลับ	color
mẩu	ชิ้น	piece
mận	พลัม	plum
mập	ท้วม	fat
mật	ปลอดภัย	intimate
mậu	ค้า	mau
mắc	ประสบ	get
mắm	น้ำปลา	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	เดชะบุญ	"(term should be ""may mắn"") fortunate (adj.)"
mắng	ดุ	scold
mắt	ตา	eye
mặc	เสื้อผ้า	wear
mặn	เกลือ	salt
mặt	ใบหน้า	face
mẹ	แม่	mother (n.)
mẹo	เคล็ดลับ	trick
mẻ	รอยขีดข่วน	cool
mẽ	แข็งแรง	strong
mến	เรียน	to adore or like greatly (v.)
mề	กระเพาะอาหารของนก	locket
mềm	อ่อน	soft
mệnh	เกณฑ์	revolution
mệt	ป่วย	tired
mỉ	รายละเอียด	meticulous
mỉa	การเสียดสี	ironic
mỉm	ที่ยิ้ม	smile
mịch	mich	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	เรียบ	smooth
mịt	หนา	dim
mọc	เจริญ	to grow (v.)
mọi	ทั้งหมด	every
mọn	ผู้เยาว์	lowly
mỏ	บิล	mine
mỏi	ความเมื่อยล้า	tired (adj.)
mỏng	บาง	thin
mốc	เหม็นอับ	border
mối	ปลวก	relationship
mốt	แฟชั่น	fashion or style (n.)
mồ	เหงื่อ	"(term should be ""mồ hôi"") sweat (n.)"
mồi	เหมืองหิน	bait (n.)
mổ	ศัลยกรรม	to dissect or perform surgery (v.)
mỗi	แต่ละ	every
mộ	หลุมฝังศพ	admire
mộc	การช่างไม้	simple
mộng	ฝัน	dream
một	หนึ่ง	one
mới	ใหม่	new (adj.)
mờ	ทึบแสง	dim
mời	เชิญ	invite
mở	เปิด	open
mỡ	จาระบี	fat or grease (n.)
mục	รายการ	purpose
mụn	สิว	pimple
mức	ระดับ	level
mứt	การจราจรติดขัด	preserve
mừng	ยินดีต้อนรับ	to be happy
mửa	อ้วก	to vomit (v.)
mực	หมึก	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	ข้าวสาลี	noodles (n.)
mỹ	ดี	america
mỹcông	mycong	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	ชาติ	nacional
nagant	nagant	nagant
nagar	ปติ	nagar, as in champa po nagar
nagasaki	นางาซากิ	(proper noun) the city of nagasaki, japan
nagoya	นาโกย่า	a name
nagumo	nagumo	nagumo
nai	กวาง	a deer
nairobi	ไนโรบี	nairobi, a city in kenya (n.)
nakajima	นากาจิมา	a japanese name
nalbandian	นัลบันเดีย	a name
nam	ทางทิศใต้	male
nambắc	nambac	nambac
namibia	นามิเบีย	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	แนนซี่	nancy, as in nancy pelosi
nang	ฟอลีกแล	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	สุนัข	fang
nano	นาโน	nano
naomi	นาโอมิ	naomi, as in model naomi campbell
napoleon	คนใหญ่คนโต	(proper noun) napoleon
napoli	นาโปลี	(proper noun) napoli
napoléon	คนใหญ่คนโต	napoleon
nara	nara	nara
nasa	นาซา	(proper noun) nasa
nat	แน็ต	nat
nathan	นาธาน	nathan
natri	โซเดียม	sodium
nauru	ประเทศนาอูรู	a name
nava	นว	nava
navarre	นาวา	navarre
nay	ปัจจุบัน	this (adj.)
needham	นีดแฮม	needham
nelson	เนลสัน	(proper noun) nelson, as in nelson mandela
neo	สมอ	"(term should be ""mỏ neo"") an anchor (n.)"
neon	ธาตุนีอ็อน	neon
nepal	ประเทศเนปาล	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	สุทธิ	net
netbook	เน็ตบุ๊ก	netbook
netscape	netscape	netscape
networks	เครือข่าย	networks
neumann	นอยมันน์	(proper noun) neumann
neutrino	อนุภาคนิวทรีโน	neutrino
nevada	เนวาดา	nevada
neverland	เนเวอร์แลนด์	neverland
newcastle	นิวคาสเซิ	newcastle
newspaper	หนังสือพิมพ์	newspaper
newton	นิวตัน	newton
newtons	นิวตัน	(proper noun) newton's
next	ถัดไป	next
nga	รัสเซีย	russia
ngai	ราชบัลลังก์	crown
ngang	ตามขวาง	horizontal
ngao	หอย	clam (n.)
ngay	ตอนนี้	even
nghe	ฟัง	hear
nghinh	nghinh	welcome
nghiêm	อย่างจริงจัง	serious
nghiêng	ความโน้มเอียง	inclined
nghiêu	ปวงชน	nghiêu, a vietnamese name
nghiền	โรงสี	crush
nghiễm	อัตโนมัติ	serious
nghiệm	ประสบการณ์	experiment
nghiện	ติดยาเสพติด	addiction
nghiệp	อุตสาหกรรม	karma/ sự nghiệp=career
nghiệt	รุนแรง	adverse
nghành	อุตสาหกรรม	faculty
nghèo	น่าสงสาร	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	สิงโต	nghe khuong
nghênh	ยินดีต้อนรับ	support
nghìn	พัน	thousand
nghĩ	คิด	think
nghĩa	ความหมาย	meaning
nghẽn	ความแออัด	jam
nghếch	nghếch	stupid
nghề	อาชีพ	career
nghệquận	nghequan	art district
nghỉ	วันหยุด	relaxation
nghị	การประชุม	think
ngo	โอชะ	ngo
ngoan	เด็กดี	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	รสอร่อย	delicious
ngoài	ออก	outside of
ngoại	แลกเปลี่ยน	external
ngoạn	น่าทึ่ง	spectacular
ngoặc	วงเล็บ	bracket
ngoặt	จุดเปลี่ยน	landmark
ngu	โง่	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	เหงียน	nguyen
nguyên	เป็นต้นฉบับ	reason
nguyền	สาปแช่ง	curse
nguyện	สาบาน	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	ย่าน	moon
nguôi	การเงียบ	fade away
nguồn	แหล่ง	source
nguời	คน	people
nguỵ	nguỵ	camouflage
ngà	งาช้าง	russian
ngàn	พัน	thousand
ngàng	มา	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	สาขา	sector
ngào	หวาน	sweet
ngày	วัน	day
ngách	ซอย	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	งุนงง	chinese ethnic group living in the vietnamese highlands near the china border
ngán	เบื่อ	to be tired of
ngáng	กระจาย	stop
ngát	จอแสดงผลดอกไม้	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	การธนาคาร	money
ngây	blankly	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ไหง	ngai
ngò	ผักชี	coriander
ngó	ดู	to look (v.)
ngói	กระเบื้อง	tile or shingle
ngón	นิ้ว	a finger (n.)
ngót	การหดตัว	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	สนทนา	manifesto
ngông	ห่าน	eccentric
ngõ	ตรอก	lane
ngùi	feelingly	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	ช่องว่าง	prevent
ngũ	การนอนหลับ	rank
ngơ	คนตาบอด	ignored (adj.)
ngơi	ธุรกิจ	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	ชาวประมง	fishermen
ngưng	หยุด	stop
ngưu	บูลส์	buffalo
ngươi	เจ้า	an ancient form of address equivalent to thou or thee (n.)
người	คน	people
ngưỡng	ธรณีประตู	religious
ngược	ถอยหลัง	opposite
ngạc	เป็นสุข	surprise
ngạch	โควต้า	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	ฝั่งขวา	bank
ngạnh	ลวดหนาม	self-willed
ngạo	หยิ่ง	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	สลบ	stuffy
ngấm	โกรก	draw
ngất	เป็นลม	unconscious
ngầm	โดยปริยาย	underground
ngần	อาย	hesitate
ngẩn	โง่	froze
ngẫm	งาม	think
ngẫu	สุ่ม	ngẫu nhiên= random
ngậm	ไฮเดรท	keep
ngập	ฟูม	flood
ngắm	contemplate	to contemplate or look admiringly at something (v.)
ngắn	สั้น	short
ngặt	เข้มงวด	strict
ngọ	เที่ยง	horse
ngọc	อัญมณี	pearl
ngọn	ด้านบน	top
ngọt	หวาน	sweet (adj.)
ngồi	นั่ง	sit
ngộ	การรักษา	ngo
ngột	กะทันหัน	sudden
ngớ	โง่	silly
ngời	แจ๊ด	bright
ngỡ	ความคิด	surprised
ngợi	สรรเสริญ	praise
ngợm	ซน	naughty
ngục	นรก	dungeon
ngụm	จิบ	sip
ngụy	หุ่นเชิด	puppet
ngủ	ไปนอน	sleep
ngủi	อาศัยอยู่	"(should be ""ngắn ngủi"") short-lived"
ngứa	ที่ทำให้คัน	itchy
ngừ	ปลาทูน่า	tuna
ngừa	ป้องกัน	prevent
ngừng	หยุด	to cease (v.)
ngửa	เผชิญหน้า	supine
ngửi	กลิ่น	to smell
ngữ	ภาษา	term
ngự	นั่ง	defend
ngựa	ม้า	horse
ngực	หน้าอก	chest
nha	nha	dental
nhakẻ	nhake	nha-ke
nham	หินลาวา	"(actual term is ""dung nham"") lava"
nhan	สิทธิ	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	ธูป	incense
nhanh	รวดเร็ว	fast
nhat	nhat	nhat
nhen	พลุ่ง	rekindle
nhi	เด็ก ๆ	junior
nhiên	หลักสูตร	tuy nhiên= however
nhiêu	มาก	how many
nhiều	จำนวนมาก	numerous
nhiễm	การติดเชื้อ	infect
nhiễu	การรบกวน	noise
nhiệm	ความรับผิดชอบ	task
nhiệt	ความร้อน	heat
nhk	เอ็นเอชเค	nhk
nhs	พลุกพล่าน	nhs
nhu	จำเป็นที่จะต้อง	demand
nhuận	กำไร	leap year
nhuệ	ยอด	elite
nhuộm	การย้อม	dye
nhàn	ตามสบาย	leisure
nhàng	อ่อนโยน	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	คลุก	to fall headlong
nhác	สันหลังยาว	coward
nhái	ปลอม	illegal copy
nhánh	สาขา	branch
nháp	ร่าง	draft
nháy	กระพริบตา	to flash or blink (v.)
nhâm	จิบ	leap
nhã	ประณีต	"(term should be ""thanh nhã"") elegant"
nhãn	ป้ายชื่อ	"(term should be ""gán nhãn"") to affix a label"
nhét	ใส่	put
nhì	ที่สอง	second (adj.)
nhìn	ดู	to look (v.)
nhí	เด็กชาย	children
nhím	เด็กซน	porcupine
nhòm	กล้องส่องทางไกล	to peep (v.)
nhóc	เด็ก	brat
nhóm	กลุ่ม	group (n.)
nhô	สิ่งที่แขวนอยู่	emerge
nhôm	อลูมิเนียม	aluminum (n.)
nhúng	จุ่ม	embed
nhút	อาย	shy
nhăn	เหี่ยวย่น	wrinkle
nhĩ	หัวใจห้องบน	turkey
nhũ	อิมัลชัน	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	คอรัปชั่น	bribery
nhơn	ความดี	nhon
như	เช่น	like
nhưng	แต่	but
nhương	ขับไล่	(proper noun) vietnamese first name
nhường	ยกให้	yield
nhưỡng	ดิน	soil
nhược	ความอ่อนแอ	weak
nhượng	สัมปทาน	concession
nhạ	ญา	nha
nhạc	เพลง	music
nhạn	นกนางแอ่น	bird
nhạo	สนุก	ridicule
nhạt	ซีด	light
nhạy	ความไว	sensitive
nhảy	เต้น	jump
nhấc	ยก	lift
nhấm	แหนม	rodent
nhấn	กด	to press (v.)
nhất	มากที่สุด	most
nhầm	สับสน	misunderstand
nhầy	หนืด	glutinous
nhẫn	แหวน	patient
nhậm	สละ	inaugurate
nhập	นำเข้า	penetrate
nhậu	nhau	drink
nhậy	ความไว	sensitive
nhắc	ได้รับแจ้ง	to remind (v.)
nhắm	การเล็ง	aim
nhắn	ข้อความ	message
nhằm	ไปยัง	for the purpose of (adv.)
nhẵn	เรียบ	smooth
nhặt	หยิบขึ้นมา	pickup
nhẹ	แสง	light
nhẹn	การเคลื่อนไหว	nhanh nhẹn= fast/nimble
nhị	ครั้งที่สอง	sensitive
nhịn	การอดอาหาร	fasting
nhọ	nho	smear
nhọn	แหลม	sharp (adj.)
nhỏ	เล็ก	small
nhỏ|cây	เล็ก | ต้นไม้	small|tree
nhỏ|một	เล็ก | หนึ่ง	small | one
nhỏ|phải|	เล็ก | ขวา |	small|right
nhỏ|phải|px|	เล็ก | ขวา | px |	small | have | px |
nhỏ|phải|px|bức	small | right | px | รูป	grape / fade / px / buc
nhỏ|phải|px|cây	small | right | px | tree	px spicy grape fade
nhỏ|phải|px|khu	small | right | px | zone	small|right|px|area
nhỏ|phải|px|michael	small | right | px | michael	small|right|px|michael
nhỏ|phải|px|máy	small | right | px | machine	small | right|px|machine
nhỏ|phải|px|một	small | right | px | one	small|right|px|one
nhỏ|phải|px|quân	small | right | px | force	small|right|px|army
nhỏ|px|	small | px |	small
nhỏ|px|các	small | px | the	small
nhỏ|px|phải|kiến	small | px | right | ant	small | px | right | patience
nhỏ|quân	เล็ก | แรง	small|army
nhỏ|trái|px|máy	small | left | px | machine	small|left|px|plane
nhỏ|tượng	รูปปั้นขนาดเล็ก	small|statue
nhốt	ถูกล็อค	confine
nhồi	ยัดไส้	cram
nhổ	ความกล้าหาญ	uproot
nhộn	ป๊อปอัพ	busy
nhớ	เพื่อจำ	remember
nhớt	หนืด	viscid
nhờ	ขอบคุณ	by
nhờn	มันเยิ้ม	multiplication
nhở	ข้อควรระวัง	remind
nhụ	usp	nhu
nhục	ละอายใจ	shame
nhủ	เช่น	needs
nhức	ปวดเมื่อย	pain
nhứt	nhut	first (n.)
nhừ	วุ้น	tender
những		the
nhựa	พลาสติก	plastic
nhựt	วันอาทิตย์	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	พรรณี	nun
nia	สขช.	a flat basket (n.)
nicaea	ไนซีอา	nicaea
nicaragua	นิการากัว	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	นิโคลัส	(proper noun) nicolas, as in nicolas sarkozy
niels	นีลส์	(proper noun) niels
nigeria	ไนจีเรีย	nigeria
nikel	นิกเกิล	nickel
niken	นิกเกิล	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	นิโคไล	nikolai
nikolayevich	เย	nikolayevich
nil	ศูนย์	nile
nile	แม่น้ำไนล	(proper noun) the river nile
nimitz	นิมิตซ์	(proper noun) nimitz, as in the ship uss nimitz
nin	นิน	nin
ninh	ความปลอดภัย	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	ก๊าซไนโตรเจน	nitrogen (n.)
nixon	นิกสัน	(proper noun) nixon, as in former president richard nixon
niên	หนุ่มสาว	youth
niết	ผ่าน	nirvana
niềm	การลงโทษ	trust
niệm	วันครบรอบปี	concept
niệu	เกี่ยวกับปัสสาวะ	urinary
nj	นิวเจอร์ซีย์	nj
nlf	nlf	nlf
nm	นาโนเมตร	nano-meters
noah	โนอาห์	(proper noun) noah
nobel	โนเบล	nobel
nobita	โนบิตะ	nobita
noel	noel	(proper noun) noel
noi	น้อย	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	นาม	look after
non	หนุ่มสาว	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	นอร์โฟล์ค	norfolk
norge	norge	norge
norma	นอร์มา	(proper noun) norma, a female first name
norman	นอร์แมน	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	นอร์ตัน	norton
norway	นอร์เวย์	norway
nou	nou	nou
novak	โนวัค	novak
now	ตอนนี้	now
nowc	nowc	nowc
noãn	ไข่	ovule
nsnd	ศิลปินคน	people's artist
nst	nst	chromosome
nubia	นูเบีย	nubia
number	จำนวน	number
nupedia	นูพีเดีย	a name
nusa	nusa	nusa
nuôi	อาหาร	feed
nuối	nuối	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	กลืน	to swallow (v.)
nuớc	น้ำ	water
nxb	สำนักพิมพ์	publisher
nynorsk	รชค์	nynorsk
nà	nà	na
nài	ยืนยัน	pleading
nàn	บ่น	poor
nành	ถั่วเหลือง	soy
nào	มาเลย	would
này	นี้	this
ná	หนังสติ๊ก	a crossbow (n.)
nách	รักแร้	underarm (n.)
náo	ความโกลาหล	riot
nát	บด	ruin
náu	ที่พักอาศัย	hide
nâng	ที่ยก	raise
nâu	สีน้ำตาล	brown
nã	อยาก	to track down (v.)
não	สมอง	brain
né	หลบเลี่ยง	dodge
ném	โยน	to throw (v.)
nén	การบีบอัด	compress
nét	จังหวะ	feature
nê	ประเทศกินี	ne
nên	ควร	should or ought to
nêu	ตามที่ระบุไว้	mention
nòi	การแข่งขัน	race
nòng	บาร์เรล	barrel
nói	พูด	to say or speak (v.)
nón	หมวก	cone
nóng	ร้อน	hot
nô	ความเป็นทาส	slave
nôbita	โนบิตะ	nobita
nôi	เปล	cradle
nôm	นาม	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	อาเจียน	vomit
nông	ตื้น	farmer
nõn	ปอกเปลือก	peeled
nùng	nung	nung
núm	ลูกบิด	nipple
núp	โลก	hide
nút	ปม	button
năm	ปี	year
năn	ความโศกเศร้า	"(term should be ""ăn năn"") remorse (n.)"
năng	อำนาจ	"(term should be ""khả năng"") ability (n.)"
nơi	สถานที่	a place
nơtrino	อนุภาคนิวทรีโน	neutrino
nước	ประเทศ	country
nước 	ประเทศ	water
nướng	ย่าง	grill
nǎm	nǎm	year
nạ	มาสก์	mask
nạc	ยัน	lean (adj.)
nại	ร้องเรียน	complain
nạn	ผู้ที่ตกเป็นเหยื่อ	a disaster (n.)
nạo	curette	to scrape (v.)
nạp	โหลด	tribute
nản	หมดกำลังใจ	depressed
nảy	ตีกลับ	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	ขั้น	a hiccup (n.)
nấp	ที่หลบซ่อนตัว	hide
nấu	ปรุงอาหาร	cook
nấy	เปล่า	this
nần	หนี้สิน	debt
nầy	นี้	this
nẩy	ตีกลับ	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	ไม่มีดวงอาทิตย์	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	ที่คึกคักที่สุด	busy
nắm	ถือ	to grasp or hold (v.)
nắng	แดดจัด	sunlight
nắp	ฝา	a lid or cover (n.)
nằm	ที่ตั้งอยู่	to lie (v.)
nẵng	นาง	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	ไม่เปิดเผยชื่อ	heavy
nặn	การสร้างแบบจำลอง	mould
nặng	หนัก	heavy
nẻo	โชคชะตา	turn
nếm	ลิ้มรส	taste
nến	เทียน	candle
nếp	รอยพับ	sticky rice (n.)
nếu	ถ้า	if (adv.)
nề	การก่ออิฐ	severe
nể	น่านับถือ	respect
nện	การห้ำหั่น	ram
nỉ	ความรู้สึก	beg
nịnh	คำเยินยอ	flatter
nọ	อื่น ๆ	the other
nọc	ไม้ต่อขา	tadpole
nỏ	คันธนขนาดใหญ่	a crossbow (n.)
nối	ลิงค์	connection
nốt	บันทึก	to finish off (v.)
nồi	หม้อ	pot
nồm	ลมมรสุม	humid (adj.)
nồng	สมาธิ	heavy
nổ	ระเบิด	explode
nổi	ดี	nổi tiếng= famous
nỗ	ความพยายาม	affort
nỗi	ที่	state
nộ	ความกริ้ว	anger
nội	ภายใน	on the paternal side (adj.)
nộn	หมวก	non
nộp	ส่ง	submit
nới	คลายตัว	ease
nở	กำลังบาน	bloom
nỡ	หัวใจ	do you have a heart to
nợ	เป็นหนี้	debt
nụy	เปลือย	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	ไม้ก๊อก	a kind of bamboo (n.)
nứt	cracked	to crack
nửa	ครึ่ง	haft
nữa	อื่น	moreover
oahu	โออาฮู	(proper noun) oahu
oai	กลัว	heroic
oakland	โอ๊คแลนด์	oakland
oan	oan	injustice
oanh	oanh	(with word liet) glorious
obama	โอบามา	obama
oblast	แคว้นปกครองตนเอง	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	ตุลาคม	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	การผจญภัย	odyssey, as in the odyssey, homer's epic
oecd	โออีซีดี	oecd
officer	เจ้าหน้าที่	officer
officers	เจ้าหน้าที่	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	โอลิเวอร์	oliver
olivier	โอลิเวีย	olivier
olympus	olympus	olympus
om	เคี่ยว	to simmer
omar	omar	a name
ong	อ่อง	bee
ontario	ออนตาริ	ontario
oort	ออร์ต	oort
oprah	โอปราห์	(proper noun) oprah, as in oprah winfrey
organ	คนเล่นออร์แกน	organ
oricon	โอริคอน	oricon
origin	ที่มา	origin
orion	กลุ่มดาวนายพราน	(proper noun) orion, the hunter
orleans	เมืองออเลียนส	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	ออร์ตัน	orton
os	ระบบปฏิบัติการ	os
osaka	โอซาก้า	(proper noun) osaka, a city in japan
osama	อุซามะห์	(proper noun) osama, as in osama bin laden
osamu	โอซามุ	(proper noun) osamu, a japanese first name
oscar	ออสการ์	oscar
osiris	โอซิริส	(proper noun) osiris, as in the egyptian god
oskar	ออสการ์	a name
oslo	ออสโล	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ออสซีเชีย	(proper noun) ossetia
oswald	ออสวอล	oswald
other	อื่น ๆ	other
otto	อ็อตโต	(proper noun) otto, as in otto von bismarck
ottoman	ชาวเติร์ก	(proper noun) ottoman, as in the ottoman empire
outstanding	โดดเด่น	xuat sac
owen	โอเว่น	(proper noun) owen, as in michael owen
oxford	ฟอร์ด	oxford
oxy	ออกซิเจน	oxygen
ozawa	โอซาวะ	(proper noun) ozawa, as in maria ozawa
oán	ความไม่พอใจ	"(term should be ""oán than"") to complain or whine"
oát	วัตต์	a watt (n.)
oản	ในการตกตะกอน	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	ไพลิน	pailin
pakistan	ประเทศปากีสถาน	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	ปาลาวัน	palawan
palenque	palenque	(proper noun) palenque
palestine	ปาเลสไตน์	a name
palgrave	พั	palgrave
pali	บาลี	a name
pamir	pamir	pamir
pan	กระทะ	pan, as in peter pan
panama	ปานามา	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	เสือ	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	หนังสือปกอ่อน	paperback
papua	ปาปัว	papua
paraguay	ประเทศแพรากเว	(proper noun) paraguay
pari	pari	pari
park	สวนสาธารณะ	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	แพทริก	patrick
patriot	คนรักชาติ	patriot
paul	paul	paul
paula	พอลล่า	paula
paulo	paulo	(proper noun) paulo
pavia	เวีย	pavia
pbs	พีบีเอส	pbs
pda	พีดีเอ	pda
pdf	รูปแบบไฟล์ pdf	pdf
pedro	pedro	pedro
peers	เพื่อนร่วมงาน	peers
pele	เปเล่	(proper noun) pele, as in the soccer player
penang	ปีนัง	penang
penh	พนมเปญ	(proper noun) penh, as in phnom penh
pennsylvania	เพนซิล	pennsylvania
penny	เงิน	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	น้ำเพริ	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	เปอร์เซีย	persian
peru	เปรู	peru, as in the south american country
