$ tỉ	milliarden dollar	$ billion
hủi	aussätziger	reject
hủy	abbrechen	to erase or destroy
hứa	versprechen	promise
hử	huh	hu
hửu	huh	"(term should be ""sở hửu"") to own (v.)"
hữu	eigentum	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	island	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illusion	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	auswirkungen	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	indisch	indian
indiana	indiana	indiana
indochina	indochina	indochina
indonesia	indonesien	indonesia
indrapura	indrapura	(proper noun) indrapura
info	info	info
innsbruck	innsbruck	innsbruck
insulin	insulin	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	interpol	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ion	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	iran	the nation of iran
iraq	irak	iraq
ireland	irland	ireland
irgun	irgun	irgun
irony	ironie	irony
irving	irving	(proper noun) irving
isaac	isaac	isaac
isla	isla	isla
islam	islam	islam
islamabad	islamabad	(proper noun) islamabad
israeli	israelisch	israeli
istanbul	istanbul	istabbul
italia	italien	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	jack	jack
jackie	jackie	(proper noun) jackie chan
jackson	jackson	(proper noun) jackson, as in michael jackson
jacob	jacob	jacob
jae	jae	jae
jakarta	jakarta	(proper noun) jakarta
jan	jan	(proper noun) jan
janeiro	janeiro	janeiro
janet	janet	janet
japan	japan	japan
jared	jared	jared
jarvis	jarvis	(proper noun) jarvis, as in jarvis cocker
jasper	jaspis	(proper noun) jasper
jean	jean	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	jeans	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	jeff	jeff, as in jeff drake
jefferson	jefferson	jefferson
jeffrey	jeffrey	jeffrey
jeju	jeju	jeju
jenda	jenda	jenda
jenny	jenny	jenny
jericho	jericho	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	jerry	(proper noun) jerry
jersey	trikot	jersey
jerusalem	jerusalem	jerusalem
jesse	jesse	a name
jesus	jesus	chua jesus
jetstar	jetstar	jetstar
jewish	jüdisch	jewish
jiao	jiao	jiao
jimmy	jimmy	jimmy
jin	jin	jin
jing	jing	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	joachim	joachin
joan	joan	a name
joe	joe	(proper noun) joe
johan	johan	johan
johann	johann	johann
johannes	johannes	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	johnny	johnny
johns	johns	johns
johnston	johnston	johnston, as in harry johnston
johor	johor	johor
joint	gelenk	joint
jonathan	jonathan	(proper noun) jonathan
jones	jones	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	joseph	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	judith	judith
judo	judo	judo, the martial art
julesverne	julesverne	jules verne
julliard	julliard	(proper noun) julliard
jump	springen	jump
june	juni	june, as in the month
jung	jung	jung
junsu	junsu	junsu
jupiter	jupiter	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	juventus	juventus
k	k	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	kahn	kahn
kai	kai	kai
kakashi	kakashi	kakashi
kaká	kaká	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalaschnikow	(proper noun) kalashnikov
kali	kalium	potassium
kama	kama	(proper noun) kama, as in the kama sutra
kamakura	kamakura	kamakura
kamov	kamov	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	kana	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	kanji	kanji
kant	kant	a name
kar	kar	(proper noun) kar
kara	kara	kara
karaoke	karaoke	karaoke
karate	karate	karate
karatedo	karatedo	karatedo
karen	karen	(proper noun) karen
karim	karim	(proper noun) karim
kashmir	kaschmir	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	katakana	katakana, a type of japanese script
kate	kate	(proper noun) kate, as in actress kate winslet
katherine	katherine	katherine
kathmandu	kathmandu	kathmandu
katrina	katrina	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kaukasus	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	kay	kay
kazan	kazan	kazan, the name of a city
kcn	kcn	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	kelly	kelly
kelsi	kelsi	kelsi
kelvin	kelvin	kelvin
kem	eis	ice cream (n.)
ken	ken	ken
kennedy	kennedy	(proper noun) kennedy, as in john f. kennedy
kenneth	kenneth	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	kentucky	(proper noun) kentucky
kepler	kepler	kepler
kerala	kerala	(proper noun) kerala
kevin	kevin	kenvin
keynes	keynes	keynes, as in economist john maynard keynes
kg	kg	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	erklärung	announce
khali	khali	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	kham	endure
khan	wasserfrei	rare
khang	khang	khang
khanh	khanh	khanh
khao	sehnsucht	desire
khay	tablett	tray
khe	steckplatz	chink
khem	khem	abstinence
khen	kompliment	praise
kheo	auf stelzen	kheo
khi	wann	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	bescheiden	khiem
khiên	schild	a shield
khiêu	erotisch	"('khiêu dâm"") pornographic"
khiếm	beeinträchtigt	lack
khiến	ursache	control
khiếp	erschrocken	horrible
khiếu	lodge	talent (n.)
khiển	kontrolle	control
khleang	khleang	kh'leang
kho	lager	warehouse
khoa	fakultät	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	bohren	drill
khoang	hohlraum	brag
khoanh	klingeln	a slice (n.)
khoe	vorführen	to boast
khoá	schloss	lock
khoác	mantel	coat
khoán	lager	stock
khoáng	mineral	mineral
khoát	endgültig	decisive
khoét	schneiden	carve
khoăn	bund	disturbed
khoả	nackt	naked
khoản	artikel	an item (n.)
khoảng	ca.	about
khoảnh	momente	moment
khoẻ	gut	health
khrushchev	chruschtschow	khrushchev
khrushchyov	chruschtschow	khrushchyov
khu	viertel	section
khung	rahmen	frame
khural	khural	khural
khuynh	links	trend
khuyên	beratung	advise
khuyết	defekt	lack
khuyển	hund	khuyen
khuất	versteckt	hidden
khuấy	rühren	stir
khuẩn	bakterien	bacteria
khuếch	verstärken	amplification
khuỷu	ellbogen	elbow
khá	hübsch	quite
khác	andere	different
khách	gäste	customer
khái	konzeptionell	concept
khám	prüfung	discover
khán	das publikum	audience
kháng	widerstand	appeal
khánh	unabhängigkeit	a type of chime made of stone (n.)
khát	durstig	to be thirsty for (adj.)
khâm	khâm	admire
khèn	leider	a pan-pipe (n.)
khéo	genial	cleverly or skillfully (adv.)
khép	geschlossen	close
khía	kerbe	"(term should be ""khía cạnh"") angle (n.)"
khích	ermutigung	encourage
khít	eng	close
khó	schwer	difficulty
khóa	schloss	a session
khóc	weinen	cry
khói	rauch	smoke
khóm	ananas	a cluster
khô	trocken	dry
khôn	weise	clever, intelligent
không	nein	not
khúc	lied	song
khăm	streich	nasty (adj.)
khăn	handtuch	difficult
khơi	offshore	sea
khư	khư	grip
khưu	khưu	khuu
khước	leugnen	waive
khả	möglichkeit	"(term should be ""khả năng"") ability (n.)"
khải	offenbarung	triumph
khảm	mosaik	to encrust
khảo	prüfung	"(term should be ""tham khảo"") to consult (v.)"
khấm	durchbohrt	endure
khấn	bete	pray
khấu	rabatt	"(term should be ""sân khấu"") a stage (n.)"
khẩn	dringend	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	gravur	moment
khắp	überall	all over
khẳng	bejahend	"(term should be ""khẳng định"") to assert (v.)"
khế	sternfrucht	bond
khỉ	affe	monkey or ape (n.)
khỏa	nackt	nude
khỏe	gut	health
khỏi	aus	leave
khố	lendenschurz	loincloths
khốc	schrecklich	devastating
khối	block	a block or mass of (n.)
khốn	bastard	miserable
khống	khong	control
khổ	leiden	miserable (adj.)
khổng	riese	huge
khởi	initiiert	start
khủng	schrecklich	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	bastard	elbow
khứu	pastell	olfactory
khử	beseitigen	reduction
ki	ki	"entire phrase is ""ki lo""; means ""kilometer"""
kia	dort	other
kid	kind	kid
kiel	kiel	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	kii	kii
kikyo	kikyo	kikyo
kilômét	kilometer	kilometer
kim	nadel	kim
kingdom	königreich	kingdom
kinsey	kinsey	kisney
kiribati	kiribati	kiribati
kishimoto	kishimoto	(proper noun) kishimoto
kiss	kuss	kiss
kissinger	kissinger	kissinger
kitts	kätzchen	kitts
kitô	christus	christian
kiêm	cum	cum
kiên	patient	consistent
kiêng	sich enthalten	abstinence, as in abstaining from eating
kiêu	arrogant	showy
kiếp	lebenszeit	a lifetime (n.)
kiết	fesseln	cheap (adj.)
kiềm	alkalisch	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	überprüfen	control
kiểu	typ	type
kiệm	wirtschaftlich	save
kiện	sue	event (su kien)
kiệt	meisterwerk	exhausted (adv.)
kiệu	sänfte	scallion
klaus	klaus	klaus
klein	klein	klein
km	km	kilometer
knesset	knesset	knesset
knuth	knuth	knuth, as in donald knuth
koch	koch	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	komodo	komodo
kon	kon	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	kong	(proper noun) kong, as in hong kong
konstantin	konstantin	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	kop	kop
koran	koran	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	koruna	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	kremli	kremil
kremlin	kreml	kremlin
kristen	kristen	kristen
krông	krong	krong
ku	ku	is a name
kuala	kuala	(proper noun) kuala, as in kuala lumpur
kubrick	kubrick	kubrick
kuen	kuen	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	kulak	kulak
kune	kune	(proper noun) kune, as in the martial art jeet kune do
kung	kung	danh vo
kungfu	kung fu	kung fu
kunst	kunst	kunst, as in richard kunst
kurd	kurd	kurd
kurt	kurt	(proper noun) kurt
kuwait	kuwait	kuwait, the country (n.)
kwan	kwan	kwan
kwen	kwen	kwen
kwon	kwon	kwon, as in tae kwon do; proper noun
kyrgyzstan	kyrinkistan	(proper noun) the country of kyrgyzstan
kyushu	kyushu	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	beigefügt	included
kèn	trompete	horn
kém	arm	less
kén	kokon	selective
kéo	ziehen	scissors
kép	dual	dual
két	sicher	"(term should be ""rốc két"") rocket (n.)"
kê	hirse	statistics
kênh	kanal	channel
kêu	weinte	appeal
kìa	siehe,	that
kìm	zangen	bar
kình	brille	rivalry
kí	zeichen	sign
kích	klicken sie auf	excite
kíchbom	klick-taste	bombers
kín	privat	secretive or closed tight (adj.)
kính	glas	respect
kíp	besatzung	esoterica
kít	kit	wheelbarrow
ký	unterschrieben	"(""nhật ký"") a diary"
kĩ	vorsichtig	technique
kơnia	kàia	a tree found in southeast asia; sometimes called wild mango
kạn	kan	kan
kẹo	süßigkeiten	candy
kẹp	klemme	to clamp down (v.)
kẹt	stecken	jam
kẻ	jungs	guy
kẻo	damit nicht	lest
kẽ	interstitial	crevice
kẽm	zink	zinc
kế	als nächstes	a scheme (n.)
kết	ende	combine
kề	benachbart	adjacent
kềnh	sperrig	bulky
kệ	regale	ignore
kỉ	jahrhundert	"(term should be ""kỉ niệm"") souvenir (n.)"
kị	kavallerie	ki
kịp	rechtzeitig	kip
kỵ	kavallerie	taboo
kỷ	jahrhundert	"(term should be ""thế kỷ"") century (n.)"
l	l	l.
label	etikett	label
laboulaye	laboulaye	a name
ladakh	ladakh	(proper noun) ladakh
lai	hybrid	"(term should be ""tương lai"") the future (n.)"
lam	lam	lam
lama	lama	a name
lan	lan	a name
land	land	land
landon	landon	a name
lang	lang	lang
langdon	langdon	langdon
lange	lange	lange, as in oscar lange
langue	sprache	langue
lanh	leinen	ringing
lanka	lanka	(proper noun) lanka, as in the island of sri lanka
lao	tb	labor
laos	laos	(proper noun) laos
lap	runde	greek
larry	larry	larry
lars	lars	lars
las	las	(proper noun) las, as in las vegas
laser	laser	laser
lateran	lateran	lateran
latinh	latein	latin
latvia	lettland	(proper noun) latvia
lau	wischen	lau
laura	laura	(proper noun) laura, as in laura bush
laurence	laurence	(proper noun) laurence
lawrence	lawrence	(proper noun) lawrence
lay	lag	lay
lazarus	lazarus	(proper noun) lazarus
leach	auslaugen	(proper noun) leach
leaf	blatt	leaf
leave	geh	leave
lebanon	libanon	(proper noun) lebanon
lee	lee	lee
legacy	vermächtnis	legacy
leiden	leiden	leiden
lem	lem	cinderella
lenin	lenin	lenin
lenins	lenine	lenin's
leo	klettern	climb
leon	leon	leon
leonard	leonard	leonard
leonardo	leonardo	(proper noun) leonardo, as in leonardo da vinci
leonid	leonid	leonid
les	les	les
leslie	leslie	a name
lesotho	lesotho	lesotho
lg	lg	lg
lhp	lhp	film festival
lhq	lhq	un
libby	libby	(proper noun) libby
libero	libero	libero
libya	libyen	libya
lido	lido	lido
liechtenstein	liechtenstein	liechtenstein
liga	liga	a name
lightning	blitz	lightning
lilly	lilly	(proper noun) lilly
linga	linga	linga
linh	linh	efficacious (adj.)
links	links	links
linux	linux	linux server
lionel	löwe	lionel
lisboa	lisboa	lisboa
lisbon	lissabon	a name
litva	litauen	(proper noun) lithuania
liu	liu	liu
liêm	integrität	good example
liên	venture	relate
liêng	heilig	sacred
liêu	bürokratie	bureaucracy
liềm	sichel	sickle
liều	dosis	daring
liễu	weide	a willow tree (n.)
liệng	werfen	"(term should be ""cánh liệng"") the aileron of a plane (n.)"
liệt	lähmung	impotent
liệu	roh	document
lleyton	lleyton	lleyton
lo	siehe da	to worry (v.)
loa	lautsprecher	"(term should be ""cổ loa"") an ancient vietnamese city (proper noun)"
loaita	loaita	loaita
loang	glatt	patchy
loch	loch	loch
locke	locke	(proper noun) locke, as in philosopher john locke
lockheed	lockheed	(proper noun) lockheed, as in lockheed martin
log	log	log
logan	logan	a name
lon	dosen	lon
london	london	london
long	lang	dragon
lorenzo	lorenzo	lorenzo
los	los	los, as in los angeles
louis	louis	louis
louisiana	louisiana	(proper noun) the state of louisiana
louvre	jalousie	(proper noun) louvre
love	liebe	yeu
loài	arten	species
loát	auffällig	overturn
loãng	dünn	wishy-washy
loét	geschwür	gaping, as in a wound
loại	typ	type
loạianh	typ	not a word
loạianime	typ anime	type anime
loạibệnh	art der krankheit	disease
loạichiến	typ	loaichien
loạicác	typ	item
loạicâu	typ	type: club
loạicông	typ	type: industry
loạicựu	typ	kind former
loạigia	typ	loaigia
loạihuân	kindhuan	not a word
loạiluật	art des gesetzes	type: law
loạimáy	maschinentyp	kind plane
loạimôn	typ	type
loạingày	geben sie dies ein	loaingay
loạiphim	filmtyp	type movie
loạiphong	typ	kind of movement
loạiscandal	typ	scandal type
loạithuật	art des gesetzes	type: lexicon
loạithành	typ	kinds of payment
loạithần	typ	kind myth
loạitrường	art der schule	type of school
loạitín	art	type: belief
loạitổ	typ	kind organization
loạivõ	art von	type: martial art
loạixã	typ	kind of society
loạn	störung	disorderly
loạt	serie	series
lp	lp	lp
lu	lu	dim
luang	luang	a name
lucas	lucas	(proper noun) lucas
lucia	lucia	lucia, as in the island of saint lucia
luciano	luciano	luciano
ludendorff	ludendorff	luđenorff
ludovico	ludovico	ludovico
ludwig	ludwig	ludwig
lui	zurück	withdrawal
luis	luis	(proper noun) luis, a first name
luiz	luiz	luiz
lula	lula	lula
lung	lunge	shake
lustig	lustig	lusig
luther	luther	luther
luxembourg	luxemburg	a name
luy	luy	luy
luyến	anhang	love
luyện	üben	training
luận	kommentar	"(term should be ""xã luận"") an editorial"
luật	das gesetz	law
luồn	gewinde	wriggle
luồng	stream	lane
luộc	gekocht	boiled
luỹ	kumulativ	rampart (n.)
ly	ly	divorce
lydia	lydia	lydia
lympho	lymphom	lymphocyte
lyndon	lyndon	lyndon
lyon	lyon	lyon
là	ist	the verb to be
làm	tun	make
làn	spur	wave
làng	dorf	village
lành	geheilt	protestant
lào	laos	laos
lá	blätter	"(term should be ""lá thư"") a letter (n.)"
lác	schielen	brag
lách	milz	to swerve (v.)
lái	fahren	to drive (v.)
lán	hütte	shack
láng	glatt	neighbours
lâm	lam	lâm, a common vietnamese first name
lân	einhorn	nearby
lâu	lang	long time
lây	ansteckend	to infect
lãi	interesse	a profit
lãm	zeigt	exhibition
lãnh	erhalten	to receive
lão	alt	old
lèo	lèo	"(term should be ""nước lèo"") broth (n.)"
lén	schleichen	sneak
lê	birnen	le
lêmạc	licht	"(term should be ""lê-mạc"") a war between two ruling families in ancient vietnamese history"
lên	auf	on
lênh	befehl	"(should be ""lênh đênh"") adrift"
lênin	lenin	lenin
lìa	geh	to leave (v.)
lình	plötzlich	suddenly
lí	lagerung	reason
lính	soldat	soldier
lít	liter	litre
líu	gurren	"(term should be ""dính líu"") to have a connection with"
lò	ofen	release
lòng	zerquetschen	heart
lóc	schlangenkopf	cry
lóe	blitzte	flash
lóng	slang	"entire term should be ""tieng long""; means ""slang"""
lót	futter	undies
lô	viel	batch
lôi	fehler	encourage
lôn	lol	"(term should be ""côn lôn"") a village in vietnam"
lông	fell	hair
lõi	kern	core
lõm	konkav	concave
lùi	rückwärts	back
lùn	zwerg	dwarf
lùng	jagen	hunt
lúa	reis	rice
lúc	bei	at the moment
lún	senkung	subside
lúng	fackel	confused
lúp	vergrößerung	uneven
lút	hinterhältig	surreptitiously
lăm	fünf	tens
lăn	rollen	attack
lăng	mausoleum	tomb
lĩnh	domänen	"(term should be ""thủ lĩnh"") the leader (n.)"
lũ	flut	a band or gang (n.)
lũng	tal	valley
lũy	kumulativ	rampart
lơ	vernachlässigen	to ignore
lơi	lockern	"(term should be ""lả lơi"") to act in a familiar or flirting manner (adv.)"
lư	räuchergefäß	an urn
lưng	zurück	back
lươn	aal	eel
lương	gehalt	conscience
lưới	gitter	a net (n.)
lướt	surfen	ski
lười	faul	lazy
lưỡi	zunge	tongue
lưỡng	bisexuell	"(term should be ""lưỡng tính"") bisexual"
lược	kamm	invasion
lượm	abholen	pick up
lượn	gleiten	to glide over (v.)
lǐ	lǐ	(proper noun) li, as in jet li
lạ	seltsam	strange or unusual (adj.)
lạc	verloren	camel
lạch	bach	"(term should be ""luồng lạch"") a narrow water passageway"
lại	wieder	reversed
lạn	faul	bright
lạng	lang	lang
lạp	wurst	"(term should be ""hy lạp"") greek"
lạtma	lamma	lama
lạy	niederwerfen	kowtow
lấn	eingriff	to encroach on (v.)
lấp	füllen	sparkle
lấy	genommen	taken
lầm	falsch	wrong
lần	mal	time
lầu	boden	a story or level of a building (n.)
lầy	sumpfig	swamp
lẩu	hotpot	hotpot
lẩy	springen	get
lẫn	verwirrt	each other
lẫy	prise	illustrious
lận	betrügen	fraudulent
lật	flip	turn
lậy	oh ja	"(term should be ""cai lậy"") the name of a rural district"
lắc	schütteln	to shake (v.)
lắm	sehr	do
lắng	sich niederlassen	"(should be ""lo lắ́́ng"") to worry"
lắp	passend	lap
lặng	still	quiet
lặp	wiederholen	repeat
lặt	verschiedenes	means miscellaneous, part of the word lat vat
lẹ	schnell	quickly (adv.)
lẻ	seltsam	"(the term should be ""bán lẻ"") retail"
lẻn	schleichen	sneak
lẻo	lax	climb
lề	marge	alignment
lều	zelt	tent
lễ	zeremonie	ceremony
lệ	rate	"(term should be ""tỷ lệ"") probability (n.)"
lệch	schief	difference
lệnh	der befehl	command
lị	ruhr	"(term should be ""tỉnh lị"") a township (n.)"
lịch	kalender	history
lọc	filter	tricked
lọi	schielen	brilliant
lọng	sonnenschirme	rope
lọt	fallen	enter
lỏi	flusen	to enter
lỏng	locker	loose
lố	vorbei	ridiculous
lốc	wirbelwind	tornado
lối	eingang	way or path
lốp	reifen	tyre
lốt	verkleidung	lolot
lồ	riese	giant
lồi	konvex	convex
lồng	käfig	cage
lỗ	loch	hole
lộc	glück	loc
lội	waten	wade
lộn	umgedreht	wrong/mistake
lộng	wunderschön	"(term should be ""cổ lộng"") the name of a vietnamese city"
lột	schälen	exploit
lớn	groß	large
lớp	klasse	grade (n.)
lờ	ignorieren	turbid
lời	wort	advice
lở	wunden	to crack
lỡ	fräulein	miss
lợi	nutzen	benefit
lợn	schweine	pig
lợp	überdachung	roof
lụa	seide	silk
lục	grün	record
lụi	niedergebrannt	ruin
lụt	flut	flood
lụy	implikationen	consequence
lứa	müll	peer
lừa	trick	mislead
lừng	berühmt	well-known
lửng	dachs	lơ lửng= not clear/ something in between
lự	zögernd	reluctant
lựa	ausgewählt	chosen
lựu	granatapfel	grenade
ma	geist	ma sat (friction), ma thuat (magic), thay ma (zombie)
maastricht	maastricht	maastricht
macarthur	macarthur	macarthur
macclesfield	macclesfield	macclesfield
macedonia	mazedonien	(proper noun) macedonia
mach	mach	mach
machiavelli	machiavelli	machiavelli, as in philosopher niccolo machiavelli
machu	machu	machu
macintosh	macintosh	macintosh
macma	magma	magma
macromedia	makromedie	macromedia
madeira	madeira	madeira
madhouse	irrenhaus	madhouse
madison	madison	madison
madonna	madonna	(proper noun) madonna
madrid	madrid	madrid, as in the capital of spain
mafia	mafia	mafia
magiê	magnesium	magnesium
mahal	mahal	(proper noun) mahal, as in the taj mahal
mai	morgen	"(term should be ""giang mai"") the disease syphilis (n.)"
mainframe	mainframe	mainframe
major	hauptfach	major
makemake	makemake	makemake
malacca	malakka	malacca
malay	malaiisch	malaysia
malaysia	malaysia	(proper noun) the country of malaysia
malcolm	malcolm	malcolm
maldini	maledini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	lager	to bring (v.)
manga	manga	manga
mangnall	mangnall	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	karten	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marcel	(proper noun) marcel, a french name
marcos	marcos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	maria	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	marie	marie
marina	yachthafen	marina
marino	marino	marino
marić	marić	maric
marmara	marma	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	mars	mars
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marx	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	maría	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	mathematica	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	matten	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	schnell	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maxime	a name
may	nähen	lucky
maya	maya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	mccartney	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	medien	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medwedew	medvedev
mekong	mekong	mekong
melbourne	melbourne	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	bote	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messias	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	michael	michael
michaels	michaels	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	mikrofon	micro
microbiology	mikrobiologie	microbiology
microeconomics	mikroökonomie	microeconomics
micronesia	mikronesien	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	mailand	milan
milano	milano	milano
miley	miley	miley
mill	mühle	mill
miller	müller	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	trugbild	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	außenseiter	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchell	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hypnose	mien
miêu	katze	"(term should be ""miêu tả"") to describe (v.)"
miến	fadennudeln	burma
miếng	stücke	a piece (n.)
miếu	tempel	temple
miền	domain	area
miễn	kostenlos	to exempt (v.)
miện	krone	crown
miệng	mund	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	modus	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	neu	winkle
molecular	molekular	molecular
molotov	molotow	molotov
molypden	molybdän	the element molybdenum (n.)
mongolia	mongolei	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	mähren	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
