$	usd	dollars
нацистка	nacists	nazi
нация	tauta	nation
нацията	tauta	the nation
начален	sākotnējais	initial
начална	sākotnējais	home
началник	priekšnieks	head
началните	sākotnējais	initial
началното	sākotnējais	elementary
начало	sākuma	start
началото	sākums	start
начело	galvā	head
начин	veids	way
начина	veidos	ways
начини	veidos	ways
начинът	ceļš	way
наш	mūsu	our
нашата	mūsu	our
нашествие	iebrukums	invasion
нашествието	iebrukums	invasion
нашествия	iebrukumi	invasions
нашествията	iebrukumi	invasions
нашето	mūsējie	our
наши	mūsējie	our
нашите	mūsējie	our
ндсв	ndsv	ndsv
не	nē	not
небе	debesis	sky
небето	debesis	sky
невен	kliņģerīte	calendula
неврокоп	neirokops	nevrokop
неврологични	neiroloģiski	neurological
неврофизиология	neirofizioloģija	neurophysiology
невски	ņevskis	nevsky
невъзможна	neiespējami	impossible
невъзможно	neiespējami	impossible
него	viņu	him
негов	viņa	his
негова	viņa	his
неговата	viņa	his
негови	viņa	his
неговите	viņa	his
неговия	viņa	his
неговият	viņa	his
негово	viņa	his
неговото	viņa	his
недалеч	netālu	close
неделя	svētdien	nedelja
недоволство	neapmierinātība	discontent
недоволството	neapmierinātība	discontent
недостатъчно	nepietiekams	insufficient
недостиг	trūkums	shortage
незабавно	tūlīt	immediately
независим	neatkarīgs	independent
независима	neatkarīgs	independent
независими	neatkarīgs	independent
независимите	neatkarīgais	independent
независимо	neskatoties uz	irrespectible
независимост	neatkarība	independence
независимостта	neatkarība	independence
незначителни	nenozīmīgs	negligible
неизвестен	nezināms	unknown
неизвестна	nezināms	unknown
неизвестни	nezināms	unknown
неин	viņas	hers
нейна	viņas	her
нейната	viņas	its
нейни	viņas	its
нейните	viņas	its
нейния	viņas	its
нейният	viņas	her
нейно	viņas	hers
нейното	viņas	her
нека	ļaujiet	let
некар	некар	neckar
неколкократно	vairākas reizes	repeatedly
неметал	nemetāla	metalloid
немска	vācu	german
немската	vācietis	german
немски	vācu	german
немските	vācietis	german
немския	vācietis	german
немският	vācietis	german
немското	vācietis	the german
немците	vācieši	germans
необичайно	neparasts	unusual
необходим	nepieciešams	needed
необходима	nepieciešams	necessary
необходимата	nepieciešams	needed
необходими	nepieciešams	needed
необходимите	nepieciešams	necessary
необходимо	nepieciešams	needed
необходимост	nepieciešamība	necessary
необходимостта	nepieciešamība	the need
неолита	neolīts	the neolite
неофит	neofīts	neofit
неофициален	neoficiāla	unofficial
непал	nepāla	nepal
непентеса	nepenthes	the nepenthes
непознати	svešinieki	unknown
непосредствена	tūlītēju	close
непосредствено	tūlīt	immediately
неправилна	nepareiza	incorrect
неправилно	nepareiza	incorrectly
непрекъснато	nepārtraukti	continuously
нептун	neptūns	neptune
неравномерно	nevienmērīgi	uneven
нерв	nervu	nerve
нерва	nervu	nerve
нерви	nervi	nerves
нервна	nervozs	nervous
нервната	nervozs	nervous
нервни	nervozs	nerve
нерон	nero	nero
нерядко	bieži	often
несебър	nesebārs	nessebar
нестабилност	nestabilitāte	instability
несъмнено	neapšaubāmi	undoubtedly
неуспех	neveiksme	failure
неуспеха	neveiksme	failure
неуспешен	neveiksmīgi	unsuccessful
неуспешни	neveiksmīgi	unsuccessful
неутралитет	neitralitāte	neutrality
неутрони	neitroni	neutrons
неутроните	neitroni	neutrons
нефт	eļļa	oil
нефта	eļļa	the oil
нефтът	eļļa	the oil
неща	lietas	things
нещата	lietas	things
нещо	kaut kas	something
нея	viņu	it
ни	mums	us
ниагара	niagāra	niagara
нива	līmeņi	levels
нивата	līmeņi	levels
ниво	līmenis	level
нивото	līmenis	the level
нигер	nigers	niger
нигерия	nigērija	nigeria
нидерландия	nīderlande	netherlands
нидерландски	holandiešu	netherlands
нидерландците	holandieši	netherlands
ние	mēs	we
низина	zemiene	lowlands
низини	zemienes	lowlands
никаква	nav	none
никакви	nav	no
никакво	neko	none
никакъв	nav	no
никарагуа	nikaragva	nicaragua
никел	niķelis	nickel
никита	nikita	niita
никифор	никифор	nikephoros
никога	nekad	never
никой	neviens	nobody
никола	nikolajs	nicholas
николай	николай	nikolay
николов	nikolovs	nikolov
николова	nikolova	nikolova
никопол	nikopol	nikopol
никоя	nav	no one
нил	nulle	nile
ниоба	niobe	niobe
нирвана	nirvāna	nirvana
ниска	zems	low
ниската	zemais	low
ниски	zems	low
ниските	zems	low
ниско	zems	low
ниското	zemais	low
нисък	īss	low
нито	ne	nor
ницше	zemāks	nietzsche
ниш	niša	nis
нишки	pavedieni	threads
нищо	neko	nothing
но	bet	but
нобелова	nobela	nobel
нов	jauns	new
нова	jauns	new
новата	jaunais	new
нови	jauns	new
новината	ziņas	news
новини	ziņas	news
новите	jaunie	new
новия	jaunais	the new
новият	jaunais	the new
ново	jauns	new
нововъведения	inovācijas	inovations
новото	jauno	new
ноември	novembrī	november
нож	nazis	knife
номер	numuru	number
номера	skaitļi	numbers
номинация	nominācija	nomination
номиниран	nominēts	nominate
норвегия	norvēģijā	norway
норма	norma	rate
нормална	normāli	normal
нормалната	normāli	the normal
нормални	normāli	normal
нормално	normāli	normally
нормалното	normāli	the normal
норми	normas	norms
нос	deguns	cape
носа	deguns	nose
носещи	gultnis	bearing
носи	nēsā	carries
носител	pārvadātājs	carrier
носители	pārvadātāji	holders
носителите	pārvadātāji	holders
носят	valkāt	have
нощ	nakts	night
нощта	nakts	night
нужда	vajag	need
нуждае	vajadzībām	need
нуждата	nepieciešamība	need
нуждаят	vajag	need
нужди	vajadzībām	needs
нуждите	vajadzības	needs
нужни	vajadzīgs	needed
нужно	vajag	needed
нфп	nfp	national fascist party
ньойския	viņu	neuilly
ню	pliks	new
нютон	ņūtons	newton
някаква	jebkura	some
някакви	daži	some
някакво	daži	some
някакъв	daži	some
някога	kādreiz	ever
някое	daži	some
някои	daži	some
някой	kāds	some
няколко	daži	some
няколкостотин	daži simti	several hundreds
някоя	daži	some
някъде	kaut kur	somewhere
няма	tur nav	no
нямало	nebija neviena	there isn't
нямат	nav	do not have
оае	oae	uae
обама	obama	obama
обаче	tomēr	however
обвивка	apvalks	cover
обвинен	apsūdzētais	accused
обвинения	maksas	charges
обвиненията	maksas	charges
обвинява	vaino	accused
обвиняват	vainīgi	blame
обединена	vienoti	united
обединени	vienoti	united
обединение	apvienošana	union
обединението	savienība	union
обединените	vienoti	united
обединеното	apvienotie	united
обединява	apvieno	together
обединяват	apvienoties	unite
обект	objekts	object
обекта	objekts	objects
обекти	objekti	buildings
обектите	objekti	objects
обем	apjoma	volume
обема	apjoma	volume
обемът	skaļumu	volume
обещава	solījumi	promises
обзор	pārskats	survey
обикаля	iet apkārt	walk round
обикалят	iet apkārt	orbit
обикновен	parasts	ordinary
обикновена	parasts	ordinary
обикновени	parasts	ordinary
обикновените	parasts	ordinary
обикновено	parasti	usually
обиколка	tūre	tour
обиколката	tūre	tour
обитавали	apdzīvots	inhabited
обитават	apdzīvo	inhabit
обитатели	iedzīvotāji	residents
обича	mīl	like
обичаи	muita	customs
обичаите	muita	customs
обичай	pasūtījuma	traditions
обичайните	parastais	usual
обичайно	parasti	usually
обичаят	paraža	custom
обкръжение	vide	surroundings
облагане	nodokļi	levy
облак	mākonis	cloud
област	platība	region
областен	reģionālais	regional
области	apgabali	districts
областите	apgabali	areas
областта	platība	field
облаци	mākoņi	clouds
облекло	apģērbs	clothing
облеклото	apģērbs	clothing
облечени	ģērbies	dressed
облик	izskats	shape
обмен	apmaiņa	volume
обмяна	apmaiņa	exchange
обмяната	apmaiņa	exchange
обозначава	apzīmē	marks
обозначаване	apzīmējums	marking
оборудване	aprīkojums	equipment
обособена	atdalīts	differentiated
обособени	atdalīts	separated
обособява	atšķir	differentiated
обособяват	atšķirt	differentiate
обработва	procesi	process
обработка	apstrāde	processing
обработката	apstrāde	processing
образ	attēls	image
образа	attēls	dishonorable
образец	paraugs	specimen
образи	attēlus	images
образование	izglītība	education
образованието	izglītība	education
образователна	izglītojošs	education
образува	formas	create
образувайки	formēšana	forming
образували	veidojas	educate
образуван	veidojas	set up
образувана	veidojas	formed
образуване	veidošanās	educatation
образуването	veidošanās	forming
образувани	veidojas	formed
образувание	veidošanās	formation
образувания	veidojumi	formations
образуват	forma	form
образци	paraugi	models
образът	attēls	image
обратна	atpakaļgaitā	reverse
обратната	otrādi	diverse
обратно	atpakaļ	back
обратното	pretējs	inverse
обреди	rituāli	rituals
обредни	rituāls	ritual
обръща	pagriežas	draw
обръщат	pagriezties	rub
обръщение	adrese	circulation
обрязването	apgraizīšana	circumcision
обсада	aplenkums	siege
обсадата	aplenkums	siege
обсажда	besieges	besieged
обсерватория	observatorija	observatory
обслужва	kalpo	serve
обслужване	apkalpošana	service
обстановка	situāciju	environment
обстановката	situācija	environment
обстоятелства	apstākļi	circumstances
обсъжда	apspriež	talk about
обувки	kurpes	shoes
обуславя	nosaka	determined
обучение	apmācība	training
обучението	apmācība	training
обхват	darbības joma	range
обхваща	vāki	cover
обхващат	piesegt	cover
обхващащ	pārklājums	encompassing
обхващащо	pārklājums	covering
обширна	plaša	extensive
обширни	plaša	extensive
общ	izplatīts	general
обща	izplatīts	common
общата	kopējais	total
общества	sabiedrībā	communities
обществен	publiski	public
обществена	publiski	society in matters
обществени	publiski	public
обществените	publiski	public
обществения	publiski	public
обществено	publiski	socially
общественост	sabiedrībai	public
общественото	sabiedrībai	public
общество	kopiena	society
обществото	sabiedrībā	society
общи	izplatīts	common
община	pašvaldība	municipality
общината	pašvaldība	municipality
общините	pašvaldības	municipalities
общинска	pašvaldības	minicipal
общински	pašvaldības	municipal
общинския	pašvaldības	minicipal
общите	izplatīts	general
общия	izplatīts	total
общият	ģenerālis	total
общност	kopiena	community
общности	kopienas	communities
общността	sabiedrība	commonwealth
общо	kopā	generally
общото	kopējais	general
общуване	komunikācija	communication
обърнат	apgriezts	turn
обявен	paziņoja	declared
обявена	paziņoja	declared
обявени	paziņoja	declared
обявено	paziņoja	announced
обяви	paziņojumi	ads
обявява	paziņo	announced
обявяване	paziņojums	declaration
обявяването	paziņojums	announcement
обявяват	paziņo	announce
обяснение	skaidrojums	explanation
обясни	paskaidrot	explain
обяснява	skaidro	explains
обясняват	paskaidrot	explain
обяснят	paskaidrot	explain
овце	aitas	sheep
оглавява	galvas	head
оглед	skats	view
огнянов	ugunsgrēki	ognyanov
ограничава	ierobežo	limited
ограничават	ierobežot	limited
ограничен	ierobežots	limited
ограничена	ierobežots	limited
ограничени	ierobežots	limited
ограничения	robežas	restrictions
ограничено	ierobežots	limited
ограничи	ierobežot	limit
огромен	milzīgs	huge
огромна	milzīgs	great
огромната	milzīgais	huge
огромни	milzīgs	huge
огромните	milzīgās	enormous
огромния	milzīgais	huge
огромно	milzīgs	huge
огромното	milzīgais	huge
огън	uguns	fire
огъня	uguns	fire
одеса	odesa	odesa
одисей	odiseja	odysseus
одисея	odiseja	odyssey
одобрен	apstiprināts	approved
одобрение	apstiprinājums	approval
одобрява	apstiprina	approve
одрин	edrin	edirne
оерстед	oersted	orsted
означава	nozīmē	means
означават	nozīmē	mean
оиср	oisr	oecd
ок	apm	about
окажат	izrādīties	administer
окаже	būs	do
оказва	izrādās	happens
оказват	izrādīties	have/has
океан	okeāns	ocean
океана	okeāns	oceans
океаните	okeāni	oceans
океания	okeānija	oceania
океански	okeāna	oceanic
око	acs	eye
околии	apkārtne	districts
околиите	apkaimes	districts
околия	apkārtne	district
околната	apkārtējie	environmental
околните	apkārtējie	others
околностите	apkārtne	nearby
околността	apkārtne	neighborhood
около	apkārt	about
окончателно	beidzot	finally
окончателното	fināls	final
окото	acs	eye
окръг	novads	county
окръжен	apgabals	county
окръжие	apgabals	county
окръжност	aplis	circle
окръзи	novados	regions
оксид	oksīds	oxide
октавиан	oktavians	octavian
октомври	oktobris	october
октомврийската	oktobris	the october
окупация	nodarbošanās	siege
окупира	aizņem	occupy
окупирана	okupēts	occupied
олд	vecs	old
олимпийски	olimpiskais	olympic
олимпийските	olimpiskais	olympic
олимпия	olimpija	olympia
оловни	svinu	lead
олово	svinu	lead
оловото	svinu	lead
ом	ohm	ohm
омир	homērs	homer
омуртаг	omurtag	omurtag
омъжена	precējies	married
онези	tiem	those
онлайн	tiešsaistē	online
онова	ka	that
онтарио	ontārio	ontario
оон	un	oon
опазване	aizsardzība	preservation, conservation, protection
опазването	saglabāšana	protection
опасна	bīstams	dangerous
опасни	bīstams	dangerous
опасност	briesmas	type
опасността	briesmas	danger
опашка	aste	tail
опашката	asti	tail
опера	opera	opera
операта	opera	opera
оперативна	operatīvs	operational
оператор	operators	operator
операции	operācijas	surgeries
операция	operācija	surgery
операцията	operācija	operation
опери	opera	operas
описана	aprakstīts	described
описани	aprakstīts	described
описание	apraksts	description
описанието	aprakstu	the description
описания	apraksti	descriptions
описва	apraksta	describes
описват	aprakstīt	describe
опит	pieredze	attemtp
опита	pieredze	attempt
опитва	mēģina	tries
опитват	mēģiniet	try
опити	eksperimenti	trial
опитите	mēģinājumi	attempts
опитът	pieredze	ask
оплождане	mēslošana	fecundation
опозиция	opozīcija	opposition
опозицията	opozīcija	oppositon
определен	noteikts	determined
определена	noteikts	determined
определени	noteikts	certain
определение	definīcija	definition
определението	definīciju	definition
определения	definīcijas	definitions
определено	noteikti	definitely
определя	nosaka	determined
определян	noteikts	determined
определяне	apņēmība	determination
определянето	apņēmība	determination
определят	noteikt	determined
оптика	optika	optics
опълчение	milicija	army of volunteers
орален	mutiski	oral
оралният	mutvārdu	oral
орбита	orbītā	orbit
орбитален	orbitāli	orbital
орбитата	orbītā	orbit
орбити	orbītas	orbits
орбитите	orbītas	orbite
оргазъм	orgasms	orgasm
орган	ķermenis	body
органа	ķermenis	authority
органели	organelles	organelles
органи	orgāni	organs
организации	organizācijas	organizations
организация	organizācija	organization
организацията	organizācija	organization
организира	organizē	organized
организиран	organizēts	organized
организирана	organizēts	organised
организирането	organizēšana	organization
организирани	organizēts	organized
организирано	organizēts	organised
организират	organizēt	organize
организма	organisms	body
организми	organismi	organisms
организмите	organismi	the organisms
организмът	organisms	body
организъм	organisms	organism
органите	varas iestādes	authorities
органични	organisks	organic
орден	pasūtīt	order
ордена	ordeņa	the order
орденът	pasūtījums	order
орел	ērglis	eagle
оригинална	oriģināls	original
оригиналната	oriģināls	original
ориентация	orientācija	orientation
ориз	rīsi	rice
оркестър	orķestris	orchestra
орфей	orfejs	orpheus
оръдия	lielgabali	tools
оръжие	ierocis	weapons
оръжието	ierocis	weapon
оръжия	ieročus	weapons
оряховица	muskatrieksts	oryahovica
ос	os	axis
освен	izņemot	except for
осветление	apgaismojums	lighting
освободен	atbrīvots	released
освободи	atbrīvot	free
освободител	atbrīvotājs	liberator
освободителна	atbrīvojošs	liberation
освобождава	izlaidumi	released
освобождаване	atbrīvot	liberation
освобождаването	izlaidums	release
освобождение	atbrīvošanās	liberation
освобождението	atbrīvošanās	liberation
осем	astoņi	eight
осемте	astoņi	eight
осигури	nodrošināt	provide
осигурява	nodrošina	secure
осигуряване	apdrošināšana	insurance
оскар	oskars	oscar
осман	osmaņu	ottoman
османска	osmaņu	ottoman
османски	osmaņu	ottoman
османските	osmaņi	the ottoman
османския	osmaņu	ottoman
османският	osmaņu	ottoman
османско	osmaņu	ottoman
османското	osmaņu	ottoman
османците	osmaņi	ottomans
основа	pamats	basis
основава	balstīta	based
основаване	pamats	founding
основаването	pamats	foundation
основават	dibināta	based
основан	dibināta	founded
основана	dibināta	established
основани	balstīta	founded
основание	pamats	basis
основано	balstīta	founded
основата	pamats	basis
основател	dibinātājs	founder
основателите	dibinātāji	founders
основен	pamata	main
основи	pamati	foundations
основите	pamati	foundations
основна	pamata	main
основната	galvenais	main
основни	pamata	main
основните	galvenais	main
основния	pamata	elementary
основният	galvenais	main
основно	būtībā	primary
основното	galvenais	main
основоположник	dibinātājs	originator
особен	īpašs	distinct
особена	īpašs	personal
особени	īpašs	personal
особено	īpaši	particularly
особеност	iezīme	feature
особености	iespējas	features
особеностите	iespējas	the characteristics
оста	ass	axis
остава	paliek	remains
остават	paliek	remain
оставени	pa kreisi	leaved
оставка	atkāpšanās	resignation
оставя	lapas	leaves
оставяйки	aiziešana	leaving
оставят	aizbraukt	leave
останал	palika	left
останала	palika	left
останалата	pārējie	the rest
останали	pārējie	other
останалите	pārējie	rest
останалото	pārējie	rest
останат	paliek	remain
остане	palikt	remain
останки	paliek	remains
останките	paliekas	remains
остатъци	atlikumi	remains
остатъците	paliekas	remains
остра	asu	acute
остри	asu	sharp
остро	asi	heavy
остров	sala	island
острова	salas	island
острови	salas	islands
островите	salas	the islands
островът	sala	island
остър	asu	acute
осъден	notiesāts	convicted
осъзнава	saprot	realize
осъм	astoņi	osam
осъществена	īstenots	implemented
осъществи	izpildīts	place
осъществява	veic	place
осъществяване	ieviešana	implementation
осъществяването	ieviešana	implementation
осъществяват	izpildīt	consisting
от	no plkst	of
отбележи	atzīmēja	noted
отбелязан	atzīmēts	marked
отбелязани	atzīmēts	registered
отбелязва	piezīmes	notes
отбелязване	marķēšana	marking
отбелязват	piezīme	note
отбор	komanda	team
отбора	komanda	team
отбори	komandas	team
отборите	komandas	teams
отборът	komanda	team
отбрана	aizstāvība	defense
отбраната	aizstāvība	defense
отбранителна	aizsardzības	defense
отбранителни	aizsardzības	defense
отваря	tiek atvērts	open
отварят	atvērts	open
отвор	caurums	hole
отворен	atvērts	open
отворена	atvērts	open
отворени	atvērts	open
отворено	atvērts	open
отвори	atvērts	open
отвъд	tālāk	beyond
отвън	ārpusē	outside
отвътре	iekšā	inside
отглежда	kultivē	grown
отглеждане	audzēšana	growing
отглеждането	audzēšana	growing
отглеждани	audzis	grown
отглеждат	kultivēt	looking
отговаря	sanāk	meet
отговарят	atbildēt	answer
отговор	atbildi	response
отговорен	atbildīgs	responsible
отговори	atbildes	reply
отговорни	atbildīgs	responsible
отговорност	atbildība	responsibility
отгоре	virsū	on top
отдава	dod	given
отдавна	sen	long ago
отдалечени	tālvadības	remote
отдел	nodaļa	department
отделен	atsevišķi	separate
отделена	atdalīts	separated
отделени	atdalīts	separated
отдели	departamenti	departments
отделна	atsevišķi	separate
отделни	atsevišķi	separate
отделните	indivīds	individual
отделно	atsevišķi	separately
отделя	atdala	separated
отделяне	atdalīšana	separation
отделянето	atdalīšana	separation
отделят	atsevišķi	department
отдих	atpūsties	rest
отдолу	zemāk	underneath
отец	tēvs	father
отзиви	atsauksmes	reviewers
отива	iet	goes
отиват	viņi iet	go
отиде	gāja	leave
откаже	atteikties	refuse
отказва	atsakās	quits
отказват	atteikties	refuse
отклонение	novirze	deviation
отклонения	novirzes	deviation
отклонява	novirzās	deviates
отколкото	nekā	than
открива	atklāj	found
откриване	atklāšana	detection
откриването	atvere	opening
откриват	atklāt	found
открили	atklāts	found
открит	atvērts	found
открита	atvērts	discovered
открити	atklāts	found
откритие	atklājums	discovery
откритието	atklājums	the discovery
откритите	atklāts	open
открития	atklājumi	discovers
откритията	atklājumi	discoveries
открито	atklāti	discovered
открият	atklāt	found
открояват	izcelties	stand out
откъдето	no kurienes	whence
откъм	no plkst	from
отлага	atliek	postponed
отличава	izšķir	distinguish
отличават	atšķirt	distinguished
отличен	teicami	excellent
отличия	atšķirības	insignia
отлични	teicami	excellent
отлично	teicami	perfect
отмъщение	atriebība	revenge
отнася	atsaucas	relates
отнасят	atsaukties	reffers
отначало	vispirms	beginning
отнема	ņem	takes away
отново	atkal	again
относителна	radinieks	relative
относителната	radinieks	relative
относително	radinieks	relatively
относителността	relativitāte	relativity
относно	kas attiecas uz	about
отношение	attieksme	respect
отношението	attieksme	attitude
отношения	attiecības	relationships
отношенията	attiecibas	relations
ото	oto	otto
отпада	tiek nomests	lapse
отпадъци	atkritumi	waste
отпор	pretestība	resistence
отправя	sūta	make
отпреди	no iepriekš	back
отравяне	saindēšanās	poisoning
отражение	pārdomas	reflection
отразява	atspoguļo	presents
отразяват	atspoguļot	reflects
отрасли	nozares	sectors
отрасъл	nozare	sector
отрицателни	negatīvs	negative
отрицателно	negatīvs	negatively
отрича	noliedz	denies
отрова	inde	poison
отровата	inde	poison
отровни	indīgs	poisonous
отряд	atslāņošanās	detachment
отряди	atslāņošanās	squads
отслабва	vājina	weakens
отстранен	noņemts	removed
отстрани	uz sāniem	remove
отстранява	noņem	expelled
отстраняване	noņemšana	removal
отстраняването	noņemšana	remuval
отстъпва	dod ceļu	retreats
отстъпват	dot ceļu	retreat
отстъпят	dot ceļu	yield
отсъствие	prombūtne	absence
отсъствието	prombūtne	absence
оттам	no turienes	from there
оттегля	atsauc	withdraws
оттеглянето	atsaukums	withdrawal
оттеглят	atsaukt	withdraw
оттенък	nokrāsa	touch
оттогава	kopš tā laika	since then
отток	aizplūšana	flow
оттук	no šejienes	hence
отхвърля	noraida	rejected
отхвърлят	noraidīt	reject
отчасти	daļēji	partly
отчита	ziņojumi	report
отчитане	ziņošana	reading
оу	ou	primary school
оуен	pūce	owen
офанзива	aizskaroši	offensive
офицер	virsnieks	officer
офицери	virsnieki	officers
официален	ierēdnis	oficial
официална	ierēdnis	official
официалната	ierēdnis	the official
официални	ierēdnis	official
официалните	ierēdnis	official
официалният	ierēdnis	oficial
официално	oficiāli	official
официалното	ierēdnis	official
оформени	formas	formed
оформя	formas	formed
оформянето	veidojot	forming
оформят	forma	shape
охрана	drošība	security
охрид	ohrid	ohrid
охридски	ohrida	ohrid
охридското	ohrida	ohrid
оцелели	izdzīvoja	survivors
оцелелите	izdzīvojušie	survivors
оцелеят	izdzīvot	survive
оценка	novērtēšana	assessment
оценки	novērtējumi	estimates
оценява	vērtē	estimated
оценяват	novērtēt	evaluated
очаква	sagaida	expected
очакват	sagaidīt	expected
очевидно	acīmredzami	apparently
очертава	izklāsts	outlines
очи	acis	eyes
очите	acis	eyes
очната	acs	eye
още	vairāk	more
п	n	p. (initial)
пабло	pablo	pablo (name)
павел	pols	pavel
павлов	pols	pavlov
павлович	pavlovičs	pavlovich (last name)
пада	kritieni	falls
падане	kritums	fall
падането	kritiens	fall
падат	kritums	fall
падеж	briedums	case
падина	dobi	trench
пазар	tirgus	market
пазара	tirgus	market
пазарджик	tirgus	pazardzhik
пазари	tirgos	markets
пазарна	tirgus	market
пази	uzmanies	protect
пазят	saglabāt	watch
паисий	paisii	paisii
пайнер	maksātājs	payner
пак	atkal	again
пакистан	pakistāna	pakistan
палата	kamera	chamber
палестина	palestīna	palestine
палилалия	paliālija	palilaliya
памет	atmiņa	memory
паметна	neaizmirstamu	memorable
паметник	piemineklis	monument
паметника	piemineklis	monument
паметникът	piemineklis	monument
паметници	pieminekļi	monument
паметта	atmiņa	memory
памук	kokvilna	cotton
панагюрище	panagyurishte	panagyurishte
панаир	godīgi	fair
панайот	panajots	panayot
панама	panama	panama
панония	pannonia	pannonia
панорама	panorāma	panoramic
папа	tētis	the pope
папата	papai	pope
пара	tvaiks	steam
парагвай	paragvaja	paraguay
параклис	kapela	chapel
параклиса	kapela	tabernacle
паралел	paralēli	degree of latitude
паралелно	paralēli	in parallel
параметри	parametri	parameters
параскева	paraskeva	paraskeva
пари	nauda	money
париж	parīze	paris
парижката	parīzietis	paris
парис	parīze	paris
парите	nauda	the money
парична	skaidrā naudā	monetary
парични	skaidrā naudā	money
парк	parks	park
парка	parks	park
паркове	parki	parks
паркът	parks	park
парламент	parlaments	parliament
парламента	parlaments	parliament
парламентарна	parlamenta	parliamentary
парламентарни	parlamenta	parliamentary
парламентарните	parlamenta	parliamentary
парламентът	parlaments	parliament
партии	ballīte	parties
партия	ballīte	party
партията	ballīte	party
партньор	partneris	partner
партньори	partneri	partners
парче	gabals	piece
парчета	gabali	pieces
пас	caurlaide	pass
паси	caurlaide	feed
пасища	ganības	pastures
паскал	paskāls	pascal
патагония	patagonija	petagoniya
патриарх	patriarhs	patriarch
патриаршия	patriarhija	patriarchate
патрокъл	patruļa	patroclus
паул	pauls	paul
пауло	paulo	paulo
пациента	pacients	patient
пациенти	pacientiem	patients
пациентите	pacientiem	patients
пачино	pačino	pachino (name)
паша	ganības	pasha
певец	dziedātājs	singer
певица	dziedātājs	singer
певицата	dziedātājs	singer
певци	dziedātāji	singers
педагогика	pedagoģija	pedagogy
пее	dzied	sings
пеене	dziedāšana	singing
пейзаж	ainava	landscape
пейо	peyo	peyo
пекин	pekina	beijing
пелей	pelej	pelei (name)
пелин	vērmeles	pelin
пенев	penev	sample
пенис	dzimumlocekļa	penis
пениса	dzimumlocekļa	penis
пенчо	penčo	pencho
пепел	pelni	ash
перверзия	perversija	perversion
период	periods	period
периода	periods	periods
периоди	periodi	periods
периодичната	periodiski	periodic
периодично	periodiski	periodically
периодът	periods	the period
периферията	perifērija	periphery
перон	platforma	peron
перперикон	perperikon	perperikon
персийска	persiešu	persian
персийската	persietis	persian
персийски	persiešu	persian
персийския	persietis	persian
персийският	persietis	persian
персите	persieši	persians
персия	persija	persia
персонал	personāls	staff
перу	peru	peru
песен	dziesma	song
песента	dziesma	song
песни	dziesmas	songs
песните	dziesmas	the songs
пет	pieci	five
пета	piektais	fifth
петата	papēdis	fifth
петербург	pēterburga	petersburg
пети	piektais	fifth
петка	piektdiena	petka
петко	piektdiena	petko
петков	piektdienās	petkov
петна	plankumi	spots
петно	traipu	stain
пето	piektais	fifth
петрич	petričs	petrich
петров	petrovs	petrov
петрол	benzīns	oil
петте	pieci	the five
петък	piektdiena	friday
петър	pēteris	peter
пехота	kājnieki	marine, infantry
пехотна	kājnieki	infantry
печат	ronis	print
печата	ronis	print
печатни	iespiests	print
печели	uzvar	wins
печелят	viņi uzvar	win
пешев	kājām	peshev
пещера	ala	cave
пещерата	ala	cave
пещери	alas	caves
пещерите	alas	caves
пеят	viņi dzied	sing
пи	pi	p
пиано	klavieres	piano
пидна	pidna	pindus
пие	dzērieni	drink
пиене	dzeršana	drinking
пиенето	dzeršana	drinking
пиесата	spēle	play
пиеси	lugas	plays
пикасо	pikaso	picasso
пикочопровод	urīnvada	ureter
пионер	pionieris	pioneer
пирамида	piramīda	pyramid
пирамидата	piramīda	pyramid
пирамиди	piramīdas	pyramids
пирати	pirāti	pirates
пиренови	pirēna	heather flowers
пирин	pirin	pirin
писане	rakstīšana	wrote
писането	rakstīšana	write
писани	uzrakstīts	written
писание	raksti	scripture
писанието	raksti	writing, scripture
писател	rakstnieks	writer / author
писатели	rakstnieki	writers
писателя	rakstnieks	writer
писателят	rakstnieks	the writer
писма	vēstules	letters
писмен	uzrakstīts	written
писмени	uzrakstīts	written
писмено	rakstiski	written
писменост	rakstīšana	literacy
писмо	vēstule	letter
писмото	vēstule	letter
писта	skrejceļš	track
пит	bedre	pit
питър	pēteris	peter
пишат	viņi raksta	write
пише	rakstīt	write
пият	dzert	дринк
пл	pl	square
плаване	burāšana	navigation
плаж	pludmale	beach
плазма	plazma	plasma
пламен	liesma	plamen
план	plāns	aspect; plan
плана	plāns	plan
планета	planēta	planet
планетата	planēta	planet
планети	planētas	planets
планетите	planētas	planets
планина	kalns	mountain
планината	kalns	mountain
планини	kalni	mountains
планините	kalni	mountains
планинска	kalns	mountain
планинската	kalns	mountain
планински	kalnains	mountain
планинските	kalns	mountain
планира	plāni	plans
планиране	plānošana	planning
планова	plānots	planning
планове	plāni	plans
плановете	plāni	plans
планът	plāns	plan
пласт	slānis	layer
пластове	slāņi	layers
плата	alga	plateaus
плато	plato	plateau
платон	platons	plato
платото	plato	plateau
платформа	platforma	a platform
плевел	nezāles	weeds
плевен	šķūnis	tribe
плевенска	patīkami	pleven (region)
племе	cilts	tribe
племена	ciltis	tribes
племената	ciltis	tribes
племето	cilts	tribe
плен	gūstā	captivity
пленен	sagūstīts	captive
плеяда	galaktika	pleiades
плиска	šļakatas	pliska
пловдив	plovdiva	plovdiv
пловдивска	plovdiva	plovdiv
пловдивски	plovdiva	plovdiv
