aajo	হাস্যকর	hospitality
ìsú	বেধ	lump
ìsọ	দোকান	stall
ìse	কর্ম	work
ìsègbèfábo	অধ্যবসায়	female support
ìsèdá	সৃষ্টি	creation
ìsèjoba	সরকার	government
ìsílé	বাড়ি	house opening
ìsòro	অসুবিধা	problem
ìse	কর্ম	action
ìta	বাহিরে	outside
ìtaeko	কারখানা	outskirts of eko
ìtan	ইতিহাস	story
ìtokò	পাত্র	story
ìtàn	ইতিহাস	history
ìtànkálé	বন্যা	spread
ìtèsíwájú	উন্নতি	progress
ìtójú	যত্ন	treatment
ìtóju	বিশৃঙ্খলা	treatment
ìtójú	মুখের অভিব্যক্তি	treatment
ìtóka	মারধর করা	dictionary
ìtúmò	অনুবাদ	meaning
ìtúpalè	অনুবাদ	exposition
ìwe	তুলনা	book
ìwo	শিং	horn
ìwàásù	প্রচার	sermon
ìwéré	পুস্তিকা	iwere (town)
ìwò	সামগ্রিক	set
ìwòran	দৃষ্টি	viewing
ìwúlò	দরকারী	usefulness
ìya	দুর্ভোগ	mother
ìyapa	বিচ্ছেদ	divorce
ìyàwó	কনে	wife
ìyípadà	রূপান্তর	transformation
ìṣèlú	রাজনীতি	politics
ìṣẹ́kù	বাকি	broken
ìṣọ̣̀tẹ̣̀	নিউমোনিয়া	rebellion
òde	বাহিরে	society
òdeojú	পরিচয়হীন	surface
òdo	যৌবন	zero
òdìkejì	অন্যটি	opposite
òféàrán	একটি চিত্র	a town name
ògbójú	উপযুক্ত	brave
ògiri	প্রাচীর	wall
ògo	গরিমা	glory
ògun	ওষুধ	medicine
ògúndìpẹ̀	চূর্ণিত	ogundipe
òjo	মত চেহারা	ojo
òjísé	ডাক্তার	servant
òkèògbún	এক হাজার	oke-ogbun
òkòòkan	একটার পর একটা	each
òkú	ওই মৃতদেহগুলিকে	corpse
òkúta	দস	stone
òle	গৃহিনী	lazy
òmiràn	যাদুকর	other
òmùàrán	একটি চিত্র	omu-aran (town)
òní	আজ	today
òotó	সত্য	true
òpópóònà	রাস্তা	highway
òranyàn	বাধ্যতামূলক	a must
òrìsà	মূর্তি	god
òrí	অধ্যায়	top
òrò	মস্তিষ্ক	word
òsán	দুপুর	afternoon
òsèlú	রাজনীতিজ্ঞ	politics
òsèré	ক্রীড়াবিদ	player
òwù	কাপড়	owu
òṣèlú	রাজনীতি	politician
òjògbón	বৃষ্টির আবহাওয়া	learned person
òkan	এক	heart
òkòòkan	একটার পর একটা	each
òpòlopò	অনেক	many
òré	খেলা	friend
òfò	পরবর্তী	sorrowful
òpòlopo	অনেক	lot of
òré	খেলা	friend
òrò	চিন্তা	word
òsà	গোল্ডফিশ	lagoon
òwó	টাকা	hand
òrò	চিন্তা	word
òròàjòmó	সকাল	part of speech
ó	এটা	that
óníse	তিনি একজন ডিজাইনার	stricken
ósírísì	মুখের লালা	diverse
ósékú	তিনি মৃত	die suddenly
ó	হ্যাঁ	word
ôdún	বছর	year
únṣẹlẹ̀	ভূমিকম্প	formed
şe	করা	do
ʔaːnaːtɕɑ̀k	অনুসন্ধান করুন	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	অসুস্থতা	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	উদ্বোধন	work
ṣàkóbá	ক্ষতিকর	incriminate
ẹdo	রসিকতা	edo
ẹlẹ́bùn	একটি উপহার	award winner
ẹlẹ́sìn	ধার্মিক	religionist
ẹnìkan	এক ব্যক্তি	someone
ẹsẹ	পা দুটো	verse
ẹtì	যকৃৎ	friday
ẹ̀kaawon	জমা	branch of
ẹ̀kabrítánì	চাচা	part of britain
ẹ̀kajuly	মে	chapter july
ẹ̀kaoṣù	কণ্টকাকীর্ণ	month
ẹ̀kasístẹ̀mù	বিষয়ী	sistemu=system
ẹ̀kẹ́ta	তৃতীয়	third, the third
ẹ̀kọ́	শিক্ষা	teachings
ẹ̀ni	who	person
ẹ̀rọ	যন্ত্রপাতি	machine
ẹ̀wẹ̀	অন্য দিকে	leaf
ọbàkàn	সৎ ভাই	step-sister
ọdún	বছর	year
ọlọ́mọ	শিশু	members
ọlọ́run	একজন বিধাতা	god
ọmú	আপনি স্তন্যপান	breast
ọmọ	শিশু	c
ọn	এটা	him
ọpọ́lọpọ́	ডুমুর	many
ọ̀dọ́	যৌবন	youth
ọ̀gbìn	উদ্ভিদ	seedlings
ọ̀nà	পথ	ways
ọ̀pòlòpò	কর্ম	various
ọ̀rọ̀	আলাপ	word
ọ̀sẹ	সপ্তাহ	week
