$ tỉ	billion பில்லியன்	$ billion
milton	மில்டன்	milton
min	நிமிடம்	min
minas	மினாஸ்	minas
mindanao	mindanao	(proper noun) mindanao
ming	மிங்	ming
minnesota	மினசோட்டா	minnesota
minoa	மினோவா	minoa; the minoan civilization
miraflores	அதிசயங்கள்	miraflores
mirage	மிராஜ்	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	பொருந்தாதவர்கள்	misfits
mississippi	மிசிசிப்பி	mississippi
missouri	மிச ou ரி	(proper noun) the state of missouri
mitchel	மிட்செல்	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	ஹிப்னாஸிஸ்	mien
miêu	பூனை	"(term should be ""miêu tả"") to describe (v.)"
miến	அரிசி நூடுல்	burma
miếng	துண்டுகள்	a piece (n.)
miếu	கோயில்	temple
miền	களம்	area
miễn	விலக்கு	to exempt (v.)
miện	கிரீடம்	crown
miệng	வாய்	mouth
mm	மிமீ	millimeter
mobile	கைபேசி	mobile
mode	பயன்முறை	mode
modul	தொகுதி	module
modula	மட்டு	(proper noun) modula, as in modula-2
mohammad	முகமது	mohammad
mohammed	முகமது	mohammed
moi	புதியது	winkle
molecular	மூலக்கூறு	molecular
molotov	molotov	molotov
molypden	மாலிப்டினம்	the element molybdenum (n.)
mongolia	மங்கோலியா	mongolia
monique	monique	(proper name) monique, a french first name
mono	மோனோ	mono
monroe	மன்ரோ	monroe
mont	mont	(proper noun) mont
montaigne	மோன்டைக்னே	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	மான்ட்ரியல்	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	மூங்	moong
mora	மோரா	mora
moravia	மொராவியா	moravia
morgan	மோர்கன்	(proper noun) morgan
mori	மோரி	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	மோர்லி	morley
morocco	மொராக்கோ	morocco
morris	மோரிஸ்	morris
morrison	மோரிசன்	(proper noun) morrison
morse	மோர்ஸ்	(proper noun) morse, as in morse code
moscow	மாஸ்கோ	moscow
mosin	மோசின்	mosin
moskva	moskva	moscow
motown	மோட்டவுன்	motown
mourinho	மவுரினோ	mourinho
movie	திரைப்படம்	movie
mozambique	மொசாம்பிக்	(proper noun) mozambique
mozart	மொஸார்ட்	(proper noun) mozart, as in the composer
mp	mp	mp
ms	செல்வி	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	வாங்க	buy
much	அதிகம்	much
muhammad	முஹம்மது	(proper noun) muhammad, as in muhammad ali
mumbai	மும்பை	mumbai
mun	கருங்காலி	a vietnamese name
munich	முனிச்	(proper noun) munich
murdoch	முர்டோக்	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	மர்பி	murphy
murray	முர்ரே	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	வேண்டும்	a large number; thousands (adj.)
muối	உப்பு	salt
muốn	வேண்டும்	want
muống	ஸ்பூன்	"(term should be ""rau muống"") water spinach (n.)"
muồi	தாமதமாக	ripe
muỗi	கொசு	mosquito
muỗng	ஸ்பூன்	spoon
muội	சகோதரி	confusion
muộn	தாமதமாக	late (adv.)
myanma	மியான்மர்	the country of myanmar
myanmar	மியான்மர்	(proper noun) myanmar
myspace	என்னுடைய இடம்	(proper noun) myspace
mà	ஆனாலும்	also
mài	அரைக்கும்	tomorrow
màn	திரை	curtain (n.)
mành	குருட்டுகள்	a bamboo screen (n.)
mào	முகடு	a comb or crest, as in the body part of a bird
màu	நிறம்	color
mày	நீங்கள்	sew
má	அம்மா	cheek
mác	லேபிள்	a name (marx)
mách	உதவிக்குறிப்புகள்	tell
máclênin	மெசெலனின்	marxist-leninist
mái	கூரை	"entire term should be ""thoai mai""; means ""comfortable"""
mát	குளிர்	cool
máu	இரத்தம்	blood
máy	இயந்திரம்	a machine (n.)
mâm	தட்டு	tray
mân	ஜெபமாலை	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	முரண்பாடானது	contradiction
mây	மேகம்	cloud
mã	குறியீடு	"(term should be ""la mã"") roman (adj.)"
mãi	என்றென்றும்	forever (adv.)
mãimại	குறியீடு	commerce
mãn	மனநிறைவு	satisfy
mãnh	வலுவான	intense
mão	கிரீடங்கள்	cat
mè	எள்	sesame
mèo	பூனை	cat (n.)
mé	mé	a border
méo	சிதைந்த	alter
mép	விளிம்பு	edge
mét	மீட்டர்	meter
mênh	தடுமாறும்	vast
mêtan	மீத்தேன்	methane
mì	நூடுல்ஸ்	wheat
mình	நீங்களே	me
mía	கரும்பு	sugar cane (n.)
mò	தடுமாறியது	to grope (v.)
mòn	பாதை	trail
móc	கொக்கி	"(term should be ""máy móc"") machinery (n.)"
món	உணவு	dish
mô	திசு	mo
môi	ஒவ்வொன்றும்	lip
môn	பாடங்கள்	anus
mông	பிட்டம்	mongolia
mônôxít	மோனாக்சைடு	monoxide
môt	ஒன்று	"(term should be ""một"") one (n.)"
môtô	மோட்டார் சைக்கிள்	motorcycle
mù	குருட்டு	mu
mùa	பருவம்	season
mùi	வாசனை	smell
múa	நடனம்	dance
mút	உறிஞ்சும்	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	மூங்கில் தண்டுகள்	bamboo shoot (n.)
mĩ	அமெரிக்கா	america
mũ	தொப்பி	cap
mũi	மூக்கு	nose
mơ	கனவு	vague
mơn	பாதங்கள்	caress
mưa	மழை	rain
mưu	தந்திரமான	"(should be ""tham mưu"") advisors"
mươi	ஐம்பது	tens
mương	வடிகால்	ditch
mướn	வாடகை	hire
mướt	மென்மையான	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	கடன் வாங்க	borrow
mượt	மென்மையான	glossy (adj.)
mạc	பாலைவனம்	"(should be ""mộc mạc"") simple or natural"
mạch	சுற்று	vessel
mại	வர்த்தகம்	commerce
mạn	பக்க	romantic
mạnh	வலுவான	strong
mạo	கட்டுரை	"(should be ""mạo hiểm"") to brave danger"
mạt	பூச்சிகள்	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	கல்லறைகள்	tomb or grave (n.)
mải	பரபரப்பு	absorbedly
mảng	வரிசை	genre
mảnh	துண்டு	piece
mất	இழந்தது	lose
mấu	தாவல்	key
mấy	சில	any
mầm	கிருமி	kindergarten
mầu	நிறம்	color
mẩu	துண்டுகள்	piece
mận	பிளம்	plum
mập	கொழுப்பு	fat
mật	தேன்	intimate
mậu	வர்த்தகம்	mau
mắc	விலை உயர்ந்தது	get
mắm	மீன் குழம்பு	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	அதிர்ஷ்டசாலி	"(term should be ""may mắn"") fortunate (adj.)"
mắng	திட்டுவது	scold
mắt	கண்	eye
mặc	அணிய	wear
mặn	உப்பு	salt
mặt	முகம்	face
mẹ	அம்மா	mother (n.)
mẹo	உதவிக்குறிப்புகள்	trick
mẻ	தொகுதி	cool
mẽ	வலுவான	strong
mến	அன்பே	to adore or like greatly (v.)
mề	கிஸ்ஸார்ட்	locket
mềm	மென்மையான	soft
mệnh	விதி	revolution
mệt	சோர்வாக	tired
mỉ	உன்னிப்பாக	meticulous
mỉa	கிண்டல்	ironic
mỉm	புன்னகை	smile
mịch	மலம்	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	மென்மையான	smooth
mịt	மோப்பம்	dim
mọc	வளர்கிறது	to grow (v.)
mọi	ஒவ்வொன்றும்	every
mọn	குட்டி	lowly
mỏ	சுரங்கங்கள்	mine
mỏi	சோர்வாக	tired (adj.)
mỏng	மெல்லிய	thin
mốc	கட்டாயம்	border
mối	காலநிலை	relationship
mốt	ஃபேஷன்	fashion or style (n.)
mồ	கல்லறை	"(term should be ""mồ hôi"") sweat (n.)"
mồi	துாண்டில்	bait (n.)
mổ	அறுவை சிகிச்சை	to dissect or perform surgery (v.)
mỗi	ஒவ்வொன்றும்	every
mộ	கல்லறை	admire
mộc	தச்சு	simple
mộng	கனவு	dream
một	ஒன்று	one
mới	புதியது	new (adj.)
mờ	தெளிவற்ற	dim
mời	அழைக்க	invite
mở	திறந்த	open
mỡ	கொழுப்பு	fat or grease (n.)
mục	அந்த பொருள்	purpose
mụn	முகப்பரு	pimple
mức	நிலை	level
mứt	ஜாம்	preserve
mừng	மகிழ்ச்சி	to be happy
mửa	வாந்தி	to vomit (v.)
mực	மை	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	நூடுல்	noodles (n.)
mỹ	அமெரிக்கா	america
mỹcông	அமெரிக்கா	my private
na	நா	"(term should be ""na uy"") the country of norway"
naadam	நாதம்	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	நகர்	nagar, as in champa po nagar
nagasaki	நாகசாகி	(proper noun) the city of nagasaki, japan
nagoya	நாகோயா	a name
nagumo	நாகுமோ	nagumo
nai	மான்	a deer
nairobi	நைரோபி	nairobi, a city in kenya (n.)
nakajima	நகாஜிமா	a japanese name
nalbandian	நல்பாண்டியன்	a name
nam	ஆண்	male
nambắc	வடக்கு	nambac
namibia	நமீபியா	namibia
namnam	நம் நாம்	male-male
namno	நம்னோ	nammo
nancy	நான்சி	nancy, as in nancy pelosi
nang	நுண்ணறை	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fangs	fang
nano	நானோ	nano
naomi	நவோமி	naomi, as in model naomi campbell
napoleon	நெப்போலியன்	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	நாரா	nara
nasa	நாசா	(proper noun) nasa
nat	நாட்	nat
nathan	நாதன்	nathan
natri	சோடியம்	sodium
nauru	nauru	a name
nava	நவ	nava
navarre	navarre	navarre
nay	இப்போதிலிருந்து	this (adj.)
needham	நீட்ஹாம்	needham
nelson	நெல்சன்	(proper noun) nelson, as in nelson mandela
neo	நங்கூரம்	"(term should be ""mỏ neo"") an anchor (n.)"
neon	நியான்	neon
nepal	நேபால்	nepal
nepomuk	nepomuk	a name
nessie	நெஸ்ஸி	(noun) nessie, the nickname of the loch ness monster
net	நிகர	net
netbook	நெட்புக்	netbook
netscape	நெட்ஸ்கேப்	netscape
networks	நெட்வொர்க்குகள்	networks
neumann	நியூமன்	(proper noun) neumann
neutrino	நியூட்ரினோ	neutrino
nevada	நெவாடா	nevada
neverland	நெவர்லேண்ட்	neverland
newcastle	நியூகேஸில்	newcastle
newspaper	செய்தித்தாள்	newspaper
newton	நியூட்டன்	newton
newtons	நியூட்டன்கள்	(proper noun) newton's
next	அடுத்தது	next
nga	ரஷ்யா	russia
ngai	சிம்மாசனம்	crown
ngang	கிடைமட்ட	horizontal
ngao	clam	clam (n.)
ngay	சரி	even
nghe	கேளுங்கள்	hear
nghinh	nghinh	welcome
nghiêm	கடுமையாக	serious
nghiêng	சாய்ந்த	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	பரிதாபம்	serious
nghiệm	அனுபவம்	experiment
nghiện	அடிமையானவர்	addiction
nghiệp	கர்மா	karma/ sự nghiệp=career
nghiệt	கடுமையான	adverse
nghành	தொழில்	faculty
nghèo	ஏழை	poor
nghé	நங்கே	to glance out of the corner of one's eye (v.)
nghê	நங்கே	nghe khuong
nghênh	வரவேற்பு	support
nghìn	ஆயிரம்	thousand
nghĩ	சிந்தியுங்கள்	think
nghĩa	பொருள்	meaning
nghẽn	நெரிசல்	jam
nghếch	உரத்த	stupid
nghề	தொழில்	career
nghệquận	கலை	art district
nghỉ	விடுமுறை	relaxation
nghị	பரிந்துரைகள்	think
ngo	அழகானது	ngo
ngoan	நல்ல பையன்	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	சுவையானது	delicious
ngoài	வெளியே	outside of
ngoại	வெளிநாட்டு	external
ngoạn	மூச்சடைக்கும்	spectacular
ngoặc	அடைப்புக்குறிக்குள்	bracket
ngoặt	திரும்பவும்	landmark
ngu	தூங்கு	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	அசல்	reason
nguyền	சாபம்	curse
nguyện	சபதம்	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	நிலா	moon
nguôi	அமைதிப்படுத்தும்	fade away
nguồn	மூல	source
nguời	மக்கள்	people
nguỵ	முட்டாள்கள்	camouflage
ngà	தந்தம்	russian
ngàn	ஆயிரம்	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	கிளை	sector
ngào	இனிப்பு	sweet
ngày	நாள்	day
ngách	முக்கிய	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	முட்டாள்	chinese ethnic group living in the vietnamese highlands near the china border
ngán	சலித்துவிட்டது	to be tired of
ngáng	ngáng	stop
ngát	மயக்கம்	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	வங்கி	money
ngây	வெற்று	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	நங்கை	ngai
ngò	கொத்தமல்லி	coriander
ngó	பாருங்கள்	to look (v.)
ngói	ஓடு	tile or shingle
ngón	விரல்	a finger (n.)
ngót	சுருக்கம்	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	மொழி	manifesto
ngông	வாத்து	eccentric
ngõ	சந்து	lane
ngùi	வாசனை	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	பெட்டி	prevent
ngũ	தூங்கு	rank
ngơ	புறக்கணிக்கப்பட்டது	ignored (adj.)
ngơi	ஓய்வு	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	மீனவர்	fishermen
ngưng	நிறுத்து	stop
ngưu	ஆக்ஸ்	buffalo
ngươi	நீங்கள்	an ancient form of address equivalent to thou or thee (n.)
người	மக்கள்	people
ngưỡng	வாசல்	religious
ngược	தலைகீழ்	opposite
ngạc	ஆச்சரியமாக இருக்கிறது	surprise
ngạch	ரேங்க்	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	வங்கி	bank
ngạnh	பார்ப்ஸ்	self-willed
ngạo	கர்வம்	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	மூச்சுத்திணறல்	stuffy
ngấm	உட்செலுத்தப்பட்டது	draw
ngất	மயக்கம்	unconscious
ngầm	மறைமுகமானது	underground
ngần	தயங்க	hesitate
ngẩn	ஊமை	froze
ngẫm	ஆழ்ந்து சிந்தித்து	think
ngẫu	சீரற்ற	ngẫu nhiên= random
ngậm	lozenges	keep
ngập	வெள்ளம்	flood
ngắm	சிந்தியுங்கள்	to contemplate or look admiringly at something (v.)
ngắn	குறுகிய	short
ngặt	இறுக்கம்	strict
ngọ	நண்பகல்	horse
ngọc	மாணிக்கம்	pearl
ngọn	மேல்	top
ngọt	இனிப்பு	sweet (adj.)
ngồi	உட்கார	sit
ngộ	அறிவொளி	ngo
ngột	திடீரென்று	sudden
ngớ	வேடிக்கையான	silly
ngời	மக்கள்	bright
ngỡ	சிந்தனை	surprised
ngợi	புகழ்	praise
ngợm	குறும்பு	naughty
ngục	சிறையில்	dungeon
ngụm	sip	sip
ngụy	வீ	puppet
ngủ	தூங்க	sleep
ngủi	குறுகிய	"(should be ""ngắn ngủi"") short-lived"
ngứa	அரிப்பு	itchy
ngừ	டுனா	tuna
ngừa	தடுக்க	prevent
ngừng	நிறுத்து	to cease (v.)
ngửa	முகம்	supine
ngửi	வாசனை	to smell
ngữ	பேச்சு	term
ngự	வாழ	defend
ngựa	குதிரை	horse
ngực	மார்பு	chest
nha	பல் மருத்துவர்	dental
nhakẻ	குழந்தை	nha-ke
nham	லாவா	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	தூப	incense
nhanh	வேகமாக	fast
nhat	nhat	nhat
nhen	மீண்டும் எழுப்பப்பட்டது	rekindle
nhi	குழந்தைகள்	junior
nhiên	நிச்சயமாக	tuy nhiên= however
nhiêu	அதிகம்	how many
nhiều	அதிகம்	numerous
nhiễm	நோய்த்தொற்றுக்கு உள்ளானவர்	infect
nhiễu	சத்தம்	noise
nhiệm	கடமை	task
nhiệt	வெப்பம்	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	போன்ற	demand
nhuận	லாபம்	leap year
nhuệ	ந்யூ	elite
nhuộm	சாயம்	dye
nhàn	செயலற்றது	leisure
nhàng	மெதுவாக	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	பிசையவும்	to fall headlong
nhác	மந்தமான	coward
nhái	குளோன்கள்	illegal copy
nhánh	கிளை	branch
nháp	வரைவு	draft
nháy	ஃப்ளாஷ்	to flash or blink (v.)
nhâm	நனைத்தல்	leap
nhã	சுவையானது	"(term should be ""thanh nhã"") elegant"
nhãn	லேபிள்	"(term should be ""gán nhãn"") to affix a label"
nhét	போடு	put
nhì	இரண்டாவது	second (adj.)
nhìn	பாருங்கள்	to look (v.)
nhí	உரையாடல்	children
nhím	முள்ளம்பன்றி	porcupine
nhòm	பாருங்கள்	to peep (v.)
nhóc	குழந்தை	brat
nhóm	குழு	group (n.)
nhô	நீண்டுள்ளது	emerge
nhôm	அலுமினியம்	aluminum (n.)
nhúng	டிப்	embed
nhút	கூச்சமுடைய	shy
nhăn	சுருக்கம்	wrinkle
nhĩ	ஏட்ரியல்	turkey
nhũ	குழம்பு	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	ஊழல்	bribery
nhơn	பெருக்க	nhon
như	என	like
nhưng	ஆனாலும்	but
nhương	உமிழ்நீர்	(proper noun) vietnamese first name
nhường	வழி கொடுத்தது	yield
nhưỡng	க்ரீஸ்	soil
nhược	பலவீனம்	weak
nhượng	சலுகைகள்	concession
nhạ	nhạ	nha
nhạc	இசை	music
nhạn	விழுங்க	bird
nhạo	கேலி	ridicule
nhạt	வெளிர்	light
nhạy	உணர்திறன்	sensitive
nhảy	நடனம்	jump
nhấc	தூக்கு	lift
nhấm	சிப்பிங்	rodent
nhấn	அழுத்துகிறது	to press (v.)
nhất	சிறந்தது	most
nhầm	தவறு	misunderstand
nhầy	மெலிதான	glutinous
nhẫn	மோதிரங்கள்	patient
nhậm	முத்திரை குத்தப்பட்டது	inaugurate
nhập	இறக்குமதி	penetrate
nhậu	குடிப்பது	drink
nhậy	உணர்திறன்	sensitive
nhắc	வரியில்	to remind (v.)
nhắm	நோக்கம்	aim
nhắn	செய்தி	message
nhằm	நோக்கமாக	for the purpose of (adv.)
nhẵn	மென்மையான	smooth
nhặt	தேர்ந்தெடு	pickup
nhẹ	ஒளி	light
nhẹn	சுறுசுறுப்பான	nhanh nhẹn= fast/nimble
nhị	மகரந்தம்	sensitive
nhịn	விலகியிருங்கள்	fasting
nhọ	துரதிர்ஷ்டவசமான	smear
nhọn	கூர்மையான	sharp (adj.)
nhỏ	சிறிய	small
nhỏ|cây	சிறிய | மரம்	small|tree
nhỏ|một	சிறிய | ஒன்று	small | one
nhỏ|phải|	சிறிய | வலது |	small|right
nhỏ|phải|px|	சிறிய | வலது | px |	small | have | px |
nhỏ|phải|px|bức	சிறிய | வலது | px | படங்கள்	grape / fade / px / buc
nhỏ|phải|px|cây	சிறிய | வலது | px | மரம்	px spicy grape fade
nhỏ|phải|px|khu	சிறிய | வலது | px | மண்டலம்	small|right|px|area
nhỏ|phải|px|michael	சிறிய | வலது | px | மைக்கேல்	small|right|px|michael
nhỏ|phải|px|máy	சிறிய | வலது | px | இயந்திரம்	small | right|px|machine
nhỏ|phải|px|một	சிறிய | வலது | px | ஒன்று	small|right|px|one
nhỏ|phải|px|quân	சிறிய | வலது | px | படை	small|right|px|army
nhỏ|px|	சிறிய | px |	small
nhỏ|px|các	சிறிய | px | தி	small
nhỏ|px|phải|kiến	சிறிய | px | வலது | எறும்பு	small | px | right | patience
nhỏ|quân	சிறிய | படை	small|army
nhỏ|trái|px|máy	சிறிய | இடது | px | இயந்திரம்	small|left|px|plane
nhỏ|tượng	சிறிய சிலைகள்	small|statue
nhốt	பூட்டப்பட்டுள்ளது	confine
nhồi	அடைத்த	cram
nhổ	பறிக்க	uproot
nhộn	பெருங்களிப்புடைய	busy
nhớ	மனம்	remember
nhớt	பிசுபிசுப்பு	viscid
nhờ	நன்றி	by
nhờn	க்ரீஸ்	multiplication
nhở	நினைவூட்டு	remind
nhụ	கிள்ளுதல்	nhu
nhục	அவமானப்படுத்தப்பட்டது	shame
nhủ	நினைவூட்டல்கள்	needs
nhức	வலி	pain
nhứt	முதல்	first (n.)
nhừ	எனினும்	tender
những	இவை	the
nhựa	நெகிழி	plastic
nhựt	நுட்	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	நி	nun
nia	நியா	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	நிக்கோலாஸ்	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	நைஜீரியா	nigeria
nikel	நிக்கல்	nickel
niken	நிக்கல்	nickel
nikita	நிகிதா	(proper noun) nikita, a first name
nikko	நிக்கோ	(proper noun) nikko
nikolai	நிகோலாய்	nikolai
nikolayevich	நிகோலாயெவிச்	nikolayevich
nil	இல்லை	nile
nile	நைல்	(proper noun) the river nile
nimitz	நிமிட்ஸ்	(proper noun) nimitz, as in the ship uss nimitz
nin	நின்	nin
ninh	பாதுகாப்பு	ninh, as in bắc ninh
nintendo	நிண்டெண்டோ	(proper noun) nintendo, the game company
nippon	நிப்பான்	nippon
nitơ	நைட்ரஜன்	nitrogen (n.)
nixon	நிக்சன்	(proper noun) nixon, as in former president richard nixon
niên	ஆண்டு	youth
niết	niet	nirvana
niềm	இன்பம்	trust
niệm	மனம்	concept
niệu	டையூரிசிஸ்	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	நோவா	(proper noun) noah
nobel	நோபல்	nobel
nobita	nobita	nobita
noel	நோயல்	(proper noun) noel
noi	சொல்	imitate
nokia	நோக்கியா	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	இளம்	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	நார்ஃபோக்	norfolk
norge	நோர்ஜ்	norge
norma	நார்மா	(proper noun) norma, a female first name
norman	நார்மன்	norman
normandie	நார்மண்டி	normandile
northrop	நார்த்ரோப்	northrop, as in the northrop f-5 freedom fighter
norton	நார்டன்	norton
norway	நோர்வே	norway
nou	nou	nou
novak	novak	novak
now	இப்போது	now
nowc	nowc	nowc
noãn	முட்டை	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	நுபியா	nubia
number	எண்	number
nupedia	nupedia	a name
nusa	நுசா	nusa
nuôi	தீவனம்	feed
nuối	விழுங்க	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	விழுங்க	to swallow (v.)
nuớc	தண்ணீர்	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	வலியுறுத்துங்கள்	pleading
nàn	புகார்	poor
nành	சோயா	soy
nào	வா	would
này	இது	this
ná	ná	a crossbow (n.)
nách	அக்குள்	underarm (n.)
náo	சலசலப்பு	riot
nát	நொறுக்கப்பட்ட	ruin
náu	மறை	hide
nâng	உயர்த்தவும்	raise
nâu	பழுப்பு	brown
nã	nã	to track down (v.)
não	மூளை	brain
né	டாட்ஜ்	dodge
ném	வீசு	to throw (v.)
nén	சுருக்கப்பட்டது	compress
nét	பக்கவாதம்	feature
nê	நெ	ne
nên	மெழுகுவர்த்தி	should or ought to
nêu	சொல்லுங்கள்	mention
nòi	இனம்	race
nòng	பீப்பாய்	barrel
nói	பேச	to say or speak (v.)
nón	தொப்பி	cone
nóng	சூடான	hot
nô	அடிமை	slave
nôbita	டோபிடா	nobita
nôi	எடுக்காதே	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	வாந்தி	vomit
nông	மேலோட்டமான	farmer
nõn	உரித்தல்	peeled
nùng	நுங்	nung
núm	குமிழ்	nipple
núp	மறை	hide
nút	முடிச்சு	button
năm	ஆண்டு	year
năn	மனந்திரும்புதல்	"(term should be ""ăn năn"") remorse (n.)"
năng	சக்தி	"(term should be ""khả năng"") ability (n.)"
nơi	இடம்	a place
nơtrino	நியூடினோ	neutrino
nước	நாடு	country
nước 	நாடு	water
nướng	வறுக்கப்பட்ட	grill
nǎm	nǎm	year
nạ	முகமூடி	mask
nạc	ஒல்லியான	lean (adj.)
nại	புகார்	complain
nạn	துன்பம்	a disaster (n.)
nạo	குணப்படுத்துதல்	to scrape (v.)
nạp	ஏற்றப்பட்டது	tribute
nản	ஊக்கம்	depressed
nảy	துள்ளல்	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	விக்கல்	a hiccup (n.)
nấp	மறை	hide
nấu	சமைக்கவும்	cook
nấy	இது	this
nần	nudge	debt
nầy	இது	this
nẩy	துள்ளல்	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n சூரியன்	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	நாம்	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	சூடான	busy
nắm	பிடி	to grasp or hold (v.)
nắng	சூரியன் தீண்டும்	sunlight
nắp	மூடி	a lid or cover (n.)
nằm	பொய்	to lie (v.)
nẵng	நாங்	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	அநாமதேயமாக	heavy
nặn	கசக்கி	mould
nặng	கனமான	heavy
nẻo	மற்றொன்று	turn
nếm	சுவை	taste
nến	மெழுகுவர்த்தி	candle
nếp	ஒட்டும்	sticky rice (n.)
nếu	என்றால்	if (adv.)
nề	கொத்து	severe
nể	மரியாதை	respect
nện	துடிக்கிறது	ram
nỉ	உணர்ந்தேன்	beg
nịnh	முகஸ்துதி	flatter
nọ	மற்ற	the other
nọc	விஷம்	tadpole
nỏ	குறுக்கு வில்	a crossbow (n.)
nối	இணைக்கப்பட்டுள்ளது	connection
nốt	குறிப்பு	to finish off (v.)
nồi	பானை	pot
nồm	nape	humid (adj.)
nồng	சூடான	heavy
nổ	வெடிக்கும்	explode
nổi	மிதக்கும்	nổi tiếng= famous
nỗ	முயற்சி	affort
nỗi	அந்த	state
nộ	கோபம்	anger
nội	உள்	on the paternal side (adj.)
nộn	திணிப்பு	non
nộp	தாக்கல் செய்யப்பட்டது	submit
nới	தளர்த்தவும்	ease
nở	பூக்கும்	bloom
nỡ	இதயமுள்ள	do you have a heart to
nợ	கடனில்	debt
nụy	பிஸ்டில்	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	கார்க்	a kind of bamboo (n.)
nứt	கிராக்	to crack
nửa	பாதி	haft
nữa	மீண்டும்	moreover
oahu	oahu	(proper noun) oahu
oai	பயம்	heroic
oakland	ஓக்லாண்ட்	oakland
oan	அநீதி	injustice
oanh	ஓன்	(with word liet) glorious
obama	ஒபாமா	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	அக்டோபர்	(proper noun) october
oda	ஓ டா	oda
oder	துர்நாற்றம்	oder
odyssey	ஒடிஸி	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	அதிகாரி	officer
officers	அதிகாரிகள்	officers
ohkawa	ஓகாவா	ohkawa
okhotsk	okhotsk	okhotsk
oliver	ஆலிவர்	oliver
olivier	ஆலிவர்	olivier
olympus	ஒலிம்பஸ்	olympus
om	braised	to simmer
omar	ஓமர்	a name
ong	தேனீ	bee
ontario	ontario	ontario
oort	oort	oort
