$	dollarni tashkil etadi	a sign of doller
પુલ	ko&#39;prik	bridge
પુષ્કળ	mo&#39;l-ko&#39;l	lots of
પુષ્ટિ	tasdiqlash	grace
પુસ્તક	kitob	book
પુસ્તકના	kitobdan	book's
પુસ્તકની	kitobdan	in the book
પુસ્તકનું	kitobdan	of book
પુસ્તકમાં	kitobda	in book
પુસ્તકાલય	kutubxona	library
પુસ્તકો	kitoblar	books
પુસ્તકોના	kitoblardan	of the books
પુસ્તકોની	kitoblardan	book's
પુસ્તકોમાં	kitoblarda	in books
પૂ	poo	east
પૂંછ	dum	tail
પૂછ્યું	- deb so‘radi	ask
પૂજન	ibodat	worship
પૂજા	ibodat	pray
પૂર	to&#39;fon	tide
પૂરતા	yetarli	sufficient
પૂરતી	yetarli	enough
પૂરતો	yetarli	sufficient
પૂરસ્કાર	mukofotlar	trophy
પૂરા	to&#39;liq	complete
પૂરી	uchrashing	fulfills
પૂરુ	tugadi	sufficient
પૂરું	tugadi	provide
પૂરે	to&#39;liq	fills up
પૂરો	tugatish	fulfilled
પૂર્ણ	bajarildi	complete, finish,
પૂર્વ	sharq	east
પૂર્વક	mutlaqo	alongwith
પૂર્વજો	ajdodlar	forbear / ancestor
પૂર્વધારણા	gipoteza	old thinking
પૂર્વના	sharqning	of the east
પૂર્વમાં	sharqda	in east
પૂર્વાધમાં	oldinda	in the first half
પૂર્વી	sharqiy	eastern
પૂર્વીય	sharqiy	eastern
પૂર્વે	miloddan avvalgi	north
પૃથ્વી	yer	earth
પૃથ્વીના	erning	earth's, of the earth
પૃથ્વીની	erning	earth's
પૃથ્વીનું	erning	earth's
પૃથ્વીને	erga	earth
પૃથ્વીનો	erning	of the earth
પૃષ્ઠ	p	cover
પૃષ્ઠભૂમિ	fon	background
પૅરીસ	parij	paris
પેકેટ	paket	packet
પેજ	sahifa	page
પેજીસ	sahifalar	pages
પેટ	oshqozon	stomach
પેટન્ટ	patent	patent
પેટલાદ	petlad	petlad
પેટા	sub	sub [prefix]
પેટ્રોલિયમ	neft	petroleum
પેઢી	firma	generation
પેદા	yaratilgan	produce
પેદાશ	mahsulot	origin
પેદાશો	mahsulotlar	produce
પેન્થેરા	pantera	panthera
પેપર	qog&#39;oz	paper
પેપરમાં	qog&#39;ozda	paper
પેરિસ	parij	paris
પેલે	pele	other
પેલેસ	saroy	palace
પેસિફિક	tinch okeani	pacific
પેસિફિકમાં	tinch okeanida	in pacific
પેસેન્જર	yo&#39;lovchi	passenger
પૈકી	ning	among
પૈકીના	ning	among
પૈકીની	ning	out of
પૈકીનું	ning	out of
પૈકીનો	ning	of the
પૈસા	pul	money
પોઇન્ટ	ballar	point
પોઈન્ટ	ballar	point
પોટર	kulol	potter
પોટરના	potterning	potter's
પોતના	shaxsiy	ofmyself
પોતની	shaxsiy	ownself
પોતપોતાના	bir-biri	own
પોતપોતાની	bir-biri	respectively
પોતાના	shaxsiy	on self
પોતાનાં	shaxsiy	their
પોતાનામાં	o&#39;zlarida	in ownself
પોતાની	shaxsiy	self
પોતાનુ	shaxsiy	own
પોતાનું	shaxsiy	own
પોતાને	o&#39;zlari	to one's own self
પોતાનો	shaxsiy	myself
પોતે	o&#39;zi	himself
પોપ	papa	pop
પોપડો	qobiq	layer
પોરબંદર	porbandar	porbandar city name
પોર્ટ	port	port
પોર્ટલ	portal	portal
પોર્ટુગલ	portugaliya	portugal
પોર્ટુગીઝ	portugalcha	portuguese
પોર્ટુગીઝોએ	portugalcha	portuguese
પોર્નોગ્રાફી	pornografiya	pornography
પોલ	pol	paul
પોલિસ	politsiya	police
પોલિસી	siyosat	policy
પોલીમોર્ફિક	polimorfik	polymorphic
પોલીસ	politsiya	police
પોલીસના	politsiyaning	of police
પોલેંડ	polsha	poland
પોલેન્ડ	polsha	poland
પોલેન્ડમાં	polshada	in poland
પોષણ	oziqlanish	nutrition
પોસ્ટ	xabar	post
પોસ્ટર	afishada	poster
પૌત્ર	nevarasi	son's son
પૌરાણિક	afsona	ancient
પૌરાણીક	afsonaviy	mythological
પ્યાર	sevgi	love [hindi, urdu word]
પ્રકરણ	bo&#39;lim	chapter
પ્રકરણો	bo&#39;limlar	chapter/lesson
પ્રકલ્પ	loyiha	project
પ્રકાર	turi	type
પ્રકારના	kabi; singari	of types
પ્રકારનાં	kabi; singari	of types
પ્રકારની	kabi; singari	of types
પ્રકારનું	kabi; singari	sort
પ્રકારનો	kabi; singari	of types
પ્રકારમાં	turida	in the types of
પ્રકારે	uslubda	by type
પ્રકારો	turlari	types
પ્રકાશ	yorug&#39;lik	light
પ્રકાશક	nashriyot	light
પ્રકાશન	bo&#39;shatish	light
પ્રકાશના	yorug&#39;lik	of the light/light's
પ્રકાશની	yorug&#39;lik	light
પ્રકાશનું	yorug&#39;lik	light's
પ્રકાશનો	nashrlar	light
પ્રકાશિત	chop etilgan	published / displayed
પ્રકાશીત	chop etilgan	lighted
પ્રકીર્ણ	turli xil	miscellaneous
પ્રકૃતિ	tabiat	disposition / nature
પ્રક્રિયા	jarayon	process
પ્રક્રિયાઓ	jarayonlar	process
પ્રક્રિયાની	jarayon haqida	process
પ્રક્રિયાને	jarayonga	process
પ્રક્રિયામાં	jarayonda	in process
પ્રખર	ehtirosli	fierce
પ્રખ્યાત	mashhur	famous
પ્રગટ	oshkor bo&#39;ldi	appeared
પ્રગતિ	jarayon	progress
પ્રચંડ	juda katta	limitless
પ્રચલિત	keng tarqalgan	famous
પ્રચલીત	keng tarqalgan	in vogue/prevailing
પ્રચાર	targ&#39;ibot	publicity / promotion
પ્રજા	odamlar	subjects
પ્રજાકીય	umumiy	civil
પ્રજાતિ	turlari	species
પ્રજાતિઓ	turlar	species
પ્રજાતિના	turlar	of the sub species
પ્રજાના	odamlardan	of civilians / people
પ્રજાની	odamlardan	of the people
પ્રજાને	xalqqa	public / people
પ્રજાસત્તાક	respublika	republican
પ્રણય	romantika	love
પ્રણાલી	tizim	methodology
પ્રણેતા	pioner	inspiring
પ્રતાપ	pratap	pratap
પ્રતાપી	avgust	great adventurous
પ્રતિ	kimga	towards
પ્રતિક	belgi	symbol
પ્રતિકાત્મક	ramziy	resistant
પ્રતિકાર	qarshilik	oppose
પ્રતિકૃતિ	replikatsiya	clupture
પ્રતિક્રિયા	reaksiya	reaction
પ્રતિજ્ઞા	garov	vow/assumption
પ્રતિદિન	har kuni	everyday
પ્રતિનિધિ	vakil	representative
પ્રતિનિધિત્વ	vakillik	representation
પ્રતિબંધ	taqiq	restriction
પ્રતિબિંબ	ko&#39;zgu	image
પ્રતિબિંબિત	ko&#39;zgu	reflecting
પ્રતિભા	iste&#39;dod	efficiency / talent
પ્રતિભાવ	javob	reaction
પ્રતિભાશાળી	iqtidorli	genius
પ્રતિભાસંપન્ન	iqtidorli	gifted
પ્રતિમા	haykal	statue
પ્રતિષ્ઠા	obro&#39;	stability
પ્રતિષ્ઠિત	nufuzli	famous
પ્રતિસાદ	fikr-mulohaza	reaction
પ્રતીક	belgi	symbol
પ્રતીકો	belgilar	symbols
પ્રત્યક્ષ	haqiqiy	in front of
પ્રત્યાયન	aloqa	communication
પ્રત્યાયનનો	aloqa	try
પ્રત્યે	per	towards
પ્રત્યેક	har biri	every one
પ્રત્યેના	per	towards
પ્રત્યેની	kimga	towards
પ્રત્યેનો	kimga	towards
પ્રથમ	birinchidan	first
પ્રથમવાર	ilk marotaba	firstly
પ્રથા	amaliyot	system
પ્રથાને	amalda	tradition
પ્રદક્ષિણા	aylanma harakat	round movement
પ્રદર્શન	ishlash	exhibition
પ્રદર્શિત	ko&#39;rsatilgan	on view / screen
પ્રદર્શીત	ko&#39;rsatilgan	express
પ્રદાન	taqdim etilgan	to contribute
પ્રદુષકો	ifloslantiruvchi moddalar	pollutants
પ્રદુષણ	ifloslanish	pollution
પ્રદુષણના	ifloslanish	of pollution, pollution's
પ્રદુષણને	ifloslanish	to pollution
પ્રદુષિત	ifloslangan	pollutted
પ્રદૂષણ	ifloslanish	pollution
પ્રદેશ	viloyat	states
પ્રદેશના	viloyat	regional
પ્રદેશનાં	viloyat	of region
પ્રદેશની	viloyat	of region / area
પ્રદેશને	viloyatga	to region
પ્રદેશનો	viloyat	of region
પ્રદેશમાં	viloyatda	in the foreign
પ્રદેશમાંથી	viloyatdan	from region / area
પ્રદેશો	mintaqalar	regions
પ્રદેશોથી	viloyatlardan	from regions
પ્રદેશોના	viloyatlar	of regions
પ્રદેશોમાં	mintaqalar	in abroad
પ્રધાન	vazir	minister
પ્રધાનમંત્રી	bosh vazir	prime minister
પ્રબંધ	boshqaruv	arrangement
પ્રબળ	dominant	intensive
પ્રભાવ	ishlash	impression
પ્રભાવક	ta&#39;sirchan	influencial
પ્રભાવને	ta&#39;sir qilish	influence
પ્રભાવશાળી	ta&#39;sirchan	awe-inspring
પ્રભાવિત	taassurot qoldirdi	impressed
પ્રભાવી	samarali	dominating
પ્રભુ	rabbim	god
પ્રભુત્વ	hukmronlik	command
પ્રભુત્વને	hukmronlik	dominance
પ્રભુપાદે	prabhup va da	prabhupaad ( surname)
પ્રમાણ	proportiya	ratio
પ્રમાણભૂત	standart	authentic
પ્રમાણમાં	tarkibida	sizewise
પ્રમાણે	sifatida	authoritative
પ્રમુખ	prezident	president
પ્રમુખપદની	prezidentlikdan	chief
પ્રમેય	teorema	theprem
પ્રમોશન	rag&#39;batlantirish	promotion
પ્રયત્ન	harakat qilmoq	try
પ્રયત્નો	harakatlar	try
પ્રયાગ	prayag	try
પ્રયાણ	ketish	episode
પ્રયાસ	harakat qilib ko&#39;ring	try
પ્રયાસો	harakatlar	tries
પ્રયુક્ત	ishlatilgan	sponsored
પ્રયોગ	tajriba	trail
પ્રયોગો	tajribalar	experiments
પ્રવચન	nashr	lecture
પ્રવચનો	ma&#39;ruzalar	speeches
પ્રવર્તમાન	ustunlik qiladi	current
પ્રવર્તે	ustunlik qiladi	develop
પ્રવાસ	sayohat	travel
પ્રવાસન	turizm	tour
પ્રવાસના	sayohat	tour
પ્રવાસમાં	safarda	travels
પ્રવાસી	sayyoh	traveller
પ્રવાસીઓ	sayyohlar	tourists
પ્રવાસીઓને	sayyohlar	tourists
પ્રવાસે	safarda	tour
પ્રવાહ	oqim	flow
પ્રવાહની	oqimdan	of stream
પ્રવાહને	oqim	stream,
પ્રવાહી	suyuq	liquid
પ્રવાહો	trendlar	flows of
પ્રવૃતિ	faoliyat	activiti
પ્રવૃતિઓ	faoliyatlar	competitions
પ્રવૃત્તિ	faoliyat	activity
પ્રવૃત્તિઓ	faoliyatlar	activities
પ્રવૃત્તિઓમાં	faoliyatda	in activities
પ્રવૃત્તિમાં	faoliyatda	activity
પ્રવેશ	qabul	act of entering
પ્રવેશતા	kirish	on entering
પ્રવેશદ્વાર	kirish	entrance
પ્રવેશવાની	kirmoq	entry
પ્રવેશી	kiritildi	entering
પ્રવેશે	kirishadi	entrance
પ્રવેશ્યા	kiritildi	entry
પ્રશંસા	minnatdorchilik	praised
પ્રશાંત	tinch okeani	pacific
પ્રશાસન	ma&#39;muriyat	administration
પ્રશાસનિક	ma&#39;muriy	administrative [hindi]
પ્રશિષ્ટ	prashit	famous
પ્રશ્ન	savol	question
પ્રશ્નો	savollar	questions
પ્રસંગ	hodisa	occasion
પ્રસંગે	ba&#39;zan	on the occasion
પ્રસંગો	hodisalar	occasions
પ્રસંગોએ	ba&#39;zida	function
પ્રસંગોપાત	ba&#39;zan	on different occasions
પ્રસન્ન	xursand	to be pleased
પ્રસરી	keng tarqalgan	extended / spread
પ્રસાદ	prasad	prasad
પ્રસાદે	prasad	prasad, surname of indian, holy feast of temple
પ્રસાર	tarqalishi	spread
પ્રસારણ	efirga uzatish	broadcast
પ્રસારિત	efirga uzatish	broadcasted
પ્રસારીત	efirga uzatish	broadcasting
પ્રસિદ્ધ	mashhur	famous
પ્રસિદ્ધિ	shon-sharaf	famous
પ્રસિધ્ધ	mashhur	famous
પ્રસ્તાવ	taklif	proposal
પ્રસ્તાવના	kirish	preface
પ્રસ્તાવિત	taklif qilingan	propose
પ્રસ્તુત	taqdim etilgan	present
પ્રસ્થાપિત	ta&#39;sis etilgan	established
પ્રહાર	urish	attack
પ્રહારો	hujumlar	hits
પ્રાંત	viloyat	province
પ્રાંતના	viloyatning	region
પ્રાંતમાં	viloyatda	in the province
પ્રાંતોમાં	viloyatlarda	in provinces
પ્રાઈઝ	sovrin	prize
પ્રાઈવેટ	xususiy	private
પ્રાકૃત	prakrit	prakrit
પ્રાકૃતિક	tabiiy	natural
પ્રાચિન	qadimgi	ancient
પ્રાચીન	qadimgi	ancient
પ્રાચીનતમ	eng qadimgi	ancient / ante diluvial
પ્રાણ	prana	breath
પ્રાણી	hayvon	animal
પ્રાણીઓ	hayvonlar	animals
પ્રાણીઓના	hayvonlardan	of animals
પ્રાણીઓની	hayvonlardan	animals of
પ્રાણીઓને	hayvonlar	to the animals
પ્રાણીઓનો	hayvonlardan	of the animals
પ્રાણીશાસ્ત્ર	zoologiya	zoology
પ્રાથમિક	birlamchi	primary
પ્રાદેશિક	mintaqaviy	region
પ્રાન્ત	viloyat	province
પ્રાપ્ત	qabul qildi	to get
પ્રાપ્તિ	xaridlar	receipt
પ્રાપ્ય	mavjud	available
પ્રાયઃ	ko&#39;pincha	usually
પ્રાયદ્વીપ	yarim orol	praydvip
પ્રાયોગિક	eksperimental	experimental
પ્રારંભ	boshlang	starts
પ્રારંભમાં	dastlab	in starting
પ્રારંભિક	erta	start
પ્રાર્થના	namoz	prayer
પ્રાસંગિક	muvofiq	occasional
પ્રિન્ટ	chop eting	print
પ્રિન્સિપિયા	printsipi	principia
પ્રિમિયર	premer	premiere
પ્રિય	hurmatli	dear
પ્રેક્ટિસ	amaliyot	practice
પ્રેમ	sevgi	love
પ્રેમના	sevgi haqida	of love
પ્રેમની	sevgi haqida	of love
પ્રેમને	sevmoq	of love,
પ્રેમમાં	sevib qolgan	in love
પ્રેમાનંદ	premananda	premanand
પ્રેમાળ	sevish	loving
પ્રેમી	sevishganlar	lover
પ્રેરણા	ilhom	inspiration
પ્રેરિત	ilhomlangan	inspired
પ્રેસ	matbuot	press
પ્રેસમાં	matbuotda	in the press (media)
પ્રેસિડેન્સી	prezidentlik	presidency
પ્રેસીડંટ	prezident	president
પ્રૉજેક્ટ	loyiha	project
પ્રો	pro	pro
પ્રોગ્રામ	dastur	programme
પ્રોગ્રામને	dasturga	to the program
પ્રોગ્રામિંગ	dasturlash	programming
પ્રોગ્રામીંગ	dasturlash	programming
પ્રોગ્રામો	dasturlar	programmes
પ્રોજેક્ટ	loyiha	project
પ્રોટોકોલ	protokol	protocol
પ્રોડક્ટ	mahsulot	product
પ્રોત્સાહન	rag&#39;batlantirish	encourage
પ્રોત્સાહિત	rag&#39;batlantirildi	inspired
પ્રોફેસર	professor	professor
પ્રોવાઈડર	ta&#39;minlovchi	provider
પ્રોવાઈડર્સ	ta&#39;minlovchilar	providers
પ્લસ	plyus	plus
પ્લાન્ટ	o&#39;simlik	plant
પ્લુટો	pluton	pluto
પ્લેટ	plitalar	plate
પ્લેટફોર્મ	platforma	platform
પ્લેટો	plitalar	plates
પ્લેબેક	qayta tinglash	playback
પ્લેયર	pleyer	player
ફંડ	jamg&#39;arma	fund
ફકત	faqat	only
ફક્ત	faqat	only
ફગાવી	rad etildi	threw away
ફટકારી	gol urish	scored
ફટાકડા	fireworks	crackers
ફરક	farqi	difference
ફરજ	vazifasi	duty
ફરજિયાત	majburiy	compulsary
ફરતા	harakatlanmoqda	roaming
ફરતી	aylanmoqda	circulating
ફરતે	atrofda	surrounding
ફરવા	sayohat qilish uchun	roam
ફરવાનું	sayohat qilish uchun	to return
ફરિયાદ	shikoyat	complaint
ફરી	yana	again
ફરીથી	yana	again
ફરીને	yana	again
ફરે	ko&#39;chiradi	move
ફર્યા	qaytdi	returned / wander
ફર્યાં	qaytdi	return
ફર્યો	qaytdi	moved
ફર્સ્ટ	birinchidan	first,
ફલક	panel	platform
ફળ	meva	fruit, here reward of holy work
ફળદ્રુપ	hosildor	furtile
ફળો	mevalar	fruits
ફ઼ારસ	fors	persian
ફ઼ારસી	forsiy	farsi
ફ઼િલ્મ	film	film
ફ઼િલ્મોં	filmlar	film, pictutre, move
ફાંસીની	bajarish	hang till death
ફાઇલ	fayl	file
ફાઈનલ	yakuniy	final
ફાઈલ	fayl	file
ફાઈલને	fayl	to file
ફાઈલો	fayllar	files
ફાઈલોને	fayllar	files
ફાઉન્ડેશન	jamg&#39;arma	foundation
ફાટ	yoriq	broken
ફાટી	yirtilgan	to erupt
ફાટે	yirtilgan	tears
ફાયદાઓ	afzalliklari	benefits
ફાયદો	afzalligi	benefit
ફારસ	fors	persia
ફારસી	forsiy	farsi
ફાળો	hissa qo&#39;shing	contribution
ફાસ્ટ	tez	fast
ફિનલેન્ડ	finlyandiya	finland
ફિનલેન્ડમાં	finlyandiyada	country name
ફિલસૂફોએ	faylasuflar	philosufy
ફિલિપાઇન્સ	filippin	philippines
ફિલોસોફી	falsafa	philosophy
ફિલ્ડ	maydon	field
ફિલ્ડિંગ	fielding	fielding
ફિલ્મ	film	movie
ફિલ્મની	filmning	of film
ફિલ્મને	filmga	to the movie
ફિલ્મફેર	film kassasi	filmfair
ફિલ્મમાં	filmda	in the film
ફિલ્મે	filmda	movies
ફિલ્મો	filmlar	films
ફિલ્મોનું	filmlar haqida	of the films
ફિલ્મોમાં	filmlarda	in films
ફી	narxlar	fee
ફીટ	ft	feet, unit of length,
ફીલ્મ	film	movie
ફુટ	ft	foot
ફુટની	oyoq	foot
ફુલ	to&#39;liq	flowers
ફૂટ	ichida	foot
ફૂટબોલ	futbol	football
ફૂડ	ovqat	food
ફૂલ	gul	folwer
ફૂલના	gullardan	fool
ફૂલો	gullar	flowers
ફૂલોના	gullardan	flowers'
ફૂલોની	gullardan	flowers
ફૂલોનું	gulli	flowers
ફૂલોને	gullar	flowers
ફૂલોનો	gullardan	of the flowers
ફૂલોમાં	gullarda	flowers
ફેંકી	tashla	thrown,
ફેંકે	otadi	through
ફેક્ટરી	zavod	factory
ફેડરલ	federal	federal
ફેડરેશન	federatsiya	federation
ફેબ્રુઆરી	fevral	february
ફેબ્રુઆરીના	fevral oyi	february
ફેબ્રુઆરીમાં	fevral oyida	february
ફેર	adolatli	differ
ફેરફાર	o&#39;zgartirish	trend
ફેરફારના	o&#39;zgarish	modification
ફેરફારની	o&#39;zgarish	of change/ variation
ફેરફારને	o&#39;zgartirish	to do it
ફેરફારો	o&#39;zgarishlar	changes
ફેલાઇ	tarqalish	spread
ફેલાઈ	tarqalish	spread
ફેલાય	tarqalish	spread
ફેલાયેલ	yoyib	spread
ફેલાયેલી	yoyib	spread
ફેલાયેલો	yoyib	have spread
ફેલાવા	tarqalish	spread
ફેલાવાની	tarqalish	spreading
ફેલાવાને	yoyish	spread
ફેલાવો	tarqalish	spread
ફેશન	moda	fashion
ફેસબુક	facebook	facebook
ફેસ્ટિવલ	festival	festival
ફોજ	armiya	army
ફોજદારી	jinoiy	criminal
ફોટા	rasmlar	photographs
ફોટો	surat	photo
ફોટોગ્રાફ	surat	photograph
ફોટોન	foton	photon
ફોન	telefon	phone
ફોનના	telefondan	of phone
ફોનની	telefondan	phone's
ફોન્સ	telefonlar	phones
ફોર	uchun	for [english word]
ફોરમ	forum	forum
ફોર્ટ	fort	fort
ફોર્થ	to&#39;rtinchi	fourth
ફોર્મેટમાં	formatda	in the format
ફોર્મ્યુલા	formula	formula
ફોલ્ટ	kamchilik	fault
ફોસીલ	qazilma	focil
ફૌજ	armiya	army / troops
ફ્યૂઅલ	yoqilg&#39;i	fuel
ફ્રાંસ	frantsiya	france
ફ્રાન્ક	frank	frank
ફ્રાન્કા	franka	frank
ફ્રાન્સ	frantsiya	country name
ફ્રાન્સમાં	fransiyada	farnce
ફ્રાન્સિસ્કો	fransisko	francisco
ફ્રાન્સે	frantsiya	france's
ફ્રિસિયન	friziyalik	firsian / fyrsian
ફ્રેંચ	fransuz	french
ફ્રેન્ચ	fransuz	franch
ફ્રેન્ચમાં	frantsuz tilida	in french
ફ્રેબ્રુઆરી	fevral	february
ફ્રોમ	qayerdan	from
ફ્લાઈટ	parvoz	flight
ફ્લાવર	gul	flower
ફ્લેગ	bayroqcha	flag
ફ્લેશ	chaqnoq	flash
ફ્લોરિડા	florida	florida
બંગાળ	bengal	bangal
બંગાળના	bengal	bangal's
બંગાળની	bengal	bangal's
બંગાળનો	bengal	bengal
બંગાળમાં	bengalda	in bengal
બંગાળી	bengal tili	language name
બંદર	port	port
બંદી	asir	captive
બંધ	o&#39;chirilgan	close
બંધન	zaxira	bondage
બંધની	to&#39;g&#39;onning	dam
બંધાયેલ	chegaralangan	built
બંધાયેલા	chegaralangan	built
બંધાયેલી	chegaralangan	formed
બંધાયો	chegaralangan	built
બંધારણ	konstitutsiya	constitution
બંધારણનો	konstitutsiya haqida	of the constitution
બંધારણમાં	formatda	constitution
બંધારણીય	konstitutsiyaviy	constitutional
બંધાવી	chegaralangan	built
બંધાવ્યા	chegaralangan	built
બંધાવ્યું	qurilgan	built
બંને	ikkalasi ham	both
બંનેએ	ikkalasi ham	both
બંનેના	ikkalasidan ham	both
બંનેની	ikkalasidan ham	of both
બંનેને	ikkalasi ham	both
બંન્ને	ikkalasi ham	both
બક્ષી	baxshi	bakshi
બગદાણા	bagdana	bagdana
બગદાદ	bog&#39;dod	baghdad
બગીચા	bog&#39;lar	gardens,
બગીચામાં	bog&#39;da	in the garden
બગીચો	bog &#39;	garden
બચવા	qochish uchun	to save,
બચાવ	qutqarish	defense
બચાવવા	saqlamoq	to save
બચાવી	saqlandi	saving
બચાવે	saqlaydi	save
બચી	omon qolganlar	saved
બચ્ચન	baxchan	bachchan
બચ્ચનની	baxchan	bachchan
બચ્ચને	baxchan	bachhan
બચ્યા	omon qolganlar	were saved
બજાર	bozor	market
બજારનો	bozordan	market's
બજારમાં	bozorda	in the market
બજાવી	o&#39;ynadi	worked out
બતાવવા	ko&#39;rsatish uchun	to show
બતાવવામાં	ko&#39;rsatilgan	showing
બતાવી	ko&#39;rsatish uchun	shown
બતાવે	shoular	shown
બતાવ્યા	ko&#39;rsatilgan	shown
બતાવ્યો	ko&#39;rsatilgan	shown
બદલ	uchun	as a result of, by, for
બદલવા	tuzatmoq	changing
બદલવામાં	o&#39;zgartirilgan	replaced
બદલાઇ	o&#39;zgartirilgan	changed
બદલાઈ	o&#39;zgartirilgan	changed
બદલાતા	o&#39;zgarish	changing
બદલાતી	o&#39;zgarish	changing
બદલામાં	evaziga	in exchange,
બદલાય	har xil bo&#39;ladi	changes
બદલાવ	o&#39;zgartirish	transformation / change
બદલાવો	o&#39;zgartirish	changes
બદલી	o&#39;zgartirilgan	changed
બદલીને	o&#39;zgarish	after changing
બદલે	buning o&#39;rniga	on behalf
બદલો	o&#39;zgartirish	revenge,
બધા	hammasi	all
બધાં	hammasi	all
બધાજ	hammasi	every body
બધાને	hammaga	all
બધી	hammasi	all
બધુ	hamma narsa	all
બધું	hamma narsa	everything
બન	bun	being
બનતા	bo&#39;lish	become
બનતી	bo&#39;lish	making
બનતું	baxtli	to happen
બનવા	bolmoq	happen
બનવાની	bolmoq	processes
બનવાનું	bolmoq	to become
બનશે	bo&#39;ladi	will be
બનાવ	hodisa	incident
બનાવટ	yaratilish	making
બનાવટી	soxta	forged
બનાવતા	qilish	used to make
બનાવતી	qilish	making
બનાવનાર	tomonidan yaratilgan	maker
બનાવવા	yaratmoq	to make
બનાવવાના	yaratmoq	to construct
બનાવવાની	yaratmoq	making
બનાવવાનું	yaratmoq	to construct
બનાવવાનો	yaratmoq	to make
બનાવવામાં	tayyorlangan	in making
બનાવવી	yaratmoq	making
બનાવાય	yaratilgan	is being made
બનાવી	yaratilgan	making
બનાવીને	yaratish orqali	having made
બનાવે	qiladi	make
બનાવેલ	yaratilgan	made, created
બનાવેલા	yaratilgan	made
બનાવેલી	yaratilgan	to be made
બનાવો	yaratmoq	events
બનાવ્યા	yuguradi	made
બનાવ્યું	yaratilgan	done/made
બનાવ્યો	yagona	made
બનાસકાંઠા	banaskantha	banas kantha
બની	bo&#39;ling	became
બનીને	bo&#39;lish orqali	emerged out
બને	bo‘ladi	becomes
બનેં	bo&#39;ling	both
બનેલ	qurilgan	made
બનેલા	tarkibida	developed
બનેલી	ishlab chiqarilgan	making
બનેલું	tarkibida	made of
બનેલો	tarkibida	made of
બન્ને	ikkalasi ham	both
બન્નેની	ikkalasidan ham	of both
બન્નેને	ikkalasi ham	both
બન્યા	bo&#39;ldi	became
બન્યાં	bo&#39;ldi	made
બન્યુ	bo&#39;ldi	became
બન્યું	bo&#39;ldi	done/completed/made
બન્યો	bo&#39;ldi	became
બપોર	tush	afternoon
બરફ	muz	ice
બરફના	muzdan	icy
બરાબર	ok	exact
બરોડા	baroda	baroda
બરોબર	bu to&#39;g&#39;ri	equally
બર્મા	birma	burma
બર્મામાં	birmada	in burma
બર્મ્યુડા	bermuda	bermuda,
બર્લિન	berlin	berlin
બલરામ	balram	balaram
બલુઆ	qum	balua, type of ceramic/stone
બળ	kuch	strength
બળદ	ox	ox
બળની	kuch	of force
બળને	zo&#39;rlash uchun	to the force
બળનો	kuch	of power
બળવા	isyon	revolts
બળવાન	kuchli	strong / mighty
બળવાને	isyon	to the revolt
બળવો	isyon	revolt
બળી	yonish	burn
બળે	kuyishlar	burnt
બળો	kuchlar	energies
બસ	shunchaki	then
બસો	avtobuslar	two hundrd
બસ્સો	avtobuslar	two hundred
બહાદુર	jasur	bahadur / brave
બહાર	chiqdi	outside
બહારથી	tashqi tomondan	from the outside
બહારના	tashqi tomondan	out of
બહારની	tashqarida	outside
બહારનું	tashqarida	outer, of the outside,
બહારનો	tashqarida	outer, external
બહાલી	tasdiqlash	approval
બહિર્ગામી	chiquvchi	extrovert
બહિષ્કાર	boykot	ostracism
બહુ	juda ko&#39;p	very
બહુત	juda	excessive [hindi - urdu word]
બહુધા	ko&#39;pincha	most of the time
બહુમતિ	ko&#39;pchilik	majority
બહુમતી	ko&#39;pchilik	majority
બહુમાન	hurmat	honour
બહુમૂલ્ય	qimmatbaho	precious
બહુવચન	ko&#39;plik	plural
બહુવિધ	bir nechta	various
બહેન	opa	sister
બહેનને	opa	to sister
બહેનો	opa-singillar	sisters
બહોળા	keng	wide
બહોળી	keng	wide
બાંગ્લા	bangla	bangal
બાંગ્લાદેશ	bangladesh	bangladesh, name of country,
બાંધકામ	qurilish	construction
બાંધણી	bog&#39;lash	construction
બાંધવા	qurmoq	to built
બાંધવામાં	qurilgan	building
બાંધી	bog‘langan	built
બાંધીને	bog&#39;lab qo&#39;yish bilan	to build, to constructed, to be tied,
બાંયધરી	kafolat	indemnity
બાઇબલ	bibliya	holy book of judaism and christianity
બાઈ	xayr	bai
બાઈટ	bayt	bite
બાકાત	chiqarilgan	useless
બાકી	chapga	balance
બાકીના	qolgani	remaining
બાકીનાં	qolgani	remaining
બાકીની	qolgani	remaining
બાગ	bog&#39;dorchilik	baug
બાજરી	tariq	pearl millet
બાજુ	yon	beside
બાજુએ	yon tomonda	side
બાજુથી	yon tomondan	from side
બાજુના	yonma-yon	neighboring
બાજુની	yon tomon	beside / next
બાજુમાં	ning yonida	beside
બાણ	oklar	bow arrow
બાથ	vanna	bath
બાદ	keyin	after
બાદના	keyingisi	following
બાદની	keyingisi	after
બાદબાકી	minuslar	substraction
બાદમાં	keyingisi	after
બાદશાહ	imperator	king
બાપા	dadam	bapa
બાબત	modda	matter
બાબતને	modda	matter
બાબતમાં	muammoda	regarding
બાબતે	muammoda	subjected, of the point
બાબતો	masalalar	matters
બાબતોને	masalalar	to the matters, of the matters
બાબતોમાં	muammolarda	in matters
બાય	xayr	by [english word]
